"繁体"	"简体"	"IPA"	"注释"	"来源"	""	"#符號說明："	"音標後的“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"竝"	"竝"	"biɪn4"	""	"鄉音字類"	""	""	""
"並"	"並"	"biɪn4"	""	"鄉音字類"	""	""	""
"𠀤"	"𠀤"	"biɪn4"	""	"鄉音字類"	""	""	""
"病"	"病"	"biɪn6"	""	"鄉音字類"	""	""	""
"牝"	"牝"	"biɪn6"	""	"鄉音字類"	""	""	""
"岷"	"岷"	"miɪn2"	""	"鄉音字類"	""	""	""
"珉"	"珉"	"miɪn2"	""	"鄉音字類"	""	""	""
"玟"	"玟"	"miɪn2"	""	"鄉音字類"	""	""	""
"緡"	"缗"	"miɪn2"	""	"鄉音字類"	""	""	""
"痻"	"痻"	"miɪn2"	""	"鄉音字類"	""	""	""
"閩"	"闽"	"miɪn2"	""	"鄉音字類"	""	""	""
"溟"	"溟"	"miɪn2"	""	"鄉音字類"	""	""	""
"蓂"	"蓂"	"miɪn2"	""	"鄉音字類"	""	""	""
"瞑"	"瞑"	"miɪn2"	""	"鄉音字類"	""	""	""
"黽"	"黾"	"miɪn4"	"聲調陰陽未知"	"鄉音字類"	""	""	""
"黽"	"黾"	"miən4"	"古書上說的一種蛙。聲調陰陽未知"	"蘇州同音常用字彙"	""	""	""
"泯"	"泯"	"miɪn4"	""	"鄉音字類"	""	""	""
"敏"	"敏"	"miɪn3"	""	"鄉音字類"	""	""	""
"湣"	"湣"	"miɪn4"	"古同“閔”。聲調的陰陽存疑"	"鄉音字類"	""	""	""
"愍"	"悯"	"miɪn4"	""	"鄉音字類"	""	""	""
"暋"	"暋"	"miɪn4"	"聲調的陰陽存疑"	"鄉音字類"	""	""	""
"酩"	"酩"	"miɪn3"	""	"鄉音字類"	""	""	""
"丁"	"丁"	"tiɪn1"	""	"鄉音字類"	""	""	""
"仃"	"仃"	"tiɪn1"	""	"鄉音字類"	""	""	""
"釘"	"钉"	"tiɪn1"	""	"鄉音字類"	""	""	""
"鼎"	"鼎"	"tiɪn3"	""	"鄉音字類"	""	""	""
"頂"	"顶"	"tiɪn3"	""	"鄉音字類"	""	""	""
"酊"	"酊"	"tiɪn3"	""	"鄉音字類"	""	""	""
"汀"	"汀"	"tʰiɪn1"	""	"鄉音字類"	""	""	""
"町"	"町"	"tʰiɪn1"	""	"鄉音字類"	""	""	""
"聽"	"听"	"tʰiɪn1"	""	"鄉音字類"	""	""	""
"廳"	"厅"	"tʰiɪn1"	"大~"	"鄉音字類"	""	""	""
"桯"	"桯"	"tʰiɪn1"	""	"鄉音字類"	""	""	""
"珵"	"珵"	"tʰiɪn1"	""	"鄉音字類"	""	""	""
"艇"	"艇"	"tʰiɪn3"	""	"鄉音字類"	""	""	""
"挺"	"挺"	"tʰiɪn3"	"~撞"	"鄉音字類"	""	""	""
"梃"	"梃"	"tʰiɪn3"	""	"鄉音字類"	""	""	""
"莛"	"莛"	"tʰiɪn3"	""	"鄉音字類"	""	""	""
"町"	"町"	"tʰiɪn3"	""	"鄉音字類"	""	""	""
"珽"	"珽"	"tʰiɪn3"	""	"鄉音字類"	""	""	""
"脡"	"脡"	"tʰiɪn3"	""	"鄉音字類"	""	""	""
"亭"	"亭"	"diɪn2"	"~子"	"鄉音字類"	""	""	""
"停"	"停"	"diɪn2"	""	"鄉音字類"	""	""	""
"渟"	"渟"	"diɪn2"	""	"鄉音字類"	""	""	""
"廷"	"廷"	"diɪn2"	""	"鄉音字類"	""	""	""
"庭"	"庭"	"diɪn2"	""	"鄉音字類"	""	""	""
"霆"	"霆"	"diɪn2"	"雷~"	"鄉音字類"	""	""	""
"蜒"	"蜒"	"diɪn2"	"蜻~"	"鄉音字類"	""	""	""
"定"	"定"	"diɪn6"	"~盤星"	"鄉音字類"	""	""	""
"驎"	"驎"	"liən2"	""	"鄉音字類"	""	""	""
"轔"	"辚"	"liən2"	""	"鄉音字類"	""	""	""
"鱗"	"鳞"	"liən2"	""	"鄉音字類"	""	""	""
"麟"	"麟"	"liən2"	""	"鄉音字類"	""	""	""
"粼"	"粼"	"liən2"	""	"鄉音字類"	""	""	""
"燐"	"磷"	"liən2"	""	"鄉音字類"	""	""	""
"鏻"	"鏻"	"liən2"	""	"鄉音字類"	""	""	""
"嶙"	"嶙"	"liən2"	""	"鄉音字類"	""	""	""
"鈴"	"铃"	"liɪn2"	""	"鄉音字類"	""	""	""
"玲"	"玲"	"liɪn2"	"~瓏"	"鄉音字類"	""	""	""
"羚"	"羚"	"liɪn2"	""	"鄉音字類"	""	""	""
"泠"	"泠"	"liɪn2"	""	"鄉音字類"	""	""	""
"伶"	"伶"	"liɪn2"	""	"鄉音字類"	""	""	""
"齡"	"龄"	"liɪn2"	""	"鄉音字類"	""	""	""
"聆"	"聆"	"liɪn2"	""	"鄉音字類"	""	""	""
"舲"	"舲"	"liɪn2"	""	"鄉音字類"	""	""	""
"軨"	"軨"	"liɪn2"	""	"鄉音字類"	""	""	""
"蛉"	"蛉"	"liɪn2"	""	"鄉音字類"	""	""	""
"翎"	"翎"	"liɪn2"	""	"鄉音字類"	""	""	""
"鴒"	"鸰"	"liɪn2"	""	"鄉音字類"	""	""	""
"瓴"	"瓴"	"liɪn2"	""	"鄉音字類"	""	""	""
"苓"	"苓"	"liɪn2"	""	"鄉音字類"	""	""	""
"笭"	"笭"	"liɪn2"	""	"鄉音字類"	""	""	""
"零"	"零"	"liɪn2"	"~頭"	"鄉音字類"	""	""	""
"靈"	"灵"	"liɪn2"	""	"鄉音字類"	""	""	""
"欞"	"棂"	"liɪn2"	""	"鄉音字類"	""	""	""
"醽"	"醽"	"liɪn2"	""	"鄉音字類"	""	""	""
"囹"	"囹"	"liɪn2"	""	"鄉音字類"	""	""	""
"陵"	"陵"	"liɪn2"	""	"鄉音字類"	""	""	""
"淩"	"淩"	"liɪn2"	""	"鄉音字類"	""	""	""
"凌"	"凌"	"liɪn2"	"姓"	"蘇州同音常用字彙"	""	""	""
"綾"	"绫"	"liɪn2"	""	"鄉音字類"	""	""	""
"崚"	"崚"	"liɪn2"	""	"鄉音字類"	""	""	""
"菱"	"菱"	"liɪn2"	""	"鄉音字類"	""	""	""
"棱"	"棱"	"liɪn2"	""	"鄉音字類"	""	""	""
"林"	"林"	"liɪn2"	"樹~"	"鄉音字類"	""	""	""
"琳"	"琳"	"liɪn2"	""	"鄉音字類"	""	""	""
"淋"	"淋"	"liɪn2"	""	"鄉音字類"	""	""	""
"箖"	"箖"	"liɪn2"	""	"鄉音字類"	""	""	""
"霖"	"霖"	"liɪn2"	""	"鄉音字類"	""	""	""
"臨"	"临"	"liɪn2"	""	"鄉音字類"	""	""	""
"廩"	"廪"	"liɪn4"	""	"鄉音字類"	""	""	""
"懍"	"懔"	"liɪn4"	""	"鄉音字類"	""	""	""
"凜"	"凛"	"liən2"	"讀音據韻書推導"	"鄉音字類"	""	""	""
"凜"	"凛"	"liɪn3"	"~冽"	"鄉音字類"	""	""	""
"凜"	"凛"	"liɪn4"	"~一~，指受驚或受寒，身體突然抽搐一下"	"鄉音字類"	""	""	""
"領"	"领"	"liɪn4"	"~頭"	"鄉音字類"	""	""	""
"嶺"	"岭"	"liɪn4"	"山~"	"鄉音字類"	""	""	""
"磷"	"磷"	"liən6"	""	"鄉音字類"	""	""	""
"遴"	"遴"	"liən6"	""	"鄉音字類"	""	""	""
"藺"	"蔺"	"liən6"	""	"鄉音字類"	""	""	""
"躪"	"躏"	"liən6"	"《字彙補》：同“藺”"	"鄉音字類"	""	""	""
"吝"	"吝"	"liən5"	"~嗇"	"蘇州同音常用字彙"	""	""	""
"吝"	"吝"	"liən6"	"~惜"	"鄉音字類"	""	""	""
"麐"	"麟"	"liən6"	""	"鄉音字類"	""	""	""
"甐"	"甐"	"liən6"	""	"鄉音字類"	""	""	""
"另"	"另"	"liɪn6"	"~外"	"鄉音字類"	""	""	""
"令"	"令"	"liɪn6"	"號~"	"鄉音字類"	""	""	""
"愣"	"愣"	"liɪn4"	"心裏一~。正字疑爲“凜”"	"蘇州同音常用字彙"	""	""	""
"衿"	"衿"	"ʨiən1"	""	"鄉音字類"	""	""	""
"襟"	"襟"	"ʨiən1"	""	"鄉音字類"	""	""	""
"紟"	"紟"	"ʨiən1"	""	"鄉音字類"	""	""	""
"筋"	"筋"	"ʨiən1"	"~絡"	"鄉音字類"	""	""	""
"兢"	"兢"	"ʨiɪn1"	""	"鄉音字類"	""	""	""
"妗"	"妗"	"ʨiɪn1"	""	"鄉音字類"	""	""	""
"痙"	"痉"	"ʨiɪn1"	""	"鄉音字類"	""	""	""
"莖"	"茎"	"ʨiɪn1"	""	"鄉音字類"	""	""	""
"巹"	"卺"	"ʨiən3"	""	"鄉音字類"	""	""	""
"警"	"警"	"ʨiɪn3"	""	"鄉音字類"	""	""	""
"憼"	"憼"	"ʨiɪn3"	""	"鄉音字類"	""	""	""
"脛"	"胫"	"ʨiɪn3"	""	"鄉音字類"	""	""	""
"剄"	"刭"	"ʨiɪn3"	""	"鄉音字類"	""	""	""
"儆"	"儆"	"ʨiɪn5"	""	"鄉音字類"	""	""	""
"嶔"	"嵚"	"ʨʰiən1"	""	"鄉音字類"	""	""	""
"跬"	"跬"	"ʨʰiɪn3"	""	"鄉音字類"	""	""	""
"磬"	"磬"	"ʨʰiɪn5"	"~子"	"鄉音字類"	""	""	""
"罄"	"罄"	"ʨʰiɪn5"	""	"鄉音字類"	""	""	""
"謦"	"謦"	"ʨʰiɪn5"	""	"鄉音字類"	""	""	""
"芩"	"芩"	"ʥiən2"	""	"鄉音字類"	""	""	""
"檎"	"檎"	"ʥiən2"	""	"鄉音字類"	""	""	""
"庈"	"庈"	"ʥiən2"	""	"鄉音字類"	""	""	""
"廑"	"廑"	"ʥiɪn2"	""	"鄉音字類"	""	""	""
"慬"	"慬"	"ʥiən2"	""	"鄉音字類"	""	""	""
"瘽"	"瘽"	"ʥiən2"	""	"鄉音字類"	""	""	""
"鯨"	"鲸"	"ʥiɪn2"	""	"鄉音字類"	""	""	""
"黥"	"黥"	"ʥiɪn2"	""	"鄉音字類"	""	""	""
"擎"	"擎"	"ʥiɪn2"	""	"鄉音字類"	""	""	""
"檠"	"檠"	"ʥiɪn2"	""	"鄉音字類"	""	""	""
"勍"	"勍"	"ʥiɪn2"	""	"鄉音字類"	""	""	""
"堇"	"堇"	"ʥiɪn2"	""	"鄉音字類"	""	""	""
"墐"	"墐"	"ʥiɪn2"	""	"鄉音字類"	""	""	""
"靳"	"靳"	"ʥiən4"	""	"鄉音字類"	""	""	""
"槿"	"槿"	"ʥiən4"	"木~"	"鄉音字類"	""	""	""
"近"	"近"	"ʥiən4"	""	"鄉音字類"	""	""	""
"僅"	"仅"	"ʥiɪn6"	""	"鄉音字類"	""	""	""
"饉"	"馑"	"ʥiɪn6"	""	"鄉音字類"	""	""	""
"墐"	"墐"	"ʥiɪn6"	""	"鄉音字類"	""	""	""
"瑾"	"瑾"	"ʥiɪn6"	""	"鄉音字類"	""	""	""
"㢙"	"廑"	"ʥiɪn6"	""	"鄉音字類"	""	""	""
"競"	"竞"	"ʥiɪn6"	"~争"	"鄉音字類"	""	""	""
"吟"	"吟"	"ȵiən2"	""	"鄉音字類"	""	""	""
"唫"	"唫"	"ȵiən2"	""	"鄉音字類"	""	""	""
"迎"	"迎"	"ȵiɪn2"	""	"鄉音字類"	""	""	""
"銀"	"银"	"ȵiɪn2"	""	"鄉音字類"	""	""	""
"垠"	"垠"	"ȵiɪn2"	""	"鄉音字類"	""	""	""
"垠"	"垠"	"ȵiən2"	""	"鄉音字類"	""	""	""
"訚"	"訚"	"ȵiɪn2"	""	"鄉音字類"	""	""	""
"嚚"	"嚚"	"ȵiɪn2"	""	"鄉音字類"	""	""	""
"鄞"	"鄞"	"ȵiɪn2"	""	"鄉音字類"	""	""	""
"鄞"	"鄞"	"ȵiən2"	""	"鄉音字類"	""	""	""
"狺"	"狺"	"ȵiɪn2"	""	"鄉音字類"	""	""	""
"狺"	"狺"	"ȵiən2"	""	"鄉音字類"	""	""	""
"龂"	"龂"	"ȵiən2"	""	"鄉音字類"	""	""	""
"龈"	"龈"	"ȵiən2"	""	"鄉音字類"	""	""	""
"凝"	"凝"	"ȵiɪn2"	"~攏來"	"鄉音字類"	""	""	""
"寕"	"宁"	"ȵiɪn2"	""	"鄉音字類"	""	""	""
"嚀"	"咛"	"ȵiɪn2"	""	"鄉音字類"	""	""	""
"听"	"听"	"ȵiɪn4"	""	"鄉音字類"	""	""	""
"听"	"听"	"ȵiən4"	""	"鄉音字類"	""	""	""
"甯"	"甯"	"ȵiɪn6"	""	"鄉音字類"	""	""	""
"濘"	"泞"	"ȵiɪn6"	""	"鄉音字類"	""	""	""
"憗"	"慭"	"ȵiɪn6"	""	"鄉音字類"	""	""	""
"垽"	"垽"	"ȵiɪn6"	""	"鄉音字類"	""	""	""
"垽"	"垽"	"ȵiən6"	""	"鄉音字類"	""	""	""
"鑫"	"鑫"	"ɕiən1"	""	"蘇州同音常用字彙"	""	""	""
"忻"	"忻"	"ɕiən1"	""	"鄉音字類"	""	""	""
"昕"	"昕"	"ɕiən1"	""	"鄉音字類"	""	""	""
"炘"	"炘"	"ɕiən1"	""	"鄉音字類"	""	""	""
"訢"	"訢"	"ɕiən1"	""	"鄉音字類"	""	""	""
"歆"	"歆"	"ɕiən1"	""	"鄉音字類"	""	""	""
"廞"	"廞"	"ɕiən1"	""	"鄉音字類"	""	""	""
"愔"	"愔"	"ɕiɪn1"	""	"鄉音字類"	""	""	""
"焮"	"焮"	"ɕiən1"	""	"鄉音字類"	""	""	""
"釁"	"衅"	"ɕiɪn5"	"~隙"	"鄉音字類"	""	""	""
"形"	"形"	"ɦiɪn2"	"~狀"	"鄉音字類"	""	""	""
"型"	"型"	"ɦiɪn2"	"模~"	"鄉音字類"	""	""	""
"邢"	"邢"	"ɦiɪn2"	""	"鄉音字類"	""	""	""
"鉶"	"铏"	"ɦiɪn2"	""	"鄉音字類"	""	""	""
"硎"	"硎"	"ɦiɪn2"	""	"鄉音字類"	""	""	""
"陘"	"陉"	"ɦiɪn2"	""	"鄉音字類"	""	""	""
"楹"	"楹"	"ɦiɪn2"	""	"鄉音字類"	""	""	""
"嬴"	"嬴"	"ɦiɪn2"	""	"鄉音字類"	""	""	""
"瀛"	"瀛"	"ɦiɪn2"	""	"鄉音字類"	""	""	""
"籝"	"籝"	"ɦiɪn2"	""	"鄉音字類"	""	""	""
"贏"	"赢"	"ɦiɪn2"	"輸~"	"鄉音字類"	""	""	""
"夤"	"夤"	"ɦiən2"	""	"鄉音字類"	""	""	""
"荇"	"荇"	"ɦiɪn4"	""	"鄉音字類"	""	""	""
"杏"	"杏"	"ɦiɪn4"	""	"鄉音字類"	""	""	""
"悻"	"悻"	"ɦiɪn4"	""	"鄉音字類"	""	""	""
"幸"	"幸"	"ɦiən4"	"本音"	"鄉音字類"	""	""	""
"倖"	"倖"	"ɦiən4"	"僥~"	"鄉音字類"	""	""	""
"婞"	"婞"	"ɦiɪn4"	""	"鄉音字類"	""	""	""
"婞"	"婞"	"ɦiən4"	"又音。據《集韻》：下耿切"	"鄉音字類"	""	""	""
"㛙"	"㛙"	"ɦiɪn4"	"可能是“婞”的誤寫。《集韻》：斯人切，音辛。"	"鄉音字類"	""	""	""
"駰"	"骃"	"iɪn1"	""	"鄉音字類"	""	""	""
"婣"	"姻"	"iɪn1"	""	"鄉音字類"	""	""	""
"氤"	"氤"	"iɪn1"	""	"鄉音字類"	""	""	""
"絪"	"絪"	"iɪn1"	""	"鄉音字類"	""	""	""
"禋"	"禋"	"iɪn1"	""	"鄉音字類"	""	""	""
"闉"	"闉"	"iɪn1"	""	"鄉音字類"	""	""	""
"凐"	"凐"	"iɪn1"	""	"鄉音字類"	""	""	""
"堙"	"堙"	"iɪn1"	""	"鄉音字類"	""	""	""
"歅"	"歅"	"iɪn1"	""	"鄉音字類"	""	""	""
"霙"	"霙"	"iɪn1"	""	"鄉音字類"	""	""	""
"瑛"	"瑛"	"iɪn1"	""	"鄉音字類"	""	""	""
"韺"	"韺"	"iɪn1"	""	"鄉音字類"	""	""	""
"櫻"	"樱"	"iən1"	""	"鄉音字類"	""	""	""
"纓"	"缨"	"iɪn1"	""	"鄉音字類"	""	""	""
"瓔"	"璎"	"iɪn1"	""	"鄉音字類"	""	""	""
"攖"	"撄"	"iɪn1"	""	"鄉音字類"	""	""	""
"嚶"	"嘤"	"iən1"	""	"鄉音字類"	""	""	""
"鸚"	"鹦"	"iən1"	"文讀"	"鄉音字類"	""	""	""
"鸎"	"莺"	"iən1"	""	"鄉音字類"	""	""	""
"鶯"	"莺"	"iən1"	"黃~"	"鄉音字類"	""	""	""
"甖"	"罂"	"iən1"	""	"鄉音字類"	""	""	""
"罃"	"罃"	"iən1"	""	"鄉音字類"	""	""	""
"喑"	"喑"	"iən1"	""	"鄉音字類"	""	""	""
"譍"	"应"	"iɪn1"	""	"鄉音字類"	""	""	""
"靷"	"靷"	"iən3"	""	"鄉音字類"	""	""	""
"潁"	"颍"	"iɪn3"	""	"鄉音字類"	""	""	""
"郢"	"郢"	"iɪn3"	""	"鄉音字類"	""	""	""
"櫽"	"櫽"	"iən3"	""	"鄉音字類"	""	""	""
"癭"	"瘿"	"iɪn3"	""	"鄉音字類"	""	""	""
"紖"	"纼"	"iən3"	""	"鄉音字類"	""	""	""
"映"	"映"	"iɪn5"	""	"鄉音字類"	""	""	""
"菁"	"菁"	"ʦiɪn1"	""	"鄉音字類"	""	""	""
"箐"	"箐"	"ʦiɪn1"	""	"鄉音字類"	""	""	""
"璡"	"琎"	"ʦiən1"	""	"鄉音字類"	""	""	""
"駸"	"骎"	"ʦiɪn1"	""	"鄉音字類"	""	""	""
"逡"	"逡"	"ʦiɪn1"	""	"鄉音字類"	""	""	""
"皴"	"皴"	"ʦiɪn1"	""	"鄉音字類"	""	""	""
"踆"	"踆"	"ʦiɪn1"	""	"鄉音字類"	""	""	""
"㕙"	"㕙"	"ʦiɪn1"	""	"鄉音字類"	""	""	""
"竣"	"竣"	"ʦiɪn1"	""	"鄉音字類"	""	""	""
"墫"	"墫"	"ʦiɪn1"	""	"鄉音字類"	""	""	""
"祲"	"祲"	"ʦiən5"	""	"鄉音字類"	""	""	""
"祲"	"祲"	"ʦiɪn1"	""	"鄉音字類"	""	""	""
"綅"	"綅"	"ʦiɪn1"	""	"鄉音字類"	""	""	""
"儘"	"尽"	"ʦiən3"	""	"鄉音字類"	""	""	""
"焌"	"焌"	"ʦiɪn5"	""	"鄉音字類"	""	""	""
"畯"	"畯"	"ʦiɪn5"	""	"鄉音字類"	""	""	""
"駿"	"骏"	"ʦiɪn5"	""	"鄉音字類"	""	""	""
"餕"	"馂"	"ʦiɪn5"	""	"鄉音字類"	""	""	""
"浚"	"浚"	"ʦiɪn5"	""	"鄉音字類"	""	""	""
"雋"	"隽"	"ʦiɪn5"	""	"鄉音字類"	""	""	""
"儁"	"俊"	"ʦiɪn5"	""	"鄉音字類"	""	""	""
"搢"	"搢"	"ʦiən5"	""	"鄉音字類"	""	""	""
"賮"	"赆"	"ʦiɪn5"	""	"鄉音字類"	""	""	""
"藎"	"荩"	"ʦiɪn5"	""	"鄉音字類"	""	""	""
"燼"	"烬"	"ʦiən5"	""	"鄉音字類"	""	""	""
"贐"	"赆"	"ʦiən5"	""	"鄉音字類"	""	""	""
"侵"	"侵"	"ʦʰiɪn1"	"~掠"	"鄉音字類"	""	""	""
"惺"	"惺"	"siɪn1"	""	"鄉音字類"	""	""	""
"芯"	"芯"	"siɪn1"	"燈~"	"鄉音字類"	""	""	""
"辛"	"辛"	"siən1"	""	"鄉音字類"	""	""	""
"詵"	"诜"	"siɪn1"	""	"鄉音字類"	""	""	""
"駪"	"駪"	"siɪn1"	""	"鄉音字類"	""	""	""
"姺"	"姺"	"siɪn1"	""	"鄉音字類"	""	""	""
"侁"	"侁"	"siɪn1"	""	"鄉音字類"	""	""	""
"甡"	"甡"	"siɪn1"	""	"鄉音字類"	""	""	""
"籸"	"籸"	"siɪn1"	""	"鄉音字類"	""	""	""
"騂"	"骍"	"siɪn1"	""	"鄉音字類"	""	""	""
"觪"	"觪"	"siɪn1"	""	"鄉音字類"	""	""	""
"荀"	"荀"	"siɪn1"	""	"鄉音字類"	""	""	""
"洵"	"洵"	"siɪn1"	""	"鄉音字類"	""	""	""
"詢"	"询"	"siɪn1"	""	"鄉音字類"	""	""	""
"峋"	"峋"	"siɪn1"	""	"鄉音字類"	""	""	""
"珣"	"珣"	"siɪn1"	""	"鄉音字類"	""	""	""
"蜻"	"蜻"	"siɪn1"	"白讀"	"鄉音字類"	""	""	""
"甦"	"甦"	"siɪn1"	""	"鄉音字類"	""	""	""
"省"	"省"	"siɪn3"	""	"鄉音字類"	""	""	""
"箵"	"箵"	"siɪn3"	""	"鄉音字類"	""	""	""
"隼"	"隼"	"siɪn3"	""	"鄉音字類"	""	""	""
"伈"	"伈"	"siɪn3"	""	"鄉音字類"	""	""	""
"性"	"性"	"siɪn5"	""	"鄉音字類"	""	""	""
"汛"	"汛"	"siən5"	""	"鄉音字類"	""	""	""
"囟"	"囟"	"siən5"	"本音"	"鄉音字類"	""	""	""
"囟"	"囟"	"ɕiən5"	"小囝兒个~門潭。理論上爲心母字"	"蘇州同音常用字彙"	""	""	""
"濬"	"濬"	"siɪn5"	""	"鄉音字類"	""	""	""
"沁"	"沁"	"siɪn5"	""	"鄉音字類"	""	""	""
"殉"	"殉"	"siɪn5"	""	"鄉音字類"	""	""	""
"徇"	"徇"	"siɪn5"	""	"鄉音字類"	""	""	""
"侚"	"侚"	"siɪn5"	""	"鄉音字類"	""	""	""
"晴"	"晴"	"ziɪn2"	""	"鄉音字類"	""	""	""
"情"	"情"	"ziɪn2"	"水火弗留~"	"鄉音字類"	""	""	""
"尋"	"寻"	"ziɪn2"	""	"鄉音字類"	""	""	""
"潯"	"浔"	"ziɪn2"	"南~"	"鄉音字類"	""	""	""
"鬵"	"鬵"	"ziɪn2"	""	"鄉音字類"	""	""	""
"巡"	"巡"	"ziɪn2"	""	"鄉音字類"	""	""	""
"循"	"循"	"ziɪn2"	""	"鄉音字類"	""	""	""
"旬"	"旬"	"ziɪn2"	""	"鄉音字類"	""	""	""
"馴"	"驯"	"ziɪn2"	""	"鄉音字類"	""	""	""
"紃"	"紃"	"ziɪn2"	""	"鄉音字類"	""	""	""
"秦"	"秦"	"ziən2"	"姓"	"鄉音字類"	""	""	""
"餳"	"饧"	"ziɪn2"	"~糖"	"鄉音字類"	""	""	""
"盡"	"尽"	"ziən4"	"~心竭力"	"鄉音字類"	""	""	""
"静"	"静"	"ziɪn4"	""	"鄉音字類"	""	""	""
"淨"	"净"	"ziɪn4"	""	"鄉音字類"	""	""	""
"菌"	"菌"	"ziɪn4"	"香~。疑非本字"	"蘇州同音常用字彙"	""	""	""
"浄"	"净"	"ziɪn6"	"乾~"	"蘇州同音常用字彙"	""	""	""
"凊"	"凊"	"ziɪn6"	""	"鄉音字類"	""	""	""
"靖"	"靖"	"ziɪn6"	""	"鄉音字類"	""	""	""
"靖"	"靖"	"ziɪn4"	"安~"	"蘇州同音常用字彙"	""	""	""
"宑"	"宑"	"ziɪn6"	""	"鄉音字類"	""	""	""
"阱"	"阱"	"ziɪn6"	""	"鄉音字類"	""	""	""
"阱"	"阱"	"tsiɪn3"	"非本音。聲調據韻書類推"	"蘇州同音常用字彙"	""	""	""
"鯀"	"鯀"	"kuən1"	""	"鄉音字類"	""	""	""
"袞"	"衮"	"kuən1"	""	"鄉音字類"	""	""	""
"滾"	"滚"	"kuən1"	""	"鄉音字類"	""	""	""
"睔"	"睔"	"kuən1"	""	"鄉音字類"	""	""	""
"緄"	"绲"	"kuən1"	""	"鄉音字類"	""	""	""
"棍"	"棍"	"kuən1"	""	"鄉音字類"	""	""	""
"掍"	"掍"	"kuən3"	"~迹。聲調類推自《廣韻》，但聲母不合，理論讀[ɦuən³¹]，記載存疑"	"蘇州同音常用字彙"	""	""	""
"坤"	"坤"	"kʰuən1"	"乾~"	"鄉音字類"	""	""	""
"髡"	"髡"	"kʰuən1"	""	"鄉音字類"	""	""	""
"堃"	"坤"	"kʰuən1"	""	"鄉音字類"	""	""	""
"昆"	"昆"	"kʰuən1"	"~弟"	"鄉音字類"	""	""	""
"崑"	"崑"	"kʰuən1"	"~山"	"鄉音字類"	""	""	""
"琨"	"琨"	"kʰuən1"	""	"鄉音字類"	""	""	""
"鯤"	"鲲"	"kʰuən1"	""	"鄉音字類"	""	""	""
"罤"	"罤"	"kʰuən1"	""	"鄉音字類"	""	""	""
"緄"	"绲"	"kʰuən1"	""	"鄉音字類"	""	""	""
"悃"	"悃"	"kʰuən3"	""	"鄉音字類"	""	""	""
"閫"	"阃"	"kʰuən3"	""	"鄉音字類"	""	""	""
"捆"	"捆"	"kʰuən3"	""	"鄉音字類"	""	""	""
"壷"	"壶"	"kʰuən3"	""	"鄉音字類"	""	""	""
"梱"	"梱"	"kʰuən3"	""	"鄉音字類"	""	""	""
"緄"	"绲"	"kʰuən3"	""	"鄉音字類"	""	""	""
"輥"	"辊"	"kʰuən3"	""	"鄉音字類"	""	""	""
"輥"	"辊"	"kuən3"	"~繡球"	"蘇州同音常用字彙"	""	""	""
"困"	"困"	"kʰuən5"	"~苦"	"鄉音字類"	""	""	""
"昬"	"昏"	"huən1"	"俗字"	"鄉音字類"	""	""	""
"惽"	"惽"	"huən1"	"疑爲“惛”"	"鄉音字類"	""	""	""
"婚"	"婚"	"huən1"	"~姻"	"鄉音字類"	""	""	""
"閽"	"阍"	"huən1"	""	"鄉音字類"	""	""	""
"昏"	"昏"	"huən1"	"黄~時候"	"鄉音字類"	""	""	""
"葷"	"荤"	"huən1"	"吃~"	"鄉音字類"	""	""	""
"魂"	"魂"	"ɦuən2"	""	"鄉音字類"	""	""	""
"渾"	"浑"	"ɦuən2"	""	"鄉音字類"	""	""	""
"横"	"横"	"ɦuən2"	"縱~"	"鄉音字類"	""	""	""
"横"	"横"	"ɦuaŋ2"	"強~覇道"	"蘇州同音常用字彙"	""	""	""
"黌"	"黉"	"ɦuən2"	""	"鄉音字類"	""	""	""
"混"	"混"	"ɦuən4"	""	"鄉音字類"	""	""	""
"焜"	"焜"	"ɦuən4"	""	"鄉音字類"	""	""	""
"慁"	"慁"	"ɦuən6"	""	"鄉音字類"	""	""	""
"溷"	"溷"	"ɦuən6"	""	"鄉音字類"	""	""	""
"溫"	"温"	"uən1"	"姓"	"鄉音字類"	""	""	""
"瘟"	"瘟"	"uən1"	"~疫"	"鄉音字類"	""	""	""
"穩"	"稳"	"uən3"	"安安~~"	"鄉音字類"	""	""	""
"搬"	"搬"	"pœ̃1"	""	"鄉音字類"	""	""	""
"般"	"般"	"pœ̃1"	""	"鄉音字類"	""	""	""
"半"	"半"	"pœ̃5"	""	"鄉音字類"	""	""	""
"潘"	"潘"	"pʰœ̃1"	"姓"	"鄉音字類"	""	""	""
"拌"	"拌"	"pʰœ̃1"	""	"鄉音字類"	""	""	""
"頖"	"頖"	"pʰœ̃5"	""	"鄉音字類"	""	""	""
"泮"	"泮"	"pʰœ̃5"	""	"鄉音字類"	""	""	""
"牉"	"牉"	"pʰœ̃5"	""	"鄉音字類"	""	""	""
"判"	"判"	"pʰœ̃5"	"~斷"	"鄉音字類"	""	""	""
"盤"	"盘"	"bœ̃2"	""	"鄉音字類"	""	""	""
"磐"	"磐"	"bœ̃2"	""	"鄉音字類"	""	""	""
"鞶"	"鞶"	"bœ̃2"	""	"鄉音字類"	""	""	""
"槃"	"槃"	"bœ̃2"	""	"鄉音字類"	""	""	""
