字	注释	张集	大杨集	李老家	田庙	郑集	站集	店集	芒种桥	
撒		sa⁴⁴	sa⁴⁴	sa⁴⁴/sa²⁴	sa⁴⁴/sa²\n⁴	sa⁴⁴	sa⁴⁴	sa⁴⁴	sa⁴⁴	
干		kan²⁴	kan²⁴	kan²⁴	kan²⁴	kan²⁴	kan²⁴	kan²⁴	kan²⁴	
肝		kan²⁴	kan²⁴	kan²⁴	kan²⁴	kan²⁴	kan²⁴	kan²⁴	kan²⁴	
竿		kan²⁴	kan²⁴	kan⁴⁴	kan²⁴	kan²⁴	kan²⁴	kan²⁴	kan²⁴	
擀		kan⁴⁴	kan⁴⁴	kan⁴⁴	kan⁴⁴	kan⁴⁴	kan⁴⁴	kan⁴⁴	kan⁴⁴	
割		kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	
葛		kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	
看	~守	kʰan⁴¹	kʰan⁴¹	kʰan⁴¹/\nkʰan²⁴	kʰan⁴¹	kʰan⁴¹	kʰan⁴¹	kʰan⁴¹	kʰan⁴¹	
看	~见	kʰan⁴¹	kʰan⁴¹	kʰan⁴¹	kʰan⁴¹	kʰan⁴¹	kʰan⁴¹	kʰan⁴¹	kʰan⁴¹	
渴		kʰɤ²⁴	kʰɤ²⁴	kʰɤ²⁴	kʰɤ²⁴	kʰɤ²⁴	kʰɤ²⁴	kʰɤ²⁴	kʰɤ²⁴	
岸		ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	
罕		xan²⁴	xan⁴⁴	xan⁴⁴	xan⁴¹	xan⁴⁴	xan⁴⁴	xan⁴⁴	xan⁴⁴	
汉		xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	
寒		xan⁵²	xan⁵²	xan⁵²	xan⁵²	xan⁵²	xan⁵²	xan⁵²	xan⁵²	
旱		xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	
汗		xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	xan⁴¹	
安		ɣan²⁴	ɣan²⁴	ɣan²⁴	ɣan²⁴	ɣan²⁴	ɣan²⁴	ɣan²⁴	ɣan²⁴	
按		ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	
案		ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	ɣan⁴¹	
扮		pan⁴¹/\nfan⁴¹	pan⁴¹/\nfan⁴¹	pan⁴¹/\nfan⁴¹	pan⁴¹/\nfan⁴¹	pan⁴¹	pan⁴¹/\nfan⁴¹	pan⁴¹/\nfan⁴¹	pan⁴¹/\nfan⁴¹	
八		pa²⁴	pa²⁴	pa²⁴	pa²⁴	pa²⁴	pa²⁴	pa²⁴	pa²⁴	
盼		pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	
瓣		pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	
拔		pa⁵²	pa⁵²	pa⁵²	pa⁵²	pa⁵²	pa⁵²	pa⁵²	pa⁵²	
抹	~布	ma²⁴	ma²⁴	ma²⁴	ma²⁴	ma²⁴	ma²⁴	ma²⁴	ma²⁴	
盏		tsan⁴⁴	tsan⁴⁴	tsan⁴⁴	tsan⁴⁴	tsan⁴⁴	tʂan⁴⁴	tʂan⁴⁴	tʂan⁴⁴	
察		tsʰa²⁴	tsʰa²⁴	tsʰa²⁴	tsʰa²⁴	tsʰa²⁴/tsʰ\na⁵²	tʂʰa²⁴	tʂʰa²⁴	tʂʰa²⁴	
山		san²⁴	san²⁴	san²⁴	san²⁴	san²⁴	ʂan²⁴	ʂan²⁴	ʂan²⁴	
产		tsʰan⁴⁴	tsʰan⁴⁴	tsʰan⁴⁴	tsʰan⁴⁴	tsʰan⁴⁴	tʂʰan⁴⁴	tʂʰan⁴⁴	tʂʰan⁴⁴	
杀		sa²⁴	sa²⁴	sa²⁴	sa²⁴	sa²⁴	ʂa²⁴	ʂa²⁴	ʂa²⁴	
间		tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	
简		tɕian⁴⁴	tɕian⁴⁴	tɕian⁴⁴	tɕian⁴⁴	tɕian⁴⁴	tɕian⁴⁴	tɕian⁴⁴	tɕian⁴⁴	
眼		ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	
闲		ɕian⁵²	ɕian⁵²	ɕian⁵²	ɕian⁵²	ɕian⁵²	ɕian⁵²	ɕian⁵²	ɕian⁵²	
限		ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	
轧		ia⁴¹	ia⁴¹	ia⁴¹	ia⁴¹	ia⁴¹	ia⁴¹	ia⁴¹	ia⁴¹	
班		pan²⁴	pan²⁴	pan²⁴	pan²⁴	pan²⁴	pan²⁴	pan²⁴	pan²⁴	
板		pan⁴⁴	pan⁴⁴	pan⁴⁴	pan⁴⁴	pan⁴⁴	pan⁴⁴	pan⁴⁴	pan⁴⁴	
攀		pʰan²⁴	pʰan²⁴	pʰan²⁴	pʰan²⁴	pʰan²⁴	pʰan²⁴	pʰan²⁴	pʰan²⁴	
襻	~鞋	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	
慢		man⁴¹	man⁴¹	man⁴¹	man⁴¹	man⁴¹	man⁴¹	man⁴¹	man⁴¹	
蛮		man⁵²	man⁵²	man⁵²	man⁵²	man⁵²	man⁵²	man⁵²	man⁵²	
删		ʂan²⁴	ʂan²⁴	ʂan²⁴	ʂan²⁴	ʂan²⁴	ʂan⁴¹	ʂan⁴¹	ʂan²⁴/ʂan\n⁴¹	
疝		ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	
奸		tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	
颜		ian⁵²	ian⁵²	ian⁵²	ian⁵²	ian⁵²	ian⁵²	ian⁵²	ian⁵²	
雁		ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	
瞎		ɕia²⁴	ɕia²⁴	ɕia²⁴	ɕia²⁴	ɕia²⁴	ɕia²⁴	ɕia²⁴	ɕia²⁴	
鞭		pian²⁴	pian²⁴	pian²⁴	pian²⁴	pian²⁴	pian²⁴	pian²⁴	pian²⁴	
编		pian²⁴	pian²⁴	pian²⁴	pian²⁴	pian²⁴	pian²⁴	pian²⁴	pian²⁴	
变		pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	
别	~区	piɛ⁵²	piɛ⁵²	piɛ⁵²	piɛ⁵²	piɛ⁵²	piɛ⁵²	piɛ⁵²	piɛ⁵²	
篇		pʰian²⁴	pʰian²⁴	pʰian²⁴	pʰian²⁴	pʰian²⁴	pʰian²⁴	pʰian²⁴	pʰian²⁴	
偏		pʰian²⁴	pʰian²⁴	pʰian²⁴	pʰian²⁴	pʰian²⁴	pʰian²⁴	pʰian²⁴	pʰian²⁴	
骗		pʰian⁴¹	pʰian⁴¹	pʰian⁴¹	pʰian⁴¹	pʰian⁴¹	pʰian⁴¹	pʰian⁴¹	pʰian⁴¹	
便		pʰian⁵²	pʰian⁵²	pʰian⁵²	pʰian⁵²	pʰian⁵²	pʰian⁵²	pʰian⁵²	pʰian⁵²	
~宜										
辨		pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	
便	~方	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	
绵		mian⁵²	mian⁵²	mian⁵²	mian⁵²	mian⁵²	mian⁵²	mian⁵²	mian⁵²	
棉		mian⁵²	mian⁵²	mian⁵²	mian⁵²	mian⁵²	mian⁵²	mian⁵²	mian⁵²	
免		mian⁴⁴	mian⁴⁴	mian⁴⁴	mian⁴⁴	mian⁴⁴	mian⁴⁴	mian⁴⁴	mian⁴⁴	
面		mian⁴¹	mian⁴¹	mian⁴¹	mian⁴¹	mian⁴¹	mian⁴¹	mian⁴¹	mian⁴¹	
灭		miɛ²⁴	miɛ²⁴	miɛ²⁴	miɛ²⁴	miɛ²⁴	miɛ²⁴	miɛ²⁴	miɛ²⁴	
连		lian⁵²	lian⁵²	lian⁵²	lian⁵²	lian⁵²	lian⁵²	lian⁵²	lian⁵²	
联		lian⁵²	lian⁵²	lian⁵²	lian⁵²	lian⁵²	lian⁵²	lian⁵²	lian⁵²	
裂		liɛ²⁴	liɛ²⁴	liɛ²⁴	liɛ²⁴	liɛ²⁴	liɛ²⁴	liɛ²⁴	liɛ²⁴	
煎		tsian²⁴	tsian²⁴	tsian²⁴	tsian²⁴	tsian²⁴	tsian²⁴	tsian²⁴	tsian²⁴	
剪		tsian⁴⁴	tsian⁴⁴	tsian⁴⁴	tsian⁴⁴	tsian⁴⁴	tsian⁴⁴	tsian⁴⁴	tsian⁴⁴	
箭		tsian⁴¹	tsian⁴¹	tsian⁴¹	tsian⁴¹	tsian⁴¹	tsian⁴¹	tsian⁴¹	tsian⁴¹	
溅		tsian⁴¹	tsian⁴¹	tsian⁴¹	tsian⁴⁴	tsian⁴¹	tsian⁴⁴	tsian⁴⁴	tsian⁴⁴	
迁		tsʰian²⁴	tsʰian²⁴	tsʰian²⁴	tsʰian²⁴	tsʰian²⁴	tsʰian²⁴	tsʰian²⁴	tsʰian²⁴	
浅		tsʰian⁴⁴	tsʰian⁴⁴	tsʰian⁴⁴	tsʰian⁴⁴	tsʰian⁴⁴	tsʰian⁴⁴	tsʰian⁴⁴	tsʰian⁴⁴	
钱		tsʰian⁵²	tsʰian⁵²	tsʰian⁵²	tsʰian⁵²	tsʰian⁵²	tsʰian⁵²	tsʰian⁵²	tsʰian⁵²	
贱		tsian⁴¹	tsian⁴¹	tsian⁴¹	tsian⁴¹	tsian⁴¹	tsian⁴¹	tsian⁴¹	tsian⁴¹	
仙		sian²⁴	sian²⁴	sian²⁴	sian²⁴	sian²⁴	sian²⁴	sian²⁴	sian²⁴	
鲜		sian²⁴	sian²⁴	sian²⁴	sian²⁴	sian²⁴	sian²⁴	sian²⁴	sian²⁴	
癣		suan⁴⁴	suan⁴⁴	suan⁴⁴	suan⁴⁴	suan⁴⁴	suan⁴⁴	suan⁴⁴	suan⁴⁴	
线		sian⁴¹	sian⁴¹	sian⁴¹	sian⁴¹	sian⁴¹	sian⁴¹	sian⁴¹	sian⁴¹	
薛		suo²⁴	suo²⁴	suo²⁴	suo²⁴	suo²⁴	suo²⁴	suo²⁴	suo²⁴	
羡		ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	
展		tʂan⁴⁴	tʂan⁴⁴	tʂan⁴⁴	tʂan⁴⁴	tʂan⁴⁴	tʂan⁴⁴	tʂan⁴⁴	tʂan⁴⁴	
哲		tʂə²⁴	tʂə⁴⁴	tʂə²⁴	tʂə⁴⁴/tʂə⁵²	tʂə⁴⁴	tʂə⁵²	tʂə⁵²	tʂə²⁴	
撤		tʂʰə²⁴	tʂʰə²⁴	tʂʰə⁴¹	tʂʰə⁴¹	tʂʰə⁴¹	tʂʰə²⁴/tʂʰ\nə⁴¹	tʂʰə²⁴	tʂʰə²⁴/tʂʰ\nə⁴¹	
缠		tʂʰan⁵²	tʂʰan⁵²	tʂʰan⁵²	tʂʰan⁵²	tʂʰan⁵²	tʂʰan⁵²	tʂʰan⁵²	tʂʰan⁵²	
战		tʂan⁴¹	tʂan⁴¹	tʂan⁴¹	tʂan⁴¹	tʂan⁴¹	tʂan⁴¹	tʂan⁴¹	tʂan⁴¹	
折		tʂə²⁴	tʂə²⁴	tʂə²⁴	tʂə²⁴	tʂə²⁴	tʂə²⁴	tʂə²⁴	tʂə²⁴	
舌		ʂə⁵²	ʂə⁵²	ʂə⁵²	ʂə⁵²	ʂə⁵²	ʂə⁵²	ʂə⁵²	ʂə⁵²	
扇	~子	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	
设		ʂə²⁴	ʂə²⁴	ʂə²⁴	ʂə²⁴	ʂə²⁴	ʂə²⁴	ʂə²⁴	ʂə²⁴	
善		ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	ʂan⁴¹	
折	~了	ʂə⁵²	ʂə⁵²	ʂə⁵²	ʂə⁵²	ʂə⁵²	ʂə⁵²	ʂə⁵²	ʂə⁵²	
然		ʐan⁴⁴	ʐan⁴⁴	zan⁴⁴	zan⁴⁴	ʐan⁴⁴	ʐan⁴⁴	ʐan⁴⁴	ʐan⁴⁴	
燃		ʐan⁴⁴	ʐan⁴⁴	zan⁴⁴	zan⁴⁴	ʐan⁴⁴	ʐan⁴⁴	ʐan⁴⁴	ʐan⁴⁴	
热		ʐə²⁴	ʐə²⁴	ʐə²⁴	ʐə²⁴	ʐə²⁴	ʐə²⁴	ʐə²⁴	ʐə²⁴	
乾		tɕʰian⁵²	tɕʰian⁵ ²	tɕʰian⁵²/\ntɕʰian⁴⁴	tɕʰian⁵²\n/\ntɕʰian⁴⁴	tɕʰian⁵²	tɕʰian⁵²	tɕʰian⁵²	tɕʰian⁵²	
件		tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	
杰		tɕiɛ⁵²	tɕiɛ⁵²	tɕiɛ⁵²	tɕiɛ⁵²	tɕiɛ⁵²	tɕiɛ⁵²	tɕiɛ⁵²	tɕiɛ⁵²	
孽		ȵiɛ²⁴	iɛ²⁴	ȵiɛ²⁴	ȵiɛ²⁴	ȵiɛ²⁴	ȵiɛ⁴¹	ȵiɛ⁴¹	ȵiɛ⁴¹	
蔫		ȵian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	
焉	心不~在	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	
延		ian⁵²	ian⁵²	ian⁵²	ian⁵²	ian⁵²	ian⁵²	ian⁵²	ian⁵²	
演		ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	
拽		tʂuɛ⁴¹	tʂuɛ⁴¹	tʂuɛ⁴¹	tʂuɛ⁴¹	tʂuɛ⁴¹	tʂuɛ⁴¹	tʂuɛ⁴¹	tʂuɛ⁴¹	
建		tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	
揭		tɕiɛ²⁴	tɕiɛ²⁴	tɕiɛ²⁴	tɕiɛ²⁴	tɕiɛ²⁴	tɕiɛ²⁴	tɕiɛ²⁴	tɕiɛ²⁴	
健		tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	
言		ian⁵²	ian⁵²	ian⁵²	ian⁵²	ian⁵²	ian⁵²	ian⁵²	ian⁵²	
掀		ɕian²⁴	ɕian²⁴	ɕian²⁴	ɕian²⁴	ɕian²⁴	ɕian²⁴	ɕian²⁴	ɕian²⁴	
献		ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	
歇		ɕiɛ²⁴	ɕiɛ²⁴	ɕiɛ²⁴	ɕiɛ²⁴	ɕiɛ²⁴	ɕiɛ²⁴	ɕiɛ²⁴	ɕiɛ²⁴	
边		pian²⁴	pian²⁴	pian²⁴	pian²⁴	pian²⁴	pian²⁴	pian²⁴	pian²⁴	
蝙		pian²⁴/\npʰian²⁴	pian²⁴/\npʰian²⁴	pian²⁴	pian²⁴	pian⁴⁴	pian⁴⁴	pian⁴⁴	pian⁴⁴	
扁		pian⁴⁴	pian⁴⁴	pian⁴⁴	pian⁴⁴	pian⁴⁴	pian⁴⁴	pian⁴⁴	pian⁴⁴	
遍		pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	
憋		piɛ²⁴	piɛ²⁴	piɛ²⁴	piɛ²⁴	piɛ²⁴	piɛ²⁴	piɛ²⁴	piɛ²⁴	
片		pʰian⁴¹	pʰian⁴¹	pʰian⁴¹	pʰian⁴¹	pʰian⁴¹	pʰian⁴¹	pʰian⁴¹	pʰian⁴¹	
撇		pʰiɛ²⁴	pʰiɛ²⁴	pʰiɛ²⁴	pʰiɛ²⁴	pʰiɛ²⁴	pʰiɛ²⁴	pʰiɛ²⁴	pʰiɛ²⁴	
辫		pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	pian⁴¹	
眠		mian⁵²	mian⁵²	mian⁵²	mian⁵²	mian⁵²	mian⁵²	mian⁵²	mian⁵²	
颠		tian²⁴	tian²⁴	tian²⁴	tian²⁴	tian²⁴	tian²⁴	tian²⁴	tian²⁴	
典		tian⁴⁴	tian⁴⁴	tian⁴⁴	tian⁴⁴	tian⁴⁴	tian⁴⁴	tian⁴⁴	tian⁴⁴	
天		tʰian²⁴	tʰian²⁴	tʰian²⁴	tʰian²⁴	tʰian²⁴	tʰian²⁴	tʰian²⁴	tʰian²⁴	
腆		tian⁴⁴	tian⁴⁴	tian⁴⁴	tian⁴⁴	tian⁴⁴	tian⁴⁴	tian⁴⁴	tian⁴⁴	
铁		tʰiɛ²⁴	tʰiɛ²⁴	tʰiɛ²⁴	tʰiɛ²⁴	tʰiɛ²⁴	tʰiɛ²⁴	tʰiɛ²⁴	tʰiɛ²⁴	
田		tʰian⁵²	tʰian⁵²	tʰian⁵²	tʰian⁵²	tʰian⁵²	tʰian⁵²	tʰian⁵²	tʰian⁵²	
填		tʰian⁵²	tʰian⁵²	tʰian⁵²	tʰian⁵²	tʰian⁵²	tʰian⁵²	tʰian⁵²	tʰian⁵²	
电		tian⁴¹	tian⁴¹	tian⁴¹	tian⁴¹	tian⁴¹	tian⁴¹	tian⁴¹	tian⁴¹	
垫		tian⁴¹	tian⁴¹	tian⁴¹	tian⁴¹	tian⁴¹	tian⁴¹	tian⁴¹	tian⁴¹	
年		ȵian⁵²	ȵian⁵²	ȵian⁵²	ȵian⁵²	ȵian⁵²	ȵian⁵²	ȵian⁵²	ȵian⁵²	
捏		ȵiɛ²⁴	ȵiɛ²⁴	ȵiɛ²⁴	ȵiɛ²⁴	ȵiɛ²⁴	ȵiɛ²⁴	ȵiɛ²⁴	ȵiɛ²⁴	
怜		lian⁴¹	lian⁴¹	lian⁵²	lian⁵²	lian⁴¹	lian⁵²	lian⁵²	lian⁵²	
练		lian⁴¹	lian⁴¹	lian⁴¹	lian⁴¹	lian⁴¹	lian⁴¹	lian⁴¹	lian⁴¹	
倩		tɕʰian⁴¹	tɕʰian⁴\n¹	tɕʰian⁴¹	tɕʰian⁴¹	tɕʰian⁴¹	tɕʰian⁴¹	tɕʰian⁴¹	tɕʰian⁴¹	
节		tsiɛ²⁴	tsiɛ²⁴	tsiɛ²⁴	tsiɛ²⁴	tsiɛ²⁴	tsiɛ²⁴	tsiɛ²⁴	tsiɛ²⁴	
千		tsʰian²⁴	tsʰian²⁴	tsʰian²⁴	tsʰian²⁴	tsʰian²⁴	tsʰian²⁴	tsʰian²⁴	tsʰian²⁴	
切		tsʰiɛ²⁴	tsʰiɛ²⁴	tsʰiɛ²⁴	tsʰiɛ²⁴	tsʰiɛ²⁴	tsʰiɛ²⁴	tsʰiɛ²⁴	tsʰiɛ²⁴	
前		tsʰian⁵²	tsʰian⁵²	tsʰian⁵²	tsʰian⁵²	tsʰian⁵²	tsʰian⁵²	tsʰian⁵²	tsʰian⁵²	
截		tsiɛ⁵²	tsiɛ⁵²	tsiɛ⁵²	tsiɛ⁵²	tsiɛ⁵²	tsiɛ⁵²	tsiɛ⁵²	tsiɛ⁵²	
先		sian²⁴	sian²⁴	sian²⁴	sian²⁴	sian²⁴	sian²⁴	sian²⁴	sian²⁴	
肩		tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	tɕian²⁴	
见		tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	tɕian⁴¹	
结		tɕiɛ²⁴	tɕiɛ²⁴	tɕiɛ²⁴	tɕiɛ²⁴	tɕiɛ²⁴	tɕiɛ²⁴	tɕiɛ²⁴	tɕiɛ²⁴	
牵		tɕʰian²⁴	tɕʰian²⁴	tɕʰian²⁴	tɕʰian²⁴	tɕʰian²⁴	tɕʰian²⁴	tɕʰian²⁴	tɕʰian²⁴	
茧		tɕian⁴⁴	tɕian⁴⁴/\ntɕiaŋ⁴⁴	tɕian⁴⁴/\ntɕiaŋ⁴⁴	tɕian⁴⁴/\ntɕiaŋ⁴⁴	tɕiaŋ⁴⁴	tɕian⁴⁴/\ntɕiaŋ⁴⁴	tɕian⁴⁴/\ntɕiaŋ⁴⁴	tɕian⁴⁴/\ntɕiaŋ⁴⁴	
研		ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	ian⁴⁴	
显		ɕian⁴⁴	ɕian⁴⁴	ɕian⁴⁴	ɕian⁴⁴	ɕian⁴⁴	ɕian⁴⁴	ɕian⁴⁴	ɕian⁴⁴	
贤		ɕian⁵²	ɕian⁵²	ɕian⁵²	ɕian⁵²	ɕian⁵²	ɕian⁵²	ɕian⁵²	ɕian⁵²	
现		ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	ɕian⁴¹	
烟		ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	
胭		ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	ian²⁴	
燕		ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	
咽		ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	ian⁴¹	
噎		iɛ²⁴	iɛ²⁴	iɛ²⁴	iɛ²⁴	iɛ²⁴	iɛ²⁴	iɛ²⁴	iɛ²⁴	
般		pan²⁴	pan²⁴	pan²⁴	pan²⁴	pan²⁴	pan²⁴	pan²⁴	pan²⁴	
搬		pan²⁴	pan²⁴	pan²⁴	pan²⁴	pan²⁴	pan²⁴	pan²⁴	pan²⁴	
半		pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	
绊		pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	
拨		po²⁴	po²⁴	po²⁴	po²⁴	po²⁴	po²⁴	po²⁴	po²⁴	
判		pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	
泼		pʰo²⁴	pʰo²⁴	pʰo²⁴	pʰo²⁴/\npo²⁴	pʰo²⁴	pʰo²⁴	pʰo²⁴	pʰo²⁴	
伴		pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	
拌		pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	pan⁴¹	
叛		pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	pʰan⁴¹	
瞒		man⁵²	man⁵²	man⁵²	man⁵²	man⁵²	man⁵²	man⁵²	man⁵²	
馒		man⁵²	man⁵²	man⁵²	man⁵²	man⁵²	man⁵²	man⁵²	man⁵²	
满		man⁴⁴	man⁴⁴	man⁴⁴	man⁴⁴	man⁴⁴	man⁴⁴	man⁴⁴	man⁴⁴	
沫		mo²⁴	mo²⁴	mo²⁴	mo²⁴	mo²⁴	mo²⁴	mo²⁴	mo²⁴	
抹		mo⁴⁴	mo⁴⁴	mo⁴⁴	mo⁴⁴	mo⁴⁴	mo⁴⁴	mo⁴⁴	mo⁴⁴	
端		tuan²⁴	tuan²⁴	tuan²⁴	tuan²⁴	tuan²⁴	tuan²⁴	tuan²⁴	tuan²⁴	
短		tuan⁴⁴	tuan⁴⁴	tuan⁴⁴	tuan⁴⁴	tuan⁴⁴	tuan⁴⁴	tuan⁴⁴	tuan⁴⁴	
断		tuan⁴¹	tuan⁴¹	tuan⁴¹	tuan⁴¹	tuan⁴¹	tuan⁴¹	tuan⁴¹	tuan⁴¹	
掇	~拾	tɔ⁴⁴	tɔ⁴⁴	tɔ⁴⁴	tɔ⁴⁴	tɔ⁴⁴	tɔ⁴⁴	tɔ⁴⁴	tɔ⁴⁴	
脱		tʰuo²⁴	tʰuo²⁴	tʰuo²⁴	tʰuo²⁴	tʰuo²⁴	tʰuo²⁴	tʰuo²⁴	tʰuo²⁴	
团		tʰuan⁵²	tʰuan⁵²	tʰuan⁵²	tʰuan⁵²	tʰuan⁵²	tʰuan⁵²	tʰuan⁵²	tʰuan⁵²	
段		tuan⁴¹	tuan⁴¹	tuan⁴¹	tuan⁴¹	tuan⁴¹	tuan⁴¹	tuan⁴¹	tuan⁴¹	
夺		tuo⁵²	tuo⁵²	tuo⁵²	tuo⁵²	tuo⁵²	tuo⁵²	tuo⁵²	tuo⁵²	
暖		nuan⁴⁴	nuan⁴⁴	nuan⁴⁴	nuan⁴⁴	nuan⁴⁴	nuan⁴⁴	nuan⁴⁴	nuan⁴⁴	
弯		uan²⁴	uan²⁴	uan²⁴	uan²⁴	uan²⁴	uan²⁴	uan²⁴	uan²⁴	
耧		lou⁵²	lou⁵²	lou⁵²	lou⁵²	lou⁵²	lou⁵²	lou⁵²	lou⁵²	
搂		lou⁴⁴	lou⁴⁴	lou⁴⁴	lou⁴⁴	lou⁴⁴	lou⁴⁴	lou⁴⁴	lou⁴⁴	
