字	注释	张集	大杨集	李老家	田庙	郑集	站集	店集	芒种桥	
送		suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	suŋ⁴¹	
速		su²⁴/su⁴\n¹	su²⁴/su\n⁴¹	su²⁴	su²⁴	su²⁴/su⁴¹	su²⁴/su⁴¹	su²⁴/su⁴¹	su²⁴/su⁴¹	
公		kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	
工		kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	
功		kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	kuŋ²⁴	
谷		ku²⁴	ku²⁴	ku²⁴	ku²⁴	ku²⁴	ku²⁴	ku²⁴	ku²⁴	
空	~虚	kʰuŋ²⁴	kʰuŋ²⁴	kʰuŋ²⁴	kʰuŋ²⁴	kʰuŋ²⁴	kʰuŋ²⁴	kʰuŋ²⁴	kʰuŋ²⁴	
孔		kʰuŋ⁴⁴	kʰuŋ⁴⁴	kʰuŋ⁴⁴	kʰuŋ⁴⁴	kʰuŋ⁴⁴	kʰuŋ⁴⁴	kʰuŋ⁴⁴	kʰuŋ⁴⁴	
控		kʰuŋ⁴¹	kʰuŋ⁴¹	kʰuŋ⁵²	kʰuŋ⁵²	kʰuŋ⁴¹	kʰuŋ⁴¹	kʰuŋ⁴¹	kʰuŋ⁴¹	
空	~缺	kʰuŋ⁴¹	kʰuŋ⁴¹	kʰuŋ⁴¹	kʰuŋ⁴¹	kʰuŋ⁴¹	kʰuŋ⁴¹	kʰuŋ⁴¹	kʰuŋ⁴¹	
哭		kʰu²⁴	kʰu²⁴	kʰu²⁴	kʰu²⁴	kʰu²⁴	kʰu²⁴	kʰu²⁴	kʰu²⁴	
烘	~干	xuŋ²⁴	xuŋ²⁴	xuŋ²⁴	xuŋ²⁴	xuŋ²⁴	xuŋ²⁴	xuŋ²⁴	xuŋ²⁴	
哄		xuŋ⁴⁴	xuŋ⁴⁴	xuŋ⁴⁴	xuŋ⁴⁴	xuŋ⁴⁴	xuŋ⁴⁴	xuŋ⁴⁴	xuŋ⁴⁴	
红		xuŋ⁵²	xuŋ⁵²	xuŋ⁵²	xuŋ⁵²	xuŋ⁵²	xuŋ⁵²	xuŋ⁵²	xuŋ⁵²	
屋		u²⁴	u²⁴	u²⁴	u²⁴	u²⁴	u²⁴	u²⁴	u²⁴	
冬		tuŋ²⁴	tuŋ²⁴	tuŋ²⁴	tuŋ²⁴	tuŋ²⁴	tuŋ²⁴	tuŋ²⁴	tuŋ²⁴	
统		tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	
毒		tu⁵²	tu⁵²	tu⁵²	tu⁵²	tu⁵²	tu⁵²	tu⁵²	tu⁵²	
农		nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	
荥	~阳	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	
扑		pʰu²⁴	pʰu²⁴	pʰu²⁴	pʰu²⁴	pʰu²⁴	pʰu²⁴	pʰu²⁴	pʰu²⁴	
醭		pu⁵²	pu⁵²	pu⁵²	pu⁵²	pu⁵²	pu⁵²	pu⁵²	pu⁵²	
蓬		pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	
瀑		pʰɔ⁴¹	pʰɔ⁴¹	pʰu²⁴	pʰu²⁴	pʰu²⁴	pʰu⁴¹	pʰu⁴¹	pʰu⁴¹	
蒙		məŋ²⁴	məŋ²⁴	məŋ²⁴	məŋ²⁴	məŋ²⁴	məŋ²⁴	məŋ²⁴	məŋ²⁴	
懵		məŋ²⁴	məŋ²⁴	məŋ²⁴	məŋ²⁴	məŋ²⁴	məŋ²⁴	məŋ²⁴	məŋ²⁴	
木		mu²⁴	mu²⁴	mu²⁴	mu²⁴	mu²⁴	mu²⁴	mu²⁴	mu²⁴	
东		tuŋ²⁴	tuŋ²⁴	tuŋ²⁴	tuŋ²⁴	tuŋ²⁴	tuŋ²⁴	tuŋ²⁴	tuŋ²⁴	
懂		tuŋ⁴⁴	tuŋ⁴⁴	tuŋ⁴⁴	tuŋ⁴⁴	tuŋ⁴⁴	tuŋ⁴⁴	tuŋ⁴⁴	tuŋ⁴⁴	
冻		tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	
通		tʰuŋ²⁴	tʰuŋ²⁴	tʰuŋ²⁴	tʰuŋ²⁴	tʰuŋ²⁴	tʰuŋ²⁴	tʰuŋ²⁴	tʰuŋ²⁴	
