汉字	注释	音标
镜		kin5=/kiaŋ5-
迎		niaŋ2
逆		niak8
影		iaŋ3
饼		piaŋ3
名		miaŋ2
领		liaŋ1
岭		liaŋ1
精		θin1
井		tʃiaŋ3
脊		θiak7
清		tʰin1
请		tʃʰiaŋ3
情		tʰin2
晴		tʰin2=/tʃʰiaŋ2-
静		tʰin5
姓		ʃiaŋ5
惜		θik7
程		tʃʰaŋ2
正		tʃin5
只	一~鸡	tʃak7
尺		tʃʰak7
声		ʃaŋ1
成		tʃʰaŋ2=/ʃaŋ2-
石		ʃak8
颈		kiaŋ3
轻		kʰiaŋ1
赢		iaŋ2
壁		piak7
瓶		pʰin2
钉	铁~	taŋ1
滴		tik7
听	~见	tʰaŋ1
踢		tʰiak7
停		tʰin2
定		tʰin5
笛		tʰək8
敌		tʰik8
灵		lin2
青		tʰiaŋ1
星		θin1
醒		ʃiaŋ3
锡		θiak7
经		kin1
形		hin2
矿		kʰɔŋ5
横	~直	vaŋ2
轰		fuŋ1
兄		huŋ1
荣		iuŋ2
永		iun3
倾		kʰin3
琼		kʰin2
营		/
役		ik8
篷		pʰuŋ2
蒙		muŋ2
木		muk7
东		tuŋ1
懂		tuŋ3
冻		tuŋ5
通		tʰuŋ1
桶		tʰuŋ3
痛		tʰuŋ5
铜		tʰuŋ2
动		tʰuŋ1
洞		tʰuŋ5
独		tʰuk8
读		tʰuk8
笼		luŋ2
麓		luk8
棕		θuŋ1
粽		θuŋ5
葱		tʰuŋ1
送		θuŋ5
公		kuŋ1
工		kuŋ1
谷		kuk7
空	~虚	kʰuŋ1
红		fuŋ2
翁		vuŋ1
蕹		vuŋ5
屋		vuk7
冬		tuŋ1
毒		tʰuk8
农		nuŋ2
脓		nuŋ2
宗		θuŋ1
松	~紧	θuŋ1
风		fuŋ1
福		fuk7
冯		pʰuŋ2
凤		fuŋ5
服		fuk8
梦		muŋ5
目		muk7
六		luk7
肃		θuk7
中	~间	tʃuŋ1
竹		tʃuk7
虫		tʃʰuŋ2
众		tʃuŋ5
粥		tʃuk7
铳		tʃʰuŋ5
叔		ʃuk7
熟		ʃuk8
绒		iuŋ2
肉		niuk7
弓		kuŋ1
宫		kuŋ1
菊		kuk7
穷		kʰuŋ2
畜	~牧	tʃʰuk7
熊		iuŋ2
封		fuŋ1
蜂		fuŋ1
缝	裁~	fuŋ2
浓		nuŋ2
龙		luŋ2
绿		luk8
足		θuk7
从	~来	tʰuŋ2
松	~树	tʰuŋ2
俗		θuk8
重	~复	tʃʰuŋ2
重	轻~	tʃʰuŋ5
钟		tʃuŋ1
肿		tʃuŋ3
烛		tʃuk7
冲		tʃʰuŋ1
舂		tʃuŋ1
辱		iuk8
供	~应	kuŋ1
拱		kuŋ3
恐		kʰuŋ3
曲		tʃʰuk7
共		kʰuŋ5
局		kʰuk8
玉		niuk8
胸		iuŋ1
凶		iuŋ1
容		iuŋ2
用		iuŋ5
欲		iuk8
