例字	老派	新派	
點	tiɛn53	tiɛn53	
踮	tiɛn213	tiɛn213	
店	tiɛn213	tiɛn213	
跌	tie21	tie45	
添	tʰiɛn45	tʰiɛn45	
舔	tʰiɛn53	tʰiɛn53	
㮇	tʰiɛn53	tʰiɛn53	
帖	tʰie21	tʰie21	
貼	tʰie21	tʰie21	
甜	tʰiɛn21	tʰiɛn21	
簟	tiɛn213	tiɛn213	
疊	tie21	tie21	
碟	tie21	tie21	
牒	tie21	tie21	
蝶	tie21	tie21	
諜	tie21	tie21	
鮎	ȵiɛn21	ȵiɛn21	
拈	ȵiɛn45	ȵiɛn45	
念	ȵiɛn213	ȵiɛn213	
廿	ȵiɛn213	ȵiɛn213	
兼	ʨiɛn45	ʨiɛn45	
搛	ȵiɛn45	ȵiɛn45	
挾	ʨia21	ʨia21	
莢	ʨia21	ʨia21	
謙	ʨʰiɛn45	ʨʰiɛn45	
歉	ʨʰiɛn213	ʨʰiɛn213	
嫌	ɕiɛn21	ɕiɛn21	
參	sən45	sən45	
滲	sən213	sən213	
澀	se21	se213	
針	tsən45	tsən45	
斟	tsən45	tsən45	
枕	tsən53	tsən53	
枕	tsən53	tsən53	
執	tsɿ21	tsɿ21	
汁	tsɿ21	tsɿ45	
葚	sən213	sən213	
深	sən45	sən45	
沈	sən53	sən53	
嬸	sən53	sən53	
審	sən53	sən53	
濕	sɿ21	sɿ21	
甚	sən213	sən213	
十	sɿ21	sɿ21	
什	sɿ21	sɿ21	
拾	sɿ21	sɿ21	
壬	zən21	zən21	
任	zən21	zən21	
任	zən213	zən213	
紝	zən213	zən213	
入	zu21	zu21	
今	ʨin45	ʨin45	
金	ʨin45	ʨin45	
禁	ʨin45	ʨin45	
襟	ʨin45	ʨin45	
錦	ʨin53	ʨin53	
禁	ʨin213	ʨin213	
急	ʨi21	ʨi21	
級	ʨi21	ʨi21	
給	ʨi21	ʨi53	
欽	ʨʰin45	ʨʰin45	
撳	ʨʰin45	ʨʰin213	
泣	ɕi21	ɕi213	
琴	ʨʰin21	ʨʰin21	
禽	ʨʰin21	ʨʰin21	
擒	ʨʰin21	ʨʰin21	
妗	ʨʰin21	ʨʰin21	
及	ʨi21	ʨi21	
贊	tsan213	tsan213	
灒	tsan213	tsan213	
讚	tsan213	tsan213	
餐	tsʰan45	tsʰan45	
燦	tsʰan213	tsʰan213	
擦	tsʰa21	tsʰa21	
殘	tsʰan21	tsʰan21	
珊	suan45	san45	
散	san53	san53	
傘	san53	san53	
散	san213	san213	
撒	sa53	sa53	
薩	sa45	sa45	
干	kan45	kan45	
乾	kan45	kan45	
肝	kan45	kan45	
竿	kan45	kan45	
桿	kan53	kan45	
稈	kan53	kan53	
擀	kan53	kan53	
趕	kan53	kan53	
幹	kan213	kan213	
割	ko21	ko21	
葛	ko21	ko21	
看	kʰan213	kʰan213	
刊	kʰan45	kʰan45	
看	kʰan213	kʰan213	
渴	kʰo21	kʰo21	
岸	ŋan213	ŋan213	
鼾	xan45	xan45	
罕	xan53	xan53	
漢	xan213	xan213	
熯	xan45	xan45	
喝	xo45	xo45	
寒	xan21	xan21	
韓	xan21	xan21	
旱	xan213	xan213	
捍	xan213	xan213	
汗	xan213	xan213	
銲	xan213	xan213	
翰	xan213	xan213	
襻	pʰan213	pʰan213	
蠻	man21	man21	
慢	man213	man213	
棧	tsan213	tsan213	
鍘	tsa21	tsa21	
删	suan45	suan45/san45	
疝	suan213	san213	
奸	ʨiɛn45	ʨiɛn45	
諫	ʨiɛn213	ʨiɛn213	
澗	ʨiɛn213	ʨiɛn213	
锏	ʨiɛn53	ʨiɛn53	
顔	iɛn21	iɛn21	
雁	iɛn213	iɛn213	
瞎	ɕia21	ɕia21	
轄	ɕia21	ɕia21	
晏	ŋan213	ŋan213	
鞭	piɛn45	piɛn45	
編	piɛn45	piɛn45	
變	piɛn213	piɛn213	
别	pie21	pie21	
鼈	pie21	pie45	
篇	pʰiɛn45	pʰiɛn45	
偏	pʰiɛn45	pʰiɛn45	
騙	pʰiɛn213	pʰiɛn213	
便	pʰiɛn21	pʰiɛn21	
辯	piɛn213	piɛn213	
辨	piɛn213	piɛn213	
便	piɛn213	piɛn213	
别	pie21	pie21	
綿	miɛn21	miɛn21	
棉	miɛn21	miɛn21	
免	miɛn53	miɛn53	
勉	miɛn53	miɛn53	
緬	miɛn53	miɛn53	
娩	miɛn53	miɛn53	
面	miɛn213	miɛn213	
滅	mie21	mie21	
碾	ȵiɛn53	ȵiɛn53	
連	liɛn21	liɛn21	
聯	liɛn21	liɛn21	
列	lie21	lie21	
單	san213	san213	
禪	tsʰan21	san213	
折	se21	se21	
然	zan21	zan21	
燃	zan21	zan21	
熱	ze21	za21/ze21	
遣	ʨʰiɛn53	ʨʰiɛn53	
乾	ʨʰiɛn21	ʨʰiɛn21	
虔	ʨʰiɛn21	ʨʰiɛn21	
犍	ʨʰiɛn21	ʨiɛn213	
掮	ʨʰiɛn21	ʨʰiɛn21	
件	ʨiɛn213	ʨiɛn213	
傑	ʨie21	ʨie21	
諺	iɛn213	iɛn213	
孽	ȵie21	ȵie21	
蔫	iɛn45	iɛn45	
焉	iɛn45	iɛn45	
延	iɛn21	iɛn21	
筵	iɛn213	iɛn213	
蜒	iɛn21	iɛn21	
演	iɛn53	iɛn53	
衍	iɛn53	iɛn53	
拽	tsuai213	tsuai213	
犍	ʨʰiɛn21	ʨʰiɛn213	
建	ʨiɛn213	ʨiɛn213	
毽	ʨiɛn213	ʨiɛn213	
揭	ʨʰie21	ʨʰie45	
鍵	ʨiɛn213	ʨiɛn213	
健	ʨiɛn213	ʨiɛn213	
腱	ʨiɛn213	ʨiɛn213	
竭	ʨʰie21	ʨʰie21	
言	iɛn21	iɛn21	
掀	ɕyɛn45	ɕyɛn45/ɕiɛn45	
軒	ɕyɛn45	ɕyɛn45	
憲	ɕiɛn213	ɕiɛn213	
獻	ɕiɛn213	ɕiɛn213	
歇	ɕie21	ɕie21	
蠍	ɕie21	ɕie21	
蔫	iɛn45	iɛn45	
堰	iɛn213	iɛn213	
邊	piɛn45	piɛn45	
薦	ʨiɛn213	ʨiɛn213	
節	ʨie21	ʨie21	
癤	ʨʰie21	ʨie21	
千	ʨʰiɛn45	ʨʰiɛn45	
切	ʨʰie21	ʨʰie21	
竊	ʨʰie21	ʨʰie213	
前	ʨʰiɛn21	ʨʰiɛn21	
截	ʨʰie21	ʨʰie21/ʨie21	
先	ɕiɛn45	ɕiɛn45	
筅	ɕiɛn45	ɕiɛn45	
屑	ɕye21	ɕie213	
楔	ɕie21	ɕie21	
肩	ʨiɛn45	ʨiɛn45	
堅	ʨiɛn45	ʨiɛn45	
繭	ʨiɛn53	ʨiɛn53	
趼	ʨiɛn53	ʨiɛn53	
見	ʨiɛn213	ʨiɛn213	
結	ʨie21	ʨie21	
潔	ʨie21	ʨie21	
牽	ʨʰiɛn45	ʨʰiɛn45	
縴	ʨʰiɛn213	ʨʰiɛn213	
研	ȵiɛn45	iɛn21	
硯	iɛn213	iɛn213	
顯	ɕiɛn53	ɕiɛn53	
賢	ɕiɛn21	ɕiɛn21	
弦	ɕyɛn21	ɕyɛn21/ɕiɛn21	
現	ɕiɛn213	ɕiɛn213	
煙	iɛn45	iɛn45	
燕	iɛn213	iɛn45	
胭	iɛn45	iɛn45	
宴	iɛn213	iɛn213	
燕	iɛn213	iɛn213	
嚥	iɛn213	iɛn213	
噎	ie45	ie45	
搬	pan45	pan45	
般	pan45	pan45	
半	pan213	pan213	
絆	pʰan213	pan213	
鉢	po21	po21	
撥	po21	po21	
潘	pʰan45	pʰan45	
撮	tsʰo21	tsʰo21/tsʰo45	
酸	suan45	suan45	
算	suan213	suan213	
蒜	suan213	suan213	
官	kuan45	kuan45	
棺	kuan45	kuan45	
觀	kuan45	kuan45	
冠	kuan45	kuan45	
管	kuan53	kuan53	
館	kuan53	kuan53	
貫	kuan213	kuan213	
灌	kuan213	kuan213	
罐	kuan213	kuan213	
觀	kuan213	kuan213	
冠	kuan213	kuan213	
括	kʰue21	kʰue21/kʰuo21	
聒	ko21	kuo45	
寬	kʰuan45	kʰuan45	
款	kʰuan53	kʰuan53	
闊	kʰue21	kʰue21/kuo21	
玩	uan21	uan21	
歡	xuan45	xuai45/xuan45	
唤	xuan213	xuan213	
焕	xuan213	xuan213	
豁	xo45	xo45	
桓	xuan21	xuan21	
完	uan21	uan21	
丸	uan21	uan21	
紈	uan21	uan21	
緩	xuan53	xuan53	
皖	uan53	uan53	
换	xuan213	xuan213	
活	xo21	xo21/xuo21	
豌	uan45	uan45	
剜	uan45	ua45	
碗	uan53	uan53	
腕	uan53	uan53	
鰥	kuan45	kuan45	
頑	uan21	uan21	
幻	xuan213	xuan213	
滑	xua21	xua21	
串	tsʰuan213	tsʰuan213	
船	tsʰuan21	tsʰuan21	
説	so21	so21	
軟	zuan53	zuan53	
捲	ʨyɛn53	ʨyɛn53	
絹	ʨyɛn45	ʨyɛn213	
卷	ʨyɛn213	ʨyɛn213	
眷	ʨyɛn213	ʨyɛn213	
圈	ʨʰyɛn45	ʨʰyɛn45	
權	ʨʰyɛn21	ʨʰyɛn21	
拳	ʨʰyɛn21	ʨʰyɛn21	
倦	ʨyɛn213	ʨyɛn213	
圓	yɛn21	yɛn21	
員	yɛn21	yɛn21	
院	yɛn213	yɛn213	
緣	yɛn21	yɛn21	
沿	yɛn21	yɛn21/iɛn21	
鉛	ʨʰiɛn45	ʨʰiɛn45	
捐	ʨyɛn45	ʨyɛn45	
悦	ye21	ye213	
閲	ye21	ye21	
反	fan53	fan53	
販	fan213	fan213	
髮	fa21	fa21	
發	fa21	fa21	
翻	fan45	fan45	
番	fan45	fan45	
煩	fan21	fan21	
礬	fan21	fan21	
繁	fan21	fan21	
藩	fan21	fan45	
飯	fan213	fan213	
伐	fa21	fa21	
筏	fa21	fa21	
罰	xua21	fa21	
晚	uan53	uan53	
挽	uan53	uan53	
萬	uan213	uan213	
蔓	man213	man213	
襪	ua21	ua21	
厥	ʨʰye21	ʨʰye21	
懇	kʰən53	kʰən53	
墾	kʰən53	kʰən53	
啃	kʰən53	kʰən53	
痕	xən21	xən21	
很	xən53	xən53	
恨	xən213	xən213	
恩	ŋən45	ŋən45/ən45	
彬	pin45	pin45	
賓	pin45	pin45	
檳	pin45	pin45	
濱	pin45	pin45	
殯	pin213	pin45	
鬢	pin213	pin213	
筆	pi21	pi21	
潷	pi21	pi213	
畢	pi21	pi21	
必	pi21	pi21	
拼	pʰin45	pʰin45	
匹	pʰi21	pʰi21	
貧	pʰin21	pʰin21	
頻	pʰin21	pʰin21	
蘋	pʰin21	pʰin21	
弼	pʰi21	pi213	
閩	min21	min213	
民	min21	min21	
憫	min53	min53	
敏	min53	min53	
抿	min53	min53	
密	mi21	mi21	
蜜	mi21	mi21	
鱗	lin21	lin21	
磷	lin21	lin21	
鄰	lin21	lin21	
吝	lin213	lin213	
栗	li21	li213	
津	ʨin45	ʨin45	
儘	ʨin213	ʨin213	
進	ʨin213	ʨin213	
晋	ʨin213	ʨin213	
親	ʨʰin45	ʨʰin45	
親	ʨʰin213	ʨʰin213	
辰	tsʰən21	tsʰən21	
晨	tsʰən21	tsʰən21	
臣	tsʰən21	tsʰən21	
腎	sən213	sən213	
慎	tsʰən213	sən213	
人	zən21	zən21	
仁	zən21	zən21	
忍	zən53	zən53	
認	zən213	zən213	
刃	zən213	zən213	
韌	zən213	zən213	
日	z121	z121	
巾	ʨin45	ʨin45	
緊	ʨin53	ʨin53	
吉	ʨi21	ʨi21	
僅	ʨin53	ʨin53	
銀	in21	in21	
釁	ɕin213	ɕin213	
因	in45	in45	
姻	in45	in45	
洇	in45	in213	
印	in213	in213	
乙	i21	i21	
一	i21	i21	
壹	i21	i21	
寅	in21	in53	
引	in53	in53	
逸	i21	i213	
斤	ʨin45	ʨin45	
筋	ʨin45	ʨin45	
謹	ʨin53	ʨin53	
勁	ʨin213	ʨin213	
訖	ʨʰi21	ʨʰi213	
乞	ʨʰi21	ʨʰi53	
勤	ʨʰin21	ʨʰin21	
芹	ʨʰin21	ʨʰin21	
近	ʨin213	ʨin213	
欣	ɕin45	ɕin45	
殷	in45	in45	
隱	in53	in53	
癮	in53	in53	
遜	ɕyn213	ɕyn213	
昆	kʰuən45	kʰuən45	
滚	kuən53	kuən53	
棍	kuən213	kuən213	
骨	ku21	ku21	
坤	kʰuən45	kʰuən45	
綑	kʰuən53	kʰuən53	
困	kʰuən213	kʰuən213	
睏	kʰuən213	kʰuən213	
窟	kʰu21	kʰu21	
昏	xuən45	xuən45	
婚	xuən45	xuən45	
忽	fu21	fu21	
魂	xuən21	xuən21	
餛	xuən21	xuən21	
渾	xuən45	xuən45	
混	xuən213	xuən213	
核	xe21	xe21	
温	uən45	uən45	
瘟	uən45	uən45	
穩	uən53	uən53	
倫	lən21	luən21	
淪	lən21	luən21	
輪	lən21	lən21/luən21	
律	lu21	lu21/ly213	
率	ly21	lu21/ly213	
遵	tsən45	tsən45/tsuen45	
俊	ʨyn213	ʨyn213	
荀	ɕyn21	ɕyn21	
詢	ɕyn21	ɕyn21	
筍	sən53	suən53	
榫	sən53	suən53	
迅	ɕyn213	ɕyn213	
浚	ʨyn213	ʨyn213	
戌	ɕy21	ɕy45	
恤	ɕy213	ɕy213	
旬	ɕyn21	ɕyn21	
循	ɕyn21	ɕyn21	
巡	ɕyn21	ɕyn21	
馴	ɕyn213	ɕyn213	
殉	ɕyn213	ɕyn213	
憤	fən213	fən213	
忿	fən213	fən213	
份	fən213	fən213	
佛	fu21	fo21/fu21	
文	uən21	uən21	
紋	uən21	uən21	
蚊	uən21	uən21	
聞	uən21	uən21	
吻	uən53	uən53	
刎	uən53	uən53	
問	uən213	uən213	
勿	u21	u213	
物	u21	u21	
君	ʨyn45	ʨyn45	
軍	ʨyn45	ʨyn45	
屈	ʨʰyu21	ʨʰyu21/ʨʰy21	
羣	ʨʰyn21	ʨʰyn21	
裙	ʨʰyn21	ʨʰyn21	
郡	ʨyn213	ʨyn213	
倔	ʨye21	ʨye213	
掘	ʨye21	ʨye21	
熏	ɕyn45	ɕyn45	
勳	ɕyn45	ɕyn45	
葷	xuən213	xuən45	
薰	ɕyn45	ɕyn45	
燻	ɕyn45	ɕyn45	
訓	ɕyn213	ɕyn213	
熨	yn213	yn213	
云	yn21	yn21	
雲	yn21	yn21	
耘	yn21	yn21	
韻	yn213	yn213	
運	yn213	yn213	
暈	yn45	yn45	
幫	paŋ45	paŋ45	
榜	paŋ53	paŋ53	
謗	paŋ53	paŋ213	
博	po21	po21	
滂	pʰaŋ21	pʰaŋ21	
泊	po21	pʰo45	
旁	pʰaŋ21	pʰaŋ21	
諾	lo213	lo213	
郎	laŋ21	laŋ21	
廊	laŋ21	laŋ21	
狼	laŋ21	laŋ21	
螂	laŋ21	laŋ21	
朗	laŋ53	laŋ53	
浪	laŋ213	laŋ213	
落	lo21	lo21	
烙	lo21	lo213/lau213	
酪	lo21	lo213/lau213	
洛	lo21	lo21	
駱	lo21	lo21	
樂	lo21	lo21	
絡	lo21	lo213	
贓	tsaŋ45	tsaŋ45	
髒	tsaŋ45	tsaŋ45	
葬	tsaŋ213	tsaŋ213	
作	tso21	tso21	
倉	tsʰaŋ45	tsʰaŋ45	
蒼	tsʰaŋ45	tsʰaŋ45	
艙	tsʰaŋ45	tsʰaŋ45	
錯	tsʰo213	tsʰo213	
藏	tsʰaŋ21	tsʰaŋ21	
藏	tsaŋ213	tsaŋ213	
臟	tsaŋ213	tsaŋ213	
鑿	tsau21	tsau21	
昨	tso21	tso21	
桑	saŋ45	saŋ45	
喪	saŋ45	saŋ45	
磉	saŋ53	saŋ53	
嗓	saŋ53	saŋ53	
搡	saŋ53	saŋ53	
喪	saŋ213	saŋ213	
索	so21	so53	
剛	kaŋ45	kaŋ45	
崗	kaŋ45	kaŋ53	
綱	kaŋ45	kaŋ45	
鋼	kaŋ45	kaŋ45	
岡	kaŋ45	kaŋ45	
缸	kaŋ45	kaŋ45	
鋼	kaŋ45	kaŋ45	
蔣	ʨiaŋ53	ʨiaŋ53	
奬	ʨiaŋ53	ʨiaŋ53	
槳	ʨiaŋ53	ʨiaŋ53	
醬	ʨiaŋ213	ʨiaŋ213	
將	ʨiaŋ213	ʨiaŋ213	
爵	ʨyo21	ʨye21	
雀	ʨʰyo21	ʨʰyo21	
槍	ʨʰiaŋ45	ʨʰiaŋ45	
搶	ʨʰiaŋ53	ʨʰiaŋ53	
呛	ʨʰiaŋ213	ʨʰiaŋ213	
鵲	ʨʰyo21	ʨʰyo21/ʨʰye21	
牆	ʨʰiaŋ21	ʨʰiaŋ21	
匠	ʨiaŋ213	ʨiaŋ213	
嚼	ʨiau21	ʨiau21	
相	ɕiaŋ45	ɕiaŋ45	
箱	ɕiaŋ45	ɕiaŋ45	
厢	ɕiaŋ45	ɕiaŋ45	
湘	ɕiaŋ45	ɕiaŋ45	
鑲	ɕiaŋ45	ɕiaŋ45	
想	ɕiaŋ53	ɕiaŋ53	
相	ɕiaŋ213	ɕiaŋ213	
削	ɕye21	ɕye21	
詳	ɕiaŋ21	ɕiaŋ21	
祥	ɕiaŋ21	ɕiaŋ21	
象	ɕiaŋ213	ɕiaŋ213	
像	ɕiaŋ213	ɕiaŋ213	
翔	ɕiaŋ21	ɕiaŋ21	
張	tsaŋ45	tsaŋ45	
長	tsaŋ53	tsaŋ53	
漲	tsaŋ53	tsaŋ53	
帳	tsaŋ213	tsaŋ213	
脹	tsaŋ213	tsaŋ213	
賬	tsaŋ213	tsaŋ213	
着	tso21	tso21	
暢	tsʰaŋ213	tsʰaŋ213	
悵	tsʰaŋ213	tsʰaŋ213	
長	tsʰaŋ21	tsʰaŋ21	
腸	tsʰaŋ21	tsʰaŋ21	
場	tsʰaŋ21	tsʰaŋ53	
丈	tsaŋ213	tsaŋ213	
仗	tsaŋ213	tsaŋ213	
瓤	zaŋ21	zaŋ21	
壤	zaŋ53	zaŋ53	
攘	zaŋ53	zaŋ53	
嚷	zaŋ53	zaŋ53	
讓	zaŋ213	zaŋ213	
若	zo21	zo21	
弱	zo21	zo21	
疆	ʨiaŋ45	ʨiaŋ45	
僵	ʨiaŋ45	ʨiaŋ45	
薑	ʨiaŋ45	ʨiaŋ45	
繮	ʨiaŋ45	ʨiaŋ45	
姜	ʨiaŋ45	ʨiaŋ45	
脚	ʨyo21	ʨyo21	
羌	ʨʰiaŋ45	ʨʰiaŋ45	
却	ʨʰyo21	ʨʰyo21/ʨʰye21	
强	ʨʰiaŋ21	ʨʰiaŋ21	
强	ʨʰiaŋ53	ʨʰiaŋ21	
仰	iaŋ53	iaŋ53	
虐	yo21	lye21	
瘧	yo21	lye21	
香	ɕiaŋ45	ɕiaŋ45	
鄉	ɕiaŋ45	ɕiaŋ45	
享	ɕiaŋ53	ɕiaŋ53	
響	ɕiaŋ53	ɕiaŋ53	
向	ɕiaŋ213	ɕiaŋ213	
央	iaŋ45	iaŋ45	
秧	iaŋ45	iaŋ45	
殃	iaŋ45	iaŋ45	
約	yo21	yo45/ye45	
羊	iaŋ21	iaŋ21	
洋	iaŋ21	iaŋ21	
楊	iaŋ21	iaŋ21	
陽	iaŋ21	iaŋ21	
揚	iaŋ21	iaŋ21	
瘍	iaŋ21	iaŋ21	
養	iaŋ53	iaŋ53	
癢	iaŋ53	iaŋ53	
樣	iaŋ213	iaŋ213	
藥	yo21	yo21	
鑰	yo21	yo21	
躍	iau213	yo21/ye21	
匡	kʰuaŋ45	kʰuaŋ45	
眶	kʰuaŋ45	kʰuaŋ45	
狂	kʰuaŋ21	kʰuaŋ21	
况	kʰuaŋ213	kʰuaŋ213	
枉	uaŋ53	uaŋ53	
王	uaŋ21	uaŋ21	
往	uaŋ53	uaŋ53	
旺	uaŋ213	uaŋ213	
邦	paŋ45	paŋ45	
綁	paŋ53	paŋ53	
剥	po21	po21	
駁	po21	po21 1/po21	
胖	pʰaŋ213	pʰaŋ213	
樸	pʰu21	pʰu21	
龐	pʰaŋ21	pʰaŋ21	
棒	paŋ213	paŋ213	
蚌	pan213	pan213/paŋ213	
雹	pau45	pau45	
樁	tsuaŋ45	tsuaŋ45	
卓	tso21	tso21	
桌	tso21	tso21	
啄	tso21	tso21	
琢	tso21	tso21	
戳	tsʰo21	tsʰo21	
撞	tsʰuaŋ53	tsʰuaŋ53/tsuaŋ213	
濁	tsʰo21	tsʰo21	
捉	tso21	tso21	
窗	tsʰuaŋ45	tsʰuaŋ45	
鐲	tso21	tso21	
雙	suaŋ45	suaŋ45	
朔	so213	so213	
江	ʨiaŋ45	ʨiaŋ45	
扛	kʰaŋ21	kʰaŋ21	
肛	kaŋ45	kaŋ45	
豇	ʨiaŋ45	ʨiaŋ45	
講	ʨiaŋ53	ʨiaŋ53	
港	kaŋ53	kaŋ53	
虹	kaŋ213	kaŋ213	
降	ʨiaŋ213	ʨiaŋ213	
杠	kaŋ213	kaŋ213	
蹭	tsʰən213	tsʰən213	
層	tsʰən21	tsʰən21	
曾	tsʰən21	tsʰən21	
贈	tsən213	tsən213	
賊	tse21	tsuei21/tse21	
僧	sən45	sən45	
塞	se21	se21/sai45	
肯	kʰən53	kʰən53	
克	kʰe21	kʰe21	
刻	kʰe21	kʰe21	
刻	kʰe213	kʰe21	
黑	xe21	xa21/xe21	
恒	xən21	xən21	
冰	pin45	pin45	
逼	pi21	pi45	
憑	pʰin21	pʰin21	
匿	ȵi21	ȵi213	
凌	lin21	lin21	
陵	lin21	lin21	
菱	lin21	lin21	
力	li21	li21	
甑	tsən213	tsən213	
即	ʨi21	ʨi21	
鯽	ʨi21	ʨi21	
息	ɕi21	ɕi21	
熄	ɕi21	ɕi21	
媳	ɕi21	ɕi21	
徵	tsən45	tsən45	
澄	tsʰən21	tsʰən21	
懲	tsʰən53	tsʰən53	
橙	tsʰən21	tsʰən21	
直	tsɿ21	tsɿ21	
值	tsɿ21	tsɿ21	
仄	tse21	tse213	
側	tsʰe21	tsʰe21	
惻	tsʰe21	tsʰe21	
測	tsʰe21	tsʰe21	
色	se21	se21	
嗇	se21	se213	
蒸	tsən45	tsən45	
拯	tsən53	tsən53	
惑	xue21	xo213/xuo213	
域	y21	yu213/y213	
百	pe21	pe21	
柏	pe21	pa21 1/pe211	
伯	pe21	po21	
迫	pʰe21	pʰe21/pʰo21	
烹	pʰən45	pʰoŋ45	
碰	pʰoŋ213	pʰoŋ213	
拍	pʰe21	pʰe21	
魄	pʰe21	pʰe21/pʰo213	
彭	pʰən21	pʰən21/pʰoŋ21	
膨	pʰən21	pʰən21/pʰoŋ21	
白	pe21	pa21/pe21	
帛	pe21	po21	
盲	maŋ21	maŋ21	
虻	maŋ21	maŋ21	
猛	moŋ53	moŋ53	
蜢	moŋ53	moŋ53	
孟	moŋ213	moŋ213	
陌	pe21	me21/mo21	
打	ta53	ta53	
冷	lən53	lən53	
撑	tsʰən45	tsʰən45	
牚	tsʰən213	tsʰən213	
拆	tsʰe21	tsʰa21/tsʰe21	
宅	tsʰe21	tsʰe21/tsai21	
擇	tsʰe21	tsʰe21	
澤	tsʰe21	tsʰe21/tse21	
窄	tse21	tse21	
生	sən45	sən45	
牲	sən45	sən45	
甥	sən45	sən45	
笙	sən45	sən45	
省	sən53	sən53	
更	kən45	kən45	
庚	kən45	kən45	
羹	kən45	kən45	
粳	ʨin45	ʨin45	
哽	kən53	kən53	
梗	kən53	kən53	
埂	kən53	kən53	
核	xe21	xa21/xe21	
核	xe21	xa21/xe21	
鶯	in45	in45	
櫻	in45	in45	
鸚	in45	in45	
厄	ŋe21	o213	
扼	ŋe21	o213	
軛	ŋe21	ŋe21	
兵	pin45	pin45	
丙	pin53	pin53	
秉	pin53	pin53	
柄	pin53	pin53	
碧	pi21	pi21	
平	pʰin21	pʰin21	
評	pʰin21	pʰin21	
坪	pʰin21	pʰin21	
病	pin213	pin213	
明	min21	min21	
盟	moŋ21	moŋ21	
鳴	min21	min21	
皿	min53	min53	
命	min213	min213	
京	ʨin45	ʨin45	
荆	ʨin45	ʨin45	
驚	ʨin45	ʨin45	
境	ʨin53	ʨin53	
景	ʨin53	ʨin53	
警	ʨin53	ʨin53	
敬	ʨin213	ʨin213	
竟	ʨin213	ʨin213	
鏡	ʨin213	ʨin213	
戟	ʨi21	ʨi21	
卿	ʨʰin45	ʨʰin45	
慶	ʨʰin213	ʨʰin213	
隙	ɕie21	ɕi21	
擎	ʨʰin21	ʨʰin21	
鯨	ʨin45	ʨin45	
競	ʨin213	ʨin213	
劇	ʨyu213	ʨy213	
劇	ʨyu213	ʨy213	
迎	in21	in21	
呈	tsʰən21	tsʰən21	
程	tsʰən21	tsʰən21	
鄭	tsən213	tsən213	
擲	tsɿ21	tsɿ21	
正	tsən213	tsə45/tsən45	
征	tsən45	tsən45	
整	tsən53	tsən53	
正	tsən213	tsən213	
政	tsən213	tsən213	
隻	tsɿ45	tsɿ45	
炙	tsɿ21	tsɿ213	
尺	tsʰɿ21	tsʰɿ21	
斥	tsʰɿ213	tsʰɿ213	
赤	tsʰɿ21	tsʰɿ213	
射	se21	se213	
聲	sən45	sən45	
聖	sən213	sən213	
適	sɿ21	sɿ21	
釋	sɿ21	sɿ213	
成	tsʰən21	tsʰən21	
城	tsʰən21	tsʰən21	
誠	tsʰən21	tsʰən21	
盛	tsʰən21	tsʰən21	
盛	sən213	sən213	
石	sɿ21	sɿ21	
碩	so21	so213	
頸	ʨin53	ʨin53	
勁	ʨin213	ʨin213	
輕	ʨʰin45	ʨʰin45	
嬰	in45	in45	
纓	in45	in45	
益	i21	i21	
盈	in21	in21	
贏	in21	in21	
液	ie21	ie213	
腋	ie21	ie213	
亦	i21	i213	
譯	i21	i213	
易	i213	i213	
壁	pi21	pi21	
姘	pʰin213	pʰin213	
溺	li21	ȵi213	
靈	lin21	lin21	
零	lin21	lin21	
鈴	lin21	lin21	
拎	lin21	lin45	
翎	lin21	lin21	
齡	lin213	lin21	
另	lin213	lin213	
歷	li21	li21	
曆	li21	li21	
績	ʨi21	ʨi213	
青	ʨʰin45	ʨʰin45	
蜻	ʨʰin45	ʨʰin45	
戚	ʨʰi21	ʨʰi213	
寂	ʨi21	ʨi213	
星	ɕin45	ɕin45	
腥	ɕin45	ɕin45	
猩	ɕin45	ɕin45	
醒	ɕin53	ɕin53	
析	ɕi21	ɕi21	
錫	ɕi21	ɕi21	
經	ʨin45	ʨin45	
徑	ʨin213	ʨin213	
經	ʨin45	ʨin45	
激	ʨi21	ʨi21	
擊	ʨi21	ʨi21	
吃	tsʰɿ21	tsʰɿ21	
馨	ɕin45	ɕin45	
形	ɕin21	ɕin21	
刑	ɕin21	ɕin21	
型	ɕin21	ɕin21	
礦	kʰuaŋ213	kʰuaŋ213	
横	xən21	xuən21/xuan21/xən21	
横	xən53	xuən21	
轟	xoŋ45	xoŋ45	
宏	xoŋ21	xoŋ21	
獲	xo21	xue21	
劃	xua21	xua213	
兄	ɕyŋ45	ɕyŋ45	
榮	yn21	yn21/zoŋ21	
筒	tʰoŋ21	tʰoŋ21	
童	tʰoŋ21	tʰoŋ21	
瞳	tʰoŋ21	tʰoŋ21	
動	toŋ213	toŋ213	
洞	toŋ213	toŋ213	
獨	tu21	tu21	
讀	tu21	tu21	
牘	tu21	tu21	
犢	tu21	tu21	
籠	loŋ21	loŋ21	
聾	loŋ21	loŋ21	
礱	loŋ21	loŋ21	
嚨	loŋ21	loŋ21	
攏	loŋ53	loŋ53	
弄	loŋ213	loŋ213	
鹿	lu21	lu21	
禄	lu21	lu21	
鬃	tsoŋ45	tsoŋ45	
棕	tsoŋ45	tsoŋ45	
總	tsoŋ53	tsoŋ53	
粽	tsoŋ213	tsoŋ213	
葱	tsʰoŋ45	tsʰoŋ45	
