汉字	临沧	凤庆	云县	双江	永德	镇康	耿马	沧源
囫和{~牌}狐弧胡湖葫瑚糊蝴核{梨~}壶	fu³¹	fu³¹	fu³¹	fu³¹	fu³¹	fu³¹	fu³¹	fu³¹
户沪护互	fu²¹³	fu⁴⁵	fu²¹³	fu²¹³	fu⁴⁵	fu⁴⁵	fu²¹³	fu²¹³
糊{面~}	fu⁴⁴	fu⁵⁵	fu⁵⁵	fu⁵⁵	fu⁴⁴	fu⁵⁵	fu⁴⁴	fu⁴⁴
嘱瞩	tʂu³¹	tʂu³¹	tʂu³¹	tʂu³¹	tʂu³¹	tʂu³¹	tsu³¹	tsu³¹
祝筑	tʂu³¹	tʂu³¹	tʂu³¹	tʂu³¹	tʂu³¹	tʂu³¹	tsu³¹	tsu³¹
助	tsu²¹³	tsu⁴⁵	tsu²¹³	tsu²¹³	tsu⁴⁵	tsu⁴⁵	tsu²¹³	tsu²¹³
出	tʂʰu³¹	tʂʰu³¹	tʂʰu³¹	tʂʰu³¹	tʂʰu³¹	tʂʰu³¹	tsʰu³¹	tsʰu³¹
初	tsʰu⁴⁴	tsʰu⁵⁵	tsʰu⁵⁵	tsʰu⁵⁵	tsʰu⁴⁴	tsʰu⁵⁵	tsʰu⁴⁴	tsʰu⁴⁴
锄	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹
础楚	tsʰu⁵³	tsʰu⁴²	tsʰu⁵³	tsʰu⁵³	tsʰu⁴²	tsʰu⁴²	tsʰu⁵³	tsʰu⁵³
触	tʂu³¹	tʂu³¹	tʂu³¹	tʂu³¹	tʂu³¹	tʂu³¹	tsu³¹	tsu³¹
叔淑	ʂu³¹	ʂu³¹	ʂu³¹	ʂu³¹	ʂu³¹	ʂu³¹	su³¹	su³¹
梳蔬疏	su⁴⁴	su⁵⁵	su⁵⁵	su⁵⁵	su⁴⁴	su⁵⁵	su⁴⁴	su⁴⁴
属署薯蜀	ʂu³¹	ʂu³¹	ʂu³¹	ʂu³¹	ʂu³¹	ʂu³¹	su³¹	su³¹
数{~不清}	su⁵³	su⁴²	su⁵³	su⁵³	su⁴²	su⁴²	su⁵³	su⁵³
鼠	tʂʰu⁵³	tʂʰu⁴²	tʂʰu⁵³	tʂʰu⁵³	tʂʰu⁴²	tʂʰu⁴²	tsʰu⁵³	tsʰu⁵³
术述戍	ʂu³¹	ʂu³¹	ʂu³¹	ʂu³¹	ʂu³¹	ʂu³¹	su³¹	su³¹
束	su³¹	su³¹	su³¹	su³¹	su³¹	su³¹	su³¹	su³¹
漱{~口}数{~目}	su²¹³	su⁴⁵	su²¹³	su²¹³	su⁴⁵	su⁴⁵	su²¹³	su²¹³
儒孺濡蠕	ʐu⁵³	ʐu⁴²	ʐu⁵³	ʐu⁵³	ʐu⁴²	ʐu⁴²	zu⁵³	zu⁵³
入褥蓐	ʐu³¹	ʐu³¹	ʐu³¹	ʐu³¹	ʐu³¹	ʐu³¹	zu³¹	zu³¹
族镞	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹
促猝{仓~}簇	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹	tsʰu³¹
夙肃速宿粟	su³¹	su³¹	su³¹	su³¹	su³¹	su³¹	su³¹	su³¹
僳{傈~族}	so⁵³	so⁴²	so⁵³	so⁵³	so⁴²	so⁴²	so⁵³	so⁵³
屋	vu³¹	vu³¹	vu³¹	vu³¹	vu³¹	vu³¹	vu³¹	vu³¹
侮	vu⁴⁴	vu⁵⁵	vu⁵⁵	vu⁵⁵	vu⁴⁴	vu⁵⁵	vu⁴⁴	vu⁴⁴
勿物	vu³¹	vu³¹	vu³¹	vu³¹	vu³¹	vu³¹	vu³¹	vu³¹
女	ni⁵³	ny⁴²	ny⁵³	ni⁵³	ny⁴²	ny⁴²	ni⁵³	ny⁵³
驴{毛~子}	lie⁴⁴	lye⁵⁵	lye⁵⁵	lie⁵⁵	lye⁴⁴	lye⁵⁵	lie⁴⁴	lye⁴⁴
吕侣铝屡履	lueɪ⁵³	lueɪ⁴²	lueɪ⁵³	lueɪ⁵³	lueɪ⁴²	lueɪ⁴²	lueɪ⁵³	lueɪ⁵³
旅	li⁵³	lueɪ⁴²	ly⁵³	li⁵³	ly⁴²	ly⁴²	li⁵³	ly⁵³
律率{效~}	li³¹	ly³¹	ly³¹	li³¹	ly³¹	ly³¹	li³¹	ly³¹
绿{~茶}氯	lu³¹	lu³¹	lu³¹	lu³¹	lu³¹	lu³¹	lu³¹	lu³¹
驹拘居	tɕi⁴⁴	tɕy⁵⁵	tɕy⁵⁵	tɕi⁵⁵	tɕy⁴⁴	tɕy⁵⁵	tɕi⁴⁴	tɕy⁴⁴
鞠掬	tɕiəu³¹	tɕiəu³¹	tɕiəu³¹	tɕiəu³¹	tɕiəu³¹	tɕiəu³¹	tɕiəu³¹	tɕiəu³¹
局桔菊橘	tɕiəu³¹	tɕiəu³¹	tɕiəu³¹	tɕiəu³¹	tɕiəu³¹	tɕiəu³¹	tɕiəu³¹	tɕiəu³¹
屈曲{弯~}	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹
曲{歌~}	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹
去	kʰɤ²¹³	kʰɤ⁴⁵	kʰɤ²¹³	kʰɤ²¹³	kʰɤ⁴⁵	kʰɤ⁴⁵	kʰɤ²¹³	kʰɤ²¹³
戌	ɕiəu³¹	ɕiəu³¹	ɕiəu³¹	ɕiəu³¹	ɕiəu³¹	ɕiəu³¹	ɕiəu³¹	ɕiəu³¹
旭畜蓄	ɕiəu³¹	ɕiəu³¹	ɕiəu³¹	ɕiəu³¹	ɕiəu³¹	ɕiəu³¹	ɕiəu³¹	ɕiəu³¹
续	su³¹	su³¹	su³¹	su³¹	su³¹	su³¹	su³¹	su³¹
迂於{姓}淤瘀	zi³¹	y³¹	y³¹	zi³¹	y³¹	y³¹	i³¹	y³¹
浴欲育狱域毓郁	iəu³¹	iəu³¹	iu³¹	iu³¹	iu³¹	iu³¹	iəu³¹	iəu³¹
伯	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹
□{掰}	tɕʰie⁵³	tɕʰye⁴²	tɕʰye⁵³	tɕʰie⁵³	tɕʰye⁴²	tɕʰye⁴²	tɕʰie⁵³	tɕʰye⁵³
白	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹
百佰柏	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹
拍	pʰɤ³¹	pʰɤ³¹	pʰɤ³¹	pʰɤ³¹	pʰɤ³¹	pʰɤ³¹	pʰɤ³¹	pʰɤ³¹
迫{~击炮}	pʰɤ³¹	pʰɤ³¹	pʰɤ³¹	pʰɤ³¹	pʰɤ³¹	pʰɤ³¹	pʰɤ³¹	pʰɤ³¹
麦脉{山～}	mɤ³¹	mɤ³¹	mɤ³¹	mɤ³¹	mɤ³¹	mɤ³¹	mɤ³¹	mɤ³¹
傣	tʰaɪ²¹³	tʰaɪ⁴⁵	tʰaɪ²¹³	tʰaɪ²¹³	tʰaɪ⁴⁵	tʰaɪ⁴⁵	tʰaɪ²¹³	tʰaɪ²¹³
奶{奶~}	naɪ⁴⁴	naɪ⁵⁵	naɪ⁵⁵	naɪ⁵⁵	naɪ⁴⁴	naɪ⁵⁵	naɪ⁴⁴	naɪ⁴⁴
溉概	kʰaɪ²¹³	kʰaɪ⁴⁵	kʰaɪ²¹³	kʰaɪ²¹³	kʰaɪ⁴⁵	kʰaɪ⁴⁵	kʰaɪ²¹³	kʰaɪ²¹³
骇{~人听闻}	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹
摘	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹
宅翟	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹
窄	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹	tsɤ³¹
拆	tsʰɤ³¹	tsʰɤ³¹	tsʰɤ³¹	tsʰɤ³¹	tsʰɤ³¹	tsʰɤ³¹	tsʰɤ³¹	tsʰɤ³¹
色{掉~}	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹
踩	tsʰaɪ⁵³	tsʰaɪ⁴²	tsʰaɪ⁵³	tsʰaɪ⁵³	tsʰaɪ⁴²	tsʰaɪ⁴²	tsʰaɪ⁵³	tsʰaɪ⁵³
塞{瓶~儿}	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹	sɤ³¹
北	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹	pɤ³¹
备被惫	pi²¹³	pi⁴⁵	pi²¹³	pi²¹³	pi⁴⁵	pi⁴⁵	pi²¹³	pi²¹³
没{~有}	meɪ²¹³	mu⁴⁵	mu²¹³	mu²¹³	mu⁴⁵	mu⁴⁵	mu²¹³	mu²¹³
诽{~谤}	feɪ⁵³	feɪ⁴²	feɪ⁵³	feɪ⁵³	feɪ⁴²	feɪ⁴²	feɪ⁵³	feɪ⁵³
沸{~腾}	fu³¹	fu³¹	fu³¹	fu³¹	fu³¹	fu³¹	fu³¹	fu³¹
得{你~注意}	tɤ³¹	tɤ³¹	tɤ³¹	tɤ³¹	tɤ³¹	tɤ³¹	tɤ³¹	tɤ³¹
馁{气~}	lueɪ⁵³	lueɪ⁴²	lueɪ⁵³	lueɪ⁵³	lueɪ⁴²	lueɪ⁴²	lueɪ⁵³	lueɪ⁵³
内	nueɪ²¹³	nueɪ⁴⁵	nueɪ²¹³	nueɪ²¹³	nueɪ⁴⁵	nueɪ⁴⁵	nueɪ²¹³	nueɪ²¹³
勒{~紧}	lɤ³¹	lɤ³¹	lɤ³¹	lɤ³¹	lɤ³¹	lɤ³¹	lɤ³¹	lɤ³¹
雷擂{~钵}镭{~射}	lueɪ³¹	lueɪ³¹	lueɪ³¹	lueɪ³¹	lueɪ³¹	lueɪ³¹	lueɪ³¹	lueɪ³¹
垒累{~积}蕾磊儡	lueɪ⁵³	lueɪ⁴²	lueɪ⁵³	lueɪ⁵³	lueɪ⁴²	lueɪ⁴²	lueɪ⁵³	lueɪ⁵³
泪类累{劳~}擂{~台}	lueɪ²¹³	lueɪ⁴⁵	lueɪ²¹³	lueɪ²¹³	lueɪ⁴⁵	lueɪ⁴⁵	lueɪ²¹³	lueɪ²¹³
肋	lɤ³¹	lɤ³¹	lɤ³¹	lɤ³¹	lɤ³¹	lɤ³¹	lɤ³¹	lɤ³¹
给	kɤ⁵³	kɤ⁴²	kɤ⁵³	kɤ⁵³	kɤ⁴²	kɤ⁴²	kɤ⁵³	kɤ⁵³
黑	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹
剥{~皮儿}	po³¹	po³¹	po³¹	po³¹	po³¹	po³¹	po³¹	po³¹
褒	pəu⁴⁴	pəu⁵⁵	pəu⁵⁵	pəu⁵⁵	pəu⁴⁴	pəu⁵⁵	pəu⁴⁴	pəu⁴⁴
雹{冰~}	pɑo²¹³	pɑo⁴⁵	pɑo²¹³	pɑo²¹³	pɑo⁴⁵	pɑo⁴⁵	pɑo²¹³	pɑo²¹³
茂贸	mo²¹³	mo⁴⁵	mo²¹³	mo²¹³	mo⁴⁵	mo⁴⁵	mo²¹³	mo²¹³
萄{葡~}	tʰɑo⁴⁴	tʰɑo⁵⁵	tʰɑo⁵⁵	tʰɑo⁵⁵	tʰɑo⁴⁴	tʰɑo⁵⁵	tʰɑo⁴⁴	tʰɑo⁴⁴
捞{打～}	lɑo³¹	lɑo³¹	lɑo³¹	lɑo³¹	lɑo³¹	lɑo³¹	lɑo³¹	lɑo³¹
烙落酪	lo³¹	lo³¹	lo³¹	lo³¹	lo³¹	lo³¹	lo³¹	lo³¹
拷{~打}	kʰɑo⁴⁴	kʰɑo⁵⁵	kʰɑo⁵⁵	kʰɑo⁵⁵	kʰɑo⁴⁴	kʰɑo⁵⁵	kʰɑo⁴⁴	kʰɑo⁴⁴
铐{手~}	kʰɑo³¹	kʰɑo³¹	kʰɑo³¹	kʰɑo³¹	kʰɑo³¹	kʰɑo³¹	kʰɑo³¹	kʰɑo³¹
着{棋高一～}	tʂo³¹	tʂo³¹	tʂo³¹	tʂo³¹	tʂo³¹	tʂo³¹	tso³¹	tso³¹
沼	tʂɑo⁴⁴	tʂɑo⁵⁵	tʂɑo⁵⁵	tʂɑo⁵⁵	tʂɑo⁴⁴	tʂɑo⁵⁵	tsɑo⁴⁴	tsɑo⁴⁴
召诏	tʂɑo⁴⁴	tʂɑo⁵⁵	tʂɑo⁵⁵	tʂɑo⁵⁵	tʂɑo⁴⁴	tʂɑo⁵⁵	tsɑo⁴⁴	tsɑo⁴⁴
巢晁	tʂʰɑo³¹	tʂʰɑo³¹	tʂʰɑo³¹	tʂʰɑo³¹	tʂʰɑo³¹	tʂʰɑo³¹	tsʰɑo³¹	tsʰɑo³¹
勺芍杓	ʂo³¹	ʂo³¹	ʂo³¹	ʂo³¹	ʂo³¹	ʂo³¹	so³¹	so³¹
凿{~子}	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹
造噪躁燥	tsʰɑo²¹³	tsʰɑo⁴⁵	tsʰɑo²¹³	tsʰɑo²¹³	tsʰɑo⁴⁵	tsʰɑo⁴⁵	tsʰɑo²¹³	tsʰɑo²¹³
糙	tsʰɑo²¹³	tsʰɑo⁴⁵	tsʰɑo²¹³	tsʰɑo²¹³	tsʰɑo⁴⁵	tsʰɑo⁴⁵	tsʰɑo²¹³	tsʰɑo²¹³
剖	pʰo⁵³	pʰo⁴²	pʰo⁵³	pʰo⁵³	pʰo⁴²	pʰo⁴²	pʰo⁵³	pʰo⁵³
妯轴	tʂu³¹	tʂu³¹	tʂu³¹	tʂu³¹	tʂu³¹	tʂu³¹	tsu³¹	tsu³¹
骤	tsʰəu²¹³	tsʰəu⁴⁵	tsʰəu²¹³	tsʰəu²¹³	tsʰəu⁴⁵	tsʰəu⁴⁵	tsʰəu²¹³	tsʰəu²¹³
绉皱	tsoŋ²¹³	tsoŋ⁴⁵	tsoŋ²¹³	tsoŋ²¹³	tsoŋ⁴⁵	tsoŋ⁴⁵	tsoŋ²¹³	tsoŋ²¹³
愁	tsʰəu³¹	tsʰəu³¹	tsʰəu³¹	tsʰəu³¹	tsʰəu³¹	tsʰəu³¹	tsʰəu³¹	tsʰəu³¹
瞅	tsʰəu⁵³	tsʰəu⁴²	tsʰəu⁵³	tsʰəu⁵³	tsʰəu⁴²	tsʰəu⁴²	tsʰəu⁵³	tsʰəu⁵³
瘦	səu²¹³	səu⁴⁵	səu²¹³	səu²¹³	səu⁴⁵	səu⁴⁵	səu²¹³	səu²¹³
肉	ʐu³¹	ʐu³¹	ʐu³¹	ʐu³¹	ʐu³¹	ʐu³¹	zu³¹	zu³¹
夹浃	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹
甲胛钾	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹
稼	tɕiᴀ⁴⁴	tɕiᴀ⁵⁵	tɕiᴀ⁵⁵	tɕiᴀ⁵⁵	tɕiᴀ⁴⁴	tɕiᴀ⁵⁵	tɕiᴀ⁴⁴	tɕiᴀ⁴⁴
掐	tɕʰiᴀ³¹	tɕʰiᴀ³¹	tɕʰiᴀ³¹	tɕʰiᴀ³¹	tɕʰiᴀ³¹	tɕʰiᴀ³¹	tɕʰiᴀ³¹	tɕʰiᴀ³¹
卡{~住}	kʰᴀ⁵³	kʰᴀ⁴²	kʰᴀ⁵³	kʰᴀ⁵³	kʰᴀ⁴²	kʰᴀ⁴²	kʰᴀ⁵³	kʰᴀ⁵³
洽恰	tɕʰiᴀ³¹	tɕʰiᴀ³¹	tɕʰiᴀ³¹	tɕʰiᴀ³¹	tɕʰiᴀ³¹	tɕʰiᴀ³¹	tɕʰiᴀ³¹	tɕʰiᴀ³¹
瞎	ɕiᴀ³¹	ɕiᴀ³¹	ɕiᴀ³¹	ɕiᴀ³¹	ɕiᴀ³¹	ɕiᴀ³¹	ɕiᴀ³¹	ɕiᴀ³¹
匣峡狭	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹	tɕiᴀ³¹
吓{~人}	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹	xɤ³¹
压押鸭	iᴀ³¹	iᴀ³¹	iᴀ³¹	iᴀ³¹	iᴀ³¹	iᴀ³¹	iᴀ³¹	iᴀ³¹
崖	aɪ³¹	aɪ³¹	aɪ³¹	aɪ³¹	aɪ³¹	aɪ³¹	aɪ³¹	aɪ³¹
轧{～花机}讶	iᴀ³¹	iᴀ³¹	iᴀ³¹	iᴀ³¹	iᴀ³¹	iᴀ³¹	iᴀ³¹	iᴀ³¹
瘪{~三}	pie³¹	pie³¹	pie³¹	pie³¹	pie³¹	pie³¹	pie³¹	pie³¹
蹩{~脚}	pie²¹³	pie⁴⁵	pie²¹³	pie²¹³	pie⁴⁵	pie⁴⁵	pie²¹³	pie²¹³
瘪{干~}	pie³¹	pie³¹	pie³¹	pie³¹	pie³¹	pie³¹	pie³¹	pie³¹
别{~扭}	pie²¹³	pie⁴⁵	pie²¹³	pie²¹³	pie⁴⁵	pie⁴⁵	pie²¹³	pie²¹³
撇{~开}瞥	pʰie³¹	pʰie³¹	pʰie³¹	pʰie³¹	pʰie³¹	pʰie³¹	pʰie³¹	pʰie³¹
灭蔑篾	mie³¹	mie³¹	mie³¹	mie³¹	mie³¹	mie³¹	mie³¹	mie³¹
跌	tie³¹	tie³¹	tie³¹	tie³¹	tie³¹	tie³¹	tie³¹	tie³¹
贴帖{妥～}	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹
帖{请~}铁	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹
帖{字~}	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹	tʰie³¹
捏	nie³¹	nie³¹	nie³¹	nie³¹	nie³¹	nie³¹	nie³¹	nie³¹
涅聂镊蹑孽	nie³¹	nie³¹	nie³¹	nie³¹	nie³¹	nie³¹	nie³¹	nie³¹
咧{~着嘴}	lie³¹	lie³¹	lie³¹	lie³¹	lie³¹	lie³¹	lie³¹	lie³¹
劣烈列裂猎趔	lie³¹	lie³¹	lie³¹	lie³¹	lie³¹	lie³¹	lie³¹	lie³¹
阶皆街	kaɪ⁴⁴	kaɪ⁵⁵	kaɪ⁵⁵	kaɪ⁵⁵	kaɪ⁴⁴	kaɪ⁵⁵	kaɪ⁴⁴	kaɪ⁴⁴
接疖结{~果}揭	tɕie³¹	tɕie³¹	tɕie³¹	tɕie³¹	tɕie³¹	tɕie³¹	tɕie³¹	tɕie³¹
秸{麦～}	kɤ³¹	kɤ³¹	kɤ³¹	kɤ³¹	kɤ³¹	kɤ³¹	kɤ³¹	kɤ³¹
解	kaɪ⁵³	kaɪ⁴²	kaɪ⁵³	kaɪ⁵³	kaɪ⁴²	kaɪ⁴²	kaɪ⁵³	kaɪ⁵³
介芥疥界蚧戒诫届	kaɪ²¹³	kaɪ⁴⁵	kaɪ²¹³	kaɪ²¹³	kaɪ⁴⁵	kaɪ⁴⁵	kaɪ²¹³	kaɪ²¹³
切{~开}	tɕʰie³¹	tɕʰie³¹	tɕʰie³¹	tɕʰie³¹	tɕʰie³¹	tɕʰie³¹	tɕʰie³¹	tɕʰie³¹
切{～记}窃妾	tɕʰie³¹	tɕʰie³¹	tɕʰie³¹	tɕʰie³¹	tɕʰie³¹	tɕʰie³¹	tɕʰie³¹	tɕʰie³¹
怯	tɕʰie³¹	tɕʰye³¹	tɕʰye³¹	tɕʰie³¹	tɕʰye³¹	tɕʰye³¹	tɕʰie³¹	tɕʰye³¹
楔歇蝎歇	ɕie³¹	ɕie³¹	ɕie³¹	ɕie³¹	ɕie³¹	ɕie³¹	ɕie³¹	ɕie³¹
协胁	ɕie³¹	ɕye³¹	ɕye³¹	ɕie³¹	ɕye³¹	ɕye³¹	ɕie³¹	ɕye³¹
鞋	xaɪ³¹	xaɪ³¹	xaɪ³¹	xaɪ³¹	xaɪ³¹	xaɪ³¹	xaɪ³¹	xaɪ³¹
血	ɕie³¹	ɕye³¹	ɕye³¹	ɕie³¹	ɕye³¹	ɕye³¹	ɕie³¹	ɕye³¹
械	kaɪ²¹³	kaɪ⁴⁵	kaɪ²¹³	kaɪ²¹³	kaɪ⁴⁵	kaɪ⁴⁵	kaɪ²¹³	kaɪ²¹³
蟹	xaɪ²¹³	xaɪ⁴⁵	xaɪ²¹³	xaɪ²¹³	xaɪ⁴⁵	xaɪ⁴⁵	xaɪ²¹³	xaɪ²¹³
屑{木～}	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹
噎	ie³¹	ie³¹	ie³¹	ie³¹	ie³¹	ie³¹	ie³¹	ie³¹
叶页	ie³¹	ie³¹	ie³¹	ie³¹	ie³¹	ie³¹	ie³¹	ie³¹
业	nie³¹	nie³¹	nie³¹	nie³¹	nie³¹	nie³¹	nie³¹	nie³¹
剽{~窃}	pʰiɑo³¹	pʰiɑo³¹	pʰiɑo³¹	pʰiɑo³¹	pʰiɑo³¹	pʰiɑo³¹	pʰiɑo³¹	pʰiɑo³¹
漂{~白}	pʰiɑo⁵³	pʰiɑo⁴²	pʰiɑo⁵³	pʰiɑo⁵³	pʰiɑo⁴²	pʰiɑo⁴²	pʰiɑo⁵³	pʰiɑo⁵³
嚼	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹
角脚	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹
酵	ɕiɑo²¹³	ɕiɑo⁴⁵	ɕiɑo²¹³	ɕiɑo²¹³	ɕiɑo⁴⁵	ɕiɑo⁴⁵	ɕiɑo²¹³	ɕiɑo²¹³
敲	kʰao⁴⁴	kʰao⁵⁵	kʰao⁵⁵	kʰao⁵⁵	kʰao⁴⁴	kʰao⁵⁵	kʰao⁴⁴	kʰao⁴⁴
壳{外~}	kʰo³¹	kʰo³¹	kʰo³¹	kʰo³¹	kʰo³¹	kʰo³¹	kʰo³¹	kʰo³¹
削{~皮儿}	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹
钥{~匙}药	io³¹	io³¹	io³¹	io³¹	io³¹	io³¹	io³¹	io³¹
溜{~冰}	liəu²¹³	liəu⁴⁵	liəu²¹³	liəu²¹³	liəu⁴⁵	liəu⁴⁵	liəu²¹³	liəu²¹³
馏榴瘤	liəu²¹³	liəu⁴⁵	liəu²¹³	liəu²¹³	liəu⁴⁵	liəu⁴⁵	liəu²¹³	liəu²¹³
六陆{数的大写}	lu³¹	lu³¹	lu³¹	lu³¹	lu³¹	lu³¹	lu³¹	lu³¹
究鸠{斑~}	tɕiəu²¹³	tɕiəu⁴⁵	tɕiəu²¹³	tɕiəu²¹³	tɕiəu⁴⁵	tɕiəu⁴⁵	tɕiəu²¹³	tɕiəu²¹³
揪	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹	tɕʰiəu³¹
灸{针~}	tɕiəu⁴⁴	tɕiəu⁵⁵	tɕiəu⁵⁵	tɕiəu⁵⁵	tɕiəu⁴⁴	tɕiəu⁵⁵	tɕiəu⁴⁴	tɕiəu⁴⁴
□{厩，马~}	tɕĩ²¹³	tɕiɛ̃⁴⁵	tɕĩ²¹³	tɕĩ²¹³	tɕiẽ⁴⁵	tɕiẽ⁴⁵	tɕĩẽ²¹³	tɕiẽ²¹³
莠黝	iəu⁵³	iəu⁴²	iəu⁵³	iəu⁵³	iəu⁴²	iəu⁴²	iəu⁵³	iəu⁵³
刮	kuᴀ³¹	kuᴀ³¹	kuᴀ³¹	kuᴀ³¹	kuᴀ³¹	kuᴀ³¹	kuᴀ³¹	kuᴀ³¹
挎跨	kʰuᴀ⁴⁴	kʰuᴀ⁵⁵	kʰuᴀ⁵⁵	kʰuᴀ⁵⁵	kʰuᴀ⁴⁴	kʰuᴀ⁵⁵	kʰuᴀ⁴⁴	kʰuᴀ⁴⁴
桦	xuᴀ³¹	xuᴀ³¹	xuᴀ³¹	xuᴀ³¹	xuᴀ³¹	xuᴀ³¹	xuᴀ³¹	xuᴀ³¹
刷唰	ʂuᴀ³¹	ʂuᴀ³¹	ʂuᴀ³¹	ʂuᴀ³¹	ʂuᴀ³¹	ʂuᴀ³¹	suᴀ³¹	suᴀ³¹
蛙哇挖	vᴀ⁴⁴	vᴀ⁵⁵	vᴀ⁵⁵	vᴀ⁵⁵	vᴀ⁴⁴	vᴀ⁵⁵	vᴀ⁴⁴	vᴀ⁴⁴
娃	vᴀ³¹	vᴀ³¹	vᴀ³¹	vᴀ³¹	vᴀ³¹	vᴀ³¹	vᴀ³¹	vᴀ³¹
瓦佤	vᴀ⁵³	vᴀ⁴²	vᴀ⁵³	vᴀ⁵³	vᴀ⁴²	vᴀ⁴²	vᴀ⁵³	vᴀ⁵³
袜	vᴀ²¹³	vᴀ⁴⁵	vᴀ²¹³	vᴀ²¹³	vᴀ⁴⁵	vᴀ⁴⁵	vᴀ²¹³	vᴀ²¹³
咄	to³¹	to³¹	to³¹	to³¹	to³¹	to³¹	to³¹	to³¹
托脱	tʰo³¹	tʰo³¹	tʰo³¹	tʰo³¹	tʰo³¹	tʰo³¹	tʰo³¹	tʰo³¹
拓	tʰo³¹	tʰo³¹	tʰo³¹	tʰo³¹	tʰo³¹	tʰo³¹	tʰo³¹	tʰo³¹
诺	no²¹³	no⁴⁵	no²¹³	no²¹³	no⁴⁵	no⁴⁵	no²¹³	no²¹³
捋{~松毛}	lo²¹³	lo⁴⁵	lo²¹³	lo²¹³	lo⁴⁵	lo⁴⁵	lo²¹³	lo²¹³
洛络骆落烙{炮~}	lo³¹	lo³¹	lo³¹	lo³¹	lo³¹	lo³¹	lo³¹	lo³¹
