id	ini	fn	pt	单字	IPA	注释		小學堂	甘網處理後	issame	isui
1473	ts	ɐu	22	宙	tsɐu22	宇宙		tsɐu22	tsɐu22	1	False
1474	ts	ɐu	55	鄒	tsɐu55	姓		tsɐu55	tsɐu55	1	False
1475	ts	ɐu	33	皺	tsɐu33	皱纹		tsɐu33	tsɐu33	1	False
1476	s	ɐu	11	愁	sɐu21	发愁		sɐu21	sɐu21	1	False
1477	ts	au	22	驟	tsau22/tsɐu22	步骤；暴风骤雨		tsɐu22	tsau22	False	False
1478	s	ɐu	24	搜	sɐu24	搜查，搜身		sɐu24	sɐu24	1	False
1479	s	ok	55	餿	sok5	饭馊了			sok5	1	False
1480	s	ɐu	24	蒐	sɐu24	搜集			sɐu24	1	False
1481	s	ɐu	33	瘦	sɐu33	瘦小		sɐu33	sɐu33	1	False
1482	ts	ɐu	55	周	tsɐu55	姓；周围		tsɐu55	tsɐu55	1	False
1483	ts	ɐu	55	舟	tsɐu55	舟山		tsɐu55	tsɐu55	1	False
1484	ts	ɐu	55	州	tsɐu55	杭州		tsɐu55	tsɐu55	1	False
1485	ts	ɐu	55	洲	tsɐu55	亚洲		tsɐu55	tsɐu55	1	False
1487	ts	ɐu	33	咒	tsɐu33	咒人			tsɐu33	1	False
1488	tsʰ	ɐu	24	醜	tsʰɐu24	丑陋		tsʰɐu24	tsʰɐu24	1	False
1489	tsʰ	ɐu	33	臭	tsʰɐu33	香臭		tsʰɐu33	tsʰɐu33	1	False
1490	s	ɐu	55	收	sɐu55	秋收，收集		sɐu55	sɐu55	1	False
1491	s	ɐu	24	手	sɐu24	手段		sɐu24	sɐu24	1	False
1492	s	ɐu	24	首	sɐu24	首都		sɐu24	sɐu24	1	False
1493	s	ɐu	24	守	sɐu24	保守		sɐu24	sɐu24	1	False
1494	s	ɐu	33	獸	sɐu33	野兽		sɐu33	sɐu33	1	False
1495	s	ɐu	11	仇	sɐu21	报仇		sɐu21	sɐu21	1	False
1496	tsʰ	ɐu	11	酬	tsʰɐu21	报酬		tsʰɐu21	tsʰɐu21	1	False
1497	s	ɐu	22	受	sɐu22	接受		sɐu22	sɐu22	1	False
1498	s	ɐu	22	壽	sɐu22	寿星			sɐu22	1	False
1499	s	ɐu	22	授	sɐu22	教授		sɐu22	sɐu22	1	False
1500	tsʰ	ɐu	11	售	tsʰɐu21/sɐu22/tsʰɐu22	出售		sɐu22;tsʰɐu22	tsʰɐu21	False	False
1501	∅	iɐu	11	柔	jiɐu21	温柔		jiɐu21	jɐu21	False	False
1502	∅	iɐu	11	揉	jiɐu21	揉眼睛，揉面团		jiɐu21	jɐu21	False	False
1503	k	ɐu	55	鳩	kɐu55/kʰɐu55	斑鸠		kʰɐu55	kɐu55	False	False
1505	t	ɐu	24	糾	tɐu24	纠缠		tɐu24	tɐu24	1	False
1506	k	ɐu	24	九	kɐu24	第九		kɐu24	kɐu24	1	False
1507	k	ɐu	24	久	kɐu24	长久		kɐu24	kɐu24	1	False
1508	k	ɐu	24	韭	kɐu24	韭菜		kɐu24	kɐu24	1	False
1509	k	ɐu	33	灸	kɐu33	针灸		kɐu33	kɐu33	1	False
1510	k	ɐu	33	救	kɐu33	救命		kɐu33	kɐu33	1	False
1511	k	ɐu	33	究	kɐu33	研究		kɐu33	kɐu33	1	False
1512	∅	iɐu	55	丘	jiɐu55	姓；山丘		jiɐu55	jɐu55	False	False
1513	kʰ	ɐu	11	求	kʰɐu21	要求		kʰɐu21	kʰɐu21	1	False
1514	kʰ	ɐu	11	球	kʰɐu21	地球		kʰɐu21	kʰɐu21	1	False
1515	tsʰ	ɐu	11	仇	tsʰɐu21	姓		sɐu21	tsʰɐu21	False	False
1516	kʰ	ɐu	33	臼	kʰɐu33	脱臼		kʰɐu33	kʰɐu33	1	False
1517	kʰ	ɐu	33	舅	kʰɐu33	舅舅，舅父		kʰɐu33	kʰɐu33	1	False
1518	k	ɐu	22	舊	kɐu22	新旧		kɐu22	kɐu22	1	False
1519	n	ɐu	24	柩	nɐu24/kɐu33	灵柩		kɐu33	nɐu24	False	False
1520	ŋ	ɐu	11	牛	ŋɐu21	吹牛		ŋɐu21	ŋɐu21	1	False
1521	∅	iɐu	55	休	jiɐu55	休息		jiɐu55	jɐu55	False	False
1522	n	ɐu	24	朽	nɐu24	腐朽		nɐu24	nɐu24	1	False
1523	tsʰ	ɐu	33	嗅	tsʰɐu33	嗅觉			tsʰɐu33	1	False
1524	∅	iɐu	55	憂	jiɐu55	担忧		jiɐu55	jɐu55	False	False
1525	∅	iɐu	55	優	jiɐu55	优秀		jiɐu55	jɐu55	False	False
1526	∅	iɐu	11	尤	jiɐu21	尤其		jiɐu21	jɐu21	False	False
1527	∅	iɐu	11	郵	jiɐu21	邮票		jiɐu21	jɐu21	False	False
1528	∅	iɐu	33	有	jiɐu33	有无		jiɐu33	jɐu33	False	False
1529	∅	iɐu	33	友	jiɐu33	朋友		jiɐu33	jɐu33	False	False
1530	∅	iɐu	22	又	jiɐu22	又一次		jiɐu22	jɐu22	False	False
1531	∅	iɐu	22	右	jiɐu22	左右		jiɐu22	jɐu22	False	False
1532	∅	iɐu	22	佑	jiɐu22	保佑			jɐu22	1	False
1533	∅	iɐu	11	由	jiɐu21	理由		jiɐu21	jɐu21	False	False
1534	∅	iɐu	11	油	jiɐu21	花生油		jiɐu21	jɐu21	False	False
1535	∅	iɐu	11	游	jiɐu21	旅游		jiɐu21	jɐu21	False	False
1536	∅	iɐu	11	猶	jiɐu21	犹豫		jiɐu21	jɐu21	False	False
1537	∅	iɐu	55	悠	jiɐu55/jiɐu21	悠闲		jiɐu21	jɐu55	False	False
1538	∅	iɐu	33	酉	jiɐu33	地支第十			jɐu33	1	False
1539	∅	iɐu	33	誘	jiɐu33	引诱		jiɐu33	jɐu33	False	False
1540	∅	iɐu	24	柚	jiɐu24	柚子		jiɐu24	jɐu24	False	False
1541	∅	iɐu	24	釉	jiɐu24	釉彩			jɐu24	1	False
1542	p	iu	55	彪	piu55	林彪		piu55	piu55	1	False
1543	m	ou	22	謬	mou22/mou21	谬论		mou21	mou22	False	False
1544	t	iu	55	丢	tiu55	丢失			tiu55	1	False
1545	t	ɐu	24	糾	tɐu24	纠正		tɐu24	tɐu24	1	False
1546	∅	iɐu	55	幽	jiɐu55	幽默		jiɐu55	jɐu55	False	False
1547	∅	iɐu	33	幼	jiɐu33	幼稚		jiɐu33	jɐu33	False	False
1548	t	am	55	耽	tam55	耽误		tam55	tam55	1	False
1549	t	ap	33	答	tap3	回答		tap33	tap3	False	False
1550	t	ap	33	搭	tap3	搭车，衣服搭在肩上			tap3	1	False
1551	tʰ	am	55	貪	tʰam55	贪心		tʰam55	tʰam55	1	False
1552	tʰ	am	33	探	tʰam33	探路			tʰam33	1	False
1553	t	ap	33	踏	tap3	脚踏			tap3	1	False
1554	tʰ	am	11	潭	tʰam21	湘潭		tʰam21	tʰam21	1	False
1555	tʰ	am	11	譚	tʰam21	姓		tʰam21	tʰam21	1	False
1556	t	ap	33	沓	tap3	一沓纸		tap22	tap3	False	False
1557	n	am	11	南	nam21	南方		nam21	nam21	1	False
1558	n	am	11	男	nam21	男人		nam21	nam21	1	False
1559	n	ap	22	納	nap2	出纳		nap22	nap2	False	False
1560	l	ai	55	拉	lai55	拖拉		lai55	lai55	1	False
1561	ts	am	55	簪	tsam55	发簪		tsam55	tsam55	1	False
1562	tsʰ	am	55	參	tsʰam55	参加		tsʰam55;tsʰam55;sam55	tsʰam55	False	False
1563	tsʰ	am	24	慘	tsʰam24	悲惨		tsʰam24	tsʰam24	1	False
1564	tsʰ	am	11	蠶	tsʰam21	蚕丝		tsʰam21	tsʰam21	1	False
1565	ts	ap	22	雜	tsap2	复杂		tsɐp22	tsap2	False	False
1566	k	am	24	感	kam24	感谢		kam24	kam24	1	False
1567	h	ɐp	22	合	hɐp2/kap3	合作		hɐp22;kap33	hɐp2	False	False
1568	k	ap	33	蛤	kap3	蛤蜊，花蛤		kap55	kap3	False	False
1569	k	ap	55	鴿	kap5	鸽子		kap55	kap5	False	False
1570	h	am	55	堪	ham55	难堪		ham55	ham55	1	False
1572	h	ɐm	55	坎	hɐm55	坎坷；坎头		hɐm24	hɐm55	False	False
1573	h	ɐm	24	砍	hɐm24	砍柴			hɐm24	1	False
1574	h	am	33	勘	ham33	勘探		ham55	ham33	False	False
1575	h	ot	33	喝	hot3	喝彩		hot33	hot3	False	False
1576	h	ɐm	11	含	hɐm21	包含		hɐm21	hɐm21	1	False
1577	h	am	11	函	ham21	信函		ham21	ham21	1	False
1578	h	am	33	撼	ham33	震撼		ham22	ham33	False	False
1579	h	am	22	憾	ham22	遗憾		ham22	ham22	1	False
1580	h	ɐp	22	合	hɐp2	十合一升		hɐp22;kap33	hɐp2	False	False
1581	h	ɐp	22	盒	hɐp2	盒子		hɐp22	hɐp2	False	False
1582	∅	ɐm	55	庵	ʔɐm55	尼姑庵		∅ɐm55	∅ɐm55	1	False
1583	∅	ɐm	24	揞	ʔɐm24	揞住		∅ɐm55	∅ɐm24	False	False
1584	∅	ɐm	33	暗	ʔɐm33	黑暗		∅ɐm33	∅ɐm33	1	False
1585	t	am	55	擔	tam55	担任（动）		tam55;tam33	tam55	False	False
1586	t	am	24	膽	tam24	胆小		tam24	tam24	1	False
1587	t	am	33	擔	tam33	挑担（名）		tam55;tam33	tam33	False	False
1589	tʰ	an	24	毯	tʰan24	毛毯		tʰan24	tʰan24	1	False
1590	tʰ	ap	33	塔	tʰap3	一座塔		tʰɐp55	tʰap3	False	False
1591	tʰ	at	33	遢	tʰat3	邋遢			tʰat3	1	False
1592	tʰ	ap	33	塌	tʰap3	倒塌			tʰap3	1	False
1593	tʰ	am	11	談	tʰam21	谈话		tʰam21	tʰam21	1	False
1594	tʰ	am	11	痰	tʰam21	吐痰		tʰam21	tʰam21	1	False
1595	t	am	22	淡	tam22	咸淡；浓淡		tam22	tam22	1	False
1596	l	am	22	藍	lam22/lam21	蓝色		lam21	lam22	False	False
1597	l	am	22	籃	lam22/lam21	篮子		lam21	lam22	False	False
1598	l	am	33	覽	lam33	阅览		lam33	lam33	1	False
1599	l	am	33	攬	lam33	包揽		lam33	lam33	1	False
1600	l	am	24	欖	lam24/lam22	橄榄		lam22	lam24	False	False
1601	l	am	33	濫	lam33	泛滥		lam33	lam33	1	False
1602	l	am	11	纜	lam21/lam22	缆绳，缆车		lam22	lam21	False	False
1603	l	ap	22	臘	lap2/lap3	腊肉		lap33	lap2	False	False
1604	l	ap	22	蠟	lap2/lap3	蜡烛		lap33	lap2	False	False
1605	tsʰ	am	11	慚	tsʰam21	惭愧		tsʰam21	tsʰam21	1	False
1606	ts	am	22	暫	tsam22	暂时		tsam22	tsam22	1	False
1607	s	am	55	三	sam55	第三		sam55	sam55	1	False
1608	k	am	55	甘	kam55	甘蔗		kam55	kam55	1	False
1609	k	am	55	柑	kam55	芦柑		kam55	kam55	1	False
1610	k	am	24	敢	kam24	勇敢		kam24	kam24	1	False
1611	k	am	55	橄	kam55/kam33	橄榄		kam33	kam55	False	False
1612	h	am	33	喊	ham33	叫喊		ham33	ham33	1	False
1613	ts	am	22	站	tsam22/tsam33	站立		tsam33	tsam22	False	False
1614	ts	at	33	劄	tsat3	针扎			tsat3	1	False
1615	ts	an	22	賺	tsan22	赚钱			tsan22	1	False
1616	ts	am	22	站	tsam22/tsam33	车站		tsam33	tsam22	False	False
1617	ts	am	24	斬	tsam24	刀斩		tsam24	tsam24	1	False
1619	ts	am	24	眨	tsam24/tsɐt55	眨眼		tsɐt55	tsam24	False	False
1620	tsʰ	ap	33	插	tsʰap3/tsʰɐp5	插秧		tsʰɐp55	tsʰap3	False	False
1621	tsʰ	im	11	讒	tsʰim21	谗言		tsʰoi21	tsʰim21	False	False
1622	ts	ap	22	閘	tsap2	闸门			tsap2	1	False
1623	ts	ap	22	煠	tsap2	把食物放入沸水或沸油里弄熟			tsap2	1	False
1624	tsʰ	am	33	杉	tsʰam33/tsʰam55	杉树		tsʰam55	tsʰam33	False	False
1625	k	am	33	尷	kam33	尴尬			kam33	1	False
1626	k	am	24	减	kam24	加减			kam24	1	False
1627	k	an	24	鹼	kan24	发酵用			kan24	1	False
1628	k	ap	33	夾	kap3	夹子；夹东西		kap33	kap3	False	False
1629	k	ap	33	裌	kap3	夹衣，夹袄		kap33	kap3	False	False
1630	h	ɐp	55	恰	hɐp5	恰当		hɐp55	hɐp5	False	False
1632	h	am	11	咸	ham21	咸丰		ham21	ham21	1	False
1633	h	am	11	鹹	ham21	咸淡		ham21	ham21	1	False
1634	h	am	22	陷	ham22	陷井		ham22	ham22	1	False
1635	h	am	24	餡	ham24	饺子馅			ham24	1	False
1636	h	ap	22	狹	hap2	狭窄		hap22	hap2	False	False
1637	h	ap	22	峽	hap2	三峡		hap22	hap2	False	False
1638	h	ɐp	55	洽	hɐp5	洽谈		hɐp55	hɐp5	False	False
1639	s	am	55	衫	sam55	衬衫		sam55	sam55	1	False
1640	k	am	55	監	kam55	监视，监牢		kam55	kam55	1	False
1641	k	am	33	鑒	kam33	鉴定		kam33	kam33	1	False
1642	k	am	33	監	kam33	国子监；太监		kam55	kam33	False	False
1643	k	ap	33	甲	kap3	天干第一		kap33	kap3	False	False
1644	k	ap	33	胛	kap3	肩胛		kap33	kap3	False	False
1646	ŋ	am	11	巖	ŋam21	岩石，石灰岩		ŋam21	ŋam21	1	False
1647	h	am	11	銜	ham21	军衔		ham21	ham21	1	False
1648	l	am	22	艦	lam22	军舰		lam22	lam22	1	False
1649	h	ap	22	匣	hap2	匣子		hap22	hap2	False	False
1650	∅	ap	33	鴨	ʔap3	鸭子		∅ap33	∅ap3	False	False
1651	∅	at	33	押	ʔat3	押送		∅at33	∅at3	False	False
1652	∅	at	33	壓	ʔat3	压力		∅at33	∅at3	False	False
1653	p	in	24	貶	pin24	贬值		pin24	pin24	1	False
1654	n	im	55	黏	nim55/tsim55	黏米，黏合剂		tsim55	nim55	False	False
1655	n	ip	22	聶	nip2/nit2	姓		nit22	nip2	False	False
1656	n	ip	22	鑷	nip2/nit2	镊子		nit22	nip2	False	False
1657	l	im	11	廉	lim21	廉洁		lim21	lim21	1	False
1658	l	im	11	鐮	lim21	镰刀		lim21	lim21	1	False
1659	l	im	11	簾	lim21	窗帘		lim21	lim21	1	False
1660	l	im	33	斂	lim33	收敛		lim33	lim33	1	False
1661	l	im	33	殮	lim33	殡殓		lim33	lim33	1	False
1662	l	ip	22	獵	lip2	打猎		lip22	lip2	False	False
1663	ts	im	55	尖	tsim55	尖刀		tsim55	tsim55	1	False
1664	tsʰ	im	55	殲	tsʰim55	歼灭		tsʰim55	tsʰim55	1	False
1665	ts	ip	33	接	tsip3	接待		tsip33	tsip3	False	False
1666	tsʰ	im	55	籤	tsʰim55	牙签		tsʰim55	tsʰim55	1	False
1667	tsʰ	im	55	簽	tsʰim55	签名			tsʰim55	1	False
1668	tsʰ	ip	33	妾	tsʰip3	妻妾		tsʰip33	tsʰip3	False	False
1669	tsʰ	im	11	潛	tsʰim21	潜水		tsʰim21	tsʰim21	1	False
1670	ts	im	22	漸	tsim22	逐渐		tsim22	tsim22	1	False
1671	ts	it	22	捷	tsit2	捷报		tsit22	tsit2	False	False
1672	ts	im	55	沾	tsim55/nim55	沾湿		nim55	tsim55	False	False
1673	n	im	55	粘	tsim55/nim55	粘贴		tsim55	nim55	False	False
1674	ts	im	55	占	tsim55	占卜		tsim33;tsim55	tsim55	False	False
1675	ts	im	33	佔	tsim33	占有，占地方			tsim33	1	False
1676	ts	ip	33	摺	tsip3	折被子，折纸		tsip33	tsip3	False	False
1677	s	im	24	陝	sim24	陕西		sim24	sim24	1	False
1678	s	im	24	閃	sim24	闪电		sim24	sim24	1	False
1679	s	ip	33	攝	sip3	摄影		sip33	sip3	False	False
1680	s	im	11	蟾	sim21	蟾蜍，蟾酥		sim21	sim21	1	False
1681	s	ip	33	涉	sip3	干涉		sip33	sip3	False	False
1682	∅	im	33	染	jim33	污染		jim33	jim33	1	False
1683	kʰ	im	24	檢	kʰim24	检查		kʰim24	kʰim24	1	False
1684	l	im	33	臉	lim33	脸色		lim33	lim33	1	False
1685	kʰ	im	11	鉗	kʰim21	钳子		kʰim22	kʰim21	False	False
1686	k	im	22	儉	kim22	节俭		kim22	kim22	1	False
1687	∅	im	22	驗	jim22	试验		jim22	jim22	1	False
1688	h	im	24	險	him24	危险		him24	him24	1	False
1689	∅	im	24	淹	jim24	淹没		jim21	jim24	False	False
1690	∅	im	55	閹	jim55	阉割		jim55	jim55	1	False
1691	∅	im	24	掩	jim24	掩护		jim22	jim24	False	False
1692	∅	im	33	厭	jim33	讨厌		jim33	jim33	1	False
1693	∅	im	11	炎	jim21	炎热		jim21	jim21	1	False
1694	∅	im	11	鹽	jim21	食盐(名）		jim21;jim22	jim21	False	False
1695	∅	im	11	閻	jim21	阎王		jim21	jim21	1	False
1696	s	im	11	檐	sim21/jim21	屋檐		jim21	sim21	False	False
1697	∅	im	22	艷	jim22	鲜艳			jim22	1	False
1698	∅	im	22	焰	jim22	火焰		jim22	jim22	1	False
1699	∅	ip	33	鹽	jip3/jim22	腌制（动）		jim21;jim22	jip3	False	False
1700	∅	ip	22	葉	jip2	树叶		jip22	jip2	False	False
1755	tsʰ	ɐp	55	輯	tsʰɐp5	编辑		tsʰɐp55	tsʰɐp5	False	False
1756	s	ɐm	55	心	sɐm55	心思		sɐm55	sɐm55	1	False
1757	tsʰ	ɐm	11	尋	tsʰɐm21	寻找		tsʰɐm21	tsʰɐm21	1	False
1758	ts	ap	22	習	tsap2/tsɐp2	学习		tsɐp22	tsap2	False	False
1759	ts	ap	22	襲	tsap2/tsɐp2	袭击		tsɐp22	tsap2	False	False
1760	ts	ɐm	55	砧	tsɐm55	砧板			tsɐm55	1	False
1761	tsʰ	ɐm	11	沉	tsʰɐm21	沉浮		tsʰɐm21	tsʰɐm21	1	False
1762	ts	ek	22	蟄	tsek2	惊蛰		tsek22	tsek2	False	False
1763	ts	am	55	簪	tsam55	发簪		tsam55	tsam55	1	False
1764	s	ɐm	22	岑	sɐm22	姓		sɐm55	sɐm22	False	False
1765	s	ɐm	55	森	sɐm55	森林		sɐm55	sɐm55	1	False
1766	s	ɐm	55	參	sɐm55	人参		tsʰam55;tsʰam55;sam55	sɐm55	False	False
1767	s	ɐm	33	滲	sɐm33	渗水		sɐm33	sɐm33	1	False
1768	k	ip	33	澀	kip3	羞涩		kip33	kip3	False	False
1769	ts	ɐm	55	針	tsɐm55	针对		tsɐm55	tsɐm55	1	False
1770	ts	ɐm	55	斟	tsɐm55	斟酒		tsɐm55	tsɐm55	1	False
1771	ts	ɐm	24	枕	tsɐm24	枕头（名）		tsɐm24	tsɐm24	1	False
1772	ts	ɐm	24	枕	tsɐm24	枕枕头（动）		tsɐm24	tsɐm24	1	False
1773	ts	ɐp	55	執	tsɐp5	执行		tsɐp55	tsɐp5	False	False
1774	ts	ɐp	55	汁	tsɐp5	果汁		tsɐp55	tsɐp5	False	False
1775	ts	ɐm	55	深	tsɐm55	深入		sɐm55	tsɐm55	False	False
1776	ts	ɐm	24	沈	tsɐm24/sɐm24	沈阳		tsʰɐm21;sɐm24	tsɐm24	False	False
1777	ts	ɐm	24	嬸	tsɐm24	叔之妻			tsɐm24	1	False
1778	ts	ɐm	24	審	tsɐm24/sɐm24	审问		sɐm24	tsɐm24	False	False
1779	ts	ɐp	55	濕	tsɐp5/sɐp55	湿润		sɐp55	tsɐp5	False	False
1780	s	ɐm	11	甚	sɐm21/sɐm22	甚至		sɐm22	sɐm21	False	False
1781	s	ap	22	十	sap2/sɐp2	第十		sɐp22	sap2	False	False
1782	s	ap	22	拾	sap2/sɐp2	拾金不昧		sɐp22	sap2	False	False
1783	∅	iɐm	11	壬	jiɐm21	天干第九		jiɐm21	jɐm21	False	False
1784	∅	iɐm	22	任	jiɐm22/jiɐm21	姓		jiɐm21	jɐm22	False	False
1785	∅	iɐm	22	任	jiɐm22/jiɐm21	责任		jiɐm21	jɐm22	False	False
1786	∅	iɐn	33	紝	jiɐn33	缝纴			jɐn33	1	False
1787	∅	iap	22	入	jiap2/jiɐp22	进入		jiɐp22	jap2	False	False
1788	k	ɐm	55	今	kɐm55	今天		kɐm55	kɐm55	1	False
1789	k	ɐm	55	金	kɐm55	金银		kɐm55	kɐm55	1	False
1790	k	ɐm	33	禁	kɐm33	禁不住		kɐm33	kɐm33	1	False
1791	kʰ	ɐm	55	襟	kʰɐm55	连襟		kʰɐm55	kʰɐm55	1	False
1792	k	ɐm	24	錦	kɐm24	锦绣		kɐm24	kɐm24	1	False
1793	k	ɐm	33	禁	kɐm33	禁止		kɐm33	kɐm33	1	False
1794	k	ap	55	急	kap5/kɐp5	急忙		kɐp55	kap5	False	False
1795	kʰ	ap	55	級	kʰap5/kʰɐp5	年级		kʰɐp55	kʰap5	False	False
1796	kʰ	ap	55	給	kʰap5/kʰɐp5	供给，给予		kʰɐp55	kʰap5	False	False
1797	∅	iɐm	55	欽	jiɐm55	钦差		jiɐm55	jɐm55	False	False
1798	k	ɐm	33	撳	kɐm33	手用力捏住，往下按			kɐm33	1	False
1799	∅	iap	55	泣	jiap5/jiɐp5	哭泣		jiɐp55	jap5	False	False
1800	kʰ	ɐm	11	琴	kʰɐm21	弹琴		kʰɐm21	kʰɐm21	1	False
1801	kʰ	ɐm	11	禽	kʰɐm21	家禽		kʰɐm21	kʰɐm21	1	False
1802	kʰ	ɐm	11	擒	kʰɐm21	擒拿		kʰɐm21	kʰɐm21	1	False
1804	k	ap	22	及	kap2/kɐp2	及时		kɐp22	kap2	False	False
1805	∅	iɐm	11	吟	jiɐm21	吟诗		jiɐm21	jɐm21	False	False
1806	kʰ	ɐp	55	吸	kʰɐp5	呼吸		kʰɐp55	kʰɐp5	False	False
1807	∅	iɐm	55	音	jiɐm55	音乐		jiɐm55	jɐm55	False	False
1808	∅	iɐm	55	陰	jiɐm55	阴天		jiɐm55	jɐm55	False	False
1809	∅	iɐm	24	飲	jiɐm24	米汤（名）		jiɐm24	jɐm24	False	False
1810	∅	iɐm	24	飲	jiɐm24	饮酒（动）		jiɐm24	jɐm24	False	False
1811	∅	iɐm	55	蔭	jiɐm55	屋子很荫		jiɐm33	jɐm55	False	False
1812	∅	iap	55	揖	jiap5	作揖		jiɐp55	jap5	False	False
1813	∅	iɐm	11	淫	jiɐm21	淫荡		jiɐm21	jɐm21	False	False
1814	t	an	55	單	tan55	单独		tan55;sim22	tan55	False	False
1815	t	an	55	丹	tan55	人丹		tan55	tan55	1	False
1816	tʰ	an	24	疸	tʰan24	黄疸			tʰan24	1	False
1817	t	an	33	旦	tan33	元旦		tan55	tan33	False	False
1818	tʰ	an	55	灘	tʰan55	沙滩		tʰan55	tʰan55	1	False
1819	tʰ	an	55	攤	tʰan55	摊开		tʰan55	tʰan55	1	False
1820	tʰ	an	55	癱	tʰan55	瘫痪			tʰan55	1	False
1821	tʰ	an	24	坦	tʰan24	坦白		tʰan24	tʰan24	1	False
1822	tʰ	an	33	嘆	tʰan33	叹气		tʰan33	tʰan33	1	False
1823	tʰ	an	33	炭	tʰan33	木炭		tʰan33	tʰan33	1	False
1824	tʰ	an	11	彈	tʰan21	弹琴		tʰan21;tan22	tʰan21	False	False
1825	tʰ	an	11	檀	tʰan21	檀香		tʰan21	tʰan21	1	False
1826	tʰ	an	11	壇	tʰan21	天坛		tʰan21	tʰan21	1	False
1827	t	an	33	誕	tan33	诞生		tan33	tan33	1	False
1828	t	an	22	彈	tan22	子弹		tʰan21;tan22	tan22	False	False
1829	t	an	22	但	tan22	但是		tan22	tan22	1	False
1830	t	an	24	蛋	tan24	鸡蛋			tan24	1	False
1831	t	at	22	達	tat2	达到		tat22	tat2	False	False
1832	n	an	11	難	nan21	很难		nan21	nan21	1	False
1833	n	an	22	難	nan22	患难		nan21	nan22	False	False
1834	l	at	33	捺	lat3	撇捺		lat33	lat3	False	False
1835	l	an	11	蘭	lan21	兰花		lan21	lan21	1	False
1836	l	an	11	攔	lan21	拦住		lan21	lan21	1	False
1837	l	an	11	欄	lan21	栏杆		lan21	lan21	1	False
1838	l	an	11	欄	lan21	猪栏		lan21	lan21	1	False
1839	l	an	33	懶	lan33	懒惰		lan33	lan33	1	False
1840	l	an	22	爛	lan22	腐烂		lan22	lan22	1	False
1841	l	at	22	辣	lat2	泼辣；辣椒			lat2	1	False
1842	ts	an	33	贊	tsan33	赞助		tsan33	tsan33	1	False
1843	ts	in	55	灒	tsin55	溅水，灒水（打铁器）		tsin24	tsin55	False	False
1844	tsʰ	an	55	餐	tsʰan55	快餐		tsʰan55	tsʰan55	1	False
1845	tsʰ	an	33	燦	tsʰan33	灿烂		tsʰan33	tsʰan33	1	False
1846	tsʰ	at	33	擦	tsʰat3	擦洗			tsʰat3	1	False
1847	tsʰ	an	11	殘	tsʰan21	残疾		tsʰan21	tsʰan21	1	False
1848	s	an	55	珊	san55	珊瑚		san55	san55	1	False
1849	s	an	33	散	san33	分散		san24;san33	san33	False	False
1850	s	an	33	傘	san33	雨伞		san33	san33	1	False
1851	s	an	24	散	san24	松散		san24;san33	san24	False	False
1852	s	at	33	撒	sat3	撒手，撒种			sat3	1	False
1853	s	at	33	薩	sat3/sɐt3	菩萨		sɐt33	sat3	False	False
1854	k	on	55	干	kon55	天干地支		kon55	kon55	1	False
1855	k	on	55	乾	kon55	干湿		kon55;kʰin21	kon55	False	False
1856	k	on	55	竿	kon55	竹竿		kon55	kon55	1	False
1857	k	on	55	肝	kon55	猪肝		kon55	kon55	1	False
1858	k	on	55	桿	kon55	枪杆			kon55	1	False
1859	k	on	24	稈	kon24	禾秆		kon24	kon24	1	False
1860	k	on	24	趕	kon24	赶走			kon24	1	False
1861	k	on	33	幹	kon33	干部		kon33	kon33	1	False
1862	k	ot	33	割	kot3	收割		kot33	kot3	False	False
1863	k	ot	33	葛	kot3	诸葛亮		kot33	kot3	False	False
1864	h	on	55	看	hon55	看守，看牛		hon55	hon55	1	False
1865	h	on	24	刊	hon24	报刊		hon24	hon24	1	False
1866	h	on	33	看	hon33	看见		hon55	hon33	False	False
1867	h	ot	33	渴	hot3	口渴		hot33	hot3	False	False
1868	ŋ	on	22	岸	ŋon22	口岸		ŋon22	ŋon22	1	False
1869	h	on	22	鼾	hon22	鼾声		hon21	hon22	False	False
1870	h	on	24	罕	hon24	罕见			hon24	1	False
1871	h	on	33	漢	hon33	汉族		hon33	hon33	1	False
1872	h	ot	33	喝	hot3	喝酒		hot33	hot3	False	False
1873	h	on	11	寒	hon21	寒冷		hon21	hon21	1	False
1874	h	on	11	韓	hon21	韩国			hon21	1	False
1875	h	on	33	旱	hon33	干旱		hon33	hon33	1	False
1876	h	on	24	焊	hon24	电焊			hon24	1	False
1877	h	on	22	汗	hon22	出汗		hon22	hon22	1	False
1878	h	on	22	翰	hon22	翰林；人名用字		hon22	hon22	1	False
1879	∅	on	55	安	ʔon55	安全		∅on55	∅on55	1	False
1880	∅	on	55	鞍	ʔon55	马鞍			∅on55	1	False
1881	∅	on	33	按	ʔon33	按照		∅on33	∅on33	1	False
1882	∅	on	33	案	ʔon33	档案		∅on33	∅on33	1	False
1883	p	an	22	扮	pan22/pan33	打扮		pan33	pan22	False	False
1884	p	at	22	八	pat2/pat3	第八		pat33	pat2	False	False
1885	pʰ	an	33	盼	pʰan33	盼望		pʰan33	pʰan33	1	False
1886	p	an	22	辦	pan22	办法		pan22	pan22	1	False
1887	f	an	24	瓣	fan24	花瓣		fan24	fan24	1	False
1888	p	at	22	拔	pat2	选拔		pat22	pat2	False	False
1889	m	at	33	抹	mat3	抹布		mut33	mat3	False	False
1890	ts	an	24	盞	tsan24	灯盏		tsan24	tsan24	1	False
