""	"参考资料"	"《枞阳方言研究》，整理于东乡日常。"
""	"p"	"[1]搬[5]半伴拌"
""	"pʰ"	"[1]潘[2]盘[5]判叛"
""	"m"	"[2]瞒馒[3]满[5]漫"
""	"t"	"[1]端[3]短[5]断段锻缎"
""	"tʰ"	"[1]贪[2]团潭[5]探"
""	"l"	"[3]暖卵[5]乱"
""	"n"	"[2]男南"
""	"ts"	"[1]钻{动词}[5]钻"
""	"tsʰ"	"[2]蚕蝉"
""	"s"	"[1]酸[5]算蒜"


"#uõ"	""	""
""	"Ø"	"[2]完[3]碗皖腕"
""	"k"	"[1]官观冠[3]管馆[5]贯灌罐冠{~军}"
""	"kʰ"	"[1]宽[3]款"
""	"x"	"[1]欢[3]缓[5]唤换患"


"#ɪ̃"	"
"	""
""	"Ø"	"[1]阉焉烟[2]炎盐阎檐延言沿[3]掩演[5]堰厌艳焰燕咽宴"
""	"p"	"[1]边鞭编[3]蝙贬扁匾[5]变汴便辨辩辫遍"
""	"pʰ"	"[1]篇[2]骈便{~宜}[5]片骗"
""	"m"	"[2]绵棉眠[3]免勉娩缅[5]面"
""	"t"	"[1]掂颠[3]点典[5]店垫电殿奠佃"
""	"tʰ"	"[1]天添[2]田甜填[3]忝舔"
""	"n、l"	"[1]拈粘[2]岩廉镰俨严鲶连联年怜莲[3]研敛碾辇捻脸[5]殓验念谚练炼砚恋"
""	"tɕ"	"[1]监尖兼艰（文）奸(文）煎肩坚歼[3]减检俭简柬剪茧[5]鉴渐剑谏践箭贱溅件荐见"
""	"tɕʰ"	"[1]千签纤铅(文)[2]潜钳虔前全痊泉[3]浅[5]欠歉"
""	"ɕ"	"[1]仙鲜掀先宣[2]衔（文）嫌闲（文）涎贤[3]险鲜癣显选[5]陷（文）限（文）线羡献现县"
""	"ts"	"[1]沾粘瞻[3]展[5]占战颤"
""	"tsʰ"	"[2]缠"
""	"s"	"[3]陕闪[5]扇善膳鳝"
""	"k"	"[1]肝干[3]竿敢（白）擀[5]干{不干，不行}"
""	"kʰ"	"[1]看{~门}*{刚才，开先合音}堪（白）勘（白）[3]*{盖起来}坎[5]看"
""	"x"	"[2]寒[5]汗*{用油煎}"
""	"ŋ"	"[1]豌安（白，安装）"


"#yɪ̃"	""	""
""	"Ø"	"[1]冤[2]员圆缘元原源袁园援燃然(文）[3]染（文）阮远软（文）[5]院怨愿"
""	"t"	"[1]专砖捐涓绢[3]转{~来}卷{~纸}[5]撰转{~动}卷{试~}传{~记}篆圈{猪~}眷"
""	"tʰ"	"[1]川穿圈{圆~}[2]传{~说}椽船拳权[3]喘犬[5]篡串劝"
""	"ɕ"	"[1]弦玄悬[5]眩"


"#n̩"	""	""
""	"Ø"	"[3]你，里{白，里头，...里}"
