	阴平	阳平	上声	去声	入声
liʔ					立粒笠溺力历沥砾栗溧戾唳栎（~树）雳逆匿□（落~：地方）
tɕiʔ					激急及级汲极棘戟吉击积脊迹绩寂集疾即鲫籍辑缉（~拿）屐
tɕʰiʔ					泣乞七漆戚缉（回针缝）葺（~理：收拾）膝
ɕiʔ					隙吸旭习袭息熄媳悉昔惜夕锡席析蜥溪
iʔ					揖邑一益溢逸轶佚亦奕弈译易（贸~）液腋乙瘗
puʔ					不
pʰuʔ					卜（~卦）扑仆赴濮（~阳）幞（灯~）蹼瀑
muʔ					木沐牧目苜穆睦没（沉~）募墓慕暮幕
fuʔ					福幅蝠弗佛复腹覆服伏
tuʔ					毒督读渎犊啄-裰笃□（棉骨~：棉桃）
tʰuʔ					秃突凸
luʔ					六录禄碌绿鹿麓辘陆
tsuʔ					足撮（一小~）族竹筑烛浊蜀祝啄=逐粥轴妯嘱□（塞，动词）□（玉~珠）
tsʰuʔ					猝促簇出畜触矗族
suʔ					俗束速肃宿谡粟熟塾叔（小~子）疏赎属（家~；~于）术述戍
ʐuʔ					辱褥入□（扭伤，动词）
kuʔ					骨谷轱（~辙）□（~苏：碜牙）
kʰuʔ					哭窟酷
xuʔ					忽惑获
uʔ					沃勿物屋握杌□（叔叔）
lyʔ					率（效~）律
tɕyʔ					桔橘局焗菊掬鞠
tɕʰyʔ					曲蛐屈
ɕyʔ					恤蓄（储~）续戌
yʔ					域狱郁浴欲裕
paʔ					八拔跋杷（枇~）吧（~旱烟：吸旱烟）
pʰaʔ					啪
maʔ					抺（~布）蚂（~蚱）蟆□（手指~头）
faʔ					发伐筏阀罚乏法砝
taʔ					搭答瘩（疙~）达褡沓（一~纸）
tʰaʔ					塌榻遢踏塔獭闼挞拓
laʔ					那纳呐捺腊蜡辣邋蓝（苤~：菜名）
tsaʔ					杂匝咂砸闸炸（油~）蚱（蚂~）眨铡扎札榨（压~）□（膈~窝）蔗
tsʰaʔ					擦嚓楂（胡~子：短而硬的的胡子）插察刹（宝~）□（泼~：小孩不生病，长得好；泼辣）碴（瓦~子：瓦的碎片）
saʔ					撒（~手）萨靸刹（~车）杀煞霎歃□（~子：楔子）□（用鞭子抽）□（~刮：利落）
kaʔ					胳（~肢窝）嘎
xaʔ					还（~有）
aʔ					阿（~姨）
tɕiaʔ					夹颊甲戛
tɕʰiaʔ					掐恰洽
ɕiaʔ					狭峡瞎辖狎匣
iaʔ					鸭押压轧
tsuaʔ					□（打扫：~~干净）
suaʔ					刷□（~嘴巴：打嘴巴）
kuaʔ					括刮呱□（刷~：利落）
xuaʔ					滑猾划□（~开：用手拨开）
uaʔ					挖袜鸹
pəʔ					北白柏伯百
pʰəʔ					拍迫泊舶
məʔ					麦脉陌墨默
təʔ					得的德
tʰəʔ					特忑□（买~：高兴）
ləʔ					勒肋那□（手~儿：手帕）
tsəʔ					择泽责啧窄则仄贼
tsʰəʔ					侧厕（~所）恻测策册拆
səʔ					涩瑟塞啬穑色虱
tʂəʔ					折（打~）哲浙蜇蛰摘这（~边，~块，~个，~一刻儿，~挡子）
tʂʰəʔ					彻撤澈
ʂəʔ					摄舌设折（~本）涉麝舍（宿~）
ʐəʔ					热
kəʔ					格骼胳革隔各阁搁疙纥膈鸽
kʰəʔ					克刻客咳瞌磕渴
xəʔ					黑骇核（~武器）吓（恐~）鹤喝褐合盒
əʔ					额鳄颚厄
tsuəʔ					□（蠢）
pieʔ					鳖憋蹩别瘪毕
pʰieʔ					撇瞥
mieʔ					篾蔑灭
tieʔ					跌迭叠碟牒蝶谍
tʰieʔ					帖贴铁
lieʔ					捏涅聂镊蹑列裂烈劣孽猎
tɕieʔ					揭竭洁结劫杰接节（~日）截睫捷
tɕʰieʔ					切窃妾
ɕieʔ					歇蝎肋协谐携
ieʔ					噎咽（哽~）叶页业邺液
lyeʔ					略疟虐掠劣
tɕyeʔ					决诀倔掘绝噘（~嘴）觉（~悟）
tɕʰyeʔ					怯缺却确雀鹊
ɕyeʔ					血穴削学屑薛雪
yeʔ					月曰越粤阅悦跃乐（音~）
poʔ					钵拨剥驳脖博膊搏薄（厚~）箔帛□（煨二~）勃渤伯铂
pʰoʔ					泼瀑□（烧~：敬祖时烧的纸钱）魄珀
moʔ					末沫茉莫漠寞么墨默没（淹~）
toʔ					夺铎跺踱沰（~雨：淋雨）厾（用缝纫机扎）裰掇
tʰoʔ					脱托拓庹（两臂平伸的长度）唾
loʔ					骆洛落络烙赂乐（快~）□（~立：地方）略诺懦糯
tsoʔ					作（工~）凿卒（~子）卓桌拙捉着（~冷；~声）酌镯（~子）浊茁
tsʰoʔ					撮（~合）绰戳雀
soʔ					缩（压~；往回抽）索嗍（吮吸）说烁朔硕勺
koʔ					割葛鸽角-□（鹅~：相差）郭国各格阁搁鸽革□（~涝鼠：辍轳）
kʰoʔ					嗑（~瓜子）壳渴阔廓括（包~）瞌磕克客刻
xoʔ					豁霍活貉合盒或核（~子）褐鹤
oʔ					恶噩颚厄鳄沃握龌
tɕioʔ					脚角=爵嚼
tɕʰioʔ					雀却鹊确
ɕioʔ					削学
ioʔ					约药若弱钥岳乐（音~）
