#詞語	音標	解釋
午	vu3	地支的第七位。
戊	vu3	天干的第五位。
迕逆	vu3 ȵi5	指不守孝道之人。
□	vu3	因通风不良而发生霉变:麦子~咧成黑的咧。
嘟挛	tu luæ̃	量词,多用于让人感觉不舒适并产生厌恶的一堆或一簇。
嘟噜转	tu lu tʂuæ̃5	围着某物转了一圈儿:△老婆子舔蒜棰——一个~。
独霸角	tu pa5 tɕyɤ	指干什么事情都喜欢独来独往或独自霸占某物不给别人使用的人。
独独蒜	tu tu suæ̃5	不分瓣儿的大蒜。
肚子	tu3 tsɿ	猪、牛、羊的胃,可食用。
肚丝	tu3 sɿ2	将肚子切成细条形状供食用。
度食	tu5 ʂʅ	大鸟给小鸟喂食:连阴哑都晓得~呢,何况我们人呢。肚带tu44tεi21围在马、骡、驴等牲畜的肚子上用来固定鞍子的皮带。肚囊皮tu44naŋ21pʰi24由于肥胖在肚子周围形成的膪肉。
秃子	tʰu2 tsɿ	刮光或脱光头发的头:天热得很,刮成个~算咧。②刮光或脱光头发的人:人群里那个~就是的。
秃头	tʰu2 tʰəu	同“秃子”。
秃宝盖	tʰu2 pɔu3 kεi	汉字偏旁名称之一,如“冠、写”等字的上部。
秃头儿子	tʰu2 tʰəu εr tsɿ	对男孩的戏称:~就是匪,没有女子娃娃文静。
土	tʰu	尘土、灰尘。几天不打扫,桌子上就一层~。②土气。土檩tʰu53liŋ53放在房屋墙体之上的檩条,用来固定椽子。
土柱	tʰu3 tʂu5	立在墙体里面用来支撑房梁的柱子。
土暖	tʰu3 nuæ̃3	冬季用来取暖的小型锅炉。
土锤	tʰu3 tʂʰuei	指土里土气、不明事理的人。
土箭	tʰu3 tɕiæ̃5	形容人跑得飞快,给人一骑绝尘的感觉。
土旺	tʰu3 vaŋ5	指立春、立夏、立秋、立冬四节气之后的十八天。迷信的人认为这期间不能随意挖土或建房。
兔儿	tʰu5 εr	兔子。
碌碡	lu2 tʂu	农具,用石头做成,圆柱形,用来轧谷物,平场地。
碌碡挹到半山上	lu2 tʂu iε2 tɔu5 pæ̃5 sæ̃2 ʂaŋ	比喻事情发展到非常关键的地步。
炉齿齿	lu tsʰɿ3 tsʰɿ	炉箅子。
炉筒子	lu tʰuŋ3 tsɿ	炉子的烟筒,多用铁皮制成。
炉盖子	lu kεi5 tsɿ	炉盖儿。
炉圈子	lu tɕʰuæ̃2 tsɿ	炉盘子的一部分,放置在炉板内缘上的圈儿,从外到里,从大到小,依次放置,一般三至四个,用时可根据需要增减。
炉拐子	lu kuεi3 tsɿ	弯成直角的铁皮烟筒,用来连接两节烟筒,使互相垂直。
耧	lu	播种用的家具,可同时完成开沟和下种两项工作。
鲁	lu	粗鲁:你看你做啥去~嘛!②样式不够精细:这个东西也太~咧!
路数	lu5 ʂu	方式、方法:晓得咧做啥的~,做啥去就快咧。②底细:不知道乜都是啥~。
路数稠	lu5 ʂu tʂʰəu	办法多,心眼儿多。
露衣	lu5 i	指迎亲时新娘子穿在婚礼服外面的衣服,起保暖或遮挡晦气的作用。
做活	tsu5 xuɤ	体力劳动。
做活的	tsu5 xuɤ ti	干体力活的人。
做满月	tsu5 mæ̃3 yɤ	孩子出生满一月的那一天,亲朋好友前来表示祝贺的活动。
做乃麻孜	tsu5 nεi ma tsɿ	伊斯兰教徒做礼拜:你大干啥着呢?乜~着呢。
粗声大气	tsʰu2 ʂəŋ ta5 tɕʰi5	粗声粗气。
粗吮哇老	tsʰu2 ʂuŋ va lɔu	形容皮肤或物体表面不光滑,粗糙:揣去~地,一点儿不光淌。
觑	tsʰu	偷看:你~呢探呢地弄啥呢?《广韵·御韵》:“七虑切。~,伺视也。”
速	su2	将某人送往某地(含贬义):小伙子不学好,~着青海当兵让受教育去。
酥肉	su2 ʐəu5	菜肴名。把肉切成片,用淀粉水裹后下油锅炸,吃时加热即可。
素净	su5 tɕiŋ	指食品不含回族忌食的成分。
素鸡	su5 tɕi	一种豆制品,圆柱形,味道类似于豆腐干儿。
嗽	su5	(一群苍蝇)同时吸吮:放下半斤肉没苫住,苍蝇~得严严得。《广韵·屋韵》:“桑谷切。吮也。”
珠珠子	tʂu2 tʂu tsɿ	小的球形的东西:眼~两转,点子就来咧。/疼得他脸上的汗~冷往下淌呢。
珠子雨	tʂu2 tsɿ y3	雨珠连成一片的大雨。也说“珠珠雨”。
珠珠雨	tʂu2 tʂu y3	同“珠子雨”。
猪唠唠	tʂu2 lɔu lɔu	猪。因喂猪时呼“唠唠”声而得。
猪娃子	tʂu2 va tsɿ	小猪。
猪脑子	tʂu2 nɔu3 tsɿ	猪脑。②愚笨、愚蠢的东西或人:你~吃咧八大碗,就笨死着呢!/那是个~,你给说啥乜都听不懂。
猪嫌狗不爱	tʂu2 ɕiæ̃ kəu3 pu nεi5	比喻谁都不喜欢:娃娃这么大正是~的时候。
竹棍子	tʂu2 kuŋ5 tsɿ	细毛竹:从尻子上美美抽给咧几~。
竹字头	tʂu2 tsɿ5 tʰəu	汉字偏旁名称之一,如“笔、笛”等字的上部。
筑	tʂu	用重物将虚土弄结实:好好把这个地方~给几下,下雨的时候就再不往下渗水咧。②用手或器物打:你今儿个旦不好好写作业,看我咋~你恰!
煮角子	tʂu3 tɕyɤ tsɿ	饺子。
主玛儿日	tʂu3 ma εr ʐl	礼拜的日子。来源于阿拉伯语。
𡎺	tʂu5	塞、堵:下水道叫淤泥~得实实的。《广韵·屋韵》:“侧六切。塞也。”
住声	tʂu5 ʂəŋ2	让某人停止哭泣。多用于祈使句中。
柱顶石	tʂu5 tiŋ ʂʅ	建造房屋时安放柱子的两面较平整的石头。
绌	tʂʰu2	粗略地缝。衣裳扯咧个口子,赶紧叫我给你~上几针。《广韵·术韵》:“竹律切。缝也。”
欪	tʂʰu2	躲、藏:这几天不想见人,在家里~着呢。《广韵·术韵》:“竹律切。物在穴。”
搐	tʂʰu2	用绳子捆绑吊在空中:叫他大~着起来给打咧一顿。
出穗	tʂʰu2 suei5	粮食作物抽穗。
出花儿	tʂʰu2 xua r	出天花。
出月	tʂʰu2 yɤ	新生儿满一个月。
出息	tʂʰu2 ɕi	指发展前途或志气:这个娃娃长大咧肯定有~。②长进、进步:说实在的,你比年时个~多咧。
□□	tʂʰu2 tʂʰu	手提袋一类的总称。也说“褡褡、褡褡子”:寻个塑料~让我把书装上。
出言出语	tʂʰu2 iæ̃ tʂʰu2 y3	指说出挑衅性的话语:乜还~地骂人呢!
出长气	tʂʰu2 tʂʰaŋ tɕʰi	沉重的叹息:有啥事情呢么,让你这么个~着呢。
出淌淌	tʂʰu2 tʰaŋ3 tʰaŋ	象声词,形容打呼噜的声音。
出远门	tʂʰu2 yæ̃3 məŋ	外出到较远的地方:这一向一直在家里呢,没~。
出洋相	tʂʰu2 iaŋ ɕiaŋ	故意闹笑话让人发笑:这个娃娃会~很,长大能当演员。②出丑。这么多人再别让我~咧!
出纸	tʂʰu2 tsɿ3	当地丧俗。指人刚死后或祭日,由死者的子女出资在门前竖起一高杆,上面挂上镂刻的纸制品,以示哀悼。挂几个就叫“出几筒纸”。
□□□	tʂʰu2 tʂʰu tʂʰu	小声议论:要说就大声说,再不咧~的。②指平素爱暗地议论别人的人:那是个~一个,你可要防着呢。
除皮	tʂʰu pʰi	除去毛重。这个东西~去还不好除,连相子(全部)拿着去算咧。
□□屁	tʂʰu3 tʂʰu pʰi	没有声响的屁。
杵子	tʂʰu3 tsɿ	用来夯实地基或制作土坯的器具,有柄,柄上镶铁质或石质的头。
杵子头	tʂʰu3 tsɿ tʰəu	杵子的头,或平或凸起,平的一种可制作
杵迷	tʂʰu3 mi	倒霉,运气不好。
叔老子	ʂu2 lɔu3 tsɿ	叔父。
梳子糖	ʂu2 tsɿ tʰaŋ	用麦芽糖稀做成的糖,因外形像梳子,故名。熟脓ʂu24nuŋ24伤口溃烂流出脓血。
熟皮子	ʂu pʰi tsɿ	加工牛、羊等动物的皮毛。②比喻孩子进行处罚:你娃娃怕是想让人~咧!
熟面水子	ʂu miæ̃5 ʂuei tsɿ	粮食作物灌浆。
树苗子	ʂu5 miɔu tsɿ	树苗。
树梢子	ʂu5 sɔu2 tsɿ	树梢儿。
树条子	ʂu5 tʰɔu tsɿ	树木的枝条。也说“树股子”。
树股子	ʂu5 ku3 tsɿ	同“树条子”。
树柯杈	ʂu5 kʰy5 tsʰa	树干与分枝相结的地方。
树叶子打头	ʂu5 iε tsɿ ta3 tʰəu	常用来比喻害怕承担责任之人:把你就吓死着呢,真格~呢!
竖竖子	ʂu5 ʂu5 tsɿ	竖着:~立下算咧。
竖心旁	ʂu5 ɕiŋ pʰaŋ	汉字偏旁名称之一,如“惊、慌”的左偏旁。
入深	ʐu2 ʂəŋ	房屋的前后深度。这个房子的~有几丈?
入伏	ʐu2 fu	进入伏天:等~咧再说。
入殓	ʐu2 liæ̃5	将遗体装入棺材。
褥子	ʐu2 tsɿ	睡觉时垫在身体下面的东西,用布包裹棉花缝制而成,也有用兽皮制成的。
擩	ʐu	塞:~给咧两万块钱,就把事办咧。《广韵·遇韵》:“而遇切。手进物也。”②拄:他外爷~下个洋拐棍子。
乳牛	ʐu3 ȵiau	母牛。
谷子	ku2 tsɿ	粟,脱壳后叫小米。
谷草豆瓣	ku2 tsʰɔu3 tau5 pæ̃	指取过谷粒豆粒的谷草和豆蔓。
姑夫	ku fu	姑母的丈夫。
姑姑	ku ku	父亲的姐姐或妹妹。也说“娘儿”。
姑奶奶	ku2 nεi3 nεi	父亲的姑姑。
姑爷	ku2 iε	姑奶奶的丈夫。
姑舅	ku2 tɕiau5	表兄弟。
姑舅爸	ku2 tɕiau5 pa	父亲的表兄弟,即表叔。
姑舅婶婶	ku2 tɕiau5 ʂaŋ3 ʂaŋ	父亲表兄弟的配偶,即表婶。
姑表亲	ku2 piɔu3 tɕʰiŋ	姑表兄妹通婚。
轱轮子	ku2 luŋ tsɿ	轮子。
咕挼	ku2 ʐua	轻微地咀嚼:放着嘴里~一下算咧。
骨噜子客	ku2 lu tsɿ kʰei	赌徒:那是个~一个,谁敢相信!
骨都	ku2 tu	骨头、骨骼。
箍缸的	ku kaŋ ti	旧时以箍缸手艺谋生的人,现已很少见。
箍窑子	ku2 iɔu tsɿ	用土坯箍成的窑洞样的住所。
诂	ku3	用语言或行为驱使、强迫别人听自己的或做某事:牙大的一点娃娃,还~人呢。/他说不愿意,叫我给~咧一顿。
古	ku3	冷清、偏僻:这个地方~得狼嚎呢。
估	ku3	估计、猜测:你~羊肉这两天啥价?
咕噜雁	ku3 lu iæ̃5	大雁。
古尔邦节	ku3 εr paŋ tɕiε	伊斯兰教最重要的宗教节日,时间在教历十二月十日(每年麦加朝觐的最后一天)。古尔邦,来源于阿拉伯语。
故经	ku3 tɕiŋ	故事。碎时候大人给我讲得~多得很!
股子	ku3 tsɿ	整体里的一份:那么大的一~钱呢,说不要就不要咧?②量词,用于成条的东西:称咧这么一~蒜薹。③指半大的猪:喂成~咧,你看给咱们死咧么!
鼓劲	ku3 tɕiŋ5	用力、用劲儿:~拧给一下就开咧。
故衣	ku5 i	旧衣服:到买~的摊子上挑上一件衣裳。
顾缠	ku5 tʂʰæ̃	照顾:他连自己都~不住着呢,能顾上管你!
固定傀	ku5 tiŋ5 kʰuei	神情呆滞、木然,待着一动不动的样子:你看连个~一样,定定儿在那站着呢。
哭水	kʰu2 ʂuei3	人眼球中水状液体:竹签子戳着去把人的~给倒咧。
窟圈	kʰu2 tɕʰuæ̃	黄土高原上独特的地貌。地面之下受暴雨冲刷形
苦楚	kʰu3 tʂʰu	痛苦(多指生活上受折磨):你是不知道我的~。苦熇kʰu53tɕiɔu44艰辛,辛劳:那里的人日子~得很!
苦辛	kʰu3 ɕiŋ	辛苦:一天风吹日晒地把人~着。
苦水	kʰu3 ʂuei3	指人畜不能饮用的碱味很重味道发苦的水。
苦豆子	kʰu3 təu tsɿ	一年生草本植物,本地人把叶晒干后,碾成粉末,常用来作蒸花卷儿、烙饼的调味品。
苦瓜结着苦蔓上	kʰu3 kua tɕiε2 tʂɤ kʰu3 væ̃5 ʂaŋ	比喻人的命运多磨难。
苦核子	kʰu3 xu tsɿ	苦味的杏仁。
苦苦菜	kʰu3 kʰu tsʰεi5	苦苣菜。
苦生生的	kʰu3 səŋ səŋ ti	非常苦的味道。
裤腿子	kʰu5 tʰuei3 tsɿ	裤脚。
怦	xu2	用半焖半煮的方法弄熟食物:春上的羊羔子~上最好吃。
唬	xu2	迷糊、反应不过来:你一说还把人~住咧,半天反应不过来。
胡大	xu2 ta	伊斯兰教的真主,被认为是万物的创造者,人类命运的主宰者。
货郎子	xu2 laŋ tsɿ	走村串户的货郎。
忽鲁	xu2 lu3	松动:几个槽牙没有一个不~的。
囡囹	xu lu	整体,整块。
囡囹身子	xu lu ʂəŋ tsɿ	不脱衣服(睡觉):~睡下怕是不美气。
囡囹瓦块	xu luŋ va kʰuæ̃	形容食物形大难以入口或来不及嚼碎就咽入肚中。
胡	xu	副词,表示随意乱来。
糊饽	xu pɤ	一种面食。做时先将肉丁和蔬菜炒熟,加少许水,再将面饼切成条,翻炒即可食用。②放在表动作的词语后,比喻糟透了。这一下弄~咧。
胡麻	xu ma	食用亚麻。
胡麻油	xu ma iəu	胡麻籽榨的食用油。
胡子拉碴	xu tsɿ la tsʰa	形容满脸胡茬子,不加修饰的样子。
胡搪	xu tʰaŋ5	胡说:那满嘴~着呢,你信他的呢!
胡弄	xu nuŋ5	不负责任地做。也说“胡整”。
胡整	xu tʂəŋ3	同“胡弄”。
胡粘	xu ʐæ̃	东拉西扯地胡说:简直是~着呢,根本没有的事么!②死缠硬磨:你再不咧~咧,弄啥都没用!
胡吃海喝	xu tʂʰʅ xεi3 xuɤ	大吃大喝。
胡里麻搭	xu li ma3 ta	胡乱,不认真的。~写着上去就算完成咧。胡里颠懂xu24li21tiæ̃21tuŋ21糊里糊涂、懵懵懂懂。
胡吹冒料	xu tʂʰuei mɔu5 liɔu5	胡说,吹牛皮:那个人成天~地,我一点都不爱。
胡日鬼	xu ʐʅ kuei	不走正道,做的都是不正经的事:整天~着呢,日子能过好?②指不干正经事的人:那是个~,小心点。③瞎凑合:~一下算咧,又不是自己的事。
胡日鬼捣棒槌	xu ʐʅ kuei3 tɔu3 paŋ5 tʂʰuei	不干正经事。
胡	xu	表示动作、状态更强更深。你做下的饭~好吃呢!……(呢)
胡墼	xu tɕi	将湿土经杵子在模具中压制或用泥制成晒干后用于建筑的土坯。
胡墼疙瘩	xu tɕi kɤ ta	土块儿。
胡喊冒答应	xu xæ̃3 mɔu5 ta2 iŋ	胡乱应声,引申为跟着人没有原则地胡说。
胡打挛挛	xu ta3 luæ̃2 luæ̃	言语模棱两可、不确切:我一问,嘴里~着呢。
胡说不止	xu ʂuɤ pu2 tsɿ3	乱骂乱说,喋喋不休:你赶紧把你~的毛病改咧去。
胡子眉毛一把抓	xu tsɿ mi mɔu i2 pa3 tʂua	比喻不问事情的轻重缓急,全部同等对待。
糊涂囊浆子	xu tu naŋ3 tɕiaŋ5 tsɿ	非常糊涂的人。
核核	xu xu	核果中心的坚硬部分,里面有果仁:吃下的苹果~不咧到处乱撇咧。②类似果核的疙瘩:腮帮子上起来个~。
胡胡	xu xu	二胡、板胡等的通称:戏台上抅~的是个谁?
呼儿呼儿的	xu3 εr xu3 εr ti	(睡觉、喘气时的)气息声:把人给气得~。
古	xu5	(粥、米汤煮得)黏稠:把洋芋棒棒熬得~~的,再把面叶子下上。《广韵·模韵》:“户吴切。黏也。”
瓠子	xu5 tsɿ	一年生草本植物,茎蔓生,花白色,果实细长,圆筒形,表皮淡绿色,果肉白色,一般蔬菜。
糊弄	xu5 nuŋ	欺骗,蒙骗:小心不咧叫人~咧。
糊汤子	xu5 tʰaŋ tsɿ	面食、肉煮得过了头。也说“糊糊子”。糊糊子xu44xu44tsɿ21同“糊汤子”。
护裙子	xu5 tɕʰyŋ tsɿ	围裙。
驴脸	ly liæ̃3	骂人的话,常对拉着脸露出不愉快神色的人说:整天价~一拉,谁吃咧你们的咧。
驴驹子	ly tɕy tsɿ	驴驹。
驴娃子	ly va tsɿ	同“驴驹子”。
驴骡子	ly luɤ tsɿ	公马和母驴交配,生下的骡驹。
驴打滚	ly ta3 kuŋ3	高利贷。
捋	ly3	用手指顺着抹过去,使物体顺溜或干净,或手握条状物向一端滑动:把(揉皱的)纸~顺咧再写。/~上一把榆钱子。《说文·手部》:“~,取易也。”《广韵·末韵》:“郎括切。手~也,取也,摩也。”
捋抹	ly3 ma	清点或预估:等一下,叫我~一下看钱够吗?
律直	ly3 tʂʅ	端正好看:小伙子人长得~,做啥也做得好。
虑当	ly5 taŋ	考虑、准备:我~着去恰,你可来咧。
拘	tɕy2	两手用力将某物向中间挤压,致使物体内部的气体或液体使物品膨胀:差点让这个坏倯把我~得没气咧。
拘咧炮咧	tɕy2 liε pʰɔu5 liε	比喻对某事处理不妥当而惹人耻笑。你就这么弄事情着呢,简直是~!也说“拘得炮响呢”。
拘得炮响呢	tɕy2 ti pʰɔu5 ɕiaŋ3 ȵi	同“拘咧炮咧”。
车	tɕy2	中国象棋中的“车”,可在纵横直线上行走,灵活性最强。
橘子	tɕy2 tsɿ	属热带作物,主要种植于中国南方,色彩鲜艳,酸甜可口,是秋冬季常见的美味佳果。
橘子皮	tɕy2 tsɿ pʰi	也说陈皮,可入药,有健胃、止咳等作用。举心tɕy53ɕiŋ21想法,心意:你旦有这个~咧,我给你说去。
巨狸猫	tɕy5 li mɔu	外形像松鼠的一种哺乳类动物,生活在田间的土洞中。
锯末子	tɕy5 mɤ3 tsɿ	锯木头时掉下来的细末和碎渣。
屈	tɕʰy2	心胸狭小:那个人心~义短,打不成交道。《集韵·迄韵》:渠勿切。《博雅》:“短也。”
屈狭	tɕʰy2 tɕʰia3	(空间)狭小:房里~着就蹴不了几个人么。
曲蟮	tɕʰy2 ʂæ̃	蚯蚓。
取不利手	tɕʰy3 pu li5 ʂəu3	被事情纠缠而无法脱离:就这一点事差点~咧。
女子	ȵy3 tsɿ	女儿(对父母而言)。②女孩儿。由于“小姐”一词词义的缩小,在当地“女子”已成为女服务员的通称。
女子娃娃	ȵy3 tsɿ va va	女孩子:唱戏的几个~长得乖得很!
女方	ȵy3 faŋ	指新娘或新娘娘家人这一方:接亲的车等着呢,~咋么耍开麻达咧。
女娃娃家	ȵy3 va va tɕia	未成年女性的统称:~,毕竟不如儿子娃娃顶事。
女儿墙	ȵy3 εr tɕʰiaŋ	建造房屋时,房的前墙砌通房檐位置高出的部分。
戌	ɕy2	地支的第十一位。
讳	ɕy5	隐瞒:高考报名的时候他把年龄给~咧。
续牙	ɕy5 ia	换牙。娃娃也到咧~的年龄咧。
吁	y2	吆喝牲口的声音。
熨帖	y tʰiε	事情得到妥善处理(多用于否定)。给咧200块钱还不得~。
鱼池	y tʰaŋ	鱼塘。
鱼泡	y pʰɔu5	鱼鳔,鱼腹内白色的囊状器官。
鱼鳞	y liŋ	鱼类身体表面具有保护作用的薄片状组织。
鱼鳞坑	y liŋ kʰəŋ2	为蓄水或种树而在山坡上挖的坑,交错排列像鱼鳞。
鱼口	y kʰəu	中医指软性下疳等病引起的腹股沟淋巴结炎,化脓后局部形成溃疡,疮口像鱼的嘴,所以叫鱼口。
鱼儿穿沙	y εr tʂʰuæ̃2 sa	将饺子、面叶、小米煮在一起吃的食物。也说“金鱼摆沙”。
榆钱子	y tɕʰiæ̃ tsɿ	榆钱。
苇子	y3 tsɿ	收割后变干黄的芦苇秆儿。
雨点点	y3 tiæ̃3 tiæ̃	雨点儿。
雨住咧	y3 tʂu5 liε	雨停了。
雨字头	y3 tsɿ tʰəu	汉字偏旁名称之一,如“雪、雷”等字的上部。玉麦y44mei21玉米。
玉麦棒子	y5 mei paŋ5 tsɿ	玉米棒儿。
玉麦缨子	y5 mei iŋ2 tsɿ	玉米穗。
玉麦塞塞	y5 mei sei sei	玉米脱粒后留下的秸。
玉麦秆秆	y5 mei kæ̃3 kæ̃	玉米秆儿。
慰问	y5 vəŋ5	慰问。
八	pa2	数字。
八匹马	pa2 pʰi3 ma3	猜拳时数“八”。也说“八个鸟”。
八成儿	pa2 tʂʰəŋ εr	差不多:这么迟咧,你哥~是不来咧。②形容某人智商不高、不明事理:你连个~人么有啥争讲的呢!
八辈子	pa2 pei5 tsɿ	几辈子,从来。常用做讥讽某人没见过或没经过某事:一下子穷倯着,~没吃过。
八字步	pa2 tsɿ pu5	方步,一种斯文的大而慢的步子:你看乜家的那个架势,~一迈,稳得很。
八月十五	pa2 yɤ ʂʅ vu3	农历八月十五,中秋节。
八字没见一撇	pa2 tsɿ5 mɤ2 tɕiæ̃5 i2 pʰiε	比喻事情还没有什么眉目。
八百不上串	pa2 pei pu2 ʂaŋ5 tʂʰuæ̃5	一串钱为一千,八百不足要硬凑,比喻没有关系硬拉关系:日子刚过得好咧,~的都寻着来咧。
巴不得	pa pu tei	迫切盼望:~有人把这个活接过去,好让我清省一下。
把稳	pa2 vəŋ3	稳当,保险:你早早弄~,不咧到时候再有啥麻达。
把猫儿叫咧个咪咪	pa2 mɔu εr tɕʰiɔu5 liε kɤ mi5 mi	相当于换汤不换药。
疤疤	pa pa	小的疤痕:碎时候从炕上栽下来给额颅上留下咧一个~。
发	pa	用冷水解冻:把冻柿子放在凉水盆里,~一阵子就消咧。《广韵·月韵》:“方伐切。寒冰。”
拔筋	pa tɕiŋ	习武或学习舞蹈的人尽力舒展筋骨,使柔软。
拔橛	pa tɕyɤ	连根拔出,喻指干脆、彻底地解决:刚才还连下一点系系子,这一下让你~咧。
拔咧簧咧	pa liε xuaŋ liε	出众、拔尖儿:乜家娃娃考上北大咧,真个~。②用尽所有的(常用在把字句中,说成“把……簧拔咧”):这一回买房,把王老二的~。
拔硬腰子	pa ȵiŋ5 iɔu tsɿ	游戏。两人弯腰相互抱住对方腰,用力向上提起,提起对方者获胜。
把作	pa3 tsuɤ	别扭、拘束:陪领导吃饭我不去,我还嫌~得很。把式pa53ʂʅ21精于某种技术的人。
把戏	pa3 ɕi	魔术、杂技:街上有人耍~呢。②花招:蒙蔽人的手法。他那点~谁都知道呢。
把把子	pa3 pa tsɿ	量词,一小捆:水萝卜贵得很,一块钱才两~。②一伙,常说成“把子”:乜家是一~的,关系好得很。
罢	pa5	完了,完毕:吃~中午饭,你跟我走。
罢咧	pa5 liε	结束、完毕:等他来噻,戏早演~。②过了这会儿:你把这些菜~拿着回去。③不怎么样:这个人~的。④还算可以:话这么说还~的。
把子	pa5 tsɿ	指男性生殖器。
把把	pa5 pa	器具的把儿。
把提子	pa5 tʰi tsɿ	舀油、酒、醋、酱油等的器具。圆筒状,连着长把,常按所舀液体的斤两制成大小不等的一套。
坝沿上	pa5 iæ̃5 ʂaŋ	水库的拦水坝体之上。
帊	pʰa	纺织品质地不好、不结实:这些布~得很,做啥衣裳都不好。②松散,懈怠:他让老婆给整~咧。
帕帕子	pʰa2 pʰa tsɿ	手绢儿:吃筵席总得带个~么。
爬沟溜渠	pʰa kəu liəu5 tɕʰy	比喻投机钻营,善于奉承。
怕	pʰa	害怕。②恐怕、大概,也说“怕是”:咳嗽着~感冒咧,赶紧吃些药。
怕是	pʰa5 sɿ	同“怕②”
妈	ma2	对母亲的称呼,固原话常单用。
妈妈	ma ma	对年青女性的泛称(含贬义):看她这个~唦,猴死着呢!
抹	ma	擦:拿搌布把桌子上的水~一下。②摘,取:房里热,把帽子~咧。喻指某人丢掉官职:老王不但犯咧错误,连官都让人家给~咧。③用手按着向上或向下移动:~胳膊,缏袖子,拾掇你个二流子。
抹布	ma2 pu5	擦器物用的布块。也说“搌布”。
抹花花子	ma2 xua xua tsɿ	同“折拐子”。
麻卡	ma2 kʰa3	指人在道德品质方面很差劲:这个人~得很。
麻眼	ma2 ȵiæ̃	坏,糟糕:这一下把事情给弄~咧。②与“麻卡”意相近:那是个~人。
蚂蚁上树	ma2 i3 ʂaŋ5 ʂu5	菜肴的名称。将肉切成丁儿与粉条炒在一起。
麻眯儿	ma mi5 εr	对什么都无所知晓的人,也说“麻糊糊”:那是个~么,你靠那着呢。
麻叶	ma ȵiε	亚麻:水暖工做活,~是一定要有的。
麻子	ma tsɿ	大麻的种子,可榨油。②人出天花后留下的疤痕。麻腐ma24fu21麻籽磨成粉状,供食用。
麻腐冰	ma fu piŋ	半冰半水的薄冰。
麻筋	ma tɕiŋ	人体从脊神经的臂丛分向左右上肢的神经。它通过肘关节,敲击此部位,上肢常有麻木的感觉。
麻达	ma ta	麻烦、乱子:你把~闯下咧,让我咋收拾呢。②指人在待人接物方面心眼儿多,不好相处:那个人弄啥去~得很。
麻缠	ma tʂʰæ̃	麻烦:到底要做啥呢,咋这么~。②不好交往:那个人~得很,小心着。
麻钱子	ma tɕʰæ̃ tsɿ	圆形方孔铜钱:听说冯家庄有人挖咧一罐~。
麻食子	ma ʂʅ tsɿ	一种面食。把和好的面搓成指头粗细的长条,然后用刀切成指头肚大小的面疙瘩,用手指再搓成形状像猫耳朵一样的面卷即可下锅。也说“猫耳朵”。
麻糊糊	ma xu5 xu	同“麻眯儿”。
麻麻亮	ma ma liaŋ5	黎明。
麻乎乎	ma xu xu	光线较暗。
麻黑子	ma xei tsɿ	指天快黑或刚黑。
麻眼子	ma ȵiæ̃ tsɿ	瞎子或视力非常弱的人。
麻豆子	ma təu5 tsɿ	豆类的一种,圆形褐色。
麻驴儿	ma ly εr	钱的俗称。
麻肃	ma su	严肃:一脸的~,没人敢惹。
麻酥酥	ma su su	发麻的感觉:心里~的,就连蚂蚁爬着呢一样。马爬扑ma53pʰa24pʰu21形容人像马失前蹄一样摔倒在地上。
马牙	ma3 ia	婴儿生的口疮:娃娃嘴里有咧~咧,半夜里哼呲着闹活人呢。
马勺	ma3 ʂuɤ	较大的铁制勺子,可用来舀水等。
马莲	ma3 liæ̃	马兰草。多年生草本植物,根茎粗,叶子条形,花
马尿尿	ma3 ȵiɔu5 ȵiɔu	带贬义意味,原本专指啤酒,现在是对酒的统称。
马大哈	ma3 ta5 xa3	粗心大意之人。
马黄蜂	ma3 xuaŋ fəŋ	蜂的一个种类。
马驹子	ma3 tɕy tsɿ	马驹。
马骡子	ma3 luɤ tsɿ	公驴和母马交配生下的骡驹。
码	ma3	垒。也说“摞”。
码头	ma3 tʰəu	房屋侧墙超出前墙的墙体,用来支撑屋檐,为了美观常多加装饰,如在上面附上砖雕等。
骂仗	ma5 tʂaŋ5	吵架。
发时	fa2 sɿ	指买卖首次得利,变得越来越有钱:这几年老黄越来越~咧。
发热	fa2 ʐɤ	发烧。
发潮	fa2 tʂʰɔu	恶心。
发歪	fa vεi	发脾气:明明是你错咧,你还给谁~着呢!②鼓足干劲:小伙子这一下看去是~咧。
发呓争	fa2 i5 tsəŋ	说梦话。
法办	fa2 pæ̃5	法院判刑:这事弄不好要~好几个人呢!
法场	fa2 tʂʰaŋ3	旧时执行死刑的刑场。也说“杀场”。
乏	fa	累、疲倦:这几天把人~日塌咧。
乏塌塌	fa tʰa tʰa	形容困乏的样子:也说“乏不塌塌”:娃娃看上去~的,没一点精神么。
阀码	fa ma	厉害:这是个~人,不咧小看!
搲	va2	用手或爪子撕抓:心里就像有个猫~着呢,难受得很。《广韵·祃韵》:“乌吴切。吴人云,牵亦为~也。”
搲抓	va2 tʂua3	也说“抓搲”。①用手或爪子弄:老实些,手不咧胡~!②比喻着手做某事:学咧个吉他怕是要天天~着呢!
挖苦	va2 kʰu	痛苦、磨难:你可是不知道前些年的那些人的~。②用语言刁难、贬损某人:见面就是个~人,再不知道干啥!
挖坑	va2 kʰəŋ	纸牌游戏。也叫“打红四”。
娃娃	va va	小孩。
娃娃家	va va tɕia	小孩子。常用于单指,不能用于复指:~不懂事,你就原谅他算咧。
