#詞語	音標	解釋
做脉	tso7 me7	号脉
开单子	kʰai1 tan1 tsɿ0	开药方子
抹药	mɒ1 Ǿio7	抓中药
粉子药	fən3 tsɿ1 Ǿio7	粉状的药物
泄火	ɕie5 xo3	
拔火罐儿	pɒ7 xo3 kuɚ5	
发烧	fɒ7 ʂau1	
发冷	fɒ7 lən3	
伤风	ʂaŋ1 foŋ1	
气管炎	tɕʰi5 kuan3 Ǿian2	
中暑	tʂoŋ5 fʯ3	
上火	ʂaŋ6 xo3	
作恶心	tso7 ŋo7 ɕin1	
肝炎	kan1 Ǿian2	
肺炎	fei5 Ǿian2	
胃病	Ǿuei6 pin6	
昏	fən1	
头痛	tʰou2 tʰoŋ5	
泻肚子	ɕie5 tou3 tsɿ0	
咳	kɒ3	咳嗽
头昏	tʰou1 fən1	头晕
出血	tɕʰʯ7 ɕie7	
瘀血	Ǿʯ1 ɕie7	
疤	pɒ1	
长疮	tʂaŋ3 tsʰaŋ1	
癣	ɕian3	
痱子	fei5 tsɿ0	
粉刺	fən3 tsɿ5	
狐臭	fu2 tʂʰou5	
口臭	kʰou3 tʂʰou5	
近视眼儿	tɕin6 ʂʅ6 Ǿiɚ3	
远视眼儿	Ǿʯan3 ʂʅ6 Ǿiɚ3	
斗鸡眼儿	tou5 tɕi1 Ǿiɚ3	
嘴娄?了	tɕi3 lou2 lo0	嘴巴溃疡
筑脓	tʂou7 loŋ2	溃脓
结壳儿	tɕie7 kʰɚ7	结痂
匏颈子	pʰau2 tɕin1 tsɿ0	一种病症,俗称“大脖子病”
弄鼻子	loŋ5 pi6 tsɿ0	齉鼻子
翻生	fan1 sən1	离经叛道,小孩哭闹
糙巴拉?刻?	tsau5 pɒ0 lɒ6 ke5	不光滑
杵头杵脑	tʂʰʯ3 tʰou1 tʂʰʯ3 lau3	呆头呆脑
抠?	kʰo7	聪明
苕	ʂau2	不聪明
黑	xe7	蠢笨
裹?糊	ko3 fu2	糊涂
裹?筋子	ko3 tɕin1 tsɿ0	糊涂蛋
纳?横	lɒ7 fən2	蛮横不讲理,野蛮固执
纳?蛮	lɒ7 man2	形容一个人非要做超出自身能力之外的某件事,不能量力而行
结根?	tɕie7 kən1	胡搅蛮缠
黑糊	xe7 fu2	很多
祲人	tɕin1 ʐən1	刺骨(凉水刺骨)
晏	ŋan5	
酽	ȵian6	稠
惹瓜	Ǿʯe6 kuɒ1	邋遢
硬肘	ŋən6 tʂou6	
净?舞?的	tɕin5 Ǿu1 ti1	故意
贴?门?的	tʰie6 mɚ1 ti1	故意
背时	pi6 ʂʅ2	倒霉
搞邪了	kau3 ɕie2 lo0	
六?瓦?	lou7 Ǿuɒ5	缺德
横?池?	xən2 tʂʰʅ1	能干
店?肉?	tian5 ʐou7	矫揉造作
嚇人	xe7 ʐən2	可怕
好心着儿	xau3 ɕin1 tʂɚ0	注意点/小心点
过细着儿	ko5 ɕi5 tʂɚ0	注意点/小心点
迷?门?儿	mi7 mɚ1	经常
岔了	tʂʰɒ3 lo0	坏了
闲生?	ɕian2 sən1	很闲,没事做
以为倒	Ǿi3 Ǿuei1 to0	认为,以为
做客	tso5 kʰe7	
头昂尾巴翘	tʰou2 ŋaŋ6 Ǿuei3 pɒ1 tɕʰiau5	得意忘形的样子
一个相貌儿	Ǿi7 ko5 ɕiaŋ5 mɚ1	一模一样
不成名堂	pu7 tʂʰən2 min2 tʰaŋ1	不像样子、不成体统
不清不楚	pu7 tɕʰin1 pu7 tʂʰou3	
不要脸	pu7 Ǿiau5 lian3	
有味	Ǿiou3 Ǿuei6	有意思
死苕	sɿ3 ʂau2	非常蠢笨,不聪明
死心塌地	sɿ3 ɕin1 tʰɒ7 ti6	
歪心思	Ǿuai1 ɕin1 sɿ1	坏主意,坏心思
爽趟	ʂuaŋ3 tʰaŋ5	直爽利落
出奇	tɕʰʯ7 tɕʰi2	奇怪
怪气	kuai5 tɕʰi5	古怪,一般形容人
冇大冇小	mau6 tɒ6 mau6 ɕiau3	
冇家教	mau6 tɕiɒ1 tɕiau5	没有家教,没有教育好
讨人嫌	tʰau3 ʐən2 ɕian2	不得人喜欢
记仇	tɕi5 tsʰou2	
说话胀人	fe7 fɒ6 tʂaŋ5 ʐən2	说话气人
说混话	fe7 fən2 fɒ6	病人呓语
说苕话	fe7 ʂau2 fɒ2	说蠢话
说不拢	fe7 pu7 loŋ3	意见有分歧,谈不拢
说别了	fe7 pie6 lo0	说变了
引细伢	Ǿin3 ɕi5 ŋar2	带小孩
引路	Ǿin3 lou6	带路
尽了孝	tɕin5 lo0 ɕiau5	子女对父母尽了义务
省	sən3	节省
守寡	ʂou3 kuɒ3	
守岁	ʂou3 ɕi5	
害喜	xai6 ɕi3	
害人	xai6 ʐən2	干坏事
巴结人	pɒ1 tɕie7 ʐən2	会拉关系
好吃	xau3 tɕʰi7	嘴馋
好怄	xau3 ŋou5	很气愤
好狠	xau3 xən3	很厉害
好刁	xau3 tiau1	很狡猾
沥饭	li7 fan6	将煮熟的米从米汤中捞起来
汽	tɕʰi5	蒸
汽粑	tɕʰi5 pɒ1	蒸包子、馒头
泼水	pʰo7 fʯ3	
热饭	Ǿʯe7 fan6	加热饭
热菜	Ǿʯe7 tsʰai5	加热菜
过身	ko5 ʂən1	过路
过客	ko5 kʰe7	请客
作	tso7	用泥土拦住水
钓鱼	tiau5 Ǿʯ2	
打鱼	tɒ3 Ǿʯ2	
抠痒	kʰou1 Ǿiaŋ3	抓痒
抓周	tʂuɒ1 tʂou1	小孩满一岁的那天,在桌子上摆满吃的、玩的、学习的、用的等东西,让小孩子任意抓,以预测孩子成人后成为什么样的职业
扯淡	tsʰe3 tan6	胡说一些没有意义的话
扯猪菜	tsʰe3 tʂʯ1 tsʰai5	打猪草
找路子	tʂau3 lou6 tsɿ0	找关系、找方法
抢谷	tɕʰiaŋ3 ku7	在晒谷遇到下雨时,赶着时间收谷子,将谷子转移到安全的地方
惹事	Ǿʯe3 sɿ6	引起麻烦或祸端
抬扛	tʰai2 kaŋ5	争论,争吵
捞沟	lau1 kou1	开田沟
拣好	tɕian3 xau3	收拾好,放好
摊开	tʰan1 kʰai1	
得人爱	te7 ʐən2 ŋai5	招人喜欢
稀罕	ɕi1 xan1	羡慕
情愿	tɕʰin2 Ǿʯan6	
懂理	toŋ3 li3	明事理,懂事
跺脚	to5 tɕio7	
嫁接	tɕiɒ5 tɕie	
肿眼泡	tʂoŋ3 ŋan3 pʰau1	
抽风	tʂʰou1 foŋ1	
中风	tʂoŋ5 foŋ1	
聋子	loŋ1 tsɿ0	
哑巴	ŋɒ3 pɒ1	
夹舌头儿	kɒ7 ʂe6 tʰɚ1	口吃、结巴的人
瞎子	xɒ7 tsɿ0	
傻子	ʂɒ3 tsɿ0	
麻子	mɒ2 tsɿ0	
左撇子	tsou3 pʰie7 tsɿ0	
瘫了	tʰan1 lo0	瘫痪
跛子	po3 tsɿ0	瘸子
拽手儿	tʂʯai3 ʂɚ3	拽子(手残者)
手筑了	ʂou3 tʂou7 lo0	手扭了
不好	pu7 xau3	病了
穿戴	tɕʰʯan1 tai5	
打扮	tɒ3 pan5	
中装	tʂoŋ1 tʂaŋ1	
西装	ɕi1 tsaŋ1	
马褂儿	mɒ3 kuar5	
棉衣	mian2 Ǿi1	
皮袄	pʰi2 ŋau3	
大衣	tɒ6 Ǿi1	
短大衣	tan3 tɒ6 Ǿi1	
衬衫	tsʰən5 san1	
外衣	Ǿuai6 Ǿi1	
内衣	li6 Ǿi1	
领子	lin3 tsɿ1	
披肩儿	pʰi1 tɕiɚ1	坎肩
下摆	ɕiɒ6 pai3	
袖子	ɕiou6 tsɿ0	
裙子	tɕʰʯən2 tsɿ0	
裤子	kʰu5 tsɿ0	
开裆裤	kʰai1 taŋ1 kʰu5	
裤裆	kʰu5 taŋ1	
衣裳	Ǿi1 ʂaŋ1	
袄子	ŋau3 tsɿ0	棉袄
汗衫儿	xan2 ʂɚ1	汗背心
寸儿袖子	tsʰɚ5 ɕiou2 tsɿ0	短袖
寸儿裤	tsʰɚ5 kʰu5	短裤
裤头儿	kʰu5 tʰɚ0	裤衩儿
裤脚儿	kʰu5 tɕiɚ7	裤腿儿
荷包儿	xo2 pʰɚ0	兜儿(衣服上的口袋)
扣儿	kʰɚ5	纽扣(中式的)
鞋	xai2	
皮鞋	pʰi2 xai2	
布鞋	pu5 xai2	
鞋底儿	xai2 tiɚ3	
袜子	Ǿuɒ7 tsɿ0	
丝袜	sɿ1 Ǿuɒ7	
长袜	tsʰaŋ2 Ǿuɒ7	
短袜	tan3 Ǿuɒ7	
帽子	mau6 tsɿ1	
皮帽	pʰi2 mau6	
军帽	tɕʯən1 mau	
油馃子	Ǿiou2 ko1 tsɿ0	油条
馅	xan2	(饺子)馅儿
肉皮	ʐou7 pʰi2	
牛舌头	ȵioŋ2 ʂe6 tʰɚ1	
猪心	tʂʯ1 ɕin1	
猪肺	tʂʯ1 fei5	
猪腰子	tʂʯ1 Ǿiau1 tsɿ1	
排骨	pʰai2 ku7	
猪肝	tʂʯ1 kan1	
鸡血	tɕi1 ɕie7	
炒鸡蛋	tsʰau3 tɕi1 tan2	
皮蛋	pʰi2 tan6	
残?蛋	tsʰan2 tan6	咸鸡蛋
膀	pʰaŋ3	肘子
蹄花	tʰi7 fɒ1	猪蹄儿
脚筋	tɕio7 tɕin1	蹄筋
猪赚头儿	tʂʯ1 tʂʯan6 tʰɚ0	猪舌头
猪肠儿	tʂʯ1 tʂʰar1	
猪晃?子	tʂʯ1 faŋ6 tsɿ0	猪血
荷包儿蛋	xo2 pɚ0 tan6	水煮的鸡蛋,不带壳
涩?鸡蛋	se7 tɕi1 tan6	连壳煮的鸡蛋
炸鸡蛋	tʂɒ1 tɕi1 tan6	
蒸蛋	tʂən1 tan6	蛋羹(加水调匀蒸的)
菜	tsʰai5	
素菜	sou5 tsʰai5	
荤菜	fən1 tsʰai5	
藕粉	ŋou3 fən3	
银耳	Ǿin2 Ǿɚ3	
金针菇	tɕin1 tʂən1 ku1	
海带	xai3 tai5	
豆腐	tou6 fu1	
豆腐皮	tou6 fu1 pʰi2	
豆腐脑儿	tou6 fu1 lɚ3	
豆浆	tou6 tɕiaŋ1	
豆腐干子	tou2 fu1 kan1 tsɿ0	
臭豆腐	tʂʰou5 tou2 fu1	豆腐乳
千张	tɕʰian1 tʂaŋ1	豆腐压制称成的豆腐干子
线粉	ɕian5 fən1	粉丝
耳子	Ǿɚ3 tsɿ0	木耳
肉糕	ʐou7 kau1	一种食物,用面粉、
观音豆腐	kuan1 Ǿin1 tou2 fu1	一种食物,用某种特定的植物叶子做成的豆腐,呈绿色,口感类似果冻
鱼丸子	Ǿʯ2 Ǿʯan2 tsɿ0	鱼丸
芋头	Ǿʯ6 tʰou1	红薯
芋头杆儿	Ǿʯ6 tʰou1 kɚ3	红薯杆
春苗儿	tʂʰʯən1 miɚ1	香椿
盐菜	Ǿian2 tsʰai5	咸菜
浸菜	tɕin5 tsʰai5	咸菜
浸大椒	tɕin5 tɒ6 tɕio1	腌辣椒
花生油	fɒ1 sən1 Ǿiou2	
盐	Ǿian2	
酱油	tɕiaŋ5 Ǿiou2	
味精	Ǿuei6 tɕin	
绝湿	tɕʰie7 ʂʅ7	湿透了
光溜了的	kuaŋ1 liou5 lo0 ti1	光溜溜的
假门儿	tɕiɒ3 mɚ1	假装
喜不过	ɕi3 pu7 ko5	很开心
气不过	tɕʰi5 pu7 ko5	很生气
有出息	Ǿiou3 tɕʰʯ7 ɕi1	
奤	tʰai3	指说话有外地口音
差劲	tʂʰɒ1 tɕin5	不成器
跳散?	tʰiau5 san1	敏捷,迅速
细索?	ɕi5 so7	吝啬,小气
好傲	xau3 ŋau5	傲慢;有本事,有能力
嫩漾?了	lən6 Ǿiaŋ5 lo0	指非常嫩的样子
黑汗雨流	xe xan6 Ǿʯ3 liou2	形容汗流浃背的样子
光	kuaŋ5	净
也兴	Ǿie3 ɕin1	也许
兴是的	Ǿin1 ʂʅ6 ti0	也许是的
背后	pi5 xou6	背地(背地说坏话)
根本	kən6 pən3	压根儿
莫	mo7	不要
几	tɕi3	多么;多少
几多	tɕi3 to1	程度副词;疑问代词;这么
几好	tɕi3 xau3	多好
几苕	tɕi3 ʂau2	多么愚蠢
几多话	tɕi3 to1 fɒ6	多话,啰嗦
先头	ɕian1 tʰou1	先前,刚才
不管么样	pu7 kuan3 mo3 Ǿiaŋ6	不管怎样
了了	liau3 liau3	完了,糟了
险些	ɕian3 ɕie1	差点儿
动不动	toŋ6 pu7 toŋ6	经常,时常
咪门?儿	mi7 mɚ2	经常,时常
人证	ʐən2 tʂən5	
物证	Ǿu7 tʂən5	
对质	ti5 tsʅ7	
刑事	ɕin2 sɿ6	
民事	min2 sɿ6	
犯罪	fan6 tɕi6	
罚款	fɒ2 kʰuan3	
坐牢	tsou6 lau2	
探监	tʰan5 tɕian1	
告示	kau5 sɿ6	
通知	tʰoŋ1 tsɿ1	
命令	min6 lin6	
交代	tɕiau1 tai6	
上任	ʂaŋ6 ʐən6	
讼棍儿	soŋ5 kuɚ5	律师
服周?	fu6 tsou1	服气
应酬	Ǿin5 tʂʰou1	
来往	lai2 Ǿuaŋ3	
请客	tɕʰin3 kʰe7	
男客	lan2 kʰe7	
女客	ɳʯ3 kʰe7	
送礼	soŋ5 li3	
人情	ʐən2 tɕʰin2	
礼物	li3 Ǿu1	
做客	tsou5 kʰe7	
摆酒席	pai3 tɕiou3 ɕi6	
入席	Ǿʯ7 ɕi6	
上菜	ʂaŋ6 tsʰai5	
劝酒	tsʰʯan5 tɕiou3	
冤枉	Ǿʯan1 Ǿuaŋ1	
插嘴	tsʰɒ7 tɕi3	
摆架子	pai3 tɕiɒ5 tsɿ0	
出洋相	tɕʯ7 Ǿiaŋ2 ɕiaŋ5	
巴结	pɒ1 tɕie7	
串门儿	tsʰʯan5 mɚ2	
看得起	kʰan5 te7 tɕʰi3	
看不起	kʰan5 pu7 tɕʰi3	
合伙	xo7 xo3	
答应	tɒ7 Ǿin5	
不答应	pu7 tɒ7 Ǿin5	
撵出去	ȵian3 tɕʰʯ7 tɕi5	
干杯	kan1 pei1	
冇得事	mau6 te7 sɿ6	没事,没关系
冇如?底	mau6 Ǿʯ2 ti3	没事,没关系
招乎	tʂau1 fu0	招待
不人?底?	pu7 ʐən2 ti3	没关系
招乎好	tʂau1 fu0 xau3	招待好
莫送了	mo7 soŋ5 lo0	不送了
不消送了	pu7 ɕiau1 soŋ5 lo0	不送了
倒酒	tau5 tɕiou3	
不调	pu7 tʰiau2	人与人之间的关系不和谐
丢丑	tiou1 tʂʰou3	丢人
客气话	kʰe7 tɕʰi5 fɒ6	客套话
客	kʰe7	
强头	tɕʰiaŋ2 tʰou1	
二倒婚	Ǿɚ6 tau5 fən1	
贩子	fan5 tsɿ0	专门拐带小孩的人贩子
工作	koŋ1 tso7	
工人	koŋ1 ʐən1	
雇工	ku5 ʐən2	
老板	lau3 pan3	
老板娘	lau3 pan3 ȵiaŋ2	
学徒	ɕio6 tʰou1	
顾客	ku5 kʰe7	
摊贩	tʰan1 fan5	
学生	ɕio6 sən1	
同学	tʰoŋ2 ɕio6	
朋友	pʰoŋ2 Ǿiou3	
兵	pin1	
警察	tɕin3 tsʰɒ7	
医生	Ǿi1 sən1	
手艺人	ʂou3 Ǿi5 ʐən1	
瓦匠	Ǿuɒ tɕiaŋ5	
铜匠	tʰoŋ2 tɕiaŋ5	
铁匠	tʰie7 tɕiaŋ5	
轿夫	tɕiau6 fu1	
接生婆	tɕie7 sən1 pʰo2	
和尚	xo2 ʂaŋ1	
尼姑	ȵi2 ku1	
道士	tau6 sɿ1	
大师傅	tɒ6 sɿ1 fu0	厨师
种田的	tʂoŋ5 tʰian2 ti1	农民
做生意的	tsou5 sən1 Ǿi5 ti1	做买卖的生意人
博士	po7 sɿ6	木匠
杀猪的	sɒ7 tʂʯ1 ti1	屠夫
搬运工	pan1 Ǿʯən2 koŋ1	脚夫
挑扁担的	tʰiau1 pian3 tan5 ti1	挑夫,做苦力的
开车的	kʰai1 tsʰe1 ti1	司机
小工	ɕiau3 koŋ1	帮忙打下手的人
奤子	tʰai3 tsɿ	说话有外地口音的外地人
继父	tɕi6 fu6	
伯伯	pe7 pe5	
后生娘	xou6 sən1 ȵiaŋ2	
伯伯	pe pe5	
叔叔	ʂou7 ʂou5	
姑姑	ku1 ku5	
姑爷	ku1 Ǿie1	
公	koŋ1	
婆	pʰo2	
曾爹	tsən1 tie1	曾祖父
曾奶	tsən1 lai1	曾祖母
爹爹	tie1 tie5	
奶奶	lai1 lai5	
嘎嘎	ka1 ka5	外公
噶婆	kɒ1 pʰo0	外婆
爸爸	pɒ1 pɒ5	
妈妈	mɒ1 mɒ	
土地庙	tʰou3 ti6 miau6	
上供	ʂaŋ6 koŋ5	
香炉	ɕiaŋ1 lou7	
烧香	ʂau1 ɕiaŋ1	
求签	tɕʰiou2 tɕʰian1	
打卦	tɒ6 kuɒ5	
念经	ȵian6 tɕin	
看风水	kʰan5 foŋ1 fʯ3	
算命	san5 min6	
算命先生	san5 min6 ɕian1 sən1	
看相的	kʰan5 ɕiaŋ5 ti1	
许愿	ɕi3 Ǿʯan6	
还愿	fan2 Ǿʯan6	
阎王爷	Ǿian2 Ǿuaŋ1 Ǿie6	
上庙	ʂaŋ6 miau6	
唱道士戏	tsʰaŋ5 tau6 sɿ0 ɕi5	做法事
传?庙儿	tʂʯan6 miɚ6	庙堂
竖筷子	fʯ6 kʰuai5 tsɿ0	一种迷信。将筷子沾水后,一边询问鬼神是何种原因导致生病,一边将筷子立在桌子上,如果立起来不倒则说明询问的原因是正确的,可以对着对症下药
叫黑	tɕiau5 xe7	一种迷信。将大米、小米、绿豆、红豆等豆类混合撒在路边,同时呼唤生病之人的魂魄归来,以此种方式来期盼生病的人能够痊愈
送亮	soŋ5 liaŋ6	正月十五给祖坟点蜡烛、油灯,烧纸钱
脱鞋	tʰo7 xai2	
纳鞋底	lɒ7 xai6 ti3	
绣花	ɕiou5 fɒ1	
做被窝	tsou5 pi6 Ǿu1	
清衣裳	tɕʰin5 Ǿi1 ʂaŋ1	用清水漂洗
做衣服	tsou5 Ǿi1 ʂaŋ1	
穿衣服	tɕʰʯan1 Ǿi1 ʂaŋ1	
脱衣裳	tʰo7 Ǿi1 ʂaŋ1	
晒衣裳	sai5 Ǿi1 ʂaŋ1	
晾衣裳	liaŋ6 Ǿi1 ʂaŋ1	
烫衣裳	tʰaŋ5 Ǿi1 ʂaŋ1	熨衣服
钉扣儿	tin5 kʰɚ5	钉扣子
打补巴	tɒ3 pu3 pɒ0	打补丁
淘米	tʰau2 mi3	
发面	fɒ mian6	
和面	xo2 mian6	
揉面	ʐou2 mian6	
搛菜	kʰan2 tsʰai5	
择菜	tsʰe6 tsʰai5	
做汤	tsou5 tʰaŋ1	
盛饭	ʂən2 fan6	
嚼不动	tɕiau6 pu7 toŋ6	
喝酒	xo7 tɕiou3	
喝茶	xo7 tsʰɒ2	
饿了	ŋo6 lo1	
嘴冇味儿	tɕi3 mau6 Ǿuɚ6	
蒸粑	tsən1 pɒ1	
擀面	kan3 mian	
汽车	tɕʰi5 tʂʰe1	
货车	xo5 tʂʰe1	
自行车	tsɿ6 ɕin1 tʂʰe1	
船	tɕʰʯan2	
公交	koŋ1 tɕiau1	
细轿车	ɕi5 tɕiau6 tʂʰe1	小轿车
学校	ɕio6 ɕiau6	
幼儿园	Ǿiou5 Ǿɚ1 Ǿʯan2	
学费	ɕio6 fei5	
放假	faŋ5 tɕiɒ3	
暑假	fʯ3 tɕiɒ3	
寒假	xan2 tɕiɒ3	
请假	tɕʰin3 tɕiɒ3	
上学	ʂaŋ6 ɕio6	上学(开始上小学)
到学去	tau5 ɕio6 tɕi5	上学(去学校上课)
散学	san5 ɕio6	放学(上完课回家)
斥学	tʂʰʅ5 ɕio6	逃学
零鸡蛋	lin1 tɕi1 tan6	零分
教室	tɕiau5 ʂʅ7	
上课	ʂaŋ6 kʰo5	
下课	ɕiɒ6 kʰo5	
讲台	tɕiaŋ3 tʰai2	
黑板	xe7 pan3	
粉笔	fən3 pi7	
点名册	tian3 min2 tsʰe7	
笔记本	pi7 tɕi5 pən3	
课本	kʰo5 pən3	
三角板	san1 ko7 pan3	
作文本	tso7 Ǿuən2 pən3	
大字本	tɒ6 tsɿ6 pən3	
钢笔	kan1 pi7	
毛笔	mau2 pi7	
笔帽	pi7 mau6	
笔筒	pi7 tʰoŋ3	
掭笔	tʰian5 pi7	
书包	fʯ1 pau1	
黑板擦	xe7 pan3 tsʰɒ7	
抹米头儿	mo3 mi1 tɚ0	橡皮
颜笔	Ǿian2 pi7	铅笔
卷笔刀儿	tɕʯan5 pi7 tɚ1	铅笔刀(指旋着削的那种)
读书人	tou6 fʯ1 ʐən2	
读书	tou6 fʯ1	
背书	pi6 fʯ1	
报考	pau5 kʰau3	
考场	kʰau3 tʂʰaŋ3	
入场	Ǿʯ7 tʂʰaŋ3	
考试	kʰau3 ʂʅ5	
毕业	pi6 Ǿie7	
文凭	Ǿuən2 pʰin1	
考卷	kʰau3 tʂʯan5	
满分	man3 fən1	
大楷	tɒ6 kʰai3	
小楷	ɕiau3 kʰai3	
字帖	tsɿ6 tʰie	
花轿	fɒ1 tɕiau6	
拜堂	pai5 tʰaŋ2	
新郎	ɕin1 laŋ2	
新娘	ɕin1 ȵiaŋ2	
新房	ɕin1 faŋ2	
交杯酒	tɕiau1 pei1 tɕiou3	
回门	fei2 mən2	指出嫁的女子在第三天时返回娘家的一种风俗习惯
小产	ɕiau3 tsʰan3	
接生	tɕie7 sən1	
坐月子	tso6 Ǿʯe7 tsɿ0	
满月	man3 Ǿʯe7	
头胎	tʰou2 tʰai1	
双胞胎	ʂuaŋ1 pau1 tʰai1	
打胎	tɒ3 tʰai1	
尿床	ȵiau6 tsʰaŋ2	
奶毛头儿	lai3 mau1 tʰɚ2	
说媒	fe7 mi2	做媒
媒婆	mi2 pʰo2	媒人
合八字	xo2 pɒ7 tsɿ3	在结婚前,将男女方的生辰八字拿去算命,以预测婚姻是否合适
抬嫁妆	tʰai7 tɕiɒ5 tʂaŋ1	过嫁妆
嫁女儿	tɕiɒ5 ɳɚ3	嫁闺女
驼肚子	tʰo2 tou3 tsɿ0	怀孕
生细伢儿	sən1 ɕi5 ŋar2	生孩子
喫妈儿	tɕʰi7 mar5	吃奶
丧事	saŋ1 sɿ6	
奔丧	pən1 saŋ1	
死了	sɿ3 lo1	
棺材	kuan1 tsʰai1	
寿材	ʂou6 tsʰai2	
灵堂	lin2 tʰaŋ2	
守灵	ʂou3 lin2	
做七	tsou5 tɕʰi2	
孝子	ɕiau5 tsɿ3	
孝孙	ɕiau5 sɚ1	
送葬	soŋ5 tsaŋ5	
坟地	fən2 ti6	
上坟	ʂaŋ6 fən2	
自杀	tsɿ6 sɒ7	
骨灰盒儿	ku7 fei1 xɚ6	
过生	ko5 sən1	做生日
拜寿	pai5 ʂou2	祝寿
寿星佬儿	ʂou2 ɕin1 lɚ3	寿星
进材	tɕin5 tsʰai2	入殓
上山	ʂaŋ6 san1	出殡
火钱	xo3 tɕʰian2	纸钱
往生钱	Ǿuaŋ3 sən1 tɕian2	纸钱
跳水	tʰiau5 fʯ3	投水(自尽)
吊颈	tiau5 tɕin3	上吊
司命菩萨	sɿ1 min6 pʰu2 sɒ1	灶王爷
老天爷	lau3 tʰian1 Ǿie7	
佛	fo7	
菩萨	pʰu2 sɒ1	
观世音	kuan1 ʂʅ5 Ǿin1	
送子娘娘	soŋ5 tsɿ3 ȵiaŋ2 ȵiaŋ	
对不住	ti5 pu7 tʂʯ6	对不起
淘力了	tʰau2 li7 lo0	麻烦了
窖倒	kau5 to0	埋
漱嘴	sou5 tɕi3	刷牙
说得玩儿的	fe7 te0 Ǿuɚ2 ti0	开玩笑
搣断	mie3 tan6	掰断
撵	ȵian3	追赶
折本	ʂe2 pən3	亏本
搁?记儿	ko7 tɕiɚ3	留神
煪肉	tɕʰiou1 ʐou7	用火熏肉
走人家	tsou3 ʐən2 kɒ1	走亲戚
嗦	so7	吮吸
掉底子	tiau5 ti3 tsɿ0	丢面子
苕喫哈胀	ʂau2 tɕʰi7 xɒ tʂaŋ5	暴饮暴食
不来哉	pu7 lai2 tsai1	不来往
困瞌睡	kʰuən5 ko7 fʯ1	睡觉
中瞌睡	tʂoŋ1 ko7 fʯ1	打瞌睡
扯皮	tʂʰe3 pʰi2	耍赖
发抛	fɒ7 pʰau1	发火
瑟?	se1	不出声的笑
落雨	lo7 Ǿʯ3	下雨
嚼经	tɕiau6 tɕin1	瞎说
打岔	tɒ3 tʂʰɒ5	插嘴
韵?倒	Ǿʯən5 to1	以为;考虑到了
坎?倒	kʰan3 to0	盖上
忺	tɕʰian5	想念
不肯	pu7 kʰən3	不同意
出力	tɕʰʯ7 li7	用力,使劲
出头	tɕʰʯ7 tʰou2	出面干涉
甩阔	ʂuai3 kʰo7	讲排场,摆阔气
出了事	tɕʰʯ7 lo0 sʅ6	
承不住	tʂʰən2 pu7 tʂʯ6	承受不了
亮相	liaŋ6 ɕiaŋ5	与众人见面
弯路	Ǿuan1 lou6	绕道
变了心	pian5 lo0 ɕin1	男女恋爱感情破裂
顺手	ʂʯən6 ʂou3	随手
吹喇叭	tɕʰʯ1 lɒ3 pɒ1	
冇招?倒	mau6 tʂau1 to0	没有注意
合得来	xo2 te7 lai2	相处还可以
合不来	xo7 pu7 lai2	相处不好
搅不到伙	tɕiau3 pu7 tau5 xo3	不能合作,不好合作
争气	tʂən1 tɕʰi5	
阴了	Ǿin1 lo0	泻气,没有精神
糊人	fu6 ʐən2	欺骗人
随你	ɕi2 ṅ3	听从你,服从你
办饭	pan6 fan6	准备招待客人的菜肴,做饭
办东西	pan6 toŋ1 ɕi1	做东西
办年货	pan6 ȵian2 xo5	
端出来	tan1 tʂʰʯ7 lai1	拿出来
作假	tsou5 tɕiɒ3	
冰人	pin1 ʐən1	指人感觉很冰凉
认亲	ʐən6 tɕʰin1	男方送彩礼到女方家里定亲
光趟话	kuaŋ1 tʰaŋ5 fɒ6	指圆滑好听的客气话
招牌	tʂau1 pʰai1	
广告	kuaŋ3 kau5	
做生意	tsou5 sən1 Ǿi5	
饭馆	li3 kuan3	
旅店儿	li3 tiɚ5	
文具店儿	Ǿuən2 tɕʯ5 tiɚ5	
理发店儿	li3 fɒ7 tiɚ5	
刮胡子	kuɒ7 fu2 tsɿ0	
肉铺	ʐou7 pʰu5	
杀猪	sɒ7 tʂʯ1	
租屋	tsou1 Ǿu7	租房子
开店儿	kʰai1 tiɚ5	开铺子
摆摊儿	pai3 tʰɚ0	
剃头	tʰi5 tʰou2	理发
油榨	Ǿiou2 tʂɒ5	油坊
停业	tʰin2 Ǿie7	
开价	kʰai1 tɕiɒ5	
还价	fan2 tɕiɒ5	
便宜	pʰian2 Ǿi1	
贵	kuei5	
工钱	koŋ1 tɕʰian2	
本钱	pən3 tɕʰian2	
保本	pau3 pən3	
亏本	kʰuei1 pən3	
路费	lou6 fei5	
利息	li6 ɕi7	
欠钱	tɕʰian5 tɕʰian2	
运气好	Ǿʯən6 tɕʰi5 xau3	
操?钱	tsʰau5 tɕʰian2	赚钱
开业	kʰai1 Ǿie7	
生意好	sən1 Ǿi5 xau3	
生意不好	sən1 Ǿi5 pu7 xau3	
开销	kʰai1 ɕiau1	
欠账	tɕʰian5 tʂaŋ5	
收账	ʂou1 tʂaŋ5	
出账	tɕʰʯ7 tʂaŋ5	
要账	Ǿiau5 tʂaŋ5	
发票	fɒ7 pʰiau5	
收据	ʂou1 tɕʯ5	
存款	tsʰən2 kʰuan3	
整钱	kən3 tɕʰian2	
算盘	san5 pʰan1	
秤	tsʰən5	
