#漢字	音標	解釋
□	uan6	往:~前走
媽	ma1	
嫁	ka5	
嫁	tɕia5=	
嫂	sau1	
嫌	ɕiē2	
嫖	piau2	
嫡	ti7	
嫩	lən6-	
嫩	lən5=	
嬉	ɕi1	
嬌	tɕiau1	
嬰	in1	
嬸	ʂən2	
孀	ɕyaŋ1	
子	tsɿ2	
子	mpʰ2	
孔	kʰpʰ1	
孕	zən5	
字	tsɿ6-	
字	tsɿ5=	
存	tsən2	
孝	ɕiau5	
孟	mpʰ5	
季	tɕi5	
孤	ku1	
孩	xai2	
孫	sən1	
孵	fu2	
學	ɕio7	
孽	ȵp7	
宅	tʂʰz7	
宇	ȵ̍2	
守	ʂəu1	
安	ŋan1	
宋	spʰ5	
完	xõ2	
宏	xpʰ2	
宗	tspʰ1	
官	kõ1	
宙	tʂəu5	
定	tin6-	
定	tin5=	
宜	ȵi2	
客	kʰz7	
宣	siē1	
室	ʂʅ7	
宦	xõ5	
宮	kpʰ1	
宰	tsai2	
害	xai6-	
害	xai5=	
宴	iē5	
宵	siau1	
家	ka1-	
家	tɕia1=	
容	ioŋ2	
宿	səu7	
寂	tsʰi7	
寄	tɕi5	
寅	in2	
密	m米i7	
寇	kʰ口əu5	
寐	mei5	
寒	xan2	
寓	ȵ̍5	
寞	mo7	
察	tsʰa7	
寡	kua1	
寢	tsʰin1	
寥	liau2	
實	ʂʅ7	
寧	ȵin2	
寨	tsai6-	
寨	sai5=	
審	ʂən2	
寫	sp2	
寬	kʰõ1	
寵	tʂʰpʰ1	
寶	pau2	
寸	tsʰən5	
寺	tsɿ6-	
寺	tsɿ5=	
封	xpʰ1	
射	ʂa5-	
射	ʂz5=	
將	tsiaŋ1	
專	tɕyě1	
尊	tsən1	
尋	tsin2	
對	tei5	
導	tau5	
小	siau1	
少	ʂz2	
少	siē2	
少	ʂz5	
尖	tsiē1	
尚	ʂaŋ5	
尬	kai5	
就	tsiəu6-	
就	tsiəu5=	
尷	kan1	
尹	yn2	
尺	tʂʰʅ7	
尼	ȵi2	
尾	uei2	
尿	ȵ鳥=iau6-	
尿	ȵ鳥=iau5=	
局	tɕy7	
屁	pʰi5	
居	tɕy1	
屆	kai5	
屈	tɕʰy7	
屋	u7	
屍	ʂʅ1	
屎	ʂʅ2	
屏	pin2	
屐	tɕi1	
屑	sp7	
展	tʂə̃2	
屜	tʰi5	
屠	təu2	
屢	lei2	
層	tsən2	
履	li2	
屬	ʂəu7	
屯	tən2	
山	iē1	
岐	tɕi2	
岔	tsʰa1	三~路
岔	tsʰa5	找~子
岡	kaŋ1	
岩	ȵai2	
岸	ŋan6	
岸	ŋan5=	
峯	xpʰ1	
島	tau2	
峽	ɕȵ7	
崇	tspʰ1	
崇	tspʰ2	
崑	kuən1	
崔	tsʰei1	
崖	ȵai2	
崗	kaŋ1	
崩	pən1	
嵩	spʰ1	
嶺	lin2	
嶽	io7	
川	tɕʰyě1	
州	tʂəu1	
巡	sən2	
巢	tsau2	
工	kpʰ1	
巨	tɕy5	
巫	u1	
差	tsʰa1	
差	tsʰai1	出~
差	tsʰɿ1	參~
己	tɕi2	
已	i2	
巳	tsɿ5=	辰~
巴	pa1	
巷	xaŋ6-	
巷	xaŋ5=	
巾	tɕin1	
市	ʂʅ6-	
市	ʂʅ5=	
布	pu5	
帆	fan2	
希	ɕi1	
帕	pʰə7	
帖	tʰp7	
帚	tʂəu2	
帛	pʰə7	
帝	ti5	
帥	ɕtɕʰ5	
師	sɿ1	
席	si7	
帳	tʂaŋ5	
帶	tai5	
常	tʂaŋ2	
常	ʂaŋ2	
帽	mau6-	
帽	mau5	
幅	附戶=滬戽~互護=婦負富副瓠~子u7	
幔	man5	
幕	mo5	
幣	pei5	
幫	paŋ1	
平	pin2	
年	ȵiē2	
幸	ɕiau1	
幸	ɕin5	
幹	kan1	
幹	tɕiē2	
幹	kan5	~部
幺	iau1	~二三
幻	xõ5	
幼	iəu5	
幽	iəu1	
幾	tɕi1	~乎
幾	tɕi2	~個
庇	pʰi1	
牀	tsaŋ2	
牀	tɕyaŋ2	
序	si5	
底	ti2	
店	tiē5	
庚	kən1	
府	fu2	
度	təu6-	
度	təu5=	
座	ts左o6-	
座	ts左o5=	
庫	kʰu5	
庭	tin2	
庵	ŋan1	
庶	ɕȵ5	
康	kʰaŋ1	
庸	ioŋ2	
廁	tsə7=	
廁	tsʰɿ5	~所
廂	siaŋ1	
廈	ɕȵ2	~門
廈	sa1	廂~
廉	liē2	
廊	laŋ2	
廓	ko7	
廖	liau5	
廚	tɕy2	
廝	sɿ1	
廟	miau6-	
廟	miau5=	
廠	tʂʰaŋ1	
廢	fei5	
廣	kuaŋ2	
廬	ləu2	
廳	tin1	
延	iē2	
廷	tin2	
建	tɕiē5	
弄	lpʰ5	
弊	pei5	
式	ʂʅ5	
弓	kpʰ1	
引	in2	
弘	xpʰ2	
弟	ti6-	
弟	ti5=	
弦	ɕiē2	
弱	ȵio7	
張	tʂaŋ1	
強	tɕʰiaŋ1	
強	tɕiaŋ2	
強	tɕiaŋ6	脾氣~
弼	pʰi7	
彈	tan6-	
彈	tan2	~琴
彈	tan5=	子~
彌	mei2	
彎	uan1	
形	ɕin2	
彩	tsʰai1	
彪	piau1	
彬	pin1	
彭	pən2	
影	in2	
彷	faŋ2	
役	ȵ̍7	
彼	pi2	
往	uan2	
往	uaŋ2	
征	tʂən1	
待	tai5	
很	xən2	
律	li7	
後	xəu6-	
後	xəu5	
後	xəu5=	
徐	si2	
徐	tsi2	又音
徑	tɕin5	
徒	si2	
徒	təu2	
得	tə7	
從	tspʰ2	
從	tsʰpʰ1	~容
循	sən2	
微	uei2	
德	tə7	
徹	tʂʰz7	
心	sin1	
必	pi7	
忌	tɕi5	
忍	zən2	
忖	tsʰən1	
志	tʂʅ5	
忘	uaŋ2	
忘	uaŋ6	又音
忙	maŋ2	
忠	tʂpʰ1	
快	kʰ塊蒯揣又音uai5	
念	ȵiē6-	
念	ȵiē5=	
忽	附戶=滬戽~互護=婦負富副瓠~子u7	
