#漢字	音標	解釋
#簡稱	/	長樂洋嶼
#全稱	/	長樂洋嶼話
#聲母	/	
#韻母	/	
#聲調	/	21 1 1a 陰平 ꜀,51 2 1b 陽平 ꜁,55 3 2 上 ꜂,,31 5 3 去 ꜄
#版本	/	2022-03-16
#錄入人	/	鶩高赭紗匕
#參考資料	/	《福建洋嶼官話同音字匯》
#說明	/	
畜	tsʰu2	
畜	ɕy2	
疑	i2	
瘍	iaŋ2	
疫	i2	
疲	pʰi2	
疹	tseiŋ3	
疾	tɕi2	
病	piŋ5	
症	tseiŋ5	
痒	iaŋ3	
痕	xeiŋ2	
痛	tʰouŋ5	
痢	li5	
痣	tsɿ5	
痦	u5	～子
瘓	xuaŋ5	
痰	tʰaŋ2	
痹	pi5	
瘦	seu5	
癬	ɕyeŋ3	
癸	kʰui2	
皂	tsau5	
的	ti2	我 ～ ; 目 ～
皇	xuaŋ2	
皖	vaŋ5	
皮	pʰi2	
皺	tseu5	
皿	miŋ3	
盈	iŋ2	
益	i2	
盞	tsaŋ3	
鹽	ieŋ2	
盒	xuo2	
盖	kæε5	
盜	tau5	
盤	pʰaŋ2	
盛	seiŋ5	兴～
直	tsɿ2	
相	ɕiaŋ5	长 ～
盼	pʰaŋ5	
盾	tyeŋ5	
省	ɕiŋ3	反 ～
省	seiŋ3	
看	kʰaŋ5	～见
眨	tsa2	
眷	tɕyeŋ5	
眼	ieŋ3	
睡	ɕye5	
督	tu2	
睬	tsʰæε3	
睶	tsʰouŋ3	～盹: 打瞌睡
瞎	ɕia2	
瞧	tɕʰiau2	
瞪	teiŋ5	
瞳	tʰouŋ2	
矛	mau2	
矩	tɕy3	
短	tuaŋ3	
矮	ŋæε3	
石	sɿ2	
礦	kʰuaŋ5	
碼	ma3	
砌	tɕʰi5	
砍	kʰaŋ3	
硯	ieŋ5	
砣	tʰuo2	
破	pʰuo5	
礎	tsʰu3	
硬	iŋ5	
礙	ŋæε5	
碎	ɕye5	
碗	vaŋ3	
碟	tie2	
碧	pi5	
鹼	tɕieŋ3	
碾	nieŋ3	
磁	tsʰɿ2	
磕	kʰuo2	
磨	muo2	
磨	muo5	
示	sɿ5	
禮	li3	
社	sɤ5	
祀	sɿ5	
祁	tɕʰi2	
祈	tɕʰi2	
祖	tsu3	
祝	tsu2	
神	seiŋ2	
祠	tsʰɿ2	
祥	ɕiaŋ2	
票	pʰiau5	
祭	tɕi5	
禍	xuo5	
禀	piŋ3	
福	xu2	
禽	tɕʰiŋ2	
禾	xuo2	
秀	ɕiu5	
秆	kaŋ3	
秉	piŋ3	
種	tsouŋ3	～ 类
種	tsouŋ5	～书
秒	miau3	
秕	pi3	～谷子
秘	mi5	
秤	tsʰeiŋ5	
秦	tɕʰiŋ2	
秩	tsɿ2	
積	tɕi2	
秸	kæε3	
移	i2	
程	tsʰeiŋ2	
稅	ɕye5	
稚	tsɿ5	
稠	tsʰeu2	
穩	veiŋ3	
稻	tau5	
稿	kau3	
穴	ɕye2	
究	tɕiu5	
空	kʰouŋ5	有～
窄	tsɤ2	
竅	tɕʰiau5	
窑	iau2	
窖	tɕiau5	
窟	kʰu2	
窿	louŋ5	
豎	su5	
站	tsaŋ5	立; 车 ～
竟	tɕiŋ5	
童	tʰouŋ2	
竹	tsu2	
笋	ɕyeŋ3	
笑	ɕiau5	
笔	pi2	
笛	ti2	
符	xu2	
笨	peiŋ5	
第	tɕy2	
第	liaŋ3	
第	ti5	
第	xouŋ5	
等	teiŋ3	
筑	tsu2	
筒	tʰouŋ3	
答	ta2	
策	tsʰɤ2	
簡	tɕieŋ3	
箅	pi5	竹～ : 蒸 食物时架在食物下方以便隔水的竹制器具
算	suaŋ5	
管	kuaŋ3	
箭	tɕieŋ5	
簍	leu3	
篦	pi5	
篷	pʰouŋ2	
簧	xuaŋ2	
簸	puo5	～箕
簿	pu5	
籍	tɕi2	
米	mi3	
类	lye5	
粉	feiŋ3	
粟	su2	
糞	feiŋ5	
粹	tɕʰye5	
糉	tsouŋ5	
粿	kui3	油炸 ～ : 油条
糊	xu2	
糖	tʰaŋ2	
糙	tsau5	
糯	nuo5	
系	tɕi5	～鞋带
系	ɕi5	～统
素	su2	
索	suo2	
緊	tɕiŋ3	
紫	tsɿ3	
累	ly3	积 ～
累	lye5	劳～
絮	ɕy5	
繁	faŋ2	
紅	xouŋ2	
級	tɕi2	
紀	tɕi5	
紉	zeiŋ5	
緯	ve3	
純	tɕʰyeŋ2	
縱	tsouŋ5	
紙	tsɿ3	
紋	veiŋ2	
紡	faŋ3	
紐	niu3	
線	ɕieŋ5	
練	lieŋ5	
組	tsu3	
細	ɕi5	
織	tsɿ2	
紹	sau5	
綁	paŋ3	
絨	iouŋ2	
結	tɕie2	
繞	zau5	
給	tɕi2	供 ～
絡	lau3	
絞	tɕiau3	
統	tʰouŋ3	
絹	tɕyeŋ5	
繡	ɕiu5	
繼	tɕi5	
績	tɕi2	
緒	ɕy5	
續	ɕy2	
繩	seiŋ2	
維	ve2	
綢	tsʰeu2	
緬	mieŋ3	
纜	laŋ3	
緞	tuaŋ5	
緩	xuaŋ5	
縷	ly3	
緣	yeŋ2	
縫	fouŋ2	～ 衣 服
縫	fouŋ5	～隙
纏	tsʰaŋ2	
縮	suo2	
繳	tɕiau3	
罐	kuaŋ5	
网	vaŋ3	
罷	pa5	
罩	tsau5	
罪	tɕye5	
置	tsɿ5	
羊	iaŋ2	
美	me3	
羽	y3	
翅	tsʰɿ5	
翠	tɕʰye5	
翰	xaŋ5	
耀	iau5	
老	lau3	
考	iouŋ5	
者	tsɤ3	
耍	sua3	
耐	næε5	
耗	xau5	
耳	ɤ3	
職	tsɿ2	
聘	pʰiŋ5	
聚	tɕy5	
肅	su2	
肆	sɿ5	
肉	zeu5	
肚	tu3	猪 ～
肚	tu5	～子
腸	tsʰaŋ2	
股	ku3	
肥	fe2	
肯	kʰeiŋ3	
育	y5	
肺	fe5	
腎	seiŋ5	
腫	tsouŋ3	
脹	tsaŋ5	
脅	ɕie2	
胃	ve5	
膽	taŋ3	
背	pe5	
胖	pʰaŋ5	
胛	tɕia2	
勝	seiŋ5	
胡	xu2	二 ～
胡	xu2	
胰	i2	
胳	kɤ2	
脆	tɕʰye5	
脊	tɕi2	
脏	tsaŋ5	内 ～
臍	tɕʰi2	
腦	nau3	
脯	pʰu3	香干～ : 豆腐干
脫	tʰuo2	
臉	lieŋ3	
脾	pʰi2	
臘	la2	
腐	xu5	
腑	xu3	
腕	vaŋ5	
腹	xu2	
膩	ni5	
腿	tʰy3	
膊	pa3	胳～拐: 胳膊
膝	ɕi2	
膨	pʰouŋ2	
臀	tʰyeŋ2	
臂	pi5	
臊	sau5	
臣	tsʰeiŋ2	
自	tsɿ5	
臭	tsʰeu5	
至	tsɿ5	
致	tsɿ5	
舀	iau3	
舅	tɕiu5	
舌	sɤ2	
舍	sɤ3	～弃
舍	sɤ5	宿～
舔	tʰieŋ3	
舜	ɕyeŋ5	
舞	u3	
航	xaŋ2	
艦	tɕieŋ5	
舵	tuo5	
船	tsʰuaŋ2	
艇	tʰiŋ3	
色	sɤ2	
艳	ieŋ5	
藝	i5	
艾	ŋæε5	
節	tɕie2	
芋	y5	
芍	sau2	～ 药花
芙	xu2	
芥	kæε5	～ 蓝球: 菜球
芹	tɕʰiŋ2	
芽	ia2	
葦	ve3	
莧	ɕieŋ5	
苟	keu3	
苦	kʰu3	
蘋	pʰiŋ2	
茂	meu5	
范	faŋ5	
茅	mau2	
莖	tɕiŋ5	
繭	tɕieŋ3	
茴	xui2	
茶	tsʰa2	
草	tsʰau3	
荔	li5	
蕎	tɕʰiau2	
荡	taŋ5	
榮	iouŋ2	
荷	xuo2	
荷	xuo5	薄 ～
莫	muo2	
获	xuo5	
菊	tɕy2	
菜	tsʰæε5	
菩	pʰu3	
菱	liŋ2	
萄	tʰau2	
萍	pʰiŋ2	
螢	iŋ2	
營	iŋ2	
薩	sa2	
著	tsu5	
董	touŋ3	
葬	tsaŋ5	
葵	kʰui2	
蔣	tɕiaŋ3	
蒜	suaŋ5	
蒲	pʰu3	
蓄	ɕy2	
蓉	iouŋ2	
蓬	pʰouŋ2	
蔓	maŋ5	瓜～
蔗	tsɤ5	
蔡	tsʰæε5	
蕹	ouŋ5	～菜: 空心菜
薄	puo2	单 ～ ; ～ 荷
薛	ɕie2	
薯	su3	
藏	tsʰaŋ2	隐 ～
藏	tsaŋ5	西～
藐	miau3	
蘚	ɕieŋ3	
藕	ŋeu3	
藿	xuo5	
蘸	tsaŋ5	
虎	xu3	
虑	ly5	
虔	tɕʰieŋ2	
蟲	tsʰouŋ2	
虱	sɤ2	
虹	xouŋ2	
虹	kaŋ5	彩虹。《广韵》古巷 切，“ 蝀也。”
虼	kɤ5	～蚤: 跳蚤
螞	ma3	
蚊	veiŋ2	
蚌	paŋ5	
蚌	pouŋ5	
蠶	tsʰaŋ2	
蚤	tsau3	
蛀	tsu5	
蛇	sɤ2	
蛋	taŋ5	
蛤	xa2	
蟄	tsɤ2	海 ～皮
蛹	iouŋ3	
蛾	uo2	
蜈	u2	
蜓	tʰiŋ2	
蜜	mi2	
蠟	la2	
蟬	tsʰaŋ2	
蝗	xuaŋ2	
蝠	xu2	蝙 ～
蝶	tie2	
螃	pʰaŋ2	
融	iouŋ2	
螳	tʰaŋ2	
蟆	ma2	
蟒	maŋ3	
蟮	saŋ5	
蟹	xæε3	
蠢	tɕʰyeŋ2	
血	ɕie2	
衅	ɕiŋ5	
行	xaŋ2	
行	ɕiŋ2	
銜	ɕieŋ2	
衙	ia2	
衡	xeiŋ2	
補	pu3	
表	piau3	
襯	tsʰeiŋ5	
袁	yeŋ2	
襖	ŋau3	
袋	tæε5	
袍	pʰau2	
袖	ɕiu5	
被	pe5	～ 子; ～ 打
襲	ɕi2	
裁	tsʰæε2	
裕	y5	
褲	kʰu5	
裱	piau3	
裴	pʰe2	
裸	luo3	
裹	kuo3	
褂	kua5	
褡	tʰa2	汗～ : 背心
褯	tɕie5	
要	iau5	重～
覆	xu2	
見	tɕieŋ5	
視	sɿ5	
覽	laŋ3	
覺	tɕiau5	睡～
角	kuo2	
解	kæε3	
解	tɕie3	
觸	tsʰu2	
言	ieŋ2	
言	liŋ2	
言	ɕiau3	
譽	y5	
誓	sɿ5	
警	tɕiŋ3	
計	tɕi5	
訂	tiŋ5	
訃	xu5	
認	zeiŋ5	
討	tʰau3	
讓	zaŋ5	
訓	ɕyŋ5	
議	i5	
訊	ɕyŋ5	
記	tɕi5	
講	tɕiaŋ3	
許	ɕy3	
訛	uo2	
論	lyeŋ5	议～
訟	souŋ5	
諷	fouŋ3	
設	sɤ2	
設	sɤ5	
訪	faŋ3	
证	tseiŋ5	
評	pʰiŋ2	
識	sɿ2	
詐	tsa5	
訴	su5	
診	tseiŋ3	
詞	tsʰɿ2	
譯	i2	
試	sɿ5	
誠	tsʰeiŋ2	
話	xua5	
誕	taŋ5	
詭	kui3	
詳	ɕiaŋ2	
語	y3	
誤	u5	
誘	iu3	
說	suo2	
誦	souŋ5	
請	tɕʰiŋ3	
讀	tu2	
課	kʰuo5	
調	tʰiau2	～和
調	tiau5	音～ ; ～动
諒	liaŋ5	
談	tʰaŋ2	
誼	i5	
諜	tie2	
謊	xuaŋ3	
諧	ɕie2	
謂	ve5	
讒	tsʰaŋ2	
謎	mi2	
謝	ɕie5	
謠	iau2	
謗	paŋ5	
謹	tɕiŋ3	
譚	tʰaŋ2	
譜	pʰu3	
谷	ku2	
豆	teu5	
象	ɕiaŋ5	
豪	xau2	
豫	y5	
豹	pau5	
豺	tsʰæε2	
貌	mau5	
貝	pe5	
負	xu5	
貢	kouŋ5	
財	tsʰæε2	
責	tsɤ2	
賢	ɕieŋ2	
敗	pæε5	
賬	tsaŋ5	
貨	xuo5	
質	tsɿ2	
販	faŋ5	
貧	pʰiŋ2	
貶	pieŋ3	
購	keu5	
貫	kuaŋ5	
貳	ɤ5	
賤	tɕieŋ5	
貸	tæε5	
貿	meu5	
費	fe5	
賀	xuo5	
賊	tsɤ2	
賈	tɕia3	
賂	lu5	
賦	xu5	
賭	tu3	
贖	su2	
賞	saŋ3	
賜	tsʰɿ5	
賠	pʰe2	
賴	læε5	
贅	tɕye5	
賽	sæε5	
赞	tsaŋ5	
贈	tseiŋ5	
贏	iŋ2	
赤	tsʰɿ2	
走	tseu3	
趙	tsau5	
趕	kaŋ3	
起	tɕʰi2	
趁	tsʰeiŋ5	
趟	tʰaŋ5	
趣	tɕʰy5	
足	tsu2	
趾	tsɿ3	
跌	tie2	
跑	pʰau3	
跛	puo3	
距	tɕy5	
跨	kʰua5	
路	lu5	
跳	tʰiau5	
跺	tuo5	
踏	tʰa2	
踢	tʰi2	
蹄	tʰi2	
蹩	pie2	～ 腿: 蜷腿。《广韵》蒲结切，“跛也。”
蹭	tsʰeiŋ5	
躁	tsau5	
躲	tuo3	
躺	tʰaŋ3	
軌	kui3	
轉	tsuaŋ3	
轉	tsuaŋ5	旋～
軸	tsu2	
載	tsæε5	
轎	tɕiau5	
較	tɕiau5	
輔	xu5	
輛	liaŋ5	
輩	pe5	
轅	yeŋ2	
轄	ɕia2	
辭	tsʰɿ2	
辟	pi5	
辣	la2	
辨	pieŋ5	
辯	pieŋ5	
辮	pieŋ5	
辰	tsʰeiŋ2	
达	ta2	
迅	ɕyŋ5	
過	kuo5	
邁	mæε5	
迎	iŋ2	
運	yŋ5	
近	tɕiŋ5	
還	xuaŋ2	
這	tsɤ5	～个
進	tɕiŋ5	
遠	yeŋ3	
違	ve2	
遲	tsʰɿ2	
述	su2	
迹	tɕi2	
送	souŋ5	
適	sɿ2	
逃	tʰau2	
逆	ni5	
選	ɕyeŋ3	
遜	ɕyeŋ5	
透	tʰeu5	
遞	ti5	
逗	teu5	
逛	kuaŋ5	
逝	sɿ5	
逞	tsʰeiŋ3	
速	su2	
造	tsau5	
逢	fouŋ2	
逵	kʰui2	
逼	pi2	
遁	tyeŋ5	
遂	ɕye5	
遇	y5	
遍	pieŋ5	
道	tau5	
遺	i2	
遣	tɕʰieŋ3	
避	pi5	
邓	teiŋ5	
那	ne5	～个
邪	ɕie2	
郵	iu2	
鄰	liŋ2	
鄭	tseiŋ5	
郡	tɕyŋ5	
部	pu5	
郭	kuo2	
酉	iu3	
配	pʰe5	
酒	tɕiu3	
醬	tɕiaŋ5	
酵	tɕiau5	
酷	kʰu2	
釀	niaŋ5	
醉	tɕye5	
醋	tsʰu5	
醒	ɕiŋ3	
采	tsʰæε3	
釋	sɿ2	
里	li3	
重	tsʰouŋ2	～ 复
重	tsouŋ5	～量
野	ie3	
量	liaŋ5	数～
釣	tiau5	
鈍	tyeŋ5	
錢	tɕʰieŋ2	
鉗	tɕʰieŋ2	
鑽	tsuaŋ5	名词
銅	tʰouŋ2	
鍘	tsa2	
鉸	tɕiau3	
铲	tsʰaŋ3	
銃	tsʰouŋ5	
銀	iŋ2	
鋪	pʰu5	店～
鎖	suo3	
鋤	tsʰu2	
鏽	ɕiu5	
錯	tsʰuo5	～误
錫	ɕi2	
錘	tɕʰy2	
錠	tiŋ5	
鍵	tɕieŋ5	
鋸	tɕy5	
鍛	tuaŋ5	
鍍	tu5	
鎮	tseiŋ5	
鎬	kau3	
鏡	tɕiŋ5	
長	tsʰaŋ2	～ 短
長	tsaŋ3	生 ～
閃	saŋ3	
閉	pi5	
問	veiŋ5	
闖	tsʰuaŋ3	
閏	yŋ5	
闲	ɕieŋ2	
悶	meiŋ5	
閘	tsa2	
鬧	nau5	
聞	veiŋ2	
閩	miŋ3	
閻	ieŋ2	
闊	kʰuo2	
防	faŋ2	
陽	iaŋ2	
陣	tseiŋ5	
阻	tsu3	
附	xu5	
際	tɕi5	
陳	tsʰeiŋ2	
陋	leu5	
降	ɕiaŋ2	
降	tɕiaŋ5	下～
限	ɕieŋ5	
陝	saŋ3	
陛	pi5	
陡	teu3	
院	yeŋ5	
除	tsʰu2	
險	ɕieŋ3	
陪	pʰe2	
陵	liŋ2	
陶	tʰau2	
陷	ɕieŋ5	
隨	ɕy2	
隱	iŋ3	
隔	kɤ2	
障	tsaŋ5	
隧	ɕye5	
隶	li5	
難	naŋ5	患～
雁	ieŋ5	
雄	ɕiouŋ2	
雅	ia3	
集	tɕi2	
雇	ku5	
雨	y3	
雪	ɕye2	
零	liŋ2	
雹	pau2	
霧	u5	
震	tseiŋ3	
霍	xuo2	姓
霞	ɕia2	
露	lu5	
霸	pa5	
靖	tɕiŋ5	
靜	tɕiŋ5	
靠	kʰau5	
面	mieŋ5	
革	kɤ2	
鞋	ɕie2	
鞔	miŋ3	～鞋带: 系鞋带
鞘	tɕʰiau5	
韓	xaŋ2	
韭	tɕiu3	
韵	yŋ5	
韶	sau2	
頁	ie2	
頂	tiŋ3	
項	ɕiaŋ5	
順	ɕyeŋ5	
頑	vaŋ2	
顧	ku5	
頓	tyeŋ5	
頌	souŋ5	
預	y5	
領	liŋ3	
頦	kʰuo2	
頻	pʰiŋ2	
穎	iŋ2	
題	tʰi2	
顏	ieŋ2	
食	sɿ2	
飩	tʰyeŋ2	
飯	faŋ5	
飲	iŋ3	
飾	sɿ2	
飽	pau3	
飼	sɿ5	
餌	ɤ3	
餉	ɕiaŋ3	
餃	tɕiau3	
餅	piŋ3	
餓	uo5	
餛	xuiŋ2	～ 饨
餡	ɕieŋ5	
館	kuaŋ3	
饞	tsʰaŋ2	
首	seu3	
馬	ma3	
馱	tʰuo2	～在背上
馳	tsʰɿ2	
駛	sɿ3	
駐	tsu5	
駝	tʰuo2	
駕	tɕia5	
罵	ma5	
驗	ieŋ5	
騎	tɕʰi2	
騙	pʰieŋ5	
騸	saŋ5	
驟	tseu5	
骨	ku2	
髓	ɕy2	
鬼	kui3	
魂	xuiŋ2	
魄	pʰuo2	
魏	ve5	
魔	muo2	
魚	y2	
魷	iu2	
魯	lu3	
鮑	pau5	
鱟	ɕiau5	～鱼瓢: 水瓢
鮭	kui5	
鯗	ɕiaŋ3	鱼～ : 小鱼干。《广韵》息 两切，“乾鱼腊也。”
鯉	li3	
鯽	tɕi5	
鰭	tɕʰi2	
鰾	piau5	
鱉	pie2	
鱗	liŋ2	
鴨	ia2	
鴻	xouŋ2	
鵝	uo2	
鵡	u3	
鶉	tɕʰyeŋ2	
鷂	iau5	纸～ : 风筝
鶴	xuo2	
鷓	tsɤ2	
鷺	lu5	
麯	tɕʰy2	
麻	ma2	
黃	xuaŋ2	
黢	tɕʰy5	～麻黑: 指光线很暗
鼎	tiŋ3	
鼓	ku3	
鼠	su3	
鼻	pi2	
齊	tɕʰi2	
齒	tsʰɿ3	
齙	pau5	
