#漢字	音標	解釋
□	tsʰɿ1	擦
眼	in5	
着	tʂo2	
睛	tɕin1	
睡	ʂuei213	
瞄	miao1	
瞄	miao2	~准
瞎	ɕia2	
瞞	man2	
瞟	pʰiao42	
瞥	pʰiɛ1	
瞧	tɕʰiao2	
知	tʂʅ1	
短	tan3	
矮	ai3	
石	ʂʅ2	
礦	kʰuaŋ5	
碼	ma3	
砌	tɕʰi2	
砍	kʰan42	
研	in2	
磚	tʂuan1	
破	pʰo5	
砸	tsa2	
礎	tsʰuə3	
硬	ən5	
確	tɕʰio2	
碎	sei5	
碑	pei1	
碓	tei5	
碗	uan3	
碧	pi5	
碰	pʰoŋ5	
磕	kʰo2	
磨	mo2	
磨	mo5	石磨
示	ʂʅ5	
禮	li3	
社	ʂɛ5	
祖	tsuə3	
祝	tsuə5	
神	ʂən2	
祟	sei5	
祥	tɕʰiaŋ2	
票	pʰiao5	
祭	tɕi5	
禍	xo5	
禁	tɕin5	
福	fuə3	
离	li2	
禾	xo2	
秀	ɕiəu213	
私	sɿ1	
秃	tʰuə2	
稈	kan3	
秋	tɕʰiəu1	
種	tʂoŋ3	~子
種	tʂoŋ5	~田
科	kʰo1	
秒	miao42	
租	tsuə1	
秤	tʂʰən5	
秧	iaŋ1	
稱	tʂʰən1	
移	i2	
税	ʂuei213	
稗	pai5	
穩	uən3	
稻	tao5	
稿	kao42	
穗	sei5	
穴	ɕiɛ2	
究	tɕiəu1	
窮	tɕʰioŋ2	
空	kʰoŋ1	
空	kʰoŋ5	~白
穿	tʂʰuan1	
突	tʰuə1	
窄	tsɛ2	
竅	tɕʰiao5	
窯	iao2	
窖	tɕiao5	
窗	tʂʰuaŋ1	
窘	tɕioŋ3	
窩	o1	
窟	kʰuə1	
立	li2	
豎	ʂuə5	
站	tʂan5	
章	tʂaŋ1	
童	tʰoŋ2	
端	tan1	
竹	tʂuə2	
笋	sən3	
笑	ɕiao5	
筆	pi2	
笛	ti2	
笠	li5	
笤	tʰiao2	
笨	pən5	
第	ti5	
籠	loŋ2	
等	tən3	
筋	tɕin1	
筒	tʰoŋ3	
答	ta2	
策	tsʰɛ2	
篩	ʂai1	
签	tɕʰin1	
簡	tɕin42	
箍	kuə1	
算	san213	
管	kuan3	
箭	tɕin5	
篇	pʰin1	
篡	tsʰan5	
籃	lan2	
篷	pʰoŋ2	
簪	tsan1	
簸	po3	
米	mi3	
類	lei5	
籽	tsɿ3	
粉	fən3	
粑	pa1	
粗	tsʰuə1	
粘	tʂan1	
粘	nin2	
粥	tʂəu1	
糞	fən5	
粱	liaŋ1	
糉	tsoŋ5	
糕	kao1	
糙	tsʰao1	
糟	tsao1	
糯	no5	
系	ɕi2	
索	so2	
索	so42	
緊	tɕin42	
紫	tsɿ3	
累	lei5	
累	lei2	~赘
繁	fan2	
糾	tɕiəu1	
紅	xoŋ2	
約	io2	
紀	tɕi3	
紉	ʐən2	
純	tʂʰuən2	
縱	tsoŋ5	
紙	tʂʅ3	
紡	faŋ3	
紐	niəu3	
線	ɕin5	
練	lin5	
組	tsuə3	
細	ɕi5	
織	tʂʅ2	
終	tʂoŋ1	
紹	ʂao5	
經	tɕin1	
綁	paŋ3	
結	tɕiɛ2	
繞	ʐao5	
絶	tɕiɛ2	
統	tʰoŋ3	
綏	sei2	
續	ɕi2	
繩	ʂən2	
綢	tʂʰəu2	
綠	luə2	
緬	min3	
緩	xuan3	
編	pin1	
緣	in2	
縫	foŋ2	
縫	foŋ5	门~
纏	tʂʰan2	
縮	so2	
繮	tɕiaŋ1	
缸	kaŋ1	
缺	tɕʰiɛ2	
罐	kuan5	
网	uaŋ3	
羅	lo2	
罰	fa2	
罩	tʂao5	
罪	tsei5	
羊	iaŋ2	
美	mei3	
羞	ɕiəu1	
群	tɕʰin2	
羽	i3	
翁	oŋ1	
翅	tsʰɿ5	
翹	tɕʰiao5	
翟	tʂai2	
翠	tsʰei5	
翻	fan1	
老	lao3	
考	kʰao3	
者	tʂɛ3	
而	æ2	
耍	ʂua42	
耐	nai5	
耕	kən1	
耗	xao5	
耙	pʰa2	
耳	æ3	
聳	soŋ42	
耻	tʂʰʅ3	
聶	niɛ5	
聊	liao2	
聾	loŋ2	
職	tʂʅ2	
聯	lin2	
聰	tsʰoŋ1	
肉	ʐuə2	
肋	lɛ5	
肖	ɕiao1	
肘	tsəu2	
肘	tʂəu3	
肛	kaŋ1	
腸	tʂʰaŋ2	
股	kuə3	
肥	fei2	
肩	tɕin1	
肫	tʂuən1	鸡~
骯	aŋ1	
肯	kʰən3	
育	iəu2	
肺	fei213	
腎	ʂən5	
腫	tʂoŋ3	
脹	tʂaŋ5	
胃	uei5	
膽	tan3	
背	pei1	
背	pei5	背面
胎	tʰai1	
胖	pʰaŋ213	
胚	pʰei1	
勝	ʂən5	
胞	pao1	
胡	xuə2	
能	nən2	
脆	tsʰei5	
脉	mɛ5	
脏	tsaŋ1	
脏	tsaŋ5	内~
腦	nao3	
脚	tɕio2	
脱	tʰo2	
臉	lin3	
脾	pʰi2	
臘	la2	
腔	tɕʰiaŋ1	
腭	o2	
腮	sai1	
腰	iao1	
膩	ni5	
騰	tʰən2	
腿	tʰei42	
膘	piao1	
臃	ioŋ1	
臊	sao5	
臭	tʂʰəu5	
至	tʂʅ5	
舀	iao3	
舂	tʂʰoŋ1	
舅	tɕiəu5	
舌	ʂɛ2	
舍	ʂɛ3	
舍	ʂɛ5	宿舍
舒	ʂuə1	
舔	tʰin3	
舜	ʂuən213	
舟	tʂəu1	
般	pan1	
艙	tsʰaŋ1	
船	tʂʰuan2	
良	liaŋ1	
艱	tɕin1	
色	sɛ2	
豔	in5	
藝	i5	
節	tɕiɛ2	
芋	i5	
芍	ʂo2	
花	xua1	
苏	suə1	
苗	miao2	
苟	kəu3	
若	ʐo2	
苦	kʰuə3	
英	in1	
茂	mao5	
范	fan5	
茄	tɕʰiɛ3	
茅	mao2	
茶	tʂʰa2	
茸	ʐoŋ2	
草	tsʰao3	
荒	xuaŋ1	
蕩	taŋ5	
榮	ʐoŋ2	
榮	ioŋ2	
葷	xuən1	
藥	io2	
莽	maŋ3	
菊	tɕi2	
菌	tɕin5	
菜	tsʰai5	
萄	tʰao2	
萌	moŋ2	
營	in2	
蕭	ɕiao1	
落	lo2	
著	tʂuə5	
葡	pʰuə2	
董	toŋ3	
葬	tsaŋ5	
葱	tsʰoŋ1	
葵	kʰuei2	
蔣	tɕiaŋ3	
蒙	moŋ2	
蒜	san213	
蒸	tʂən1	
蒿	xao1	
蓄	ɕi5	
蓑	so1	
藍	lan2	
蔑	miɛ5	
蔓	man213	
蔡	tsʰai5	
蕉	tɕiao1	
蕊	ʐuei5	
蕨	tɕiɛ2	
薄	po2	
薛	ɕiɛ1	
薯	ʂuə42	
藏	tsʰaŋ2	
藏	tsaŋ5	宝~
蘚	ɕin3	
藤	tʰən2	
蘸	tsan5	
虎	xuə3	
虐	nio2	
虐	niɛ3	
慮	li5	
虚	ɕi1	
蟲	tʂʰoŋ2	
虱	sɛ2	
虹	xoŋ2	
雖	sei1	
蝦	ɕia1	
蟻	i1	
蚌	poŋ5	
蠶	tsʰan2	
蚤	tsao3	
蚯	tɕʰiəu1	
蛇	ʂɛ2	
蛋	tan5	
蛙	ua1	
蠻	man2	
蛾	o2	
蜀	ʂuə42	
蜂	foŋ1	
蜕	tʰei5	
蜕	tʰən5	
蝸	o1	
蟬	tʂʰan2	
蝶	tiɛ2	
螂	laŋ1	
融	ʐoŋ2	
蟀	ʂuai3	
蟹	xai42	
蠢	tʂʰuən3	
血	ɕiɛ2	
行	ɕin2	
行	xaŋ2	
街	kai1	
衡	xən2	
衣	i1	
補	puə3	
表	piao3	
衫	ʂan1	
襯	tsʰən213	
衰	ʂuai1	
衷	tʂoŋ1	
袁	in2	
襖	ao3	
袋	tai5	
袍	pʰao2	
袖	ɕiəu213	
袜	ua2	
被	pei5	
裁	tsʰai2	
裂	liɛ5	
裝	tʂuaŋ1	
襠	taŋ1	
裸	lo3	
裹	ko3	
褂	kʰua5	
褥	ʐuə5	
褪	tʰei5	
西	ɕi1	
要	iao5	
要	iao1	~求
見	tɕin5	
觀	kuan1	
規	kuei1	
覓	mi5	
視	sɿ5	
覽	lan3	
覺	tɕio2	~得
覺	tɕiao5	睡~
角	tɕio2	
解	kai3	
言	in2	
譽	i5	
警	tɕin42	
計	tɕi5	
認	ʐən5	
訌	xoŋ5	
討	tʰao3	
讓	ʐaŋ5	
訓	ɕin5	
訊	ɕin5	
記	tɕi5	
講	tɕiaŋ3	
許	ɕi2	
論	lən5	
訟	soŋ5	
諷	foŋ3	
設	ʂɛ5	
訪	faŋ3	
訣	tɕiɛ2	
訴	soŋ5	
診	tʂən3	
謅	tsəu1	
詞	tsʰɿ2	
試	ʂʅ5	
詩	ʂʅ1	
話	xua5	
詭	kuei3	
該	kai1	
詳	tɕʰiaŋ2	
語	i3	
誤	uə5	
誘	iəu5	
說	ʂo2	
誦	soŋ5	
請	tɕʰin3	
諾	no5	
讀	tuə2	
課	kʰo5	
調	tʰiao2	
調	tʰiao2	~换
調	tiao5	~动
諒	liaŋ5	
諄	tʂuən1	
談	tʰan2	
誼	i5	
謀	məu2	
謊	xuaŋ3	
諺	in2	
謝	ɕiɛ5	
谷	kuə2	
豆	təu5	
豇	kaŋ1	
豌	uan1	
象	ɕiaŋ5	
豪	xao2	
豹	pao5	
豺	tʂʰai2	
貂	tiao1	
貌	mao5	
貝	pei5	
貞	tʂən1	
貢	koŋ5	
責	tsɛ2	
敗	pai5	
貨	xo5	
質	tʂʅ2	
貪	tʰan1	
貧	pʰin2	
貶	pin3	
貳	æ5	
貼	tʰiɛ2	
貴	kuei5	
貿	mao5	
費	fei213	
賀	xo5	
賊	tsei2	
贓	tsaŋ1	
資	tsɿ1	
賒	ʂɛ1	
賭	tuə3	
賞	ʂaŋ3	
賠	pʰei2	
賴	lai213	
贅	tʂuei5	
賺	tʂuan5	
賽	sai5	
贊	tsan5	
贈	tsən5	
贏	in2	
贛	kan5	
赤	tʂʰʅ5	
走	tsəu2	
趙	tʂao5	
趕	kan3	
起	tɕʰi3	
趁	tʂʰən5	
超	tʂʰao1	
越	iɛ2	
趟	tʰaŋ5	
趣	tɕʰi2	
足	tsuə2	
趴	pʰa1	
躍	iao5	
跌	tiɛ2	
跑	pʰao3	
跪	kuei5	
路	luə5	
跳	tʰiao5	
蹺	tɕʰiao1	
踩	tʂʰai3	
踹	tʂʰuai3	
蹄	tʰi2	
蹦	poŋ5	
蹩	piɛ5	
蹬	tən1	
蹲	tən1	
身	ʂən1	
躬	koŋ1	
躱	to3	
躺	tʰaŋ3	
車	tʂʰɛ1	
軌	kuei3	
轉	tʂuan3	
轉	tʂuan5	~圈
輪	lən2	
軟	ʐuan3	
轟	xoŋ1	
輕	tɕʰin1	
載	tsai5	
轎	tɕiao5	
較	tɕiao5	
輛	liaŋ42	
輩	pei5	
輟	tʂʰo5	
辛	ɕin1	
辭	tsʰɿ2	
辣	la2	
辨	pin5	
邊	pin1	
達	ta2	
過	ko5	
邁	mai5	
迎	in2	
運	in5	
近	tɕin5	
還	xai2	
還	xuan53	
這	tʂʅ5	
進	tɕin5	
遠	in5	
違	uei2	
連	lin2	
遲	tʂʰʅ2	
迩	æ3	
迫	pʰɛ2	
迸	poŋ5	
迹	tɕi5	
追	tʂuei1	
退	tʰei5	
送	soŋ5	
逃	tʰao2	
逆	ni5	
選	ɕin3	
透	tʰəu5	
逗	təu1	
通	tʰoŋ1	
逛	kuaŋ5	
逞	tʂʰən3	
速	suə5	
造	tsao5	
造	tsʰao5	
逢	foŋ2	
逮	tai3	
逼	pi2	
遂	sei5	
遍	pin5	
遏	o2	
道	tao5	
遭	tsao1	
遮	tʂɛ1	
鄧	tən213	
那	na5	
那	nai5	
邱	tɕʰiəu1	
鄒	tsəu1	
鄰	lin2	
郎	laŋ2	
鄭	tʂən5	
部	puə5	
郭	ko2	
都	tuə1	
酉	iəu3	
配	pʰei5	
酒	tɕiəu3	
酥	suə1	
酪	lo2	
醬	tɕiaŋ5	
酷	kʰuə5	
酸	san1	
釀	niaŋ2	
醉	tsei5	
醋	tsʰuə5	
采	tsʰai3	
里	li3	
重	tʂoŋ5	
重	tʂʰoŋ2	~复
野	iɛ3	
量	liaŋ5	
量	liaŋ1	商~
金	tɕin1	
針	tʂən1	
釘	tin1	~子
釘	tin5	~钉子
釣	tiao5	
釵	tʂʰai1	
鈍	tən213	
鈔	tʂʰao1	
鋼	kaŋ1	
鑰	io2	~匙
錢	tɕʰin2	
鑽	tsan1	钻洞
鑽	tsan5	钻头
鐵	tʰiɛ2	
鋁	lei3	
鍘	tʂa2	
鋪	pʰuə1	~盖
鋪	pʰuə5	~子
鏈	lin5	
鎖	so42	
鋤	tsʰuə2	
鍋	ko1	
銼	tsʰo5	
銳	ʐuei5	
錯	tsʰo5	
錫	ɕi1	
錐	tʂuei1	
鎮	tʂən5	
鐐	liao2	
鐮	lin2	
鑔	tʂʰa3	
長	tʂaŋ3	
長	tʂʰaŋ2	~度
門	mən2	
閃	ʂan3	
閉	pi5	
問	uən5	
闖	tʂʰuaŋ3	
閏	ʐən5	
闲	ɕin2	
間	tɕin1	
悶	mən5	
鬧	nao5	
閨	kuei1	
聞	uən2	
閲	iɛ5	
闊	kʰo2	
隊	tei5	
阮	ʐuan3	
防	faŋ2	
陽	iaŋ2	
陰	in1	
陣	tʂən5	
階	kai1	
阿	a1	
際	tɕi5	
陸	luə5	
隴	loŋ3	
陳	tʂʰən2	
陋	ləu5	
陌	mo2	
降	tɕiaŋ5	
降	ɕiaŋ2	投~
限	ɕin5	
陝	ʂan3	
陡	təu3	
院	in5	
除	tʂʰuə2	
險	ɕin3	
陪	pʰei2	
隨	sei2	
隔	kɛ5	
隘	ai5	
隧	sei5	
隶	li5	
難	nan2	
難	nan5	灾难
雀	tɕʰio2	
雄	ɕioŋ2	
雅	ia3	
集	tɕi2	
雕	tiao1	
雨	i3	
雪	ɕiɛ2	
零	lin2	
雷	lei2	
震	tʂən5	
黴	mei2	
霍	xo5	
霜	ʂuaŋ1	
霞	ɕia2	
露	luə5	
霸	pa5	
青	tɕʰin1	
非	fei1	
靠	kʰao5	
面	min5	
革	kɛ2	
靶	pa3	
鞋	xai2	
音	in1	
頂	tin3	
順	ʂuən213	
须	ɕi1	
顧	kuə5	
頓	tən213	顿时
領	lin3	
頸	tɕin42	
題	tʰi2	
顔	in2	
額	æ2	
風	foŋ1	
飄	pʰiao1	
飛	fei1	
食	ʂʅ2	
餐	tsʰan1	
飯	fan5	
飽	pao3	
飼	sɿ5	
餌	æ3	
饒	ʐao2	
餅	pin3	
餓	o213	
餒	nei3	
餿	səu1	
饞	tʂʰan2	
首	ʂəu3	
香	ɕiaŋ1	
馬	ma3	
馱	tʰo2	
驢	li2	
駝	tʰo2	
駡	ma5	
驕	tɕiao1	
驗	in5	
騙	pʰin213	
騷	sao1	
騾	lo2	
驟	tsəu5	
骨	kuə2	
骼	kɛ5	
高	kao1	
鬃	tsoŋ1	
鬼	kuei3	
魁	kʰuei2	
魂	xuən2	
魄	pʰɛ2	
魏	uei5	
魔	mo2	
魚	i2	
鮮	ɕin1	
鱉	piɛ1	
鳥	niao2	
雞	tɕi1	
鳴	min2	
鷗	əu1	
鴉	ia1	
鴨	ia2	
鴿	ko2	
鵝	o3	
鵲	tɕʰio2	
鷹	in1	
鹿	luə2	
麥	mɛ5	
麻	ma2	
黃	xuaŋ2	
黑	xɛ2	
默	mɛ5	
鼓	kuə3	
鼠	tʂʰuə42	
鼻	pi2	
鼾	xan1	
齁	xəu1	
齊	tɕʰi2	
齒	tʂʰʅ3	
龍	loŋ2	
龜	kuei1	
