#漢字	音標	解釋
㮇	pʰe6	~笔
桂	kuɛ3	
桃	tʰəu6	
案	ɔ̃5	
桌	põ2	
桌	tʰau6	
桐	tõ2	
桑	sɔ̃3	
桓	huã6	
椏	vɔ1	
槳	tsɛ̃5	
樁	tɕɔ̃1	
桶	tʰõ3	
梁	lɛ̃2	
梅	mu2	
梓	tsɛ3	
梗	kaŋ1	~子
夢	mõ6	
梧	vu2	
梨	lɛ6	
梭	sɛ1	
梯	tʰe1	
械	ka5	
梳	ɕəu1	
檢	kɛ̃5	
棉	mĩ2	
棋	ki2	
棍	kuɐŋ5	
棒	paŋ5	
棕	tsõ1	
棕	tõ6	
棚	pɐŋ2	
棠	tɔ̃2	
森	ɕɐn3	官话借词
棵	tau1	
棺	kũ6	
椅	i5	
植	tɕi6	
椒	tsi1	
橢	tʰuɔ5	官话借词
椿	tsʰɐŋ6	~树
椿	tɕʰɐŋ6	~树
楂	tɕɔ1	
楔	tsĩ1	~子
楚	tsʰu5	
楝	lĩ3	~树
楞	lɐŋ5	
楷	kʰæ5	
樓	lau2	
欖	lã5	橄~
楡	i6	
榜	pɔ̃3	
榨	tɕɔ5	
榴	liɐu2	石~
槌	ti2	
槐	huai6	
檳	pĩ1	
槽	tsəu10	
標	pi1	
樟	tɕɛ̃6	
模	mu6	
橫	vɛ̃2	~直
橫	vɛ̃2	蛮~
樵	tsi1	
橄	kã5	~榄
橘	ki9	
橙	tɕʰɐn6	官话借词
櫓	lu6	
檀	tã2	
檐	ŋ̍6	
欠	çĩ5	
次	tsʰæ5	
歡	huã3	
欣	ɕĩ3	
歐	au1	
欲	i9	
欺	kʰi3	官话借词
款	kʰõ3	
歇	hi7	
歉	hĩ5	
歌	kuɔ1	
止	tɕi3	
正	tɕɐn9	
正	tɕɐn6	~月
此	tsʰɿ5	官话借词
步	pʰu6	
武	vu3	
歪	va1	
歷	li6	
死	sæ3	
殲	tsĩ1	
殃	iɐŋ3	
殉	sĩ9	
殊	tsʰu6	官话借词
殘	tsʰã6	官话借词
殖	tɕi6	
殯	pĩ3	
段	tũ6	
殿	tĩ5	
毀	huei5	
毅	i9	
母	mu5	
每	mu3	
毒	təu8	
比	pɛ3	~较
畢	pɛ7	
斃	pi9	
毛	məu2	
毫	hɔ2	
毯	tʰã3	
氈	tɕã1	
氏	ɕi9	
民	mĩ6	
气	hi5	
水	ɕu3	
永	in5	
永	iõ5	官话借词
汁	tʰɔ̃1	汤的训读
求	kiau2	
漢	hã9	
汗	hɔ̃6	
汞	kõ5	官话借词
江	kaŋ1	
池	tɕʰi6	官话借词
污	vu1	
湯	tʰɔ̃1	
汪	vaŋ3	官话借词
汽	hi5	
沃	vɔ6	
沈	ɕɐn5	官话借词
沉	tiɐŋ2	
沌	tɐn9	
沓	ta8	一~纸
沙	ɕɔ5	
溝	kau1	
沒	məu3	~有
淪	lɐn6	官话借词
滬	fu3	
沫	mɔ6	
河	huɔ6	
油	iau2	
沿	iɛ̃6	官话借词
泄	sɛ6	~漏
泉	tsũ2	
泊	pəu8	
泊	pə6	梁山~，官话借词
法	fa7	
泡	pʰau5	
波	pəu6	
泥	ne2	
泥	ni7	
注	tsu9	
淚	li6	
泰	tʰa5	
瀉	sɛ5	
潑	pʰu7	
澤	tsə6	官话借词
洋	iɐŋ2	
洒	sa7	
洗	sɛ3	
洛	lɔ6	官话借词
洞	tõ5	
津	tsĩ3	
洪	hõ6	官话借词
洲	tɕau1	
活	həu8	
洼	va1	
洽	kʰia6	官话借词
派	pʰa3	
流	tʰu1	
流	le2	
流	liɐu2	
淺	tsʰĩ3	
漿	tsɛ̃5	
濁	tɕəu8	
測	tsʰə6	官话借词
濟	tsi9	
渾	huɐŋ1	
滸	fu3	
濃	nõ2	
浙	tɕi7	
浜	pɐŋ1	一条~
浦	pʰu3	
浪	lɔ̃5	
浮	fu2	
浴	i9	
海	hæ3	
浸	tsɐŋ5	
涂	tʰu6	官话借词
消	si1	
消	sau5	
涉	ɕɛ6	
涕	tʰe5	鼻~
潤	ĩ9	
漲	tɕɛ̃3	
澀	ki7	
液	i6	官话借词
淋	liã2	~漓
淑	ɕu6	官话借词
淘	tʰəu6	~米
淡	tʰã3	
淤	pʰiã6	
淫	ȵɐŋ6	
淮	huai6	
深	ɕaŋ1	
深	ɕɐŋ1	
深	ɕɐn3	官话借词
混	huɐŋ6	
添	tʰĩ1	
淸	tsʰɐn1	
淵	iɛ̃3	官话借词
漸	tɕɛ̃9	
漁	ȵu2	
滲	tɕʰã5	水~
渡	tu9	
渣	tɕɔ1	
溫	vɐŋ1	
港	kaŋ5	官话借词
渴	həu7	
游	iau2	
湖	fu2	
湘	siã3	官话借词
湧	iõ3	
灣	vã1	
溼	ɕiɛ7	
源	iɛ̃6	官话借词
溜	liɐu3	
溪	hi1	
滂	pʰaŋ6	官话借词
滑	va8	
滔	tʰau3	
滾	kuɐn3	~泥
滾	kuɐŋ3	~水
濾	li6	
濫	lã6	
灘	tʰã1	
滴	te7	
滷	lu6	
漂	pʰi1	
漂	pʰi1	~亮
漆	tsʰɛ8	
漏	lau6	
演	vĩ3	
漚	au5	久浸水中
漫	mã6	
漱	vã2	~口
漱	lɔ̃5	~口
潘	pʰõ1	
潛	tsʰɛ̃6	
潭	tã2	
潮	tsʰau6	官话借词
澄	tʰɐn6	~一~
激	ki6	官话借词
濽	tsʰã5	溅
瀑	pʰu6	~布
灌	kuã9	
火	fə3	
滅	mɛ8	
燈	tɐŋ1	
灰	huei3	
靈	lɐn6	
竈	tsəu5	
灸	kiau3	针~
災	tsɛ3	官话借词
爐	lu2	
炎	ȵĩ2	
炒	tɕʰɔ3	
炕	kʰã9	
炙	tɕi7	
炭	tʰã5	
炮	pʰau5	枪~
炸	tɕɔ5	用油~
點	tĩ3	
爛	lã6	
烈	lɛ6	官话借词
烘	hɔ̃5	~干
烙	lɔ6	官话借词
燭	ti7	
烟	ĩ1	
烟	hɔ7	~壳
煩	fã2	
燒	ɕi1	
燙	tʰɔ̃1	
熱	ȵi8	
烹	pʰɐn3	官话借词
焉	iɛ̃3	官话借词，心不在~
煥	huã9	
焚	fɐn6	官话借词
焦	tsi1	
焰	iɛ̃9	
然	iɛ̃6	官话借词
煎	tsĩ1	
煤	mu2	
照	tɕi5	
煨	ɕi1	
煮	tɕu3	
熄	si6	官话借词
熊	iõ2	
熏	ɕiɐŋ1	
煕	hi3	
熟	ɕəu8	煮~
熨	tʰɔ̃6	
熬	ŋau2	
燃	ĩ2	
燕	ĩ3	京燕子
燦	tsʰã5	
爪	tɕau3	~牙
爬	piã2	
愛	æ5	
爵	tsuɛ9	
父	iɛ1	
爺	kõ1	
爸	iɛ1	
爹	iɛ1	
爽	ɕɔ̃3	
片	pʰĩ5	
版	pã3	
牌	pa2	
牒	ti8	
牙	ŋɔ2	
牛	ȵau2	
牡	məu5	
牢	ləu10	
牧	mu6	官话借词
物	ʔu6	官话借词
牯	ku3	
牲	ɕɐn3	官话借词
牽	hĩ1	
牸	tsɛ3	~牛
特	tʰəu6	
犧	hi3	
犁	le2	
犬	kʰɛ̃5	官话借词
犯	fã3	
狀	tɕʰɔ̃6	
狂	kʰuɐŋ6	
狄	te7	
狐	fu2	
狗	kau3	
獨	tu6	官话借词
狹	ha8	
獅	sa6	
獄	iu6	官话借词
狸	li1	野~
狼	lɔ̃2	
獵	lɛ8	
猛	mɔ̃3	
猜	tsʰa1	
猝	tse7	
豬	ti1	
豬	sau5	
貓	mau6	
蝟	vei9	
獻	ɕɛ̃9	
猴	hau6	
猾	va8	狡~
獺	hau2	水~
玄	ɕɛ̃6	官话借词
率	ɕɔ6	~领
率	li6	官话借词
玉	ȵu6	
王	ɔ̃2	
環	huã6	
玻	pəu6	
珍	tɕɐn3	官话借词
珠	tɕəu1	
班	pã1	
球	kiau2	
理	læ3	
琉	liɐu2	~璃
瑣	sɛ3	
琢	tɕɔ6	
琴	kiɐŋ2	
琵	pʰɛ6	~琶
琶	pɔ2	
瓊	kiɐŋ2	
瓊	kʰin6	官话借词
瑞	ɕuei9	
璧	pi5	官话借词
璺	hã5	裂
瓜	kuɔ1	
瓠	fu2	
瓢	pi2	
瓣	pã5	
瓤	ȵɐŋ2	
瓤	kiɐŋ6	
瓦	ŋuɔ3	
甁	pɐn2	
甕	tsɐn1	
甘	kɐŋ3	
甘	kã3	官话借词
甚	ɕɐn9	
甜	tĩ2	
生	ɕɛ̃1	
甥	ɕɛ̃1	
用	iõ6	
甫	pʰu5	官话借词
田	tĩ2	
由	iau2	
甲	ka7	
申	ɕɐn3	官话借词
電	tĩ5	
男	nã2	
畫	fɔ6	
暢	nã9	
界	ka5	
留	liɐu6	官话借词
畜	tɕʰəu7	~牲
畜	tɕʰu6	官话借词，~牧
略	niɔ6	
畦	sɛ̃1	菜~
番	fã1	
疆	kʰiɐŋ3	
疏	ɕəu1	
疏	su3	官话借词
疑	i6	
療	tɐn1	
瘧	niɔ6	
瘍	iɐŋ2	
疤	pɔ1	
疫	iu6	官话借词
瘡	tɕʰɔ̃1	
瘋	fõ3	官话借词
疲	pʰi6	官话借词
疹	tɕɐn5	官话借词
疾	tsɛ8	
痂	kɔ1	
病	pʰɐn6	
症	tɕɐn9	
痒	iɐŋ3	
痔	tɕi5	
痕	hɐn6	官话借词
痛	tʰõ5	
痢	lɛ6	
痣	tɕi5	
痰	tã2	
痱	fɛ5	~子
癡	mau5	
痹	pi9	
瘟	vɐŋ1	
瘦	ɕau5	
瘴	tɕaŋ3	
瘸	kua3	
癩	la6	
癬	iõ1	
癬	sĩ3	
癸	kʰuei6	
登	tɐŋ1	
白	pe8	
百	pe7	
的	ti6	官话借词，目~
的	ti3	慢慢~
皇	vɔ̃2	
皮	pɛ2	
皺	ȵau5	
皿	min6	官话借词
盅	tɕõ1	
盆	paŋ2	
盈	ȵɐŋ6	
益	i6	官话借词
盞	tɕã3	
鹽	ĩ2	
鹽	ĩ6	醃
監	kã9	国子~
監	kɛ̃3	官话借词，~察
盒	hɔ7	
盖	kæ5	
盜	tau9	
盤	pʰõ6	
盛	ɕɐŋ2	~满了
盟	min6	官话借词
盬	ku3	
目	mu6	官话借词
盲	maŋ6	官话借词
直	tiɔ8	
相	sɛ̃5	~貌
相	siã3	官话借词，互~
盼	pã5	
盾	tɐn9	
省	ɕɛ̃3	
省	sɐn5	反~，官话借词
省	sin5	官话借词，反~，新派
省	ɕɐn5	官话借词，~长
省	ɕɐn5	官话借词，节~
眉	me2	
看	hɔ̃5	~见
看	hɔ̃5	~守
眞	tɕɐŋ1	
眠	mɛ̃6	
眨	tɕa7	~眼
眶	kʰuɐŋ3	官话借词
眼	ŋã3	
着	ti7	~衣
着	ti8	睡~
睜	tɕɐn3	官话借词
睛	tsɐn1	眼~
睡	ɕu6	
督	tu6	官话借词
睬	tsʰɛ5	官话借词
瞎	ha7	
瞞	mõ2	
瞪	tɐŋ5	
瞳	tʰõ6	官话借词
矛	mau2	
矩	ki3	
短	tũ3	
矮	a3	
石	ɕɛ8	~匠
石	ɕi8	单念
礬	fã2	
礦	kʰɔ̃5	
碼	mɔ3	
砌	tsʰe5	
砍	kʰã3	
磚	tɕũ1	
破	pʰəu5	
硝	si1	
硫	liɐu6	官话借词，~黄
硬	ŋɛ̃6	
礙	ŋæ6	
碎	se5	
碑	pɛ1	
碓	tu5	
碗	ŋ̍3	
碟	ti8	
碧	pi5	官话借词
碾	nĩ3	
磁	tsʰɿ6	~石，官话借词
磉	tiã1	柱下石
磕	kʰɔ7	
磕	kʰəu7	
磨	məu2	~刀
磨	məu6	石~
礎	tsʰu5	
示	sɿ9	
禮	lɛ3	
禮	le3	
社	ɕɛ3	
祁	kʰi6	
祈	kʰi6	
祐	iau6	
祖	tsu3	
祝	tɕu6	
神	ɕɐŋ2	
祠	tsʰæ6	
祥	tsʰiɐŋ6	官话借词
票	pʰi5	车~
祭	tsi9	
禍	fə6	
禁	kiɐŋ5	~止
祿	lu6	官话借词
福	fəu7	
禹	i5	
离	lɛ2	~别
禽	kʰĩ6	官话借词
禾	və2	
私	sɛ1	
禿	tʰa7	
秉	pɐn3	
秋	tsʰiɐu1	~天
秋	tsʰiɐu1	~千
種	tɕõ3	~类
種	tɕõ5	~树
科	kʰɔ1	
秕	pʰi7	~子
秘	mɛ1	
租	tsəu1	
秤	tɕʰɐŋ5	
秦	tsã2	
秧	iɐŋ1	
秩	tɕʰi6	官话借词
積	tse7	
稱	tɕʰɐŋ1	~呼
稱	tɕʰɐŋ5	相~
移	i2	
程	tɕʰɐn6	官话借词
稅	ɕu5	
稗	pʰa6	
稚	tɕi9	幼~
穩	vɐŋ3	
稿	kəu3	
穀	kəu7	
穆	mu6	官话借词
穗	ɕĩ5	
究	kiɐu9	
窮	kiõ2	
空	kʰõ3	~虚
空	hõ5	~缺
穿	tɕʰũ1	
突	tʰu6	官话借词
窯	i2	
窖	kau5	
窗	tsʰɔ̃1	
竄	tsʰuã9	
窩	və1	
窟	kʰu3	官话借词
立	lɛ8	站~
豎	su3	
站	lɛ8	
站	tsã5	车~
競	kin9	~争
竟	kin9	~然
章	tɕɛ̃1	
童	tʰõ6	官话借词
端	tã3	官话借词
竹	ti7	
竿	kɔ̃1	竹~
篤	tu6	官话借词
笑	si5	
筆	pɛ7	
笙	ɕɐn3	官话借词
笛	ti8	
笠	lɛ9	
符	fu2	
笨	pʰɐŋ6	
第	tʰe6	
箋	tsʰɛ̃1	
籠	lõ2	
等	tɐŋ3	
筋	kiɐŋ1	
筏	fa6	官话借词
筐	kʰuɐŋ3	官话借词
筑	tɕu6	
筒	tõ2	
答	ta7	
策	tsʰə6	官话借词
篩	ɕa1	~子
箏	tɕɐn3	官话借词
筵	iɛ̃6	官话借词
筷	tʰi6	
签	tsʰĩ1	
簡	kĩ3	
箍	ku1	
算	sũ5	
管	kũ3	
籮	luɔ2	
簫	si1	
箭	tsĩ5	
箱	sɛ̃1	
箸	tʰi6	
範	fã9	
篆	tsuã9	
篇	pʰĩ1	
簍	lau3	
篙	kəu1	
篡	nã9	
篦	pʰɛ6	
籃	lã1	
籬	lɛ2	
篷	pɐŋ2	
篾	mi8	竹~
簟	ta7	席
簧	vɔ̃2	
簪	tsã1	
簸	pəu5	
簾	lĩ2	
簿	pa2	
簿	pʰu6	
籍	tsi6	官话借词
籤	tsʰĩ1	
米	me3	
粉	fɐŋ3	
粒	lɛ7	
粗	tsʰəu1	
粟	səu7	
粵	iɛ7	
粥	tɕəu7	
糞	fɐŋ5	
糧	lɛ̃2	
粱	lɛ̃2	
糉	tsõ3	
精	tsin3	
糕	kəu1	
糖	tɔ̃2	
糙	tsʰəu5	~米
糟	tsəu1	
糠	hɔ̃1	
糯	nɛ6	
糰	tũ6	
系	hi9	
索	səu7	
緊	kiɐŋ3	
紫	tsɛ3	
紮	tɕa7	
累	le6	~积
累	nã5	极困
累	lu6	连~
絍	ȵɐŋ6	缝~
綑	kʰuɐn3	
綑	kʰuɐn5	官话借词
繁	fã2	
纂	tsã9	编~
糾	kiɐu3	官话借词，~缠
糾	kiɐu3	官话借词，~正
紅	hõ2	
紂	tɕəu9	~主
級	ki6	官话借词
紀	ki3	~律
緯	ve5	官话借词
純	sɐn6	官话借词
紗	ɕɔ1	
綱	kaŋ3	官话借词
納	na6	官话借词
縱	tsõ9	~横
縱	tsõ9	放~
紛	fɐŋ1	
紙	tɕi3	
紋	vɐŋ2	
紋	vɐn6	官话借词
紡	fɔ̃3	
紐	niɐu5	官话借词
線	sĩ5	
練	lĩ6	
組	tsu3	
細	se5	
織	tɕɔ7	
終	tɕõ3	官话借词
縐	ȵau5	
紹	sau9	
經	kɐn1	
經	kĩ3	官话借词，~纬
綁	pɐŋ3	
絨	iõ6	官话借词
結	ki7	
繪	fɔ6	
絡	lɔ6	官话借词
絕	tse6	官话借词
統	tõ5	
絹	kɛ̃3	官话借词
繡	siɐu5	
綏	se5	
繼	ki3	
績	tɕi6	
續	su6	官话借词
繩	ɕã2	
維	ve6	官话借词
綿	mɛ̃6	
綢	tɕʰau6	
綜	tsõ3	
綻	tɕã9	破~
綠	li8	
緬	mɛ̃5	
纜	lã6	
緝	tsi6	官话借词，~鞋口
緞	tũ6	
緩	huã5	
縷	tsɛ3	官话借词
編	pʰĩ1	
緣	vĩ6	
縛	fəu8	
縫	fõ2	~衣服
縫	hã5	一条~
纏	tɕã2	
纓	ĩ3	官话借词
縮	səu7	
繮	kʰiɐŋ3	
繳	ki3	上~
缸	kaŋ3	官话借词
缺	kʰui1	
罐	kuã9	
网	mɔ̃3	
罕	hã6	
羅	luɔ2	
罰	fa6	官话借词
罷	pa9	
罩	tɕau5	
罪	tsʰu3	
置	tɕi6	
署	ɕu6	
羊	iɐŋ2	
羌	kiɐŋ3	
美	me5	
羔	kau3	官话借词
羞	pʰe3	
羡	ɕĩ5	
羣	kʰĩ6	官话借词
羹	kɛ̃1	
羽	i5	
翅	tɕi5	
翎	lĩ6	官话借词
翠	e9	
翻	fã1	
翼	i9	
耀	iau9	
老	ləu3	
考	kʰa3	
考	kʰau3	
耍	ɕɔ5	
耐	næ6	
耕	kɐn3	官话借词
耗	hau9	
耙	pɔ2	
耳	ȵi3	
耳	ŋ̍3	~朵
耶	iɛ1	
恥	tɕʰi5	
耽	tã3	官话借词
耿	kɐn5	
聶	niɛ6	官话借词姓
聊	liau6	官话借词
聾	lõ2	
職	tɕi6	
聯	lĩ6	
聘	pʰin9	
聰	tsʰõ6	
肅	su6	官话借词
肄	i9	
肆	sɛ5	
肉	ȵəu8	
肋	lɔ6	
肌	ke1	
肚	tu3	
肝	kɔ̃1	
腸	tɛ̃2	
股	ku3	
肢	tɕi1	
肥	iõ1	
肥	fɛ2	
肩	kɛ̃3	官话借词
肪	fɔ̃1	
骯	aŋ3	官话借词
肯	kʰɐn5	官话借词
育	iu6	官话借词
肺	fe5	
腎	ɕɐn9	
脹	tɛ̃5	
胃	vei9	
膽	tã3	
背	pʰu6	~诵
胎	tʰa1	
胖	pʰaŋ5	
胛	kia6	肩~，官话借词
勝	ɕɐn5	~败
勝	ɕɐn9	~任
胞	pau1	
胡	fu2	
胳	kuɔ6	官话借词
胸	ɕiõ3	
能	nɐŋ2	
脂	tɕi1	
脅	ɕiɛ6	官话借词
脆	tsʰe5	
脉	me8	
脊	tsi7	
脏	tsaŋ3	官话借词
腦	nəu3	
膿	nõ2	
脚	ki7	
脯	pʰu6	
脫	tʰu7	老派
臉	mĩ6	
脾	pʰi6	官话借词
臘	la8	
腋	i6	官话借词
腌	ĩ6	
腐	fu6	
腑	fu5	
腔	kiaŋ3	官话借词
腕	vã1	
腥	sɐn1	
腫	tɕõ3	
腮	ɕa1	
腰	i1	
腱	kɛ̃9	
腹	fu6	官话借词
膩	nɛ6	
騰	tɐŋ2	
腿	tʰe1	
膏	kau3	官话借词
膠	kiau3	官话借词
膨	pʰɔ̃2	~胀
膳	ɕã9	
臂	pi9	
臣	tɕʰɐn2	
自	tsɛ6	
臭	tɕʰau5	香~
至	təu5	
致	tɕi9	
臻	tɕɐn3	官话借词
臼	kiɐu3	
舀	i3	~水
舂	tɕʰõ6	~米
舅	kʰiau3	
舌	ɕi8	
舐	tʰɛ̃5	以舌取物
舒	ɕu1	
舔	liã5	以舌取物
舜	sɐn9	
舞	vu3	
航	hɐŋ6	
般	pã1	
艙	tʰəu6	
船	ɕũ2	
艇	tʰĩ5	
艦	kã9	
良	liɐŋ6	官话借词
艱	kɛ̃3	官话借词
色	ɕɔ7	
豔	iɛ̃9	
藝	i9	
艾	ŋæ6	
節	tsi7	
芋	iu6	
芒	maŋ6	官话借词
芙	fu2	
芝	tɕi3	官话借词
芥	ka5	
蘆	lu2	
芬	fɐŋ1	
芭	pɔ6	
花	fɔ1	
芳	fɔ̃1	
芹	kʰiɐŋ6	
芽	ŋɔ2	
蒼	tsʰaŋ3	官话借词
苏	səu1	
苔	ta2	
苗	mi2	
苗	miau6	官话借词
苟	kau3	
苦	kʰu3	
英	ĩ3	官话借词
范	fã9	
茄	kʰi6	
茅	mau2	
繭	kĩ3	
茫	maŋ6	官话借词
茶	tɕɔ2	
茸	iõ2	参~
荀	sɐn6	官话借词
荆	kin3	官话借词
草	hau1	
草	tsʰəu3	
薦	tsɛ̃9	
荒	fɔ̃1	
薺	e6	
蕩	tʰɔ̃6	放~
榮	iõ6	官话借词
葷	ɕiɐŋ1	
蔭	iɐŋ1	屋子很~
荷	huɔ2	~花
荷	həu5	薄~
莫	məu8	
蓮	lĩ2	
获	hɔ6	官话借词
蓴	sɐn6	官话借词
莽	mɔ̃3	
菊	ki7	
菌	kʰiɐŋ6	
菖	tɕʰɐŋ3	官话借词，~蒲
菜	tsʰa5	
菢	pʰəu6	~小鸡
菩	pʰu6	
菩	ni7	
菱	lĩ6	官话借词
萌	mɐŋ6	
萍	pĩ2	
螢	ȵiã6	
營	ȵiã6	
蕭	si1	
薩	ɕa1	
薩	ni7	
落	ləu8	
著	tɕu9	显~
葛	kəu7	
董	tõ3	
葬	tsɔ̃5	
葱	tsʰõ1	
葵	kʰuei6	
蔣	tsɛ̃3	
蒙	mɐŋ1	
蒜	sũ5	
蒲	pʰu6	
蒸	tɕɐŋ1	
蒿	həu1	蓬~
蓄	tɕʰu6	官话借词，储~
蓉	iõ6	官话借词，芙~
蓑	sɛ3	
蓖	pʰɛ6	~麻
藍	lã2	
蓬	pɐŋ2	
蔓	mã9	
蔡	tsʰɛ5	
蔫	lɐn3	花萎
蔫	kʰiau6	食物不新鲜
蔬	su3	官话借词
蕉	tsi1	芭~
薄	pəu8	
薄	pəu3	~荷
薅	hau1	~田
薑	kɛ̃1	
薛	si7	
薪	sɐŋ1	
薯	ɕu2	
薰	ɕiɐŋ1	
藉	tsi6	官话借词，狼~
藏	tsaŋ9	西~
藏	tsɔ̃2	隐~
藕	ŋau3	
藤	tɐŋ2	
藩	fã3	
藿	hɔ6	官话借词
蘸	tɕã5	~酱油
虎	fu3	
虜	lu6	
虐	niɔ6	
慮	li6	
虛	çiɐu1	
蟲	tiõ2	
蝨	ɕɛ7	
虹	hõ6	官话借词
虻	maŋ6	官话借词，牛~
蝦	hɔ1	
蟻	ȵi3	
蚊	mɐŋ5	
蚌	pʰɐŋ6	
蠶	tsã2	
蚣	kõ1	蜈~
蚤	tsəu3	
蛀	tsu5	
蛆	tsʰəu1	
蛇	ɕɛ2	
蛋	tʰã6	
蠻	mã2	
蟄	tɕiɔ8	惊~
蟄	tɕɐŋ1	蝎子~人
蛾	ŋuɔ2	
蜀	tɕu6	
蜂	fõ1	
蜈	vu2	
蜋	laŋ6	官话借词
蜓	tʰin6	官话借词，蜻~
蛻	tʰũ5	~皮
蜜	mɛ8	
蠟	la8	
蜻	tsʰɐn1	~蜓
蠅	ĩ3	官话借词
蝗	vɔ̃2	
蝙	pĩ1	
蝠	fu6	官话借词，蝙~
蝶	ti8	
融	iõ2	
螳	tɔ̃2	
螺	lɛ6	
蟒	mɔ̃3	
蠢	tɕʰɐŋ3	
血	fi7	
行	iɛ̃2	~走
行	ɕĩ6	官话借词，~为
行	ɕĩ6	官话借词，品~
行	vɔ̃2	银~
銜	hã6	
銜	hɛ̃6	
街	ka1	
衙	ŋɔ6	
衝	tɕʰõ1	
衡	hɐn6	官话借词
衣	i1	
補	pu3	
表	pi3	
衫	ɕã1	
襯	tɕʰɐn9	
衰	sɛ1	
袁	iɛ̃6	官话借词
袋	tʰæ6	
袍	pəu2	
袖	tsʰiɐu6	
袜	ma8	
被	pʰɛ3	~子
被	pe9	~打
襲	si6	官话借词
裁	tsʰɛ6	
裂	lɛ6	官话借词
裝	tsa5	
裝	tɕaŋ3	官话借词
裌	ka7	~衣
裙	kiɐŋ2	
褲	fu5	
襉	kĩ3	
裳	ɕɛ̃2	
複	fu6	官话借词
褥	iu6	官话借词
襄	siã3	官话借词
西	se1	
要	iau3	~求
要	i5	想~
覆	fu6	官话借词
見	kĩ5	
觀	kuã3	参~
規	kuɛ5	
覓	mi8	
視	sɿ9	
覽	lã5	
覺	kau5	睡~
角	kɔ7	
解	ka3	姓
解	ka3	晓也
解	ka3	讲~
觸	tɕu6	
言	iɛ̃6	官话借词
譽	i9	
謄	tɐŋ2	
警	kin5	
訂	tʰɐn6	~约
認	ȵɐŋ6	
讓	ȵɐŋ6	
託	tʰəu7	
訓	æ3	
訓	ɕĩ9	
議	i9	
訊	sĩ9	
記	ki5	
講	kaŋ3	
許	hi5	官话借词
論	lɐn9	~语
論	lɐn9	议~
訟	sõ9	
諷	fõ5	官话借词
設	ɕɛ6	
訪	faŋ5	官话借词
訣	kʰui1	
证	tɕɐn9	
識	ɕi6	官话借词
詐	tɕɔ5	
診	tɕɐŋ3	
診	tɕɐn5	官话借词
譯	i6	官话借词
試	ɕi5	
詩	ɕi1	
誠	tɕʰɐn6	官话借词
誅	tɕu3	
話	vɔ6	
誕	tã9	
詭	kuɛ3	
該	kʰa1	
詳	tsʰiɐŋ6	官话借词
誣	vu1	
語	i5	
誤	vu9	
誘	iɐu9	
說	ɕɔ6	官话借词
誦	sõ9	
請	tsʰɐn3	
諸	tɕu3	
諾	nɔ6	官话借词
讀	æ3	
課	kʰɔ5	
調	ti5	~动
調	ti5	音~
諒	liɐŋ9	
談	tã2	
誼	i9	
謀	mau2	
諜	tiɛ6	官话借词
諫	kĩ3	
讒	tɕã2	
諺	iɛ̃9	
謎	mi6	
謝	tsʰɛ6	
謠	iau6	
謗	pã5	官话借词
謙	kʰɛ̃3	官话借词
譚	tã2	
譜	pʰu5	
谷	kəu7	
豆	tʰau6	
豇	kaŋ6	
豉	ɕi6	豆~
豌	vã6	~豆
豚	tʰɐn6	官话借词
象	sɛ̃5	
豪	hau6	
豫	i9	
豹	pa3	
豺	tsa2	
貂	ti1	
貌	mau9	
貞	tɕɐn3	官话借词
負	fu9	
貢	kõ9	
財	tsʰɛ6	
責	tɕe7	
賢	ɕɛ̃6	官话借词
敗	pʰa6	
賬	tɕɛ̃5	
貨	fə5	
質	tɕi6	
販	fã3	
貪	tʰã1	
貧	pʰĩ2	
貶	pin3	
購	kəu9	
貫	kuã9	
貳	ȵi6	~心
賤	tsʰĩ6	
貼	tʰi7	
貴	kuɛ5	
貸	tæ5	
費	fe5	~用
賀	həu6	
賀	huɔ9	
賊	tsɔ8	
賂	lu6	
賒	ɕɛ1	
賭	tu3	
贖	ɕəu8	
賞	ɕɛ̃3	
賜	tsʰɛ5	
賠	pu2	
賴	la6	
贅	tɕe9	
賺	nã6	
賽	sɛ9	
贊	tsã9	
贈	tsɐn9	
贏	ŋɐn2	
赤	tɕʰi6	官话借词
赦	ɕɛ3	
走	tsau3	
赴	fu9	
趙	tɕʰi6	
趕	kɔ̃3	
起	hi3	
趁	tɕʰɐŋ3	
超	tsʰau3	
越	iɛ6	官话借词
趟	tʰɔ̃5	
趣	tsʰi5	
足	tsu6	官话借词
趾	tɕi3	
躍	kĩ3	
跌	tɛ7	
跌	pɔ8	
跛	kua3	
跟	kɐŋ1	
跡	tse7	
跪	kʰuɛ6	
路	lu6	
跳	tʰi5	
踐	tsɛ̃5	官话借词
踏	tʰa7	
踢	tʰi7	
蹤	tsõ1	
踱	tɔ6	
蹄	te2	
躡	niɛ6	官话借词
蹲	tsɐŋ2	
身	ɕɐŋ1	
躲	pəu2	
躺	tʰaŋ5	官话借词
車	tɕʰɛ1	
車	kiɐu1	~马炮
軋	tɕa7	被车~
軌	kuɛ3	
轉	tɕũ3	
轉	tĩ5	~螺丝
軛	e7	
輪	lɐn2	
輪	lɐn6	官话借词
軟	ŋĩ3	
轟	hõ3	
軸	tɕu6	
輕	hɐn1	~重
轎	kiau9	
較	ɕiau9	
輛	liɐŋ5	
輯	tsi6	官话借词，编~
輸	ɕəu1	
輸	su3	官话借词，运~
