#漢字	音標	解釋
#簡稱	/	宜昌
#全稱	/	宜昌話
#聲母	/	
#韻母	/	
#聲調	/	35 1 1a 陰平 ꜀,212 2 1b 陽平 ꜁,32 3 2 上 ꜂,24 5 3 去 ꜄
#版本	/	2022-03-10
#錄入人	/	峽江流月
#參考資料	/	《宜昌方言研究》
#說明	/	
垮	kʰua3	
埋	mai2	
城	tsʰən2	
埠	pu4	商～
埠	fu4	
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tuei1	
墮	tuo4	
堡	pau3	
堤	tʰi2	
堪	kʰan1	
堵	tu3	
塌	tʰa2	
塑	suo2	
塔	tʰa2	
塘	tʰaŋ2	
塞	sɤ2	
填	tʰiɛn2	
境	tɕyn4	
墅	su4	
墓	mo4	
牆	tɕʰiaŋ2	
增	tsən1	
墟	ɕy1	
墨	mɤ2	
墩	tən1	
壁	pi2	
壇	tʰan2	
壑	xuo2	
壤	ʐaŋ3	
士	sɿ4	
壬	ʐən2	
壯	tsuaŋ4	
殼	kʰuo2	
壺	xu2	
處	tsʰu3	相～
處	tsʰu4	～所
備	pei4	
复	fu2	
夔	kʰuei2	
夕	ɕi2	
多	tuo1	
够	kəu4	
夥	xuo3	
大	ta4	～小
大	tai4	～夫
天	tʰiɛn1	
太	tʰai4	
夫	fu1	
夯	xaŋ1	
失	sɿ2	
頭	tʰəu2	
夾	tɕia2	
奪	tuo2	
奩	niɛn2	
奇	tɕʰi2	
奈	nai4	
奉	foŋ4	
奮	fən4	
奎	kʰuei2	
奏	tsəu4	
契	tɕʰi4	
奔	pən1	
獎	tɕiaŋ3	
套	tʰau4	
奚	ɕi1	
奠	tiɛn4	
奢	sɤ1	
女	ny3	
奴	nu2	
奶	nai3	
奸	tɕiɛn1	
好	xau3	～坏
好	xau4	喜～
如	ʐu2	
妃	fei1	
妝	tsuaŋ1	
婦	fu4	
媽	ma1	
妊	ʐən4	
妓	tɕi4	
妙	miau4	
妥	tʰuo3	
妨	faŋ2	
妬	tu4	
妹	mei4	
妻	tɕʰi1	
妾	tɕʰie4	
姊	tsɿ3	
始	sɿ3	
姐	tɕie3	
姑	ku1	
姓	ɕin4	
姘	pʰin1	
姜	tɕiaŋ1	
姦	tɕiɛn1	
姪	tsɿ2	
姬	tɕi1	
姿	tsɿ1	
嬌	tɕiau1	
娑	suo1	婆～
娘	niaŋ2	
娠	sən1	
娠	tsʰən2	又
娩	miɛn3	
娶	tɕʰy3	
婆	pʰo2	
婚	xuən1	
婢	pei1	
婪	nan2	
嬸	sən3	
婿	ɕi2	
媒	mei2	
媚	mei2	
媳	ɕi2	
媾	kəu4	
嫁	tɕia4	
嫂	sau3	
嫌	ɕiɛn1	
嫩	nən4	
嬉	ɕi1	
孀	suaŋ1	
子	tsɿ3	
孑	tɕie2	
孓	tɕye2	孑～
孔	kʰoŋ3	
字	tsɿ4	
存	tsʰən2	
孫	sən1	
孝	ɕiau4	
孟	moŋ4	
季	tɕi4	
孤	ku1	
學	ɕio2	
孩	xai2	
孽	nie2	
寧	nin2	
它	tʰa1	
宅	tsʰɤ2	
守	səu3	
宋	soŋ4	
宏	xoŋ2	
宕	taŋ4	
宗	tsoŋ1	
官	kuan1	
宙	tsəu4	
定	tin4	
寶	pau3	
實	sɿ2	
寵	tsʰoŋ3	
審	sən3	
客	kʰɤ2	
宣	ɕyɛn1	
室	sɿ2	
宦	xuan4	
宮	koŋ1	
宰	tsai3	
害	xai4	
宵	ɕiau1	
家	ka1	～～
家	tɕia1	
寬	kʰuan1	
賓	pin1	
宿	səu2	～舍
寂	tɕi2	
寄	tɕi4	
密	mi2	
寇	kʰəu4	
富	fu4	
寐	mei4	
寒	xan2	
寢	tɕʰin3	
寞	mo2	
察	tsʰa2	
寡	kua3	
寥	niau4	
寨	tsai4	
寸	tsʰən4	
對	tuei4	
寺	sɿ4	
導	tau4	
壽	səu4	
封	foŋ1	
射	sɤ4	
將	tɕiaŋ1	～来
將	tɕiaŋ3	
將	tɕiaŋ4	大～
尊	tsən1	
小	ɕiau3	
尖	tɕiɛn1	
尘	tsʰən2	
尚	saŋ4	
嘗	saŋ2	
尬	kai4	
就	tɕiəu4	
尷	kan1	～尬
屍	sɿ1	
尺	tsʰɿ2	
尼	ni2	
尽	tɕin4	
尿	niau4	
局	tɕy2	
屁	pʰi4	
層	tsʰən2	
居	tɕy1	
屈	tɕʰy2	
屉	tʰi4	
屆	kai4	
屎	sɿ3	
屏	pʰin2	
屐	tɕi2	
屑	ɕye2	
展	tsan3	
屠	tʰu2	
屢	ni3	
屣	ɕi3	
履	ny3	
屯	tʰən2	
山	san1	
歲	suei4	
豈	tɕʰi3	
岐	tɕʰi2	
岑	tsʰən2	
岔	tsʰa4	
崗	kaŋ4	
島	tau3	
岭	nin3	
峙	tsɿ4	
峽	ɕia2	
峯	foŋ1	
崑	kʰuən1	
崔	tsʰuei1	
崛	tɕye2	
崩	poŋ1	
嵌	kʰan1	白
嵌	tɕʰiɛn2	文
嵩	soŋ1	
川	tsʰuan1	
州	tsəu1	
巡	ɕyn2	
巢	tsʰau2	
工	koŋ1	
左	tsuo3	
巧	tɕʰiau3	
巨	tɕy4	
差	tsʰai1	出～
巳	sɿ4	辰～
巴	pa1	
巷	xaŋ4	白
巷	ɕiaŋ4	文
巾	tɕin1	
幣	pi4	
市	sɿ4	
布	pu4	
帥	suai4	
帆	fan2	
師	sɿ1	
希	ɕi1	
帳	tsaŋ4	
帕	pʰa4	
帚	tsʰu2	
帚	tsəu3	
帛	pɤ2	
帝	ti4	
帶	tai4	
席	ɕi2	
幫	paŋ1	
常	saŋ2	
帽	mau4	
幌	xuaŋ4	
幔	man4	
干	kan1	
干	kan1	～湿
干	kan4	
平	pʰin2	
年	niɛn2	
并	pin4	
幸	ɕin4	
幻	xuan4	
廣	kuaŋ3	
莊	tsuaŋ1	
慶	tɕʰin4	
庇	pʰi3	
牀	tsʰuaŋ2	
序	ɕy4	
廬	nu2	茅～
庫	kʰu4	
底	ti3	
店	tiɛn4	
廟	miau4	
庚	kən1	
府	fu3	
龐	pʰaŋ2	
廢	fei4	
度	tuo2	揣～
度	tu4	
座	tsuo4	
庭	tʰin2	
庶	su4	
康	kʰaŋ1	
廉	niɛn2	
廊	naŋ2	
廓	kʰuo2	
廖	niau4	
廩	nin3	
廷	tʰin2	
開	kʰai1	
弃	tɕʰi4	
弄	noŋ4	
弊	pi4	
式	sɿ4	
弓	koŋ1	
弗	fu2	
弘	xoŋ2	
弟	ti4	
張	tsaŋ1	
弥	mi2	
弦	ɕiɛn2	
弱	ʐuo2	
彈	tʰan2	～琴
彈	tan4	子～
强	tɕʰiaŋ2	～弱
强	tɕʰiaŋ3	勉～
弼	pi2	
彀	kəu4	往上～
歸	kuei1	
當	taŋ1	
當	taŋ4	～作
彗	xuei4	
形	ɕin2	
彩	tsʰai3	
彪	piau1	
彬	pin1	
彭	pʰən2	
彷	faŋ3	
徹	tsʰɤ2	
彼	pi3	
彿	fu2	
徑	tɕin4	
待	tai4	
很	xən3	
律	ny2	
徐	ɕy2	
徒	tʰu2	
得	tɤ2	
循	ɕyn2	
德	tɤ2	
徽	xuei1	
心	ɕin1	
必	pi2	
忌	tɕi4	
忍	ʐən3	
忏	tsʰan4	
忒	tʰɤ2	
忖	tsʰən4	
志	tsɿ4	
忙	maŋ2	
忝	tʰiɛn3	
忠	tsoŋ1	
快	kʰuai4	
念	niɛn4	
忽	xu2	
忿	fən4	
懷	xuai2	
態	tʰai4	
悵	tsʰaŋ4	
怒	nu4	
怕	pʰa4	
怖	pu4	
憐	niɛn2	
思	sɿ1	
怠	tai4	
性	ɕin4	
怪	kuai4	
怯	tɕʰie2	
總	tsoŋ3	
恃	tsʰɿ2	
戀	niɛn4	
恍	xuaŋ3	
恐	kʰoŋ3	
恆	xən2	
恕	su4	
恢	xuei1	
恤	ɕy2	
恨	xən4	
恭	koŋ1	
息	ɕi2	
恰	kʰa1	白
恰	tɕʰia2	文
懇	kʰən3	
愷	kʰai3	
悉	ɕi2	
悔	xuei3	
患	xuan4	
懸	ɕyɛn2	
憫	min3	
