#漢字	音標	解釋
□	tɕiou5	食物不新鲜
施	sɿ2	
旁	pʰɑŋ2	
旅	ly3	
旋	ɕyan3	
族	tsʰu5	
旗	tɕʰi1	
無	u3	
既	tɕi2	
日	ʐʅ5	
舊	tɕʰiou5	
旨	tʂʅ1	
早	tsɑo3	
旬	ɕyn3	
旱	xan5	
時	ʂʅ3	
曠	kʰuɑŋ5	
旺	uɑŋ5	
昂	ɑŋ2	
昌	tʂʰɑŋ2	
明	miŋ3	
昏	xuen2	
易	i5	交~
易	i5	难~
昔	ɕi5	
星	ɕiŋ2	
映	iŋ5	
春	tʂʰuen2	
昧	mei3	
昨	tsuo5	
昭	tʂɑo2	
是	ʂʅ5	
晝	tʂou3	
顯	ɕian2	
晃	xuɑŋ3	
晉	tɕin5	
晌	ʂɑŋ2	
晌	ɕiɑŋ3	
晏	ian1	晚也
曬	ʂɛ3	
曉	ɕiɑo2	
晚	uan3	
晦	xuei2	
晨	tʂʰen3	
普	pʰu3	
景	tɕiŋ3	
晴	tɕʰiŋ3	
晶	tɕiŋ5	
暫	tʂan2	
暇	ɕia1	
暑	ʂu1	
暖	nan3	
暗	ŋan5	
暮	mu5	
暴	pɑo5	
曝	pɑo5	
曰	yə3	
曲	tɕʰy5	~折
更	kəŋ3	~换,五~
更	kəŋ5	~加
曹	tsʰɑo3	
曾	tsʰəŋ5	~经
曾	tsəŋ2	姓氏
替	tʰi5	
最	tsuei5	
月	yə3	
有	iou2	
朋	pʰəŋ2	
服	fu3	
朔	suo3	
朗	lɑŋ2	
望	uɑŋ5	
朝	tʂʰɑo2	~代
朝	tʂɑo2	今~
期	tɕʰi1	
木	mu5	
未	uei5	
末	mo5	
本	pen3	
札	tʂa1	
术	ʂu2	
朱	tʂu2	
朶	tuo3	
機	tɕi2	
朽	ɕiou1	
殺	ʂa1	
雜	tsa3	
權	tɕʰyan3	
杆	kan2	
杈	tʂʰa1	
杉	ʂan5	
李	li3	
杏	ɕiŋ5	
材	tsʰɛ3	
村	tsʰuen2	
杖	tʂɑŋ5	
杜	tu5	
束	ʂu5	
杠	kɑŋ2	
條	tʰiɑo5	
來	lɛ2	
楊	iɑŋ3	
杭	xɑŋ2	
杯	pei2	
杰	tɕiɛ3	
杳	iɑo2	
杴	ɕian2	
杵	tʂʰu2	
松	suŋ2	
松	suŋ3	
板	pan3	
極	tɕi3	
構	kou2	
枇	pʰi5	
枉	uɑŋ5	
析	ɕi1	
枕	tʂen5	动词
林	lin3	
枚	mei3	
枝	tʂʅ2	
樞	ʂu2	
樞	tɕiou5	
棗	tsɑo3	
槍	tɕʰiɑŋ2	
楓	fəŋ5	
枯	ku3	
枯	kʰu3	
柄	piŋ2	
柏	pei3	
某	mou5	
柑	kan2	
染	ʐan3	
柔	ʐou2	
柚	iou2	
櫃	kuei5	
柞	tsuo5	
查	tʂʰa3	调~
柬	tɕian3	
柳	liou3	
柴	tʂʰɛ3	
柿	ʂʅ5	
標	piɑo1	
棧	tʂan1	
棟	tuŋ5	
欄	lan2	
樹	ʂu5	
校	tɕiɑo5	~对
校	ɕiɑo5	学~
樣	iɑŋ5	
核	xɤ5	审~,果子~
核	xɛ5	果~
根	ken2	
格	kɤ2	
栽	tsɛ5	
桂	kuei5	
桃	tʰɑo2	
桄	kuɑŋ1	
桅	uei2	
案	ŋan5	
桌	tʂuo5	
桐	tʰuŋ2	
桑	sɑŋ2	
桓	xuan5	
橈	ʐɑo5	
橋	tɕʰiɑo3	
樺	xua2	
檜	xuɛ5	
槳	tɕiɑŋ5	
樁	tʂuɑŋ2	
桶	tʰuŋ3	
梁	liɑŋ3	
梅	mei3	
梓	tsɿ5	
梗	kəŋ3	
梢	ʂɑo2	
夢	məŋ5	
梨	li1	
梭	suo2	
梯	tʰi5	
械	tɕian3	机~
檢	tɕian3	
棉	mian2	
棋	tɕʰi3	
棌	tsʰɛ2	
棍	kuen5	
棒	pɑŋ3	
棕	tsuŋ2	
棚	pʰəŋ2	
棠	tʰɑŋ3	
森	ʂen2	
棵	kʰɤ2	
棹	tʂɑo5	
棺	kuan2	
椅	i1	
椒	tɕiɑo1	
橢	tʰuo2	
椿	tʂʰuen2	
楂	tʂa2	
楝	lian5	
楞	ləŋ5	
楦	ɕyan3	
楷	kʰɛ2	
樓	lou3	
概	kɛ5	
欖	lan5	
榆	y1	
榆	y2	
榛	tʂen5	
榜	pɑŋ3	
榨	tsa3	
榫	suen2	
榴	liou1	
榷	tɕʰiɑo5	
榻	tʰa1	
榻	tʰa5	
槌	tʂʰuei2	
槐	xuɛ3	
檳	piŋ5	
槽	tsʰɑo3	
樟	tʂɑŋ2	
模	mo2	
模	mu2	~子
模	mo2	~范
橫	xəŋ5	
櫻	iŋ5	
樵	tɕʰiɑo2	
橄	kan2	
橘	tɕy3	
橙	tʂʰəŋ3	
橙	tʂʰəŋ5	
橡	ɕiɑŋ5	
櫓	lu2	
檀	tʰan3	
檊	kan1	
檐	ian3	
欠	tɕʰian5	
次	tsʰɿ5	
歡	xuan2	
欣	ɕin5	
歐	ŋou2	
欺	tɕʰi5	
歇	ɕiɛ1	
歉	tɕʰian1	
歌	kɤ2	
正	tʂəŋ5	
此	tsʰɿ3	
步	pu5	
武	u3	
歪	uɛ2	
死	sɿ5	
殲	tɕian2	
殃	iɑŋ3	
殆	tɛ5	
殉	ɕyn5	
殊	tʂu1	
殊	ʂu5	
殘	tsʰan3	
殯	pin5	
毆	ŋou1	
段	tuan3	
殷	in5	
殿	tian5	
毁	xuei5	
毅	i5	
母	mu5	
毒	tu3	
比	pi5	~较
畢	pi5	
斃	pi5	
毛	mɑo2	
毡	tʂan1	
毫	xɑo2	
毯	tʰan3	
氏	ʂʅ5	
民	min3	
气	tɕʰi5	
水	ʂuei3	
永	yŋ2	
汀	tʰiŋ5	
汁	tʂʅ2	
求	tɕʰiou3	
汇	xuei5	
漢	xan5	
汝	ʐu2	
汞	kuŋ3	
江	tɕiɑŋ1	
池	tʂʰʅ5	
污	u3	
湯	tʰɑŋ5	
汪	uɑŋ5	一~水
汽	tɕʰi5	
沁	tɕʰin5	
沂	tɕʰi3	
沃	uo5	
沈	ʂen2	
沉	tʂʰen2	
沌	tuen5	
沓	tʰa5	
沙	ʂa2	
沛	pʰei5	
溝	kou2	
没	mu2	~有、沉~
漚	ŋou5	
淪	luen2	
沫	mo5	
河	xɤ2	
油	iou3	
治	tʂʅ5	
沼	tʂɑo2	
沾	tʂan3	
沿	ian1	
泄	ɕiɛ5	
泅	tɕʰiou5	
泉	tɕʰyan3	
泊	pʰo2	梁山~
泌	mi5	
泔	kan5	
法	fa2	
泛	fan3	
泡	pʰɑo3	
波	po1	
泣	li5	
泥	ni2	
淚	luei5	
泰	tʰɛ5	
泳	yŋ5	
瀉	ɕiɛ3	
澤	tsɤ2	
潔	tɕiɛ2	
洇	in1	
洋	iɑŋ3	
洒	sa2	
洒	sa3	
洗	ɕi3	
洛	luo5	
洞	tuŋ5	
津	tɕin2	
洪	xuŋ1	
洲	tʂou2	
活	xuo3	
洼	ua1	
洽	tɕʰia2	
派	pʰɛ5	
流	liou2	
淺	tɕʰian3	
漿	tɕiɑŋ5	
澆	tɕiɑo1	
濁	tʂuo3	
測	tsʰɤ5	
濟	tɕi3	
渾	xuen5	
滸	xu2	
濃	nəŋ2	
浙	tʂɤ5	
浚	tɕyn5	
浜	pɑŋ2	沙家~
浦	pʰu3	
浩	xɑo5	
浪	lɑŋ5	
浮	fu2	
海	xɛ5	
浸	tɕʰin3	
消	ɕiɑo1	
涉	ʂɤ5	
涌	yŋ5	
涎	ɕian2	
涕	tʰi5	
濤	tʰɑo2	
澇	pʰɑŋ2	
澇	lɑo3	
潤	uen2	
澗	tɕian2	
漲	tʂɑŋ3	
澀	sɤ2	
涮	ʂuan5	
涯	ia2	
液	iɛ5	
淆	ɕiɑo3	
淋	lin5	
淑	ʂu5	
淘	tʰɑo2	~米
淡	tan1	
淤	y5	
淫	in5	
淮	xuɛ3	
深	ʂen2	
混	xuen5	~蛋
添	tʰian2	
清	tɕʰiŋ3	
淵	yan2	
漸	tɕian3	
漁	y3	
滲	ʂen5	~水
渠	tɕʰy3	
渡	tu5	
渣	tʂa2	
溫	uen2	
港	kɑŋ2	
渴	kʰɤ3	
游	iou2	
渺	miɑo3	
湖	xu2	
湘	ɕiɑŋ5	
灣	uan5	
溼	ʂʅ2	
潰	kʰuei5	
濺	tɕian5	
溉	kɛ5	
溜	liou1	
溢	i5	
溪	ɕi2	
溻	tʰa2	
滋	tsɿ3	
滑	xua2	
滔	tʰɑo5	
滯	tʂʅ5	
滿	man3	
濾	ly5	
濫	lan5	
灘	tʰan2	
滴	ti2	
漂	pʰiɑo2	
漂	pʰiɑo5	~亮
漆	tɕʰi2	
漏	lou5	
演	ian2	
漩	ɕyan3	
漫	man5	
漱	sou5	
潘	pʰan5	
潛	tɕʰian3	
潭	tʰan2	
潮	tʂʰɑo2	
潲	ʂɑo3	~雨
潲	ʂɑo5	猪食
澄	tʂʰəŋ2	
澄	tʂʰəŋ3	
澄	təŋ5	水浑、~一~
澡	tsɑo2	
激	tɕi1	
瀑	pʰu3	
灌	kuan5	
火	xuo5	
燈	təŋ5	
灰	xuei5	
靈	liŋ2	
灸	tɕiou1	
災	tsɛ2	
燦	tsʰan3	
爐	lu3	
炊	tsʰuei2	
炎	ian3	
炒	tʂʰɑo3	
炕	kʰɑŋ5	
炭	tʰan5	
炮	pʰɑo3	
炸	tsa3	
炸	tsa5	油~
點	tian2	
煉	lian5	
爛	lan5	
烈	liɛ5	
烘	xuŋ1	
烙	luo5	
燭	tʂu3	
烟	ian2	
烤	kʰɑo2	
煩	fan3	
燒	ʂɑo2	
燙	tʰɑŋ5	
烹	pʰəŋ2	
焉	ian1	心不在~
焊	xan5	
煥	xuan5	
焙	pei5	
焚	fen1	
焦	tɕiɑo2	
焯	tʂʰuo1	
焰	ian5	
然	ʐan2	
煎	tɕian2	
煤	mei3	
照	tʂɑo2	
煮	tʂu3	
熄	ɕi1	
熊	ɕyŋ5	
熏	ɕyn1	
熙	ɕi1	
熟	ʂu2	
熥	tʰəŋ3	
熨	yn5	
熬	ŋɑo5	
熬	ŋɑo2	~菜
燃	ʐan2	
燎	liɑo3	
燕	ian5	~京、姓氏
爆	pɑo5	
爪	tʂua1	
爪	tʂua2	
爬	pʰa3	
愛	ɛ5	
爵	tɕyə3	
父	fu5	
爺	iɛ2	
爺	iɛ5	
爸	pa2	
爹	tiɛ2	
爽	ʂuɑŋ2	
片	pʰian2	
版	pan3	
牌	pʰɛ2	
牙	ia2	
牛	niou5	
牡	mu5	
牢	lɑo2	
牧	mu5	
物	u5	
牲	ʂəŋ5	
牽	tɕʰian2	
牸	tsɿ5	
特	tʰɤ3	
犧	ɕi2	
犀	ɕi1	
犁	li2	
犢	tu5	
犬	tɕʰyan3	
犯	fan5	
狀	tʂuɑŋ5	
猶	iou5	
狂	kʰuɑŋ3	
狄	ti2	
狐	xu2	
狗	kou3	
狡	tɕiɑo5	
獨	tu2	
狹	ɕia2	
獅	ʂʅ2	
獄	y3	
狸	li3	
狼	lɑŋ2	
獵	liɛ5	
猛	məŋ3	
猜	tsʰɛ3	
豬	tʂu2	
猫	mɑo5	
猫	mɑo2	~腰
蝟	uei1	
獻	ɕian5	
猴	xou2	
猾	xua2	
獺	tʰa3	
獺	lɛ5	
玄	ɕyan2	
率	ʂuɛ5	
率	ly5	速~
玉	y3	
王	uɑŋ3	
玩	uan3	古~
環	xuan3	
現	ɕian5	
璽	ɕi2	
玻	po5	
珊	ʂan5	
珍	tʂen2	
珠	tʂu1	
班	pan2	
球	tɕʰiou1	
理	li3	
琉	liou2	
瑣	suo5	
琢	tʂuo1	
琴	tɕʰin5	
琵	pʰi3	
琶	pʰa1	
瓊	tɕʰyŋ2	
瑕	ɕia1	
瑞	ʐuei5	
瑟	sɤ1	
璃	li1	
璧	pi1	
璺	uen5	裂纹
瓜	kua2	
瓢	pʰiɑo2	
瓣	pan5	
瓤	ʐɑŋ3	
瓦	ua1	动词
瓦	ua2	名词
瓮	uŋ5	
瓶	pʰiŋ3	
瓷	tsʰɿ2	
甘	kan2	
甚	ʂen1	
甚	ʂen5	
甜	tʰian3	
生	ʂəŋ1	
甥	ʂəŋ5	
用	yŋ3	
甫	fu1	
甬	yŋ5	
田	tʰian2	
由	iou5	
甲	tɕia2	
申	ʂen2	
電	tian5	
男	nan3	
畫	xua5	
暢	tʂʰɑŋ3	
界	tɕiɛi5	
畏	uei5	
留	liou1	
畜	tʂʰu3	~生
畜	ɕy5	~牧
略	lyə5	
畦	tɕʰy2	
番	fan2	几~
疆	tɕiɑŋ2	
疏	su3	
疑	ni2	
疔	tiŋ5	
療	liɑo5	
疝	ʂan1	
瘍	iɑŋ3	
疤	pa2	
疥	tɕiɛ3	
疫	i3	
瘡	tʂʰuɑŋ5	
瘋	fəŋ2	
疲	pʰi3	
疵	tsʰɿ2	
疹	tʂen2	
疼	tʰəŋ3	
疾	tɕi2	
病	piŋ5	
症	tʂəŋ5	
痒	iɑŋ3	
痔	tʂʅ5	
痕	xen5	
痛	tʰuŋ3	
痢	li5	
痣	tʂʅ5	
痰	tʰan3	
痱	fei5	
癡	tʂʰʅ3	
痹	pi5	
瘊	xou2	
瘌	la1	
瘟	uen5	
瘦	ʂou5	
瘰	luo2	
瘴	tʂɑŋ2	
瘸	tɕʰyə2	
癩	la1	
癩	lɛ5	
癬	ɕyan3	
登	təŋ2	
白	pei3	
百	pei3	
的	ti5	目~
皆	tɕiɛ3	
皇	xuɑŋ3	
皖	uan3	
皮	pʰi2	
皺	tʂou2	
皴	tsʰyn5	
皿	min3	
盂	y2	
盅	tʂuŋ3	
盆	pʰen3	
盈	iŋ3	
益	i3	
盞	tʂan2	
鹽	ian1	
鹽	ian1	酶
監	tɕian2	~牢
盒	xɤ5	
盔	kʰuei2	
盖	kɛ5	
盜	tɑo5	
盤	pʰan2	
盛	ʂəŋ5	兴~
盟	məŋ3	
目	mu5	
盲	mɑŋ3	
相	ɕiɑŋ5	~互.~貌
盼	pʰan5	
盾	tuen5	
省	ʂəŋ2	~长
省	ɕiŋ3	反~
省	ʂəŋ3	节~
眉	mei2	
看	kʰan5	~守、~见
瞘	kʰou2	
真	tʂen2	
眠	mian3	
眨	tsa1	
眩	ɕyan3	
眵	tʂʰʅ2	
眶	kʰuɑŋ5	
眷	tɕyan5	
眼	ian2	
着	tʂuo3	~睡、衣~
睜	tʂəŋ2	
睛	tɕiŋ3	
睡	ʂuei5	
督	tu2	
睬	tsʰɛ3	
瞅	tʂʰou2	
瞎	ɕia2	
瞞	man5	
瞖	i5	
瞧	tɕʰiɑo5	
瞪	təŋ5	
瞭	liɑo3	
瞳	tʰuŋ3	
瞻	tʂan3	
瞿	tɕʰy5	
矣	i2	
知	tʂʅ2	
矩	tɕy3	
矯	tɕiɑo5	
短	tuan2	
矮	ŋɛ2	
石	ʂʅ5	
礬	fan3	
礦	kʰuɑŋ5	
碼	ma3	
砌	tɕʰi5	
砍	kʰan3	
研	ian5	
磚	tʂuan5	
硯	ian1	
破	pʰo5	
硝	ɕiɑo1	
硫	liou1	
硬	ŋiŋ5	
確	tɕʰiɑo3	
礆	lian5	
礙	ŋɛ5	
碎	suei5	
碑	pei2	
碑	pi5	
碓	tʂuei2	
碗	uan3	
碟	tiɛ2	
碟	tiɛ3	
碧	pi2	
鹼	tɕian3	
碾	ʐan3	
碾	nian5	
磁	tsʰɿ3	
磉	ʂɑŋ3	
磕	kʰɤ1	
磨	mo5	
磷	lin5	
礓	tɕiɑŋ2	
示	ʂʅ5	
禮	li5	
社	ʂɤ5	
祀	tɕʰi2	
祀	sɿ5	
祁	tɕʰi3	
祈	tɕʰi2	
祖	tsu3	
祝	tʂu5	
神	ʂen3	
祠	tsʰɿ2	
祥	ɕiɑŋ2	
票	pʰiɑo5	
祭	tɕi5	
禱	tɑo3	
禍	xuo5	
禁	tɕin5	~不住,~止
祿	lou5	
禪	tʂʰan2	~宗
禪	ʂan5	~让
福	fu3	
禹	y2	
离	li2	
离	li5	
禽	tɕʰin5	
禾	xɤ2	
秀	ɕiou5	
私	sɿ2	
秃	tʰu2	
稈	kan2	
秉	piŋ3	
秋	tɕʰiou5	
種	tʂuŋ3	
科	kʰɤ1	
秒	miɑo3	
秕	pi3	
秘	mi5	
租	tsu3	
秤	tʂʰəŋ5	
秦	tɕʰin3	
秧	iɑŋ3	
秫	ʂu5	
積	tɕi2	
稱	tʂʰəŋ3	~呼、~重
秸	tɕiɛ5	
移	i5	
穢	xuei5	
穢	uei5	
稀	ɕi1	
程	tʂʰəŋ3	
稍	ʂɑo2	
税	ʂuei5	
稗	pi5	
稚	tʂʅ5	
稠	tʂʰou5	
穩	uen2	
稻	tɑo5	
稽	tɕi5	
稿	kɑo5	
稿	kʰɑo5	
穄	tɕi5	
穆	mu5	
穗	suei5	
穴	ɕyə3	
究	tɕiou5	
窮	tɕʰyŋ3	
空	kʰuŋ1	~虚
空	kʰuŋ5	~缺
穿	tʂʰuan3	
穿	tsʰuan5	
突	tʰu2	
窄	tsei2	
竅	tɕʰiɑo3	
窯	iɑo3	
窖	tɕiɑo5	
窗	tʂʰuɑŋ5	
窘	tɕyŋ5	
竄	tsʰuan5	
窟	kʰu1	
窺	kʰuei2	
立	li5	
豎	ʂu5	
站	tʂan5	~立、车~
競	tɕiŋ5	
竟	tɕiŋ5	
章	tʂɑŋ2	
童	tʰuŋ3	
端	tuan1	
竹	tʂu3	
竿	kan1	竹~
篤	tu3	
笋	ɕyn3	
笑	ɕiɑo5	
筆	pei3	
笙	ʂəŋ5	
笛	ti2	
笠	li5	
符	fu2	
笨	pen5	
第	ti5	
箋	tɕʰian5	
籠	ləŋ5	
等	təŋ3	
筋	tɕin1	
筏	fa2	
筐	kʰuɑŋ2	
筑	tʂou5	
筒	tʰuŋ3	
答	ta3	
策	tsʰɤ2	
篩	ʂɛ5	
箏	tʂəŋ1	
筵	ian2	
筷	kʰuɛ3	
籌	tʂʰou3	
签	tɕʰian2	
箅	pi3	
箍	ku5	
算	suan5	
管	kuan3	
簫	ɕiɑo2	
箭	tɕian5	
箱	ɕiɑŋ2	
篅	tʂʰuan2	盛谷器
篆	tʂuan5	
篇	pʰian2	
簍	lou5	
篙	kɑo2	
篡	tʂʰuan5	
籃	lan2	
籬	li1	
篷	pʰəŋ2	
簧	xuɑŋ3	
簪	tsan5	又音
簸	po1	~箕
簸	po5	~一~
簿	po5	
籍	tɕi5	
米	mi3	
糴	ti2	
類	lei5	
粉	fen2	
粒	li5	
粗	tsʰu2	
粘	tʂan3	~贴
糶	tʰiɑo5	
粟	li5	
粤	yə5	
粥	tʂou5	
糞	fen5	
糧	liɑŋ3	
粱	liɑŋ3	
粳	tɕiŋ5	
粹	tsʰuei3	
糉	tsuŋ5	
精	tɕiŋ2	
糍	tsɿ2	
糕	kɑo2	
糖	tʰɑŋ2	
糗	tɕʰiou5	面煮~了
糙	tsʰɑo3	~米
糜	mi3	
糟	tsɑo3	
糠	kʰɑŋ2	
糯	ʐuo5	
系	tɕi5	~鞋带
系	ɕi5	~统
素	su3	
索	suo2	
緊	tɕin2	
紫	tsɿ2	
累	luei2	~积
累	luei5	连~
絮	ɕy5	
繁	fan3	
纂	tsuan1	
糾	tɕiou5	
紅	xuŋ1	
紂	tʂou3	
約	yə5	
級	tɕi3	
紀	tɕi5	
紉	ʐen5	
緯	uei3	
純	tʂʰuen3	
紗	ʂa2	
綱	kɑŋ2	
納	na5	
縱	tsuŋ3	~横
縱	tsuŋ5	放~
紛	fen1	
紙	tʂʅ2	
紋	uen5	
紡	fɑŋ1	
紐	niou3	
線	ɕian5	
練	lian5	
組	tsu5	
細	ɕi5	
織	tʂʅ2	
縐	tʂou2	
絆	pan5	
紹	ʂɑo5	
經	tɕiŋ2	
經	tɕiŋ5	~纬
絨	ʐuŋ3	
結	tɕiɛ2	
繞	ʐɑo5	
繪	xuei5	
給	kei3	~你,供~
絡	luo5	
絶	tɕyə3	
絞	tɕiɑo5	
統	tʰuŋ3	
絹	tɕyan5	
繡	ɕiou5	
綏	suei2	
繼	tɕi5	
績	tɕi1	
緒	ɕy5	
續	ɕy5	
綽	tsʰuo5	
繩	ʂəŋ3	
維	uei2	
綿	mian2	
綢	tʂʰou5	
綜	tsuŋ2	织布机上的~
綻	tʂan5	
綠	lou5	
綴	tʂuei5	
緬	mian5	
纜	lan5	
緝	tɕi3	~鞋口
緩	xuan5	
縷	liou3	丝~
編	pian5	
緣	ian2	
縛	fu5	
縫	fəŋ3	~衣服
縫	fəŋ5	~隙
纏	tʂʰan3	
纓	iŋ3	
縮	suo3	
繮	tɕiɑŋ5	
繰	tɕʰiɑo3	
繳	tɕiɑo1	
缸	kɑŋ2	
缺	tɕʰyə2	
罐	kuan3	
网	uɑŋ3	
罕	xan3	
羅	luo5	
罰	fa3	
罷	pa5	
罪	tsuei5	
置	tʂʅ5	
署	ʂu3	
羊	iɑŋ3	
羌	tɕʰiɑŋ3	
美	mei2	
羔	kɑo2	
羞	ɕiou2	
羡	ɕian5	
群	tɕʰyn2	
羹	kəŋ5	
羽	y2	
翁	uŋ5	
翅	tʂʰʅ5	
翎	liŋ3	
翠	tsʰuei5	
翡	fei3	
翰	xan3	
翻	fan2	
翼	i5	
耀	iɑo5	
老	lɑo3	
考	kʰɑo5	
者	tʂɤ2	
而	ɚ5	
耍	ʂua3	
耐	nɛ5	
耕	kəŋ3	
耗	xɑo5	
耙	pʰa2	
耳	lɤ2	
耳	ɚ2	
耶	iɛ5	
耻	tʂʰʅ2	
耽	tan2	
耿	kəŋ3	
聶	niɛ5	
聊	liɑo3	
聾	ləŋ5	
職	tʂʅ5	
聒	kuo1	
聯	lian5	
聘	pʰin5	
聚	tɕy2	
聰	tsʰuŋ2	
肅	su5	
肆	sɿ5	
肉	ʐou5	
肋	lei5	
肌	tɕi5	
肘	tʂu3	胳膊~
肚	tu5	
肝	kan2	
腸	tʂʰɑŋ3	
股	ku3	
肢	tʂʅ2	
膚	fu5	
肥	fei5	
肩	tɕian2	
肪	fɑŋ1	
骯	ɑŋ1	
肯	kʰen3	
育	y5	
肴	iɑo2	
肺	fei5	
腎	ʂen5	
腫	tʂuŋ3	
脹	tʂɑŋ5	
脅	ɕiɛ5	
胃	uei5	
背	pei5	
胎	tʰɛ5	
胖	pʰɑŋ3	
胚	pʰei5	
胛	tɕia2	
勝	ʂəŋ2	~任
勝	ʂəŋ5	~败
胞	pɑo2	
胡	xu2	
胡	xu1	~须
胳	kɤ1	
膠	tɕiɑo2	
胸	ɕyŋ2	
能	nəŋ3	
脆	tsʰuei5	
脉	mei5	
脊	tɕi5	
脏	tsɑŋ2	
脏	tsɑŋ5	心~
臍	tɕʰi3	
腦	nɑo3	
膿	nəŋ5	
脚	tɕyə2	
脯	fu1	
脯	pʰu5	
脱	tʰuo2	
臉	lian3	
脾	pʰi3	
腆	tʰian5	~肚子
臘	la5	
腋	iɛ5	
腌	ian5	
腐	fu5	
腑	fu5	
腔	tɕʰiɑŋ2	
腕	uan5	
腥	ɕiŋ2	
腮	sɛ2	
腰	iɑo5	
腹	fu5	
膩	ni5	
騰	tʰəŋ3	
腿	tʰuei3	
膏	kɑo5	
膘	piɑo1	
膜	mo5	
膝	ɕi5	
膨	pʰəŋ3	
膳	ʂan5	
膻	ʂan5	
臀	tʰuen2	
臂	pei5	
臊	sɑo5	
臣	tʂʰen2	
自	tsɿ5	
臭	tʂʰou5	
至	tʂʅ5	
致	tʂʅ5	
臻	tʂen5	
臼	tɕiou5	
臾	sou3	
舀	iɑo3	
舅	tɕiou5	
舌	ʂɤ1	
舍	ʂɤ5	~不得,宿~
舐	ʂʅ5	
舒	ʂu5	
舔	tʰian3	
舜	ʂuen5	
舞	u3	
舟	tʂou2	
航	xɑŋ3	
般	pan2	
艦	tɕian5	
舵	tuo5	
船	tʂʰuan3	
艇	tʰiŋ3	
良	liɑŋ3	
艱	tɕian3	
色	ʂei3	
豔	ian5	
藝	i1	
艾	ŋɛ2	
節	tɕiɛ3	
芋	y3	
芍	ʂuo2	
芒	mɑŋ3	
芒	mɑŋ5	
芙	fu2	
芥	tɕiɛ5	
蘆	lu3	
芬	fen3	
芭	pa3	
芮	ʐuei5	
花	xua2	
芳	fɑŋ5	
芹	tɕʰin2	
芽	ia2	
葦	uei5	
莧	tɕian5	
蒼	tsʰɑŋ2	
苏	su2	
苔	tʰɛ3	
苗	miɑo3	
苟	kou3	
若	ʐuo5	
苦	kʰu5	
英	iŋ2	
茂	mɑo5	
范	fan1	
茄	tɕʰiɛ3	~子
茅	mɑo3	
莖	tɕiŋ5	
繭	tɕiɑŋ5	手脚上摩擦而生的硬皮
茫	mɑŋ2	
茬	tʂʰa2	
茴	xuei2	
茶	tʂʰa3	
茸	ʐuŋ2	
荀	ɕyn5	
荆	tɕiŋ5	
草	tsʰɑo3	
薦	tɕian5	
荒	xuɑŋ5	
荔	li5	
蕎	tɕʰiɑo3	
薺	tɕi2	
蕩	tɑŋ2	
榮	ʐuŋ2	
葷	xuen2	
滎	ɕiŋ2	
滎	iŋ3	
蔭	in2	屋子很~
藥	yə5	
荷	xɤ2	~花
莎	suo1	~草
莝	tsʰuo1	
莠	iou1	
莫	mo5	
蓮	lian3	
获	xuo5	
鶯	iŋ2	
蓴	tʂʰuen3	
莽	mɑŋ3	
菊	tɕy2	
菌	tɕyn5	
菖	tʂʰɑŋ1	
菜	tsʰɛ5	
菠	po1	
菢	pɑo3	
菩	pʰu1	
菱	liŋ3	
萄	tʰɑo2	
萌	məŋ5	
萍	pʰiŋ3	
萎	uei5	气~
蘿	luo2	
螢	iŋ3	
營	ɕiŋ3	
蕭	ɕiɑo2	
薩	sa1	
落	luo5	
葛	kɤ1	
董	tuŋ3	
葫	xu2	
葬	tsɑŋ5	
葱	tsʰuŋ5	
葵	kʰuei3	
蔣	tɕiɑŋ3	
蒙	məŋ2	
蒜	suan5	
蒲	pʰu5	
蒸	tʂəŋ2	
蓄	ɕy5	
蓉	ʐuŋ5	
蓑	suo5	
蓖	pi5	
藍	lan2	
蓬	pʰəŋ2	
蔑	miɛ1	
蔓	man3	瓜~
蔗	tʂɤ2	
蔡	tsʰɛ3	
蔫	ian2	食物不新鲜
蔬	su3	
藹	ɛ2	
蔽	pi3	
蕊	ʐuei5	
薄	po3	
薄	po5	~荷
薅	xɑo2	
薛	ɕyə2	
薪	ɕin2	
薯	ʂu3	
薰	ɕyn1	
藉	tɕi5	
藉	tɕiɛ1	~故
藏	tsɑŋ5	西~
藏	tsʰɑŋ3	躲~
藐	miɑo3	
藕	ŋou3	
藤	tʰəŋ3	
藩	fan3	
藩	fan2	又
藿	xuo3	
蘸	tʂan2	
虜	lu3	
虐	yə5	
慮	ly5	
虔	tɕʰian3	
虚	ɕy5	
虞	y2	
蟲	tʂʰuŋ2	
虱	ʂʅ5	
虹	xuŋ3	
虻	mɑŋ3	
雖	suei2	
蝦	ɕia5	
蝕	ʂʅ1	
蟻	i5	
蚊	uen2	
蚌	pɑŋ5	
蠶	tʂʰan3	
蚣	kuŋ1	
蚤	tsɑo3	
蛆	tɕʰy3	
蛇	ʂɤ1	
蛋	tan1	
蛙	ua1	
蛤	xɤ2	
蛤	xa3	
蠻	man5	
蟄	tʂɤ3	
蟄	tʂɤ2	蝎子~人,蜂~人
蛾	ŋɤ2	
蜀	ʂu3	
蜂	fəŋ5	
蜈	u3	
蜓	tʰiŋ3	
蜕	tʰuei3	
蝸	uo2	
蜘	tʂʅ2	
蜜	mi5	
蠟	la5	
蜻	tɕʰiŋ1	
蠅	iŋ3	
蟬	tʂʰan2	
蠍	ɕiɛ1	
蝗	xuɑŋ5	
蝙	pian5	
