#漢字	音標	解釋
㵺	pʰai2	竹排
康	hɔn1a	健~
庸	jioŋ2	平~，~俗
廁	tsʰi5	~所，公~
廂	ɬiœŋ1a	~房，车~
廈	ha3	偏廈(厢房)
廈	ha3	~门，大~
廉	liam2	清~，~洁
廊	lɔŋ2	走~
廓	kɔk8a	轮~
廖	liau3	姓
廟	miau3	和尚~
廠	tsʰɔŋ3	~长
廢	fei5	~品，作~
廣	kɔŋ3	推~;~东(地名)
廬	lu2	~山
廳	tʰɐn1a	客~，~长
延	jan2	~长，~安
廷	tʰɐn2	朝~
建	kian5	~设
弄	loŋ3	玩~
弊	pʰi3	作~
式	sɐt8a	~样，公~
弓	koŋ1a	~箭
引	jɐn3	吸~
弘	hian2	~扬
弟	tʰi3	兄~[文]
弟	tʰi3	弟弟，老~[白]
弦	hian2	琴~
弱	ȵɔk8a	~点
張	tsɔŋ1a	紧~;姓;装东西
強	kʰiœŋ2	~大，坚~
強	kʰiœŋ3	勉~
弼	pɐk8a	~马温;任~时
彈	tʰan2	~琴
彈	tʰan3	子~
彌	ȵi2	~补，阿~陀佛
彎	van1b	转~
彙	fɐi3	词~
形	jɐn2	~状，地~
彩	tsʰɔi3	~色
彪	piau1b	林~
彬	pɐn1b	文质~~;人名用字
彭	pʰɐŋ2	姓，~德怀
影	jɐn3	电~
彷	fɔn3	~佛
役	jiɐt8a	战~
彼	pʰi3	~此
彿	fɐt8a	仿~
往	vɔŋ3	来~，~日
征	tsiɐn1a	长~，特~
待	tʰɔi3	等~，~人接物
很	hɐn3	~大
律	luk8a	法~，~师
後	hɐi3	~生，~来[文]
後	hɐi3	~日[白]
徐	tsʰy2	姓
徑	kiɐn5	半~
徒	tʰu2	~弟
得	tɐt8a	获~，~意
徛	kʰi1a	站立;(山)斜度高
從	tsʰoŋ2	~容
從	tsʰoŋ2	跟~，~来
御	jy3	~用文人
復	fok8a	反~
復	fok8a	恢~，~原，报~
循	tsʰɐn2	遵~，~环
微	mi2	稍~
徵	tsɐn1a	~求
德	tɐt8a	品~;~国(国名)
徹	tsʰiɛt8a	~底
徽	fɐi1a	国~，~章
心	ɬɐm1a	~肝，内~
必	piɛt8a	~须
忌	ki5	禁~，~讳，~日[文]
忌	ki5	做~(做法事)[白]
忍	ȵɐn1a	~耐，~受
志	tsi5	~气，~愿
忘	mɔŋ2	~记，遗~[文]
忘	mɔŋ2	~记，遗~[白]
忘	mɔŋ2	添~(忘记)[白]
忙	mɔn2	农~，~碌
忠	tsoŋ1a	~心
快	fai5	~车
念	ȵam3	~经，怀~
忽	fɐt7	~然
忿	fɐn3	~~不平
怒	nu5	愤~，~气
怕	pʰa5	害怕，惊~
怖	pu5	恐~
思	ɬia1a	~想
思	ɬia1a	意~
怠	tʰɔi2	~慢，~工
怡	ʔi2	心旷神~;人名用字
急	kɐp8a	心~
性	ɬiɐn5	~别，天~
怨	jan5	~人，埋~
怪	kai5	奇~
怯	ɬɛ5	胆~
恐	hoŋ3	~怖
恆	hɐn2	~心，永~
恢	fɔi1a	~复
恤	ɬɐt8a	体~，抚~
恥	tsʰi3	~辱
恨	hɐn3	仇~
恩	jɐn1a	~人
恭	koŋ1a	~敬
息	ɬɐt8a	休~[文]
息	ɬɐt8a	子息，孙~[白]
恰	hɐp7	~切，~当
悄	tsʰiau5	静~~
悉	ɬɐn3	熟~
悔	fɐi3	后~
悟	ʔŋ̍3	觉~;孙~空
悠	jiu2	~闲，历史~久
患	van3	~病，忧~
悅	jæk8a	愉~
悲	pi1a	~伤
悴	ɬui5	憔~
悶	mɐn5	烦~，~热
情	tsʰiɐn2	感~，~节[文]
情	tsʰiɐn1a	亲~(亲戚)[白]
惑	væk7	迷~
惜	ɬiɐt8a	疼爱[白]
惜	ɬiɐt8a	可~，珍~[文]
惟	vɐi2	~一
惠	vɐi3	~州，优~
惡	vu5	可~
惡	ʔɔk8a	善~，~霸
惰	tsʰui2	~性
惱	nɔ3	烦~[文]
惱	nɔ3	讨厌，不喜欢[白]
想	ɬiœŋ3	~法，思~
惶	kʰɔŋ2	害怕
惹	ja1a	~事
愁	siu2	~眉苦脸
愈	jy3	病~
意	ji5	~思
愚	jy2	~蠢，~公移山
感	kam3	~谢，~动
憤	fɐn3	气~，~怒
愧	kʰuɐi5	惭~
慈	tsʰi2	~悲，~禧太后
態	tʰai5	~度，心~
慌	fɔŋ1a	~张，心~
愼	sɐn3	谨~，~重
慕	mu5	羡~，~名而来
慘	tsʰam3	悲~
慚	tsʰam2	~愧
慢	man3	~车
慣	kuɔn5	习~
慧	vɐi3	智~
慨	kʰɔi5	慷~，感~
慪	ʔɐi5	~气
慫	tsoŋ5	~恿
慮	lui3	考~
慰	vɐi5	安~，~问
慳	han1a	节俭
慶	hiɐn5	~祝
慷	hɔn1a	~慨
慾	jiok8a	~望，贪~
憂	jiu1b	~虑，担~
憎	tsɐn1a	~恨
憐	lien2	可~[文]
憐	lien2	可~[白]
憑	pʰɐŋ2	文~，~借[文]
憑	pʰɐŋ2	倚靠，~墙[白]
憫	mɐn5	怜~
憲	hian5	~法
憶	jɐt7	回~
憾	ham3	遗~
懂	toŋ3	懵~，唔懂(不懂)
懇	hɐn3	~求，诚~
懈	hai3	松~，坚持不~
應	jɐn1a	~当，~该
應	jɐn5	~用，响~
懊	ʔɔ5	~恼
懊	ʔɔ5	~悔
懲	tsʰɐn2	~罚，严~
懵	moŋ3	~懂
懶	lan1a	懒惰，~尸
懷	vai2	~疑
懸	jui2	~挂，~崖
懼	kʰy3	恐~
戀	lian2	~爱
戈	kʰɔ1a	干~，~壁
戊	mu3	~戌变法
戌	ɬɐt7	戊~变法
戍	ɬɐp7	~边
戎	jioŋ2	~马生涯
成	sɐn2	~功，完~[文]
成	sɐn2	两~[白]
成	sɐn2	事成，做~[白]
我	ŋɔ2	自~[文]
我	ŋai2	涯，第一人称[白]
戒	kai5	~烟，猪八~
或	væk7	~者
戚	tsʰɐt8a	亲~;姓，~继光
戟	kit8a	巴~(中药，鸡肠风)
截	tsiɛt8a	~断
戰	tsan5	~斗
戲	hi5	做~
戴	tai5	姓;~帽
戶	fu3	~口
戽	fu5	~水(泼水)，~斗
房	fɔn2	~间
房	fɔŋ2	姓，~玄龄
所	ɬɔ3	~以;派出~
扁	pian3	圆扁
扇	san5	扇子[名]
手	siu3	~脚，~段
才	tsʰɔi2	人~，~气，秀~
打	ta3	~针
托	tʰɔk8a	手承物，~盘
扛	kʰɔŋ1a	肩扛，双手抬
扣	kʰɐi5	~钱，~压
扭	niu3	~面帕，~动
扮	pan3	打~
扯	tsʰa3	~开，~烂
扳	pan3	~手，~开
扶	fu2	~贫，~手[文]
扶	fu2	搀扶，~起来[白]
批	pʰɛ1a	~评，大~
批	pʰɛ1a	螺丝~
扼	ʔɐt8a	~杀，~制
找	tsau3	~钱，查~
承	sɐn2	~担，继~
技	kʰi5	~术[文]
技	kʰi5	杂~[白]
抄	tsʰau1a	~书
把	pa3	~握，~脉
抑	jɐt8a	~制，压~
抓	tsa1a	~紧
投	tʰɐi2	~降
抖	tɐi3	发~
抗	kʰɔn5	反~，~战
折	tsiɛt8a	~断，打~
折	sæk8a	~本(赔本)
披	pʰi1a	~肩，~露
抬	tʰɔi2	两个人抬
抱	lam3	拥抱
抵	tɛ3	~押
抵	tɛ3	用手抵挡
抹	mæk8a	~桌，~布
押	ʔæp8a	抵~，~送
抽	tsʰiu1a	~出
抿	mɐn1b	小口喝
拆	tsʰæk8a	~开
拇	mu3	~指
拈	nian1a	用指头捏取物，~起来
拉	lai1a	拖~
拋	pʰau1a	~弃
拌	pan5	凉~，搅~
拍	pʰæk8a	~片，~球
拐	kuai3	~卖，铁~李
拐	kuai3	~脚(瘸腿)
拒	kʰy3	~绝
拔	pʰæk8b	~河，选~
拖	tʰɔ1a	~拉机
拘	kʰy1a	~留
拙	tsʰuk8a	勤能补~
拚	pʰɐn5	~命
招	tsau1a	~生
括	kʰɔk8a	包~
拯	sɐn2	~救;包~(人名)
拱	koŋ3	~手，~桥
拳	kʰuan2	~头
拴	tsʰuɔn2	拴住(捆绑)
拼	pʰɐn1a	~音
拾	sɐp8a	收~
持	tsʰi2	支~
指	tsi3	手~，~甲
按	ʔɔn5	~照
挑	tʰiau1a	~剔，~担
挖	væk8a	~掘[文]
挖	væk8a	穵[白]
挨	ʔai2	~打，~近
挪	nɔ2	~用公款
振	tsɐn5	~动
挺	tʰɐn2	坚~，叶~[文]
挺	tʰɐn2	~起来[白]
挽	man3	~留，手~手
挾	kiɛp8a	~菜
捅	tʰoŋ3	~破
捉	tsɔk8a	捕~，~棋(下棋)
捋	lɔk8a	捋袖子
捋	lɔk8a	~骨头(啃骨头)
捎	ɬau1a	~带，~口信
捏	niam1a	以指尖捏取小面积
捐	kian1a	~钱
捕	pʰu3	逮~，~快
捧	pʰɐn5	吹~
捨	sa3	~唔得(舍不得)
捱	ŋai2	难~，~苦
捲	kuan3	~起来[动]
捷	tsiɛp8a	~报，大~，敏~
捺	nai5	撇~
掀	hien1a	~起[文]
掀	tsan1a	~被[白]
掂	ȵiau5	~量
掃	ɬɔ5	~地[动]
掃	ɬɔ5	~把[名]
授	siu3	教~
掉	tʰiau3	~头，~队
掌	tsɔŋ3	巴~，~握
掐	nian3	~颈(掐脖子)
排	pʰai2	~队
掘	kuk8a	挖~
掘	kʰɐt8a	挖~
掛	kʰa5	~起来，牵~，~钩
掠	lœk8a	~夺
採	tsʰɔi3	~集
探	tʰam5	试~
接	tsiɛp8a	迎~，~待
控	hoŋ5	~制
推	tʰui1a	~荐，~动
掩	ȵam3	~护
措	tsʰu5	~施
揀	kan1a	挑选
揉	ȵiu2	~烂
描	miau2	~写
提	tʰi2	~问，~醒
插	tsʰæp8a	~花
揖	jɐp7	作~
揚	jiɔŋ2	表~，发~
換	vɔn3	交~[文]
換	vɔn3	~水[白]
換	vɔn3	金不换[白]
揞	ʔɐm1a	手覆，揞住
揞	ɬɐm3	把粉末撒在表面
握	ʔɔk8a	~手，把~
揢	nian3	用虎口掐
揫	mɐn1a	揪头发
揭	kʰiɛt8a	~发，~露
揭	kʰiɛt8a	~阳(地名)
揮	fɐi1a	指~
援	vɔn3	~助，支~
損	ɬiɐn3	~坏
搖	ȵiau2	动~，~篮
搜	ɬɐi3	~查
搞	kau3	~活动
搧	tsan5	扇扇子，扇耳光[动]
搬	pan1a	~运
搭	tæp8a	~车;衣服搭在肩上
搶	tsʰiœŋ3	~劫
摔	tɐp8a	~跤
摘	tsɐt8a	~菜
摝	lok7	搅拌，~水
摟	lam3	搂抱
摧	tsʰui1a	~残
摩	mɔ1b	~擦，按~
摳	kʰy1a	挖
摸	mɔ1b	偷偷~~[文]
摸	mɔ1a	~来~去[白]
摹	mɔ2	~仿，描~
摺	tsiɛt8a	~被，~叠
撇	pʰiɛt8a	~捺，~开
撈	lau2	打~局[文]
撈	lai2	~起来[白]
撐	tsʰɐn1a	支~，~开
撒	ɬæk8a	~手，~种
撕	si1a	~烂
撚	nɛ3	以指捻碎
撞	tsʰɔŋ5	~人
撤	tsʰiɛt8a	~退
撥	pʰæk8a	~款
撩	liau1b	~起来
撩	liau2	~人
撫	fu3	~养，安~
播	pɔ5	广~，~种
撮	tsiɛt7	一~毛
撲	pʰɔk8a	反~，~灭
撼	ham3	震~
擁	jioŋ3	~护
擇	tsʰæk8b	选~[文]
擇	tʰɔk8a	~菜[白]
擊	kiɐt8a	~中，打~
擋	tɔn3	阻~，~风
操	tsʰu1a	做~，~作
擎	kiɐn3	举起，~旗
擒	kʰɐm2	~拿
擔	tam1a	~任[动]
擔	tam5	~竿[名]
擔	tam1a	挑~[名];一~水[量]
擘	mɐt8a	用手分开，~开
據	ky5	收~
擠	tsɛ1a	拥~，~时间
擦	tsʰæk8a	~车
擬	ȵi3	模~，~人
擱	kɔk8a	耽~
擴	kʰɔŋ5	~充，~大
擸	tsʰun1a	叠起(散乱的碗)[动];一~碗[量]
擺	pai3	摇~
擾	ȵau3	打~，~乱
攀	pʰan1a	~登，高~
攏	loŋ2	靠~，~总(一共)
攢	tsʰan3	积~
攔	lan2	~路
攙	tsʰɐm1a	~扶，~腰
攜	kʰuɐi2	~带，提~
攝	sæp8a	~影
攞	lɔ1a	拿，取
攤	tʰan1b	分~，~开，摆~
攪	kau3	搅拌
攬	lam3	包~[文]
攬	lam3	抱[白]
支	tsi1b	两~笔[白，量]
支	tsi1a	~持，天干地~[文]
收	siu1a	丰~，~集
改	kɔi3	修~，~正
攻	koŋ1a	~击，进~
放	fɔn5	解~，~心[文]
放	fɔn5	~手[白]
政	tsiɐn5	行~，~治
故	ku5	~事，~乡
效	ŋau3	~果
敍	tsʰui3	倒~
敏	mɐn3	灵~
救	kiu5	~命
敗	pʰai3	失~
敎	kau5	~书
敎	kau5	~育，~师
敢	kam3	勇~
散	ɬan3	药~
散	ɬan5	分~，解~
敦	tun1b	~厚;伦~(地名)
㪗	tʰɐi3	~气(呼吸)
敬	kiɐn5	尊~，~酒
敲	hau1a	~锣打鼓
整	tsiɐn3	~体，完~[文]
整	tsiɐn3	修理，~车[白]
敵	tʰɐt8a	~人
敷	fu1a	~衍，~药
數	ɬɔn5	~落，~星星[动]
數	ɬu5	~字，~学
斂	liam3	收~
斃	pi3	枪~
文	mɐn2	~章，论~
斑	pan1a	~马
斗	tɐi5	十升为一斗
料	liau3	肥~，材~
斛	fok7	石~(中药)
斜	tsʰia1a	倾~[文]
斜	tsʰia1b	不正[白]
斟	tsɐm1a	~酒，~酌
斤	kɐn1a	~两
斥	tsʰiɐt7	排~，~责
斧	fu3	~头
斫	tsam3	砍，~树
斬	tsam3	白~鸡
斯	sia1a	~大林
新	ɬɐn1a	~旧
新	ɬɐn1a	~妇(儿媳妇)
斷	tʰuɔn5	判~，~案
斷	tʰɔn1a	~绝[文]
斷	tʰɔn1a	线断了[白]
方	fɔn1a	地~，大~
於	jy1a	在~
施	si1a	措~;姓
旁	pʰɔn2	~边
旅	ly1a	~游
旋	ɬian2	~转
族	tsʰok8a	~长，民~
旗	kʰi2	红~
旣	ki5	~然
日	ȵɐt8a	十~，~期
旦	tan5	元~，花~
旨	tsi3	圣~
早	tsɔ3	还~
旬	tsʰun2	上~
旱	hɔn3	干旱
旺	vɔŋ3	兴~
昂	ŋɔŋ1a	~首挺胸，气~~
昆	kʰuɐn1a	~明，~虫
昌	tsʰɔŋ1a	~盛
明	mɐn2	~白，清~[文]
明	mɐn2	清~[白]
昏	fɐn1a	黄~
易	ji3	容~
易	jiɐt8a	交~，贸~
昔	ɬiɐt8a	~日，今~
星	ɬɐn1a	火~，~~[文]
星	ɬɐn1a	~夜[白]
映	jɐn3	反~
春	tsʰun1a	立~
昧	mei3	愚~，拾金不~
昨	tsɔk8a	昨天
昭	tsau1a	王~君
是	si3	~否，~非
時	si2	~间，当~
晃	fɔŋ3	摇~，~动
晃	fɔŋ3	~光
晉	tsʰɐn5	山西简称;魏~南北朝
晏	ʔan5	晚、迟;~子使楚
晚	man5	~会
晝	tsiu5	上~，~夜
晦	fɐi3	~气
晨	sɐn2	朝~
普	pʰu3	~通，~遍
景	kiɐn3	~色，风~
晴	tsʰiɐn2	天~
晶	tsiɐn1a	水~
智	tsi5	~慧
暈	vɐn2	~车，头~[训]
暑	sy3	~假
暖	nɔn1a	冷~
暗	ʔam5	不亮
暢	tʰɔŋ5	~快，通~
暫	tsʰam3	~时
暮	mu5	日暮
暴	pʰu3	~雨，残~
曆	lɐt8a	日~，~书
曉	hiau3	春~，~得
曝	pʰu3	~光，一~十寒
曠	kʰɔŋ5	空~，~课
曰	ȵiɛt8a	子~
曲	kʰok7	歌~，~折
更	kɐn5	~换，~衣
更	kɐn1a	五~
更	kɐn5	~加
書	sy1a	读~
曹	tsʰɔ2	姓
曾	tsɐn1a	姓
曾	tsʰɐn2	~经
替	tʰɛ5	代~，~身
最	tsui5	~好
會	fei3	~计
會	fei3	开~
會	fei3	~睡，~来
月	jæk8a	三~
有	jiu1a	~钱
朋	pʰɐŋ2	~友
服	fok8a	~务
朔	ɬɔk8a	每月初一，~望
朗	lɔŋ3	~诵，明~
望	mɔŋ3	失~
朝	tsau1a	~晨，三~
朝	tsʰau2	~代
期	kʰi2	日~
木	mok8a	~工
未	mei3	~来;地支
末	mæk8a	~尾
本	pɐn3	~来，书~
朮	tsuk8a	白~(中药)
朱	tsy1a	姓
朶	tɔ3	一~花，花~
朽	ʔau3	腐~，永垂不~
杈	tsʰa1b	桠~，树~
杉	tsʰa5	~树
李	li3	姓;水果
杏	hɐn3	~仁
材	tsʰɔi2	材，药~，~料
村	tsʰun1a	~长
杖	tsʰɔŋ3	拐~
杜	tʰu3	姓;杜仲(中药)
杞	ki3	枸~
束	tʰok8a	结~
杠	kʰɔn1a	高低~
杭	hɔŋ2	~州
杯	pei1b	茶~
東	toŋ1a	东南西北
杳	miau3	~无音讯
杷	pʰa2	枇~
松	tsʰoŋ2	~树
板	pan3	黑~，石~
枇	pʰi2	~杷
枉	vɔŋ3	冤~
析	ɬɐt8a	分~[文]
析	ɬɐt8a	量词，一~(一片)[白]
枕	tsɐm3	~头[名];~枕头[动]
林	lɐm2	树~;姓
枚	mɔi2	两~
果	kɔ3	水~
枝	tsi1a	树~
枯	kʰu1a	干~，~水
架	ka5	书~
柄	pian5	刀~，把~
柏	pæk8a	松~，~树;~林(地名)
某	mɐi1a	~人
柑	kiɐm1a	柑
染	ȵam3	污~
染	ȵam3	~色
柔	ȵiu2	温~，~和
柚	jiu2	沙田~
査	tsʰa2	调~
柩	kiu5	灵~
柱	tsʰy1a	柱子
柳	liu3	~树
柴	tsʰai2	姓;火~
柿	tsi5	柿子，~饼
栗	lɐt8a	~子
校	kau5	~对
校	kau5	调校
校	ŋau3	学~，~长，上~
株	tsy1a	守~待兔
核	hɐt8a	~心，~对[文]
核	hɐt8a	龙眼~[白]
核	vɐt8a	~卵(睾丸)[白]
根	kɐn1a	~本，树~
格	kɐk8a	~式;还珠~~[文]
格	kɐk8a	空~，三~[白]
栽	tsɔi1a	种，~培
桁	kɐk8a	檩子，承重的横木
桂	kuɐi5	~花
桃	tʰɔ2	杨~，~花
桄	kʰɔŋ5	桌椅等腿间的横木
桅	ŋɐi2	~杆
案	ʔɔn5	~件，档~
桌	tsʰɔk8a	书~
桐	tʰoŋ2	~油，梧~
桑	ɬɔn1a	~叶
桓	fan2	齐~公
桶	tʰoŋ3	水~
桿	kɔn5	旗~，杠~
梅	mɔi2	~花
梓	tsi3	桑~;曾宪~
梔	tsi1a	黄~(水横枝、黄果)
梗	kɐn3	心肌~塞[文]
梗	kɐn3	茎，菜~[白]
梘	kan3	肥皂
條	tʰiau2	~件，字~
梢	ɬau1a	树~
梧	ʔŋ̍2	~桐
梨	li2	梨
梭	ɬɔ1a	穿~，~子蟹
梯	tʰɔi1a	楼~
械	hai3	机~
梳	ɬɔ1a	梳子[名];梳头[动]
棄	hi5	放~，抛~
棉	mian2	~花
棋	kʰi2	围~，捉~(下棋)
棍	kuɐn5	长~
棒	pʰɐŋ5	棍~，~打鸳鸯
棗	tsɔ3	红~
棚	pʰɐn2	楼~，瓜~
棟	toŋ5	~梁;两~
棠	tʰɔn2	海~
棧	tsan3	客~;碗橱，碗~
森	sɐm1a	~林
棲	ɬi1a	两~动物
棵	hɔ1b	一~树
棺	kɔn1a	~材
椅	ji3	椅子，藤~
植	tsʰɐt8a	~物
椏	ʔa1a	~杈
椒	tsiau1a	胡~
橢	tʰɔ3	~圆
椶	tsoŋ1a	~树，~色
椿	tsʰun1a	~树，香~
楂	tsa1a	山~
楊	jiɔŋ2	姓;~树
楓	foŋ1a	~树，~叶
楔	ɬiɛt8a	~入去(塞进去)[训]
楝	lian3	苦~树
楣	mi2	门~
業	ȵæp8a	事~，~余
極	kʰɐt8a	南~
楷	kai1a	~书，~模
概	kɔi5	大~，~括
榜	pɔn3	~样
榨	tsa5	~菜，~油
榫	ɬun3	~头(接合处)
榮	jian2	光~，~誉
榴	liu2	石~，~莲
構	kʰɐi5	结~，~造
槌	tsʰui2	木~[名];[动]
槍	tsʰiœŋ1a	手~
槐	fai2	~树
槳	tsiœŋ3	船~
槽	tsʰɔ2	猪~，水~
樁	tsɔŋ1a	打~
樂	lɔk8a	~观，快~
樂	ŋɔk8a	音~
樑	liœŋ2	姓;~山(地名)
樓	lɐi2	~下
標	piau1a	~准，~志，招~
樞	kʰy1a	中~，~纽
樟	tsɔŋ1a	~脑丸;~木头(地名)
模	mɔ2	~型，~范
樣	jiɔŋ3	一~
樣	jiɔŋ3	~般
樵	tsʰai2	柴
樸	pʰɔk8a	~素
樹	sy3	~立，种~
橄	kam3	~榄
橋	kʰiau2	大~
橘	kɐt8a	橘子
橙	tsʰɐn2	橙子
機	ki1a	~会，飞~
橡	tsʰian3	~胶，~树
橫	vɐŋ2	~直
橫	mɐŋ2	蛮~[文]
櫥	tsʰy2	碗~
檀	tʰan2	~香
檔	tɔn3	~案
檢	ȵam3	~查，体~
檳	pɐn1a	~榔
櫃	kʰuɐi3	~台
櫻	jiɐn1a	~桃
櫼	mɛ5	塞，挤
欄	lan2	~杆
權	kʰuan2	~利
欖	lam3	橄~，乌~
欠	hiam5	~钱，拖~
次	tsʰi5	名~，~品
欣	jɐn1a	~赏
欲	jiok8a	~速则不达
欺	hi1a	~负
欽	hɐp8a	~差，~佩
款	fɔn3	汇~，拨~
歇	tɐi3	~夜(过夜)
歉	hiɛp8a	道~，~意
歌	kɔ1a	唱~，~声
歐	ʔɐi1a	~洲;姓
歡	fɔn1a	喜~，~喜
止	tsi3	停~，~血
正	tsɐn1a	~月
正	tsiɐn5	立~，~直[文]
正	tsiɐn5	~好，~来[白]
此	tsʰi3	到~为止
步	pʰu3	跑~
武	vu3	~器，~术
歪	vai1b	~风邪气
歲	ɬɔi5	万~，~月[文]
歲	ɬɔi5	十~，~数[白]
歷	lɐt8a	~史，经~
歸	kuɐi1a	回~，~类
死	ɬi3	~人
殃	jiɔŋ1a	遭~，~及
殉	sun1a	~职，~情
殊	sy2	特~
殕	mɔi2	食物长毛变质，臭~
殖	tsʰɐt8a	繁~
殘	tsʰam2	~废
殮	kiam3	给死者穿衣入棺，~尸
殯	pɐn5	~仪馆，出~
殲	tsiam1a	~灭
段	tʰɔn3	姓;阶~
殷	jɐn1a	姓;~勤
殺	ɬæk8a	~人，自~
殼	hɔk7	贝~
殿	tʰian3	宫~
毀	fei3	~灭
毅	ŋɛ3	~力
毆	ʔɐi3	~打
母	mu3	父~
每	mei1a	~只，~日
毒	tʰok7	中~，~药
比	pi3	~较，对~
毛	mɔ1a	~病，鸡~
毫	hɔ2	~米
毯	tʰan3	毛~
氈	tsan1a	羊毛~
氏	sɐt8a	姓~
民	mɐn2	人~，~族
氓	mɔŋ2	流~
氣	hi5	~人，空~
水	tsui3	~果，~平
永	viɐn3	~远
汀	tɐn1a	长~，~江(地名)
汁	tsɐp7	菜~，果~
求	kʰiu2	要~
汗	hɔn3	出~，~马功劳
污	vu1a	~染
汞	koŋ5	水银，~柱
江	kɔŋ1a	长~，~湖
池	tsʰi2	水~
汪	vɔn1a	姓，~洋
汴	pian2	~京(北宋都城)
決	kʰiɛt8a	~定
汽	hi5	~水，~车
沃	jok7	肥~
沈	sɐm3	姓;地名，~阳
沉	tsʰɐm2	~底
沌	tʰun2	混~
沒	mɔ2	沉~，~有，出~
沓	tʰiɛp8a	一~纸
沙	ɬa1a	泥~，~漠
沛	pʰei5	充~
沫	mæk8a	泡~
河	hɔ2	黄~
沸	fɐt8a	沸腾
油	jiu2	麻~
治	tsʰia3	~安，统~[文]
治	tsʰia3	~鸡，~猪[白]
沼	tsʰau3	~气
沾	tsam1a	~光
沿	jan2	边~，~江路
況	kʰɔŋ5	情~，~且
泄	ɬɛ5	~漏，排~
泉	tsʰan3	~水，喷~
泊	pʰɐt8a	梁山~
泊	pʰæk8a	停~，淡~
泌	pi5	分~;滤出汤汁
法	fæk8a	方~
泛	fan3	广~，~滥[文]
泛	pʰɐn5	中空，~谷[白]
泡	pʰau1b	灯~;泡沫(多~)
泡	pʰau5	起~[训，瘭]
泡	pʰau5	~茶
波	pɔ1a	风~，~浪
泣	lɐp7	~血，哭~
泥	nɛ2	水~，地~(地板)
注	tsy5	~意
泰	tʰai5	~山
泳	viɐn3	游~
洋	jiɔŋ2	太平~
洗	ɬɛ3	~菜，~衣机
洛	lɔk8a	~阳(地名)
洞	tʰoŋ3	山~，~察
洞	tʰoŋ3	涵~(涵洞)
津	tsɐn1a	天~(地名)
洪	hoŋ2	~水;姓，~秀全
洲	tsiu1a	亚~
活	væk8a	生~
洽	hɐp7	~谈会，融~
派	pʰai5	正~，~出所
流	liu2	河~[文]
流	liu2	~汗[白]
浙	tsiɛt8a	~江(地名)
浜	pɐn1a	沙家~
浦	pʰu3	黄~江
浩	hɔ5	~~荡荡;人名用字
浪	lɔŋ3	风~，~费
浮	fɐi2	轻~，~力;云~(地名)
浮	fɐi2	~起来[白]
浴	jiok8a	沐~露[文]
浴	jiok8a	~堂(浴室)[白]
海	hɔi3	大~
浸	tsɐm5	~水
浼	mæk7	体垢
消	ɬiau1a	~化
涉	sæp8a	~及
涕	tʰɛ5	~泪纵横
涯	ŋai2	天~
液	jiɐt8a	~体，输~
涿	sɐp8a	淋雨
淆	ŋau2	混~
淋	lɐm2	~湿，~菜
淑	sok7	~女，贤~
淘	tʰɔ2	~米，~沙
淚	lui3	眼~
淡	tʰam3	~水(地名)
淡	tʰam1a	咸~;浓~
淤	vu1a	~泥
淨	tsʰian3	干~
淩	lɐŋ2	冰淇~，壮志~云
淪	lun2	沉~
淫	ȵɐm2	~荡
淮	vai2	~河，~北
深	sɐm8a	~浅，~入
淵	jan1a	深~，~源
混	kuɐn3	~淆，相~
淹	ȵam3	~没
淺	tsʰian3	深~
添	tʰiam1a	~加，~丁
淸	tsʰiɐn1a	~楚，~水[文]
淸	tsʰiɐn1a	~明[白]
滲	tsʰam5	~水
減	kam3	加~
渠	kʰy3	水~，~道
渡	tʰu3	偷~，摆~
渣	tsa1a	药~
測	tsʰɐt8a	~量，观~
港	kɔŋ3	~口;香~(地名)
渴	hɔk8a	口渴;~望
渺	miau3	~小，~茫
渾	vɐn2	~浊[文]
渾	vɐn2	水浑[白]
湊	tsʰiu5	~数，~热闹
湖	fu2	西~
湘	ɬiœŋ1a	湖南简称，~江
湧	ȵoŋ3	~现，洶~
湯	tʰɔn1a	煮~;姓
溉	kʰɔi5	灌~
源	jan2	~头，来~
準	tsun3	瞄~，~则
溜	liu1b	~走
溜	liu5	~滑梯
溝	kʰɐi1a	~通
溪	kʰɛ1a	~水
溫	vɐn1a	~度，~和
溺	nɐt7	~爱，~死
滂	pʰɔn2	~沱
滅	miɛt8a	消~，~亡
滋	tsi1a	~味
滑	væk8a	地~，~稽
滔	tʰɔ1a	~~不绝，波浪~天
滯	tsʰɛ3	停~，湿~(中医)
濱	pɐn1a	哈尔~(地名)
滬	lu2	上海简称
滴	tɐt7	~水，两~
滷	lɔ3	盐~，~水
滸	fu3	水~
滾	kuɐn3	~动;水开
滿	man1a	~意
漁	ȵy2	~业，~夫
漂	pʰiau1a	~流
漂	pʰiau5	~白，~亮
漆	tsʰɐt8a	油~
漏	lɐi3	~水，~斗
演	jan3	~员，表~
漚	ʔɐi5	久浸水中，~坏，~肥
漢	hɔn5	~人
漫	man3	~画，~长
漲	tsɔn5	~价，~潮
漸	tsʰiam3	逐~
漿	tsiœŋ5	豆~，~糊
潑	pʰæk8a	~水;泼辣
潔	kiɛt8a	~白，清~
潘	pʰan1a	姓
潛	tsʰiam2	~力
潤	ȵɐn3	利~，~色
潭	tʰam3	深~
潮	tsʰau2	~湿，涨~
潰	kʰui5	~疡，胃~疡
