#漢字	音標	解釋#('cmn_xn_xs_jg_rxxy', '榮縣旭陽話', '榮縣旭陽', '#C600FF', None, None, '版本：2022-01-07<br>來源：<u>Ascendanter</u>整理自《四川方言調查報告》《四川榮縣方言音系及其內部差異研究》', '45 1 1a 陰平 ꜀,21 2 1b 陽平 ꜁,42 3 2 上 ꜂,,214 5 3 去 ꜄')
夕	ɕi5	
外	uɐɪ5	
外	uɐɪ1	
夙	su5	
多	tɔ1	
夜	ie1	
夠	kəʊ5	
夢	moŋ5	
夢	moŋ1	
夥	xɔ3	
大	ta5	
大	ta1	
大	tʰɐɪ3	白讀
夨	tse5	
夨	lie5	
天	tʰin1	
太	tʰɐɪ5	
夫	fʋ̩1	
夭	iɑʊ1	
央	iã1	
失	sɿ5	
夷	i2	
夾	tɕia5	
奇	tɕʰi2	
奈	nɐɪ5	
奉	foŋ5	
奊	ɕie5	
奎	kʰuəɪ2	
奏	tsəʊ5	
契	tɕʰi5	
契	tɕʰi5	契丹
奓	tsa1	動詞，表示張開，也有可能是“张”字的音变
奔	pẽ1	
奕	i5	
套	tʰɑʊ5	
奚	ɕi1	
奠	tin5	
奢	se1	
奧	ŋɑʊ5	
奩	lin2	
奪	tɔ5	
奭	sɿ5	
奮	fẽ5	
奯	xɔ5	
女	ȵy3	
奴	nu2	
奶	nɐɪ1	叠词表示女性乳房
奶	nɐɪ3	奶
奸	tɕin1	
好	xɑʊ3	
如	zu2	
妃	fəɪ1	
妄	uã5	
妊	zẽ5	
妒	tu5	
妓	tɕi5	
妖	iɑʊ1	
妙	miɑʊ5	
妜	ye5	
妝	tsuã1	
妥	tʰɔ3	
妨	fã2	
妯	tsʰu5	妯娌
妲	ta5	
妳	ȵi3	
妷	tsɿ5	
妹	məɪ5	
妹	məɪ1	
妻	tɕʰi1	
妾	tɕʰie5	
姊	tsɿ3	
始	sɿ3	
姐	tɕie3	
姑	ku1	
姓	ɕin5	
委	uəɪ3	
姘	pʰin1	
姚	iɑʊ2	
姞	tɕi5	
姡	xɔ5	1.羞愧的樣子    2.狡猾，狡詐
姡	xua5	面貌醜陋
姦	tɕin1	
姨	i2	
姪	tsɿ5	
姬	tɕi1	
姴	lie5	
姻	in1	
姿	tsɿ1	
威	uəɪ1	
娃	ua2	
娎	ɕie5	
娑	sa1	仅用于词组“婆娑”
娑	sɔ1	
娕	tsʰɔ5	
娖	tsʰɔ5	
娘	ȵiã2	
娛	y2	
娠	sẽ2	
娧	ye5	
娩	min3	
娶	tɕʰy3	
娺	tsua5	
婆	pʰɔ2	
婉	uã3	
婕	tɕie5	
婚	xuẽ1	
婠	ua5	
婢	pi5	
婦	fʋ̩5	
婦	fʋ̩1	仅用于词组，如媳妇
婪	lã2	
嬋	sã2	
婿	ɕi5	
媉	ɔ5	
媒	məɪ2	
媚	məɪ5	
媳	ɕi5	
媽	ma1	媽媽
媾	kəʊ5	
嫁	tɕia5	
嫂	sɑʊ3	
嫈	yn2	
嫉	tɕi5	
嫌	ɕin2	
嫖	pʰiɑʊ2	
嫡	ti5	
嫦	sã2	
嫧	tse5	
嫧	tɕʰi5	
嫩	nẽ5	
嫳	pʰie5	
嫵	ʋ̩2	
嫼	ia5	
嬆	ɕi5	
嬉	ɕi1	
嬌	tɕiɑʊ3	打娇娇儿，即发展不正当男女关系
嬌	tɕiɑʊ1	
嬥	tsɔ5	
嬰	in1	
嬳	ɔ5	
嬸	sẽ3	
嬻	tu5	
孀	suã1	
孃	ȵiã1	
子	tsɿ3	
孑	tɕie5	
孓	tɕye5	
孔	kʰoŋ3	
孕	zuẽ5	
字	tsɿ5	
存	tsʰẽ2	
孛	pu5	
孝	ɕiɑʊ5	
孟	mən5	
季	tɕi1	仅用于词组“四季豆”
季	tɕi5	
孤	ku1	
孩	xɐɪ2	
孫	sẽ1	
孰	su5	
學	ɕyo5	
學	ɕyo1	
孼	lie5	
孽	ȵie5	
宅	tse5	
宇	y2	
守	səʊ3	
安	ŋã1	
宋	soŋ5	
完	uã2	
宏	xoŋ2	
宓	mi5	
宕	tã5	
宗	tsoŋ1	
官	kuã1	
宙	tsəʊ5	
定	tin5	
宛	uã3	
宜	ȵi2	
客	kʰe5	
宣	ɕyn1	
室	sɿ5	
宥	iəʊ5	
宦	xuã5	
宮	koŋ1	
宰	tsɐɪ3	
害	xɐɪ5	
宴	in5	
宵	ɕiɑʊ1	夜宵
家	ka1	家婆，家家
家	tɕia1	
容	yŋ2	
宿	ɕiəʊ5	
寂	tɕi5	
寄	tɕi5	
寅	in2	
密	mi5	
寇	kʰəʊ5	
富	fʋ̩5	
寐	məɪ5	
寒	xã2	
寓	y5	
寔	tsɿ5	
寞	mɔ5	
察	tsʰa5	
寡	kua1	
寢	tɕʰin3	
寥	liɑʊ2	
實	sɿ5	
寧	ȵin2	
寨	tsɐɪ5	
審	sẽ3	
寫	ɕie3	
寬	kʰuã1	
寰	xuã2	
寵	tsʰoŋ3	
寶	pɑʊ3	
寸	tsʰẽ5	
寺	sɿ5	
封	foŋ1	
射	se5	
將	tɕiã1	
將	tɕiã5	
專	tsuã1	
尊	tsẽ1	
尋	ɕyn2	
對	tuəɪ5	
導	tɑʊ5	
導	tʰɑʊ5	
小	ɕiɑʊ3	
少	sɑʊ3	
少	sɑʊ5	
尖	tɕin1	
尚	sã5	
尤	iəʊ2	
就	təʊ1	白讀
就	tɕiəʊ1	
尳	ku5	
尷	kã1	
尹	yn3	
尺	tsʰɿ5	
尼	ȵi2	
尾	uəɪ3	
尿	ȵiɑʊ5	
尿	ȵiɑʊ1	
局	tɕy5	
屁	pʰi5	
居	tɕy1	
屆	kɐɪ5	白讀
屆	tɕie5	
屈	tɕʰy5	
屋	ʋ̩1	
屍	sɿ1	
屎	sɿ3	
屏	pʰin2	
屑	ɕye5	風屑：頭皮屑
展	tsã3	
屙	ɔ1	
屟	ɕie5	
屠	tʰu2	
屢	ləʊ3	
層	tsʰẽ2	
履	ly3	
屧	ɕie5	
屩	tɕyo5	
屬	su5	
屮	tse5	
屯	tʰẽ2	
山	sã1	
屹	i5	
屼	ʋ̩5	
岉	ʋ̩5	
岊	tɕie5	
岌	tɕi5	
岐	tɕʰi2	
岑	tsʰẽ2	
岔	tsʰa5	
岞	tsɔ5	
岡	kã1	
岪	fʋ̩5	
岸	ŋã5	
峉	ŋe5	
峙	sɿ5	
峰	foŋ1	
島	tɑʊ3	
峻	tɕyn5	
峽	ɕia2	
崇	tsʰoŋ2	
崍	lɐɪ2	
崑	kʰuẽ1	
崔	tsʰuəɪ1	
崖	ŋɐɪ2	
崗	kã1	
崙	lẽ2	
崛	tɕye5	
崦	in1	
崩	pẽ1	
崪	tsu5	
崱	tse5	
崿	ŋɔ5	
嵌	tɕʰin5	
嵑	tɕie5	通（碣）
嵤	yn2	
嵩	soŋ1	
嵲	ȵie5	
嶏	fʋ̩5	
嶧	i5	
嶨	tɕʰyo5	
嶪	ȵie5	
嶭	ȵie5	
嶸	yn2	
嶺	lin3	
嶽	yo5	
巀	tɕie5	
巍	uəɪ1	
巖	ŋɐɪ2	
川	tsʰuã1	
州	tsəʊ1	
巡	ɕyn2	
巢	tsʰɑʊ2	
工	koŋ1	
左	tsɔ3	
巧	tɕʰiɑʊ3	
巨	tɕy5	
巫	ʋ̩1	
差	tsʰa1	
差	tsʰa5	
差	tsʰɐɪ1	
己	tɕi3	
己	tɕʰi3	白
已	i3	
巳	sɿ5	
巴	pa1	
巷	xã5	
巾	tɕin1	
市	sɿ5	
布	pu5	
帆	fã2	
希	ɕi1	
帓	ma5	表示擦，如：～桌子
帖	tʰie5	
帗	fʋ̩5	
帙	tsʰɿ5	
帚	tsəʊ3	
帛	pe5	
帝	ti5	
帞	me5	
帟	i5	
帢	tɕʰia5	
帥	suɐɪ5	
師	sɿ1	
席	ɕi5	
帳	tsã5	
帶	tɐɪ5	
帷	uəɪ2	
常	sã2	
帹	tsa5	
帽	mɑʊ5	
帽	mɑʊ1	
幄	ɔ5	
幅	fu5	
幌	xuã3	
幎	mi5	
幔	mã5	
幕	mɔŋ5	
幗	kɔ5	
幘	tse5	
幣	pi5	
幦	mi5	
幫	pã1	
幭	mie5	
幯	tɕie5	
平	pʰin2	
年	ȵin2	
幸	ɕin5	
幹	kã1	
幹	kã5	
幺	iɑʊ1	
幻	xuã5	
幼	iəʊ5	
幽	iəʊ1	
幾	tɕi1	
幾	tɕi3	
庇	pi5	
序	ɕy5	
底	ti3	
店	tin5	
庘	ia5	
庚	kẽ1	
府	fʋ̩3	
庢	tsɿ5	
度	tu5	
座	tsɔ5	
座	tsɔ1	
庫	kʰu5	
庭	tʰin2	
庴	tɕi5	
庵	ŋã1	
庶	su5	
康	kʰã1	
庸	yŋ1	
廁	tsʰe5	
廂	ɕiã1	
廅	ŋa5	
廈	sua3	老派
廉	lin2	
廊	lã2	
廖	liɑʊ5	
廙	i5	
廚	tsʰu2	
廝	sɿ1	
廟	miɑʊ5	
廠	tsʰã3	
廢	fəɪ5	
廣	kuã3	
廦	pʰi5	
廩	lin3	
廳	tʰin1	
延	in2	
廷	tʰin2	
建	tɕin5	
弄	loŋ1	
弈	i5	
弊	pi5	
弋	i5	
弌	i5	
式	sɿ5	
弓	koŋ1	
弓	tɕyŋ1	白讀，作動詞，如：屁股～起。
引	in1	
弗	fʋ̩5	
弘	xoŋ2	
弟	ti5	
弦	ɕyn2	
弧	fu2	
弱	zɔ5	
張	tsã1	
強	tɕʰiã2	
強	tɕʰiã3	
弼	pi5	
彀	kəʊ5	
彃	pi5	
彈	tã5	
彈	tʰã2	
彌	mi2	
彎	uã1	
彗	xuəɪ5	
形	ɕin2	
彩	tsʰɐɪ3	
彪	piɑʊ1	
彬	pin1	
彭	pʰẽ2	
影	in3	
彳	tsʰɿ5	
彴	tsɔ5	
彶	tɕi5	
彷	fã3	
役	y5	
彼	pi3	
彿	fʋ̩5	
往	uã3	
征	tsẽ1	
待	tɐɪ5	
很	xe3	
很	xẽ3	
律	lu5	
後	xəʊ5	
後	xəʊ1	
徐	ɕy2	
徑	tɕin5	
徒	tʰu2	
得	te5	
徙	ɕɿ3	
從	tsʰoŋ2	
徢	ɕie5	
復	fu5	
循	ɕyn2	
微	uəɪ2	
徵	tsẽ1	
德	te5	
徹	tsʰe5	
徽	xuəɪ1	
心	ɕin1	
必	pi5	
忌	tɕi5	
忍	zẽ3	
忒	tʰe5	
忔	tɕʰi5	
忖	tsʰẽ3	
志	tsɿ5	
忘	uã5	白讀，如：搞～去
忘	uã1	白讀，如：搞～去
忙	mã2	
忝	tʰin3	
忠	tsoŋ1	
忦	tɕia5	
快	kʰuɐɪ5	
念	ȵin5	
忸	ȵiəʊ3	
忽	fʋ̩5	
忿	fẽ5	
怍	tsɔ5	
怒	nu5	
怕	pʰa5	
怖	pu5	
怛	ta5	
思	sɿ1	
怠	tɐɪ5	
怡	i2	
急	tɕi5	
性	ɕin5	
怨	yn5	
怩	li5	
怪	kuɐɪ5	
怫	fʋ̩5	
怭	pi5	
怯	tɕʰie5	
恁	nẽ5	
恁	nẽ1	
恃	sɿ5	
恄	ɕi5	
恆	xẽ2	
恍	xuã3	
恎	tie5	
恐	kʰoŋ3	
恕	su5	
恙	iã5	
恜	tsʰɿ5	
恢	xuəɪ1	
恤	ɕy5	
恥	tsʰɿ3	
恨	xẽ5	
恩	ŋẽ1	
恭	koŋ1	
息	ɕi5	
恰	tɕʰia5	
悄	tɕʰiɑʊ1	
悅	ye5	
悉	ɕi5	
悊	tse5	
悏	tɕʰie5	
悐	tʰi5	
悒	i5	
悔	xuəɪ3	
悖	pu5	
悟	ʋ̩5	
悠	iəʊ1	
患	xuã5	
悲	pəɪ1	
悳	te5	
悴	tsʰuəɪ5	
悵	tsʰã5	
悶	mẽ1	形容一個人把心事憋在心裏的樣子
悶	mẽ5	
惁	ɕi5	
惄	li5	
情	tɕʰin2	
惑	xue5	
惕	tʰi5	
惙	tsɔ5	
惜	ɕi5	
惟	uəɪ2	
惠	xuəɪ5	
惡	ŋɔ5	
惡	ʋ̩5	
惪	te5	
惰	tɔ5	
惱	nɑʊ3	
想	ɕiã3	
惵	tie5	
惸	tɕʰyn2	
惹	ze3	
惻	tsʰe5	
愁	tsʰəʊ2	
愉	y2	
意	i5	
愒	tɕʰie5	
愕	ŋɔ5	
愚	y2	
愛	ŋɐɪ5	
愜	tɕʰie5	
感	kã3	
愧	kʰuəɪ5	
愬	se5	驚懼貌又暮韻
愱	tɕi5	
愲	ku5	
愵	li5	
愶	ɕie5	
愷	kʰɐɪ3	
慄	li5	
慈	tsʰɿ2	
態	tʰɐɪ5	
慌	xuã1	
慍	yn5	
慎	tsʰẽ5	
慕	mɔŋ5	
慗	tsʰɿ5	
慘	tsʰã3	
慚	tsʰã2	
慝	tʰe5	
慢	mã5	
慢	mã1	
慣	kuã5	
慧	xuəɪ5	
慨	kʰɐɪ5	
慪	ŋəʊ5	
慫	soŋ3	
慮	ly5	
慰	y5	
慶	tɕʰin5	
慷	kʰã1	
慹	tɕi5	
慽	tɕʰi5	
慾	y1	
憂	iəʊ1	
憋	pie5	老派文讀
憋	pie1	
憌	tɕʰyn2	
憎	tsẽ1	
憐	ȵin2	
憑	pʰin2	
憚	tã5	
憠	tɕye5	
憡	tsʰe5	
憤	fẽ5	
憫	min3	
憬	tɕyn3	
憰	tɕye5	
憲	ɕin5	
憵	pʰi5	
憶	i5	
懂	toŋ3	
懇	kʰẽ3	
懈	ɕie5	
應	in5	
懊	ŋɑʊ5	
懌	i5	
懎	se5	
懪	pɔ5	
懫	tsɿ5	
懱	mie5	
懲	tsʰẽ3	
懵	moŋ1	
懶	lã3	
懷	xuɐɪ2	
懸	ɕyn2	
懸	ɕyn2	白讀，表示物體邊緣
懺	tsʰã5	
懼	tɕy5	
懿	i5	
戀	lin5	
戄	ɕyo5	
戈	kɔ1	
戉	ye5	
戊	ʋ̩5	
戌	ɕy5	
戍	su5	
戎	zoŋ2	
成	tsẽ2	
我	ŋɔ3	
戒	tɕiɐɪ5	
戕	tɕʰiã2	
或	xue5	
戚	tɕʰi5	
戛	tɕia5	
戜	tie5	
戠	tsɿ5	
截	tɕʰie5	
戮	lu5	
戰	tsã5	
戲	ɕi5	
戳	tɔ5	白讀
戳	tsʰɔ5	
戴	tɐɪ5	
戶	fu5	
戶	fu1	走人户
戹	ŋe5	
戽	fu5	
房	fã2	
所	sɔ3	
扁	pia3	白讀
扁	pin3	
扇	sã5	
手	səʊ3	
才	tsʰɐɪ2	
扎	tsa3	動詞，“扎起”，意为支持
扒	pʰa2	扒手
打	ta3	
扔	zẽ3	
托	tʰɔ5	
扚	ti5	
扢	tɕi5	
扢	ku5	
扣	kʰəʊ2	1.表示將物品倒置，翻面。2.表示人貪婪，嗇色
扣	kʰəʊ5	
扭	ȵiəʊ3	
扮	pã5	
扯	tsʰe3	
扱	tsʰa5	
扳	pã1	
扴	tɕia5	
扶	fʋ̩2	
扸	pʰin3	動詞，表示用斧頭削木頭皮
批	pʰəɪ1	避讳
扽	tẽ5	動詞，表示把物品放置在某處
找	tsɑʊ3	
承	sẽ2	
技	tɕi5	
抄	tsʰɑʊ1	
抉	tɕye5	
把	pa3	
抑	i5	
抓	tsua1	
抔	pʰəɪ3	
投	tʰəʊ5	动词，双手拿住毛巾的两头,放在水盆中上下搓洗毛巾
投	tʰəʊ2	
抖	təʊ3	抖音
抖	tʰəʊ3	白讀
抗	kʰã5	
折	se5	折本
折	tse5	折耳根
抨	pʰẽ1	文讀
披	pʰəɪ1	
抬	tʰɐɪ2	
抭	ye5	
抱	pɑʊ5	
抱	pɑʊ1	
抲	xa1	動詞，表示用手翻找
抴	ie5	
抵	ti3	
抶	tsʰɿ5	
抹	ma5	
押	ia5	
抽	tsʰəʊ1	
拂	fʋ̩5	
拆	tsʰe5	
拇	mu3	
拈	ȵin1	
拉	la1	
拋	pʰɑʊ1	
拌	pã5	
拌	pẽ5	白讀
拍	pʰe5	
拎	lin1	
拐	kuɐɪ3	
拒	tɕy5	
拓	tʰɔ5	
拔	pa5	
拔	pʰa5	
拖	tʰɔ1	
拗	ŋɑʊ5	
拘	tɕy1	
拙	tsʰɔ5	
拚	pʰã5	
招	tsɑʊ1	
拜	pɐɪ5	
括	kʰɔ5	文讀
括	kʰue5	
拭	sɿ5	
拮	tɕi5	
拮	tɕie5	
拯	tsẽ3	
拱	koŋ3	
拱	koŋ5	
拳	tɕʰyn2	
拴	suã1	
拶	tsa5	
拹	ɕie5	
拺	se5	
拺	tsʰe5	
拼	pʰin1	
拾	sɿ5	
拿	na2	
持	tsʰɿ2	
挃	tsɿ5	
指	tsɿ3	
按	ŋã5	
挌	ke5	
挑	tiɑʊ1	白讀，作動詞
挑	tʰiɑʊ1	
挒	lie5	
挖	ua1	
挨	ŋɐɪ1	
挨	ŋɐɪ2	
挩	tɔ5	動詞，可能是戳的白读的后造字
挪	nɔ2	
挬	pu5	
振	tsẽ3	
挹	i5	
挺	tʰin3	
挼	zua2	動詞，表示揉
挽	uã3	
挾	ɕie5	
捅	tʰoŋ3	
捆	kʰuẽ3	
捉	tsɔ5	
捋	nɔ5	
捎	sɑʊ1	
捏	lie5	
捐	tɕyn1	
捔	tɕyo5	
捕	pu3	
捕	pʰu1	仅用于“捕捉""""捕捞""（白讀）
捧	pʰoŋ3	
捨	se3	
捩	lie5	白讀，作動詞，表示物體跌落，或作助動詞，表未能趕上xx
捩	lie5	
捫	mẽ1	
捱	ŋɐɪ2	動詞，表示拖延
捲	tɕyn3	
捷	tɕʰie5	
捹	pẽ5	表示努力掙扎，擺脫束縛。如：～脫.同(𨁼)
捺	na5	
掀	ɕin1	
掂	tin5	
掃	sɑʊ3	
掃	sɑʊ5	掃把
掇	tɔ5	
掇	tsɔ5	
授	səʊ5	
掉	tiɑʊ5	
掌	tsã3	
掏	tʰɑʊ5	
掐	tɕʰia3	量詞
掐	tɕʰia5	
排	pʰɐɪ2	
掖	i5	
掘	tɕye5	又音，如：～進隊
掘	tɕʰye5	
掛	kua5	
掝	xɔ5	
掠	lyo5	也有读上声调的
探	tʰã1	
掣	tsʰe5	
接	tɕie5	
控	kʰoŋ5	
推	tʰuəɪ1	
掩	in3	
措	tsʰu5	
掿	nɔ5	
揀	tɕin3	
揆	kuəɪ5	
揉	zəʊ2	
描	miɑʊ2	
提	tʰi2	
插	tsʰa5	
揖	i5	
揘	yn2	
揚	iã2	
換	xuã5	
換	xuã1	
揠	ia5	
握	ɔ5	
揢	kʰe5	
揣	tsʰuɐɪ1	
揣	tsʰuɐɪ3	
揤	tɕi5	
揩	kʰɐɪ1	
揪	tɕiəʊ1	
揬	tʰu5	
揭	tɕie5	
揮	xuəɪ1	
揱	sɔ5	
揲	se5	
揲	tie5	
揳	ɕie5	
援	yn2	
揹	pəɪ1	
揾	ʋ̩5	
擱	kɔ5	耽搁
擱	kʰɔ1	搁在桌子高点
搊	tsʰəʊ1	動詞，表示推
搌	tsã3	動詞，表示用手抬動或移動物品，同時也可作形容詞表示用力的樣子，如：～勁
損	sẽ3	
搓	tsʰɔ1	
搖	iɑʊ2	
搙	lɔ5	
搙	nɔ5	
搜	səʊ1	
搞	kɑʊ3	
搣	mie3	白讀，作動詞，表示用手掰彎
搣	mie5	
搣	pʰie3	白讀，又音，作動詞，表示用手掰彎
搤	ŋe5	
搦	lɔ5	
搦	nɔ5	
搦	le5	
搬	pã1	
搭	ta5	
搮	li5	
搲	ua5	～憋憋：人生氣（或傷心時）發出的高亢而淒慘聲音的樣子
搶	tɕʰiã3	
搹	ke5	
搽	tsʰa2	搽臉，搽藥
摃	kʰã2	
摏	tsoŋ1	動詞，表示用棍等物體向下捅
摑	kɔ5	
摔	suɐɪ1	
摔	tsuɐɪ1	白讀，動詞，表跌倒
摕	tie5	
摘	tse5	
摞	lɔ5	
摟	ləʊ3	
摩	mɔ1	
摭	tsɿ5	
摳	kʰəʊ1	
摳	kʰəʊ2	形容詞，表示人自私貪婪
摵	se5	
摸	mɔ1	
撅	tɕye5	
撇	pʰie5	
撈	lɑʊ1	
撈	ləʊ5	動詞
撋	zuã2	
撐	tsẽ1	
撒	sa5	白讀，表示水漏出
撒	sa3	噴撒
撓	nɑʊ2	
撕	sɿ1	
撚	ȵin3	
撞	tsʰuã3	
撤	tsʰe5	
撥	pɔ5	
撩	liɑʊ1	
撫	fʋ̩3	
撬	ŋɑʊ5	白讀
撬	tɕʰiɑʊ5	
播	pɔ5	
撮	tsʰɔ5	一撮，少，頭髮一撮厘兒
撰	tsuã5	
撲	pʰu2	
撻	tʰa5	
撼	xã5	
擀	kã3	
擁	yŋ3	
擂	luəɪ2	白讀，作動詞
擂	luəɪ5	
擅	sã5	
擆	tsɔ5	
擇	tsʰe1	择菜；在菜市场买水果的时候要择一下果子是不是好的
擇	tse5	选择题
擉	tsʰɔ5	
擊	tɕi5	
擋	tã3	
擌	se5	
操	tsʰɑʊ1	
擎	tɕʰin2	
擒	tɕʰin2	
擔	tã1	
擔	tã5	
擗	pi5	
擘	pe5	
據	tɕy1	
擠	tɕi3	
擢	tsɔ5	
擦	tsʰa5	
擬	ȵi3	
擭	xɔ5	
擲	tsɿ5	
擴	kʰue5	
擷	ɕie5	
擺	pɐɪ3	
擾	zɑʊ3	
擿	tsɿ5	
攀	pʰã1	
攃	tsʰa5	
攆	ȵin3	
攉	xɔ5	
攊	li5	
攏	loŋ3	
攔	lã2	
攘	zã3	
攙	tsʰã1	
攜	ɕie2	
攝	se5	
攣	nuã2	
攤	tʰã1	
攥	tsʰɔ5	摘
攪	kʰɑʊ2	白讀
攪	tɕiɑʊ3	
攫	tɕyo5	
攬	lã3	
支	tsɿ1	
收	səʊ1	
改	kɐɪ3	
攻	koŋ1	
放	fã5	
政	tsẽ5	
敀	pʰe5	
故	ku5	
效	ɕiɑʊ5	
敏	min3	
救	tɕiəʊ5	
敕	tsʰɿ5	
敗	pɐɪ5	
敘	ɕy5	
教	tɕiɑʊ1	
教	tɕiɑʊ5	
敝	pi5	
敠	tɔ5	
敠	tɕʰye5	
敢	kã3	
散	sã3	
散	sã5	
敦	tẽ1	
敫	tɕi5	
敫	yo5	
敬	tɕin5	
敮	ɕia5	
敲	kʰɑʊ1	
整	tsẽ3	
敵	ti5	
敷	fʋ̩1	
數	su3	
數	su5	
敹	liɑʊ1	表示縫製
斀	tsɔ5	
斁	i5	
斂	lin3	
斃	pi5	
文	uẽ2	
斗	təʊ3	
料	liɑʊ5	
斜	ɕie2	
斟	tsẽ1	
斠	tɕyo5	
斢	tʰiɑʊ3	白讀，作動詞，表示調換
斤	tɕin1	
斥	tsʰɿ5	
斧	fʋ̩3	
斫	tsɔ5	
斬	tsã3	
斮	tsɔ5	
斯	sɿ1	
新	ɕin1	
斲	tsɔ5	
斷	tuã5	
斷	tuã1	
方	fã1	
於	y2	等於是，等於，屬於
施	sɿ1	
旁	pʰã2	
旅	ly3	
旋	ɕyn2	
旋	ɕyn5	1.表示在某地來回轉圈。2.表示現場馬上完成某個動作
旌	tɕin1	
族	tsʰu5	
旗	tɕʰi2	
既	tɕi5	
日	zɿ5	
旦	tã5	
旨	tsɿ3	
早	tsɑʊ3	
旬	ɕyn2	
旭	ɕy5	
旱	xã5	
旱	xã1	
旺	uã5	
旽	tʰẽ5	互相拖，等別人先行動
昂	ŋã2	
昆	kʰuẽ1	
昌	tsʰã1	
明	mẽ2	白讀，如：～天，～朝，～年
明	min2	
昏	xuẽ1	
昒	ʋ̩5	
易	i5	
易	i5	交易，貿易。
昔	ɕi5	
星	ɕin1	
映	in5	
春	tsʰuẽ1	
昧	məɪ5	
昨	tsɔ1	
昭	tsɑʊ5	
是	sɿ5	
是	sɿ1	
昱	y5	
昳	tie5	
昵	li5	
時	sɿ2	
晃	xuã5	
晉	tɕin5	
晊	tsɿ5	
晌	sɑʊ3	
晏	ŋã5	
晚	uã3	
晝	tsəʊ5	
晢	tse5	
晣	tse5	
晦	xuəɪ5	
晨	sẽ2	
晫	tsɔ5	
晫	tsʰɔ5	
普	pʰu3	
景	tɕin3	
晳	ɕi5	
晴	tɕʰin2	
晶	tɕin1	
晷	kuəɪ3	
晹	sɿ5	
智	tsɿ5	
晾	lã1	白讀，如：～衣裳
晾	liã5	
暇	ɕia2	
暈	yn5	暈車
暍	ie5	
暑	su3	
暖	nuã3	
暗	ŋã5	
暢	tsʰã5	
暫	tsã5	
暮	mɔŋ5	
暱	ȵi5	
暴	pɑʊ5	
暹	ɕin1	
暻	tɕyn3	
暼	pʰie5	
曄	ie5	
曅	ie5	
曆	li5	
曉	ɕiɑʊ3	
曝	pʰu5	
曠	kʰuã5	
曩	nã3	
曬	sɐɪ5	
曰	ye5	
曲	tɕʰy5	
更	kẽ1	打更
更	kẽ5	
曷	xɔ5	
書	su1	
曹	tsʰɑʊ2	
曾	tsẽ1	
曾	tsʰẽ2	
替	tʰie5	
最	tsuəɪ5	
會	kuɐɪ5	會稽，會計
會	xuəɪ5	
月	ye5	
有	iəʊ3	
朋	pʰoŋ2	
服	fu5	
朒	ka3	
朔	sɔ5	
朕	tsẽ5	
朗	lã3	
望	uã5	上望
朝	tsɑʊ1	
朝	tsʰɑʊ2	
期	tɕʰi2	
木	mu5	
未	məɪ1	一般写成“没”，未得，未有
未	uəɪ5	
末	mɔ5	
本	pẽ3	
朱	tsu1	
朵	tɔ1	耳朵
朵	tɔ3	
朷	mu5	
朽	ɕiəʊ3	
杈	tsʰa1	
杉	sã1	
杌	ʋ̩5	
李	li3	
杏	xẽ5	
材	tsʰɐɪ2	
村	tsʰẽ1	
杓	sɔ5	
杖	tsã5	
杖	tsã1	
杙	i5	
杜	tu5	
杞	tɕi5	
束	tsʰu5	
杭	xã2	
杯	pəɪ1	
東	toŋ1	
杳	iɑʊ3	
板	pã3	
枉	uã3	
析	ɕi5	
枕	tsẽ3	
林	lin2	
枚	məɪ2	
果	kɔ3	
枝	tsɿ1	
枯	kʰu1	
枵	ɕiɑʊ1	
架	tɕia5	
枼	ie5	
柄	pin3	
柏	pe5	
某	moŋ3	
柑	kã1	
柒	tɕʰi5	
染	zã3	
柔	zəʊ2	
柙	ɕia5	
柚	iəʊ5	
柞	tsɔ5	
柣	tsʰɿ5	
查	tsa2	
查	tsʰa2	
柩	tɕiəʊ5	
柫	fʋ̩5	
柬	tɕin3	
柮	tu5	
柱	tsu5	
柱	tsʰu3	
柲	pi5	
柳	liəʊ3	
柴	tsʰɐɪ2	
柵	tsʰe5	
柷	tsu5	
栐	yn3	
樹	su1	
栗	li5	
栜	se5	
校	kɑʊ5	白讀，動詞。表示嘗試
校	ɕiɑʊ5	
校	tɕiɑʊ5	
栢	pe5	
株	tsu1	
栵	lie5	
根	kẽ1	
栻	tsʰɿ5	
格	ke5	
栽	tsɐɪ1	
桂	kuəɪ5	
桃	tʰɑʊ2	
桅	uəɪ2	
框	kʰuã1	
案	ŋã5	
桌	tsɔ5	
桎	tsɿ5	
桐	tʰoŋ2	
桑	sã1	
桓	xuã2	
桔	tɕie5	
桲	pu5	
桶	tʰoŋ3	
桷	tɕyo5	
桼	tɕʰi5	
桿	kã1	
梀	tsu5	
梁	liã2	
梅	məɪ2	
梑	ti5	
梓	tsɿ3	
梗	kẽ3	
梜	tɕia5	
條	tʰiɑʊ2	
梢	sɑʊ1	
梧	ʋ̩2	
梨	li2	
梭	sɔ1	
梯	tʰi1	
械	tɕiɐɪ5	文讀
梲	tsɔ5	
梳	su1	
梵	fã5	
棄	tɕʰi5	
棉	min2	
棋	tɕʰi2	
棍	kuẽ5	
棏	tʰe5	
棏	tse5	蠶箔閣架上的橫木。
棒	pã5	
棕	tsoŋ1	
棗	tsɑʊ3	
棘	tɕi5	
棚	pʰoŋ2	
棟	toŋ5	
棤	ɕi5	
棧	tsã5	
棫	y5	
