#漢字	音標	解釋
喎	vo3	～人：叫人
曾	tsʰen2	
替	tʰi5	
最	tsui5	
會	fi5	
會	foi5	能，可以
月	ŋiat8	
有	iu1	
朋	pʰen2	
服	fuk8	
朔	sok7	
望	moŋ5-	
望	voŋ5	希～
朝	tsau1	
朝	tsʰau2	
期	kʰi2	
朦	muŋ2	
木	muk7	
未	vi5	
末	mat8	
本	pun3	
朱	tsu1	
朵	to3	
杆	kon1	
杈	tsʰa1	
杉	tsʰam5	
李	li3	
材	tsʰoi2	
村	tsʰun1	
杖	tsʰoŋ3	
杜	tʰu5	
杞	ki3	
束	tsʰuk7	
杠	koŋ5	
杭	hoŋ2	
杯	pi1	
東	tuŋ1	
杷	pʰa2	
松	tsʰiuŋ2	
板	pan3	
枇	pʰi2	
枉	voŋ3	
析	sit7	
枕	tsəm3	
林	lim2	
枚	moi2	
果	kuo3	
枝	tsɿ1	
枯	kʰu1	
枱	tʰoi2	
枵	hiau1	
架	ka5	
枷	ka1	
柄	piaŋ5	
柏	pak7	
某	meu1	
柑	kam1	
柒	tsʰit7	
染	ŋiam3	
柔	iu2	
柚	iu5	
查	tsʰa2	
柬	kian3	
柯	kʰo1	
柱	tsʰu1	
柳	liu3	
柴	tsʰai2	
柵	tsʰap8	
柿	sɿ5	
栓	tsien1	
栗	lit8	
校	kau3	
株	tsu1	
核	hak8	～卵：睾丸
核	het8	
根	ken1	
根	kin1	
格	kak7	
栽	tsai1	
桂	kui5	
桃	tʰau2	
桄	kuaŋ1	
框	kʰioŋ1	
案	on5	
桉	on5	
桌	tsok7	
桐	tʰuŋ2	
桑	soŋ1	
桔	kit7	
桶	tʰuŋ3	
梁	lioŋ2	
梅	moi2	
梆	pok8	用竹筒做的作為信號的工具
梓	tsɿ3	
梔	tsɿ1	
梗	ken3	
梗	kuaŋ3	
梟	hiau1	
梢	sau1	
梧	m2	
梨	li2	
梭	so1	
梯	tʰoi1	
械	hai5	
梳	sɿ1	
棄	hi5	
棉	mien2	
棋	kʰi2	
棍	kun5	
棒	puŋ3	
棗	tsau3	
棚	pʰaŋ2	
棟	tuŋ5	
棧	tsʰan5	
棧	tsʰien5	
森	sem1	
棰	tsʰui2	
棱	lin2	
棲	tsʰi1	
棵	kʰo5	
棺	kuon1	
椅	i3	
植	tsʰət8	
椒	tsiau1	
椰	iai2	
楊	ioŋ2	
楓	fuŋ1	
楚	tsʰɿ3	
楝	lien5	
楠	nam2	
業	ŋiap8	
極	kʰit7	
楷	kʰoi3	
概	kʰoi3	
榆	i5	
榜	poŋ3	
榨	tsa5	
榫	sun3	
榭	tsʰia5	
榮	iuŋ2	
榷	kʰok7	
榻	tʰap7	
槍	tsʰioŋ1	
槐	fai2	
槳	tsioŋ3	
槽	tsʰau2	
樁	tsoŋ1	
樂	lok8	
樂	ŋok8	
樓	leu2	
標	pʰiau1	
樞	kiu3	
樟	tsoŋ1	
模	mu2	
樣	ioŋ5	
樵	tsʰiau2-	
樵	tsiau1	
樸	pʰok7	
樹	su5	
樺	fa2	
橄	kam1	
橋	kʰiau2	
橙	tsʰaŋ1	
機	ki1	
橢	tʰo5	
橫	vaŋ2	
檀	tʰan2	
檁	lim1	
檔	toŋ3	
檢	kiam3	
櫃	kʰui5	
櫓	lu1	
櫻	in1	
櫼	tsiam1	～ e31:楔子
權	kʰian2	
欖	lam3	
欠	kʰiam5	
次	tsʰɿ5	
欮	kʰiat7	
欲	iuk8	
欺	kʰi1	
欽	kʰim1	
歆	him1	
歇	hiat7	
歉	kʰiap7	
歌	ko1	
歎	tʰan5	
歐	eu1	
歡	fon1	
止	tsɿ3	
正	tsaŋ1	
正	tsaŋ5	
正	tsən5	
此	tsʰɿ3	
步	pʰu5	
武	vu1	
歧	kʰi1	
歪	vai1	
歷	lit8	
歸	kui1	
歹	tai3	～手：狡猾
死	si3	
歿	mut8	
殆	tʰai5	
殉	sun3	
殊	su2	
殕	pʰu3	～味：發黴的味道
殘	tsʰan2	
殮	liam5	
殯	pin1	
殲	siam2	
殳	it8	
段	tʰon5	
殷	in1	
殺	sat7	
殼	hok7	
殿	tʰien5	
毀	kʰui3	
毅	ŋi5	
毆	eu3	
毋	m2	
母	mu1	
每	mi1	
毒	tʰeu5	
毒	tʰuk8	
比	pi3	
毖	pi5	
毛	mau1	
毯	tʰan3	
氈	tsan1	
氏	sɿ5	
氐	ti3	
民	min2	
氣	hi5	
氨	on1	
氫	kʰin1	
水	sui3	
永	iun3	
氾	fam5	
求	kʰiu2	
汆	tsʰon1	
汊	tsʰa1	
汕	san1	
汗	hon5	
汙	vu1	
汝	ŋi2	
汞	kuŋ5	
江	koŋ1	
池	tsʰɿ2	
汪	voŋ1	
汴	pʰien3	
汶	vun2	
決	kiat7	
沁	sim3	
沃	vok7	
沈	səm1	
沉	tsʰəm2	
沒	mut8	
沖	tsʰuŋ1	
沙	sa1	
沛	pʰi5	
沫	mat8	
河	ho2	
沸	pi5	
油	iu2	
治	tsʰɿ2	殺
治	tsʰɿ5	
沼	tsau5	
沽	kʰu1	
沾	tsam1	
沿	ian2	
泅	tsʰiu2	
泉	tsʰan2	
泊	pʰok7	
泌	pi5	
泔	kam1	
法	fap7	
泛	fam5	
泡	pʰiau5-	
泡	pʰau5	
波	po1	
泥	nai2	
注	tsu5	
泰	tʰai5	
泳	iun3	
洋	ioŋ2	
洗	se3	
洛	lok8	
洞	tʰuŋ5	
津	tsin1	
洪	fuŋ2	
洮	tʰau2	
洲	tsu1	
洶	hiuŋ1	
活	fat8	
洽	kʰap7	
洽	kʰiap7	
派	pʰai5	
流	liu2	
浙	tsat7	
浦	pʰu3	
浪	noŋ5-	
浪	loŋ5	
浮	feu2	
浴	iuk8	
海	hoi3	
浸	tsim5	
消	siau1	
涉	sap8	
涯	ŋai2	
液	it8	
涼	lioŋ2	
涿	tuk7	
淋	lim2	
淌	tʰoŋ3	
淑	suk7	
淒	tsʰi1	
淘	tʰau2	
淙	tsuŋ1	
淚	lui5	
淡	tʰam1	鹹～
淡	tʰam5	～菜
淤	i1	
淨	tsʰiaŋ5	
淪	lun2	
淫	ŋim2	
淬	tsʰui5	
淮	fai2	
深	tsʰəm1	
淳	sun2	
淵	ian1	
混	fun5	
淹	iam1	
淺	tsʰien3	
添	tʰiam1	
淼	miau3	
清	tsʰiaŋ1	～明節
清	tsʰin1	
減	kam3	
渠	kʰi1	
渡	tʰu5	
渣	tsa1	
渤	pʰut8	
測	tsʰet7	
渭	vi5	
渴	hot7	
渺	miau3	
渾	fun2	
湊	tsʰeu5	
湖	fu2	
湘	sioŋ1	
湧	iuŋ3	
湯	tʰoŋ1	
溉	kʰoi3	
源	ŋian2	
溜	liu5	
溝	keu1	
溪	hai1	
溫	vun1	
溶	iuŋ2	
溺	nit8	
溻	tʰap7	
滂	pʰoŋ2	
滅	met8	
滋	tsɿ1	
滑	vat8	
滓	tsai3	
滔	tʰau1	
滕	tʰen2	
滬	fu5	
滯	tsʰe5	
滲	tsʰam1	
滴	tit7	
滴	tit8	～～子:一點點
滸	fu3	
滾	kun3	～水
滾	kʰun3	
滿	man1	
漂	pʰiau1	～流
漂	pʰiau5	～白粉
漆	tsʰit7	
漏	leu5	
演	ian1	
漕	tsʰau2	
漚	eu5	
漠	mok7	
漢	hon5	
漣	lien2	
漫	man5	
漲	tsoŋ5	
漸	tsʰiam5	
漾	ioŋ5	
漿	tsioŋ1	
潑	pʰat7-	
潑	pat7	
潔	kiat7	
潘	pʰan1	
潛	siam2	
潞	lu5	
潤	iun5	
潭	tʰam2	
潰	kʰui3	
潺	tsan1	
潼	tʰuŋ2	
澀	sep7	
澄	tsʰən2	
澇	lau2	
澗	kian3	
澤	tsʰet8	
澱	tʰin5	
澳	au5	
激	kit7	
濁	tsʰuk7	
濃	nuŋ1	
濕	səp7	
濛	muŋ2	
濞	pʰi5	
濟	tsi5	
濤	tʰau2	
濫	lam5	
濱	pin1	
濺	tsien5	
濾	li5	
瀉	sia5	
瀋	səm1	
瀏	liu2	
瀑	puk7	
瀘	lu2	
瀾	lan2	
灌	kuon5	
灑	sa3	
灘	tʰan1	
灣	van1	
火	fo3	
灰	foi1	
灶	tsau5	
灸	kiu5	
灼	tsok7	
災	tsai1	
炊	tsʰoi1	
炎	iam2	
炒	tsʰau3	
炔	kiat7	
炕	kʰoŋ5	
炙	tsak7	
炭	tʰan5	
炮	pʰau5	
炯	kuen3	
炳	piaŋ3	
炸	tsa5	
爲	vi2	～人
爲	vi5	因～
烏	vu1	
烘	fuŋ3	
烤	kʰau3	
烹	pʰen1	
烽	fuŋ1	
焉	ian2	
焊	hon5	
焗	kiuk8	
焗	kuk8	悶
焙	pʰoi5	
焚	fun2	
無	mo2	
無	vu2	
焦	tsiau1	
焫	nat7	燙
焰	iam5	
焱	iam5	
然	ian2	
煉	lien5	
煎	tsien1	
煒	vi3	
煙	ian1	
煞	sat7	
煠	sap8	～卵：煮雞蛋
煤	moi2	
煥	fon5	
照	tsau5	
煨	voi1	
煩	fan2	
煮	tsu3	
煲	po1	
熄	sit7	
熊	iuŋ2	
熙	hi1	
熝	luk8	燙
熟	suk8	
熬	ŋau2	
熰	eu5	～火：燒火堆
熱	ŋiat8	
熻	hip7	燜
燃	ian2	
燈	ten1	
燉	tun1	
燒	sau1	
燕	ian1	
燕	ian5	
燙	tʰoŋ5	
燜	mun1	
營	iaŋ2	
營	in2	
燥	tsʰau5	
燦	tsʰan5	
燭	tsuk7	
爆	pau5-	破裂
爆	pʰau5	
爐	lu2	
爛	lan5	
爨	tsʰon2	
爪	tsau3	
爬	pʰa2	
爭	tsaŋ1	
爭	tsen1	
父	fu5	
爸	pa1	
爹	tia1	
爺	ia2	
爾	ŋi2	
牆	sioŋ2	
片	pʰen3	
片	pʰien3	
牌	pʰai2	
牘	tʰuk8	
牙	ŋa2	
牛	ŋiu2	
牡	meu5	
牢	lau2	
牧	muk8	
物	vut8	
牲	sen1	
牸	tsʰɿ5	雌性未生子的四腳家畜
特	tʰit8	
牽	kʰian1	
犀	si1	
犁	lai2	
犬	kʰian3	
犯	fam5	
狀	tsʰoŋ5	
狂	kʰuoŋ2	
狄	tʰit7	
狐	fu2	
狗	keu3	
狠	hen1	
狡	kau3	
狸	li2	
狹	hap8	
狹	hiap8	
猙	tsen1	
猛	maŋ1	
猜	tsʰai1	
猬	vi5	
猴	heu2	
猶	iu2	
猾	vat8	
獎	tsioŋ3	
獨	tʰuk8	
獰	nen2	
獲	fet8	
獸	tsʰu5	
獺	tsʰat7	
獻	hian5	
玄	hian2	
率	sut7	
玉	ŋiuk8	
王	voŋ2	
玖	kiu3	
玦	kiat7	
玩	ŋan5	
玲	lin2	
玻	po1	
珊	san1	
珍	tsən1	
珠	tsu1	
班	pan1	
現	hian5	
球	kʰiu2	
理	li1	
琛	tsʰəm1	
琢	tuk7	
琦	kʰi2	
琨	kʰun1	
琪	kʰi2	
琮	tsuŋ1	
琳	lim2	
琴	kʰim2	
琵	pʰi2	
琶	pʰa2	
瑕	ha2	
瑞	sui5	
瑣	so3	
瑤	iau2	
瑩	in2	
璃	li2	
璧	pit7	
環	fan2	
璿	sien2	
瓊	kʰiun2	
瓜	kua1	
瓢	pʰiau1	
瓤	noŋ2	
瓦	ŋa3	
瓶	pʰiaŋ2	
瓶	pʰin2	
瓷	tsʰɿ2	
甘	kam1	
甚	səm5	
甜	tʰiam2	
生	saŋ1-	
生	sen1	
產	san3	
甥	sen1	
用	iuŋ5	
甩	soi1	
甫	pʰu3	
甬	iuŋ3	
田	tʰien2	
由	iu2	
甲	kap7	
申	sən1	
男	nam2	
界	kiai5	
畏	vi5	
留	liu2	
畜	hiuk7	
畝	meu1	
畢	pit7	
略	liok8	
番	pʰan1	～禺
番	fan1	
畫	fa5	
當	toŋ1	
當	toŋ5	
疃	tʰon5	田～
疆	kioŋ1	
疊	tʰiap8	
疏	sɿ1	
疔	taŋ1	
疚	kiu5	
疝	san1	
疤	pa1	
疥	tse1	細小、瘦小
疫	it8	
疲	pʰi1	
疵	tsʰɿ1	
疹	tsən1	
疾	tsʰit8	
痂	ka1	
痂	kʰio2	
病	pʰiaŋ5	
症	tsən5	
痊	tsien1	
痔	tsʰɿ5	
痕	hen1	
痛	tʰuŋ5	
痣	tsɿ5	
痤	tsʰo5	
痧	sa1	
痰	tʰam2	
痱	pi5	
痳	ma2	
痹	pi1	
瘊	heu2	
瘋	fuŋ1	
瘍	ioŋ2	
瘟	vun1	
瘡	tsʰoŋ1	
瘤	liu2	
瘦	seu5	
瘴	tsoŋ5	
瘺	leu5	
癡	tsʰɿ1	
癢	ioŋ1	
癩	tʰai3	
癬	sien3	
癰	iuŋ1	
癱	tʰan1	
癲	tien1	
癸	kui5	
登	ten1	
發	pot7-	
發	fat7	
白	pʰak8	
百	pak7	
皂	tsʰau5	
的	tit7	
皆	kiai1	
皮	pʰi2	
皺	tsiu5	
盅	tsuŋ1	
盆	pʰun2	
盈	in2	
益	it7	
盒	hap8	
盔	foi1	
盛	sən5	
盜	tʰau5	
盞	tsan3	
盟	men2	
盡	tsʰin5	
監	kam1	
監	kam5	～督
盤	pʰan2	
盧	lu2	
目	muk7	
盲	miaŋ1-	
盲	maŋ2	
直	tsʰət8	
相	sioŋ1	
相	sioŋ5	
盹	tun3	
盼	pʰan5	
盾	tʰun3	
省	saŋ3-	
省	sen3	
眇	miau3	
眉	mi2	
看	kʰon5	
真	tsən1	
眠	min2	
眩	hian2	
眵	sɿ3	
眶	kʰioŋ1	
眷	kian5	
眼	ŋian3	
眾	tsuŋ5	
睛	tsin1	
睡	soi5	
督	tuk7	
睦	muk8	
睫	tsʰiap8	
瞄	miau2	
瞅	tsiu1	
瞎	hat7	
瞞	man3	
瞧	tsiau1	
瞳	tʰuŋ2	
瞻	tsam1	
瞿	kʰi3	
矢	tsʰɿ1	
矣	i1	
知	ti1-	
知	tsɿ1	
矩	ki3	
短	ton3	
矮	ai3	
矯	kiau3	
石	sak8	
矽	kui1	
砂	sa1	
砍	kʰam3	
研	ŋan1	
砣	tʰo2	
砥	ti3	
砧	tsem1	
破	pʰo5	
硃	tsu1	
硝	siau1	
硬	ŋaŋ5	
硯	ian5	
碌	luk7	
碎	sui5	
碑	pi1	
碓	toi5	
碗	von3	
碘	tien3	
碟	tʰiap8	
碧	pit7	
碰	pʰuŋ5	
確	kʰok7	
碼	ma1	
磁	tsʰɿ2	
磊	toi1	
磕	kʰap8	
磕	kʰok8	
磚	tson1	
磨	mo2	
磨	mo5	
磬	kin3	
磬	kʰin5	
磺	voŋ2	
礁	tsiau1	
礎	tsʰu3	
礙	ŋoi5	
礦	kuaŋ3	
礪	li5	
礬	fam2	
礱	luŋ2	
礵	soŋ1	
示	sɿ5	
社	sa1	
祀	sai1-	～地：掃墓
祀	sɿ5	
祈	kʰi2	
祖	tsɿ3	
祝	tsuk7	
神	sən2	
祟	sui5	
祠	tsʰɿ2	
祥	sioŋ2	
票	pʰiau5	
祿	luk7	
禁	kim5	
禍	fo5	
福	fuk7	
禦	ŋi5	
禪	sam2	
禮	li1	
禱	tau3	
禹	i1	
禺	ŋi2	
禽	kʰim2	
禾	vo2	
秀	siu5	
秉	pin3	
秋	tsʰiu1	
科	kʰo1	
秒	miau3	
秘	pi5	
租	tsɿ1	
秤	tsʰən5	
秦	tsʰin2	
秧	ioŋ1	
秫	sut8	
移	i2	
稀	hi1	
稅	soi5	
稈	kon3	
程	tsʰən2	
稍	sau1	
稚	tsʰɿ1	
稠	tsʰu2	
種	tsuŋ3	
種	tsuŋ5	
稱	tsʰən1	
稱	tsʰən5	
稻	tʰau1	
稼	ka5	
稽	hi1	
稿	kau3	
穀	kuk7	
穆	muk8	
積	tsit7	
穎	in3	
穗	sui5	
穢	ve5	
穩	vun3	
穫	vok7	
穰	noŋ2	
穴	hiat8	
究	kiu5	
穹	kiuŋ1	
空	kʰuŋ1	
空	kʰuŋ5	
穿	tsʰon1	
突	tʰut7	～然
突	tʰut8	
窖	kau5	
窗	tsʰuŋ1	
窘	kiun3	
窟	fut7	
窩	vo1	
窪	va1	
窮	kʰiuŋ2	
窯	iau2	
窿	luŋ2	
竄	tsʰon3	
竅	kʰiau5	
竇	tʰeu5	
竊	tsʰiap7	
立	lip8	
站	tsam5	
站	tsʰam5	
竟	kin5	
章	tsoŋ1	
竣	tsun5	
童	tʰuŋ2	
端	ton1	
竹	tsuk7	
竿	kon1	
笊	tsau5	
笑	siau5	
笙	sen1	
笛	tʰak8	
笡	tsʰia5	
符	pʰu2	
笪	tat7	
第	tʰi5	
筆	pit7	
等	ten3	
筋	kin1	
筍	sun3	
筏	fat8	
筐	kʰioŋ1	
筒	tʰuŋ2	
答	tap7	
策	tsʰet7	
筵	ian2	
箄	pi5	
箋	tsʰien5	
箍	kʰu1	
管	kuon3	
箭	tsien5	
箱	sioŋ1	
節	tsiet7	
範	fam5	
篆	tsʰion5	
篇	pʰien1	
築	tsuk7	
篙	kau1	
篡	tsʰion3	～奪
篤	tuk7	
篩	si1	
篷	pʰuŋ2	
篾	mat7	
篾	met8	
簇	tsʰuk8	
簍	leu3	
簡	kian3	
簪	tsam1	
簫	siau1	
簰	pʰai2	
簷	iam2	
簸	pai5	
簽	tsʰiam1	
簾	liam1	
籃	lam2	
籌	tsʰu2	
籍	sit8	
籠	luŋ1	
籬	li2	
籮	lo2	
籲	i5	
米	mi3	
粄	pan3	
粉	fun3	
粒	lep7	
粗	tsʰɿ1	
粘	tsam1	
粘	ŋiam2	
粟	siuk7	
粥	tsuk7	
粦	lin2	
粬	kʰiuk7	
粱	lioŋ2	
粵	iat8	
精	tsiaŋ1	
精	tsin1	
糍	tsʰi2	
糕	kau1	
糖	tʰoŋ2	
糙	tsʰau5	
糜	mi2	
糞	pun5	
糟	tsau1	
糠	hoŋ1	
糧	lioŋ2	
糯	no5	
糰	tʰon2	
糴	tʰak8	
糶	tʰiau5	
系	hi5	
紂	tsʰu5	
約	iok7	
紅	fuŋ2	
紋	vun2	
納	nap8	
紐	neu3	
純	sun2	
紗	sa1	
紙	tsɿ3	
級	kʰip7	
素	sɿ5	
紡	foŋ3	
索	sok7	
紫	tsɿ3	
紮	tsap7	
累	lui1	～積
累	lui5	
細	se5	
紹	sau5	
終	tsuŋ1	
組	tsɿ1	
絆	pʰan5	
結	ket7-	
結	kiat7	
絕	tsʰiet8	
絞	kau3	
絨	iuŋ2	
統	tʰuŋ3	
絲	sɿ1	
絹	kian1	
綁	poŋ3	
綏	sui1	
經	kin1	
綜	tsiuŋ1	
綠	liuk8	
綢	tsʰu2	
維	vi2	
網	mioŋ3	
綺	i3	
綻	tsʰan5	
綿	mien2	
線	sien5	
緞	tʰon5	
締	ti5	
緣	ian2	
編	pʰien1	
緩	fon3	
緬	mien3	
緯	vi3	
練	lien5	
縆	hen2	
縛	pʰiok7	
縣	ian5	
縫	pʰuŋ2	
縫	fuŋ2	
縫	pʰuŋ5	
縮	suk7	
縱	tsiuŋ1	
縱	tsiuŋ3	
縷	leu3	
縹	pʰiau2	
總	tsuŋ3	
繁	fan2	
繅	sau2	～菜：把菜在開水鍋裏燙
織	tsət7	
繞	ŋiau3	
繡	siu5	
繩	sun2	
繳	kiau3	
繼	ki5	
纂	tsʰion5	
續	siuk8	
纏	tsʰan2	
纓	in1	
纖	siam2	
纜	lam5	
缸	koŋ1	
缺	kʰiat7	
缽	pat7	
罄	kʰin5	
罌	aŋ1	
罐	kuon5	
罕	hon3	
罪	tsʰui5	
置	tsɿ5	
署	su2	
罵	ma5	
罷	pʰa5	
羅	lo2	
羊	ioŋ2	
羌	kioŋ1	
美	mi1	
羔	kau1	
羞	siu1	
羣	kʰiun2	
羨	sien3	
義	ŋi5	
羹	kaŋ1	
翅	tsʰɿ5	
翎	lin2	
習	sip8	
翠	tsʰui5	
翡	fi1	
翦	tsien3	
翰	hon5	
翹	hiau5-	
翹	kʰiau5	
翻	pʰon1-	
翻	fan1	
翼	it8	
耀	iau5	
老	lau3	
考	kʰau3	
者	tsa3	
而	i2	
耍	sa3	
耐	nai5	
耒	loi3	
耕	kaŋ1	
耘	iun2	
耙	pʰa2	
耦	ŋeu1	
耬	leu3	
耳	ŋi3	
耽	tam1	
耿	kuen3	
聖	sən5	
聘	pʰin3	
聚	tsʰi5	
聞	pʰit7	
聯	lien2	
聰	tsʰuŋ1	
聲	saŋ1	
聶	ŋiap7	
聽	tʰaŋ1-	
聽	tʰin5	
聾	luŋ1	
肄	i5	
肅	siuk7	
肆	si5	
肉	ŋiuk7	
肋	lit8	
肌	ki1	
肖	siau1	姓
肖	siau5	
肚	tu3	
肛	koŋ1	
肝	kon1	
股	ku3	
肢	tsɿ1	
肥	pʰi2	
肩	kian1	
肫	tun3	
肮	oŋ1	
肯	hen3-	
肯	kʰen3	
育	iuk7	
肺	fi5	
胃	vi5	
背	pa2	
背	pi5	
背	poi5	
背	pʰoi5	
胎	tʰoi1	
胚	pʰi1	
胝	ti3	
胞	pau1	
胡	fu2	
胸	hiuŋ1	
能	nen2	
脂	tsɿ1	
脅	hiap7	
脅	hiap8	威～
脆	tsʰoi5	
脈	mak7	
脊	tsit7	
脏	tsʰoŋ5	
脖	pʰut8	
脛	kin1	
脧	tsoi1	陽物
脫	tʰot7	
脯	pʰu3	
脹	tsoŋ5	
脾	pʰi1	
脾	pʰi2	
腋	it8	
腎	sən5	
腐	fu3	
腐	fu5	
腑	fu3	
腔	kʰioŋ1	
腕	von3	
腥	siaŋ1	
腦	nau3	
腩	nam1	
腫	tsuŋ3	
腮	soi1	
腰	iau1	
腳	kiok7	
腸	tsʰoŋ2	
腹	puk7	
腿	tʰui3	
膏	kau1	
膚	fu1	
膜	mok7	
膝	tsʰit7	
膠	kau1	
膣	tsɿ1	女陰
膥	tsʰun1	蛋
膩	ni5	
膳	san3	
膽	tam3	
膿	nuŋ1	
臀	tʰun2	
臉	lien1	
臍	tsʰi2	
臘	lap8	
臘	liap8	火舌冒出
臣	sən2	
臨	lim2	
臬	ŋiat7	
臭	tsʰu5	
至	tsɿ5	
致	tsɿ5	
臺	tʰoi2	
臼	kʰiu1	
舀	iau3	
舁	i2	
舂	tsuŋ1	
舅	kʰiu1	
與	i1	
興	hin1	
興	hin3	
興	hin5	
舉	ki3	
舊	kʰiu5	
舌	sat8	
舍	sa5	宿～
舐	sai1	
舒	su1	
舔	tʰiam3	
舜	sun5	
舞	vu3	
舟	tsu1	
航	hoŋ2	
般	pan1	
舵	tʰo2	
船	son2	
艇	tʰiaŋ3	
艦	kam5	
良	lioŋ2	
色	set7	
艾	ŋai5	
芋	vu5	
芍	sok7	
芒	moŋ1	～果
芒	moŋ2	
芝	tsɿ1	
芭	pa1	
芯	sim1	
花	fa1	
芳	foŋ1	
芸	iun2	
芹	kʰiun2	
芽	ŋa2	
苔	tʰoi2	
苗	miau2	
苛	kʰo1	
苞	pau1	
苟	keu3	
苦	fu3	
苦	kʰu3	
苧	tsʰu1	
苯	pun5	
英	in1	
茂	miau5	
茄	kʰio2	
茅	mau2	
茲	tsɿ1	
茴	fi2	
茵	in1	
茶	tsʰa2	
茸	iuŋ2	
茹	i2	
荀	sun2	
荃	tsien1	
草	tsʰau3	
荒	foŋ1	
荔	li5	
荷	kʰai1	～石頭：挑石頭
荷	ho2	
荽	sui1	
莉	li5	
莊	tsoŋ1	
莎	sa1	
莖	kin1	
莠	iu5	
莧	han5	
莫	mok8	
莽	moŋ3	
菇	ku1	
菊	kʰiuk7	
菌	kʰiun1	
菓	kuo3	
菖	tsʰoŋ1	
菜	tsʰoi5	
菠	po1	
菩	pʰu2	
華	fa2	
菱	lin2	
菲	fi1	
萄	tʰau2	
萊	loi2	
萌	men2	
萍	pʰin2	
萬	van5	
落	lok8	
著	tsu5	
著	tsok7	
著	tsʰok8	對，正確
葛	kot7	
葡	pʰu2	
董	tuŋ3	
葦	vi3	
葬	tsoŋ5	
葵	kʰui2	
蒙	muŋ2	
蒜	son5	
蒸	tsən1	
蒹	kiam1	
蒼	tsʰoŋ1	
蒿	kau1	
蓄	hiuk7	
蓉	iuŋ2	
蓋	koi5	
蓑	so1	
蓖	pi1	
蓬	pʰuŋ2	
蓴	sun2	
蔑	mat7	
蔓	man5	
蔔	puk7	
蔗	tsa5	
蔚	vi3	
蔡	tsʰai5	
蔣	tsioŋ3	
蔥	tsʰuŋ1	
蔬	sɿ1	
蔭	im1	
蔽	pi5	
蕉	tsiau1	
蕎	kʰiau2	
蕨	kiat7	
蕩	tʰoŋ3	
蕪	vu3	
蕾	lui2	
薄	pʰu1	
薄	pʰok8	
薑	kioŋ1	
薔	sioŋ2	
薦	tsien5	
薪	sin1	
薯	su2	
薸	pʰiau2	～浮
薺	tsʰi2	
藉	sit8	
藍	lam2	
藏	tsʰoŋ2	
藏	tsʰoŋ5	
藐	mau3	
藝	ŋi5	
藤	tʰen2	
藥	iok8	
藩	pʰan1	
藹	ai5	
藺	nin5	
蘇	sɿ1	
蘸	tsiam3	
蘸	tsiau5	
蘿	lo2	
虎	fu3	
虐	ŋiok7	
處	tsʰu3	
處	tsʰu5	
虛	hi1	
虜	lu3	
虧	kʰui1	
虱	set7	
虹	fuŋ2	
虻	moŋ2	
蚊	mun1	
蚌	pʰoŋ1	
蚓	in3	
蚣	kuŋ1	
蚤	tsau3	
蛀	tsu5	
蛆	tsʰɿ1	
蛇	sa2	
蛋	tʰan5	
蛙	va1	
蛙	kuai3	
蛛	tsu1	
蛻	tʰui3	
蛾	ŋo2	
蜂	fuŋ1	
蜆	han3	
蜒	tʰin2	
蜘	tsɿ1	
蜜	met8	
蜢	maŋ3	
蜥	sit7	
蜻	tsin1	
蝕	sat8	
蝕	set8	
蝙	pien3	
蝟	vi5	
蝠	fuk7	
蝦	ha2	
蝸	vo1	
融	iuŋ2	
螟	men2	
螢	in2	
螺	lo2	
蟀	sut7	
蟄	tsat7	
蟄	set8	
蟆	ma2	
蟋	sit7	
蟥	voŋ2	
蟬	sam2	
蟲	tsʰuŋ2	
蟹	hai3	
蟻	ŋi5	
蟾	tsʰam2	
蠅	in2	
蠍	hiat7	
蠟	lap8	
蠢	tsʰun3	
蠶	tsʰam2	
蠻	man2	
血	hiat7	
行	haŋ2	
行	hoŋ2	
術	sut8	
街	ke1	
衛	vi5	
衡	fen2	
衣	i1	
表	piau3	
衫	sam1	
衰	soi1	
衲	nap7	
袁	ian2	
袋	tʰoi5	
袍	pʰau2	
袒	tʰan3	
袖	tsʰiu5	
被	pʰi1	
袱	fuk8	
裁	tsʰai2	
裂	liet8	
裏	li1	
裕	i5	
裙	kʰiun2	
補	pu3	
裝	tsoŋ1	
裟	sa1	
裱	piau3	
裳	soŋ2	
裴	pʰi2	
裸	kʰo5	
裹	kuo3	
褂	kua5	
複	puk7	
複	fuk7	
複	fuk8	～習
褒	po1	
褚	tu5	
褥	ŋiuk8	
褪	tʰui3	
褲	fu5	
褸	lau1	
襄	sioŋ1	
襖	au3	
襟	kʰim1	
襪	mat7	
襻	pan5	
西	si1	
要	iau1	
要	iau5	
覆	fuk7	
見	kian5	
規	kui1	
覓	met7	
視	sɿ5	
覡	saŋ5	
親	tsʰin1	
覺	kok7	
覽	lam5	
觀	kuon1	
覥	tien3	
角	kiuk7	驅趕
角	kok7	
解	kiai3	
觸	tsʰuk7	
言	ŋian2	
訂	taŋ3	
計	ki5	
訊	sin3	
討	tʰau3	
訖	ŋiat7	
記	ki5	
訛	ŋo2	
訟	siuŋ5	
訣	kiat7	
訪	foŋ3	
設	sat7	
許	hi3	
訴	sɿ5	
註	tsu5	
詐	tsa5	
詔	tsau5	
評	pʰin2	
詞	tsʰɿ2	
詠	iun3	
試	sɿ5	
詩	sɿ1	
詭	kui3	
詮	tsien1	
話	fa5	講～
話	va5	～人知：告訴別人知道
該	koi1	
