#漢字	音標	解釋
够	kɐu5	往上彀
够	kɐu5	
夢	moŋ6	
大	tai6	
大	tai6	大夫;大黃，藥名
天	tʰin1	
太	tʰai5	
夫	fou1	
央	jiɛŋ1	
夯	xaŋ1	打夯
失	sət7a	
夷	xei2	
夸	kʰa1	
夾	kiɛp7b	
夾	kiɛp8	
奇	kei2	
奈	nai6	
奉	foŋ4	
奎	kei2	
契	tsʰɐi5	契約
奔	pən1	
套	tʰøu5	
奠	tim6	
奢	ɕi1	
奪	tʊt8	
奮	fɐn5	
女	nʊi4	
奴	nou2	
奶	nai4	
奸	tsan1	
好	xøu3	好壞
好	xøu5	喜好
如	ʃʊi2	
妃	fei1	
妒	tou6	
妖	jiou1	
妗	tsəm6	舅母
妙	miou6	
妥	tʰʏ3	
妹	mʊi6	
妻	tsʰɐi1	
姊	tsei3	
始	ɕi3	
姐	tɕi3	
姑	kou1	
姓	ɬəŋ5	
委	wei3	
姚	jiou2	
姜	kiɛŋ1	孟姜女
姨	ji5	
姨	xei2	
姻	jən1	
姿	tsei1	
威	wei1	
娘	niɛŋ2	
娛	xʊi2	
娠	sən1	
娩	min4	分娩
娶	tsʰou3	
婆	pou2	
婚	wɐn1	
婢	pei4	
婦	fou4	
媒	mʊi2	
媚	mei6	
媳	ɬək7a	
媽	ma3	
嫁	tsa5	
嫂	ɬøu3	
嫌	jim1	
嫡	tək7a	
嫩	nʊn6	
嬌	kiou1	
嬰	ʔəŋ1	
嬸	səm3	
子	tsei3	
孔	xoŋ3	
孕	ȵən6	
字	tsei6	
存	tsʊn2	
孝	xau5	
孟	maŋ6	
季	kei5	
孤	kou1	
孩	xai2	
孫	ɬʊn1	
孵	fou1	孵小雞
學	xak8	
孽	nit8	
宅	tsak8	
宇	xʊi4	
守	ʃou3	
安	ʔøn1	
宋	ɬoŋ5	
完	jʊn2	
宏	xoŋ2	
宗	tsoŋ1	
官	kʊn1	
宙	tsau6	
定	təŋ6	
宜	ȵi2	
客	xak7b	
宣	ɬʊn1	
室	sət7a	
宮	koŋ1	
宰	tsai3	
害	xʏ6	
宵	ɬiou1	
家	tsa1	
容	joŋ2	
宿	ɬok7a	
寂	tsək8	
寄	kei5	
密	mət8	
寇	kʰɐu5	
富	fou5	
寐	mei6	
寒	xøn2	
察	tsʰat7b	
寡	ka3	
寢	tsʰəm3	
寥	liou6	
實	sət8	
寧	nəŋ2	安寧，滬寧
寧	nəŋ6	寧可
寨	sai6	
審	səm3	
寫	ɬi3	
寬	xʊn1	
寵	tsʰoŋ3	
寶	pøu3	
寸	tsʰʊn5	
寺	tsei6	
封	foŋ1	
射	ɕit8	文讀
射	ɕiɛt7b	白讀
射	ɕiɛt8	白讀
將	tɕiɛŋ1	將來
將	tɕiɛŋ5	大將
專	tsʊn1	
尊	tsʊn1	
尋	tsəm2	
對	tʊi5	
導	tøu6	
小	ɬiou3	
少	ɕiou3	多少
少	ɕiou5	少年
尖	tɕim1	
尚	sɐŋ6	
尤	jou2	
