#漢字	音標	解釋#('wuu_th_shj_shcs', '上海川沙話', '上海川沙', '#8B0000', None, None, '來源：<u>鶩高赭紗匕</u>', '53 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,213 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇', None, None)
㑚	nɑ6	第二人称复数
宅	zɑk8	
宇	ɦy4	
守	sɤ3	
安	ø1	
安	hø1	诸～浜（上海长宁地名）
宋	soŋ5	
完	βe2	
宏	ɦoŋ2	
宓	miɪʔ8	
宓	ɦok8	
宕	dɒ̃6	
宗	tsoŋ1	
官	kue1	
宙	zɤ6	
定	din6	
宛	βe3	
宜	ȵi2	
客	kʰɑk7	
宣	si1	
室	səʔ7	
宥	ɦiɤ6	
宦	βɛ6	
宮	koŋ1	
宰	tse3	
害	ɦe6	
宴	i5	
宵	siɔ1	
家	kɑ1	【白读】一～人；大～；人～
家	tɕiɑ1	【文读】国～；～庭；～教
宸	zəŋ2	
容	ɦioŋ2	
宿	siɤ5	星～
宿	sok7	
寂	ziɪʔ8	
寄	tɕi5	【文读】
寄	ke5	【白读】
寅	ɦin2	
密	miɪʔ8	
寇	kʰɤ5	
富	ɸu5	
寒	ɦø2	
寓	ȵy6	
寞	mɒk8	
察	tsʰæʔ7	
寡	kuo3	
寢	tsʰin3	
寣	ɸəʔ7	
寥	liɔ2	
實	zəʔ8	
寧	ȵin2	
寧	ȵin6	～可
寨	zɑ6	
審	səŋ3	
寫	siɑ3	
寬	kʰue1	
寰	ɡuɛ2	
寵	tsʰoŋ3	
寶	ɓɔ3	
寸	tsʰəŋ5	
寺	zɿ6	
封	hoŋ1	
射	ziɔ6	【白读】～击
射	ze6	【文读】高～炮；～阳（江苏地名）
射	zɒk8	～箭
射	zɑ6	排泄
將	tsiã1	～来
將	tsʰiã1	～子无怒
將	tsiã5	大～；～（象棋攻将）
專	tse1	
尉	βe5	
尉	yœʔ7	～迟（复姓）
尊	tsəŋ1	
尋	zin2	
對	ɗe5	
導	dɔ6	
小	siɔ3	
少	sɔ5	～年
少	sɔ3	多～
尕	kɑ3	
尖	tsi1	
尤	ɦiɤ2	
尬	kɑ5	
就	ziɤ6	
尷	kɛ1	
尹	ɦin4	
尺	tsʰɑk7	
尻	kʰɔ1	
尼	ȵi2	
尾	mi4	【白读】
尾	βi4	【文读】结～
尾	ȵi4	～巴
尿	ȵiɔ3	～素；糖～病
尿	sɿ1	拆～（小便）
局	dʑiok8	
屁	pʰi5	
屄	ɓi1	
居	tɕi1	～家桥（上海浦东地名）
居	tɕy1	【文读】～住；～民
居	ke1	【白读】拥有：～家当，～铜钱
屆	tɕiɑ5	【文读】～时；第一～
屆	kɑ5	【白读】
屈	tɕʰyœʔ7	
屋	ok7	
屋	βəʔ7	～里
屍	sɿ1	
屏	bin2	
屐	dʑiɑk8	
屑	siɪʔ7	
展	tse3	
屠	du2	
屢	ly3	
層	zəŋ2	
履	li4	
屬	zok8	
屯	dəŋ2	
山	sɛ1	
岐	dʑi2	
岑	zəŋ2	
岔	tsʰiɔ5	
岡	kɒ̃1	
岢	kʰu3	
岩	ŋɛ2	
岫	ziɤ6	
岬	kæʔ7	
岱	de6	
岳	ŋɒk8	
岷	min2	
岸	ŋø6	
峋	sin1	
峨	ŋu2	
峭	tsʰiɔ5	
峯	hoŋ1	
島	ɗɔ3	
峻	tsin5	
峽	ɦiæʔ8	【文读】三～
崇	zoŋ2	
崔	tsʰø1	
崖	ŋɑ2	【白读】
崖	ɦiɑ2	【文读】
崗	kɒ̃1	
崛	dʑyœʔ8	
崤	ɦiɔ2	
崩	ɓəŋ1	
崮	ku5	
崴	βe3	
崴	βe1	
崽	tse3	
嵇	tɕi1	
嵊	zəŋ6	
嵋	me2	
嵌	kʰɛ5	
嵐	le2	
嵩	soŋ1	
嶂	tsɒ̃5	
嶗	lɔ2	
嶙	lin2	
嶺	lin4	
巍	ŋue2	
巍	ɦi2	～塔（江苏昆山地名）
巒	lø2	
巘	ȵi4	
川	tsʰe1	
州	tsɤ1	
巡	zin2	
巢	ziɔ2	
工	koŋ1	
左	tsu3	
左	tsi5	
巧	kʰɔ3	【白读】～果
巧	tɕʰiɔ3	【文读】
巨	dʑy6	
差	tsʰiɔ1	
差	tsʰɿ1	参～
差	tsʰɑ1	出～；～头
己	tɕi3	
已	i3	
巳	zɿ4	
巴	ɓo1	【白读】嘴～；尾～；～城（江苏昆山地名）
巴	ɓɑ1	【文读】～西；～士
巷	ɦɒ̃6	
巾	tɕin1	
市	zɿ4	
布	ɓu5	
帆	βɛ2	
希	ɕi1	
帕	pʰo5	符合《集韵》普驾切
帕	pʰɑ5	～斯卡
帖	tʰiɪʔ7	
帚	tsɤ3	
帛	bɑk8	
帝	ɗi5	
帥	se5	
師	sɿ1	
席	ziɪʔ8	
帳	tsã5	
帶	ɗɑ5	
常	zã2	【文读】～州，～熟（江苏地名）
帽	mɔ6	
幀	tsəŋ5	
幅	hok7	
幌	βɒ̃4	
幕	mu6	习惯上不读入声
幟	tsʰɿ5	
幢	zɒ̃2	经～
幢	zɒ̃6	一～楼
幣	bi6	
幫	ɓɒ̃1	
干	kø1	～戈；～犯；～涉；～预；～将（剑名，人名）；～巷（上海金山地名）
平	bin2	
年	ȵi2	
并	ɓin1	～州
幸	ɦiʌŋ4	【文读】
幹	kø5	树～；躯～；～将（能干的或者敢干的人）；才～；实～
幻	βɛ6	
幻	βo6	～溇（浙江湖州地名）
幼	iɤ5	
幽	iɤ1	
幾	tɕi1	～乎
幾	tɕi3	～个
庇	ɓi5	
牀	zɒ̃2	
序	zy4	
底	ɗi3	
店	ɗi5	
庚	kã1	
府	ɸu3	
度	du6	
座	zu6	
庫	kʰu5	
庭	din2	
庵	e1	
庶	sy5	
康	kʰɒ̃1	
庸	ɦioŋ2	
廁	tsʰɿ5	
廂	siã1	
廄	tɕiɤ5	
廈	ɦɔ4	
廉	li2	
廊	lɒ̃2	
廓	kʰuɒk7	
廖	liɔ6	
廚	zy2	
廝	sɿ1	
廟	miɔ6	
廠	tsʰã3	
廡	βu4	
廢	ɸi5	
廣	kuɒ̃3	
廬	lu2	
廳	tʰin1	
延	ɦi2	
廷	din2	
建	tɕi5	
廿	ȵiɛ6	二十
廿	ȵiɑ6	～五（二十五）
弄	loŋ6	
弇	i3	～山园（太仓的一座园林）
弊	bi6	
弋	ɦiɪʔ8	
式	sʌk7	
弑	sɿ5	
弓	tɕioŋ1	
引	ɦin4	
弗	βəʔ7	否定词
弘	ɦoŋ2	
弛	zɿ2	
弟	di4	
弦	ɦi2	
弧	βu2	
弱	zɑk8	【文读】
張	tsã1	
強	dʑiã2	～大
強	tɕʰiã3	勉～
弼	biɪʔ8	
彈	dɛ6	
彈	dɛ2	～棉花；～被絮
彌	mi2	
彎	βɛ1	
彗	βe6	
彙	βe6	词～；～编
形	ɦiʌŋ2	
彤	doŋ2	
彩	tsʰe3	～色；～票
彪	ɓiɔ1	
彬	ɓin1	
彭	bã2	
彰	tsɒ̃1	
影	iʌŋ3	
彷	bɒ̃2	
役	ɦiok8	
往	βɒ̃3	
徂	zu2	
待	de4	
很	həŋ3	
律	liɪʔ8	
後	ɦɤ4	前～；先～；以～
徐	zi2	
徒	du2	
得	ɗʌk7	
徙	si3	
從	zoŋ2	
從	tsʰoŋ1	～容
徨	βɒ̃2	
復	ɦok8	～兴
復	βɤ6	【文读】唧唧～唧唧
循	zin2	
徭	ɦiɔ2	
微	mi2	【白读】一～～
微	βi2	【文读】～小；～波；～信。（注意：“微信”不可以读成“威信”。）
徵	tsəŋ1	
德	ɗʌk7	
徹	tsʰəʔ7	
徽	ɸe1	
心	sin1	
必	ɓiɪʔ7	
忌	dʑi6	
忍	ȵin4	【白读】
忍	zəŋ4	【文读】
忐	tʰe3	
忑	tʰʌk7	
忒	tʰʌk7	副词，相当于普通话的“太”
忖	tsʰəŋ3	
志	tsɿ5	
忘	mɒ̃6	【白读】～记
忘	βɒ̃6	【文读】健～；失～
忙	mɒ̃2	
忝	tʰi3	
忠	tsoŋ1	
忤	ŋ̍4	【白读】～逆
快	kʰuɑ5	
快	kʰɑ5	～活
念	ȵiɛ6	
忻	ɕin1	
忽	ɸəʔ7	
忿	ɸəŋ5	
慫	soŋ3	弄～（捉弄）
怒	nu6	
怕	pʰo5	
怖	ɓu5	
思	sɿ1	～考；～念
思	sɿ5	意～；～绪；心～
怠	de4	
急	tɕiɪʔ7	
性	sin5	
怨	yø5	
怪	kuɑ5	
怳	ɸɒ̃3	
恁	nəŋ6	
恃	zɿ4	
恆	ɦəŋ2	
恐	kʰoŋ3	
恘	tɕʰiɤ1	坏
恙	ɦiã6	
恢	kʰue1	
恤	siɪʔ7	
恥	tsʰɿ3	
恨	ɦəŋ6	
恩	əŋ1	
恬	di2	
恭	koŋ1	
息	siɪʔ7	
恰	kʰæʔ7	【白读】～～（刚才）
恰	hæʔ7	【白读】～好（正好）
恰	tɕʰiæʔ7	【文读】～当
恿	ioŋ3	
悄	tsʰiɔ1	
悄	tsʰiɔ3	～然无声
悅	ɦyœʔ8	
悉	siɪʔ7	
悍	ɦø6	
悒	iɪʔ7	
悔	ɸe3	
悔	ɸe5	
悖	be6	
悟	ŋu6	
悠	iɤ1	
患	βɛ6	
悤	tsʰoŋ1	
您	nin2	北语
憫	min4	
悲	ɓe1	
悴	zø6	
悶	məŋ1	
悸	dʑi6	
悽	tsʰi1	
情	zin2	
惋	βe3	
惑	ɦok8	
惚	ɸəʔ7	
惜	siɪʔ7	
惟	βi2	
惠	βe6	
惡	βu5	可～
惡	ɒk7	～毒
惦	ɗi5	
懼	dʑy6	
惰	du6	
惰	du4	
惱	nɔ4	
想	siã3	
惶	βɒ̃2	
惹	zɑ4	
惺	sin1	
愁	zɤ2	
愈	ɦy4	
愉	ɦy2	
意	i5	
愕	ŋɒk8	
愚	ȵy2	
愛	e5	
感	ke3	
愧	ɡue6	
愷	kʰe3	
慄	liɪʔ8	战～
慈	zɿ2	
態	tʰe5	
慌	ɸɒ̃1	
慎	zəŋ6	
慏	min4	
慕	mu6	
慘	tsʰe3	
慚	zɛ2	
慟	doŋ6	
慢	mɛ6	
慣	kuɛ5	
慧	βe6	
慨	kʰe3	
慮	ly6	
慰	βe5	
慶	tɕʰiʌŋ5	
慷	kʰɒ̃1	
憂	iɤ1	
憋	ɓiɪʔ7	
憎	tsəŋ1	
憐	li2	
憑	bin2	
憕	ɗəŋ5	
憤	βəŋ4	
憩	tɕʰi5	
憬	tɕioŋ3	
憮	βu4	
憲	ɕi5	
憶	iʌk7	
憾	ɦe6	
懂	ɗoŋ3	
懇	kʰəŋ3	
應	iʌŋ1	～该
應	iʌŋ5	答～
懊	ɔ5	
懨	i1	～气（寂寞无聊）
懲	zəŋ2	
懶	lɛ4	
懷	βɑ2	【白读】～孕；姓
懷	βe2	【文读】胸～；～抱；～念
懺	tsʰɛ5	
懿	i5	
戀	li6	
戇	ɡɒ̃4	傻：～大（傻屄）
戈	ku1	
戌	siɪʔ7	
戌	ɦe4	
成	zəŋ2	
我	βu4	第一人称单数
我	ŋu4	【文读】
戒	tɕiɑ5	【文读】～严
戒	kɑ5	【白读】
或	ɦok8	
戚	tsʰiɪʔ7	
戛	kæʔ7	
戟	tɕiʌk7	
戢	tɕiɪʔ7	大～洋（杭州湾的一部分洋面）；大～山，小～山（浙江嵊泗地名，杭州湾岛屿）
戤	ɡe6	王家～（上海松江地名）。同“隑”
戥	ɗəŋ3	
戧	tsʰiã5	
戩	tsi3	
截	ziɪʔ8	
戮	lok8	
戰	tse5	
戳	tsʰɒk7	
戴	ɗe5	姓
戴	ɗɑ5	动词。本字为“带”
戶	βu4	
戽	ɸu5	
戾	li6	
房	βɒ̃2	
房	bɒ̃2	阿～宫
所	su3	
扁	ɓi3	
扆	i3	
扇	se5	
扇	se1	～风；～扇子。动词
手	sɤ3	
才	ze2	
扒	bo2	
打	ɗã3	
扔	zəŋ2	
托	tʰɒk7	
扚	ɗiɪʔ7	
扛	kɒ̃1	以手举物
扛	ɡɒ̃2	以肩承物
扞	ɦø6	
扣	kʰɤ5	
扦	tsʰi1	
扭	ȵiɤ3	
扮	ɓɛ5	
扯	tsʰɑ3	
扰	zɔ4	
扳	ɓɛ1	
扶	βu2	
批	pʰi1	
扼	ŋʌk8	
找	tsɔ3	
承	zəŋ2	
技	dʑi4	
抄	tsʰɔ1	
抈	yœʔ7	
把	ɓo3	
把	ɓɑ3	【文读】（只在读书时用）
抒	sy1	
抓	tsɔ1	【白读】～痒
抓	tsiɔ1	～牌
抓	tsɑ1	【文读】～紧
投	dɤ2	
抖	ɗɤ3	
抗	kʰɒ̃5	
折	tsəʔ7	
披	pʰi1	
抬	de2	
抱	bɔ4	
抲	kʰɑ1	
抵	ɗi3	
抹	məʔ8	
押	æʔ7	
抽	tsʰɤ1	
抽	tsʰiɤ1	鞭打
抿	min3	紧闭：～紧嘴巴
抿	min4	
拂	ɸəʔ7	
拄	tsy3	
拆	tsʰɑk7	
拇	mu1	
拈	ȵi1	
拉	lɑ1	
拋	pʰɔ1	
拌	be4	
拍	pʰɑk7	
拎	lin1	
拐	ɡuɑ4	走路不平衡
拐	kuɑ3	手杖
拒	dʑy6	
拓	tʰɒk7	
拔	bæʔ8	
拖	tʰu1	【文读】
拖	tʰɑ1	【白读】
拗	ɔ3	～断
拗	ɔ5	～口
拘	tɕy1	
拙	tsəʔ7	
拜	ɓɑ5	
括	kuæʔ7	
拭	sʌk7	
拮	tɕiɪʔ7	
拱	koŋ3	
拳	dʑyø2	
拴	se1	
拷	kʰɔ3	
拼	pʰin1	
拽	iɪʔ7	
拾	zəʔ8	
拾	siɔ3	～五，三～五，四～五……“十”的大写。避讳“入”音
拾	ziɪʔ8	捡：～起来
拿	nɔ2	【白读】
拿	nɑ2	【文读】加～大
持	zɿ2	
指	tsɿ3	
按	ø5	
挑	tʰiɔ1	
挖	βæʔ7	
掗	ɔ1	强予
挨	ɑ1	
挫	tsʰu5	
振	tsəŋ5	
挺	tʰin3	
捂	βu1	
捅	tʰoŋ3	
捆	kʰuəŋ3	
捉	tsɒk7	
捋	lœʔ8	
捌	ɓæʔ7	
捍	ɦø6	
捎	sɔ1	
捏	ȵiæʔ8	
捐	tɕyø1	
捕	bu6	
捧	pʰoŋ3	
捨	siɔ3	～勿得
捩	liɪʔ8	绞～棒（麻花）
据	tɕy1	拮～
捱	ŋɑ2	
捶	zɿ2	【白读】
捶	zø2	【文读】
捷	ziɪʔ8	
捺	næʔ8	
捻	ȵi1	
掀	ɕi1	
掂	ɗi1	
掃	sɔ3	
掇	ɗœʔ7	
授	zɤ6	
掉	diɔ6	
掌	tsɒ̃3	
掏	tʰɔ1	
掏	dɔ2	
掐	kʰæʔ7	
排	bɑ2	
掘	dʑyœʔ8	
掙	tsəŋ1	
掛	ku5	
掝	ɸɑk7	裂开
掠	liɑk8	
採	tsʰø3	
探	tʰe5	
接	tsiɪʔ7	
控	kʰoŋ5	
推	tʰe1	
掩	i3	
措	tsʰu5	
掮	dʑi2	以肩扛物
掰	ɓɑk7	
揀	kɛ3	
揄	ɦy2	
揉	zɤ2	【文读】
揉	ȵiɤ2	【白读】
揍	tsɤ5	
描	miɔ2	
提	di2	
插	tsʰæʔ7	
揖	iɪʔ7	
揚	ɦiã2	
換	βe6	
握	βɒk7	
揣	tsʰe1	
揣	tsʰø3	～摩
揩	kʰɑ1	擦
揪	tsiɤ1	
揭	tɕiɪʔ7	
揮	ɸe1	
援	ɦyø2	
揵	dʑi2	举起
揶	ɦiɑ2	
揹	ɓe1	～包
搖	ɦiɔ2	
損	səŋ3	
搏	ɓɒk7	
搓	tsʰu1	
搔	tsɔ1	
搗	ɗɔ3	
搛	tɕi1	
搜	sɤ1	
搞	ɡɔ4	同“搅”
搡	sɒ̃3	
搨	tʰæʔ7	涂抹
搪	dɒ̃2	
搬	ɓe1	
搭	ɗæʔ7	
搲	βo1	
搶	tsʰiã3	
搿	ɡəʔ8	
摁	əŋ5	
摑	kuɑk7	
摒	ɓin5	憋：～牢
摔	se1	
摘	tsɑk7	
摜	ɡuɛ6	摔，扔
摞	lu6	
摟	lɤ4	
摧	tsʰø1	
摩	mu2	
摳	kʰɤ1	
摶	dø2	
摸	mɒk8	
撂	liɑk8	
撂	liɔ6	
撅	tɕyœʔ7	
撇	pʰiɪʔ7	
撈	lɔ1	
撐	tsʰã1	
撒	sæʔ7	
撓	nɔ2	
撕	sɿ1	
撕	si1	
撞	zɒ̃6	
撣	ɗø3	
撤	tsʰəʔ7	
撥	ɓəʔ7	
撩	liɔ2	
撫	ɸu3	
撬	tɕʰiɔ5	
撮	tsʰœʔ7	
撰	ze4	
撲	pʰok7	
撻	dæʔ8	
撼	ɦe4	
撾	βu1	老～
擀	kø3	
擁	ioŋ3	
擂	le2	～鼓
擂	le6	～台
擅	ze6	
擇	zʌk8	【文读】
擉	tsʰɒk7	
擊	tɕiʌk7	
擋	ɗɒ̃3	
操	tsʰɔ1	姓；动词：～持，早～
操	tsʰɔ5	名词：节～，～守，情～
擎	dʑin2	
擒	dʑin2	
擓	kʰuɑ3	
擔	ɗɛ1	～任
擔	ɗɛ5	挑～
擘	ɓɑk7	
據	tɕy5	根～
擠	tsi3	
擣	ɗɔ3	
擤	həŋ3	
擤	hŋ̍3	
擦	tsʰæʔ7	
擰	ȵin2	
擱	kɒk7	
擱	ɡɒk8	～浅
擲	zɑk8	
擴	kʰuɒk7	
擷	ɦiɪʔ8	y
擸	ləʔ8	俗作“垃”
擺	ɓɑ3	
擼	lu4	
擿	ɗiɪʔ7	
攀	pʰɛ1	
攆	ȵi3	
攋	lɑ4	用指甲抓、挠
攎	lu1	用手贴着平面移动收聚或出去东西
攏	loŋ4	
攔	lɛ2	
攘	ȵiã4	【白读】
攘	zã4	【文读】
攙	tsʰɛ1	
攝	səʔ7	
攢	tsɛ3	积～
攢	zø2	～聚
攣	lø2	
攤	tʰɛ1	
攥	zø6	
攪	kɔ3	【白读】
攪	tɕiɔ3	【文读】
攪	ɡɔ4	同“搞”
攫	tɕiɒk7	
攬	lɛ4	
支	tsɿ1	
收	sɤ1	
攸	iɤ1	
改	ke3	
攻	koŋ1	
放	ɸɒ̃5	
政	tsəŋ5	
故	ku5	
效	ɦiɔ6	
敏	min4	
救	tɕiɤ5	
敗	bɑ6	
敘	zy4	
教	kɔ1	～书
教	kɔ5	【白读】～化
教	tɕiɔ5	【文读】～育；～堂
敢	ke3	
散	sɛ5	
散	sɛ3	
敦	ɗəŋ1	
敬	tɕiʌŋ5	
敲	kʰɔ1	
整	tsəŋ3	
敵	diɪʔ8	
敷	ɸu1	
數	su5	
斂	li4	
斃	bi6	
文	βəŋ2	【文读】
文	məŋ2	【白读】～殊浜（上海金山地名）
斌	ɓin1	
斐	ɸi3	
斑	ɓɛ1	
斗	ɗɤ3	
料	liɔ6	
斛	ɦok8	
斜	ziɑ2	
斟	tsəŋ1	
斢	tʰɤ3	
斢	tʰiɔ3	
斤	tɕin1	
斥	tsʰɑk7	
斧	ɸu3	
斫	tsɒk7	【白读】
斬	tsɛ3	
斯	sɿ1	
新	sin1	
斷	ɗø5	判～；决～
斷	dø6	～裂；～绝
方	ɸɒ̃1	
於	ɦy2	
於	ɦy2	～潜（浙江地名）
施	sɿ1	
旁	bɒ̃2	
旅	ly4	
旋	zi2	
族	zok8	
旗	dʑi2	
既	tɕi5	
日	ȵiɪʔ8	【白读】～头（太阳）；～脚（日子）
日	zəʔ8	【文读】～本；泰～（上海奉贤地名）
日	zɑk8	大/小～晖桥（江苏苏州地名）；～晖港（上海的一条河流）；里/外～晖桥（上海地名）
旦	ɗɛ5	
旨	tsɿ3	
早	tsɔ3	
旬	zin2	
旭	ɕiok7	
旱	ɦø4	
曠	kʰuɒ̃5	
旺	ɦiɒ̃6	【白读】火烧得～
旺	βɒ̃6	【文读】兴～
旻	min2	
昂	ŋɒ̃2	
昆	kʰuəŋ1	
昊	ɦɔ4	
昌	tsʰɒ̃1	
明	min2	
明	məŋ2	～朝（明天）
昏	ɸəŋ1	
易	ɦi6	
易	ɦiʌk8	交～
昔	siɪʔ7	
星	sin1	
映	iã5	【白读】放～
映	iʌŋ5	【文读】反～；倒～
春	tsʰəŋ1	
昧	me6	
昨	zɒk8	
昭	tsɔ1	
是	zɿ4	
昶	tsʰã3	副词，表示时间长：吃～吃～（吃了很长时间）；走～走～（走很长时间）
昶	tsʰiã3	近～（近期）；一～（一会）
時	zɿ2	
晃	βɒ̃4	
晃	ɸɒ̃3	
晃	βɒ̃1	～眼
晉	tsin5	
晌	sã3	
晌	ɕiã3	
晏	ɛ5	【白读】迟，晚
晏	i5	【文读】～子
晚	mɛ4	【白读】～娘（继母）；～稻
晚	βɛ4	【文读】
晢	tsəʔ7	
晤	ŋu6	
晨	zəŋ2	
普	pʰu3	
景	tɕiʌŋ3	
晰	siɪʔ7	
晴	zin2	
晶	tsin1	
智	tsɿ5	
晾	lɒ̃6	
暇	iɑ1	
暈	ɦyn6	
暑	sy3	
暖	nø4	
暗	e5	
暢	tsʰã5	
暫	zɛ6	
暮	mu6	
暴	bɔ6	
曈	doŋ2	
曉	ɕiɔ3	【文读】
曉	hɔ3	【白读】～得
曌	tsɔ5	
曖	e5	
曙	zy6	
曦	ɕi1	
曬	siɔ5	
曰	ɦyœʔ8	
曲	tɕʰiok7	
曳	ɦi6	
更	kã1	【白读】打～；夜半三～
更	kəŋ1	【文读】～改；～正；变～
更	kã5	【白读】
更	kəŋ5	【文读】～加
書	sy1	
曹	zɔ2	
曾	tsəŋ1	姓
曾	zəŋ2	～经
替	tʰi5	
最	tsø5	
會	kue5	～计；～稽（浙江绍兴地名）
會	βe6	开～
月	ȵyœʔ8	
有	ɦiɤ4	
朋	bã2	
服	ɦok8	
朐	dʑy2	
朔	sɒk7	
朕	zəŋ4	
朗	lɒ̃4	
望	mɒ̃6	【白读】
望	βɒ̃6	【文读】希～
望	bɒ̃6	平～（江苏吴江地名）
朝	tsɔ1	明～（明天）
朝	zɔ2	～鲜；～向；～代
期	dʑi2	
木	mɒk8	
未	βi6	
末	məʔ8	
本	ɓəŋ3	
札	tsæʔ7	
朮	zəʔ8	白～；苍～
朱	tsy1	
朴	pʰɒk7	～树；姓
朵	ɗu3	【白读】耳～
朵	ɗiɔ3	【文读】量词
朽	ɕiɤ3	
杈	tsʰiɔ1	
杉	sɛ1	
杌	ŋəʔ8	
李	li4	
杏	ɦã4	
材	ze2	
村	tsʰəŋ1	
杓	ɓiɔ1	
杖	zã6	炮～；仪～；依～；～势
杜	du4	
杞	tɕʰi3	枸～（植物名，中药名）
杞	dʑi4	枸～（浙江嵊泗地名）
束	sok7	
杭	ɦɒ̃2	
杯	ɓe1	
東	ɗoŋ1	
杳	iɔ3	
杵	tsʰɿ3	
杷	bo2	
松	soŋ1	～树
松	soŋ1	～江（上海地名）；～阳（浙江地名）；～陵（江苏吴江地名）
板	ɓɛ3	
枇	biɪʔ8	
枉	βɒ̃3	
析	siɪʔ7	
枕	tsin3	～头
林	lin2	
枙	ŋʌk8	
枚	me2	
果	ku3	
枝	tsɿ1	
枯	kʰu1	
枵	ɕiɔ1	
架	kɑ5	
枸	kɤ3	
柄	ɓin5	
柏	ɓɑk7	
某	mɤ4	
柑	ke1	
柒	tsʰiɪʔ7	
染	ȵi4	【白读】
染	ze4	【文读】
柘	tsiɔ5	
柚	ɦiɤ6	
查	ziɔ2	
柩	dʑiɤ6	
柬	tɕi3	【文读】
柯	kʰu1	
柱	zy4	
柳	liɤ4	
柴	zɑ2	
柵	sɑk7	
柵	sɛ1	
柿	zɿ4	
栓	se1	
栖	si1	塘～（浙江杭州地名）
栗	liɪʔ8	板～；～子
校	kɔ5	【白读】～正；～准；～秤
校	tɕiɔ5	【文读】～对；上～
校	ɦiɔ6	【文读】学～；～长
栩	ɕy3	
株	tsy1	
核	βəʔ8	桃～；果～
核	ɦʌk8	～对；审～；～心；～武器
根	kəŋ1	
格	kɑk7	
栽	tse1	
桁	ɦã2	
桂	kue5	【文读】～花；～林（广西地名）
桂	tɕy5	【白读】～皮；姓：～家桥，～家宅，～家木行，～巷（上海宝山地名）
桃	dɔ2	
桅	ŋue2	
框	kʰuɒ̃1	
案	ø5	
桌	tsɒk7	
桐	doŋ2	
桑	sɒ̃1	
桓	βe2	
桔	tɕiɪʔ7	～梗
椏	ɔ1	
桶	doŋ4	
桿	kø1	旗～
桿	kø3	秤～
梁	liã2	
梅	me2	
梏	kok7	
梓	tsɿ3	
梔	tsɿ1	
梗	kã3	【白读】
梗	kəŋ3	【文读】～概
條	diɔ2	
梟	ɕiɔ1	
梢	sɔ1	
梧	ŋu2	
梨	li2	
梭	su1	
梯	tʰi1	
械	ɦiɛ6	【文读】机～
梳	sɿ1	
棄	tɕʰi5	
棉	mi2	
棋	dʑi2	
棍	kuəŋ3	
棒	bɒ̃4	
棕	tsoŋ1	
棗	tsɔ3	
棘	tɕiʌk7	
棚	bã2	
棟	ɗoŋ5	
棠	dɒ̃2	
棣	di6	
棧	zɛ6	
森	səŋ1	
棱	ləŋ2	
棹	zɔ6	
棺	kue1	
椁	kuɒk7	
椅	y3	
植	zʌk8	
椒	tsiɔ1	
橢	tʰu3	
椰	ɦiɑ2	
椶	tsoŋ1	
椽	ze2	
椿	tsʰəŋ1	
楊	ɦiã2	
楓	hoŋ1	
楚	tsʰu3	
楝	li6	
楠	ne2	
楣	me2	
楦	ɕyø5	
楨	tsəŋ1	
楫	tsiɪʔ7	
業	ȵi8	
極	dʑiʌk8	
楷	kʰɑ3	
概	ke3	
榆	ɦy2	
榔	lɒ̃2	
榕	ɦioŋ2	
榛	tsəŋ1	
榜	ɓɒ̃3	
榨	tsiɔ5	
榫	səŋ3	
榮	ɦioŋ2	
榴	liɤ2	
榻	tʰæʔ7	
構	kɤ3	
槌	zɿ2	【白读】棒～
槍	tsʰiã1	
槎	ziɔ2	
槐	βɑ2	
槓	kɒ̃5	
槳	tsiã3	
槽	zɔ2	
樁	tsɒ̃1	
樂	lɒk8	快～
樂	ŋɒk8	【白读】～桥（江苏苏州地名）；～清（浙江地名）
樂	ɦiɑk8	【文读】音～
樂	ɦiɔ6	【文读】仁者～山，智者～水
樊	βɛ2	
樓	lɤ2	
標	ɓiɔ1	
樞	sy1	
樟	tsɒ̃1	
模	mu2	
樣	ɦiã6	
樸	pʰɒk7	纯～
樹	zy6	一棵～
樹	zy4	～立
橋	dʑiɔ2	
橘	tɕiok7	
橙	zəŋ2	
機	tɕi1	
橡	ziã4	
橫	βã2	
橫	βɒ̃2	～山（江苏苏州地名，太湖岛屿）
橫	βã6	蛮～
橫	βã1	～对，～理，～浜（不讲理）
檀	dɛ2	
檔	ɗɒ̃5	
檢	tɕi3	
檣	ziã2	
檬	moŋ2	
檯	de2	～子；写字～；讲～
檳	ɓin1	
檸	ȵin2	
櫂	zɔ6	
櫃	dʑy4	【白读】～台
櫃	ɡue4	【文读】
櫓	lu4	
櫞	ɦyø2	
櫟	liɪʔ8	
櫥	zy2	
櫻	ã1	【白读】～桃
櫻	iʌŋ1	【文读】～花
欄	lɛ2	
權	dʑyø2	
欖	lɛ4	
欠	tɕʰi5	
次	tsʰɿ5	
欲	ɦiok8	
欸	e	应答声
欺	tɕʰi1	
欽	tɕʰin1	
款	kʰue3	
歇	ɕiɪʔ7	
歉	tɕʰi5	
歌	ku1	
歐	ɤ1	
歙	səʔ7	～县（安徽地名）
歙	ɕiɪʔ7	
歡	ɸe1	
止	tsɿ3	
正	tsəŋ1	～月
正	tsin1	～仪（江苏昆山地名）
正	tsəŋ5	公～
此	tsʰɿ1	
步	bu6	
