#漢字	音標	解釋#('wuu_th_shj_sz_ltc', '淸末蘇州話', '淸末蘇州', '#0000FF,#4D4D4D', None, None, '版本：2.0(2022-01-03)<br>來源：樛木整理自《一百年前的蘇州話》、《蘇州同音字彙1892》、《鄉音字類》<br>說明：加*的漢字表示[ʐ][dʐ]歸屬、陽上陽去歸屬缺乏直接資料，以區分這兩者的蘇州行政區劃內的方吳語爲基準。', '44 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,51 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,523 5 3a 陰去 ꜄,312 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇')
咻	tʂʰ𐞢ʏ5	
咽	iɛ1	～喉
咽	iɛ5	
咾	læ4	
咿	i1	～～啞啞
哀	ᴇ1	
品	pʰiɪn3	
哂	ʂən3	
哄	hoŋ3	
哆	tʂʰʯ3	
哇	uo1	
哈	hɑ1	～～大笑
哉	tsᴇ1	
響	ɕiã3	
員	ɦiø2	
哢	loŋ6	
哤	bɑ̃2	
哥	kᵊu1	阿～
哦	ŋᵊu2	
哨	tsʰiæ5	
哩	li4	
哪	nɑ6	
哭	kʰoʔ7	
哮	ɕiæ1	
哮	hæ1	
哲	tʂəʔ7	
哳	tʂəʔ7	
哺	bu6	～坊
哼	hã1	
哽	kən3	
哿	kʰᵊu3	
唁	ȵiɛ6	
唄	pᴇ5	
唆	sᵊu1	
唇	ʐən2	
唈	iəʔ7	
唉	ᴇ1	歎聲
唉	ɦᴇ2	
唎	li6	
唏	ɕi3	
唐	dɑ̃2	姓
喚	huø5	
唧	tsiəʔ7	
唪	boŋ4	
唫	ȵiən2	
售	dʐ𐞢ʏ6	出～
唯	vi2	
唱	tʂʰã5	
唱	tsʰɑ̃5	白讀：～歌
唳	li6	
唶	tsəʔ7	
唷	ioʔ7	
唸	ȵiɛ6	
唼	tsaʔ7	
唾	tʰᵊu5	
啁	tʂæ1	
啃	ɡən4	
啃	kʰən3	～骨頭
啄	dzoʔ8	
啄	zoʔ8	白讀：～一口
啄	tʂoʔ7	
商	ʂɑ̃1	
商	ʂã1	～量
啊	o1	白讀。聲調據讀音[ɑ44]類推而得
啊	ɑ1	
啍	tʰən1	～～，沉重緩慢的樣子
問	mən6	白讀
問	vən6	文讀
啐	tsʰᴇ5	～來～去
啑	tsaʔ7	
啓	tɕʰi3	
啖	dɛ4	
啗	dɛ4	
啘	uaʔ7	我本來要來哉～
啚	pi1	
啜	tʂʰəʔ7	
啞	o1	白讀
啞	ŋəʔ8	
啟	tɕʰi3	
啡	fi1	嗎～害人不淺
啥	ʂɑ3	
啥	ʂɑ5	爲～體
啦	lɑʔ	
啮	ȵiəʔ8	
啻	tʂʰʯ5	
啼	di2	
啾	tsʰ𐞢ʏ1	
喁	ȵy2	
喂	uᴇ5	～豬
喃	nø2	
善	ʐø6	～堂，舊時指育嬰堂、養老院等慈善機構
喇	lɑ2	～叭
喈	tɕiɑ1	
喉	ɦ𐞢ʏ2	
喊	hɛ3	叫～
喋	diəʔ8	
喌	tʂoʔ7	～～，呼雞聲
喎	huɑ1	口眼～斜
喏	nɔʔ8	
喏	zo4	白讀：唱～
喏	zo6	
喑	iən1	
喓	iæ1	
喔	oʔ7	～唷
喘	tʂʰø3	氣～
喙	huᴇ5	
喚	huø5	
喜	ɕi3	
喝	haʔ7	
喝	həʔ7	
喟	kʰuᴇ5	
喣	ɕy3	呈示
喤	ɦuɑ̃2	
喦	ȵiɛ2	
喧	ɕiø1	
喨	liã6	
喪	sɑ̃1	
喪	sɑ̃5	
喫	tɕʰiəʔ7	
喬	dʑiæ2	姓
喭	ŋø6	
單	tɛ1	～布衫
喲	iɑʔ7	阿～
喻	ɦy6	譬～
嗁	di2	
嗄	ɦo6	
嗅	ɕiʏ5	
嗆	tsʰiã5	咳～
嗇	səʔ7	吝～
嗌	iəʔ7	
嗍	ʂoʔ7	嘴裏～進去
嗎	mo6	
嗑	ɦəʔ8	
嗒	tʰaʔ7	
嗚	ᵊu1	
嗜	ʐʯ6	～好
嗟	tsiɑ1	
嗡	oŋ1	蚊子～～～
嗣	dzɿ6	
嗣	zɿ6	
嗤	tʂʰʯ1	
嗱	nɔ2	
嗶	piəʔ7	
嗷	tɕiæ5	
嗸	ŋæ2	
嗽	s𐞢ʏ5	
嗾	tsʰ𐞢ʏ5	
嘅	kʰᴇ5	
嘆	tʰɛ5	
嘈	dzæ2	
嘈	zæ2	～雜
嘉	kɑ1	白讀：～興
嘉	tɕiɑ1	文讀
嘌	pʰiæ1	
嘍	l𐞢ʏ2	～囉
嘎	tɕiəʔ7	
嘏	kᵊu3	
嘐	ɕiæ1	
嘑	hᵊu1	
嘔	𐞢ʏ3	
嘖	tsəʔ7	
嘗	dʐã2	
嘗	zɑ̃2	～～看
嘘	ɕy1	～氣
嘨	siæ5	
嘬	tsʰᴇ5	
嘮	læ1	～叨
嘮	læ2	說話沒完沒了
嘯	siæ5	～聚
嘰	tɕi1	嗶～
嘲	tʂæ1	嘔啞～哳
嘴	tʂʯ3	
嘵	ɕiæ1	
嘵	ɕiæ3	
嘶	si1	
嘸	m̩2	～不：没有
嘹	liæ2	
嘻	ɕi1	笑～～
嘽	tʰɛ1	
嘿	məʔ8	
噀	sən5	
噂	zən4	
噄	tɕʰiəʔ7	
噈	tsʰoʔ7	
噉	dɛ4	
噍	tsiæ1	
噍	ziæ2	
噎	iəʔ7	吃～
噏	ɕiəʔ7	
噠	dɑʔ8	
噢	æ1	
噢	ioʔ7	
噣	tʂ𐞢ʏ5	
噦	huᴇ5	
器	tɕʰi5	
噩	ŋoʔ8	
噪	sæ5	鵲～
噫	i1	
噬	ʐʯ6	
噯	ᴇ5	
噰	ioŋ1	
噱	dʑiɑʔ8	
噲	kʰuᴇ5	
噳	ȵy4	
噴	pʰən1	～水
噸	tən1	
嚀	ȵiɪn2	
嚃	taʔ7	饞～～
嚃	tʰaʔ7	
嚆	hæ1	
嚇	hɑʔ7	～得嘸[nɑʔ hã]
嚇	həʔ7	怒聲
嚌	tsi5	
嚎	ɦæ2	
嚏	ti5	打噴～
嚕	lᵊu4	今於“～嗦”中讀陰平
嚖	huᴇ5	
嚚	ȵiɪn2	
嚥	iɛ5	
嚨	loŋ2	喉～
嚪	dɛ4	
嚬	biɪn2	
嚭	pʰi3	
嚮	ɕiã5	
嚮	ɕiã3	
嚲	tᵊu3	
嚳	kʰoʔ7	
嚴	ȵiɛ4	姓
嚵	dzɛ2	
嚶	iən1	
嚻	tɕiæ5	
嚼	dziɑʔ8	
嚼	ziɑʔ8	～多嚼弗爛
囀	tʂø5	
囁	ȵiəʔ8	
囂	ɕiæ1	喧～
囅	tʂʰø3	
囈	ȵi6	～語
囉	lᵊu1	
囊	nɑ̃2	
囌	sᵊu1	噜噜～～
囏	tɕiɛ1	
囑	tʂoʔ7	～托
囚	dz𐞢ʏ2	
囚	z𐞢ʏ2	～犯
四	sɿ5	
回	ɦuᴇ2	
囟	siən5	本音
囟	ɕiən5	小囝兒个～門潭。理論上爲心母字
因	iɪn1	
囡	nø1	小～～
囡	nø2	～兒
囤	dən6	
囤	dən4	本音。米～
囥	kʰɑ̃5	～攏
囫	ɦuəʔ8	
困	kʰuən5	～苦
囱	tsʰoŋ1	烟～
囷	tɕyən1	
囹	liɪn2	
固	kᵊu5	
國	kuəʔ7	
囿	iʏ5	
圃	pu3	
圄	ȵy4	
圇	lən2	囫～吞
圈	tɕʰiø1	兜～子
圈	dʑiø4	白讀：豬～。聲調據《廣韻》：渠篆切
圉	ȵy4	
國	kuəʔ7	～家
圍	ɦuᴇ2	
園	ɦiø2	花～
圓	ɦiø2	事寬則～
圖	dᵊu2	
團	dø2	
圛	ɦiəʔ8	
圜	ɡuɛ2	
圜	ɦiø2	
圝	lø2	團～
土	tʰᵊu3	～地
圠	tsaʔ7	
在	dzᴇ6	
在	zᴇ4	
圩	y1	聲調據《字彙》：雲俱切，音于。岸也
圭	kuᴇ1	
圮	pʰi3	
圯	ɦi2	
地	di6	～皮
圾	səʔ7	垃～，老派讀音
址	tʂʯ3	地～
坆	vən2	疑爲“坟”
均	tɕyən1	
坊	fɑ̃1	
坌	bən6	
坌	bən2	
坍	tʰɛ1	
坎	kʰø3	
坏	bᴇ2	
坐	dzᵊu6	
坐	zᵊu4	
坐	zᵊu6	
坑	kʰã1	白讀：～缸（糞坑）
坛	dɛ2	
坡	pʰu1	
坤	kʰuən1	乾～
坦	tʰɛ3	
坪	biɪn2	
坫	tiɛ5	
坭	ȵi2	
坯	pʰᴇ1	～子
坰	tɕioŋ3	
坰	tɕioŋ1	
坱	ɦiã4	
坳	æ1	
坴	loʔ8	
坵	tɕʰiʏ1	
坶	moʔ8	
坷	kʰᵊu3	
坻	dʐʯ2	
坼	tsʰɑʔ7	白讀
坼	tsʰəʔ7	
垂	dzᴇ2	
垂	zᴇ2	
垃	ləʔ8	老派：～圾覅亂倒
型	ɦiɪn2	模～
垓	kᴇ1	
垗	dʐæ6	
垛	tᵊu3	城～子
垝	kuᴇ3	
垠	ȵiɪn2	
垠	ȵiən2	
垡	vaʔ8	
垢	k𐞢ʏ3	
垣	ɦuø2	
垤	diəʔ8	
垸	ɦuø2	
垽	ȵiɪn6	
垽	ȵiən6	
埂	kã3	白讀：田～浪
埃	iᴇ1=	(書)
埃	ɦᴇ2	
埋	mᴇ2	
城	dʐən2	～頭
埏	ɦiɛ2	
埒	ləʔ8	
埜	iɑ3	
域	ɦyəʔ8	
埠	bu6	～頭
埤	bi2	
埭	dᴇ6	
埭	dɑ6	白讀：去一～亦好
埭	dᴇ4	
埴	ʐəʔ8	
埵	tʰᵊu3	
埶	ȵi6	
執	tʂəʔ7	
埸	ɦiəʔ8	
培	bᴇ2	
基	tɕi1	～地
埻	tən1	
埽	sæ3	
埽	sæ5	
堀	kʰuəʔ7	
堂	dɑ̃2	混～
堃	kʰuən1	
堅	tɕiɛ1	～固
堆	tᴇ1	
堇	dʑiɪn2	
堊	uoʔ7	
堋	pən1	
堙	iɪn1	
堞	diəʔ8	
堠	ɦ𐞢ʏ6	
堡	pæ3	
堤	di2	
堥	m𐞢ʏ2	
堧	ʐø2	
堪	kʰø1	不～
堯	ɦiæ2	
堰	iɛ3	
報	pæ5	
堲	tsiəʔ7	
場	dʐã2	商～
堵	tᵊu3	一～墙頭
堶	dᵊu2	
塈	tɕi5	
塊	kʰuᴇ5	功聯刀～
塋	ɦioŋ2	
塌	tʰɑʔ7	
塌	tʰaʔ7	坍～
塍	zã2	白讀：巴～鎮
塍	dʐən2	文讀
塍	dʐən6	
塏	kʰᴇ3	
塐	sᵊu5	
塑	sᵊu5	泥～木雕
塒	ʐʯ2	
塓	miəʔ8	
塔	tʰɑʔ7	
塔	tʰaʔ7	
塗	dᵊu2	
塘	dɑ̃2	
塚	tʂoŋ3	
塞	sᴇ5	邊～
塞	səʔ7	陽溝～没哉
塠	tsᴇ1	
塢	ᵊu3	桃花～
塤	ɕyən1	
塤	ɕiø1	
填	diɛ2	
塵	dʐən2	灰～
塹	zɛ6	
塾	ʐoʔ8	
墀	dʐʯ2	
墁	mø6	
境	tɕiɪn3	
墄	tsʰiəʔ7	
墅	zɿ4	蠡～
墉	ɦioŋ2	
墊	diɛ6	～子
墊	tiɛ5=	
墐	dʑiɪn2	
墐	dʑiɪn6	
墓	mo6	
墓	m̩6	白讀：陸～
墜	zᴇ6	
墝	tɕʰiæ1	
增	tsən1	
墟	ɕy1	～墓
墠	ʐø6	
墡	ʐø6	白～
墦	vɛ2	
墨	məʔ8	筆～
墩	tən1	
墫	tsən1	
墫	tsiɪn1	
墮	dᵊu6	
墳	vən2	～墓
墺	æ5	
墼	tɕi1	炭～。聲調據推導而得。應讀[tɕiəʔ4]
墾	kʰən3	開～
壁	piəʔ7	
壅	ioŋ3	掗～
壅	ioŋ5	
壇	dɛ2	
壎	ɕiø1	
壐	si3	同“璽”
壑	hoʔ7	溝～
壒	kᴇ5	
壓	ɑʔ7	～牢仔
壕	ɦæ2	戰～
壖	ʐø2	
壘	lᴇ4	
壙	kʰuɑ̃5	指葬穴
壚	lᵊu2	
壝	ɦuᴇ6	
壞	ɦuɑ6	白讀
壞	ɦuᴇ6	文讀
壟	loŋ4	
壡	hoʔ7	
壤	ʐã4	
壩	po5	
士	zɿ6	
士	zɿ4	
壬	ȵiɪn2	白讀
壬	ʐən2	
壯	tʂɑ̃5	強～
壳	kʰoʔ7	
壷	kʰuən3	
壹	iəʔ7	
壺	ɦᵊu2	茶～
壻	si5	女～
壽	ʐ𐞢ʏ6	
夏	ɦio6=	(書)
夏	ɦo4	又音
夏	ɦo6	白讀：～天
夏	ɦio6	
夔	ɡuᴇ2	
夕	dziɪʔ8	
夕	ziəʔ8	除～
外	ŋɑ6	白讀：門～頭
外	ɦuᴇ6	
夙	soʔ7	
多	tɔ1	
多	tᵊu1	
夜	iᴇ5	
夜	ɦiɑ6	
夜	iɑ5	
夠	k𐞢ʏ5	
夢	moŋ6	
夤	ɦiən2	
夥	hᵊu3	～計
大	dᵊu6	
大	dɑ2	理論上應讀陽去
天	tʰiɛ1	青～
太	tʰɑ5	老～～
太	tʰᴇ5	文讀
夫	fv̩1	
夬	kuɑ5	
夬	kuᴇ5	
夭	iæ1	
央	iã1	中～
夯	hã1	打～
失	ʂəʔ7	
夷	ɦi2	
夸	kʰua1	
夾	kaʔ7	白讀：～裏
夾	kɑʔ7	
夾	tɕiaʔ7	
奄	iɛ3	
奇	dʑi2	
奈	nᴇ6	
奉	voŋ4	
奎	kʰuᴇ1	
奏	ts𐞢ʏ5	～樂
奐	huø5	
契	tɕʰi5	田～
奔	pən1	～去
奕	ɦiəʔ8	
獎	tsiã3	
套	tʰæ5	手～
奘	zɑ̃4	
奚	ɦi2	
奠	diɛ6	
奡	ŋæ6	
奢	ʂᴇ1	
奢	ʂɑ1=	(書)
奢	ʂ𐞢ʏ1	～侈
奥	æ5	
奪	dəʔ8	
奭	ʂəʔ7	
奮	fən5	～勉
奰	bi6	
女	ȵy4	～客
奴	nᵊu2	
奶	nɑ1	～～
奸	tɕiɛ1	文讀：～细
奸	kø1	
好	hæ3	
妁	tʂɑʔ7	
如	ʐʯ2	
妃	fi1	
妄	mɑ̃6	
妄	vɑ̃6	～想
妊	ʐən2	
妍	ȵiɛ2	
妐	tʂoŋ1	
妓	dʑi6	
妖	iæ1	
妗	tɕiɪn1	
妘	ɦyən2	
妙	miæ6	
妝	tʂɑ̃1	
妢	vən2	
妣	pi1	
妤	ʂʯ1	
妤	ʂʯ3	
妥	tʰᵊu3	～當
妨	fɑ̃1	
妬	tᵊu5	～忌
妮	ȵi2	
妲	taʔ7	
妵	tʰ𐞢ʏ3	
妹	mᴇ6	
妻	tsʰi1	夫～
妾	tsʰiəʔ7	
姁	ɕy1	
姆	mu4	聲調類推
姆	mo4	聲調類推
姆	m̩2	～[pɑ]道理，可能同“嘸不道理”
姊	tsiɑ3	白讀
姊	tsɿ3	
姊	tsi3	～妹
始	ʂʯ3	
姐	tsiɑ3	白讀：～～
姐	tsi3	
姑	kᵊu1	
姓	siɪn5	
委	uᴇ3	
委	uᴇ3	～員
姍	sᴇ1	
姘	pʰiən1	
姚	ɦiæ2	姓
姜	tɕiã1	姓
姝	tʂʰʯ1	
姞	tɕiəʔ7	
姣	tɕiæ3	
姣	tɕiæ1	
姤	k𐞢ʏ5	
姥	mu4	聲調類推
姦	kɛ1	白讀
姦	tɕiɛ1	文讀
姨	ɦi2	
姪	dʐəʔ8	
姫	tɕi1	
姱	kʰuo1	
姱	kʰua1	
姹	tsʰo3	
姹	tsʰo5	
姺	siɪn1	
姻	iɪn1	婚～
姽	kuᴇ3	
姿	tsɿ1	～質
娀	soŋ1	
威	uᴇ1	～勢
娃	uo1	
娉	pʰiɪn1	
娌	li4	
娑	sᵊu1	
娒	mᴇ1	嘸～，指伯母
娓	vi4	
娘	ȵiã2	
娛	ȵy2	
娜	nᵊu4	
娟	tɕiø1	
娠	ʂən1	
娣	di6	
娥	ŋᵊu2	
娩	miɛ4	分～
娩	ɦuɛ4	
娬	vv̩4	
娛	ȵy2	～樂
娵	ts𐞢ʏ1	
娶	tsʰi3	
娶	tsʰi5	嫁～
娼	tʂʰã1	～妓
婀	ᵊu1	
婁	l𐞢ʏ2	～門
婆	bu2	～～
婉	uø3	
婊	piæ3	～子
婐	lᵊu4	
婕	ziəʔ8	
婚	huən1	～姻
婞	ɦiɪn4	
婞	ɦiən4	又音。據《集韻》：下耿切
婢	bi6	
婣	iɪn1	
婦	vv̩6	媳～。該字本調爲陽上
婪	lø2	
婭	io3	
婺	vv̩6	
婼	tʂʰɑʔ7	
婿	si5	
媊	tsiɛ1	
媒	mᴇ6	
媒	mᴇ2	～人
媕	iɛ1	
媕	iɛ3	
媚	mᴇ6	
媛	ɦiø6	
媞	di2	
媟	siəʔ7	
媢	mæ6	
媧	uo1	
媮	tʰ𐞢ʏ1	
媯	kuᴇ1	
媳	siən1	可能是誤以爲“新婦”寫作“媳婦”所致
媳	siəʔ7	
媵	yən5	
媸	tʂʰʯ1	
媺	mᴇ3	
媽	mɑ1	～～
媽	mɑ3	也有可能讀陽上
媾	k𐞢ʏ5	
媿	ɡuᴇ6	
嫁	kɑ5	白讀
嫁	tɕiɑ5	
嫂	sæ3	
嫄	ȵiø2	
嫉	dziɪʔ8	
嫉	ziəʔ8	
嫋	ȵiæ4	
嫌	ɦiɛ2	～疑
嫐	ȵiæ4	疑爲“嬲”
嫖	biæ2	
嫖	pʰiæ1	
嫗	y5	
嫘	lᴇ2	
嫚	mɛ6	
嫜	tʂã1	
嫟	ȵiəʔ8	
嫠	li2	
嫡	tiəʔ7	
嫣	iɛ1	
嫦	dʐã2	
嫩	nən6	
嫫	mo2	
嫵	vv̩4	
嫻	ɦiɛ2	
嫽	liæ2	
嫿	ɦuaʔ8	
嬃	si1	
嬈	ʐæ2	
嬈	ʐæ4	
嬉	ɕi1	遊～
嬋	dʐø2	
嬌	tɕiæ1	～姐姐
嬖	pi5	
嬗	ʐø6	
嬙	ziã2	
嬛	tɕiø1	
嬡	ᴇ5	
嬪	piɪn1	
嬰	iɪn1	育～堂
嬲	ȵiæ4	
嬴	ɦiɪn2	
嬸	ʂən3	～～
嬿	iɛ5	
孀	ʂɑ̃1	
孀	sɑ̃1	白讀：孤～
孃	ȵiã1	
孃	ȵiã2	
孌	lø4	
孌	lø6	
子	tsɿ3	
孑	tɕiəʔ7	
孔	kʰoŋ3	～聖人
孕	ɦyən6	
孕	yən5	身～。聲調類推
孕	yən5	
字	zɿ6	
存	dzən2	
存	zən2	
孚	fv̩1	
孛	bəʔ8	
孜	tsɿ1	
孝	ɕiæ5	～子
孟	mã6	白讀：姓
孟	mən4	
季	tɕi5	一年四～
孤	kᵊu1	
孥	nᵊu2	
孩	ɦᴇ2	小～子
孫	sən1	～子
孬	tɕʰiʏ1	正字應爲“恘”，表示壞、不好
孰	ʐoʔ8	
孱	tsʰɛ5*	白讀：～頭
孱	zɛ2	～弱
孳	tsɿ1	
學	ɦoʔ8	白讀：～好樣
學	ɦioʔ8	文讀
孺	ʐʯ4	
孺	ʐʯ6	
孽	ȵiəʔ8	作～
孿	lø2	
孿	lø6	
宂	ʐoŋ4	
宄	kuᴇ3	
宅	dzɑʔ8	
宅	zɑʔ8	白讀
宅	zəʔ8	
宇	y3	
守	ʂ𐞢ʏ3	
安	ø1	
宋	soŋ5	姓
完	ɦuø2	
宏	ɦoŋ2	
宑	ziɪn6	
宓	miəʔ8	
宓	voʔ8	
宕	dɑ̃6	
宗	tsoŋ1	祖～
官	kuø1	～場
宙	dʐ𐞢ʏ6	
定	diɪn6	～盤星
宛	uø3	
宜	ȵi2	便～。今該字在“便宜”中讀作[ȵiəʔ]
客	kʰəʔ7	
客	kʰɑʔ7	白讀：～人
宣	siɛ1	
室	ʂəʔ7	
宥	iʏ5	寬～
宦	ɦuɛ6	
宧	ɦi2	
宮	koŋ1	
宬	dʐən2	
宮	koŋ1	
宰	tsɛ3	
宰	tsᴇ3	～牛
害	ɦᴇ6	～蟲應該除去
宵	siæ1	鬧元～
家	kɑ1	白讀
家	tɕiɑ1	文讀
宷	tsʰᴇ3	
宸	ʐən2	
容	ɦioŋ2	～貌
宼	kʰ𐞢ʏ5	姓
宿	s𐞢ʏ5	星～
宿	soʔ7	隔～
寁	tsɛ3	
寂	dziɪʔ8	
寂	ziəʔ8	～寞
寃	iø1	
寃	iø1	同“冤”
寄	tɕi5	～信
寅	ɦiən2	
密	miəʔ8	
寋	tɕiɛ3	
富	fv̩3	
寎	piɪn3	
寐	mᴇ6	
寒	ɦø2	飢～交迫
寓	ȵy6	客～
寔	ʐəʔ8	
寕	ȵiɪn2	
寘	tʂʯ5	
寞	moʔ8	
察	tsʰɑʔ7	
察	tsʰaʔ7	視～
寠	tɕy3	
寡	kuo3	～居
寡	kua3	
寢	tsʰiɪn3	～室
寤	ŋᵊu6	
寥	liæ2	
實	ʐəʔ8	老～
寧	dʐʯ4	
寧	ȵiɪn2	
寨	zᴇ6	原書記作[sᴇ]，聲調未知
審	ʂən3	～問
寪	uᴇ3	
寫	siɑ3	～字
寬	kʰuø1	～厚
寮	liæ2	
寰	ɡuɛ2	
寰	ɦuɛ2	
寵	tʂʰoŋ3	得～
寶	pæ3	
寸	tsʰən5	～金地
寺	zɿ6	
封	foŋ1	
射	ʐɑ6=	(書)
射	ʐ𐞢ʏ6*	
射	ʐoʔ8	
射	zo6	白讀：太陽～過來
射	zoʔ8	白讀：～箭
將	tsiã1	～要
將	tsiã5	～官
專	tʂø1	～心致志學會一種本事
尉	ɦuᴇ6	
尊	tsən1	～長
尋	dziɪn2	
尋	ziɪn2	
對	tᴇ5	
導	dæ6	
小	siæ3	
少	ʂæ3	多～
尖	tsiɛ1	
尚	ʐã6	
尚	zɑ̃6	和～
尟	siɛ3	不～，不少
尤	ɦiʏ2	姓
尨	bɑ̃2	
尪	uɑ̃1	
尬	kɑ5	白讀：尲～
尰	tʂoŋ3	
就	dziʏ6	
就	z𐞢ʏ6	成～
尵	dᴇ2	
尷	kɛ1	
尸	ʂʯ1	
尹	iɪn3	
尺	tʂʰəʔ7	
尺	tsʰɑʔ7	白讀：公～
尻	kʰæ1	
尼	ȵi2	
尾	ȵi4	
尾	vi4	
尿	ʂʯ1	
尿	ʂʯ5	
局	dʑioʔ8	
屁	pʰi1	～股。該字理論上應讀陰去
居	tɕy1	
屆	kɑ5	白讀
屆	tɕiɑ5	文讀
屈	tɕʰyəʔ7	姓
届	tɕiɑ5	
屋	oʔ7	
屌	tiæ3	
屍	ʂʯ1	
屎	sɿ3	
屎	ɕi1	
屏	biɪn2	～風
屏	biɪn2	
屐	dʑiəʔ8	木～
屑	siəʔ7	木～
展	tʂø3	
屙	kʰᵊu1	
屙	ᵊu1	
屜	tʰi5	抽～
屠	dᵊu2	姓
屢	li6	
屣	si3	
層	dzən2	
層	zən2	千～餅
履	li4	
屧	siəʔ7	
屨	tɕy5	
屩	tɕiɑʔ7	
屬	ʐoʔ8	
屭	ɕi5	
屯	tʂən1	
屯	dən2	
山	sɛ1	
山	ɦuo6	
山	sᴇ1	
屴	liəʔ8	
屺	tɕʰi3	
屼	ŋəʔ8	
岌	tɕiəʔ7	
岏	ȵiø2	
岐	dʑi2	
岑	zən2	
岔	tsʰo5	三～路口
岠	dʑy4	
岡	kɑ̃1	
岣	k𐞢ʏ3	
岩	ŋɛ2	靈～山
岫	z𐞢ʏ6	
岫	ɦiʏ2	據《集韻》：夷周切，音由
岯	pʰᴇ1	
岱	dᴇ6	
岱	dᴇ4	本音陽去
岳	ŋoʔ8	姓
岵	ɦᵊu4	
岷	miɪn2	
岸	ŋø6	
峋	siɪn1	
峙	ʐʯ4	
峨	ŋᵊu2	
峭	tsʰiæ5	
峯	foŋ1	山～
峱	næ2	
峴	ȵiɛ6	
島	tæ3	海～
峹	dᵊu2	
峽	ɦiaʔ8	
崆	kʰoŋ1	
崇	dzoŋ2	
崇	zᴇ6	
崇	zoŋ2	
崋	ɦuo6	～山
崍	lᴇ2	
崎	tɕʰi1	
崑	kʰuən1	～山
崒	zᴇ6	
崒	tsʰəʔ7	
崔	tsʰᴇ1	
崖	iɑ1	
崙	lən2	崑～山
崚	liɪn2	
崛	dʑyəʔ8	
崝	tsən1	
崡	ɦø2	
崢	tsən1	
崤	ɦiæ2	
崦	iɛ1	
崧	soŋ1	
崩	pən1	山～
崱	tsʰəʔ7	
嵇	tɕi1	
嵊	dʐən6	
嵋	mᴇ2	
嵌	kʰɛ1	
嵌	kʰɛ5	
嵌	kʰᴇ5	
嵎	ȵy2	
嵐	lø2	
嵞	dᵊu2	～山，即會稽山
嵩	soŋ1	
嵫	tsɿ1	
嵬	ŋuᴇ2	
嵯	tsʰᵊu1	
嵰	tɕʰiɛ3	
嵲	ȵiəʔ8	
嶁	l𐞢ʏ4	
嶂	tʂã5	
嶇	tɕʰy1	
嶒	zən2	
嶓	pu1	
嶔	tɕʰiən1	
嶙	liən2	
嶞	dᵊu6	
嶟	tsən1	
嶠	dʑiæ6	
嶡	tɕyəʔ7	
嶤	ɦiæ2	
嶧	ɦiəʔ8	
嶨	ɦioʔ8	
嶮	ɕiɛ3	
嶷	ȵi2	
嶸	ɦioŋ2	
嶺	liɪn4	山～
嶼	zi4	
嶽	ŋoʔ8	
巇	ɕi1	
巉	zɛ2	
巋	ŋuᴇ2	
巍	ŋuᴇ2	
巑	zø2	
巒	lø2	
巔	tiɛ1	
巘	ȵiɛ6	
川	tʂʰø1	四～
州	tʂ𐞢ʏ1	
巡	dziɪn2	
巡	ziɪn2	
巢	zæ2	
工	koŋ1	做～
左	tsᵊu3	姓
左	tsi1	～手。本調不明
巧	tɕʰiæ3	
巧	tɕʰiæ5	
巨	dʑy4	
巫	vv̩2	
差	tsʰɑ1	白讀：～使
差	tsʰo1	
己	tɕi3	自～
已	i3	～經
巳	zɿ6	
巳	zɿ4	
巴	po1	
巷	ɦɑ̃6	大街小～
巷	ɦiɑ̃6	文讀
巹	tɕiən3	
巽	sən5	
巾	tɕiɪn1	
幣	tsaʔ7	
市	zɿ6	
布	pu5	～穀
帆	vɛ2	
希	ɕi1	～望
幃	ɦuᴇ2	
帑	tʰɑ̃3	
帕	pʰoʔ7	手～子
帖	tʰiəʔ7	～子
帚	tʂ𐞢ʏ3	掃～
帛	bəʔ8	
帛	bɑʔ8	
帝	ti5	上～
帟	ɦiəʔ8	
帥	sᴇ5	大元～
帨	sᴇ5	
師	sɿ1	老～
席	dziɪʔ8	
席	ziəʔ8	
幫	pɑ̃1	
帳	tʂã5	
帴	tsiɛ3	
帶	tɑ5	白讀
帶	tᴇ5	文讀
帷	ɦuᴇ2	
常	dʐã2	
幗	kuəʔ7	
帽	mæ6	～子
幀	tʂən5	
幃	ɦuᴇ2	
幄	oʔ7	
幅	foʔ7	
幈	biɛ4	
幌	huɑ̃3	
幎	miəʔ8	
幐	dən2	
幔	mø6	
幕	mo6	開～
幕	moʔ8	
幗	kuəʔ7	巾～
幘	tsəʔ7	
幛	tʂã5	
幟	tʂʯ5	
幢	ʐɑ̃2	
幣	bi6	
幦	miəʔ8	
幨	tʂʰø1	
幩	vən2	
幪	moŋ2	
幫	pɑ̃1	～忙
幬	dæ6	
幭	miəʔ8	
幰	ɕiɛ5	
干	kø1	
平	biɪn2	
年	ȵiɛ2	
并	piɪn1	～州。亦同“併”
并	piɪn1	
幸	ɦiən6	
幸	ɦiən4	本音
幹	kø5	
幺	iæ1	
幻	ɦuɛ6	變～
幼	ɦiʏ6	
幼	iʏ5	～稚園
幽	iʏ1	
幾	tɕi1	
庀	pi5	
庂	tsəʔ7	
庄	tʂɑ̃1	
