#漢字	音標	解釋
#簡稱	/	杭州
#全稱	/	杭州話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,53 3 2 上 ꜂,,445 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇
#版本	/	2021-11-12
#錄入人	/	
#參考資料	/	#漢語多功能字庫#
#說明	/	來源：http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=M
念	ȵiᴇ̃6	
忿	ven6	
怎	tsen3	
怒	no6	
怕	pʰɑ5	
怖	pu5	
思	sɿ1	
怠	dᴇ6	
怡	ɦi2	
急	tɕiəʔ7	
性	ɕin5	
怨	ʔyõ5	
怪	kuᴇ5	
怯	tɕʰiəʔ7	
怱	tsʰoŋ1	
恃	zɿ6	
恆	ɦen2	
恐	kʰoŋ3	
恥	tsʰɿ3	
恨	ɦen6	
恩	ʔen1	
恭	koŋ1	
息	ɕiəʔ7	
恰	tɕʰiɑʔ7	
悄	tɕʰiɔ3	
悅	ɦyəʔ8	
悉	ɕiəʔ7	
悔	hui3	
悠	ʔiø1	
患	ɦuõ6	
悲	pei1	
悶	men1	
悶	men6	
情	dʑin2	
惜	ɕiəʔ7	
惟	vi2	
惟	ɦui2	
惠	ɦui6	
惡	ʔu5	
惡	ʔoʔ7	
惰	do6	
惱	nɔ3	
想	ɕiɑŋ3	
惹	dzɑ6	
惹	ȵiɑ3	
愁	dzei2	
愈	ɦʮ6	
愉	ɦʮ2	
意	ʔi5	
愚	ɦʮ2	
愛	ʔᴇ5	
感	kᴇ̃3	
愧	ɡui6	
慈	dzɿ2	
態	tʰᴇ5	
慌	huɑŋ1	
慘	tsʰᴇ̃3	
慚	dzᴇ̃2	
慢	mᴇ̃6	
慣	kuõ5	
慧	ɦui6	
慨	kʰᴇ5	
慪	ʔei5	
慫	soŋ3	
慮	lʮ6	
慰	ʔui3	
慷	kʰɑŋ3	
慾	ɦyəʔ8	
憂	ʔiø1	
憋	piəʔ7	
憐	liᴇ̃2	
憑	bin2	
憠	dzʮəʔ8	
憤	ven6	
憨	hᴇ̃1	
憫	min3	
憲	ɕiᴇ̃5	
憶	ʔi5	
憾	ɦᴇ̃6	
懂	toŋ3	
懇	kʰen3	
懈	dʑiᴇ6	
應	ʔin1	
應	ʔin5	
懊	ʔɔ1	
懊	ʔɔ5	
懲	dzen2	
懵	moŋ2	
懶	lᴇ̃3	
懷	ɦuᴇ2	
懸	ɦyõ2	
懺	tsʰᴇ̃5	
懼	dzʮ6	
戀	liᴇ̃2	
戇	ɡɑŋ6	
戈	ku1	
戍	sʮ5	
戎	dzoŋ2	
成	dzen2	
我	ŋo3	
戒	tɕiᴇ5	
戚	tɕʰiəʔ7	
戟	tɕiəʔ7	
截	dʑiəʔ8	
戰	tsʮõ5	
戲	ɕi5	
戳	tsʰoʔ7	
戶	ɦu6	
房	vɑŋ2	
所	su3	
扁	piᴇ̃3	
扇	sʮõ5	
手	sei3	
才	dzᴇ2	
打	tɑ3	
托	tʰoʔ7	
扛	kɑŋ1	
扣	kʰø5	
扭	niø3	
扮	pᴇ̃5	
扯	tsʰɑ3	
扳	pᴇ̃1	
扶	ɦu2	
批	pʰi1	
扼	ʔɑʔ7	
找	tsɔ3	
承	dzen2	
技	dʑi6	
抄	tsʰɔ1	
把	pɑ3	
抑	ʔiəʔ7	
抓	tsʮa1	
抓	tsɔ1	
