#漢字	音標	解釋
□	tsei1	吃东西
角	tɕiau3	又,直~
解	kai3-	~开
解	tɕiɛ3=	~开
解	ɕiɛ5	姓
觸	tsʰu5	
言	ian2	
譽	y5	荣~
謄	tən2	
誌	tsɿ5	
誓	ʂʅ5	
譬	pʰi5	~喻
計	tɕi5	
訂	tin5	~单
認	ʐən5	
譏	tɕi1	
討	tʰau3	
讓	ʐaŋ5	
訓	ɕyn5	
議	i5	
訊	ɕyn5	
記	tɕi5	
講	tɕiaŋ3	
諱	xuei5	
許	ɕy3	
訛	ŋɤ2-	~人
訛	ɤ2=	~人
論	lun2	~语
論	lun5	议~
訟	suŋ5	
諷	fəŋ5	
設	ʂɤ5	
訪	faŋ3	
证	tʂən5	
評	pʰin2	
識	ʂʅ1	
詐	tsa5	
訴	su5	
診	tʂən3	
詞	tsʰɿ2	
詔	tʂau5	
譯	i1	
試	sɿ5	
詩	sɿ1	
誠	tʂʰən2	
誅	tsu1	
話	xua5	
該	kai1	
詳	ɕiaŋ3	
語	y3	
誘	iəu5	
説	suo1	~话
誦	suŋ5	
請	tɕʰin3	
諾	luo1	
課	kʰɤ5	
誰	suei2	
調	tiau5	~动
調	tʰiau2	又,~料
諒	liaŋ5	
談	tʰan2	
誼	i2	
謀	məu2	
諜	tiɛ2	
謊	xuaŋ3	
諫	tɕian5	
諧	ɕiɛ2	
讒	tsʰan2	
謎	mi2	
謝	ɕiɛ5	
謗	paŋ5	
謙	tɕʰian1	
謬	miəu5	
譜	pʰu3	
谷	ku1	
豁	xuo1	~嘴,~口
豆	təu5	
豇	tɕiaŋ1	~豆
豉	sɿ3	豆~
豌	uan1	~豆
豚	tʰun2	
象	ɕiaŋ5	
豪	xau2	
豫	y5	
豹	pau5	
豺	tsʰai2	
貂	tiau1	
貌	mau5	
貝	pei5	
貞	tʂən1	
負	fu5	
貢	kuŋ5	
財	tsʰai2	
責	tsei2-	~任
責	tsɤ2=	~任
賢	ɕian2	
敗	pai5	
貨	xuo5	
質	tʂʅ1	
貪	tʰan1	
貧	pʰin2	
購	kəu5	
貳	ɚ5	~心
賤	tɕian5	
貼	tʰiɛ1	
貴	kuei5	
貸	tai5	
費	fei5	~用
賀	xɤ5	
賊	tsei2	
賈	tɕia3	姓
賄	xuei5	
賃	lin5	租~
賂	lu5	
贓	tsaŋ1	
資	tsɿ1	
賒	ʂɤ1	
賭	tu3	
贖	su2	
賞	ʂaŋ3	
賜	tsʰɿ5	
賠	pʰei2	
賴	lai5	
贅	tsuei5	
賺	tsuan5	
賽	sai5	
贊	tsan5	
贈	tsən5	
贏	in2	
赤	tʂʰʅ2	
赦	ʂɤ5	
赫	xɤ5	
走	tsəu5	
赴	fu5	
趙	tʂau5	
趕	kan3	
起	tɕʰi3	
趁	tʂʰən2	
超	tʂʰau1	
越	yɛ5	
趨	tɕʰy1	
趟	tʰaŋ5	一~
趣	tɕʰy5	
足	tsu2	
趼	tɕian5	~子;老~
趾	tsɿ3	
躍	yɛ1	
跌	tiɛ1	
跑	pʰau3	
跛	po3	~足
距	tɕy5	
跟	kən1	
跨	kʰua5	
跪	kʰuei5-	
跪	kuei5=	
路	lu5	
跳	tʰiau5	
踐	tɕian5	
踏	tʰa5	
踒	uo1	~了脚
蹤	tsuŋ1	
躡	niɛ1	~脚走
蹭	tsʰən5	磨~
蹲	tun1	
身	ʂən1	
躬	kuŋ1	
躱	tuo3	
躺	tʰaŋ3	
車	tʂʰɤ1	马~
軋	nia5	被车~,~棉花
軒	ɕyan1	
轉	tsuan3	~送
輪	lun2	
軟	ʐuan3	
轟	xuŋ1	
軸	tʂəu2	
輕	tɕʰin1	~重,~轻
載	tsai5	~重
載	tsai5	满~
轎	tɕiau5	
較	tɕiau5	
輔	fu3	
輛	liaŋ5	
輦	nian3	
輩	pei5	
輝	xuei1	
輯	tɕi1	编~
輸	su1	运~
轅	yan2	
轄	ɕia2	管辖
轍	tʂɤ2	
辛	ɕin1	
辭	tsʰɿ2	
辟	pʰi5	
辣	la1	
辨	pian5	
辯	pian5	
辮	pan5	
辰	tʂʰən2	
辱	ʐu3	
邊	pian1	
遼	liau2	
達	ta2	
遷	tɕʰian1	
迂	y1	
迅	ɕyn5	
過	kuo5	
邁	mai5	
迎	in2	
運	yn5	
近	tɕin5	
還	xai2	~有
還	xuai2	又,~债
還	xuan2	又,~书
進	tɕin5	
遠	yan3	
違	uei2	
連	lian2	
遲	tsʰɿ2	
迥	tɕioŋ3	~然不同
迫	po5	
迭	tiɛ2	
述	su5	
迷	mi2	
迸	pəŋ5	~裂
迹	tɕi5	
追	tsuei1	
退	tʰuei5	
送	suŋ5	
適	ʂʅ5	
逃	tʰau2	
逆	ni5	~风
選	ɕyan3	
遜	ɕyn5	
透	tʰəu5	
逐	tsu2	
途	tʰu2	
逗	təu5	
通	tʰuŋ1	
逛	kuaŋ5	
逝	ʂʅ5	
逞	tsʰən3	~能
速	su1	
造	tsau5	建~
逢	fəŋ2	
逵	kʰuei2	
逸	i5	
逼	pi1	
遁	tun5	
遂	suei5	
遇	y5	
遍	pʰian5-	~地
遍	pian5=	~地
遐	ɕia2	
道	tau5	
遺	i2	
遣	tɕʰian3	
遭	tsau1	
遮	tʂɤ1	
遵	tsun1	
避	pi5	
邀	iau1	
鄧	tən5	
那	la5	
邦	paŋ1	
邪	ɕiɛ2	
郵	iəu2	
邵	ʂau5	
鄒	tsəu1	
鄰	lin2	
郁	y5	
郊	tɕiau1	
郎	laŋ2	
鄭	tʂən5	
郡	tɕyn5	
部	pu5	
郭	kuo1	
都	təu1	~是
都	tu1	首~
鄙	pi3	
酉	iəu3	
酌	tsuo2	
配	pʰei5	
酒	tɕiəu3	
酣	xan1	
酥	su1	
酪	luo1	
酬	tʂʰəu2	
醬	tɕiaŋ5	
酵	tɕiau5	
酷	kʰu5	
酸	suan1	
釀	niaŋ5	
醇	tsʰun2	酒味~
醉	tsuei5	
醋	tsʰu5	
醒	ɕin3	
采	tsʰai3	
釋	ʂʅ5	
重	tsʰuŋ2	又,~复
重	tsuŋ5	轻~
野	iɛ3	
量	liaŋ2	~长短
量	liaŋ5	数~
金	tɕin1	
鑑	tɕian5	
鋭	ʐuei5	
錄	lu1	
鏨	tsan5	~花
針	tʂən1	
釘	tin5	~住
釘	tin1	铁~
釣	tiau5	
釵	tsʰai1	
鈍	tun5	
鈔	tsʰau1	
钟	tsuŋ1	
鋼	kaŋ1	
鑰	yɛ1-	~匙
欽	tɕʰin1	
鈞	tɕyn1	
鈀	pʰa2	~子
錢	tɕʰian2	
鉗	tɕʰian2	
鉢	po1	
鑽	tsuan1	动词
鑽	tsuan5	又,电~
鐵	tʰiɛ1	
鈴	lin2	
鉛	tɕʰian1	
銅	tʰuŋ2	
銘	min2	
鉸	tɕiau3	用剪子剪:~开
鏟	tsʰan3	
銀	in2	
鋪	pʰu1	~设
鋪	pʰu5	店~
鎖	suo3	
鋥	tsʰən1	~光
鋤	tsʰu2	
鍋	kuo1	
鏽	ɕiəu5	铁~
鋒	fəŋ1	
鐧	tɕian5	车锏
錯	tsʰuo5	~误
鑼	luo2	
錘	tsʰuei2	
錐	tsuei1	
錠	tin5	一~金:量词
鍵	tɕian5	
鍬	tɕʰiau1	
鍛	tuan5	~炼
鍍	tu5	
鎮	tʂən5	
鑷	niɛ1	~子
鏡	tɕin5	
镢	tɕyɛ1	~头:大锄
鐲	tsuo2	~子
鐮	lian2	
長	tʂʰaŋ2	又,~短
長	tʂaŋ2	生~
門	mən2	
閂	suan1	
閃	san3	
閉	pi5	
問	un5	
闖	tsʰuaŋ2	
閏	ʐun5	
闲	xan2-	
闲	ɕian2=	
間	tɕian1	空~
悶	mən1	~热
悶	mən5	郁~
鬧	lau5	
閨	kuei1	
聞	un2	
閩	min3	
閣	kɤ1	
鬮	tɕiəu1	拈~
閲	yɛ1	
閹	ian1	
閻	ian2	
闊	kʰuo5	
隊	tuei5	
阮	ʐuan3	
防	faŋ2	
陽	iaŋ2	
陰	in1	
陣	tʂən5	
階	tɕiɛ1	
阿	a1	~姨
附	fu5	
際	tɕi5	
陸	lu1	
隴	luŋ3	
陳	tʂʰən2	
陘	ɕin2	井~
陋	ləu5	
陌	mo1	~生
降	ɕiaŋ2	~伏,投~
降	tɕiaŋ5	下~
限	ɕian5	
陝	san3	
陛	pi5	~下
陡	təu3	
院	yan5	
除	tsʰu2	
險	ɕian3	
陪	pʰei2	
陵	lin2	
陶	tʰau2	
陷	ɕian5	
隆	luŋ2	
隨	suei2	
隱	in3	
隔	kei1-	~开
隔	kɤ2=	~开
隘	ŋai5-	狭~
隘	ai5=	狭~
障	tʂaŋ5	保~
隧	suei5	~道
難	nan2	~过
難	nan5	又,患~
雀	tɕʰyɛ3	麻~
雁	ian5	
雄	ɕioŋ2	
雅	ia3	
集	tɕi1	
雇	ku5	
雉	tʂʅ5	~鸡
雌	tsʰɿ3	
雍	ioŋ1	
雛	tsʰu2	
雕	tiau1	
雨	y3	
雪	ɕyɛ1	
零	lin2	
雷	luei2-	打~
雷	lei2=	打~
雹	pau2	
霧	u5	
需	ɕy1	
震	tʂən5	
黴	mei2	
霍	xuo5	
霜	suaŋ1	
霞	ɕia2	
露	lu5	
霸	pa5	
青	tɕʰin1	
靜	tɕin5	
靠	kʰau5	
靡	mi3	
面	mian5	
革	kei1-	~命
革	kɤ2=	~命
靴	ɕyɛ1	
鞋	xai2-	
鞋	ɕiɛ2=	
鞍	ŋan1-	~前马后
鞍	an1=	~前马后
鞘	tɕʰiau5	刀~
韌	ʐən5	
韓	xan2	
韭	tɕiəu3	
音	in1	
韻	yn5	
韶	ʂau2	~关
頁	iɛ1	
頂	tin3	
頃	tɕʰin1	
項	ɕiaŋ5	
順	sun5	
须	ɕy1	
頑	uan2	~固
顧	ku5	
頓	tun5	
頒	pan1	
頌	suŋ5	
預	y5	
領	lin3	
頗	pʰo1	
頻	pʰin2	~繁
穎	in3	
顆	kʰɤ1	一~珠
題	tʰi2	
顔	ian3	
額	ɤ2-	~外
額	ŋei2-	~外
顛	tian1	
顫	tʂʰan5	
顴	tɕʰyan2	~骨
風	fəŋ1	
颼	səu1	
飄	pʰiau1	
飛	fei1	
食	ʂʅ2	
餐	tsʰan1	
饥	tɕi1	~饿
饥	tɕi1	~荒
飩	tʰun2	馄~
飲	in3	~酒
飲	in3	米汤
飲	in5	饮马
餞	tɕian5	~行
飾	ʂʅ5	
飽	pau3	
飼	sɿ5	
飴	i2	高粱~
餌	ɚ2	
饒	ʐau2	
餉	ʂaŋ5	
餃	tɕiau3	~子
餅	pin3	
餑	po1	
餓	ŋɤ5-	~了
餓	ɤ5	~了
餛	xun2	~饨
餡	ɕyan5-	肉~子
餡	ɕian5=	肉~子
館	kuan3	
餿	səu1	饭馊了
饞	tsʰan2	
饃	mo2	
餾	liəu2	
饅	man2	~头
首	ʂəu3	
香	ɕiaŋ1	
馨	ɕin1	
馬	ma3	
馱	tʰuo2	~起来
馳	tʂʰʅ2	
驅	tɕʰy1	
駁	po1	
驢	ly2	
駛	sɿ3	
駒	tɕy1	
駐	tsu5	
駝	tʰuo2	
駕	tɕia5	
駡	ma5	
驕	tɕiau1	
駱	luo1	
駭	xai5	惊~
驗	ian5	
騎	tɕʰi2	
騙	pʰian5	欺~
騷	sau1	
騾	luo2	
驟	tsəu5	
骨	ku3	筋~,~头
髓	suei3	
高	kau1	
髻	tɕi5	
鬃	tsuŋ1	马~,猪~
鬏	tɕiəu1	梳个~儿
鬢	pin5	
鬼	kuei3	
魁	kuei2	
魂	xun2	
魄	pʰo5	
魏	uei5	
魔	mo2	
魚	y2	
魯	lu3	
鮎	nian2	~鱼
鮑	pau5	姓,~鱼
鮮	ɕyan1-	新~
鮮	ɕian1=	新~
鯽	tɕi1	
鰓	sai1	
鰾	pʰiau3	
鱉	piɛ1	
鱖	kuei5	~鱼
鱗	lin2	
鳥	niau3	
鳩	tɕiəu1	
雞	tɕi1	
鳴	min2	
鴉	ia1	
鸕	lu2	~鹚
鴨	ia1	
鴿	kɤ1	
鸞	luan2	
鴻	xuŋ2	
鵝	ŋɤ2-	白~
鵝	ɤ2=	白~
鵡	u3	
鵲	tɕʰyɛ3	喜~
鶴	xɤ2	
鸚	in1	~鹉,~哥
鷺	lu5	~鸶
鷹	in1	
鹿	lu1	
麝	ʂɤ1	~香
麥	mei1-	~子
麥	mai5=	~子
麩	fu1	麦~子
麻	ma2	
麾	xuei1	
黃	xuaŋ2	
黍	su3	
黏	nian2	~住
黑	xei1	
黢	tɕʰy1	~黑
鼎	tin3	
鼓	ku3	
鼠	tsʰu3-	老~
鼠	su3=	老~
鼻	pi2	
鼾	xan1	~声
齈	luŋ5	多涕鼻疾,鼻涕多
齊	tɕʰi2	
齒	tsʰɿ3	
龍	luŋ2	
龜	kuei1	
