#漢字	音標	解釋
#簡稱	/	江門墟頂
#全稱	/	江門市區話（墟頂）
#聲母	/	
#韻母	/	
#聲調	/	23 1 1a 陰平陰去 ꜀,45 3 2 陰上 ꜂,,21 2 1b 陽平陽上 ꜁,,32 6 3 陽去 ꜅,45 7a 4a 上陰入 ꜆,23 7b 4b 下陰入 ꜀,32 8a 4c 陽入 ꜇,21 8b 4d 變入 ꜁
#版本	/	2022-02-13
#錄入人	/	Kwíngiem Chan
#參考資料	/	
#說明	/	
嚟	lɐi4	
嚟	lei4	
嚥	jin1	
嚨	lʊŋ4	
嚮	hiɔŋ1	
嚮	hiɔŋ2	
嚴	jim4	
嚷	jiɔŋ6	
嚼	tsiɔk8	
囁	tsip8	
囂	hiu1	
囉	lɔ1	囉嗦
囉	lɔ4	嘍囉
囊	nɔŋ4	
囑	tsʊk7	
囚	tsʰɐu4	
四	sei1	
回	wui4	
因	jɐn1	
囡	nam4	
囪	tsʰʊŋ1	
囫	fɐt7	
困	kʰwuɐn1	
固	ku1	
圃	pʰou2	
圇	lɐn4	
圈	kin6	豬圈
圈	hin1	圓圈
國	kɔk8	
圍	wɐi4	
園	jin4	
圓	jin4	
圖	hou4	
團	hin4	
土	hou2	
在	tsɔi6	
圭	kwuɐi1	
圮	pʰei2	
地	tei6	
圳	tsɐn1	
圾	sap7	
址	tsi2	
均	kwuɐn1	
坊	fɔŋ1	街坊
坊	fɔŋ4	堤坊
坎	hɐm2	
坏	pʰui1	同“坯”
坐	tsʰɔ1	
坐	tsɔ6	
坑	hɐŋ1	
坡	pɔ1	
坤	kʰwuɐn1	
坦	han2	
坪	pʰɪŋ4	
坷	hɔ2	
坼	tsʰɐk8	
垂	sui4	
垃	lap9	
型	jɪŋ4	
垠	ŋɐn4	
垢	kɐu1	習讀音應爲官話影響導致
垣	wun4	
垮	kʰwua1	
埂	kɐŋ2	
埃	ŋɔi1	
埋	mai4	
城	sɪŋ4	
埔	pou1	
埕	tsʰɪŋ4	
域	wɪk9	
埠	pou6	埠頭
埠	fɐu6	商埠
埡	ŋa1	
執	tsɐp7	
培	pʰui4	
基	kei1	
堂	hɔŋ4	
堅	kin1	
堆	tui1	
堊	ŋɔk8	
堡	pou2	
堤	hɐi4	
堪	hɐm1	
堯	jiu4	
堰	jin2	
報	pou1	
場	tsʰiɔŋ4	
堵	tou2	
塊	fai1	
塌	hap8	
塑	sɔk8	塑料
塑	sou1	塑料
塑	sou1	塑造
塔	hap8	
塗	hou4	
塘	hɔŋ4	
塚	tsʰʊŋ2	
塞	tsʰɔi1	塞外
塞	sɐk7	塞車
塢	ŋou1	船塢
塢	wu2	山塢
填	hin4	
塭	wɐn1	
塵	tsʰɐn4	
塹	tsʰim1	
塾	sʊk9	
境	kɪŋ2	
墅	jɛ4	讀半邊所致
墅	sui6	
墊	tin1	
墓	mou6	
墜	tsui6	
增	tsɐŋ1	
墟	hui1	
墟	hui4	
墨	mɐk9	
墩	tɐn1	
墮	tɔ6	
墳	fɐn4	
墾	hɐn2	
壁	pɪk8	
壇	han4	
壑	hɔk8	
壑	kʰɔk8	
壓	ŋat8	
壘	lɐt9	神荼鬱壘
壘	lui4	堡壘
壞	wai6	
壟	lʊŋ4	
壤	jiɔŋ6	
壩	pa1	
士	si6	
壬	jɐm4	
壯	tsɔŋ1	
壹	jɐt7	
壺	wu4	
壼	kʰwuɐn2	
壽	sɐu6	
夏	ha6	
夕	tsɪk9	
外	ŋɔi6	
夙	sʊk7	
多	tɔ1	
夜	jɛ6	
夠	kɐu1	
夢	mʊŋ6	
夥	fɔ2	
大	tai6	
天	hin1	
太	hai1	
夫	fu1	農夫
夫	fu4	古代指示詞、代詞、助詞
夭	jiu1	
央	jiɔŋ1	
失	sɐt7	
夷	ji4	
夸	kʰwua1	
夾	kap8	
奄	jim1	奄奄一息
奄	jim2	奄有
奇	kei1	奇數
奇	kʰei4	奇怪
奈	nɔi6	
奉	fʊŋ6	
奏	tsɐu1	
奐	wun6	
契	kʰɐi1	契約
契	kʰit8	契丹
契	sit8	殷商的始祖
奔	pɐn1	
奕	jɪk9	
套	hou1	
奘	tsɔŋ6	
奚	hɐi4	
奠	tin6	
奢	tsʰɛ1	
奧	ŋou1	
奪	tit9	
奮	fɐn6	
奮	fɐn1	又音
女	nui2	
奴	nou4	
奶	nai4	
奸	kan1	
她	ha1	
奼	tsʰa1	
好	hou2	友好
好	hou1	好客
如	ji4	
妃	fei1	
妄	mɔŋ6	
妍	jin4	
妒	tou6	
妓	kei6	
妖	jiu2	
