#漢字	音標	解釋
#簡稱	/	東至
#全稱	/	東至話
#聲母	/	
#韻母	/	
#聲調	/	11 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,35 3 2 上 ꜂,,41 5 3 去 ꜄,,55 7 4 入 ꜆
#版本	/	2022-03-15
#錄入人	/	空島。
#參考資料	/	《東至縣誌》
#說明	/	
孝	ɕiau5	
孟	moŋ1	
季	tɕi5	
孤	ku1	
學	ɕio1	
孩	xai2	
孬	nau1	
孺	suaŋ1	
孽	ȵie7	
寧	ȵin2	
它	tʰa1	
宅	tsʰai1	
宇	y3	
守	səu3	
安	ŋan1	
宋	soŋ5	
完	uon2	
宏	xoŋ2	
宕	taŋ1	
宗	tsoŋ1	
官	kon1	
宙	tsəu5	
定	tʰin1	
宜	i2	
寶	pau3	
實	sɿ1	
寵	tsʰoŋ3	
審	sən3	
客	kʰæ7	
宣	ɕiɛn1	
宣	ɕyan1	
室	sɿ7	
宦	xon5	
宪	ɕiɛn1	
宮	koŋ1	
宰	tsai3	
害	xai1	
宴	iɛn1	
宵	ɕiau1	
家	ka1	
家	tɕia1	
容	zoŋ2	
寬	kʰon1	
賓	pin1	
宿	su7	
寂	tɕi1	
寄	tɕi5	
寅	in2	
密	mi7	
寇	kʰəu5	
寇	kʰiəu5	
富	fu5	
寓	y1	
寢	tɕʰin3	
寞	mo7	
察	tsʰa7	
寡	kua3	
寨	tsʰai1	
寸	tsʰən5	
對	tei5	
寺	sɿ1	
導	tau3	
壽	səu1	
封	foŋ1	
封	tsəu5	
射	sæ5	
將	tɕiaŋ1	
將	tɕiaŋ5	将领
尉	uei1	
尊	tsən1	
小	ɕiau3	
少	sau3	少有
少	sau5	少年
尖	tɕiɛn1	
尘	tsʰən2	
尚	saŋ1	
嘗	tsʰaŋ2	
尤	iəu2	
尬	ka5	
就	tɕʰiəu1	
尷	kan1	
屍	sɿ1	
尺	tsʰɿ7	
尼	ȵi2	
尾	uei3	
尿	ȵiau1	
局	tsy7	
屁	pʰi5	
屄	pi1	
居	tsy1	
屈	tsʰy7	
屉	tʰi5	
屆	tɕiai5	
屋	u7	
屌	tiau3	
屎	sɿ3	
屏	pʰin2	
屑	ɕie5	
屑	ɕie7	
展	tsan3	
屙	uo1	
屬	sy3	
屠	tʰu2	
屢	ly3	
山	san1	
嶼	y3	
歲	sei5	
豈	tɕʰi3	
岔	tsʰa5	
崗	kaŋ3	
嵐	lan2	
島	tau3	
岳	io7	
岳	yæ7	
岸	ŋan5	
岸	ŋon7	
峙	tsɿ5	
峽	ɕia7	
峯	foŋ1	
崇	tsʰoŋ2	
崎	tɕʰi2	
崔	tsʰei1	
崖	ia2	
崖	iai2	
崛	tɕyæ7	
崩	poŋ1	
嶄	tsan3	
崽	tsai3	
嵋	mei2	
嵌	kʰan5	
嶂	tsaŋ1	
巍	uei1	
川	tɕʰyan1	
州	tsəu1	
巢	tsʰau2	
工	koŋ1	
左	tso3	
巧	tɕʰiau3	
巨	tsy5	
鞏	koŋ3	
巫	u1	
差	tsʰa1	
差	tsʰai1	出差
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pa1	
巷	xaŋ1	白
市	sɿ5	
布	pu5	
帥	ɕyai5	
帆	fan1	
師	sɿ1	
希	ɕi1	
帳	tsaŋ5	
帕	pʰa5	
帖	tʰie7	
帚	tsəu3	
幟	tsɿ7	
帝	ti1	
帶	tai5	
席	ɕi1	
幫	paŋ1	
帷	uei2	
常	tsʰaŋ2	
帽	mau1	
幂	mi7	
幅	fu5	
幌	xuaŋ1	
幌	xuaŋ3	
幕	mu1	
幠	ku1	被～
幢	tsʰuaŋ1	
干	kon1	
平	pʰin2	
年	ȵiɛn2	
并	tɕʰyan3	
并	pin5	
幸	ɕin5	
幻	xon5	
幼	iəu5	
幽	iəu1	
廣	kuaŋ3	
莊	tsuaŋ1	
慶	tɕʰin5	
牀	tsʰuaŋ2	
廬	lu2	
庫	kʰu5	
應	in1	
底	ti3	
店	tiɛn5	
廟	miau1	
庚	kən1	
府	fu3	
