#漢字	音標	解釋#('hsn_ls_qlcl', '晴隆長流話', '晴隆長流', '#8B0000', None, None, '來源：吴伟军.贵州晴隆长流“喇叭苗”土话音系[J].方言,2019(4):446-462.', '44 1 1a 陰平 ꜀,21 2 1b 陽平 ꜁,41 3 2 上 ꜂,,35 5 3 去 ꜄,,13 7 4 入 ꜆', None, None)
㖿	iai2	叹词，反驳别人的意见
崔	tsʰei1	
嶄	tsõ3	齐～
崴	uai3	脚扭了
崽	tsai3	
嵌	tɕʰiɛ̃5	
嵩	sʌŋ1	
巔	tiɛ̃1	
川	tʂʰuã1	
州	tʂɯ1	
巡	ɕin2	
巢	tsʰɔ2	
工	kʌŋ1	
左	tsʉ3	(白)
左	tso3	(文)
巧	tʂʰɔ3	
巨	tɕi5	
鞏	kʌŋ3	
巫	vu1	
差	tsʰɑ1	～别]撤[(白)～下来]拆[～屋
差	tsʰai1	出～
差	pʰiai5	(训读)差，不好：箇人～得很
己	tɕi3	
巴	pɑ1	
巷	ɦõ5	
巾	tʂen1	
幣	bi5	
市	ʂʅ5	
布	pu3	～依族
布	pu5	
帥	ʂuai5	
帆	ɦuã2	
師	sɿ1	
希	ɕi1	
帕	pʰɑ5	
帖	tʰiai7	
帘	liɛ̃2	
帝	ti5	
帶	tai5	
席	ɕi7	
幫	põ1	
常	tʂʰõ2	(文)正～]长[(文)～江]场[(文)排～
常	dʐõ2	(白)经～]长[(白)～短]场[(白)～坝
幗	kuai7	
帽	mɔ5	
幔	mã5	
幕	mu5	
幡	huã1	～～：灵幡
干	kõ1	(白)天～]竿[担～：扁担]官棺观[参～
干	kã5	做；吃，喝：～杯酒
平	biõ2	(白)(1)～毋～
平	pʰin2	(文)天～]坪[(文)草～]评[(文)～论
平	bin2	(白)(2)～时
年	ȵiɛ̃2	(文)～龄
并	pin5	～且
并	bin5	合～
幸	ɕin5	
幻	ɦuã5	
幼	iɯ5	
幽	iɯ1	
慶	tʂʰen5	
牀	dzõ2	
庫	kʰu5	
應	in5	～当，～用；～对
底	tei3	
店	diɛ̃5	
廟	miɯ5	
庚	ken1	
府	hu3	
龐	pʰõ2	
廢	huei5	
度	du5	
座	dzʉ5	(白)～位
座	dzo5	(文)～石：墓碑底的石头
庭	din2	
庵	ŋã1	
康	kʰõ1	
庸	iʌŋ1	
庹	pʰai3	双臂的长度
廉	liɛ̃2	
廊	lõ2	(1)
廖	liɔ5	姓
廷	din2	
建	tɕĩ5	(白)～屋
開	kʰai1	
异	i5	
弄	nʌŋ5	
弊	bi5	
式	ʂʅ5	
弓	kʌŋ1	
引	in3	
弘	ɦʌŋ2	
弟	dei3	(白)老～
弟	di5	(文)徒～
弦	ʐã2	(白)～线：琴弦
弦	ɕiɛ̃2	(文)六～琴]玄悬[(文)～挂]旋[凯～
彎	uõ1	
弱	ʐo7	
彈	dã5	子～
强	tʂʰõ3	勉～
歸	kuei1	
當	tõ1	～家
當	tõ5	恰～，～东西
录	lu2	(文)～音机
形	ɕin2	
彩	tsʰai3	
彪	piɔ1	
彬	pin1	
影	in3	
彷	pʰõ2	
役	iɯ7	
徹	tɕʰiai7	
彼	pʰi3	
彿	hu7	彷～]佛[(文)～像]福幅蝠[蝙～
往	uõ3	
征	tʂen1	
徑	tɕin5	
待	dai5	
很	hen3	
後	ʐɯ3	(白)～日
徐	ɕi2	
徒	du2	
得	tei1	
徙	ɕi1	
徛	dʐʅ3	站；立
御	i5	
復	hu7	～原；～兴]腹覆[(文)～盖]服伏[(文)埋～
循	ɕin2	
微	uei2	
德	tai7	
徽	huei1	
心	ɕin1	
憶	i5	
忌	dʐʅ5	(白)～倒：忌讳
忍	ʐen3	(2)
忘	mõ5	(白)～记]望[(白)～倒]哞[牛叫声
忙	mõ2	
忠	tʂʌŋ1	
忤	vu3	～孽儿
快	kʰuai7	
念	ȵĩ5	(白)～几句]殓[(白)装～]验[(白)～票
念	ȵiɛ̃5	(文)怀～]殓[(文)]验[(文)～收
忽	hu7	
懷	ɦuai2	(文)胸～
懷	uai2	(白)～头：面前
態	tʰai5	
慫	sʌŋ3	
慪	ŋɯ5	
怎	tsen3	
怒	nu5	
怕	pʰɑ5	
怖	bu5	
憐	lĩ2	(白)可～
憐	liɛ̃2	(文)～悯
思	sɿ1	
怠	dai5	
性	ɕin5	
怨	iɛ̃5	
怪	kuai5	
怯	tɕʰiai7	
總	tsʌŋ3	
戀	liɛ̃5	
恐	kʰʌŋ3	
恆	hen2	
恢	huei1	
恨	hen5	
恩	ŋen1	
恭	kʌŋ1	
息	ɕi2	
恰	tʂʰɑ7	
懇	kʰen3	
恶	o7	～人
惱	nɔ3	
悉	ɕi7	
悔	huei3	
悚	sʌŋ3	黑～～
悟	vu5	
悠	iɯ1	
患	ɦuã5	
悅	iai7	
懸	ʐã2	(白)危险：～吊吊
悲	pei1	
驚	tɕin1	
惑	huai7	
惜	ɕi7	
惜	ɕiai7	
惟	uei2	
惠	ɦuei5	
慘	tsʰã3	
慚	tsʰã2	
想	ɕiõ3	
惹	ȵiɑ3	
愁	dzɯ2	
愉	i2	
意	i5	
愚	i2	
感	kã3	
憤	ɦuen5	
愧	kʰuei5	
願	iɛ̃5	
慌	hõ1	
慎	tʂʰen5	
慕	mu5	
慢	mã5	
慧	ɦuei5	
慨	kʰai5	感～
慰	uei5	
慷	kʰõ1	
憋	piai1	
憎	tsen5	
憨	hã1	
憾	ɦã5	
懂	tʌŋ3	
懊	ŋɔ5	
懶	lã1	(白)～散；松散：～倒打个活套
懶	lã3	(文)～人
懵	mʌŋ5	～懂
戈	ko1	
戊	vu5	
戌	ɕiɯ7	戊～
戍	ʂu7	～兵]术[(文)(2)算～]嘱属熟[(文)成～
成	dʐen2	
我	vʉ3	(文)
我	ŋʉ3	(白)
我	ŋo3	(文)
戒	kai5	(白)～烟
或	huai7	
戧	tɕʰiõ1	斜
戰	tsã5	
戚	tɕʰi7	(文)姓
戥	ten3	～子
截	tɕi1	(文)一～]结[(文)(2)～婚]膝[(白)克～冒：膝盖
截	dʑi2	(白)(1)～落来
戳	tsʰʉ5	
戴	tai5	
戶	ɦu5	
戽	hu5	～水]互护瓠[～瓜]付赋赴富副负附咐[咂～：嘱咐
房	ɦõ2	
所	so3	
扁	pĩ3	(白)压～
扁	piɛ̃3	(文)～形
扇	ʂã5	(文)名词，～形
手	ʂɯ3	
才	tsʰai2	(文)～能]材[(文)～料]豺柴[(2)～胡
才	dzai2	(白)～转来]材[(白)～子]财裁豺柴[(白)～火
扎	tsɑ7	～实
扑	bu2	～克
扒	pʰɑ2	～拉：一～事
打	tɑ3	
扔	ʐen3	
托	tʰo7	(文)委～
扛	kʰõ2	
扣	kʰiɯ5	
扦	tɕʰĩ1	～担：两头尖的扁担]牵[(白)～起手]圈[(白)(2)花～
執	tʂʅ7	
擴	kʰuai7	
掃	sɔ5	
揚	iõ2	
扭	ȵiɯ3	
扮	pʰã5	(文)～演]盼襻[纽～]判叛绊[(文)牵～
扮	bã5	(1)打～
扯	tʂʰɑ3	
擾	ʐɔ3	
扳	pã1	～机
扶	hu7	
批	pʰi1	(文)～准]砒[～霜]披劈[(文)天打雷～
批	pʰei1	(白)～评]胚[～胎]坯[土～
扼	ŋai7	
找	tsɔ3	
承	ʂen2	(白)～倒
技	tɕi5	
抄	tsʰɔ1	
把	pɑ3	～握；介词
把	ɡuɑ3	(训读)一～米
把	pɑ5	～～：把儿
抑	i5	
抓	tʂuɑ1	
投	tʰɯ2	(文)～机倒把
投	dɯ2	(白)～饶
抖	tɯ3	(文)～动
抖	tʰɯ3	(白)～干净
抗	kʰõ5	
折	tɕi1	(白)折叠：～起来]揭[(白)～开]节[(白)过～
折	tsei1	(文)～衣
折	ɕi5	～本
折	tsai7	(文)(1)挫～]浙则侧[(白)～边]窄摘[(文)文～
撫	hu3	
抛	pʰɔ1	
摳	kʰiɯ1	
搶	tɕʰiõ3	
報	pɔ5	
抨	pʰʌŋ1	
抬	dai2	
抱	bɔ3	(白)～细人：抱小孩
抱	bɔ5	(文)拥～
抱	pʌŋ7	(训读)
抵	ti3	
抹	mo3	～平
抹	mɑ7	～桌子
抻	tʂʰen1	伸展：～腰杆
押	iɑ7	
抽	tʂʰɯ1	
拃	tʂʰɑ5	两指之间的距离
擔	tã1	～任
擔	tã5	～竿：扁担
拈	ȵĩ1	～起来
拉	lɑ1	
拉	lʉ3	(训读)拉；拉拢
拌	bõ3	～面条
拌	pã5	～禾
拍	pʰɑ1	(白)～肩头
拍	pʰai7	(文)球～
拎	lin1	
拐	kuai3	(文)～卖
拐	kʰuai7	手倒～：手肘
拒	tɕi5	
拓	tʰɑ7	～碑]沓[一～纸]塔榻塌[(2)
拔	pɑ7	(文)～毛
拖	tʰʉ1	(白)～疲]脱[(文)～衣]托[(白)～起：用手支撑
拖	tʰo1	(文)～拉机
拗	ŋɔ5	
拙	tʂʰʉ1	(白)笨～
招	tʂɯ1	
拜	pai5	
攏	lʌŋ3	
擁	iʌŋ3	
撥	pʉ1	
撥	po7	挑～]勃脖搏博泊膊[胳～]薄[～荷
括	kuɑ7	
拯	tʂen3	
拱	kʌŋ3	
拳	dʐuen2	(白)打～
拴	ʂuã1	
拼	pʰin1	～音
拼	pʰin5	～命
拾	ʂʅ7	
拿	nɑ1	
持	tsʰɿ2	
挂	kuɑ5	
指	tsɿ5	手～崽：手指头
按	ŋã5	
挑	tiɔ1	(白)～精：挑剔
挑	tʰiɔ1	(文)～是非
挖	uɑ1	(文)～王：过分，不留余地
挖	uei1	(白)～～机
挾	kei1	
撓	nɔ2	
擋	tõ3	
擠	tɕi3	
揮	huei1	
挨	ŋai1	～近
挪	no2	
振	tʂen3	
挲	ʂɑ1	～开手]赊[(白)]畬[土地
挺	tʰin3	
挺	tʰin7	(训读)斜斜地挺着：～起肚子
挽	uõ3	
捂	vu3	
捅	tʰʌŋ1	
捆	kʰuen3	
捉	tso2	
捎	ʂɔ1	
捏	ȵiai7	
捕	bu5	
撈	lɔ1	从外到内横向归置：～火
撈	lɔ7	从下到上纵向打捞：～鱼
損	sen3	
換	ɦõ5	
搗	tɔ3	
捧	pʰʌŋ3	
捩	liai5	偏移；背离：～开
据	tɕi5	
捷	tɕiai7	
捺	nɑ2	(文)
捺	nɑ7	(白)
捼	nʉ2	揉搓：～索
掀	ɕĩ1	
掂	tiɛ̃1	
掇	dʉ2	(白)～落来
掇	to7	(文)～下
授	ʐɯ5	
掉	tiɔ5	
掌	tʂõ3	
掏	tʰɔ1	
掐	tɕʰiɑ7	
排	pʰai2	(文)～场
排	bai2	(白)一个～
掘	tʂɔ2	挖～
掠	ȵio7	
探	tʰã1	侦～；～索
接	tɕiai7	(文)嫁～]折[(文)(2)磨～]揭[(文)～發
控	kʰʌŋ5	
推	tʰei1	
掩	ŋã3	
掩	iɛ̃3	
措	tsʰʉ5	
措	tsʰo5	
掰	pai1	
擄	lu3	～起行矣
撣	tã3	(文)(1)～一子
撣	tʰã3	(文)(2)鸡毛～
揉	ʐɯ2	
揍	tsɯ5	
描	miɔ2	
提	di2	
插	tsʰɑ7	
揖	i7	作～]乙一[(文)]益[(白)有～
握	o7	
揢	kʰɑ1	(两手)夹住：～脖子]客[(白)来～]旮[～～：角落
揣	tʂʰuai1	
揩	kʰai1	擦：～干净
揪	tɕiɯ2	～倒渠
援	iɛ̃2	
攬	lã3	
擱	kʰʉ5	(白)～东西
摟	lɯ1	(白)～起
摟	lɯ3	(文)～抱
攪	ɡɔ2	(白)～下：搅动
搊	tsʰɯ1	给予向上或支撑的着力点：～起来
搒	pʰõ3	触碰：～倒
搓	tsʰʉ1	
搜	sɯ1	
搞	kɔ3	
搣	mĩ1	掰，折
搧	sɑ7	(训读)～耳光
搪	dõ2	衬垫；遮挡：拿块布～倒
搬	pã1	
搭	tɑ1	(白)～起
搭	tɑ7	(文)～车]答褡[～裢]瘩[疙～
搲	uɑ3	(从器皿等深部)舀
搳	hɑ7	搔人腋下
携	ɕiai7	
搽	dzɑ2	
攝	ɕiai7	
摆	pai3	
摇	iɯ2	
攤	tʰã1	
摔	ʂuai1	
摛	tsʰɿ1	伸]差[参～]侈[奢～
摞	lʉ5	
摩	mʉ1	
摸	mʉ1	
撇	pʰiai3	折：～包谷
撇	pʰiai7	～捺
撑	tsʰen1	(文)支～
撑	tsʰen5	(白)勉力支撑；维持：～子
撒	sɑ3	
撕	sɿ1	
撚	ȵĩ7	踩住或按住用力地搓
撞	dzõ1	(白)(1)～车
撞	tʂʰõ3	(文)～倒：遇见
撩	liɔ2	
撬	tʂʰɯ5	
播	po1	
撮	tsʉ1	一～米
撮	tsʰo7	～箕]拙[(文)笨～]绰[宽～
撰	tʂuã5	～写]篆传[～记]钻[电～
撰	tʂuen5	
攆	ȵiɛ̃3	～出去
撼	ɦã5	
擀	kã3	～面
操	tsʰɔ1	
操	tsʰɔ5	曹～]糙[粗～]造肏肇[～蛋：调皮捣蛋
擒	tɕʰin2	
擓	kuai2	斜着；挺着：～起肚子
擤	ɕin3	～鼻难
擤	kʰʌŋ3	(训读)～鼻难
擦	tsʰei1	
擦	tsʰɑ7	(文)(2)～黑：黄昏时分
擩	ʐu1	(文)塞：～进去
擩	ʐu7	(白)搅拌：～沙
攀	pʰã1	
支	tʂʅ1	
收	ʂɯ1	
改	kai3	
攻	kʌŋ1	
放	hõ5	
政	tʂen5	
故	ku5	
救	tʂɯ5	
教	tʂɔ5	～室]较照[(文)光～湖：地名]兆召[号～
教	kɔ5	(白)～书]酵[(白)～水]窖滘[稀泥烂～
敞	tʂʰõ3	
敢	kã3	
散	sã3	～架
散	sã5	分～，分發：～粑粑
敨	tʰɯ3	平整；周正；清楚：抻～
敬	tʂen5	(白)
敬	tɕin5	(文)
數	su3	动词
敲	kʰɔ1	(白)～门
敲	tɕʰiɔ1	(文)推～
整	tʂen3	
敷	hu1	
文	uen2	
文	dʐen5	
斋	tsai1	
斑	pã1	
斗	tɯ3	量器
料	liɯ5	(白)马～]尥[马～蹶]六[(白)～年级
料	liɔ5	(2)材～
斛	ɦu2	石～]壶浮狐[～狸]葫[～芦
斟	tʂen1	
斢	tʰiɯ3	交换：～东西
斤	tʂen1	(白)～两
斤	tɕin1	(文)～～计较
斥	tsʰɿ2	
斧	hu3	
斬	tsã3	
斷	dõ3	挖～
斷	tõ5	～输赢
斯	sɿ1	
新	ɕin1	
方	hõ1	
施	ʂʅ1	姓
旁	bõ2	
旅	li3	
族	tsu7	(文)
族	tsʰu7	(白)
旗	dʐʅ2	
无	vu2	
旦	dã5	
舊	dʐɯ5	
早	tsɔ3	(文)起～
早	tsʰɔ3	(白)～生家：早上
旬	ɕin2	
旱	ɦã5	
時	ʐʅ2	(文)～间
時	ʐʅ7	(白)平班～辈]衣[(白)(1)单说]日[(文)～曆
曠	kʰõ5	～工
昂	uõ2	
昆	kʰuei1	(1)
昆	kʰuen1	(2)
昌	tʂʰõ1	
明	mã2	(白)(1)～日
明	miõ2	(白)(2)～毋～
昏	huen1	
昔	ɕi7	
星	ɕiõ1	(白)～子：星星
星	ɕin1	(文)～宿
映	in5	
春	tʂʰuen1	
昨	tsʰɑ5	(白)(2)～日
昨	tsʰã5	(白)～日
是	dzɿ3	
晝	tsɯ5	
顯	ʂã3	(文)(2)～考
顯	ɕiɛ̃3	(文)～示
晃	hõ5	～动
晉	tɕin5	
晌	ʂɔ3	～午
晏	ŋã5	晚
曬	sai5	
曉	ʂɯ3	
晚	uã3	(文)～朝阳
晚	uõ3	(白)～秋
晦	huei5	
晨	sen1	(文)早～(只有变调音)
晨	ʐen2	(白)(1)清～]八早人[(文)～手]仁神[(白)～仙
普	pʰu3	
景	tɕin3	
晴	dʑin2	(2)～朗
晶	tɕin1	
暫	tsã3	(白)(2)箇～：现在，目前]盏[灯～]展攒[～劲
暫	dzã3	(白)(1)箇～
暫	dzã5	(文)～时
暇	ʐɑ5	
暇	ʂɑ7	
暑	ʂu3	
暖	nõ3	
暗	ŋã5	
暮	mu5	
暴	pɔ5	
曆	li7	(白)农～
曝	pɔ5	～光
曱	bʌŋ3	～甴：地名
曲	tsʰu2	～折，歌～
更	ken1	～换，半夜三～
更	ken5	～加
曹	tsʰɔ2	
曾	tsen1	姓
曾	tsʰen2	～经
替	tʰi5	
最	tsei5	
月	i5	(白)(2)～亮
月	iai7	(文)～琴
有	iɯ3	
朋	bʌŋ2	
朔	sʉ5	
朗	lõ3	
朝	dʐɯ2	(白)～倒我讲]侨桥[(白)大～]荞[(白)种～
朝	tʂʰɔ2	(文)～代
木	mʌŋ1	(白)～坨坨
木	mu7	(文)树～
未	uei5	
本	pen3	
札	tsɑ7	
朮	su7	白～：药名
术	su1	(白)手～
术	su7	(文)(1)技～
朱	tʂu1	
朴	bu2	
朵	tʉ3	(白)～嘎田：地名
朵	to5	耳～
朵	to7	一～花
朽	ɕiɯ3	
殺	sei1	(白)～鸡
雜	tsɑ7	
權	tɕʰiɛ̃2	(文)政～
杈	tsʰɑ1	
杉	sɑ1	
李	li7	
杏	ɕin5	
杖	dʐõ5	
杜	du5	
杞	tɕi7	枸～]集辑急级及吸[(白)呼～]疾吉橘[(文)
束	su7	
杠	ɡõ5	植物茎秆：禾～
條	diɯ2	(白)(1)一～河
條	tʰiɔ2	(文)～件
條	diɔ7	(白)(2)油～
來	lai2	
楊	iõ2	
杯	pei1	
杰	tɕiai7	
杳	iɔ2	
松	sʌŋ1	
板	pã3	
極	tɕi7	
構	kiɯ5	
枇	bi2	
枉	uõ3	
析	ɕi7	
枕	tʂen3	～脑：枕头；动词
林	lin2	
枚	mei2	
果	kʉ3	(白)水～
果	ko3	(文)苹～
枝	tʂʅ1	
棗	tsɔ3	
槍	tɕʰiõ1	
楓	hʌŋ1	
枯	kʰu1	
枸	kiɯ3	～杞
柄	pin3	
柏	pʰɑ5	(白)～杨
某	mu3	
柑	kã1	酸～]尴[～尬]干[(文)～脆；～涉
染	ȵĩ3	(白)～布
染	ʐuen3	(文)蜡～]忍[(白)]纫[缝～
柔	ʐɯ2	
櫃	dʐu5	(白)专指旧式柜子
櫃	ɡuei5	(文)衣～
查	dzɑ2	
柩	tɕiɯ1	
柱	dʐu3	(白)檐～
柱	dʐu5	(文)研～：杵
柳	liɯ3	
柿	dzɿ5	(白)～花：柿子
梔	tʂʅ1	黄～槎：黄栀子]只[～有]痴[～呆
標	piɔ1	(文)～准
棧	tsã5	
棟	tʌŋ5	
樹	ʐu5	
栓	ʂuã1	脑血～
栗	liɑ5	(白)～树：青杠树
栗	li7	(文)板～]律[(白)纪～]率力[(白)劳～
株	tʂu1	
樣	iõ5	
核	hei5	～桃
根	ken1	
格	kai2	(文)够～]嘎[叽～：拟声词，扁担晃悠的声音]蛤[癞～宝
格	kai7	(白)～子
栽	tsai1	
桂	kuei5	
桃	dɔ7	(白)～子
桅	uei2	
框	kʰõ1	
案	ŋã5	
桉	ŋã1	
桌	tsʉ1	
桍	kʰuɑ7	树枝：树～～
桐	dʌŋ7	(白)～子树
桑	sõ1	
桓	ɦuã2	齐～公]丸[～子]还[～原
椏	ŋɑ1	
橈	iɔ2	～片：棹，桨
檔	tõ3	～案
樺	ɦuɑ2	～树]猾[狡～]滑[(白)(2)～头
檜	kʰuai5	
槳	tɕiõ3	
桶	tʰʌŋ3	
梁	liõ2	
梅	mei2	
梓	tsɿ3	～木树
梢	ʂɔ1	
夢	mʌŋ5	
梧	vu2	
梨	li2	(文)毛刺～]离篱璃厘粒[(文)颗～]律[(文)规～
梭	sʉ1	～子]唆[(白)啰～]趖[疾走
梭	so1	(文)～罗树
梯	tʰi1	(文)楼～
梯	tʰei1	(白)楼～
械	kai5	
梳	su1	
棉	mĩ2	
棋	dʐʅ2	
棍	kuen5	
棒	kã3	
棕	tsʌŋ1	
棘	tɕi7	
棚	bʌŋ7	
森	sen1	
棱	len2	(白)～起
棱	lin2	(文)～角
棵	kʰo1	
棹	tsɔ5	
植	tʂʅ7	
橢	tʰo3	～圆
椰	iai1	～子
椽	dʐuen2	(1)～皮]船[(1)]纯[(白)(2)～度
椽	ʐuen2	(2)～皮]船[(2)]纯[(白)(1)酒～
椿	tʂʰuen1	～芽
楂	tsɑ1	(文)山～]渣折[(白)～断]摘[(白)～重点
楂	tʂɑ5	(白)～梨鼓：山楂]嫁[(文)陪～]驾架[(文)衣～
楚	tsʰu3	
楝	lĩ5	苦～树
楷	kʰai3	
樓	lɯ2	
概	kʰai5	
欖	lɑ3	橄～子]喇[唢～]邋[～遢
榆	i2	
榛	tsen1	
榜	põ3	
榨	tsɑ5	
榫	ɕin3	～头]省[反～]醒[(文)清～
榴	liɯ3	
槌	dʐu7	毛～：洗衣锤
槎	dzɑ3	小树枝；扫
槐	ɦuai2	
槽	dzɔ2	
樃	lõ2	
模	mʌŋ2	～子
橫	hen2	(文)～竖：指笔画
橫	ɦuen2	(白)～路；蛮～
櫻	uõ1	(白)～桃
櫻	ŋen1	(文)～桃
樵	tɕiɔ1	
橄	kɑ3	～榄子
橘	tɕiɯ7	(白)(2)
橙	tʂʰen2	夏～
橡	ɕiõ5	
櫓	lu3	
檗	po7	～刀：菜刀
檁	lin3	
欠	tɕʰĩ5	(白)]歉[～收]劝[(文)～解
次	tsʰɿ5	
歡	hõ1	
欣	ɕin1	
歐	ŋɯ1	
欲	i5	
欺	tʂʰʅ1	(白)莫～渠
欺	tɕʰi1	(文)～骗]期切[(白)～菜]截[(白)(2)～断
款	kʰõ3	
歇	ɕi1	
歉	tɕʰiɛ̃5	(文)道～
歌	kʉ1	
歌	ko1	(文)
止	tsɿ3	
正	tʂõ1	～月]张章樟彰姜[(白)老～]豇[～豆
正	tʂen5	
此	tsʰɿ3	
步	bu3	(白)～跨河：地名
步	bu5	(文)大～
武	vu3	
歪	uai1	
歷	li2	(文)～史]曆[(文)日～]沥[～青
歷	li7	(白)经～
歹	tai3	
死	sɿ3	
殲	tɕʰiɛ̃1	
殃	iõ1	
殉	ɕin2	
殊	su1	
殖	tʂʅ7	
殯	pin1	～仪馆
毆	ŋɯ3	
段	dõ5	
殷	in1	
毁	huei3	
母	mu3	
每	mei3	
毒	tu7	
比	pi3	
斃	bi5	枪～]被[(文)～迫]避庇[包～
毛	mɔ2	(文)羽～
毛	mɔ7	(白)～豆腐：豆腐乳
毡	tɕĩ1	
毫	ɦɔ2	
毯	tʰã3	
氏	ʂʅ5	
氓	mõ2	
气	tʂʰʅ5	(白)臭～]汽[(白)～水]泣直[(白)耿～
水	ʂu3	(白)热～
水	ʂuei3	(文)～平
永	iʌŋ3	
汁	tʂʅ7	
求	tʂʰɯ2	(文)要～
求	dʐɯ2	(白)～人
汇	ɦuei5	
漢	hã5	
汗	ɦã5	(文)～马功劳
汗	ɦõ5	(1)出～
汞	kʌŋ3	
江	tɕiõ1	
池	tsʰɿ2	(文)～塘]慈[(文)～悲]磁词迟[(文)～到
池	dzɿ2	(白)～子]瓷糍慈[(白)～姑]迟[(白)来～
污	vu1	
湯	tʰõ1	
汪	uõ1	
汽	tɕʰi5	(文)～车]绝[(白)～尾巴：断子绝孙]戚[(白)亲～
沃	o7	
沈	sen3	
沉	dʐen7	(白)～底
沓	tʰɑ3	重叠作後缀：懒～～
沕	mi5	～水
沙	sɑ1	
溝	kiɯ1	
沒	mei1	～得
滬	ɦu5	
河	ɦʉ2	
油	iɯ2	
沼	tʂɔ1	～气
沾	tsã1	
泄	ɕiɑ5	(白)～漏
泉	tɕʰiɛ̃2	
泊	pai7	梁山～]北柏[(文)松～]伯[(白)父亲
泌	mi2	
法	huɑ7	
泛	ɦuã5	
泡	pʰɔ1	灯～，～打粉]㯱[膨大状：～眉肿眼]藨[莓类野果
泡	pʰɔ5	
波	pʉ1	(白)～浪]菠[(白)～菜]剥[(白)～皮
波	po1	(文)电～]菠[(文)～萝]玻[～璃
泥	ȵi2	(文)水～]倪[姓]宜[(白)便～：方便
泥	nei2	
注	dʐu5	
泰	tʰai5	
泳	iʌŋ3	
瀉	ɕiɑ5	
潑	pʰʉ1	(白)～水
潑	pʰo7	(文)～辣
潔	tɕiai7	
洋	iõ2	
洒	sɑ3	
洗	sei3	
洛	lo5	
洞	dʌŋ5	
津	tɕin1	
洪	ɦʌŋ2	
洲	tʂɯ1	
活	hʉ5	(白)死～
洼	uɑ5	
洽	tʂʰɑ7	
派	pʰai5	
流	n̩1	(白)长～]日[(白)～头]毋[去～去
流	liɯ2	(2)～水]刘留硫[～磺]琉[～璃
淺	tɕʰĩ3	(白)水～
淺	tɕʰiɛ̃3	(文)～色
澆	tɕiɔ1	
濁	tsʉ7	
渾	ɦuen2	
濃	nʌŋ2	(文)～妆
濃	ȵiʌŋ2	(白)～透心：非常粘稠
浦	pʰu3	
浩	ɦɔ5	
浪	lõ5	
浴	iɯ7	
海	hai3	
浸	tɕin5	
消	ɕiɯ1	(白)～化]硝[芒～]修羞休屑枵[门～：门闩
消	ɕiɔ1	(文)～耗
涉	ɕiai7	
涌	iʌŋ3	
涕	tʰi5	
濤	tʰɔ1	
澇	lɔ2	
滌	ti7	
漲	tiõ3	(文)～大水
澀	sei1	
涮	sɑ7	
涯	iɑ2	
液	i2	
淀	diɛ̃5	
淈	ɡu3	液体向上翻腾的声音
淋	lin2	
淌	tʰõ3	～眼泪
淑	ʂu7	
淘	dɔ2	
淡	dã3	
淫	in2	
淮	ɦuai2	
深	ʂen1	
混	ɦuen5	
添	tʰĩ1	(白)～人丁
添	tʰiɛ̃1	(文)～加
清	tɕʰiõ1	(白)～亮]青[(白)～布]檾[～麻：苘麻
淵	iɛ̃1	
漸	tɕiɛ̃5	
漁	i2	
渠	tɕʰi2	
渠	ɡi3	(4)第三人称代词
渠	i3	(1)第三人称代词]语与雨[(文)～衣]宇禹羽蚁倚椅已以个[(1)结构助词：我～
渠	ɡei3	(2)第三人称代词
渠	ŋei3	(3)第三人称代词]个[(3)结构助词]诶[叹词，表应答
渠	ei3	(4)第三人称代词
渡	du5	
溫	uen1	
港	kõ3	
渳	min3	用唇吮吸：～一口酒
游	iɯ2	
渺	miɔ3	
湘	ɕiõ1	
灣	uõ1	
溼	ʂʅ1	(白)打～
溼	ʂʅ7	(文)潮～]十[(文)]什[～么
潰	kʰuei5	～烂
濺	tɕĩ5	
溉	kʰai5	
源	iɛ̃2	
溜	liɯ1	
溜	liɯ5	麻～：麻利
溢	i2	
溯	sʉ5	
滂	pʰõ2	～沱
滇	tiɛ̃1	
滋	tsɿ1	
滑	uei5	(白)(1)路～
滑	huɑ7	(文)(1)光～
滔	tʰɔ1	
滗	pi5	～米汤
滾	kuen3	
滿	mã3	(文)～意
滿	mõ3	(白)水～
濾	li5	
濫	lã5	
灘	tʰã1	
滴	ti1	(白)(2)箇～：这些
滴	tiɑ5	(白)(1)一～水
漂	pʰiɯ1	白～鱼
漂	pʰiɯ5	～白粉
漂	pʰiɔ5	～亮
漆	tɕʰi1	(白)～木
漏	lɯ5	
演	iɛ̃3	
漕	dzɔ2	
漥	uɑ5	山～
漫	mã5	
瀟	ɕiɔ1	
潘	pʰã1	
潛	tɕʰiɛ̃2	
潭	dã2	
潮	tʂʰɔ2	
潲	sɔ5	～水
澄	dʐen2	～清]承[(白)(2)～受]呈程[(白)工～
澡	tsɔ3	
澳	ŋɔ5	
激	tɕi7	
濽	tsã5	溅：～水
瀑	bu2	～布
灌	kõ5	
火	hʉ3	
滅	miai7	
燈	ten1	
灰	huei1	
竈	tsɔ5	
灸	tɕiɯ1	针～
災	tsai1	
燦	tsʰã5	
爐	lu2	
炊	tsʰei1	
炎	ĩ1	(白)]阉腌蔫[～pai44①pai44①]烟[(1)抽～
炎	iɛ̃1	(文)～症]淹[(文)～没]冤烟[(文)
炒	tsʰɔ3	
炕	kʰõ5	
炙	tʂɑ1	(白)～火
炙	tʂʅ5	(文)～热
