#漢字	音標	解釋
吔	jɛ13	
吖	ɔ1	
君	kʷan1	
吝	lan6	
吞	tʰan1	
吟	ŋam4	白讀
吟	ȵam4	文讀
吠	fi6	
吡	ɓi2	
否	fau2	
否	pʰi2	否極泰來
吧	pʰɔ12	
吩	fan1	
含	ɔm4	
吭	ɔŋ4	
吱	tʃi1	
吲	jan5	
吳	ŋ̍4	
吵	tʃʰɔu3	
吶	nɔp10	
吸	tʃap7	
吸	kʰap7	異讀
吹	tʃʰui1	
吻	man5	
吼	hau2	
吾	ŋ̍4	
呀	jɔ13	驚異聲
呀	ja13	徵求意見聲
呂	ly5	
呃	ŋak7	
呆	ɗɔi1	
呈	tʃeŋ4	
告	kəu3	
呋	fu1	
呢	nɛ12	句尾疑問語氣助詞，與普通話同
呢	ni4	～絨
呤	leŋ4	
呦	jau1	
呦	jɔu1	
周	tʃau1	
呱	kœ1	
呲	ɗi3	
味	mi6	
呵	ho11	
呶	nɔu4	暄囂，熱鬧
呷	hɔp8	
呻	ʃan1	
呼	ho1	口語。嗚呼（jer1 her1）：死
呼	wu1	
命	meŋ6	
呿	wɛ2	小孩吐奶
咀	ɗui2	
咂	ʃɔp8	
咄	ɗœt8	大聲講話
咆	pɔu4	
和	wo4	
咎	kau3	
咐	fu3	
咒	tʃau3	
咕	ku4	
咖	kɔ1	～哩
咖	kʰɔ1	～啡
咚	ɗoŋ11	
咣	kʷɔŋ1	
咤	tʃɔ3	
咦	ji13	
咧	lɛ5	
咧	lɛ1	
咩	mɛ2	
咪	mi1	
咫	tʃi2	
咬	ȵɔu5	
咭	kʰɛt8	笑聲
咯	kok7	
咱	ȵan1	
咳	kʰat7	
咸	ɔm4	
咻	jau1	
咼	wɔi1	同「歪」
咼	wɔ1	
咼	wɔ2	斜垂
咽	jin3	
咿	ji1	
哀	ɔi1	
品	pʰan2	
哂	tʃan2	
哄	hoŋ3	～騙
哄	oŋ6	～小孩
哇	wa4	
哈	hɔp8	
哈	hɔ1	擬笑聲
哉	ɗɔi1	
哌	pʰɔi3	
哎	ai4	
哐	kʷʰaŋ1	
哚	ɗœ2	
哞	mu4	
員	jyn4	
哢	loŋ6	
哥	ko1	
哦	ɔ6	
哧	tʃʰek7	
哨	ʃɔu3	
哩	li11	
哪	lu6	訓讀
哪	nɔ6	
哭	hok7	
哮	hɔu1	
哲	tʃit7	
哳	tʃɔt8	
哺	pu6	
哼	hŋ̍3	
哽	kɔŋ2	
哿	ko2	
唄	pɔi6	佛教經文中的贊偈，爲梵語 pāthaka(唄匿)音譯之略。
唆	ʃœ1	
唉	ai4	
唏	hi1	
唐	tɔŋ4	
唑	tœ5	
唔	m̩6	
唚	tʰam3	
唣	təu5	
唧	ɗek7	假借的讀音，木器搖磨之聲
唪	foŋ2	
唬	hɔ1	欺
售	ʃau4	
唯	wai4	
唰	ʃœ4	
唱	tʃʰa3	
唳	lai6	
唷	jɔ13	
唸	nim6	
唼	ʃɔp8	
唾	tʰœ3	
啁	tʃiu1	
啃	kʰaŋ2	
啄	ɗɔk8	
商	ʃa1	
啉	lam4	
啊	a11	不滿聲
啊	a3	頓悟聲，失望聲
啊	a6	憶起聲
啊	a13	詢問聲
問	man6	
啐	tʃyt7	
啒	wut7	
啓	hi2	
啓	kʰai2	白讀
啕	təu4	
啖	tɔm6	
啘	œk9	同「噦」
啜	tʃyt7	
啞	ɔt8	
啟	hi2	文讀
啟	kʰai2	白讀
啡	fi1	
啤	ɓɛ1	
啦	la1	
啪	pʰa2	
啵	pɔ12	
啵	pʰɔ12	
啶	teŋ6	
啷	lɔŋ1	
啻	tʃʰi3	
啼	tai4	
啾	tʃʰiu1	
喀	kʰa2	
喁	ȵoŋ4	
喂	wɛ6	語助
喃	nɔm1	
善	ʃin6	
善	ʃin5	老讀音
喇	lɔ2	
喈	kɔi1	
喉	au4	
喊	hɔm3	
喋	tɛp10	
喏	nɛ13	
喑	am1	
喔	ak7	
喔	ŋok7	
喘	tʃʰyn2	
喙	wai3	
喚	wun6	
喜	hi2	
喝	hɔt8	
喟	kʷʰai3	
喧	jyn1	
喪	ɬɔŋ1	奔～，～事
喪	ɬɔŋ3	～失
喫	hek7	
喬	kiu4	
單	ɗɔn1	
單	ʃim4	姓；～于：古匈奴首領
喱	li1	
喲	ja6	
喳	tʃɔ1	
喵	mɛu11	
喹	kʷai4	
喻	jy6	
嗄	ʃɔ3	
嗅	ȵu3	動詞
嗅	tʃau3	名詞
嗆	tʰa3	
嗇	ɬat7	見《玉林市志》
嗉	ɬu3	
嗌	ek7	
嗍	ʃɔk8	
嗎	mɔ2	
嗑	hɔp8	
嗒	tʰɔp8	
嗓	ɬɔŋ1	
嗔	tʃʰan1	
嗖	tʃiu3	
嗚	wu1	
嗚	jo1	～呼：死
嗚	wu4	
嗜	ʃi6	
嗝	ka2	
嗟	tʃɛ1	
嗡	oŋ1	
嗣	ti6	
嗤	tʃʰi1	
嗥	əu4	
嗦	ɬo1	
嗨	hai3	
嗩	ɬœ2	
嗪	tan4	
嗯	ŋ̍4	應聲
嗯	ŋ̍6	應聲
嗯	ŋ̍2	沉思聲
嗯	ŋ̍11	驚愕不滿聲
嗲	ɗɛ2	詐～
嗵	tʰoŋ1	
嗶	ɓek7	
嗷	ŋəu4	
嗽	ɬau3	
嗾	ɬau2	
嗾	ǁʷ7	使狗聲
嘀	ɗi1	
嘁	tʰek7	
嘆	tʰɔn3	
嘈	tʃɔu4	
嘉	kɔ1	
嘌	pʰiu1	
嘍	lau4	
嘎	kap9	擬鴨叫
嘏	kɔ2	
嘔	au2	
嘖	ǀ7	
嘗	ʃa4	
嘛	ma5	
嘜	mak7	
嘞	lo6	
嘟	ɗy1	
嘣	paŋ1	
嘧	mat9	
嘩	wɔ4	
嘬	ȵɔi3	
嘭	paŋ4	
嘮	ləu1	
嘯	ɬiu3	
嘰	ki1	
嘲	tʃɔu1	
嘴	ɗui2	
嘵	hiu1	
嘶	ɬai1	
嘸	mɔ1	喃～
嘹	liu4	
嘻	hi1	
嘿	mak9	通「默」
嘿	hei3	
噁	ɔk8	
噅	kʷʰai1	
噌	tʃʰaŋ1	
噍	tʃiu6	
噎	jit7	
噓	hy1	
噔	ɗaŋ1	
噗	pʰu1	
噘	kɛt10	
噙	tʃam4	
噝	ʃi1	
噠	tat9	
噠	ɗət7	
噢	wu4	
噤	kam3	
噤	tʃam3	
噥	nɔŋ4	
噦	œk9	
器	hi3	
噩	ŋɔk10	呆
噪	tʰəu3	
