#漢字	音標	解釋
瓔	eŋ1	
瓚	ɗɔn3	
瓜	kʷɔ1	
瓞	tɛt10	
瓠	wu6	
瓢	piu5	
瓣	pɔn6	
瓤	nɔŋ1	白讀
瓤	nɔŋ4	
瓦	ŋɔ5	白讀
瓦	wɔ5	文讀
瓮	oŋ3	
瓴	leŋ4	
瓶	peŋ4	
瓷	ti4	
瓿	pʰau2	
甄	tʃan1	
甌	au1	古民族名，現存於鬱林地名中
甍	maŋ4	
甑	ɗaŋ1	
甓	pek9	
甕	oŋ3	
甘	kɔm1	
甙	tɔi6	
甚	ʃam6	
甜	tim4	
生	ʃeŋ1	白讀：～蛋、～羊癲
生	ʃa1	
產	ʃɔn2	
甥	ʃa1	
甦	ɬu1	
用	joŋ6	
甩	ʃɔi1	
甫	pʰu2	
甬	ȵoŋ2	
甯	neŋ6	
田	tin4	
由	jau4	
甲	kɔp8	
申	ʃan1	
男	nɔm4	
甸	tin6	
町	tʰeŋ1	
甾	tʃɔi1	
畀	ɓi2	
畈	fɔn3	
畋	tin4	
界	kɔi3	
畎	jyn2	
畏	wai3	
畔	pun5	
留	lau4	
畚	ɓɔn2	
畛	tʃan2	
畜	tʃʰok7	
畝	mu2	
畝	mau5	
畢	ɓat7	
略	la6	
畦	kʷai4	
番	fɔn1	西洋的：～薯、～茄
番	pʰun1	「～禺」在廣東
畫	wɔ6	文讀
畫	wɔt10	白讀
異	ji6	
當	ɗɔŋ1	
當	ɗɔŋ3	
畸	ki1	
畹	jyn2	
畿	ki1	
疃	tʰyn2	
疆	kʰa1	
疇	tʃau4	
疊	tɛp10	
疋	ʃu1	腳
疋	pʰat7	同「匹」
疋	ȵɔ5	同「雅」
疏	ʃo1	
疑	ȵi4	
疒	nek9	
疚	tʃau3	
疝	ʃɔn3	
疣	jau4	
疤	ɓɔ1	
疥	kɔi3	
疫	wek9	
疰	tʃy3	
疱	pʰɔu3	
疲	pi4	
疴	o1	
疵	tʰi1	
疸	tʰɔn2	
疹	tʃʰan2	
疼	taŋ4	1959年資料讀陽去
疾	tat9	
疿	fi3	
痂	kɔ1	
痃	jin4	
痄	tʃɔ3	
病	peŋ6	
症	tʃeŋ3	
痊	tyn4	
痍	ji4	
痕	an4	
痘	tau6	
痛	tʰoŋ3	
痠	ɬyn1	
痢	li6	
痣	tʃi3	
痤	tœ4	
痧	ʃɔ1	
痰	tɔm4	
痱	pi4	
痲	mɔ4	
痴	tʃʰi1	
痺	ɓi3	
痼	kʰu3	
痾	o1	
痿	wai2	
瘀	jy1	
瘂	ɔt8	同「啞」
瘃	tʃok7	
瘊	au4	
瘋	foŋ1	
瘌	lɔt8	
瘍	ja4	
瘓	wun6	
瘕	hɔ1	痰；㾤～：咳嗽；掹～：哮喘
瘖	am2	
瘙	ɬəu3	
瘛	tʃʰai3	
瘠	tek9	
瘡	tʃʰɔŋ1	
瘢	ɓun1	
瘤	lau5	見《玉林話研究》
瘥	tʃʰɔi3	
瘥	to4	
瘦	ʃau3	
瘧	ȵa6	
瘭	pʰiu1	
瘰	lœ5	
瘳	tʃʰɔu1	
瘵	tʃɔi3	
瘸	kʷɛ4	
瘻	lau6	
瘼	mɔk10	
癀	wɔŋ4	
療	liu4	
癃	loŋ4	
癆	ləu3	骨～
癆	ləu4	肺～
癇	ɔn4	
癉	ɗɔn3	由勞累造成的病；憎恨
癉	ɗɔn1	溼熱病
癉	ɗɔn2	同「疸」
癌	ȵɔm4	
癍	ɓɔn1	
癒	jy6	
癔	ek7	
癖	pʰek7	
癘	lai6	
癜	ɗin3	
癟	mɛt8	訓讀
癢	ja5	
癤	ɗit7	
癥	tʃeŋ3	
癧	lek9	
癩	lɔi3	
癬	ɬin2	
癭	eŋ1	
癮	jan5	
癱	tʰɔn1	
癲	ɗin1	
癸	kʷai4	
癹	put7	用腳踏除水稻田雜草
登	ɗaŋ1	
發	fɔt8	
白	pa6	
百	ɓek7	異讀
百	ɓa2	
皂	təu5	
的	ɗek7	
皆	kɔi1	
皇	wɔŋ4	
皈	kʷai1	
皎	kiu2	
皓	əu5	
皖	wɔn5	
皙	ɬek7	
皚	ŋɔi4	
皤	po4	
皮	pi4	
皰	pʰɔu3	
皴	tʰyn1	
皸	kʷan1	
皺	tʃau3	文讀
皺	ȵau3	白讀
皿	meŋ5	
盂	jy4	
盃	ɓui1	
盆	pun4	
盈	eŋ4	文讀
盈	ŋeŋ4	白讀
益	ek7	
盍	ɔp10	
盎	ɔŋ3	
盒	ɔp10	
盔	wui1	
盔	kʷʰai1	近年來産生的新讀音
盛	ʃeŋ6	
盜	təu6	
盞	tʃɔn2	
盟	maŋ4	
盡	tan5	
監	kɔm1	～考
監	kɔm3	太～，～獄
盤	pun4	
盥	kun3	
盧	lu4	
盪	tɔŋ6	玩
盪	tɔŋ4	空～～
目	mok9	
盯	ɗeŋ1	
盱	hy1	
盲	ma4	
直	tʃek9	
直	tʃœk9	白讀
相	ɬa1	～當，～應
相	ɬa3	～貌
盹	tan6	
盼	pʰɔn3	
盾	tan6	
省	ɬeŋ2	反～
省	ʃa2	廣東～、節～、～親
眄	min5	
眇	miu5	
眈	ɗɔm1	
眉	mi4	
看	hɔn1	～管
看	hɔn3	～見
眙	ji4	盱～
眙	tʃʰi3	直視
眚	ʃa2	
真	tʃan1	
眠	min4	
眢	jyn1	
眥	ti6	
眦	ti6	
眨	jɔp10	訓讀
眨	tʃɔp8	
眩	jyn6	
眭	kʷai4	
眭	ɬui1	姓
眵	tʃʰi1	眼～屎
眶	kʷʰɔŋ1	
眷	kyn3	
眸	mau4	
眺	tʰiu3	
眼	ȵɔn5	
眾	tʃoŋ3	
着	tʃa6	～重，～火
着	tʃa2	衣～
睃	ɗan3	
睇	tʰai2	
睏	han3	
睚	ŋɔi4	
睛	ɗeŋ1	
睜	tʃa1	
睞	lɔi6	
睡	ʃɔi6	又讀
睡	ʃui6	
睢	ɬui1	水名；地名；姓
睢	wai1	
督	ɗok7	
睥	pʰai3	
睦	mok9	
睨	ŋai6	
睫	tɛp10	
睬	tʰɔi2	
睹	ɗu2	
睽	kʷai4	
睾	kəu1	
睿	jui6	
瞀	mau6	
瞄	miu4	
瞇	mai3	
瞋	tʃʰan1	
瞌	hɔp8	打～浪
瞍	ɬau2	
瞎	ɔt8	
瞑	meŋ4	
瞘	kʰau1	
瞞	mun1	
瞟	pʰiu2	
瞠	tʃʰa1	
瞢	moŋ4	
瞥	pʰit7	
瞧	ɗiu1	
瞪	ɗaŋ1	
瞬	ʃan3	
瞭	lɛu3	～望
瞰	hɔm3	
瞵	lan4	
瞻	tʃim1	
瞼	kim2	
瞽	ku2	
瞿	ky6	
矇	moŋ4	
矍	ka2	
矗	tʃʰok7	
矚	tʃok7	
矛	mɔu4	
矛	mau4	又讀
矜	keŋ1	
矜	kan4	矛柄
矢	ʃi2	
矣	ji5	
知	tʃi1	
矧	ʃan2	
矩	ky2	
矬	tœ4	
短	ɗyn2	
矮	ɔi2	
矯	kiu2	
石	ʃek9	
矸	kɔn1	
矽	tek9	
礬	fɔn4	
砂	ʃɔ1	
砉	wa2	
砌	tʰai3	
砍	hɔm2	
砑	ȵɔ6	
砒	pʰai1	
研	nin1	文讀：科～
研	ŋɔn4	白讀：～米（研磨米）
研	ȵin4	白讀：～究
砘	tan6	
砝	fɔt8	
砟	tɔk10	塊狀物
砟	tʃɔ6	碑石
砣	tœ4	
砥	ɗai2	
砦	ʃɔi6	
砩	fat9	～石：又作「氟石」，即螢石
砩	fi3	以石遏水；堤壩
砬	lap9	
砭	ɓin1	
砰	paŋ4	
砲	pʰɔu3	
破	pʰo3	
砷	ʃan1	
砸	tɔt10	
砹	ŋɔi6	
砼	toŋ4	
硃	tʃy1	
硅	kʷai1	
硇	nɔu4	
硌	lɔk10	
硌	kɔk8	
硎	eŋ4	
硐	toŋ6	
硒	ɬai1	
硓	ləu5	
硝	ɬiu1	
硤	ɔp10	
硨	tʃʰɛ1	
硪	ŋo4	
硪	ŋo5	砐～：高大貌
硫	lau4	
硬	ŋaŋ6	副詞。一定，必定，註定
硬	ŋa6	軟～
硬	ȵa6	～是：總是；～～：硬生生地，強行
硭	mɔŋ4	
硯	ȵim6	
硼	paŋ4	
碇	ɗeŋ3	
碌	lok9	
碎	ɬui3	
碑	ɓi1	
碓	ɗui3	
碗	wun2	
碘	ɗim2	
碚	pui5	
碟	tɛp10	
碡	tʃok9	
碣	kɛt10	
碣	ɔt8	～磍：猛獸盛怒貌
碥	ɓin2	
碧	ɓek7	
碩	ʃek9	
碭	tɔŋ6	
碰	pʰoŋ3	
碲	ɗai3	
碳	tʰɔn3	
碸	foŋ1	
確	kʰɔk8	
碼	mɔ5	
碾	lin2	
磁	ti4	
磅	pɔŋ6	
磉	ɬɔŋ2	
磋	tʰœ3	
磔	tʃa2	
磕	kʰat8	
磚	tʃyn1	
磣	tʃʰam2	
磧	tʰek7	
磨	mo4	動詞
磨	mo6	名詞
磬	heŋ3	
磯	ki1	
磲	ky4	
磴	ɗaŋ3	
磷	lan4	
磺	wɔŋ4	
磽	hɔu1	
礁	ɗiu1	
礅	ɗyn1	門～：廳門兩側用於支撐門軸的方型石塊
礎	tʃʰu2	
礓	kʰa1	
礙	ŋɔi6	
礞	moŋ4	
礤	tʰɔt8	
礦	kʷʰɔŋ3	
礪	lai6	
礫	lek7	
礱	loŋ4	
礴	pɔk10	
示	ʃi6	
礻	ʃi6	
社	ʃɛ5	
祀	ti5	
祂	tʰɔ1	
祆	jin1	
祇	ki4	
祈	ki4	
祉	tʃi2	
祐	jau6	
祓	fat7	
祕	ɓi3	
祖	ɗu2	
祗	tʃi1	
祚	tʃɔ6	
祛	kʰy1	
祜	wu5	
祝	tʃok7	
神	ʃan4	
祟	ɬui3	
祠	ti4	
祥	ta4	
祧	tʰiu1	
票	pʰiu3	
祭	ɗai3	
祺	ki4	
祿	lok9	
禁	kam3	異讀
禁	kʰam1	耐用
禁	tʃam3	
禊	ai6	
禍	wo5	
禎	tʃeŋ1	
福	fok7	
禚	tʃa2	
禤	jyn1	
禦	ȵy6	
禧	hi1	
禪	ʃim4	
禮	lai5	
禰	mi5	
禰	mi4	姓
禱	ɗəu2	
禳	ȵa4	
禹	jy5	
禺	ȵy4	
禽	tʃam4	
禽	kam4	異讀
禾	wo4	
禿	tʰok7	
秀	ɬau3	
私	ɬi1	
秉	ɓeŋ2	
秋	tʰau1	
科	wo1	
秒	miu5	
秕	ɓi2	
秘	ɓi3	
租	ɗu1	
秣	mɔt10	
秤	tʃʰeŋ3	够～
秤	tʃʰeŋ1	～量
秤	tʃʰœŋ3	又讀
秤	tʃʰœŋ1	又讀
秦	tan4	
秧	ja1	
秩	tʃat9	
秩	tɛt10	
秫	ʃat9	
秭	ɗi2	
移	ji4	
稀	hi1	
稂	lɔŋ4	
稃	fu1	
稅	ʃui3	
稈	kɔn2	
程	tʃeŋ4	
稍	ʃɔu2	
稔	ȵam5	
稗	pɔi6	
稚	tʃi5	
稜	leŋ4	
稞	wo1	
稟	ɓan2	
稠	tʃau4	
種	tʃoŋ2	名詞
種	tʃoŋ3	動詞
稱	tʃʰeŋ1	名詞
稱	tʃʰeŋ3	動詞
稱	tʃʰœŋ1	白讀，動詞
稱	tʃʰœŋ3	白讀，名詞
稷	ɗek7	
稹	tʃan2	
稻	təu6	
稼	kɔ3	
稽	kʰai1	
稿	kəu2	
穀	kok7	
穆	mok9	
穌	ɬu1	
積	ɗek7	
穎	weŋ5	
穗	jui6	
穡	ʃek7	
穢	wai3	
穩	wan2	
穫	wɔk10	
穭	ly5	
穰	ȵa4	
穴	jœt10	
究	kau3	異讀
究	tʃau3	
穸	tek9	
穹	koŋ4	
空	hoŋ1	天～，～曠
空	hoŋ3	～白，～格
穿	tʃʰyn1	
窀	tʃyn1	
突	tat9	
窄	tʃɔ3	
窆	ɓin3	
窇	pak9	「屎～」「灰～」都指茅坑
窈	jiu2	
窒	tʃat9	
窒	tʃat7	白讀。塞入
窕	tʰiu2	
窖	kəu3	
窗	tʃʰɔŋ1	
窘	kʷan5	
窟	kʷʰat7	
窠	wo1	
窣	tʃʰyt7	
窨	jam3	
窩	wo1	
窪	wɔ1	
窬	jy4	
窮	koŋ4	
窯	jiu4	
窳	jy5	
窶	ky5	
窶	lau4	甌～
窸	ɬat7	
窺	kʷʰai1	
窿	loŋ1	普通話有「窟窿」一詞，指洞。鬱林話有[lung¹]表示孔洞，但其本字是「竉」，盖「窿」係俗字，此处記「竉」之音。
竄	tʃʰyn3	
竅	kʰɛu3	
竇	ɗau3	白讀：雞～、狗～
竇	tau6	情～；姓
竈	ɗəu3	
竊	tʰip7	
立	lap9	
站	tʃɔm6	
竟	keŋ2	
章	tʃa1	
竣	ɗan3	
童	toŋ4	
竦	ɬoŋ2	
竭	kɛt10	
端	ɗyn1	
競	keŋ6	
竹	tʃok7	
竺	tʃok7	
竿	kɔn1	
笆	ɓɔ1	
笊	tʃɔu3	
笑	ɬiu3	
笙	ʃa1	
笛	tek9	
笠	lap9	
符	fu4	
笨	pan6	
第	tai6	
笮	tʃɔu3	
筆	ɓat7	
等	ɗaŋ2	
筋	tʃan1	
筍	ɬan2	
筏	fɔt10	
筐	kʷʰɔŋ1	
筑	tʃok7	貴陽市簡稱；樂器
筒	toŋ4	竹～
筒	tʰoŋ2	腳～骨
答	ɗɔp8	
策	tʃʰa2	
筴	tʃʰak7	
筵	jin5	
筷	wɔi2	
箋	ɗin1	
箍	kʰu1	
箏	tʃa1	
箔	pɔk10	
箕	ki1	
算	ɬyn3	
管	kun2	
箬	ȵa6	
箭	ɗin3	
箱	ɬa1	
箸	tʃy3	
節	ɗit7	
範	fɔm3	規～、模～、師～
篇	pʰin1	
築	tʃʰok7	
篋	kɛp10	
篙	kəu1	
篛	ȵa6	
篝	kau1	
篡	tʰyn3	
篤	ɗok7	
篦	pi6	
篩	ʃai1	
篷	poŋ4	～被
篾	mɛt10	
簇	tok9	見《玉林市志》
簍	ləu2	
簑	ɬœ1	
簟	tim5	
簡	kɔn2	
簧	wɔŋ4	
簫	ɬiu1	
簷	jim4	
簸	ɓo3	
簻	kʰœ1	量詞，表示一成塊的物体
簽	tʰim1	
簾	lim4	
簿	pu5	字～
籃	lɔm4	
籌	tʃau4	
籍	tek9	
籐	taŋ4	
籟	lɔi6	
籠	loŋ4	
籤	tʰim1	
籬	li4	
籮	lo4	
籲	jy6	
米	mai5	～飯
米	mai1	長度單位，公尺
籼	ɬin1	
籽	ɗi2	
粄	ɓɔn2	
粉	fan2	
粑	ɓɔ1	
粒	nap7	
粒	nɛp7	又讀，突出「少」，以其小穪調nem13常見。
粕	pʰɔk8	
粗	tʰu1	
粘	nim1	
粞	ɬai1	
粟	ɬok7	
粢	ɗi1	
粥	tʃok7	
粱	la4	
粲	tʰɔn3	
粳	ka1	
粵	jœt10	
粹	ɬui3	
粼	lan4	
糉	ɗoŋ3	
精	ɗeŋ1	
粿	kʷo2	
糅	nau6	
糇	au4	
糈	ɬy2	
糊	wu4	
糌	ɗɔm1	
糍	ti4	
糕	kəu1	
糖	tɔŋ4	
糗	tʃʰau2	
糙	tʰəu3	
糜	mi4	
糝	ɬɔm2	撒
糞	fan3	
糟	ɗəu1	
糧	la4	
糨	ka6	
糬	tʃo6	
糯	nœ6	
糰	tyn4	
糲	lai6	
糴	tek9	
糶	tʰiu3	
糸	mek9	
糹	mek9	
系	ai6	
糾	tʃau2	
紀	ki2	
紂	tʃau5	
約	ja2	
紅	oŋ4	
紆	jy1	
紇	at9	
紇	kʷat7	
紈	jyn4	
紉	ȵan5	見《玉林話研究》
紊	man6	
紋	man4	
納	nɔp10	
紐	nau5	
紓	ʃy1	
純	ʃan4	
紕	pʰi1	
紗	ʃɔ1	
紙	tʃi2	
級	kʰap7	異讀
級	tʃap7	
紛	fan1	
紜	wan4	
素	ɬu3	
紡	fɔŋ2	
索	ɬɔk8	
紫	ɗi2	
紮	tʃɔt8	
累	lui5	積～，連～
累	lui3	勞～
累	nui3	訓讀，表示「疲乏」，與壯語 naiq 同源。
細	ɬai3	
紱	fat7	
紲	ɬit7	
紳	ʃan1	
紹	ʃiu6	
紺	kɔm3	
紼	fat7	
紿	tɔi5	
絀	tʃat7	
終	tʃoŋ1	
絃	jin4	
組	tʃu2	
絆	pun5	
絎	a6	
結	kit7	
絕	tœt10	
絛	tʰəu1	
絝	wu3	
絞	kɔu2	
絞	kɛu2	白讀
絡	lɔk8	跘倒
絡	lɔk10	屐～：原指木屐，現泛指拖鞋
絢	jyn3	
給	tʃap7	
絨	joŋ4	
絮	ɬy3	
統	tʰoŋ2	
絲	ɬi1	
絳	kaŋ3	
絹	kyn3	
綁	ɓaŋ2	白讀
綁	ɓɔŋ2	文讀
綃	ɬiu1	
綆	ka2	
綈	tai4	
綏	ɬui2	
綑	kʷʰan2	
經	keŋ1	
綜	ɗoŋ1	
綞	ɗœ2	
綠	lok9	
綢	tʃau4	
綣	kʰyn2	
綦	ki4	
綬	ʃau6	
維	jui4	舊音
維	wai4	
綮	kʰai2	
綮	heŋ3	肯～
綰	wɔn5	
綱	kɔŋ1	
網	mɔŋ5	
網	mɔŋ1	蜘蛛網
綴	tʃui3	縫合；連接；著作；装飾
綴	tʃyt7	拘束；牽制
綵	tʰɔi2	
綸	lan4	垂～
綸	kʷɔn1	～巾
綹	lau5	
綺	kʰi2	
綻	tʃin3	
綽	tʃʰɔk8	
綾	leŋ4	
綿	min4	
緄	kʷan2	
緇	ɗi1	
緊	kan2	
緋	fi1	
緖	tʃy5	
緔	ʃa6	
緗	ɬa1	
緘	kɔm1	
緙	kʰa2	
線	ɬin3	
緝	tʰap7	
緞	tyn6	
締	ɗai3	
緡	man4	
緣	jyn4	
緦	ɬi1	
編	pʰin1	
緩	wun5	見《玉林市志》
緩	wun6	見1959年資料及《玉林话研究》
緬	min5	
緯	wai2	
緱	kau1	
緲	miu5	
練	lin6	
緶	pin4	用針縫合
緶	pin5	同「辮」
緹	tai4	
緻	tʃi6	
縈	weŋ4	
縉	ɗan3	
縊	ai3	
縋	tʃui6	
縎	kʷat7	
縎	kʷʰat7	
縐	ɗau3	
縑	kim1	
縛	fɔk10	
縝	tʃan2	
縞	kɔu2	
縟	ȵok9	
縣	jyn6	
縫	foŋ4	動詞
縫	foŋ6	名詞，見《玉林市志》
縭	li4	
縮	ʃok7	
縱	ɗoŋ1	白讀。見1959年資料
縱	ɗoŋ3	文讀。見1959年資料
縱	ɗoŋ2	又讀。見《玉林市志》。《康》又足勇切，音褷。
縱	ɬoŋ2	放～，見《玉林话研究》
縲	lui4	
縴	jin1	
縵	mɔn6	
縶	tʃap7	
縷	ly5	
縹	pʰiu1	
縻	mi4	
總	ɗoŋ2	
績	ɗek7	
繁	fɔn4	
繃	ɓa3	
繅	ɬəu1	
繆	mau4	綢～
繆	mau6	～誤
繇	jiu4	
繈	kʰa2	
繒	taŋ4	
織	tʃek7	
織	tʃœk7	
繕	ʃin5	
繚	lɛu2	
繞	ȵiu2	
繡	ɬau3	
繢	wui6	
繨	lat7	
繩	ʃeŋ4	
繩	ʃœŋ4	白讀
繪	wai6	
繫	ŋai6	異讀
繫	ai6	
繭	kɔn2	
繮	kʰa1	
繯	wɔn4	
繰	ɗəu2	
繳	kiu2	
繹	ek9	
繼	kai3	又讀
繼	ki3	
繽	ɓan1	
繾	jin2	
纈	kɛt10	
纊	kʷʰɔŋ3	
續	tok9	
纍	lui4	碩果～～
纏	tʃin4	動詞
纏	tʃin1	形容詞。（人）難纏；（毛髮）纏繞在一起難以理順：～頭髻。
纏	tʃin6	白讀，動詞
纓	eŋ1	
纖	ɬim1	
纘	ɗyn2	
纛	təu6	
纜	lɔm6	
缶	fau2	
缸	kɔŋ1	
缺	jyt7	白讀
缺	kʰyt7	
缽	ɓut7	
罄	heŋ3	
罅	lœ3	
罈	tɔm4	
罌	a1	
罐	kun3	
罒	mɔŋ5	
罔	mɔŋ5	
罕	hɔn2	
罘	fau4	
罟	ku2	
罡	kɔŋ1	
罨	ap7	掩實、蓋實
罩	tʃɔu3	
罪	tui5	
置	tʃi3	
罰	fɔt10	
罱	lɔm5	
署	ʃy2	
罵	mɔ6	
罷	pɔ6	
罷	po6	～了（相當於普通話的「還不如……算了」），口語用。
罹	li4	
罾	ɗaŋ1	蝦～：捕蝦網
羅	lo4	
羆	ɓi1	
羈	ki1	
羊	ja4	
羋	mi5	
羌	ka1	
美	mi5	
羔	kəu1	
羚	leŋ4	
羝	ɗai1	
羞	ɬau1	
羣	kʷan4	
羣	kʷan4	
羥	ha2	
羧	ɬœ1	
羨	tʰim2	
義	ȵi6	
羯	kʰit7	
羰	tʰa2	
羲	hi1	
羸	lui4	
羹	ka1	淺勺
羼	tʃʰɔŋ3	
羽	jy5	
羿	ŋai6	
翁	oŋ1	
翅	tʃʰi3	
翊	ek9	
翌	ji3	
翎	leŋ4	
習	tap9	
翔	ta4	
翕	jap7	
翠	tʰui3	
翡	fi1	見《玉林话研究》
翥	tʃy3	
翦	ɗin2	
翩	pʰin1	
翮	a6	
翰	ɔn6	
翱	ŋəu4	
翳	ai3	
翹	hɛu1	
翹	kʰiu1	銀～：中藥
翻	fɔn1	
翻	fɛn1	白讀，翻找
翼	ek9	
翼	œk9	白讀
耀	jiu6	
老	ləu5	
考	hɔu2	
耄	məu6	
者	tʃɛ2	
耆	ki4	
耋	tɛt10	
而	ȵi4	
耍	ʃɔ2	
耐	nɔi6	
耒	lui6	
耔	ɗi2	
耕	ka1	
耖	tʃʰɔu3	
耗	həu3	
耘	wan4	
耙	pɔ4	
耜	ti5	
耠	ɔp10	
耥	tʰɔŋ3	
耦	ŋau5	
耨	nau6	
耩	kaŋ2	
耪	pʰɔŋ1	
耬	lau4	
耮	ləu6	
耳	ȵi5	
耵	ɗeŋ1	
耶	jɛ4	
耷	ɗap7	
耽	ɗɔm1	
耿	kaŋ2	
聃	ɗɔm1	
聆	leŋ4	
聊	liu4	
聒	kut7	
聖	ʃeŋ3	
聘	pʰeŋ3	
聚	ty5	
聞	man4	
聯	lim4	
聰	tʰoŋ1	
聱	ȵɔu4	
聲	ʃeŋ1	
聳	ɬoŋ2	
聵	kʷɔi3	
聶	nɛp10	
職	tʃek7	
聹	neŋ4	
聽	tʰeŋ3	
聾	loŋ4	
聿	jat9	
肀	jat9	
肅	ɬok7	
肆	ɬi3	
肇	ʃiu6	
肉	ȵok9	
肋	lak9	
肌	ki1	
肏	tʃʰɔk8	
肓	wɔŋ1	
肖	ɬiu1	
肘	tʃau5	
肚	tu5	
肛	kɔŋ1	
肜	joŋ4	
肜	tʃʰam1	船行貌
肝	kɔn1	
肟	wɔk8	
股	ku2	
肢	tʃi1	
肥	fi4	
肨	pʰaŋ3	～穀：不飽滿的穀粒
肩	kin1	
肪	fɔŋ1	
肫	tʃan1	此處是「胗」的讀音
肭	nat7	肥
肭	nok9	同「衄」
肯	haŋ2	
肱	kʷɔŋ1	
育	jok7	
肴	ȵɔu4	
肺	fi3	
肼	ɗeŋ2	
肽	tʰɔi3	
胂	ʃan1	
胃	wai6	
胄	tʃau6	
背	ɓui3	名詞
背	pui6	動詞
胍	kʷɔ1	
胎	tʰɔi1	
胖	pun5	
胗	tʃan5	
胙	tʃɔ6	
胚	pʰui1	
胛	kɔp8	
胝	ɗai2	
胞	ɓɔu1	
胡	wu4	
胤	jan6	
胥	ɬy1	
胩	kʰɔ1	
胬	nu5	
胭	jin1	
胰	ji4	
胱	kʷɔŋ1	
胲	hɔi2	有機化合物
胲	kɔi1	大腳趾的毛
胳	kɔk8	
胴	toŋ6	
胸	hoŋ1	
胺	ɔn3	
胼	pin4	
能	naŋ4	
脂	tʃi1	
脅	jip7	
脆	tʰui3	
脈	ma6	
脊	ɗek7	
脎	ʃɔt8	
脒	mai5	
脖	pɔt10	
脘	kun2	
脛	kʰeŋ3	
脞	tʰœ2	
脣	ʃan4	
脩	ɬau1	
脫	tʰyt7	
脬	pʰɔu1	
脯	pʰu2	果～
脯	pu4	胸～
脲	nɛu6	
脹	tʃa3	
脾	pi4	～氣
脾	pʰi1	器官
腆	ɗim2	
腈	ɗeŋ1	
腋	ek9	
腌	jip7	
腎	ʃan5	
腐	fu6	
腑	fu2	
腓	fi4	
腔	kʰɔŋ1	
腕	wun2	
腖	ɗoŋ3	
腙	ɗoŋ1	
腚	teŋ6	
腠	tʰau3	
腡	lœ1	
腥	ɬeŋ1	
腦	nəu5	
腧	ʃy3	
腨	ɬyn2	～子肉：小腿肉
腩	nɔm5	
腫	tʃoŋ2	
腭	ŋɔk10	
腮	ɬɔi1	
腰	jiu1	
腱	kin6	
腳	tʃa2	
腴	jy4	
腸	tʃa4	
腹	fok7	
腺	ɬin3	
腿	tʰui2	
膀	pɔŋ4	～胱
膀	ɓɔŋ2	肩～
膁	jim2	
膂	ly5	
膃	wut7	
膈	ka2	
膊	ɓɔk8	
膏	kəu1	
膚	fu1	
膛	tɔŋ4	
膜	mɔk10	
膝	ɬat7	
膠	kɔu1	
膠	kɛu1	白讀。黏稠。
膣	tʃat9	
膦	lan6	
膨	pa4	
膩	nai6	
膪	tʃɔ3	
膺	eŋ1	
膻	ʃin1	
膽	ɗɔm2	
膾	kʷʰai3	
膿	noŋ1	
臀	tan4	
臁	lim4	
臂	ɓi3	
臉	lim5	
臊	ɬəu1	
臌	ku2	
臍	tai4	
臏	pan5	
臒	wɔk8	
臘	lɔp10	
臚	lœ4	白讀：肚～
臚	ly4	皮膚；陳列；流傳
臟	tɔŋ6	
臠	lyn5	
臣	ʃan4	
臥	mo3	又讀
臥	mo6	
臧	ɗɔŋ1	
臨	lam4	
自	ti6	
臬	nɛp10	
臭	tʃʰau3	
至	tʃi3	
致	tʃi3	
臺	tɔi4	
臻	ɗan1	
臼	tʃau5	
臾	jy4	
舀	jiu5	
舁	jy4	
舂	tʃoŋ1	
舄	tʰa2	鳥
舄	ɬek7	鞋
舅	tʃau5	
與	jy5	
興	heŋ3	名詞
興	heŋ1	動詞
舉	ky2	
舊	tʃau6	
舊	kau5	白讀
舌	ʃɛt10	
舍	ʃɛ3	
舐	ʃai5	
舒	ʃy1	
舔	tʰim2	
舔	kɛm5	訓讀
舛	tʃʰyn2	
舜	ʃan3	
舞	fu5	
舞	mu5	又讀
舞	mu2	白讀。折騰
舟	tʃau1	
航	ɔŋ4	
般	ɓun1	
舵	to4	
船	ʃyn4	
舺	kɔp8	
艇	teŋ5	
艋	ma2	
艘	ɬau2	
艙	tʰɔŋ1	
艦	lɔm6	
艮	kan3	
良	la4	
艱	kɔn1	
色	ʃek7	
艴	fat7	
艸	tʰəu2	
艹	tʰəu2	
艽	kɔu1	秦～
艽	tʃau4	
艾	ŋɔi6	
艿	nɔi5	芋～
艿	ŋeŋ4	亂草，雜草
芄	jyn4	
芊	tʰin1	
芋	wu6	
芍	tʃa2	
芎	hoŋ1	
芏	tu6	
芑	hi2	
芒	mɔŋ4	另見「杧」：～果，一種熱帶水果。
芘	pi4	一種有機物；～芣
芘	ɓi3	通「庇」
芙	fu4	
芝	tʃi1	
芟	ʃɔm1	
芡	kim6	
芤	kʰau1	
芥	kɔi3	
芨	tʃap7	
芩	tʃam4	
芪	ki4	
芫	jyn4	
芫	jim4	俗
芬	fan1	
芭	ɓɔ1	
芮	ȵui6	
芰	ki6	
花	wɔ1	
芳	fɔŋ1	
芴	mat9	
芷	tʃi2	
芸	wan4	
芹	kan4	
芻	tʃʰu1	
芽	ȵɔ4	
芾	fat7	草木盛
芾	fi3	樹木枝幹、莖葉幼小的樣子
苄	pin6	
苉	pʰat7	
苊	a2	
苑	wun2	
苒	ȵim5	
苓	leŋ4	
苔	tɔi4	
苕	tiu4	
苗	miu1	
苘	kʷʰeŋ2	
苙	lap9	豬～，雞～
苛	kʰo1	
