#漢字	音標	解釋#('cmn_jh_hx_ch_ljn', '廬江南話', '廬江南', '#8B0000', None, None, '來源：《安徽廬江南部方言研究》，“空島。”整理', '55 1 1a 陰平 ꜀,53 2 1b 陽平 ꜁,213 3 2 上 ꜂,,44 5 3 去 ꜄,,5 7 4a 陰入 ꜆,3 8 4b 陽入 ꜇', None, None)
#簡稱	/	廬江南#與文件名一致
#全稱	/	廬江南話#xx話
#版本	/	#版本號或更新時間
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	55 1 1a 陰平 ꜀,53 2 1b 陽平 ꜁,213 3 2 上 ꜂,,44 5 3 去 ꜄,,5 7 4a 陰入 ꜆,3 8 4b 陽入 ꜇#每個聲調包括：五度調值 八聲 四聲 漢字調類 四角調類，調內用空格分隔，調間用逗號分開。如：55 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,214 3 2 上 ꜂,51 5 3 去 ꜄
#說明	/	來源：《安徽廬江南部方言研究》，“空島。”整理#HTML格式，僅允許一行，用<br>換行
扒	pʰa2	～手
打	ta3	
打	tɔ3	～导
扔	ʐən1	
托	tʰoʔ7	
扛	kʰã2	
扣	kʰəu5	
執	tsəʔ7	
擴	kʰoʔ7	
掃	sɔ3	
揚	iã2	
扭	niəu3	
扮	pɛ̃5	
扯	tsʰɪ3	
擾	ʐɔ3	
扳	pɛ̃1	
扶	fu2	
批	pʰi1	
批	pʰi2	
扼	ŋɪʔ7	
找	tsɔ3	
承	tsʰən2	
技	tɕi5	
抄	tsʰɔ1	
把	pa1	
把	pa3	
把	pa5	
抑	iəʔ7	
抓	ʈʂua1	
投	tʰəu2	
抖	təu3	
抗	kʰã5	
折	tsɪʔ7	～断
折	sɪʔ8	～本
撫	fu3	
抛	pʰɔ1	
摳	kʰəu1	
搶	tɕʰiã3	
護	xu5	
報	pɔ5	
抨	pʰən1	
披	pʰi1	
抬	tʰɛ2	
抱	pʰɔ2	
抱	pɔ5	
抵	ti3	
抹	mɛʔ7	
押	iɛʔ7	
抽	tsʰəu1	
抿	min3	
拂	fəʔ7	
拄	ʈʂʯ3	
擔	tɛ̃1	～任
擔	tɛ̃5	～子
拆	tsʰɪʔ7	
拇	mo3	
拈	niẽ1	
拉	na1	
拌	põ5	
拍	pʰɪʔ7	
拍	pʰoʔ7	
拎	nin1	
拐	kuɛ3	
拒	ʈʂʯ5	
拔	pɛʔ8	
拖	tʰo1	
拘	ʈʂʯ1	
拘	kəu1	
拙	ʈʂoʔ7	
拚	pʰõ1	
招	tsɔ1	
拜	pɛ5	
擬	ni3	
攏	nən3	
揀	kɛ̃3	挑选
揀	tɕiẽ3	拾
擁	ʯən3	
攔	nɛ̃2	
擇	tsʰɪʔ7	
括	kʰoʔ7	
拯	tsən3	
拱	kuən3	
拳	ʈʂʰʯɛ̃2	
拴	ʂuɛ̃1	
拷	kʰɔ3	
拼	pʰin1	
拽	ʈʂuɛ5	
拾	səʔ7	
拿	na2	
持	tsʰɿ2	
挂	kua5	
指	tsɿ3	～导
指	tsəʔ7	
按	ŋɛ̃5	
挎	kʰua3	
挎	kʰua5	
挑	tʰiɔ1	
挖	uɛʔ7	
挾	kɛʔ7	白
挾	tɕiɛʔ7	文
撓	nɔ2	
擋	tã3	
掙	tsən5	
擠	tɕi3	
揮	xuei1	
撏	tɕʰiẽ2	
挨	ŋɛ1	
挪	no2	
挫	tsʰo5	
振	tsən5	
挺	tʰin3	
挽	uɛ̃3	
捂	u3	
捅	tʰən3	
捆	kʰuən3	
捉	ʈʂoʔ7	
捎	sɔ1	
捏	niɪʔ7	
捐	ʈʂʯɛ̃1	
捕	pu3	
撈	nɔ1	
損	sən3	
換	xõ5	
搗	tɔ3	
捧	pʰən3	
据	ʈʂʯ5	
捶	ʈʂʰuei2	
捷	tɕiɪʔ7	
捺	nɛʔ7	
捻	niẽ3	
掀	ɕiẽ1	
掂	tiẽ1	
授	səu5	
掉	tiɔ5	
掌	tsã3	
掏	tʰɔ1	～东西
掏	tʰɔ2	～汤
掐	kʰɛʔ7	
排	pʰɛ2	
排	kiẽ3	白
掘	ŋən5	
掘	ʈʂʯɪʔ7	
掠	nioʔ7	
探	tʰɛ̃5	
接	tɕiɪʔ7	
控	kʰuən5	
推	tʰi1	白
推	tʰei1	文
掩	iẽ3	
措	tsʰo5	
掬	ʈʂʯəʔ7	
擲	tsəʔ7	
撣	tɛ̃3	
摻	tsʰɛ̃1	
揉	ʐəu2	
揍	tsəu5	
描	miɔ2	
提	tʰi2	
插	tsʰɛʔ7	
揖	iəʔ7	
握	uəʔ7	
握	uoʔ7	～手
揣	ʈʂʰuɛ1	
揩	kʰɛ1	
揪	tɕiəu1	
揭	tɕiɪʔ7	
援	ʯɛ̃2	
攬	nɛ̃3	
攙	tsʰɛ̃1	
擱	koʔ7	
摟	nəu3	
攪	kɔ3	白
攪	tɕiɔ3	文
搓	tsʰo1	
搜	səu1	
搞	kɔ3	
搪	tʰã2	
搬	põ1	
搭	tɛʔ7	
携	ɕiɪʔ7	
搽	tsʰa2	
攝	sɪʔ7	
摆	pɛ3	
摆	pʰɛ3	
摇	iɔ2	
攤	tʰɛ̃1	
摔	ʂuɛ1	
摘	tsɪʔ8	
摞	no1	
摧	tsʰei1	
摩	xuei1	
摩	mo2	
摸	mo1	
摹	mo2	
撂	niɔ5	
撇	pʰiɪʔ7	
撑	tsʰən1	
撒	sa3	
撒	sɛʔ7	～网
撕	sɿ1	
撞	ʈʂuã5	
撤	tsʰɪʔ7	
撩	niɔ1	
撬	tɕʰiɔ5	
播	po1	
撮	tsoʔ7	
撰	ʈʂʯɛ̃5	
攆	niẽ3	
撼	xɛ̃5	
擀	kɛ̃3	文
擂	ni1	白
擂	nei2	文
擅	sẽ1	
操	tsʰɔ1	
擒	tɕʰin2	
擻	səu3	
擦	tsʰɛʔ7	
攀	pʰɛ̃1	
攢	tsɛ̃3	
攘	nã3	
支	tsɿ1	
收	səu1	
改	kɛ3	
攻	kuən1	
放	fã5	
政	tsən5	
故	ku5	
效	ɕiɔ5	
敵	tiəʔ7	
敏	min3	
救	tɕiəu5	
教	tɕiɔ1	～书
教	tɕiɔ5	
斂	niẽ3	
敞	tsʰã3	
敢	kɛ̃3	文；勇～
敢	kiẽ3	白
散	sɛ̃3	
散	sɛ̃5	
敦	tən1	
敬	tɕin5	
數	səu3	
數	səu5	
敲	kʰɔ1	白
敲	tɕʰiɔ1	文
整	tsən3	
敷	fu1	
文	uən2	
斋	tsɛ1	
斌	pin1	
斑	pɛ̃1	
斗	təu3	量词
斗	təu5	
料	niɔ5	
斜	ɕiɪ2	
斟	tsən1	
斤	tɕin1	
斥	tsʰəʔ7	
斧	fu3	
斬	tsɛ̃3	
斷	tõ5	
斯	sɿ1	
新	ɕin1	
新	tsɔ5	
方	fã1	
施	sɿ1	
旁	pʰã2	
旅	ʯ3	
旋	ɕiẽ5	
族	tsʰəʔ7	
旗	tɕʰi2	
无	u2	
既	tɕi5	
日	ʐəʔ7	
旦	tɛ̃5	
舊	tɕiəu5	
旨	tsɿ3	
早	tsɔ3	
旬	ʂʯən2	
旱	xɛ̃5	
時	sɿ2	
曠	kʰuã5	
旺	uã5	
昂	ŋã2	
昆	kʰuən1	
昌	tsʰã1	
明	min1	
明	mən2	～年
昏	xuən1	
易	i5	
昔	ɕiəʔ7	
星	ɕin1	
映	in5	
春	ʈʂʰʯən1	
昧	mei5	
昨	tsoʔ8	
昭	tsɔ1	
是	sɿ5	
晝	tsəu5	
顯	ɕiẽ3	
晃	tsʰɔ2	
晃	xuã5	
晉	tɕin5	
晌	sã1	
晌	ɕiã3	
晏	ŋɛ̃5	
曬	sɛ5	
曉	ɕiɔ3	
暈	xuən1	白
暈	ʯən1	文
晚	uɛ̃3	
晦	xuei5	
晨	tsʰən2	
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	
晶	tɕin1	
智	tsɿ5	
暫	tsɛ̃5	
暇	ɕia2	
暑	ʈʂʰʯ3	白
暑	ʂʯ3	文
暖	nõ3	
暗	ŋɛ̃5	
暮	mo5	
暴	pɔ5	
曰	ʯɪʔ7	
曲	ʈʂʰʯəʔ7	
更	kən1	～换
更	kən5	
曹	tsʰɔ2	
曾	tsən1	姓
曾	tsʰən2	～经
替	tʰi5	
最	tsei5	
月	ʯɪʔ7	
有	iəu3	
朋	pʰən2	
服	fəʔ7	
服	fəʔ8	不～气
朗	nã3	
望	uã5	
朝	tsɔ1	～气
朝	tsʰɔ2	～代
期	tɕʰi1	
木	məʔ7	
未	uei5	
末	miɪʔ7	
本	pən3	
札	tsɛʔ7	
术	ʂʯəʔ7	
朱	ʈʂʯ1	
朴	pʰəʔ7	
朵	to3	
機	tɕi1	
朽	ɕiəu3	
殺	sɛʔ7	
雜	tsɛʔ7	复～
雜	tsɛʔ8	稻种～了
權	tsʰa1	
權	ʈʂʰʯɛ̃2	
權	tsʰa5	
杆	kɛ̃3	文
杆	kiẽ3	白
杉	sa1	
李	ni3	
杏	ɕin5	
材	tsʰɛ2	
村	tsʰən1	
杖	tsã5	
杜	təu5	
束	ʂʯəʔ7	
杠	kã5	
條	tʰiɔ2	
來	nɛ2	
楊	iã2	
楊	tã5	
杭	xã2	
杯	pei1	
杰	tɕiɪʔ7	
杳	iɔ3	
松	sən1	
板	pɛ̃3	
極	tɕiəʔ7	
構	kəu3	
構	kəu5	
枉	uã5	
析	ɕiəʔ7	
枕	tsən3	
林	nin2	
枚	mei2	
果	ko3	
枝	tsɿ1	
樅	tsən1	
樞	tɕiəu5	
棗	tsɔ3	
槍	tɕʰiã1	
楓	fən1	
枯	kʰu1	
枯	ku3	
枯	iəu5	
架	ka5	白
架	tɕia5	文
柄	pin3	
柏	pɪʔ7	
某	mo3	
柑	kɛ̃1	
染	ʯɛ̃3	
柔	ʐəu2	
櫃	kuei5	
柞	ʈʂʰʯ3	～子
查	tsa1	姓
查	tsʰa2	
柬	tɕiẽ3	
柯	kʰo1	
柱	ʈʂʯ5	
柳	niəu3	
柴	tsʰɛ2	
柿	tsɿ5	
標	piɔ1	
棧	tsɛ̃5	
棟	tən5	
欄	nɛ̃2	
樹	ʂʯ5	
栓	ʂuɛ̃1	
栖	tɕʰi1	
栗	niəʔ7	
校	tɕiɔ5	～对
校	ɕiɔ5	
株	ʈʂʯ1	
樣	iã5	
核	tsʰɿ2	
核	xɪʔ7	
根	kən1	
格	kɪʔ7	
栽	tsɛ1	
桂	kuei5	
桃	tʰɔ2	
桅	tsɿ1	
桅	uei2	
框	kʰuã1	
案	ŋɛ̃5	
桌	ʈʂoʔ7	
桐	tʰən2	
桑	sã1	
檔	tã1	
檔	tã5	
橋	tɕʰiɔ2	
樺	xua5	
檜	xuei5	
槳	tɕiã3	
樁	ʈʂuã1	
桶	tʰən3	
梁	niã2	
梅	mei2	
梆	pã1	
梓	tsɿ3	
梗	kiẽ3	白
梗	kən3	文
梢	sɔ1	
夢	mən5	
梧	u1	
梨	ni2	
梭	so1	
梯	tʰi1	
械	tɕiɛ3	
梳	səu1	
檢	tɕiẽ3	
棉	miɔ2	
棉	miẽ2	
棋	tɕʰi2	
棍	kuən5	
棒	pã3	
棒	pã5	
棕	tsən1	
棚	pʰən2	
棚	pa5	
棠	tʰã2	
森	sən1	
棵	kʰo1	
棺	kõ1	
椅	i3	
植	tsəʔ7	
椒	tɕiɔ1	
橢	tʰo3	
椽	ʈʂʰʯɛ̃2	
椿	ʈʂʰʯən1	
楚	tsʰəu3	
楞	ɕiɔ1	
楷	kʰɛ3	
樓	nəu2	
概	kɛ5	
概	kʰɛ5	
欖	nɛ̃3	
榆	ʯ2	
榜	pã3	
榨	tsa5	
榴	niəu2	
榷	kʰoʔ7	
榻	tʰɛʔ7	
槐	xuɛ2	
檻	kʰiẽ3	
檳	pin1	
槽	tsʰɔ2	
樟	tsã1	
模	mo2	
橫	xõ2	
橫	xuən2	文
櫻	in1	
橄	kɛ̃3	
橘	ʈʂʯəʔ7	
橙	tsʰən2	
櫥	ʈʂʰʯ2	
檀	tʰɛ̃2	
檐	iẽ2	
欠	tɕʰiẽ5	
次	tsʰɿ5	
歡	xõ1	
欣	ɕiẽ1	
欣	ɕin1	
歐	ŋəu1	
欲	ʯəʔ7	
欺	tɕʰi1	
款	kʰõ3	
歇	ɕiɪʔ7	
歉	tɕʰiẽ5	
歌	ko1	
止	tsɿ3	
正	tsən1	～月
正	tsən5	改～
此	tsʰɿ3	
步	pu5	
武	u3	
歪	uɛ1	
歹	tɛ3	
死	sɿ3	
殲	tɕʰiẽ1	
殃	iã1	
殆	tɛ5	
殉	ʂʯən5	
殊	ʈʂʰʯ1	
殊	ʂʯ1	
殘	tsʰɛ̃2	
殮	niẽ5	
殖	tsəʔ7	
殯	pin5	
毆	ŋəu1	
段	tõ5	
殷	in1	
殿	tiẽ5	
毁	xuei3	
毅	i5	
母	mo3	
每	mei3	
毒	təʔ8	
比	pi3	
畢	piəʔ7	
毗	tsʰɿ1	
斃	pi5	文；枪～
斃	pʰi5	白；死～掉仔
毛	mɔ2	
毡	tsẽ1	
毫	xɔ2	
毯	tʰɛ̃3	
氏	sɿ5	
民	min1	
气	tɕʰi5	
水	ʂuei3	
永	ʯən3	
汀	tʰin1	
汁	tsəʔ7	
求	tɕʰiəu2	
汆	tsʰõ1	
汇	xuei5	
漢	xɛ̃5	
汝	ʯ3	
汞	kuən3	
江	tɕiã1	
池	tsʰɿ2	
污	u1	
湯	tʰã1	
汪	uã1	
汰	tʰɛ5	
汽	tɕʰi5	
汾	fən1	
沃	uəʔ7	
沈	sən3	
沉	tsʰən2	
沓	tɛʔ7	
沙	sa1	
沛	pʰei5	
溝	kəu1	
沒	məʔ7	
漚	ŋəu5	
瀝	niəʔ7	
淪	nən2	
滬	xu5	
沫	miɪʔ7	
沰	toʔ7	
河	xo2	
沸	fei5	
油	iəu2	
治	tsʰɿ2	～鱼
治	tsɿ5	统～
沼	tsɔ1	
沾	tsẽ1	
沿	iẽ2	
泄	ɕiɪʔ7	
泅	tɕʰiəu2	
泉	ʈʂʰʯɛ̃2	
泊	pɪʔ7	
法	fɛʔ7	
泛	fɛ̃5	
泡	pʰɔ5	～菜
波	po1	
泣	tɕʰiəʔ7	
泥	ni2	
注	ʈʂʯ5	
淚	nei5	
泯	min3	
泰	tʰɛ5	
泳	ʯən3	
瀉	ɕiɪ5	
潑	pʰoʔ7	
澤	tsʰɪʔ7	
潔	tɕiɪʔ7	
洋	iã2	
洒	sa3	
洗	ɕi3	
洛	noʔ7	
洞	tən5	
津	tɕin1	
洪	xuən2	
洲	tsəu1	
活	xoʔ8	
洼	ua5	
洽	tɕʰiɛʔ7	
派	pʰɛ5	
流	niəu2	
淺	tɕʰiẽ3	
漿	tɕiã1	
澆	tɕiɔ1	
濁	ʈʂʯəʔ7	
測	tsʰɪʔ7	
濟	tɕi5	
渾	xuən2	
滸	xu3	
濃	nən2	
浙	tsɪʔ7	
浦	pʰu3	
浩	xɔ5	
浪	nã5	
浮	fu2	
浴	ʯəʔ7	
海	xɛ3	
浸	tɕin5	
涂	tʰəu2	
消	ɕiɔ1	
消	sɔ5	
涉	sɪʔ7	
涌	ʯən3	
涓	ʈʂʯɛ̃1	
涕	tʰi2	
濤	tʰɔ1	
澇	nɔ5	
渦	uo1	
潤	ʯən5	
澗	tɕiẽ5	
漲	tsã3	
澀	səʔ7	
涮	ʂuɛ̃5	
涯	ia2	
液	iəʔ7	
涵	xɛ̃2	文
淋	nin2	
淌	tʰã3	
淑	ʂʯəʔ7	
淘	tʰɔ2	
淝	fei2	
淡	tɛ̃5	
淤	ʯ1	
淫	in2	
淬	tsʰei5	
淮	xuɛ2	
深	sən1	
混	xuən5	
淹	ŋɛ̃1	
添	tʰiẽ1	
清	tɕʰin1	
淵	ʯɛ̃1	
漸	tɕiẽ5	
漁	ʯ2	
滲	tsʰɛ̃3	
滲	sən5	
渠	ʈʂʰʯ2	
渡	təu5	
渣	tsa1	
溫	uən1	
渭	uei5	
港	kã3	
渴	kʰɪʔ7	
游	iəu2	
渺	miɔ3	
湖	xu2	
湘	ɕiã1	
灣	uɛ̃1	
溼	səʔ7	
潰	kʰuei5	
濺	tɕiẽ5	
溉	kɛ5	
源	ʯɛ̃2	
溜	niəu1	
溜	niəu5	
溪	tɕi1	白；地名：沙～
溪	ɕi1	文；～水
溶	ʯən2	
滇	sən5	
滋	tsɿ1	
滑	xuɛʔ8	
滓	tsɿ3	
滔	tʰɔ1	
滾	kuən3	
滯	tsʰɿ5	
滿	mõ3	
濾	ʯ5	
濫	nɛ̃5	
灘	tʰɛ̃1	
灘	tei5	文
滴	tiəʔ7	
漂	pʰiɔ3	～白粉
漂	pʰiɔ5	～亮
漆	tɕʰiəʔ7	
漏	nəu5	
演	xuã2	
演	iẽ3	
漫	mõ5	
漱	səu5	
潘	pʰõ1	
潛	tɕʰiẽ3	
潦	niɔ3	～草
潮	tsʰɔ2	
澄	tsʰən2	
澡	tsɔ3	
激	tɕiəʔ7	
瀑	pʰəʔ7	
灌	kõ5	
火	xo3	
滅	miɪʔ7	
燈	tən1	
灰	xuei1	
靈	nin2	
竈	tsɔ5	
灸	tɕiəu3	
災	tsɛ1	
燦	tsʰɛ̃5	
爐	nəu2	
炊	ʈʂʰuei1	
炎	iẽ2	
炒	tsʰɔ3	
炕	kʰã5	
炖	tən5	
炙	tsəʔ7	
炭	tʰɛ̃5	
炮	pʰɔ5	
炳	pin3	
炸	tsa5	
炸	tsɛʔ8	～油条
點	tiẽ3	
炼	niẽ5	
爛	nɛ̃5	
烈	niɪʔ7	
烘	xuən1	
燭	ʈʂʯəʔ7	
烟	iẽ1	
烤	kʰɔ3	
煩	fɛ̃2	
燒	sɔ1	
燁	xua2	
燙	tʰã5	
熱	ʯɪʔ7	
烹	pʰən1	
烽	fən1	
焉	iẽ1	
焊	xɛ̃5	
煥	xõ5	
燜	mən5	
焙	pei5	
焚	fən2	
焦	tɕiɔ1	
焰	iẽ5	
然	ʐɛ̃2	
煌	xuã2	
煎	tɕiẽ1	
煤	mei2	
照	tsɔ5	
煮	tʰɔ1	
煮	ʈʂʯ3	
煽	sẽ1	
熄	ɕiəʔ7	
熊	ʂʯən2	
熔	ʯən2	
熙	ɕi1	
熟	ʂʯəʔ8	
熨	ʯən5	
熬	ŋɔ2	
燃	ʐɛ̃2	
燎	niɔ2	
燕	iẽ5	
燥	tɕʰiɔ1	
爆	pɔ5	
爪	ʈʂua3	
爬	səu1	
爬	pʰa2	
愛	ŋɛ5	
爵	tɕioʔ7	
父	fu5	
爺	iɪ2	
爸	pa5	
爹	tiɪ1	
爽	ʂuã3	
片	pʰiẽ5	
版	pɛ̃3	
牌	pʰɛ2	
牙	ŋa2	～齿
牙	ia2	～膏
牛	niəu2	
牢	nɔ2	
牧	məʔ7	
物	uəʔ7	
牲	sən1	
牽	tɕʰiẽ1	
特	tʰəʔ7	
犧	ɕi1	
犀	ɕi1	
犁	ni2	
犬	ʈʂʰʯɛ̃3	
犯	fɛ̃5	
狀	ʈʂuã5	
猶	iəu2	
狂	kʰuã2	
狐	xu2	
狗	kəu3	
狠	xən3	
狡	tɕiɔ3	
獨	təʔ7	
狹	ɕiɛʔ7	
獅	sɿ1	
獄	ʯəʔ7	
狼	nã2	
獵	niɪʔ7	
猖	tsʰã1	
猛	mən3	
猜	tsʰɛ1	
猝	tsʰəʔ7	
豬	ʈʂʯ1	
貓	mɔ1	
猬	uei5	
獻	ɕiẽ5	
猴	xəu2	
猾	xuɛʔ7	
獺	nɛ3	
獺	tʰɛʔ7	
玄	ʂʯɛ̃2	
率	ʂuɛ5	
率	niəʔ7	效～
玉	ʯ5	
王	uã2	
瑪	ma3	
玩	uɛ̃2	
玫	mei2	
環	xuɛ̃2	
現	ɕiẽ5	
玲	nin2	
璽	ɕi3	
玻	po1	
珊	sɛ̃1	
珍	tsən1	
珠	ʈʂʯ1	
班	pɛ̃1	
球	tɕʰiəu2	
理	ni3	
琉	niəu2	
瑣	so3	
琢	ʈʂo1	
琳	nin2	
琴	tɕʰin2	
琵	pʰi2	
琶	pa1	
瓊	ʈʂʰʯən2	
瑕	ɕia2	
瑞	ʐuei5	
瑟	sɪʔ7	
瑰	kuei5	
璃	ni2	
璧	piəʔ7	
瓜	kua1	
瓠	xu5	
瓢	pʰiɔ2	
瓣	pɛ̃5	
瓤	nã2	
瓦	ua3	
瓮	uən1	
瓶	pʰin2	
瓷	tsʰɿ2	
甘	kɛ̃1	
甚	sən5	
甜	tʰiẽ2	
生	sən1	
甥	sən1	
用	ʯən5	
甩	ʂuɛ3	
甫	pʰu3	
田	tʰiẽ2	
由	iəu2	
甲	tɕiɛʔ7	
申	sən1	
電	tiẽ5	
男	nɛ̃2	
畫	xua5	
暢	tsʰã5	
界	tɕiɛ5	
畏	uei5	
留	niəu2	
畜	ʈʂʰʯəʔ7	
畜	ʂʯəʔ7	～牧业
略	nioʔ7	
畦	tɕʰi2	
番	fɛ̃1	
疆	tɕiã1	
疏	səu1	
疑	i2	
療	niɔ2	
疙	kəʔ7	
瘍	iã2	
疤	pa1	
疥	nɔ2	
疥	tɕiɛ5	
疫	ʯəʔ7	
瘡	ʈʂʰuã1	
瘋	fən1	
疲	pʰi2	
疹	tsən3	
疼	sa1	
疼	tʰən2	
疾	tɕiəʔ7	
病	pin5	
症	tsən5	
痒	iã3	
痔	tsɿ5	
痕	xən2	
痛	tʰən5	
痞	pʰi3	
痢	ni5	
痣	tsɿ5	
瘓	xõ5	
痰	tʰɛ̃2	
癡	tsʰɿ1	
癡	tɕia1	
痹	pʰi2	
瘟	uən1	
瘤	niəu2	
瘤	ku5	
瘦	səu5	
癱	tʰɛ̃1	
瘴	tsã5	
瘸	pʰia3	
癮	in3	
癌	ŋɛ2	
癬	ɕiẽ3	
癲	tiẽ1	
癲	nɛ5	
癸	kʰuei3	
登	tən1	
登	tən5	
白	pɪʔ8	
百	pɪʔ7	
皂	tsɔ5	
的	tiəʔ7	
皆	tɕiɛ1	
皇	xuã2	
皖	uõ3	
皮	pʰi2	
皺	tsəu5	
皿	min3	
盂	ʯ2	
盅	ʈʂʯən1	
盆	pʰən2	
盈	in2	
益	iəʔ7	
盞	tsɛ̃3	
鹽	iẽ2	
監	tɕiẽ1	～视
監	tɕiẽ5	太～
盒	xoʔ8	
盔	kʰuei1	
盖	kɛ5	
盜	tɔ5	
盤	pʰõ2	
盛	tsʰən2	～饭
盛	sən5	兴～
目	məʔ7	
盯	tin1	
盲	mã2	
直	tsəʔ8	
相	ɕiã1	互～
相	ɕiã5	～貌
盼	pʰɛ̃5	
盾	tən5	
省	sən3	
省	ɕin3	反～
眉	mei2	
看	kʰiẽ1	
看	kʰiẽ5	
真	tsən1	
眠	miẽ2	
眨	tsɛʔ7	
眩	ɕiẽ5	
眯	mi1	
眶	kʰuã1	
眷	ʈʂʯɛ̃5	
眼	ŋɛ̃3	
着	ʈʂoʔ7	
睜	tsən1	
睛	tɕin1	
睡	ʂuei5	
督	təʔ7	
睬	tsʰɛ3	
瞄	miɔ2	
瞅	tsʰəu3	
瞎	xɛʔ7	
瞒	mõ2	
瞟	pʰiɔ3	
瞧	tɕʰiɔ2	
瞪	tən5	
瞳	tʰən2	
瞻	tsɛ̃1	
瞿	ʈʂʰʯ2	
矛	mɔ2	
矢	sɿ3	
矣	i3	
知	tsɿ1	
矩	ʈʂʯ3	
短	tõ3	
矮	ŋɛ3	
石	səʔ8	
礬	fɛ̃2	
礦	kʰuã5	
碼	ma3	
砂	sa1	
砌	tɕʰi5	
砍	kʰɛ̃3	
研	iẽ3	
磚	ʈʂʯɛ̃1	
硯	iẽ5	
砧	tsən1	
破	pʰo5	
砸	tsɛʔ7	
硅	kuei1	
硝	ɕiɔ1	
硫	niəu2	
硬	ŋən5	
確	tɕʰioʔ7	
碉	tiɔ1	
礙	ŋɛ5	
碎	ɕi5	白
碎	sei5	文
碑	pei1	
碗	uõ3	
碘	tiẽ3	
碟	tiɪʔ8	
碧	piəʔ7	
碰	pʰən5	
鹼	tɕiẽ3	
碳	tʰɛ̃5	
碴	tsʰa1	
碾	niẽ3	
磁	tən1	
磁	tsʰɿ2	
磅	kuən3	
磅	pã5	
磐	tɕʰin5	
磕	kʰɪʔ7	
磨	mo2	～刀
磨	mo5	石～
磷	nin2	
示	sɿ5	
禮	ni3	
社	sɪ5	
祀	sɿ5	
祀	tɕi5	
祁	tɕʰi2	
祈	tɕʰi3	
祖	tsəu3	
祝	ʈʂʯəʔ7	
神	sən2	
祟	sei5	
祠	tsʰɿ2	
祥	tɕʰiã2	
票	pʰiɔ5	
祭	tɕi5	
禱	tɔ3	
禍	xo5	
禁	tɕin5	
禄	nəʔ7	
禪	tsʰɛ̃2	
福	fəʔ7	
禹	ʯ3	
离	ni2	
禽	tɕʰin2	
禾	xo2	
秀	ɕiəu5	
禿	tʰəʔ7	
秆	kɛ̃3	文
秆	kiẽ3	白
秉	pin3	
秋	tɕʰiəu1	
種	ʈʂʯən3	
種	ʈʂʯən5	～菜
科	kʰo1	
秒	miɔ3	
秒	tsʰɔ5	
租	tsəu1	
秤	tsʰən5	
秦	tɕʰin2	
秧	iã1	
秩	tsʰəʔ7	
積	tɕiəʔ7	
稱	tsʰən1	～呼
稱	tsʰən5	
秸	kɛ1	
移	i2	
穢	xuei5	
稀	ɕi1	
程	tsʰən2	
稍	sɔ1	
稅	ʂuei5	
稗	pɛ5	
稚	tsɿ5	
稠	tsʰəu2	
穩	uən3	
稻	tɔ5	
稼	tɕia1	
稼	tɕia5	
稽	tɕi1	
稽	nəu3	
稿	kɔ3	
稿	kʰɔ5	
穆	məʔ7	
穗	tɕi5	白
穗	sei5	文
穴	ɕiɪʔ7	
究	tɕiəu5	
窮	ʈʂʰʯən2	
空	kʰuən1	
空	kʰuən5	～闲
穿	ʈʂʰʯɛ̃1	
突	tʰəʔ7	
窄	tsɪʔ7	
竅	tɕʰiɔ5	
窑	iɔ2	
窗	ʈʂʰuã1	
窘	ʈʂʯən3	
窩	uo1	
窟	kʰuəʔ7	
窺	kʰuei1	
窿	nən2	
立	niəʔ7	
豎	ʂʯ5	
站	tsɛ̃5	
競	tɕin5	
竟	tɕin5	
章	tsã1	
竣	ʈʂʯən5	
童	tʰən2	
端	tõ1	
竹	ʈʂʯəʔ7	
竿	kɛ̃3	文
竿	kiẽ3	白
篤	təʔ7	
笋	sən3	
笑	ɕiɔ5	
笔	piəʔ7	
笙	sən1	
笛	tiəʔ8	
笠	niəʔ7	
笤	tʰiɔ2	
符	fu2	
第	ti5	
箋	tɕʰiẽ1	
籠	nən2	
籠	nən3	
等	tən3	
筋	tɕin1	
筏	fɛʔ7	
筐	kʰuã1	
筑	ʈʂʯəʔ7	
筒	tʰən2	
筒	tʰən3	
答	tɛʔ7	
策	tsʰɪʔ7	
篩	sɛ1	
箏	tsən1	
筷	kʰuɛ5	
籌	tsʰəu2	
签	tɕʰiẽ1	
簡	tɕiẽ3	
箍	kʰu1	
算	sõ5	
管	kõ3	
籮	no2	
簫	ɕiɔ1	
箭	tɕiẽ5	
箱	ɕiã1	
篆	ʈʂʯɛ̃5	
篇	pʰiẽ1	
簍	nəu3	
篙	kɔ1	
篡	tsʰõ5	
籃	nɛ̃2	
篱	ni2	
篷	pʰən2	
簧	xuã2	
簪	tsɛ̃1	
簸	po5	
簿	pu5	
籍	tɕiəʔ7	
米	mi3	
类	nei5	
粉	fən3	
粒	niəʔ7	
粗	tsʰəu1	
粘	tsẽ1	
粟	səʔ7	
粤	ʯɪʔ7	
糞	fən5	
糧	niã2	
粱	niã2	
粳	kən3	
粹	tsʰei5	
糉	tsən5	
精	tɕin1	
糊	xu2	
糊	xuəʔ8	～涂
