#漢字	音標	解釋
橫	hã2	
櫻	ieŋ1	
樵	dzɔ2	原文记作柴
橘	tɕiəʔ7	
欠	tɕʰi5	
歡	hø1	
欣	ɕieŋ1	
歇	ɕiəʔ7	
歌	ku1	
止	tsɿ3	
正	tɕia5	~反
步	bu6	
歪	va1	
死	sɿ3	
殿	dai6	
母	mɔ̃3	
每	mai3	
毒	dəʔ8	
比	pi3	
毛	mɑu2	
毛	mɔ̃2	
毫	hɔ2	
民	mieŋ2	
气	tsʰɿ5	
水	ɕy3	
永	iɔŋ3	
汁	tɕəʔ7	
漢	he5	
汗	ɡe6	
江	kɔ̃1	
池	dzɿ2	
沉	dʑieŋ2	
沙	so1	
沝	ɕy3	水
溝	kɔ1	
没	məʔ8	
沫	məʔ8	
河	ɑu2	
油	iɑu2	
治	da2	~鱼
泉	dʑy2	
法	fəʔ7	
波	pu1	
泥	nai2	
洒	sa5	
洗	sai3	
洞	dɔŋ6	
津	tsᴀŋ1	
活	vəʔ8	
派	pʰe5	
流	lɔ2	
流	lieu2	
淺	tɕʰi3	
漿	tɕiã1	
測	tsʰəʔ7	
濃	nɔŋ2	
浙	tɕiəʔ7	
浪	lɔ̃6	
浮	bu2	
浮	vu2	
浴	iəʔ8	
海	hø3	
浸	tɕʰieŋ5	
涂	du2	
消	ɕieu1	
涉	ʑiəʔ8	
漲	tɔ̃3	
澀	səʔ7	
淡	de6	
深	tɕʰieŋ1	
添	tʰi1	
添	tʰai1	
清	tɕʰieŋ1	
淵	y1	
渣	tso1	
溫	ø1	
渴	kʰəʔ7	
灣	ve1	
源	ȵy2	
溪	tsʰɿ1	
滑	vəʔ8	
滚	kuᴀŋ3	
滿	me3	
灘	tʰe1	
滴	tiəʔ7	
漏	lɔ6	
潘	pʰe1	姓
潭	de2	
潮	dieu2	
灌	kue5	
火	hø3	
滅	miəʔ8	
燈	tai1	
灰	hø1	
靈	lieŋ2	
竈	tsɔ5	
災	tsa1	
炒	tsʰɔ3	
炭	tʰe5	
炮	pʰɔ5	
爛	le6	
烘	hɔŋ1	
燭	tɕy5	
烟	i1	
煩	ve2	
燒	ɕieu1	
燙	tʰɔ̃5	
熱	ȵiəʔ8	
焦	tɕieu1	
煤	mø2	
照	tɕieu5	
煮	tɕy3	
熏	ɕiɔŋ1	
熙	sɿ1	
熟	zəʔ8	
熬	nɑu2	
燕	i5	~子
爬	bo2	
愛	e5	
爺	i3	
爸	pa5	
爹	ti1	
爽	sɔ̃3	
片	pʰi5	
版	pai3	
牌	bai2	
牙	ɡo2	
牚	tʰã5	
牛	ŋ̍2	
牛	ŋɑu2	
牢	lɑu2	
物	məʔ8	
