#漢字	音標	解釋
□	pv̩1	~子:姑姑
投	tʰɤɯ2	
抖	tɤɯ3	
抗	kʰaŋ2	
折	tsiʔ7	
折	siʔ7	弄折了
撫	fv̩3	
抛	pʰɔ1	
摳	kʰɤɯ1	
搶	tɕʰiaŋ3	
護	fv̩5	
報	pɔ5	
披	pʰiᶽ1	
抬	tʰɛ2	
抱	pʰɔ1-	
抱	pɔ5=	
抵	tɕiᶽ3	
抹	mæʔ7	抹桌子
押	ŋæʔ7	
抽	tsʰɤɯ1	
抿	min3	
拄	tsv̩3	
擔	tæ̃1	担任
擔	tæ̃5	挑担
拆	tsʰəʔ7	
拇	mo3	
拉	la1	
拌	pʰʊ̃1	
拍	pʰɔʔ7	
拎	lin1	
拐	kuɛ3	
拒	tɕyᶽ5	
拔	pʰæʔ7	
拖	tʰo1	
拘	tɕyᶽ1	
招	tsɔ1	
拜	pɛ5	
擬	niᶽ3	
攏	lɔŋ3	
揀	kæ̃3	
擁	iɔŋ1	
攔	læ̃2	
撥	pʊʔ7	
擇	tsʰəʔ7-	择菜
擇	tsəʔ7=	选择
括	kʰuæʔ7	
拯	tsən3	
拱	kɔŋ3	
拳	tɕʰyʊ̃2	
拴	ɕyæ̃1	
拼	pʰin1	
拼	pʰin1	拼命
拽	tɕyɛ5	
拾	səʔ7	
拿	na2	
持	tsʰɿ2	
挂	kua5	
指	tsəʔ7+	~嵌:指甲
指	tsɿ3	指着
按	ŋæ̃1	
挑	tʰiɔ1	
挖	væʔ7	
撓	nɔ2	
擋	taŋ3	阻挡
擠	tɕiᶽ3	
揮	xuɪ1	
挪	no2	
振	tsən5	
挺	tʰin3	
捅	tʰɔŋ3	
捆	kʰun3	
捉	tɕyaʔ7	
捋	lv̩2	捋袖
捎	sɔ1	
捏	niʔ7	
捐	tɕyʊ̃1	
捕	pv̩3	
撈	lɔ1	
損	ɕyn3	
換	xʊ̃1	
捧	pʰɔŋ3	
据	tɕyᶽ5	
捱	ŋɛ2	
捷	tɕiʔ7	
捺	næʔ7	
捻	niɪ̃3	
掀	ɕiɪ̃1	
掂	tiɪ̃1	
掇	tʊʔ7	
授	sɤɯ5	
掉	tʰiɔ1	
掉	tiɔ5	
掌	tsaŋ3	
掏	tʰɔ1	
掐	kʰæʔ7	
排	pʰɛ2	
掘	tɕyʊʔ7	
掠	liaʔ7	
探	tʰæ̃5	
接	tɕiʔ7	
控	kʰɔŋ5	
推	tʰɪ1	
掩	iɪ̃3	
措	tsʰo5	
掫	tsʰɤɯ1	
掬	tɕiɔʔ7	
掭	tʰiɪ̃1	
擲	tsən5	
撣	tæ̃3	
揉	lɤɯ2	
描	miɔ2	
提	tɕʰiᶽ2	
插	tsʰæʔ7	
揖	iʔ7	
握	vaʔ7	
揣	tɕʰyɛ1	揣度
揩	kʰɛ1	
揪	tɕiɤɯ1	
揭	tɕiʔ7	
援	yʊ̃2	
攬	læ̃3	
撳	tɕʰin5	
攙	tsʰæ̃1	
擱	kaʔ7	
摟	lɤɯ2	搂取
摟	lɤɯ3	搂抱
攪	kɔ3	
攪	tɕiɔ3	
搓	tsʰo1	
搛	tɕiɪ̃1	
搜	sɤɯ1	
搞	kɔ3	
搡	saŋ3	
搬	pʊ̃1	
搭	tæʔ7	
搽	tsʰa2	
攝	siʔ7	
摆	pɛ3	
摇	iɔ2	
攤	tʰæ̃1	
摔	ɕyɛ1	
摘	tsəʔ7	
摞	lo1	
摧	tɕʰyɪ1	
摩	mo2	
摸	maʔ7	
摹	mo2	摹仿
撇	pʰiʔ7	
撑	tsʰən1	
撒	sæʔ7	撒手
撞	tɕyaŋ5	
撤	tsəʔ7	
撩	liɔ1	
撮	tsʰʊʔ7	
撰	tsʊ̃3	
攆	niɪ̃3	
撼	xæ̃5	
擀	kæ̃3	
操	tsʰɔ1	
擎	tɕʰin2	
擒	tɕʰin2	
擦	tsʰæʔ7	
攀	pʰæ̃1	
攢	tsæ̃3	
攘	laŋ3	
支	tsɿ1	
收	sɤɯ1	
改	kɛ3	
攻	kɔŋ1	
放	faŋ5	
政	tsən5	
故	kv̩5	
效	ɕiɔ5	
敵	tiʔ7	
敏	min3	
救	tɕiɤɯ5	
教	tɕiɔ5	
斂	liɪ̃3	
敢	kʊ̃3-	
敢	kæ̃3=	
散	sæ̃3	分散
散	sæ̃3	鞋带散了
敦	tən1	
敬	tɕin5	
數	sv̩3	动词
敲	kʰɔ1-	
整	tsən3	
敷	fv̩1	
文	vən2	
文	yn2	
斑	pæ̃1	
斗	tɤɯ3	容器
料	liɔ1	
斜	tɕʰia2	
斟	tsən1	
斤	tɕin1	
斥	tsʰəʔ7	
斧	fv̩3	
斬	tsæ̃3	
斷	tʰʊ̃1-	
斷	tʊ̃5=	
斯	sɿ1	
新	ɕin1	
方	faŋ1	
施	sɿ1	
旁	pʰaŋ2	
旅	yᶽ3	
旋	ɕyʊ̃2	
族	tsʰɔʔ7	
旗	tɕʰiᶽ2	
無	v̩2	
既	tɕiᶽ5	
日	ləʔ7	
旦	tæ̃5	
舊	tɕʰiɤɯ1-	
舊	tɕiɤɯ5=	
旨	tsɿ3	
早	tsɔ3	
旬	ɕyn2	
旱	xæ̃5	
時	sɿ2	
曠	kʰuaŋ5	
旺	vaŋ5	
昂	ŋaŋ2	
昆	kʰun1	
昌	tsʰaŋ1	
明	min2	
昏	xun1	
易	iᶽ5	
昔	ɕiʔ7	
星	ɕin1	
映	in5	
春	tɕʰyn1	
昧	mɪ1	
昨	tsaʔ7	
昨	tsʰaʔ7	
昨	tɕʰyaʔ7	
昭	tsɔ1	
是	sɿ1	
晝	tsɤɯ5	
顯	ɕiɪ̃3	
晃	xuaŋ5	晃眼
晉	tɕin5	
晌	saŋ3	
晏	ŋæ̃5	
曬	sɛ5	
曉	ɕiɔ3	
暈	yn1	
晚	væ̃3	
晦	xuɪ5	
晨	tsʰən2	
普	pʰv̩3	
景	tɕin3	
晴	tɕʰin2	
晶	tɕin1	
智	tsɿ5	
晾	liaŋ1	
暫	tsæ̃5	
暇	ɕia2	
暑	tsʰv̩3	
暑	sv̩3=	
暖	nʊ̃3	
暗	ŋæ̃5	
暮	mo5	
暴	pɔ5	
曆	liʔ7	
曝	pɔ5	
曲	tɕʰiɔʔ7	歌曲
更	kən1	更换
更	kən5	更加
曹	tsʰɔ2	
曾	tsən1	姓
曾	tsʰən2	曾经
替	tɕʰiᶽ5	
最	tɕyɪ5	
月	yʊʔ7	
有	iɤɯ3	
朋	pʰɔŋ2	
服	fɔʔ7	
朔	sv̩5	
朗	laŋ3	
望	vaŋ1	
朝	tsɔ1	今朝
朝	tsʰɔ2	朝代
期	tɕʰiᶽ1	
木	mɔʔ7	
未	vɪ5	
末	mʊʔ7	
本	pən3	
札	tsæʔ7	
术	ɕyəʔ7	
朱	tsv̩1	
朴	pʰɔʔ7	朴素
朶	to3	
機	tɕiᶽ1	
朽	ɕiɤɯ3	
殺	sæʔ7	
雜	tsæʔ7	
權	tɕʰyʊ̃2	
杆	kæ̃1	
杈	tsʰa1	
杉	sæ̃1	
李	iᶽ3	
杏	ɕin5	
材	tsʰɛ2	
村	tɕʰyn1	
杖	tsaŋ5	
杜	tv̩5	
杞	tɕʰiᶽ3	
束	sɔʔ7	
杠	kaŋ5	
條	tʰiɔ2	
來	lɛ2	
楊	iaŋ2	
杭	xaŋ2	
杯	pɪ1	
杰	tɕiʔ7	
杵	tsʰv̩3	
杷	pʰaʔ7	枇杷
松	sɔŋ1	
板	pæ̃3	
極	tɕiʔ7	
構	kɤɯ5	
枇	pʰiʔ7	
枉	vaŋ1	
析	ɕiʔ7	
枕	tsən3	
林	lin2	
枚	mɪ2	
果	ko3	
枝	tsɿ1	
樞	sv̩1	
棗	tsɔ3	
槍	tɕʰiaŋ1	
楓	fɔŋ1	
枯	kʰv̩1	
枵	ɕiɔ1	
架	tɕia5	
柄	pin5	刀柄
柄	pin3	把柄
柏	pɔʔ7	
某	mo3	
柑	kæ̃1	
染	liɪ̃3	
柔	lɤɯ2	
柚	iɤɯ1	
櫃	kʰuɪ1-	
櫃	kuɪ5=	
柱	tsʰv̩1-	
柱	tsv̩5=	
柳	liɤɯ3	
柴	tsʰɛ2	
查	tsʰa2	调查
柿	sɿ1	
梔	tsɿ1	
栅	tsa5	
標	piɔ1	
棧	tsæ̃5	
棟	tɔŋ5	
欄	læ̃2	
樹	sv̩1	
栗	liʔ7	
校	ɕiɔ5	
校	tɕiɔ5	校对
株	tsv̩1	
樣	iaŋ1	
核	xəʔ7	
核	xəʔ7	审核
核	xuəʔ7	果子核
根	kən1	
格	kəʔ7	
栽	tsɛ1	
桂	kuɪ5	
桃	tʰɔ2	
桄	kʰuaŋ1	
案	ŋæ̃5	
桌	tɕyaʔ7	
桐	tʰɔŋ2	
桑	saŋ1	
椏	ia1	
橋	tɕʰiɔ2	
樺	xua5	
槳	tɕiaŋ3	
樁	tɕyaŋ1	
桶	tʰɔŋ3	
桶	tʰɔŋ3	烟桶
梁	liaŋ2	
梅	mɪ2	
梓	tsɿ3	
梗	kən3	
梢	sɔ1	
夢	mɔŋ1	
梧	v̩2	
梨	iᶽ2	
梭	so1	
梯	tɕʰiᶽ1	
梳	sv̩1	
檢	tɕiɪ̃3	
棉	miɪ̃2	
棋	tɕʰiᶽ2	
棍	kun5	
棒	pʰaŋ1	
棕	tsɔŋ1	
棠	tʰaŋ2	
森	sən1	
棵	kʰo1	
棺	kʊ̃1	
椅	iᶽ3	
植	tsəʔ7	
椒	tɕiɔ1	
橢	tʰo3	
椴	tʊ̃5	
椽	tsʰʊ̃2	
楂	tsa1	
楚	tsʰv̩3	
楞	lən5	
楣	mɪ2	
楷	kʰɛ3	
樓	lɤɯ2	
概	kɛ5	
欖	læ̃3	
榆	yᶽ2	
榛	tsən1	
榜	paŋ3	
榨	tsa5	
榴	liɤɯ3	
榻	tʰæʔ7	
槌	tɕʰyɪ2	
槐	xuɛ2	
檳	pin1	
槽	tsʰɔ2	
樟	tsaŋ1	
模	mo2	模子
模	mo2	模范
橫	xən2	横直
橫	xən5	蛮横
櫻	in1	
橄	kæ̃3	
橘	tɕyəʔ7	
橙	tsʰən2	
橡	ɕiaŋ5	
櫓	lv̩3	
檀	tʰæ̃2	
檐	iɪ̃2	
欠	tɕʰiɪ̃5	
次	tsʰɿ5	
歡	xʊ̃1	
欣	ɕin1	
歐	ŋɤɯ1	
欲	iɔʔ7	
欺	tɕʰiᶽ1	
款	kʰæ̃3	
歇	ɕiʔ7	
歉	tɕʰiɪ̃5	
歌	ko1	
止	tsɿ3	
正	tsən5	
正	tsən1	正月
此	tsʰɿ3	
步	pʰv̩1	
武	v̩3	
歪	vɛ1	
歷	liʔ7	
死	sɿ3	
殃	iaŋ1	
殉	ɕyn5	
殊	sv̩1	
殘	tsʰæ̃2	
殮	liɪ̃3	
殖	tsəʔ7	
殯	pin1	
毆	ŋɤɯ1	
段	tʰʊ̃1-	
段	tʊ̃5=	
殷	in1	
殿	tiɪ̃5	
毁	xuɪ3	
毅	iᶽ5	
母	mo3	
每	mɪ3	
毒	tɔʔ7	
比	piᶽ3	比较
畢	piʔ7	
斃	piᶽ5	
毛	mɔ2	
毡	tsiɪ̃1	
毫	xɔ2	
毯	tʰæ̃3	
氏	sɿ5	
民	min2	
气	tɕʰiᶽ5	
水	ɕyɪ3	
永	iɔŋ3=	
永	yn3-	人名
汁	tsəʔ7	
求	tɕʰiɤɯ2	
汆	tsʰʊ̃1	
汇	xuɪ5	
汇	xuɪ1	汇款
漢	xæ̃5	
汗	xæ̃1	
汝	lv̩3	
汞	kɔŋ3	
江	tɕiaŋ1	
池	tsʰɿ2	
污	v̩1	
湯	tʰaŋ1	
汪	vaŋ1	
汴	piɪ̃5	
汽	tɕʰiᶽ5	
沃	o5	普化音
沈	sən3	
沉	tsʰən2	
沌	tən5	
沓	tæʔ7	
沙	sa1	
沛	pʰɪ5	
溝	kɤɯ1	
没	məʔ7	没有
漚	ŋɤɯ1	
淪	lən2	
滬	fv̩5	
沫	mʊʔ7	
河	xo2	
油	iɤɯ2	
治	tsɿ5	
沼	tsɔ3	
沾	tsæ̃1	
沿	iɪ̃2	
泄	ɕiʔ7	
泅	tɕʰiɤɯ2	
泉	tɕʰyʊ̃2	
泊	pʰɔʔ7	
泊	paʔ7	梁山泊
泌	miʔ7	
泔	kæ̃1	
法	fæʔ7	
泛	fæ̃5	
泡	pʰɔ5	
波	po1	
泥	niᶽ2	
注	tsv̩5	
淚	lɪ5	
泰	tʰɛ5	
泳	iɔŋ3	
瀉	ɕia5	
潑	pʰʊʔ7	
澤	tsəʔ7	
潔	tɕiʔ7	
洋	iaŋ2	
洒	sa3	
洗	ɕiᶽ3	
洛	laʔ7	
洞	tʰɔŋ1-	
洞	tɔŋ5=	
津	tɕin1	
洪	xɔŋ2	
洲	tsɤɯ1	
活	xʊʔ7	
洼	ua1	
洽	tɕʰiaʔ7	
派	pʰɛ5	
流	liɤɯ2	
淺	tɕʰiɪ̃3	
漿	tɕiaŋ1	
澆	tɕiɔ1	
濁	tsɔʔ7	
測	tsʰəʔ7	
濟	tɕiᶽ5	
渾	xun2	
滸	fv̩3	
濃	nɔŋ2	
浙	tsiʔ7	
浦	pʰv̩3	
浩	xɔ5	
浪	laŋ1-	
浪	laŋ5=	
浮	fv̩2	
浴	iɔʔ7	
海	xɛ3	
浸	tɕin5	
涂	tʰv̩2	
消	ɕiɔ1	
涉	siʔ7	
涌	iɔŋ3	
涎	ɕiɪ̃2	
涕	tɕʰiᶽ1	
濤	tʰɔ1	
澇	lɔ1	
潤	yn5-	
潤	lən5=	
漲	tsaŋ3	
澀	səʔ7	
涯	ia2	
液	ɪ5	
淆	ɕiɔ2	
淋	lin2	
淘	tʰɔ2	淘米
淡	tʰæ̃1-	
淡	tæ̃5=	
淤	yᶽ1	
淫	in2	
淮	xuɛ2	
深	sən1	
混	xun5	相混
淹	iɪ̃1	
添	tʰiɪ̃1	
清	tɕʰin1	
淵	yʊ̃1	
漸	tɕiɪ̃5	
澠	miɪ̃3	
漁	yᶽ2	
滲	sən5	
渠	tɕʰyᶽ2	
渡	tv̩5	
渣	tsa1	
溫	vən1	
港	kaŋ3	
渴	kʰʊʔ7	
游	iɤɯ2	
渺	miɔ3	
湖	fv̩2	
湘	ɕiaŋ1	
灣	væ̃1	
溼	səʔ7	
潰	kʰuɪ5	溃脓
濺	tɕiɪ̃5	
溉	kɛ5	
源	yʊ̃2	
溜	liɤɯ1	
溪	ɕiᶽ1	
溺	niʔ7	
滂	pʰaŋ2	
滋	tsɿ1	
滑	xuæʔ7	
滔	tʰɔ1	
滚	kun3	
滯	tsɿ5	
滿	mʊ̃3	
濾	yᶽ1	
濾	yᶽ5	
濫	læ̃1	
灘	tʰæ̃1	
滴	tiʔ7	
漂	pʰiɔ3	漂洗
漂	pʰiɔ5	漂亮
漆	tɕʰiəʔ7	
漏	lɤɯ1	
演	iɪ̃3	
漤	læ̃1	
漫	mʊ̃1-	
漫	mæ̃1=	
漱	sv̩5	
潘	pʰʊ̃1	
潛	tɕʰiɪ̃2	
潭	tʰæ̃2	
潮	tsʰɔ2	
潲	sɔ5	
澄	tsʰən2	
澄	tən3	水浑
澡	tsɔ3	
激	tɕiʔ7	
瀑	pʰv̩5	瀑布
灌	kʊ̃5	
火	xo3	
滅	miʔ7	
燈	tən1	
灰	xuɪ1	
靈	lin2	
竈	tsɔ5	
灸	tɕiɤɯ1	
災	tsɛ1	
燦	tsʰæ̃5	
爐	lv̩2	
炊	tɕʰyɪ1	
炎	iɪ̃2	
炒	tsʰɔ3	
炕	kʰaŋ5	
炭	tʰæ̃5	
炮	pʰɔ5	
炸	tsa5	油炸
炸	tsa5	炸弹
炸	tsʰæʔ7	煠
點	tiɪ̃3	
煉	liɪ̃2-	
煉	liɪ̃5	
爛	læ̃1	
烈	liʔ7	
烊	iaŋ2	
烘	xɔŋ1	
烙	laʔ7	
燭	tsɔʔ7	
烟	iɪ̃1	
烤	kʰɔ3	
煩	fæ̃2	
燒	sɔ1	
燙	tʰaŋ5	
熱	liʔ7	
烹	pʰɔŋ1	
焉	iɪ̃1	
焊	xæ̃5	
煥	xʊ̃1	
焙	pʰɪ2	
焚	fən2	
焦	tɕiɔ1	
焯	tsʰaʔ7	
焰	iɪ̃5	
然	liɪ̃2	
煎	tɕiɪ̃1	
煠	tsʰæʔ7	用油煠
煤	mɪ2	
照	tsɔ5	
煨	vɪ1	
煮	tsv̩3	
熄	ɕiʔ7	
熊	ɕiɔŋ2	
熏	ɕyn1	
熔	iɔŋ2	
熙	ɕiᶽ1	
熟	sɔʔ7	
熨	yn5	
熬	ŋɔ2	
燃	liɪ̃2	
燎	liɔ2	
燕	iɪ̃5	
爆	pɔ5	
爪	tɕya3	
爬	pʰa2	
愛	ŋɛ5	
爵	tɕiaʔ7	
父	fv̩5	
爺	ɪ2	
爸	pa5	
爹	tia1	
爽	ɕyaŋ3	
片	pʰiɪ̃5	
版	pæ̃3	
牌	pʰɛ2	
牒	tiʔ7	
牙	ia2	
牛	ŋɤɯ2-	
牛	niɤɯ2=	
牡	mo3	
牢	lɔ2	
牧	mɔʔ7	
物	vəʔ7	
牲	sən1	
牽	tɕʰiɪ̃1	
特	tʰəʔ7	
犧	ɕiᶽ1	
犀	ɕiᶽ1	
犁	iᶽ2	
犢	tɔʔ7	
犒	kʰɔ5	
犬	tɕʰyʊ̃3	
犯	fæ̃5	
狀	tɕyaŋ5	
猶	iɤɯ2	
狂	kʰuaŋ2	
狄	tiʔ7	
狐	fv̩2	
狗	kɤɯ3	
狡	tɕiɔ3	
獨	tɔʔ7	
狹	xæʔ7	
獅	sɿ1	
獄	iɔʔ7	
狸	iᶽ2	
狼	laŋ2	
獵	liʔ7	
猛	mɔŋ3	
猜	tɕʰyɛ1	
猝	tsʰɔʔ7	
豬	tsv̩1	
猫	mɔ2	
猫	mɔ1	猫腰
蝟	vɪ5	
獻	ɕiɪ̃5	
猴	xɤɯ2	
猾	xuæʔ7	
獺	tʰæʔ7	
玄	ɕyʊ̃2	
率	ɕyɛ5	率领
率	liʔ7	速率
玉	yᶽ1	
玉	yᶽ5	
王	vaŋ2	
玩	væ̃2	
環	kʰuæ̃2	
環	xuæ̃2	普化音
現	ɕiɪ̃5	
璽	ɕiᶽ3	
玻	po1	
珊	sæ̃1	
珍	tsən1	
珠	tsv̩1	
班	pæ̃1	
球	tɕʰiɤɯ2	
理	iᶽ3	
琉	liɤɯ2	
瑣	so3	
琴	tɕʰin2	
琵	pʰiᶽ2	
琶	pʰa2	
瓊	tɕʰiɔŋ2	
瑕	ɕia2	
瑞	lɪ5	
瑟	səʔ7	
璃	iᶽ2	
璧	piʔ7	
瓜	kua1	
瓠	fv̩1	瓠子
瓢	pʰiɔ2	
瓣	pæ̃5	
瓤	naŋ2	
瓦	ua3	
瓮	ɔŋ5	
甌	ŋɤɯ1	
瓶	pʰin2	
瓷	tsʰɿ2	
甘	kæ̃1	
甚	sən5	
甜	tʰiɪ̃2	
生	sən1	
生	tsaŋ3	
甥	sən1	
用	iɔŋ1	
甩	ɕyɛ3	
甫	pʰv̩3	
甬	iɔŋ3	
田	tʰiɪ̃2	
由	iɤɯ2	
甲	tɕiaʔ7	
申	sən1	
電	tiɪ̃5	
男	næ̃2	
畫	xua5	
暢	tsʰaŋ5	
界	tɕiɛ5	
畏	vɪ5	
留	liɤɯ2	
畜	tsʰɔʔ7	
略	liaʔ7	
番	fæ̃1	
疆	tɕiaŋ1	
疏	sv̩1	
疑	iᶽ2	
療	liɔ2	
疝	ɕyæ̃1	
瘧	niaʔ7	
瘍	iaŋ2	
疤	pa1	
疫	yəʔ7	
瘡	tɕʰyaŋ1	
瘋	fɔŋ1	
疲	pʰiᶽ2	
疵	tsʰɿ1	
疹	tsən3	
疼	tʰən2	
疾	tɕiʔ7	
痂	tɕia1	
病	pʰin1	
症	tsən5	
癰	iɔŋ1	
痒	iaŋ3	
痔	tsʰɿ5-	
痔	tsɿ5=	
痕	xən2	
痘	tʰɤɯ1-	
痛	tʰɔŋ5	
痞	pʰiᶽ3	
痢	iᶽ1	
痣	tsɿ5	
痰	tʰæ̃2	
痱	fɪ5	
癡	tsʰɿ1	
痹	piʔ7	
瘊	xɤɯ2	
瘌	læʔ7	
瘟	vən1	
瘦	sɤɯ5	
瘴	tsaŋ5	
瘸	tɕʰia2	
癩	lɛ1	
登	tən1	
發	fæʔ7	
白	pʰɔʔ7-	
白	pɔʔ7=	
百	pɔʔ7	
皂	tsʰɔ1	
皂	tsɔ5	
的	tiʔ7	目的
皆	tɕiɛ1	
皇	xuaŋ2	
皖	ʊ̃3	
皮	pʰiᶽ2	
皺	tsɤɯ5	
皴	tɕʰyn1	
盂	yᶽ2	
盅	tsɔŋ1	
盆	pʰən2	
盈	in2	
益	iʔ7	
盞	tsæ̃3	
鹽	iɪ̃2	
監	tɕiæ̃1	监视
盒	xʊʔ7	
盔	kʰuɪ1	
盖	kɛ5	
盜	tɔ5	
盤	pʰʊ̃2	
盛	sən5	兴盛
盛	tsʰən2	盛饭
盟	mɔŋ2	
盬	kv̩1	
目	mɔʔ7	
盯	tin1	
盲	maŋ2	
直	tsʰəʔ7-	
直	tsəʔ7=	
相	ɕiaŋ1	相互
相	ɕiaŋ5	相貌
盼	pʰæ̃5	
盾	tən5	
省	sən3	
省	ɕin3	反省
眉	mɪ2	
看	kʰʊ̃5-	看见
看	kʰæ̃5	看见
看	kʰæ̃5	看守
瞘	kʰɤɯ1	
真	tsən1	
眠	miɪ̃2	
眨	tsæʔ7	
眩	ɕyʊ̃5	
眶	kʰuaŋ1	
眷	tɕyʊ̃5	
眼	ŋæ̃3	
着	tsaʔ7	着衣
着	tsʰaʔ7	睡着
睜	tsən1	
睛	tɕin1	
睡	ɕyɪ5	
督	tɔʔ7	
睬	tsʰɛ3	
瞎	xæʔ7	
瞞	mʊ̃2	
瞧	tɕʰiɔ2	
瞪	tən5	
瞳	tʰɔŋ2	
瞻	tsæ̃1	
瞿	tɕʰyᶽ2	
矛	mɔ2	
矢	sɿ3	
矣	iᶽ3	
知	tsɿ1	
矩	tɕyᶽ1	
矯	tɕiɔ3	
短	tʊ̃3	
矮	ŋɛ3	
石	səʔ7	
礬	fæ̃2	
礦	kʰuaŋ5	
碼	ma3	
砌	tɕʰiᶽ5	
砍	kʰæ̃3	
砑	ŋa1	
研	iɪ̃2	
磚	tsʊ̃1	
硯	iɪ̃1	
硯	iɪ̃5	
破	pʰo5	
礎	tsʰv̩3	
硝	ɕiɔ1	
硫	liɤɯ2	
硬	ən1	
確	tɕʰiaʔ7	
礙	ŋɛ1	
碎	ɕyɪ5	
碑	pɪ1	
碗	ʊ̃3	
碟	tiʔ7	
碧	piʔ7	
碰	pʰɔŋ5	
碾	niɪ̃3	
磁	tsʰɿ2	
磕	kʰʊʔ7	
磨	mo1	磨面
磨	mo2	磨刀
磷	lin2	
礓	tɕiaŋ1	
示	sɿ5	
禮	iᶽ3	
社	sɪ5	
祀	sɿ5	
祁	tɕʰiᶽ2	
祈	tɕʰiᶽ2	
祖	tsv̩3	
祝	tsɔʔ7	
神	sən2	
祠	tsʰɿ2	
祥	tɕʰiaŋ2	
票	pʰiɔ5	
祭	tɕiᶽ5	
禱	tɔ3	
禍	xo1-	
禍	xo5=	
稟	pin3	
禁	tɕin1	禁不住
禁	tɕin5	禁止
祿	lɔʔ7	
禪	siɪ̃5	
福	fɔʔ7	
禹	yᶽ3	
离	iᶽ2	
离	iᶽ1	离开半寸
禽	tɕʰin2	
禾	xo2	
秀	ɕiɤɯ5	
私	sɿ1	
秃	tʰɔʔ7	
稈	kæ̃1	
秉	pin3	
秋	tɕʰiɤɯ1	
種	tsɔŋ3	种类
種	tsɔŋ5	种树
科	kʰo1	
秒	miɔ3	
秘	miʔ7	普化音
租	tsv̩1	
秤	tsʰən5	
秦	tɕʰin2	
秧	iaŋ1	
秩	tsəʔ7	
秩	tsʰəʔ7	
積	tɕiʔ7	
稱	tsʰən5	相秤
稱	tsʰən1	称呼
秸	kɛ1	
移	iᶽ2	
穢	xuɪ5	
稀	ɕiᶽ1	
稆	yᶽ3	
程	tsʰən2	
稍	sɔ1	
税	ɕyɪ5	
稚	tsɿ5	
稠	tsʰɤɯ2	
穩	vən3	
稻	tʰɔ1	
稼	tɕia5	
稽	tɕiᶽ1	
稿	kɔ3	
穀	kɔʔ7	
穆	mɔʔ7	
穗	ɕyɪ5	
穴	ɕyəʔ7	
究	tɕiɤɯ1	
窮	tɕʰiɔŋ2	
空	kʰɔŋ1	空虚
空	kʰɔŋ5	空缺
穿	tsʰʊ̃1	
突	tʰəʔ7	
窄	tsɛ3	普化音
竅	tɕʰiɔ5	
窯	iɔ2	
窖	tɕiɔ5	
窗	tɕʰyaŋ1	
竄	tsʰʊ̃5	
窩	o1	
窟	kʰuəʔ7	
窠	kʰo1	
窺	kʰuɪ1	
窨	in1	
立	liʔ7	
豎	sv̩1	
站	tsæ̃5	
競	tɕin5	
竟	tɕin5	
章	tsaŋ1	
童	tʰɔŋ2	
端	tʊ̃1	
竹	tsɔʔ7	
竿	kæ̃1	
笋	ɕyn3	
笑	ɕiɔ5	
筆	piʔ7	
笛	tiʔ7	
笠	liʔ7	
符	fv̩2	
笨	pən5	
第	tɕiᶽ5	
籠	lɔŋ2	
等	tən3	
筋	tɕin1	
筏	fæʔ7	
筐	kʰuaŋ1	
筑	tsɔʔ7	
筒	tʰɔŋ3	
答	tæʔ7	
策	tsʰəʔ7	
篩	sɛ1	筛子
箏	tsən1	
筵	iɪ̃2	
筷	kʰuɛ5	
籌	tsʰɤɯ2	
签	tɕʰiɪ̃1	
簡	tɕiæ̃3	
箅	pʰiᶽ1	
箍	kv̩1	
算	sʊ̃5	
管	kʊ̃3	
籮	lo2	
簫	ɕiɔ1	
箭	tɕiɪ̃5	
箱	ɕiaŋ1	
篆	tsʊ̃5	
篇	pʰiɪ̃1	
簍	lɤɯ3	
篙	kɔ1	
篡	tsʰʊ̃5	
籃	læ̃2	
籬	iᶽ2	
篷	pʰɔŋ2	
篾	miʔ7	
簟	tʰiɪ̃1	
簧	xuaŋ2	
簪	tsæ̃1	
簸	po3	簸箕
簿	pʰv̩1	
籍	tɕiʔ7	
米	miᶽ2	(又)
米	mɪ3	(又)
粉	fən3	
粒	liʔ7	
粗	tsʰv̩1	
粘	tsæ̃1	
粤	yʊʔ7	
粥	tsɔʔ7	
糞	fən5	
糧	liaŋ2	
粱	liaŋ2	
粹	tɕʰyɪ5	
糉	tsɔŋ5	
精	tɕin1	
糍	tsʰɿ2	
糕	kɔ1	
糖	tʰaŋ2	
糙	tsʰɔ1	
糜	mɪ2	
糟	tsɔ1	
糠	kʰaŋ1	
糯	no1	
系	tɕiᶽ5	系鞋带
系	ɕiᶽ5	系统、联系
素	sv̩5	
索	saʔ7	绳索
緊	tɕin3	
紫	tsɿ3	
累	lɪ3	积累
累	lɪ5	连累
絮	ɕyᶽ5	
繁	fæ̃2	
纂	tsʊ̃5	
糾	tɕiɤɯ1	
紅	xɔŋ2	
紂	tsɤɯ5	
約	iaʔ7	
級	tɕiʔ7	
紀	tɕiᶽ5	
紉	lən5	
緯	vɪ3	
純	ɕyn2-	
純	tɕʰyn2=	
紗	sa1	
綱	kaŋ1	
納	næʔ7	
縱	tsɔŋ5	
紛	fən1	
紙	tsɿ3	
紋	vən2	
紡	faŋ3	
紐	niɤɯ3	
線	ɕiɪ̃5	
練	liɪ̃2-	
練	liɪ̃5=	
組	tsv̩3	
細	ɕiᶽ5	
織	tsəʔ7	
終	tsɔŋ1	
縐	tsɤɯ5	
絆	pʊ̃5	
紹	sɔ5	
經	tɕin1	
綁	paŋ3	
絨	lɔŋ2	
結	tɕiʔ7	
