#漢字	音標	解釋
㪗	tʰɯ3	展开，〜气
護	vu6	
報	pɤ5	
披	pʰi1	
抬	de2	
抱	bɤ4	
抵	tɕi3	
抹	mɐʔ8	
押	ɐʔ5	
抽	tɕʰiu1	
抿	miŋ2	
拄	tsʮ5	〜拐杖
擔	tɛ1	〜任
擔	tɛ5	挑~
拆	tsʰɐʔ5	开~
拇	mɯ2	
拉	la2	
拌	bø4	
拍	pʰɐʔ7	
拎	iŋ2	
拐	kua3	
拒	dʑy6	
拔	bɐʔ8	
拖	tʰʊ1	
拘	tɕy1	
招	tɕiɤ1	
拜	pa5	
攏	loŋ4	
揀	tɕi3	
擁	yoŋ3	
攔	lɛ2	
撥	pʊ1	
擇	dzɐʔ8	~菜，选〜
括	kuɐʔ7	包~
拯	tɕiŋ1	~救
拱	koŋ5	〜手
拳	dʑy2	
拴	sø3	
拼	pʰiŋ1	
拾	ʑyeʔ8	~起来
拿	na2	
持	dzɿ2	
挂	ko5	
指	tsɿ3	
按	ei5	
挑	tɕʰiɤ1	
挖	uɐʔ7	
挾	tɕieʔ7	~菜
擋	tɔ3	阻〜
擠	tɕi3	
揮	huᴇi1	
挨	a4	
挨	a3	〜近，〜住
挪	nʊ2	
振	tsoŋ5	
挺	tɕʰiŋ3	
挽	uɛ1	
捅	tʰoŋ3	〜破了
捆	kʰuaŋ3	
捉	tsɔʔ7	
捋	lɐʔ8	~袖
捎	ɕiɤ1	~带
捏	ȵieʔ8	
捐	tɕy3	
捕	pʰu3	
撈	lɤ4	
損	saŋ1	
換	ɦuᴇi6	
捧	pʰoŋ3	
据	tɕy5	
捱	a4	~打.~骂
捷	dʑieʔ8	
捺	nɐʔ8	撇~
捻	ȵi4	以指~碎
捼	lʊ2	揉
掀	ɕi1	
掂	tɕie3	〜掇
授	ʑiu6	
掉	dʑiɤ6	
掌	tsɔ3	
掏	tʰɤ1	~出来
掐	kʰɐʔ5	
排	ba2	
掘	dʑyeʔ8	
掠	ieʔ8	
探	tʰei5	试〜，侦~
接	tɕieʔ7	
控	kʰoŋ5	
推	tʰᴇi1	
措	tʰu5	〜施
擲	dʑiŋ2	
撣	tɛ3	鸡毛〜子
揉	ȵy2	
描	miɤ2	
提	dʑi2	
插	tsʰɐʔ5	
揖	ieʔ7	
握	ɔʔ7	
揢	kʰo5	捕，捉.拿住
揣	tsʰø1	~度
揩	kʰa1	2白
揩	kʰɛ1	文
揭	tɕieʔ7	
援	y2	
攬	lɛ2	
撳	tɕʰiŋ5	按
擱	kɔʔ7	
摟	lɯ2	~取
摟	lɯ4	抱
攪	tɕiɤ3	
搓	tsbʊ1	2白
搓	tsʰa1	文
搜	sɯ1	~集
搞	kɤ3	
搡	sɔ1	
搬	pø1	
搬	dø6	
搭	tɐʔ5	
搽	dzo2	
攝	ɕieʔ7	
摆	pa3	
摇	iɤ2	
攤	tʰɛ1	
摘	tsɐʔ5	
摩	mʊ2	
摸	mɔʔ8	
摹	mʊ2	~仿
撇	pʰieʔ7	〜捺,~开
撑	tsʰa5	
撒	sɛ5	~手，~种
撕	sɿ1	
撞	dzɔ6	
撤	tɕʰieʔ7	
撩	iɤ2	〜起来
攆	ȵi4	
撼	ɦei4	
擀	kei3	〜面
操	tsʰɤ1	〜作，~演
擎	dʑiŋ2	
擒	dʑiŋ2	
擦	tsʰɐʔ5	
攀	pʰɛ1	
攢	tsɛ5	
攘	ȵia4	
支	tsɿ1	
收	ɕiu1	
改	ke3	
攻	koŋ1	~击
放	fɔ5	
政	tɕiŋ5	
故	ku5	
效	iɤ6	
敵	dʑieʔ8	
敏	miŋ2	
救	tɕiu5	
教	tɕiɤ1	2~书，文
教	tɕiɤ5	~育,~他去
教	kɤ1	〜书
斂	i2	
斂	i6	
敝	bi6	
敢	kei3	
散	sɛ5	分〜
散	sɛ5	鞋带~了
敦	taŋ1	~厚
敬	tɕiŋ5	
數	sʮ3	动词
數	su5	名词
敲	kʰɤ1	
整	tɕiŋ1	
敷	fu5	
齋	tsa1	
斑	pɛ1	
斗	tɯ3	
斗	tɯ5	
料	iɤ6	
斜	ʑia2	
斟	tɕiŋ1	
斤	tɕiŋ1	
斥	tsʰɐʔ5	
斧	fu3	文
斧	ie3	训读
斬	tsɛ1	
斷	dø4	~绝
斷	tø5	决~
斯	sɿ1	
新	ɕiŋ1	
方	fɔ1	
施	sɿ1	
旁	bɔ2	
旅	i2	
旋	zø6	
族	dzɔʔ8	
旗	dʑi2	
無	vu2	
既	tɕi5	
日	ʑyeʔ8	2
日	ȵieʔ8	
旦	tɛ5	
舊	dʑiu6	
旨	tsɿ3	
早	tsɤ3	
旬	soŋ1	
旱	ɦei2	
時	zɿ2	
曠	kʰuɔ5	
旺	uɔ5	兴~,火~
昂	ɦɔ2	
昆	kʰuaŋ1	
昌	tsʰɔ1	
明	miŋ2	
昏	huaŋ1	
易	i6	交〜
易	i1	难〜
昔	ɕieʔ7	
星	ɕiŋ1	
映	ia1	
春	tsʰoŋ1	
昧	mᴇi6	
昨	dzɔʔ8	
昭	tɕiɤ1	
是	zɿ4	
晝	tɕiu5	
顯	ɕi1	
晃	huɔ1	〜眼
晉	tɕiŋ5	
晌	ɕia5	~午
晏	ɛ5	晚也
曬	sa5	
曉	ɕiɤ1	
暈	yoŋ6	
晚	vɛ2	
晦	huᴇi5	
晨	zoŋ2	
普	pʰu3	
景	tɕiŋ1	
晴	ʑiŋ2	
晶	tɕiŋ1	
智	tsʮ5	
暫	dzɛ6	
暑	sʮ3	
暖	nø4	
暗	ei5	
暮	mʊ6	
暴	bɤ6	
曝	bɤ6	
曰	yeʔ8	
曲	tɕʰyeʔ7	~折,歌~
曲	tɕʰyeʔ7	酒〜
更	ka1	2换，五〜
更	kaŋ1	~换,五~
更	kaŋ5	~加
曹	dzɤ2	
曾	dzaŋ2	~经
曾	tsaŋ1	姓
替	tɕʰi1	
最	tsᴇi5	
月	yeʔ8	
有	iu4	
朋	ba2	
服	vɔʔ8	
朔	sɔʔ7	
朗	lɔ6	
望	vɔ6	2文
望	mɔ6	白
朝	dʑiɤ2	〜代
朝	tɕiɤ1	今~
期	dʑi2	时~
木	mɔʔ8	
未	vi2	
末	mɐʔ8	
本	paŋ3	
札	tsɐʔ5	
术	ʑyeʔ8	
术	ʑyeʔ8	白~，苍~
朱	tsʮ1	
朴	pʰɔʔ7	
朶	to3	
機	tɕi5	
朽	ɕiu5	
殺	sɐʔ5	
雜	zɐʔ8	
權	dʑy2	
杆	kei3	
杈	tsʰo1	枝〜
杉	sɛ1	
杌	u1	~子.〜凳
李	i4	
杏	ɦa6	
材	dze6	
村	tsʰaŋ5	
杖	dʑia4	
杜	du6	
杞	dʑi2	
束	sɔʔ7	
杠	kɔ5	
條	dʑiɤ2	
來	le2	
楊	ia2	
杭	ɦɔ2	
杯	pᴇi3	
杰	dʑieʔ8	
杵	tsʰʮ1	
杷	bo2	枇〜
松	soŋ1	
板	pɛ3	
極	tɕieʔ7	
構	kɯ5	
枇	bi2	〜杷
枉	uɔ2	
析	ɕieʔ7	
枕	tɕiŋ1	
林	iŋ2	
枚	mᴇi4	
果	kʊ3	
枝	tsɿ1	
樞	sʮ1	
棗	tsɤ3	
槍	tɕʰia1	
楓	foŋ1	
枯	kʰu1	
架	tɕia5	2文
架	ko5	白
柄	piŋ3	
柏	pɐʔ7	
某	mɯ2	
柑	kei1	
染	ȵi4	
柔	ȵy2	
柚	iu6	
櫃	dʑy4	2白
櫃	ɡuᴇi6	文
查	dzo2	调~
柩	dʑiu6	
柬	tɕi3	
柱	tsʮ5	
柳	iu4	
柴	za2	
柿	zɿ4	
栅	tsʰɐʔ5	~栏
標	piɤ1	
棧	tɕi5	
棟	toŋ5	
欄	lɛ2	
樹	zʮ6	
栗	ieʔ8	
校	iɤ5	〜对
校	iɤ6	上~
校	iɤ6	学~
株	tsʮ1	
樣	ia6	
核	ɦɐʔ8	2
核	ɦuɐʔ8	2果子~
核	ɦuɐʔ8	
核	ɦɐʔ8	审〜
核	ɦɐʔ8	果子〜
根	kaŋ1	
格	kɐʔ5	
栽	tse1	
桂	kuᴇi5	
桃	dɤ2	
桅	tsɿ1	〜子花
桅	uᴇi2	船~
案	ei5	
桌	tɕyeʔ7	
桐	doŋ2	
桑	sɔ1	
椏	o1	
橋	dʑiɤ2	
槳	tɕia1	
樁	tsɔ5	
桶	doŋ4	
梁	ia2	
梅	mᴇi4	
梓	tsɿ3	
梗	kua3	~子:茎
梢	ɕiɤ1	树~
夢	moŋ6	
梧	ȵy2	2~桐.白
梧	vu2	~桐，文
梨	i2	
梭	sʊ1	织布〜
梯	tɕʰi1	
械	ʑie2	
梳	sɿ1	~头
檢	tɕi5	
棉	mi2	
棋	dʑi2	
棍	kuaŋ3	
棒	bɔ2	
棕	tsoŋ1	
棚	ba2	
棠	dɔ2	
森	saŋ1	
棵	kʰʊ1	
棹	tɕiɤ5	桨
棺	kuᴇi1	
椅	i1	
植	dʑieʔ8	
椒	tɕiɤ1	
橢	tʰʊ1	~圆
椽	dzø2	
椿	tsʰoŋ1	〜树
楂	dzo2	山~
楔	tɕʰi1	
楚	tʰu5	
楝	i6	〜树
楞	laŋ6	
楣	mᴇi2	
楦	sø3	鞋~
楷	kʰɛ1	
樓	lɯ2	
概	ke5	
欖	lɛ2	橄〜
榆	y6	
榛	dʑiŋ2	
榜	pɔ3	
榧	fi1	〜子
榨	tso5	~油
榴	iu2	石~
榻	tʰɐʔ5	
槌	zᴇi2	
槐	uᴇi1	
檳	piŋ1	~榔
槽	dzɤ2	马~
樟	tsɔ1	
模	mʊ2	~范
模	mɔʔ8	~子
橫	ɦoŋ6	~直
橫	ɦua2	蛮〜
櫻	iŋ1	~桃
樵	dʑiɤ2	
橄	kei3	~榄
橘	tɕyeʔ7	
橙	dʑiŋ2	〜子
橛	dʑyeʔ8	~子
橡	ʑia4	〜树
櫓	lu4	
檀	dɛ2	
檐	i2	
欠	tɕʰi5	
次	tsʰɿ5	
歡	huᴇi1	
欣	ɕiŋ1	
歐	ɯ1	
欲	yeʔ8	
欺	tɕʰi1	
款	kʰuᴇi3	
歇	ɕieʔ7	
歉	tɕʰi5	
歌	kʊ1	
止	tsɿ3	
正	tɕiŋ5	
正	tɕiŋ1	~月
此	tsʰɿ1	
步	bu6	
武	vu4	
死	sɿ3	
殲	tɕʰi1	〜灭
殃	ia1	
殆	de6	
殉	ɕyoŋ5	
殊	zʮ2	
殘	dzɛ2	
殮	i6	
殖	dʑieʔ8	
殯	piŋ1	
段	dø6	
殷	iŋ1	
殿	dʑi6	
毁	huᴇi3	
毅	ȵi2	
母	mɯ2	
母	m̩4	2
每	mᴇi4	
毒	dɔʔ8	
比	pi5	〜较
畢	pieʔ7	
斃	bi6	
毛	mɤ2	
毡	tɕi1	
毫	ɦɤ2	
毯	tʰɛ3	
氏	zɿ4	
民	miŋ2	
气	tɕi5	
气	tɕʰi5	
水	sʮ3	
永	yoŋ3	
汀	tɕʰiŋ1	
汁	tɕieʔ7	
求	dʑiu2	
汆	tsʰø1	
汇	ɦuᴇi6	
漢	hei5	
汗	ɦei6	
汝	zʮ2	
汞	koŋ5	
江	kɔ3	
池	dzɿ2	
污	vu2	2~点
污	u6	〜水厂
湯	tʰɔ1	
汪	uɔ5	一~水
汽	tɕʰi5	
沂	i6	〜河
沃	ɤ5	
沈	ɕiŋ1	
沉	dʑiŋ2	
沌	taŋ5	
沓	dɐʔ8	一~纸
沙	so1	
沛	pʰᴇi5	
溝	kɯ1	
没	mɐʔ8	沉~，〜有
漚	ɯ5	久浸水中
淪	laŋ2	
滬	vu2	
沫	mɐʔ8	
河	ɦʊ2	
油	iu2	
治	tsʮ5	
沼	tɕiɤ3	池~，~气
沾	ȵi6	
沿	i2	
泄	ɕieʔ7	〜漏
泅	dʑiu2	游水
泉	dzø2	
泊	bɐʔ8	
泊	pɐʔ7	梁山~
泌	pi5	
泔	kei1	~水
法	fɐʔ5	方〜,~子
泛	fɛ5	
泡	pʰɤ5	
波	pʊ5	
泣	tɕʰi1	
泥	ȵi2	
注	tsʮ5	
淚	lᴇi6	
泰	tʰa5	
泳	yoŋ3	
瀉	ɕia5	
潑	pʰɐʔ7	
澤	dzɐʔ8	
潔	tɕieʔ7	
洇	iŋ1	
洋	ia2	
洒	sa5	
洗	ɕi1	
洛	lɔʔ8	
洞	doŋ6	
津	tɕiŋ1	
洪	ɦoŋ2	
洲	tɕiu1	
活	ɦuɐʔ8	
洼	ua1	
派	pʰa5	
流	iu2	
淺	tɕʰi3	
漿	tɕia1	
澆	tɕiɤ1	
濁	dzɔʔ8	
測	tsʰɐʔ5	
濟	tɕi5	
渾	ɦuaŋ2	~浊
滸	fu3	水〜
濃	ȵyoŋ2	
浙	tɕieʔ7	
浜	pa1	一条〜
浦	pʰu1	
浩	ɦɤ6	
浪	lɔ6	
浮	vu2	
浴	yeʔ8	
海	he3	
浸	tɕiŋ5	
涂	du2	
消	ɕiɤ1	
涉	ʑieʔ8	
涌	yoŋ3	
涎	ʑi2	
涕	tɕʰi1	鼻~
濤	tʰɤ1	
澇	lɤ6	旱~
潤	zoŋ2	
澗	tɕi5	
漲	tɕia3	
澀	sɐʔ5	
涮	sɔʔ7	~洗
涯	ia2	天~
液	ieʔ8	
涿	tsɔʔ7	〜县，〜鹿
淋	iŋ2	~漓，〜湿
淑	dʑieʔ8	
淘	dɤ2	~米
淡	dɛ4	
淤	y1	
淫	iŋ2	
淮	ɦua2	
深	ɕiŋ1	
混	ɦuaŋ2	相〜，~沌
淹	i5	
添	tɕʰie3	
清	tɕʰiŋ1	
淵	y1	
漸	dʑi2	
漁	y2	
滲	ɕiŋ5	水~透
渠	dʑi2	他
渡	du6	
渣	tso1	
溫	uaŋ1	
港	kɔ3	~口
渴	kʰɐʔ5	
游	iu2	
渺	miɤ2	
湖	vu2	
湘	ɕia1	
灣	uɛ1	
溼	ɕieʔ7	
潰	ɦuᴇi6	~脓
溉	ke5	
源	ȵy2	
溜	iu6	
溪	tɕʰi1	
溺	ʑieʔ8	~死
溻	tʰɐʔ5	汗〜湿了
滂	bɔ2	~沱
滋	tsɿ1	
滑	ɦuɐʔ8	
滓	tsɿ3	
滔	tʰɤ1	
滚	kuaŋ3	
滿	mø2	
濾	i2	
濫	lɛ2	
灘	tʰɛ1	
滴	tɕieʔ7	
漂	pʰiɤ1	
漂	pʰiɤ5	~亮
漆	tɕʰieʔ7	
漏	lɯ6	
演	i2	
漤	lɛ2	〜柿子，~菜
漫	mɛ2	
潘	pʰø1	
潛	dʑi2	
潭	dɛ2	
潮	dʑiɤ2	
澄	dzaŋ2	
澄	taŋ5	水浑，~一~
澡	tsʰɤ5	
激	tɕieʔ7	
瀑	pʰɔʔ7	~布
灌	kuᴇi5	
灒	tsɛ5	
火	hʊ3	
滅	mieʔ8	
燈	taŋ1	
灰	huᴇi1	
靈	iŋ2	
竈	tsɤ5	
灸	tɕiu5	针〜
災	tse1	
燦	tsʰɛ5	
爐	lu2	
炊	tsʰᴇi1	
炎	i2	
炒	tsʰɤ3	
炕	kʰɔ5	
炭	tʰɛ5	
炮	pʰɤ5	枪~
炸	tso5	~弹
炸	dzɐʔ8	用油〜
點	tɕie3	
煉	i6	
爛	lɛ6	
烈	ieʔ8	
烊	ia2	融化
烘	hoŋ1	~干
烙	lɔʔ8	
燭	tɕyeʔ7	
烟	i1	
烤	kʰɤ5	
煩	vɛ2	
燒	ɕiɤ1	
燙	tʰɔ5	
熱	ȵieʔ8	
焉	i6	心不在〜
焊	ɦei6	~铁壶
煥	huᴇi5	
焙	bᴇi2	~干
焚	vaŋ2	
焦	tɕiɤ1	
焰	ie2	
然	zø2	
煎	tɕi1	
煤	mᴇi4	
照	tɕiɤ5	
煨	uᴇi1	
煮	tsɿ3	
熄	ɕieʔ7	
熊	yoŋ2	
熏	ɕyoŋ1	
熔	yoŋ2	
熙	ɕi1	
熟	ʑyeʔ8	煮~,~悉
熨	iŋ5	
熬	ŋɤ2	
燃	zø2	
燎	iɤ2	火~眉毛
燕	i1	〜京.姓
燕	i6	〜子
爆	pɤ5	
爪	tsa1	~牙,~子
爬	bo2	
愛	e5	
爵	ʑieʔ8	
父	vu2	
爺	ia4	2白
爺	ie6	文
爸	pa1	
爹	tɕia1	
爽	sɔ1	
爿	bɛ2	阳声韵
片	pʰi5	
版	pɛ3	
牌	ba2	2~子
牌	bɛ2	打〜
牘	dɔʔ8	
牒	dʑieʔ8	
牙	ŋo2	2白
牙	ia2	文
牚	tsʰa5	椅子〜儿
牛	ŋɯ2	2白
牛	ȵiu2	文
牡	mɯ2	
牢	lɤ4	
牧	mɔʔ8	
物	vɐʔ8	
牯	ku1	
牲	saŋ1	2文
牲	sa1	白
牽	tɕʰi1	
特	dɐʔ8	
犧	ɕi1	
犀	ɕi1	
犁	i2	
犢	dɔʔ8	牛~子
犍	tɕi1	~子
犒	kʰɤ5	
犬	tɕʰy3	
犯	vɛ4	
狀	dzɔ6	
猶	iu2	
狂	uɔ6	
狄	dʑieʔ8	
狍	bɤ2	
狐	vu2	
狗	kɯ3	
狡	tɕiɤ3	
獨	dɔʔ8	
獅	sɿ1	
獄	yeʔ8	
狸	i2	
狼	lɔ6	
獵	ieʔ8	
猛	ma4	
猜	tsʰe1	
豬	tsʮ3	
猫	mɛ4	2多读此音
猫	mɤ4	
蝟	uᴇi6	阳声韵
獻	ɕi5	
猴	ɦɯ2	
猾	ɦuɐʔ8	狡~
玄	y2	
率	sᴇi5	〜领
率	ieʔ8	速~
玉	ȵyɔʔ8	
王	uɔ2	
玩	uᴇi2	古~,游~
環	ɦuɛ2	
現	i6	
璽	ɕi3	
玻	pʊ1	~璃
珊	sɛ1	
珍	tɕiŋ1	
珠	tsʮ1	
班	pɛ1	
球	dʑiu2	
理	i4	
琉	iu2	~璃
瑣	sʊ1	
琢	tsɔʔ7	
琲	fi5	
琴	dʑiŋ2	
琵	bi2	〜琶
琶	bo2	琵〜
瓊	dʑyoŋ2	
瑕	ʑia2	
瑞	zᴇi6	
瑟	sɐʔ5	
璃	i2	玻~
璧	pieʔ7	
瓜	ko3	
瓢	biɤ2	
瓣	bɛ6	
瓦	ŋo2	
瓮	oŋ1	
甌	ɯ1	
瓶	biŋ2	
瓷	tsʰɿ1	〜器
甘	kei1	
甚	soŋ1	
甜	dʑie2	
生	saŋ1	2文
生	sa1	白
甥	sa3	
用	yoŋ6	
甫	pʰu1	
甬	yoŋ3	~道
田	dʑi2	
由	iu2	
甲	tɕieʔ7	
申	soŋ1	
電	dʑi6	
男	nei2	
畫	ɦo6	
暢	tɕʰia5	
界	ka5	2白
界	tɕie1	文
畏	uᴇi5	
留	iu2	
畜	ɕyeʔ7	~牧，~牲
略	ieʔ8	
番	fɛ1	几~
疆	tɕia1	
疏	su1	〜远
疏	su1	注~
疑	ȵi2	
療	iɤ2	
瘧	ȵieʔ8	~疾,发〜子
瘍	ia2	溃〜
疤	pa1	2文
疤	po5	白
疥	ka5	
疫	ieʔ8	
瘡	tsʰɔ1	
瘋	foŋ1	
疲	bi2	
疵	tsʰɿ1	吹毛求〜
疹	tɕiŋ1	
疼	daŋ2	
疾	dʑieʔ8	
痂	tɕia1	
病	biŋ6	
症	tɕiŋ1	
痒	ia4	
痔	dzɿ2	
痕	ɦaŋ2	
痛	tʰoŋ5	
痢	i2	
痣	tsɿ5	
痰	dɛ2	
痱	fi5	~子
痳	ma2	
癡	tsʰʮ1	
痹	bi6	麻〜
瘟	uaŋ1	
瘦	sɯ5	
瘴	tsɔ1	〜气
癩	la6	
癬	ɕi1	
癸	kuᴇi1	
登	taŋ1	
白	bɐʔ8	
百	pɐʔ7	
皂	zɤ2	
的	tɕieʔ7	目〜
皆	tɕie3	
皇	ɦuɔ2	
皖	uᴇi4	安徽
皮	bi2	
皺	tsɯ5	
皿	baŋ2	
盂	y1	
盅	tsoŋ1	
盆	baŋ2	
盈	iŋ2	
益	ieʔ7	
盞	tsɛ3	
鹽	i2	
鹽	i6	腌
監	kɛ1	〜察，〜视，〜牢
監	kɛ5	国子~
盒	ɦɐʔ8	烟〜
盔	huᴇi1	
盖	ke5	
盜	dɤ6	
盤	bø2	
盛	ʑiŋ2	〜满了
盛	ʑiŋ2	兴~
盟	baŋ2	
目	mɔʔ8	
盲	mɔ6	
直	dʑieʔ8	
相	ɕia1	
相	ɕia5	~貌
盼	pʰɛ5	
盾	daŋ6	矛~，赵~
省	sa3	2反~
省	sa3	〜长
省	ɕiŋ3	反~
省	sa3	节〜
眉	mᴇi2	
看	kʰei1	~守
看	kʰei5	~见
真	tɕiŋ5	
眠	mi2	
眨	sɐʔ5	~眼
眩	y2	
眶	kʰɔ5	眼~
眷	tɕy3	
眼	ŋɛ4	
着	ʑyeʔ8	2睡~，附~
着	tɕieʔ7	~衣
着	tsɔʔ7	〜衣
着	dzɔʔ8	睡~.附〜
睜	tsa1	
睛	tɕiŋ1	眼~
睡	zᴇi6	
督	tɔʔ7	
睬	tsʰe5	
瞅	tɕʰiu1	
瞎	hɐʔ5	
瞞	mø2	
瞧	dʑiɤ2	
瞪	taŋ5	~眼
瞭	iɤ6	
瞳	doŋ2	
矛	mɯ2	
矢	sɿ1	
矣	i6	
知	tsʮ1	
矩	dʑy2	规〜
矯	tɕiɤ3	~作
短	tø3	
矮	a3	
石	zɐʔ8	
礦	kʰɔ5	
碼	mo4	2〜子.白
碼	ma4	〜子，文
砌	tɕʰieʔ7	
砍	kʰɛ3	
砑	ŋo6	~平
研	ȵi2	
磚	tsø1	
硯	ȵi2	
破	pʰʊ5	
礎	tʰu5	柱下石
硝	ɕiɤ1	
硫	iu2	~黄
硬	ŋa6	
確	tɕʰyeʔ7	
礙	ŋe2	
碎	sᴇi5	
碑	pᴇi5	
碓	tᴇi5	
碗	uᴇi3	
碟	dʑieʔ8	
碧	pieʔ7	
鹼	kɛ3	
碾	ȵi4	
磁	dzɿ2	〜石
磉	sɔ1	柱下石
磕	kʰɐʔ5	
磨	mʊ2	~面，石〜
磨	mʊ2	〜刀
磷	iŋ2	
示	zɿ4	
禮	i4	
社	dzo2	
祀	dzɿ2	祭~
祈	dʑi2	
祈	tɕʰi3	
祖	tu3	
祝	tsɔʔ7	
神	zoŋ2	
祠	dzɿ2	
祥	ʑia2	
票	pʰiɤ5	车~
祭	tɕi5	
禱	tɤ5	
禍	ɦʊ4	
禁	tɕiŋ1	~不住
禁	tɕiŋ5	~止
祿	lɔʔ8	
禪	zø2	2~宗
禪	tsʰɛ3	~宗
禪	zø2	〜让
福	fɔʔ7	
禹	y2	
离	i2	~开半寸
离	i2	〜别
禽	dʑiŋ2	
禾	ɦʊ2	
秀	ɕiu5	
私	sɿ1	
秃	tʰɐʔ5	
稈	kei3	稻~
秉	piŋ3	
秋	tɕʰiu1	
種	tsoŋ1	~类
種	tsoŋ5	~树
科	kʰʊ1	
秒	miɤ2	
秕	pi5	~子,~谷
秘	pi5	
租	tu1	
秤	tɕʰiŋ5	一杆~
秦	dʑiŋ2	
秧	ia1	
秩	dʑieʔ8	
秫	ʑyeʔ8	
積	tɕieʔ7	
稱	tɕʰiŋ5	~呼，~重量
稱	tɕʰiŋ5	相~
秸	tɕieʔ7	麦~
移	i2	
穢	uᴇi5	
稀	ɕi1	
程	dʑiŋ2	
稍	ɕiɤ1	
税	sᴇi5	
稚	tsʮ5	幼~
稠	dʑiu2	
穩	uaŋ1	
稻	dɤ4	
稼	tɕia5	
稽	tɕi5	
稿	kɤ5	
穆	mɔʔ8	
穗	zᴇi6	
穴	yeʔ8	
究	tɕiu5	
窮	dʑyoŋ2	
空	kʰoŋ1	~虚
空	kʰoŋ5	~缺
穿	tsʰø1	
突	dɐʔ8	
窄	tso5	
竅	tɕʰiɤ3	
窯	iɤ2	
窖	tɕiɤ5	
窗	tsʰɔ1	
竄	tsʰø1	
窩	ʊ1	
窟	kʰu5	〜窿
窠	kʰʊ1	
窺	kʰuᴇi1	
窨	iŋ5	地~子
立	dʑi2	
立	ieʔ8	
豎	zʮ4	
站	dzɛ6	立
站	dzɛ6	车~
競	tɕiŋ5	
竟	tɕiŋ5	
章	tsɔ1	
童	doŋ2	
端	tø1	
竹	tɕyeʔ7	
竿	kei1	竹~
篤	tɔʔ7	
笋	ɕyoŋ3	
笑	ɕiɤ5	
筆	pieʔ7	
笛	dʑieʔ8	
笠	ieʔ8	
笡	tɕʰia3	斜
符	vu6	
笨	baŋ6	
第	dʑi6	
籠	loŋ2	
等	taŋ3	
筋	tɕiŋ1	
筏	vɐʔ8	
筐	kʰɔ5	
筑	tɕyeʔ7	
筒	doŋ2	
答	tɐʔ5	
策	tsʰɐʔ5	
篩	sɿ1	〜子
箏	tsaŋ1	
筵	i2	
筷	kʰuɛ5	
籌	dʑiu2	
签	tɕʰi1	
簡	tɕi3	
箅	pi5	~子
箍	ku1	
算	sø5	
管	kuᴇi3	
籮	lʊ2	
簫	ɕiɤ1	
箭	tɕi5	
箱	ɕia1	
箸	tsʮ5	筷子
篇	pʰi1	
簍	lɯ4	
篙	kɤ1	进船竿
篡	tsʰø5	
籃	lɛ2	
籬	i2	
篷	boŋ2	
篾	mieʔ8	竹~
簧	ɦuɔ2	锁~
簪	tsɛ1	
簪	tsei1	2
簿	bu2	
籍	ʑieʔ8	
米	mi4	
糴	dʑieʔ8	
類	lᴇi6	
粉	faŋ3	
粒	ieʔ8	
粗	tʰu1	
粘	ȵi6	~贴
粟	sɔʔ7	
粥	tɕyeʔ7	
糞	faŋ5	
糧	ia2	
粱	ia2	
粳	ka1	〜米
粹	tsʰᴇi5	纯~
糉	tsoŋ5	
精	tɕiŋ1	
糍	tsʰɿ1	
糕	kɤ1	
糖	dɔ2	
糙	zɤ2	粗〜，~米
糜	mi2	~子
糜	mi2	粥
糟	tsɤ1	
糠	kʰɔ1	
糯	nʊ6	~米
系	ɕi5	
系	tɕi5	〜鞋带
素	su5	
索	sɔʔ7	绳〜
緊	tɕiŋ3	
紫	tsɿ1	
累	lᴇi4	~积
累	lᴇi6	极困
累	lᴇi6	连~
絮	zʮ6	
繁	vɛ2	
糾	tɕiu1	
紅	ɦoŋ2	
紂	dʑiu2	桀~
約	ieʔ7	
級	tɕieʔ7	
紀	tɕi5	~律,世〜，年~
紉	zoŋ2	缝〜
緯	uᴇi6	
純	zoŋ2	
紗	so1	
綱	kɔ1	
納	nɐʔ8	
縱	tsoŋ5	~横,放~
紛	faŋ1	
紙	tsɿ3	
紋	vaŋ2	
紡	fɔ1	
紐	ȵiu4	
線	ɕi5	
練	i6	
組	tu3	
細	ɕi5	
織	tɕieʔ7	
終	tsoŋ1	
縐	tsɯ5	
絆	bø2	
紹	ʑiɤ4	
經	tɕiŋ1	〜纬，~线
綁	pɔ3	
絨	ȵyoŋ2	
結	tɕieʔ7	
繞	ȵiɤ6	~线
繞	ȵiɤ4	围~
繪	ɦuᴇi6	
給	tɕieʔ7	~你.供~
絡	lɔʔ8	
絶	dzɔʔ8	
絞	tɕiɤ3	
統	tʰoŋ1	
絹	tɕy3	
繡	ɕiu5	
繼	tɕi5	
績	tɕieʔ7	
緒	zʮ4	
續	dzɔʔ8	
綽	tsʰɔʔ7	宽~
繩	ʑiŋ2	
維	vi2	
綿	mi2	
綢	dʑiu2	
綜	tsoŋ1	
綻	tsɛ5	破〜
綠	lɔʔ8	
緬	mi4	
纜	lɛ2	
緝	tɕʰieʔ7	~鞋口
緞	dø6	
緩	ɦuᴇi2	
縷	lɯ4	丝〜
編	pi1	
緣	y2	
縛	vɔʔ8	
縫	boŋ2	~衣服
縫	voŋ6	一条~
纓	iŋ1	
縮	sɔʔ7	
繮	tɕia1	〜绳
繰	tɕʰiɤ1	〜边
繳	tɕiɤ1	上~
缸	kɔ1	
缺	tɕʰyeʔ7	
