#漢字	音標	解釋
㵺	pʰai2	竹排
我	ŋo5	涯,第一人称[白]
戒	kai5	~烟,猪八~
或	va6	~者
截	tsit8a	~断
戰	tsin5	~斗
戲	hɐi5	做~
戴	tai5	姓;~帽
户	fu5	~口
戽	fu5	~水(泼水),~斗
房	foŋ2	~间
房	foŋ2	姓,~玄龄
所	su3	~以;派出~
扁	pin3	圆扁
扇	sin5	扇子[名]
手	sɐu3	~脚,~段
才	tsʰui2	人~,~气,秀~
托	tʰok7b	手承物,~盘
扣	kʰɐu5	~钱,~压
扭	nɐu3	~面帕,~动
扮	pæŋ6	打~
扯	tsʰiɛ3	~开,~烂
扳	pæŋ3	~手,~开
扶	fu2	~贫,~手[文]
扶	pʰɐu2	搀扶,~起来[白]
批	pʰɔi1	~评,大~
批	pʰɔi7a	螺丝~
找	tsau3	~钱,查~
承	sɐŋ2	~担,继~
技	kɐi6	~术[文]
技	kɐi6	杂~[白]
抄	tsʰau1	~书
把	pa3	~握,~脉
抑	jiɐk7a	~制,压~
抓	tsa1	~紧
投	tʰɐu2	~降
抖	tɐu3	发~
抗	kʰoŋ5	反~,~战
折	tsit7b	~断,打~
折	sit8a	~本(赔本)
披	pʰɐi1	~肩,~露
抬	tʰui2	两个人抬
抱	pʰɐu5	拥抱
抵	tɔi3	~押
抵	tɔi3	用手抵挡
抹	maʔ7b	~桌,~布
押	ŋaʔ7b	抵~,~送
抽	tsʰɐu1	~出
拇	bɐu5	~指
拈	nin6	用指头捏取物,~起来
拉	lai1	拖~
抛	pʰau1	~弃
拌	pəŋ6	凉~,搅~
拍	pʰaʔ7b	~片,~球
拐	kuai3	~卖,铁~李
拒	kui6	~绝
拔	paʔ8a	~河,选~
拖	tʰo1	~拉机
拘	kui1	~留
拙	tsit8a	勤能补~
拚	pʰəŋ5	~命
招	tsiu1	~生
拜	pai5	结~,礼~,~佛
括	kʰuək7b	包~
拯	tsʰɐŋ3	~救;包~(人名)
拳	kʰin2	~头
拾	saʔ8a	收~
拿	na2	~手,推~
持	tsʰi2	支~
指	tsi3	手~,~甲
按	uəŋ6	~照
挑	tʰiu1	~剔,~担
挖	uaʔ7b	~掘[文]
挖	uaʔ7b	穵[白]
挨	ɡai1	~打,~近
挪	lo2	~用公款
振	tsɐn5	~动
挽	uæŋ5	~留,手~手
挾	kʰin1	~菜
捉	tsək7a	捕~,~棋(下棋)
捋	lit8a	捋袖子
捎	sau1	~带,~口信
捏	lit8a	以指尖捏取小面积
捐	kin1	~钱
捕	pɐu1	逮~,~快
捨	siɛ3	~唔得(舍不得)
捱	ŋai2	难~,~苦
捲	kin3	~起来[动]
捷	tsit7b	~报,大~,敏~
捺	naʔ8a	撇~
掀	hin1	~起[文]
掀	hin1	~被[白]
掂	tin6	~量
掃	sɐu3	~地[动]
掃	sɐu5	~把[名]
掇	tok8a	端东西,~菜
授	sɐu6	教~
掉	tiu6	~头,~队
掌	tsiøŋ3	巴~,~握
排	pʰai2	~队
掘	kuat8b	挖~
掘	kuɐʔ8a	挖~
掛	kʰua5	~起来,牵~,~钩
掠	liak7b	~夺
採	tsʰui3	~集
探	tʰæŋ5	试~
接	tsit7b	迎~,~待
推	tʰui1	~荐,~动
掩	jin5	~护
措	tsʰɐu5	~施
揀	kæŋ3	挑选
描	biu2	~写
提	tʰɔi2	~问,~醒
插	tsʰaʔ7b	~花
揖	jiɒʔ7a	作~
揚	jiøŋ2	表~,发~
換	uəŋ6	交~[文]
換	uəŋ6	~水[白]
換	uəŋ7a	金不换[白]
揞	ŋɔŋ3	手覆,揞住
揞	sɔŋ3	把粉末撒在表面
握	ɡaʔ7b	~手,把~
揭	kʰit7b	~发,~露
揭	kʰit7b	~阳(地名)
揮	fuɔi1	指~
援	hin2	~助,支~
損	sin3	~坏
摇	jiu2	动~,~篮
搜	sɐu3	~查
搞	kau3	~活动
搧	sin5	扇扇子,扇耳光[动]
搬	pəŋ6	~运
搭	tæʔ7b	~车;衣服搭在肩上
搶	tsʰiøŋ3	~劫
摔	sɐt8a	~跤
摟	lɐu5	搂抱
摧	tsʰui1	~残
摩	mu7a	~擦,按~
摸	bo3	偷偷~~[文]
摸	bo3	~来~去[白]
摹	mɐu2	~仿,描~
摺	tsit7b	~被,~叠
撇	pʰit8b	~捺,~开
撈	lɐu2	打~局[文]
撈	lɐu2	~起来[白]
撒	sæŋ5	~手,~种
撕	sɐi1	~烂
撚	lin3	以指捻碎
撞	tsoŋ6	~人
撤	tsʰit7b	~退
撥	pək8a	~款
撩	liu2	~起来
撩	liu2	~人
撫	fu3	~养,安~
撮	tsʰaʔ8a	一~毛
撼	hæŋ6	震~
擋	toŋ3	阻~,~风
操	tsʰɐu6	做~,~作
擒	kʰɒŋ2	~拿
擔	tæŋ1	~任[动]
擔	tæŋ5	~竿[名]
擔	tæŋ5	挑~[名];一~水[量]
據	kui6	收~
擠	tsɔi1	拥~,~时间
擦	tsʰaʔ7b	~车
擬	ji5	模~,~人
擱	kok7b	耽~
擴	kʰoŋ5	~充,~大
擺	pai3	摇~
擾	jiu3	打~,~乱
攀	pʰæŋ1	~登,高~
攢	tsæŋ6	积~
攔	læŋ2	~路
攜	kʰuɔi2	~带,提~
攝	sit7b	~影
攤	tʰæŋ1	分~,~开,摆~
攪	kau3	搅拌
攬	læŋ3	包~[文]
攬	læŋ3	抱[白]
支	tsi1	两~笔[白,量]
支	tsi1	~持,天干地~[文]
收	sɐu1	丰~,~集
改	kui3	修~,~正
放	foŋ5	解~,~心[文]
放	foŋ5	~手[白]
故	ku5	~事,~乡
效	hau6	~果
敍	tsui6	倒~
敏	bɐn5	灵~
救	kɐu5	~命
敗	pai6	失~
教	kau5	~书
教	kau1	~育,~师
敢	kæŋ3	勇~
散	sæŋ3	药~
散	sæŋ5	分~,解~
敦	tɐn1	~厚;伦~(地名)
㪗	tʰɐu3	~气(呼吸)
敲	hau1	~锣打鼓
敷	fu1	~衍,~药
數	sɐu3	~落,~星星[动]
數	sɐu5	~字,~学
斂	lin5	收~
斃	pɔi6	枪~
文	mɐn2	~章,论~
斑	pæŋ6	~马
斗	tɐu3	十升为一斗
料	liu7a	肥~,材~
斜	tsʰiɛ2	倾~[文]
斜	miɛ3	不正[白]
斟	tsɐŋ1	~酒,~酌
斤	kɐn1	~两
斧	pɐu3	~头
斬	tsæŋ3	白~鸡
斯	sɐi1	~大林
新	sɐn1	~旧
新	sɐm1	~妇(儿媳妇)
斷	tin1	判~,~案
斷	tin6	~绝[文]
斷	tʰin5	线断了[白]
方	foŋ1	地~,大~
於	ji1	在~
施	si1	措~;姓
旁	pʰoŋ2	~边
旅	lui5	~游
旋	sin2	~转
旗	kʰɐi2	红~
旣	kɐi5	~然
日	jɐt8a	十~,~期
旦	tæŋ5	元~,花~
旨	tsi3	圣~
早	tsɐu3	还~
旬	sɐn2	上~
旱	fəŋ5	干旱
旺	voŋ6	兴~
昂	ɡoŋ2	~首挺胸,气~~
昆	kʰuɐn1	~明,~虫
昌	tsʰiøŋ1	~盛
昏	fɐn1	黄~
易	ji6	容~
春	tsʰɐn1	立~
昧	bək8a	愚~,拾金不~
昨	tsiok7b	昨天
昭	tsiu1	王~君
是	si6	~否,~非
時	si2	~间,当~
晃	foŋ3	摇~,~动
晃	foŋ3	~光
晉	tsɐn5	山西简称;魏~南北朝
晏	ŋæŋ5	晚、迟;~子使楚
晚	mæŋ5	~会
晝	tsɐu5	上~,~夜
晦	fui5	~气
晨	sɐn2	朝~
普	pʰɐu3	~通,~遍
智	tsi5	~慧
暈	vɐn2	~车,头~[训]
暑	sy3	~假
暖	lin5	冷~
暗	ŋɔŋ5	不亮
暢	tsʰiøŋ5	~快,通~
暫	tsæŋ6	~时
暮	mɐu6	日暮
暴	pɐu6	~雨,残~
曉	hiu5	春~,~得
曠	kʰoŋ5	空~,~课
曰	jit8b	子~
書	sy1	读~
曹	tsʰɐu2	姓
曾	tsɒŋ1	姓
曾	tsʰɒŋ2	~经
替	tʰɔi5	代~,~身
最	tsui5	~好
會	vui6	~计
會	vui7a	开~
會	vui5	~睡,~来
月	jit8b	三~
有	jiɐu5	~钱
朋	pʰɒŋ2	~友
朔	sok7b	每月初一,~望
朗	loŋ5	~诵,明~
望	boŋ6	失~
朝	tsiu1	~晨,三~
朝	tsʰiu2	~代
期	kʰɐi2	日~
未	mɐi6	~来;地支
末	bək8a	~尾
本	pəŋ3	~来,书~
朮	sɐt8a	白~(中药)
朱	tsi1	姓
朶	tiɔŋ3	一~花,花~
朽	nɐu3	腐~,永垂不~
杈	ŋa7a	桠~,树~
杉	tsʰæŋ3	~树
李	lɐi5	姓;水果
材	tsʰui2	材,药~,~料
村	tsʰin1	~长
杖	tsiøŋ7a	拐~
杜	tɐu6	姓;杜仲(中药)
杞	kɐi3	枸~
杠	koŋ5	高低~
杭	hoŋ2	~州
杯	pui1	茶~
杳	biu5	~无音讯
杷	pʰa2	枇~
板	pæŋ3	黑~,石~
枇	pʰɐi2	~杷
枉	voŋ3	冤~
枕	tsɐŋ3	~头[名];~枕头[动]
林	lɐm2	树~;姓
枚	bui2	两~
果	ku3	水~
枝	tsi1	树~
枯	ku1	干~,~水
架	ka5	书~
柏	pʰa5	松~,~树;~林(地名)
某	bɐu5	~人
柑	kæŋ6	
染	jin5	污~
染	zin5	~色
柔	jiɐu2	温~,~和
柚	jiɐu7a	沙田~
查	tsʰa2	调~
柩	kau5	灵~
柱	tsʰi5	柱子
柳	lɐu5	~树
柴	tsʰai2	姓;火~
柿	sɔi1	柿子,~饼
栗	lɐʔ7a	~子
校	kau5	~对
校	kau5	调校
校	hau6	学~,~长,上~
株	tsi1	守~待兔
核	hɐʔ8a	~心,~对[文]
核	fɐt8a	龙眼~[白]
核	fɐt8a	~卵(睾丸)[白]
根	kɐn1	~本,树~
栽	tsui1	种,~培
桂	kuɔi5	~花
桃	tʰɐu2	杨~,~花
桅	ɡɔi2	~杆
案	uəŋ5	~件,档~
桌	tsiak7b	书~
桑	soŋ1	~叶
桓	haŋ2	齐~公
桿	kəŋ7a	旗~,杠~
梅	bui2	~花
梓	tsɐi3	桑~;曾宪~
梔	tsi1	黄~(水横枝、黄果)
條	tʰiu2	~件,字~
梢	sau7a	树~
梧	ŋ̍2	~桐
梨	lɐi2	
梭	su1	穿~,~子蟹
梯	tʰɔi1	楼~
械	hai5	机~
梳	su1	梳子[名];梳头[动]
棄	hɐi5	放~,抛~
棉	bin2	~花
棋	kʰɐi2	围~,捉~(下棋)
棍	kuɐn5	长~
棒	pʰɒŋ5	棍~,~打鸳鸯
棗	tsɐu3	红~
棠	tʰoŋ2	海~
棧	tsæŋ6	客~;碗橱,碗~
森	sɐŋ1	~林
棲	tsʰɔi1	两~动物
棵	tɐu1	一~树
棺	kəŋ1	~材
椅	ji3	椅子,藤~
植	tsɐk8a	~物
椏	ŋa7a	~杈
椒	tsiu1	胡~
橢	tʰu1	~圆
椿	tsʰɐn1	~树,香~
楂	tsa1	山~
楊	jiøŋ2	姓;~树
楔	sit7b	~入去(塞进去)[训]
楚	tsʰo3	清~
楝	lin7a	苦~树
楣	bɐi2	门~
業	jit8a	事~,~余
極	kɐk8a	南~
楷	kʰai3	~书,~模
概	kʰui5	大~,~括
榜	poŋ3	~样
榨	tsa5	~菜,~油
榫	sɐn3	~头(接合处)
榴	lɐu2	石~,~莲
構	kɐu5	结~,~造
槌	tsʰui2	木~[名];[动]
槍	tsʰiøŋ7a	手~
槐	vai2	~树
槽	tsʰɐu2	猪~,水~
樁	tsoŋ1	打~
樂	lok8a	~观,快~
樂	lok8b	音~
樑	liøŋ2	姓;~山(地名)
樓	lɐu2	~下
標	piu1	~准,~志,招~
樞	sy1	中~,~纽
樟	tsiøŋ1	~脑丸;~木头(地名)
模	mɐu2	~型,~范
樣	jiøŋ6	一~
樣	jiøŋ6	~般
樵	tsʰiu1	柴
樸	pʰok8a	~素
樹	sʏ6	~立,种~
橋	kʰiu2	大~
橘	kɐt7a	橘子
橙	tsʰæŋ3	橙子
機	kɐi1	~会,飞~
橡	tsiøŋ6	~胶,~树
檀	tʰæŋ2	~香
檔	toŋ3	~案
檜	kʰui5	人名,秦~
檢	kin3	~查,体~
檳	pɐn1	~榔
櫃	kuɔi6	~台
欄	læŋ2	~杆
權	kʰin2	~利
欖	læŋ3	橄~,乌~
欠	hin5	~钱,拖~
次	tsʰɐi5	名~,~品
欣	jɐn1	~赏
欺	hɐi1	~负
欽	jiɒŋ1	~差,~佩
款	fəŋ3	汇~,拨~
歇	hit7b	~夜(过夜)
歉	hin5	道~,~意
歌	ko1	唱~,~声
歐	ɡɐu1	~洲;姓
歡	fəŋ1	喜~,~喜
止	tsi3	停~,~血
此	tsʰɐi3	到~为止
步	pɐu1	跑~
武	mɐu5	~器,~术
歪	vai1	~风邪气
歲	sui5	万~,~月[文]
歲	sui5	十~,~数[白]
歸	kuɔi1	回~,~类
死	sɐi3	~人
殃	jiøŋ1	遭~,~及
殆	tui6	百战不~
殉	sɐn5	~职,~情
殊	sʏ2	特~
殖	tsɐk8a	繁~
殘	tsʰæŋ2	~废
殮	lin5	给死者穿衣入棺,~尸
殯	pɐn5	~仪馆,出~
殲	tsʰin1	~灭
段	tin6	姓;阶~
殷	jɐn1	姓;~勤
殺	saʔ7b	~人,自~
殼	hok7b	贝~
殿	tin6	宫~
毁	fɐi3	~灭
毅	ɡɔi6	~力
毆	ɡɐu1	~打
母	bɐu5	父~
每	bui5	~只,~日
比	pɐi3	~较,对~
毛	bɐu2	~病,鸡~
毫	hɐu2	~米
氈	tsin7a	羊毛~
氏	si6	姓~
民	bɐn2	人~,~族
氣	hɐi5	~人,空~
水	sui3	~果,~平
汁	tsɐʔ8a	菜~,果~
求	kʰɐu2	要~
汗	fəŋ6	出~,~马功劳
污	vu1	~染
江	koŋ1	长~,~湖
池	tsʰi2	水~
汪	voŋ1	姓,~洋
汴	pin6	~京(北宋都城)
決	kʰit7b	~定
汽	hɐi5	~水,~车
沈	sɐŋ3	姓;地名,~阳
沉	tsʰɐŋ2	~底
沌	tɐn6	混~
没	bək8a	沉~,~有,出~
沓	tæʔ8b	一~纸
沙	sa7a	泥~,~漠
沛	pʰui6	充~
沫	bək8a	泡~
河	ho2	黄~
油	jiɐu2	麻~
治	tsi5	~安,统~[文]
治	tʰɔŋ1	~鸡,~猪[白]
沼	siu6	~气
沾	lin1	~光
沿	jin2	边~,~江路
况	foŋ3	情~,~且
泄	sit7b	~漏,排~
泉	tsʰin2	~水,喷~
泊	pok7b	梁山~
泊	pok7b	停~,淡~
泌	pɐi5	分~;滤出汤汁
法	faʔ7b	方~
泛	fæŋ6	广~,~滥[文]
泛	fæŋ6	中空,~谷[白]
泡	pʰau7a	灯~;泡沫(多~)
泡	pouk8a	起~[训,瘭]
泡	pʰau5	~茶
波	po1	风~,~浪
泣	jiɒʔ7a	~血,哭~
泥	nɔi2	水~,地~(地板)
注	tsi5	~意
泰	tʰai5	~山
洋	jiøŋ2	太平~
洗	sɔi3	~菜,~衣机
洛	lok7b	~阳(地名)
津	tsɐm1	天~(地名)
洲	tsɐu1	亚~
活	uək8a	生~
洽	hɐʔ8a	~谈会,融~
派	pʰai5	正~,~出所
流	lɐu2	河~[文]
流	lɐu2	~汗[白]
浙	tsit7b	~江(地名)
浦	pɐu5	黄~江
浩	hɐu6	~~荡荡;人名用字
浪	loŋ6	风~,~费
浮	fɐu2	轻~,~力;云~(地名)
浮	pʰɐu2	~起来[白]
海	fui3	大~
浸	tsɐŋ5	~水
消	siu1	~化
涉	sit7b	~及
涕	tʰɔi5	~泪纵横
涯	ŋai2	天~
淆	ɡau2	混~
淋	lɐŋ2	~湿,~菜
淘	tʰɐu2	~米,~沙
淚	lui6	眼~
淡	tæŋ6	~水(地名)
淡	tʰæŋ5	咸~;浓~
淤	ji3	~泥
淩	lɐŋ2	冰淇~,壮志~云
淪	lɐn2	沉~
淫	jiɒŋ2	~荡
淮	vai2	~河,~北
深	sɐŋ1	~浅,~入
淵	jin1	深~,~源
混	vɐn6	~淆,相~
淹	jin3	~没
淺	tsʰin3	深~
添	tʰin1	~加,~丁
滲	tsʰɐŋ5	~水
減	kæŋ3	加~
渠	kʰui2	水~,~道
渡	tɐu6	偷~,摆~
渣	tsa1	药~
測	tsʰaʔ8a	~量,观~
港	koŋ3	~口;香~(地名)
渴	fək7b	口渴;~望
渺	biu5	~小,~茫
渾	fɐn6	~浊[文]
湊	tsʰɐu5	~数,~热闹
湖	fu2	西~
湘	siøŋ1	湖南简称,~江
湯	tʰoŋ1	煮~;姓
溉	kʰui5	灌~
源	jin2	~头,来~
準	tsɐn3	瞄~,~则
溜	syɛ6	~滑梯
溝	kɐu1	~通
溪	kʰɔi1	~水
溫	vɐn1	~度,~和
滂	pʰoŋ2	~沱
滅	bit8a	消~,~亡
滋	tsɐi1	~味
滑	uaʔ8b	地~,~稽
滔	tʰɐu1	~~不绝,波浪~天
滯	tsɔi6	停~,湿~(中医)
濱	pɐn7a	哈尔~(地名)
滬	fu5	上海简称
滷	lɐu5	盐~,~水
滸	vu3	水~
滚	kuɐn3	~动;水开
滿	bəŋ5	~意
漁	ji2	~业,~夫
漂	pʰiu1	~流
漂	pʰiu5	~白,~亮
漆	tsʰɐt7a	油~
漏	lɐu6	~水,~斗
演	jin3	~员,表~
漚	ɡɐu5	久浸水中,~坏,~肥
漢	fəŋ5	~人
漫	mæŋ6	~画,~长
漲	tsiøŋ5	~价,~潮
漸	tsin6	逐~
漿	tsiøŋ7a	豆~,~糊
潑	pʰək7b	~水;泼辣
潔	kit7b	~白,清~
潘	pʰəŋ1	姓
潛	tsʰin2	~力
潤	jɐn6	利~,~色
潭	tʰæŋ2	深~
潮	tsʰiu2	~湿,涨~
潰	kʰui3	~疡,胃~疡
澀	kit7b	柿子~[训]
澄	tsʰɐŋ2	~清[文]
澄	kʰɐŋ2	水浑,澄一澄[白]
澄	tsʰɐŋ2	~海(地名)[白]
澇	lɐu2	洪~,旱~
澳	nɐu5	~门
濁	tsʰək8a	浑~
濕	saʔ8b	潮~
濟	tsɔi5	~公,经~
濤	tʰɐu2	波~
濫	læŋ6	泛~
濺	sæŋ6	~一身水
濾	lui6	过~
瀉	siɛ5	腹~,一~千里
灌	kuəŋ5	~溉
灑	sa5	~水
灑	sa5	潇~,~水
灘	tʰæŋ1	沙~
灣	uæŋ7a	台~,海~
火	fu3	着~,~车
灰	fui1	石~,~色
灸	kɐu5	针~
災	tsui1	水~
炊	tsʰui1	野~
炎	jin2	消~,~热
炒	tsʰau3	~股,~菜
炭	tʰæŋ5	烧~
炮	pʰau5	枪~
炸	tsa5	~药
爲	vɔi2	作~,行~,~人
爲	vɔi6	~什么
烈	lit8a	~士,热~
烏	vu1	
烙	lok7b	~印
烤	hau7a	烧~
烹	pʰæŋ1	~调
焙	pui6	~火
焚	fɐn2	~烧
無	mɐu5	没有,~中生有[文]
無	mɐu2	没有,~事[白]
焦	tsiu1	姓
焰	jin6	火~
然	jin2	~后,居~
煎	tsin1	~药,~鱼
煙	jin1	冒~
煠	tsaʔ8a	~番薯(水煮地瓜)
煤	bui2	烧~,~矿
煥	fəŋ3	~然一新
照	tsiu5	~明,~顾
煨	vui1	~番薯
煩	fæŋ2	麻~
煮	tsi3	~饭
熄	sɐk8b	~火
熏	fɐn1	~陶,烟~人[文]
熏	fɐn6	烟~人,~蚊[白]
熙	hɐi1	康~
熨	tʰoŋ5	~斗[训]
熬	ɡɐu2	~汤,~夜
熱	jit8a	冷~,~情
燃	jin2	~烧
燈	tɒŋ6	~光
燎	liu2	星星之火,可以~原
燐	lɐn2	~肥
燒	siu1	~水,发~
燕	jin3	姓;~京,~山(地名)
燕	jin3	燕子,~窝
燙	tʰoŋ6	~手
燦	tsʰæŋ5	~烂
爆	pau5	~炸
爐	lɐu7a	火~
爛	læŋ6	灿~,腐~
爪	tsau3	鸡~
爬	pʰa2	~树
父	fu5	~亲
爸	pa1	爸爸
爹	tiɛ7a	~娘
爺	jiɛ2	父亲;爷爷[文]
爽	soŋ3	~快,直~
爾	ji5	~虞我诈;保~(人名)
牀	tsʰoŋ2	眠~
牆	tsʰiøŋ2	~壁
片	pʰin5	一~,~面
版	pæŋ3	出~
牌	pʰai2	~坊,~匾[文]
牌	pʰai7a	打~[白,训]
牒	tit8a	通~,文~
牙	ŋa2	~齿,刷~
牛	ŋɐu2	~牯
牡	bau5	~丹
牢	lɐu2	~房,坐~
物	mɐt8a	~理[文]
物	mɐt8a	~件[白]
牯	ku3	牛~
特	tɒʔ8b	~别
牽	hin1	~牛花
犀	sɔi1	~牛
犁	lɔi2	耕田用具
犒	kɐu3	~劳,~赏
犧	hɐi1	~牲
犬	hin3	狂~病
犯	fæŋ6	~法[文]
犯	fæŋ6	触犯[白]
狀	tsoŋ6	告~,~元,~态
狂	kʰoŋ2	发~
狐	fu2	~狸
狗	kɐu3	
狡	kau3	~猾
狸	lɐi7a	狐~
狹	haʔ8a	~窄[文]
狹	keiʔ8a	空间小[白]
狼	loŋ2	~狈,豺~
猛	bæŋ5	~烈,凶~
猜	tsai1	~谜
猝	tsɐt7a	仓~,~死
猴	hɐu2	猴子
猶	jiɐu2	~豫
猾	uaʔ8b	狡~
獅	sɐi7a	狮子
獎	tsiøŋ3	~金,得~
獵	lit8a	打~,~人
獸	sɐu5	野~
獺	tsʰaʔ7b	水~
獻	hin6	贡~
玄	jin2	~妙
率	lɐt8b	效~
率	sɐt7a	~领
王	voŋ2	姓;大~
玩	uaŋ3	~具,游~
玫	bui2	~瑰
玻	pu7a	~璃
珊	sæŋ1	~瑚
珍	tsɐn1	~珠
珠	tsi7a	珍~
班	pæŋ6	上~
現	hin6	~在,出~
球	kʰɐu2	足~
理	lɐi5	道~,~由
琉	lɐu2	~璃
琢	tiak7b	~磨,雕~
琴	kʰɒŋ2	弹~
琵	pʰɐi2	~琶
琶	pʰa2	琵~
瑕	ha2	~疵
瑞	sui6	~金;董存~
瑣	su3	~碎,烦~
璃	lɐi7a	玻~
環	uæŋ2	~境
璽	sai3	玉~
瓜	kua1	西~,~分
瓠	pʰɐu7a	瓠瓜(味似葫芦而长)
瓢	pʰiu2	勺子
瓣	fæŋ3	花~
瓤	noŋ2	瓜~
瓦	ŋa5	~片
瓷	tsʰɐi2	~砖,陶~
甌	ɡɐu1	瓦器;建~(地名)
甘	kæŋ1	甜;~心
甚	saŋ6	~至
甜	tʰin2	
産	tsʰæŋ3	生~
甫	fu3	杜~
田	tʰin2	种~
由	jiɐu2	~于,理~
甲	kaʔ8b	天干,甲乙丙丁
申	sɐn1	~请;地支,申酉戌亥
男	næŋ2	男女
界	kai5	世~
畏	vɔi5	不喜欢;怕,~热
留	lɐu2	~级,停~
畝	bɐu5	一~田
畢	pɐt7a	~业
略	liak7b	省~
番	fæŋ1	三~两次,~薯
番	pʰəŋ1	~禺(地名)
畫	vak8a	~图,图~
異	ji6	~同
當	toŋ1	~时,应~,~官
當	toŋ5	~铺,恰~;唔~(不如)
疆	kiøŋ1	新~(地名)
疊	tit8a	~起来,折~
疏	su1	~远;稀疏
疏	su1	生~
疏	su1	注~
疑	ji2	怀~
疝	sæŋ5	~气(小肠气)
疤	pa1	伤~
疲	pʰɐi2	~劳
疵	tsʰi7a	瑕~,吹毛求~
疸	tæŋ3	黄~
疹	tsɐn5	麻~
疾	tsɐt8a	残~
痂	jen3	结~
症	tsɐŋ5	~状
痔	tsi5	~疮
痕	hɐn2	~迹
痢	lɐi6	~疾
痣	tsi5	乌~
痧	sa1	发~,刮~
痰	tʰæŋ2	吐~
痱	fuɔi6	痱子,热~
痲	ma2	出~(得痳疹),~风
痹	pɐi5	麻~
瘍	jiøŋ2	溃~
瘟	vɐn1	鸡~
瘡	tsʰoŋ7a	痔~
瘦	sɐu5	肥瘦
瘧	jiak8b	~疾
癱	tʰæŋ3	~痪
瘴	tsiøŋ5	~气
癮	jɐn5	喜欢;烟~
療	liu2	治~,~养
癡	tsʰi1	白~,~呆
癢	jiøŋ5	皮肤痒
癩	lai5	~哥(癞疮)[白]
癬	sin3	发~(生癣)
癸	kuɔi5	天干
登	tɒŋ1	~山,攀~
發	faʔ7b	~展,~财[文]
發	faʔ7b	~虫(长虫)[白]
白	paʔ8a	~色
百	pa5	~姓
皂	tsʰɐu5	肥~
皆	kai1	~大欢喜
皇	voŋ2	~帝
皖	jin3	安徽简称,~南事变
皮	pʰɐi2	调~,~肤
皺	tsʰɐu2	~纹
盆	pʰəŋ2	面~(脸盆),~地
盒	hæʔ8a	铁~
盔	fui1	头~,~甲
盜	tɐu6	强~,~窃
盞	tsæŋ3	灯~(灯)
盡	tsɐn6	~量,~力,~头
監	kæŋ1	~狱,~视,~督
監	kæŋ5	太~
盤	pʰəŋ7a	算~
盧	lɐu2	姓
盪	loŋ5	过水,~嘴,~碗[白]
盲	bæŋ2	文~,~目
直	tsɐk8a	~接
相	siøŋ5	互~,~打(打架)
相	siøŋ5	宰~,看~,~貌
盼	pʰæŋ5	~望
盾	tʰɐn5	矛~
眉	bɐi2	眉毛,画~
看	fəŋ5	~守所
看	fəŋ5	看见
真	tsɐn1	认~,~假
眠	bin2	~床(床),安~
眩	jin2	晕眩,~昏
眶	hoŋ7a	眼眶
眷	kin5	~属
眼	ŋæŋ5	双~皮
着	tsiak7b	~衫(穿衣服)
着	tsiak8a	~火
睡	sui6	睡觉
睬	tsʰui3	理睬
瞞	bəŋ1	隐~
瞪	tɒŋ1	瞪眼,目~口呆[文]
瞪	tɒŋ1	瞪眼[白]
瞭	liu2	~望台
矛	mau2	~盾
矢	tsʰi3	有的放~
知	tsi1	通~,~道,无~[文]
知	tsi5	~识[文]
知	tɐi1	知道,唔~[白]
矩	kui6	规~,~形
短	tin3	长~
矮	ŋɐi3	高矮
矯	kiu3	~正
砂	sa1	朱~,~纸
砌	tsʰɐi5	~墙
砍	hɔŋ3	~伤
砑	ŋa5	碾,~平,~碎
研	jin2	~究
破	pʰo5	~坏
硝	siu1	~烟,~酸
硫	lɐu2	~磺
硯	ɡin3	~台
碎	sui5	~布,破~
碑	pɐi1	石~,~文
碓	tui5	舂米工具,踏~
碗	uəŋ3	饭~
碟	tit8a	盛具,碟子
確	kʰok7b	~定,的~
碼	ma5	~头,大~
磁	tsʰɐi2	~铁,~场
磕	kʰɐu5	~头
磚	tsin1	~头
磨	mu2	~刀,水~[动]
磨	mu2	~豆浆[动]
磨	mu2	石~[名]
礎	tsʰo3	基~
礙	ui6	妨~
礬	fæŋ2	明~
示	si6	表~
社	sia6	~会,公~
祀	tsɐi6	祭~
祁	kʰɐi2	~连山
祈	kʰɐi2	~祷
祐	jiɐu6	保~
祕	pɐi5	~书,~密
祖	tsɐu3	~宗,~国
神	sɐn2	~仙,精~
祠	tsʰɐi2	~堂
祥	tsʰiøŋ2	慈~,吉~
票	pʰiu5	车~
祭	tsɔi5	~祀
稟	pɐn3	~报
禁	kɒŋ5	不~
禁	kɒŋ5	~止
禍	vɔk8a	大~临头,~害
禦	ji6	防~
禪	sin2	~宗,~师
禪	sin2	~让,封~
禮	lɔi5	~貌
禱	tʰɐu3	祈~,~告
禹	ji5	大~治水
禽	kʰɒŋ2	家~
禾	vu2	割~,~苗
秀	sɐu5	清~,~才
私	sɐi1	自~
秋	tsʰɐu1	~天;~千
科	fu1	~学,文~
秒	biu5	~针
租	tsɐu1	~金,出~
秤	tsʰɐŋ5	用以称物,~砣
秦	tsʰɐn2	姓;~国
秧	jiøŋ1	插~,~苗
秩	tit8a	~序
移	ji2	~动
稀	hɐi1	~少
税	sui5	交~,~收
稈	kəŋ3	禾~(稻秆)
稍	sau3	~等;~息
稗	bɔi7a	~草
稚	tsi5	幼~
稠	tsʰɐu2	~密
稱	tsʰɐŋ1	~心如意,对~
