#漢字	音標	解釋
㸊	lai5	水很热
昧	mei5	
昨	dzuo2	
昭	tɕiau1	
是	zɿ5	
顯	ɕiɛŋ3	
晃	fãŋ3	~眼
晉	tɕiŋ3	
晌	ɕuãŋ3	~午
曬	sai5	
曉	ɕiau3	
暈	yeŋ1	
晚	uãŋ3	
晦	fei5	
普	pʰu3	
景	tɕiŋ3	
晴	dʑiŋ2	
晶	tɕiŋ1	
智	tɕɿ1	
暫	dzãŋ2	
暇	ɕia5	
暑	ɕy3	
暖	luãŋ3	
暗	ãŋ5	
暮	mu5	
暴	bau5	
曝	pʰu1	
曰	yɛ2	
曲	tɕʰy1	~折
更	kəŋ5	~换
更	kəŋ5	~加
曹	dzau2	
曾	dzəŋ2	~经
曾	tsəŋ1	姓
替	tʰi5	
最	tsuei5	
月	yɛ2	
有	iəu3	
朋	boŋ2	
服	u2	
朔	suo1	
望	uãŋ5	
朝	dʑiau2	~代
朝	dʑiau2	今~
期	dʑɿ2	时~
木	mu2	
未	uei5	
末	mo2	
本	pəŋ3	
札	tsa1	
术	ɕy5	
术	ɕy1	白~
朱	tɕy1	
朴	pʰu1	
朶	tuo3	
機	tɕɿ1	
朽	ɕiəu3	
殺	sa1	
雜	dza2	
權	dʑyɛŋ2	
杆	kãŋ3	
杈	tsʰa5	枝~
杉	sa1	
李	li3	
杏	ʑiŋ5	
材	dzai2	
村	tsʰəŋ1	
杖	dʑuãŋ5	
杜	du5	
杞	tɕʰɿ5	
束	su1	
杠	kãŋ5	
條	diau2	
來	lai2	
楊	uãŋ2	
杭	ãŋ2	
杯	pei1	
杳	miau3	~无音信
杷	ba2	枇~
松	soŋ1	
松	dzoŋ2	
板	pãŋ3	
極	dʑɿ2	
構	kəu5	
枇	bi2	~杷
枉	uãŋ1	
析	ɕɿ1	
枕	tɕiŋ3	
枕	tɕiŋ3	动词
林	liŋ2	
枚	mei2	
果	kuo3	
枝	tsɿ1	
樞	tɕʰy1	
棗	tsau3	
槍	tɕʰuãŋ1	
槍	tɕʰuãŋ3	
楓	foŋ1	
架	tɕia5	
柄	piŋ3	
柏	pə1	
某	mu3	
柑	kãŋ1	
染	iɛŋ3	
柔	iəu2	
櫃	ɡuei5	
查	dza2	调~
柩	dʑiəu5	
柬	tɕiɛŋ3	
柱	tɕy5	
柱	dʑy5	
柳	liəu3	
柴	dzai2	
柿	sɿ5	
梔	tsɿ1	~子花
棧	tsãŋ5	
棟	toŋ5	
欄	lãŋ2	
樹	ʑy5	
栗	li2	
校	ɕiau5	~对
校	ɕiau5	上~
校	ɕiau5	学~
株	tɕy1	
樣	uãŋ5	
核	xə1	审~
核	xə1	果~
根	kəŋ1	
格	kə1	
栽	tsai1	
桂	kuei5	
桃	dau2	
桅	uei1	~杆
桌	tsuo1	
桐	doŋ2	
桑	sãŋ1	
桓	uãŋ2	
橋	dʑiau2	
樺	ua5	~树
槳	tɕuãŋ3	
桶	tʰoŋ3	
梁	luãŋ2	
梅	mei2	
梓	tsɿ3	
梗	kəŋ3	~子
夢	moŋ5	
梧	u2	
梨	li2	
梭	suo1	
梯	tʰi1	
械	kai5	
梳	su1	~头
檢	tɕiɛŋ3	
檢	dʑiɛŋ5	
棉	miɛŋ2	
棋	dʑɿ2	
棍	kuəŋ5	
棒	bãŋ5	
棕	tsoŋ1	
棚	boŋ2	
棠	dãŋ2	
森	səŋ1	
棲	ɕɿ1	
棵	xuo1	
棺	kuãŋ1	
椅	i3	
植	dʑɿ2	
椒	tɕiau1	
橢	tʰuo3	~圆
椴	duãŋ5	
椿	tɕʰyeŋ1	
楚	tsʰu3	
楝	liɛŋ5	~树
楣	mei2	
楷	kʰai3	
樓	ləu2	
概	kʰai3	
欖	lãŋ3	橄~
榆	y5	
榕	ioŋ2	
榛	tsəŋ1	
榜	pãŋ3	
榫	səŋ3	~头
榴	liəu2	石~
榻	tʰa1	
槐	uai2	
檳	piŋ1	~榔
槽	dzau2	马~
樟	tɕuãŋ1	
模	mo2	~子
模	mo2	~范
橫	əŋ2	~直
橫	əŋ2	蛮~
櫻	iŋ1	
橄	kãŋ3	~榄
橙	dzəŋ2	~子
橡	ɕuãŋ5	~树
櫓	lu3	
檀	dãŋ2	
檐	iɛŋ2	
欛	pa3	柄
欠	tɕʰiɛŋ5	
次	tsɿ5	
歡	fãŋ1	
欣	ɕiŋ1	
歐	əu1	
欲	y5	
欺	tɕʰɿ1	
款	kʰuãŋ3	
歇	ɕiɛ1	
歉	tɕʰiɛŋ5	
歌	ko1	
止	tsɿ3	
正	tɕiŋ5	
正	tɕiŋ1	~月
此	tsɿ3	
步	bu5	
武	u3	
歧	dʑɿ2	
歪	uai1	
死	sɿ3	
殲	tɕʰiɛŋ1	~灭
殃	uãŋ1	
殉	ʑyeŋ5	
殊	ɕy1	
殘	dzãŋ2	
殖	dʑɿ2	
殯	biŋ5	
毆	əu3	
段	duãŋ5	
殷	iŋ1	
殿	diɛŋ5	
毁	fei3	
毅	i5	
母	mu3	
每	mei3	
毒	du2	
比	pi3	~较
畢	pi1	
毛	mau2	
毡	tsãŋ1	
毫	au2	
毯	tʰãŋ3	
氏	sɿ5	
民	miŋ2	
气	tɕʰɿ5	
水	suei3	
永	ioŋ3	
求	dʑiəu2	
汇	fei5	
汇	uei5	
漢	xãŋ5	
汗	ãŋ5	
汞	koŋ3	
江	tɕuãŋ1	
池	dʑɿ2	
污	u1	
湯	tʰãŋ1	
汪	uãŋ1	一~水
汴	piɛŋ5	
汽	tɕʰɿ5	
沂	liŋ1	~河
沃	uo2	
沈	ɕiŋ3	
沓	da2	一~纸
沙	sa1	
沛	pʰei5	
溝	kəu1	
没	mə2	沉~
漚	əu5	久浸水中
淪	ləŋ2	
沫	mo2	
河	o2	
油	iəu2	
治	dʑɿ5	
沼	tɕiau1	
沾	tsãŋ1	
沿	yɛŋ2	
泄	ɕiɛ5	~露
泅	dʑiəu2	~水
泉	dʑyɛŋ2	
泊	po1	
泊	po1	梁山~
泌	pi5	
法	fa1	~子
泛	uãŋ2	
泛	uãŋ5	
泡	pʰau5	
波	po1	
泣	ɕɿ1	
泥	li2	
注	tɕy5	
淚	lei5	
泰	tʰai5	
泳	ioŋ3	
瀉	ɕiɛ5	
潑	pʰo1	
澤	dzə2	
潔	tɕiɛ1	
洇	iɛŋ1	
洋	uãŋ2	
洒	sa3	
洛	lo2	
洞	doŋ5	
津	tɕiŋ1	
洪	oŋ2	
洲	tɕiəu1	
活	uo2	
洽	tɕʰia1	
派	pʰai5	
流	liəu2	
淺	tɕʰiɛŋ3	
漿	tɕuãŋ5	
澆	tɕiau1	
測	tsʰə1	
渾	uəŋ2	~浊
滸	fu3	水~
濃	loŋ2	
浙	tsə1	
浦	pʰu3	
浩	xau5	
浪	lãŋ5	
浴	y5	
海	xai3	
浸	tɕʰiŋ5	
消	ɕiau1	
涉	ɕiɛ1	
涎	iɛŋ2	
涎	dãŋ5	
涕	tʰi5	鼻~
濤	tʰau1	
澇	lau2	旱~
潤	yeŋ5	
澗	tɕiɛŋ1	
漲	tɕuãŋ3	
澀	tɕia1	訓讀
涯	ai2	
涯	ia2	天~
液	i1	
淆	ɕiau5	
淋	liŋ2	
淑	su1	
淘	dau2	~米
淡	dãŋ5	
淤	y2	
淮	uai2	
深	ɕiŋ1	
混	fəŋ5	相~
淹	iɛŋ3	
添	tʰiɛŋ1	
清	tɕʰiŋ1	
淵	yɛŋ1	
漸	dʑiɛŋ5	
漁	y2	
滲	səŋ5	~透
渠	dʑy2	
渡	du5	
渣	tsa1	
溫	uəŋ1	
渭	uei5	
港	kãŋ3	~口
游	iəu2	
渺	miau3	
湖	u2	
湘	ɕuãŋ1	
湧	ioŋ3	
灣	uãŋ1	
溼	ɕɿ1	
潰	kʰuei5	~脓
溉	kʰai3	
源	yɛŋ2	
溜	liəu1	
溺	li2	
滋	dzɿ2	
滑	ua2	
滔	tʰau1	
滚	kuəŋ3	
滿	mãŋ3	
濾	ly5	
濫	lãŋ5	
灘	tʰãŋ1	
滬	xu5	
滴	ti1	
漂	pʰiau5	
漂	pʰiau5	~亮
漆	tɕʰɿ1	
漏	ləu5	
演	iɛŋ3	
漫	mãŋ5	
潘	pʰãŋ1	
潛	dʑiɛŋ2	
潭	dãŋ2	
潮	dʑiau2	
潲	sau5	
澡	tsau3	
激	tɕɿ1	
瀑	pʰu1	
灌	kuãŋ5	
火	xuo3	
滅	miɛ2	
燈	təŋ1	
灰	fei1	
靈	liŋ2	
竈	tsau5	
灸	tɕiəu3	针~
災	tsai1	
燦	tsʰãŋ5	
爐	lu2	
炊	tsʰuei1	
炎	iɛŋ2	
炒	tsʰau3	
炕	kʰãŋ5	
炙	tsɿ5	
炭	tʰãŋ5	
炮	pʰau5	
炸	uãŋ2	
炸	tsa5	油~
點	tiɛŋ3	
爛	lãŋ5	
烈	liɛ2	
烘	xoŋ1	
烙	lo2	
燭	tsu1	
烟	iɛŋ1	
烤	kʰau3	
煩	uãŋ2	
燒	ɕiau1	
燙	tʰãŋ5	
熱	iɛ5	
焉	iɛŋ1	
煥	uãŋ5	
焙	bei2	
焚	uəŋ2	
焦	tɕiau1	
焰	iɛŋ5	
然	ʑiɛŋ2	
煅	duãŋ5	
煎	tɕiɛŋ1	
煤	mei2	
照	tɕiau5	
煨	uei1	
煮	tɕy3	
熄	ɕɿ1	
熊	ʑioŋ2	
熏	ɕyeŋ1	
熙	ɕɿ1	
熟	zu2	~悉
熨	yeŋ5	
熬	au2	
燃	ʑiɛŋ2	
燎	liau2	
燕	iɛŋ5	~京
燕	iɛŋ5	~子
爆	bau5	
爪	tsau3	~牙
爬	ba2	
愛	ai5	
爵	dʑio2	
父	fu5	
爺	iɛ2	
爸	pa1	
爹	tiɛ1	
爽	suãŋ3	
片	pʰiɛŋ5	
版	pãŋ3	
牌	bai2	
牘	du2	
牒	diɛ2	
牙	ia2	
牛	liəu2	
牡	mu3	
牢	lau2	
牧	mu5	
物	u2	
牯	ku3	
牲	səŋ1	
牽	tɕʰiɛŋ1	
特	də2	
犀	ɕɿ1	
犁	li2	
犢	du2	
犬	tɕʰyɛŋ3	
犯	uãŋ5	
狀	dzuãŋ5	
猶	iəu2	
狂	ɡuãŋ2	
狄	diɛ2	
狐	u2	
狗	kəu3	
狡	tɕiau3	
獨	du2	
狹	ɕia1	
獅	sɿ1	
獄	y2	
狸	li3	野猫
狼	lãŋ2	
獵	liɛ2	
猛	moŋ3	
猜	tsʰai1	
豬	tɕy1	
猫	mau1	
獻	ɕiɛŋ5	
猴	əu2	
猾	ua2	狡~
獺	tʰa1	水~
玄	ʑyɛŋ2	
率	suai1	~领
率	ly2	速~
玉	y5	
王	uãŋ2	
玩	uãŋ2	
玩	uãŋ2	古~
環	uãŋ2	
現	ɕiɛŋ5	
玻	po1	~璃
珍	tɕiŋ1	
珠	tɕy1	
班	pãŋ1	
球	dʑiəu2	
理	mai2	
理	li3	
琉	liəu2	~璃
瑣	suo3	~碎
琴	dʑiŋ2	
琵	bi2	~琶
琶	ba2	琵~
瓊	dʑioŋ2	
瑕	ɕia1	
瑞	suei5	
璃	li2	玻~
璧	pi1	
瓜	kua1	
瓠	u2	~芦
瓠	u2	~子
瓢	biau2	
瓣	bãŋ5	
瓦	ua3	
瓦	ua3	动词
瓶	biŋ2	
瓷	dzɿ2	~器
甌	əu1	
甘	kãŋ1	
甚	ɕiŋ5	
甜	diɛŋ2	
生	səŋ1	
甥	səŋ1	
用	ioŋ5	
甫	pʰu3	
甬	ioŋ3	~道
田	diɛŋ2	
由	iəu2	
甲	tɕia1	
申	ɕiŋ1	
電	diɛŋ5	
男	lãŋ2	
畫	ua5	
暢	tɕʰuãŋ5	
界	kai5	
畏	uei5	
留	liəu2	
畜	tsʰu1	~牲
略	lio2	
番	fãŋ1	
疆	tɕuãŋ1	
疏	su1	~远
疏	su1	注~
疑	li2	
疔	tiŋ1	
瘧	lyɛ1	~疾
瘍	uãŋ2	
疤	pa1	
疥	kai5	
疫	y2	
瘡	tsʰuãŋ1	
瘋	foŋ1	
疲	bi2	
疵	tsɿ5	
疹	tɕiŋ3	
疼	dəŋ2	
疾	dʑɿ2	
痂	tɕia1	
病	biŋ5	
症	tɕiŋ5	
痒	uãŋ3	
痔	dʑɿ5	
痛	tʰoŋ5	
痢	li5	
痣	tsɿ5	
痰	dãŋ2	
痹	pʰi5	
瘟	uəŋ1	
瘦	səu5	
瘴	tɕuãŋ1	~气
療	liau2	
癩	lai5	
癬	ɕyɛŋ3	
癸	ɡuei2	
登	təŋ1	
白	bə2	
百	pə1	
皂	dzau5	
的	ti1	目~
皆	kai1	
皇	uãŋ2	
皖	uãŋ3	
皮	bi2	
皺	tsəu5	
盆	bəŋ2	
盈	iŋ2	
益	i1	
盞	tsãŋ3	
鹽	iɛŋ2	
監	tɕiɛŋ1	~牢
監	tɕiɛŋ1	国子~
盒	uo2	烟~
盔	kʰuei1	
盖	kai5	
盜	dau5	
盤	bãŋ2	
盛	ɕiŋ5	兴~
盟	moŋ2	
盬	ku3	~子
目	mu2	
直	dʑɿ2	
相	ɕuãŋ5	~貌
相	ɕuãŋ1	互~
盼	pʰãŋ5	
盾	dəŋ5	矛~
省	səŋ3	~长
省	səŋ3	节~
眉	mei2	
看	kʰãŋ5	~守
看	kʰãŋ5	~见
真	tɕiŋ1	
眠	miŋ2	
眨	tsa1	~眼
眶	kʰuãŋ1	眼~
眼	iɛŋ3	
着	tɕio1	~衣
着	dʑio2	睡~
睜	tsəŋ1	
睛	tɕiŋ1	
睡	zuei5	
督	tu1	
睬	tsʰai3	
瞎	ɕia1	
瞞	mãŋ3	
瞪	təŋ1	~一眼
瞭	liau2	
瞳	doŋ2	
瞻	tsãŋ5	
瞿	dʑy2	
矛	mau2	
矢	sɿ1	
知	tɕɿ1	
矩	tɕy1	规~
短	tuãŋ3	
矮	ai3	
石	ʑɿ2	
礬	fãŋ1	
礬	uãŋ2	
礦	kʰuãŋ5	
碼	ma3	~子
砍	kʰãŋ3	
研	liɛŋ1	
磚	tɕyɛŋ1	
硯	liɛŋ5	
破	pʰo5	
硝	ɕiau1	
硫	liəu2	~黄
硬	əŋ5	
確	tɕʰio1	
礆	liɛŋ5	
礙	ai5	
碎	suei5	
碑	pei1	
碗	uãŋ3	
碟	diɛ2	
碧	pi1	
碾	liɛŋ3	
磁	dzɿ2	~石
磕	kʰo1	
磨	mo2	~刀
磨	mo5	~面
礎	tsʰu3	柱下石
示	sɿ5	
禮	li3	
社	ɕiɛ5	
祀	sɿ5	祭~
祁	dʑɿ2	
祈	dʑɿ5	
祖	tsu3	
祝	tsu1	
神	ʑiŋ2	
祠	dzɿ2	
祥	dʑuãŋ2	
票	pʰiau5	车~
祭	tɕi5	
禱	tau3	
禱	iəu5	
禍	o5	
禁	tɕiŋ5	~不住
禁	tɕiŋ5	~止
祿	lu2	
禪	dzãŋ2	~宗
福	fu1	
禹	y3	
离	li2	~别
离	li2	~开
禽	dʑiŋ2	
秀	ɕiəu5	
私	sɿ1	
秃	tʰu1	
稈	kãŋ3	稻~
秉	piŋ3	
秋	tɕʰiəu1	~天
秋	tɕʰiəu1	~千
種	tsoŋ3	~类
種	tsoŋ5	~树
科	kʰuo1	
秒	miau3	
租	tsu1	
秤	tɕʰiŋ5	一杆~
秦	dʑiŋ2	
秧	uãŋ1	
秩	tɕʰɿ5	
秫	ɕy5	
稱	tɕʰiŋ1	
稱	tɕʰiŋ1	相~
移	i2	
稀	ɕɿ1	
程	dʑiŋ2	
稍	sau5	
税	suei5	
稗	bai5	
稚	tei5	
稚	tɕɿ5	幼~
稠	dʑiəu2	
穩	uəŋ3	
稻	dau5	
稿	kau3	
穀	ku1	
穆	mu2	
穗	suei5	
穴	ɕiɛ1	
窮	dʑioŋ2	
空	kʰoŋ1	~虚
空	kʰoŋ1	~缺
穿	tɕʰyɛŋ1	
突	tʰu1	
窄	tsə1	
竅	tɕʰiau5	
窯	iau2	
窖	tɕiau5	
窗	tsʰuãŋ1	
竄	tsʰuãŋ1	
窩	uo1	
窠	kʰuo1	
窺	kʰuei1	
窪	ua1	
立	li2	
豎	ɕy5	
站	tsãŋ5	立
站	dzãŋ5	车~
競	tɕiŋ5	
竟	tɕiŋ5	
章	tɕuãŋ1	
童	doŋ2	
端	tuãŋ1	
竹	tsu1	
竿	kãŋ1	
篤	tu1	
筆	pi1	
筧	tɕiɛŋ3	以竹通水
笙	səŋ1	
笛	diɛ2	
笠	li2	
符	u2	
笨	bəŋ5	
第	di5	
籠	loŋ2	
等	təŋ3	
筋	tɕiŋ1	
筐	kʰuãŋ1	
筑	tsu1	
筒	doŋ2	
答	ta1	
策	tsʰə1	
篩	sai1	~子
箏	tsəŋ1	
筵	iɛŋ5	
筷	kʰuai5	
籌	dʑiəu2	
签	tɕʰiɛŋ1	
簡	tɕiɛŋ3	
箅	pi5	~子
箍	ku1	
算	suãŋ5	
管	kuãŋ3	
籮	lo2	
簫	ɕiau1	
箭	tɕiɛŋ5	
箱	ɕuãŋ1	
篆	dzuãŋ5	
篇	pʰiɛŋ1	
簍	ləu3	
篙	kau1	
篙	soŋ1	
篙	xau1	蓬~
篡	tsʰuãŋ5	
籃	lãŋ2	
籬	li2	
篷	boŋ2	
簧	uãŋ2	
簪	tsãŋ1	
簸	po5	~一~
簸	po5	~箕
簿	bu5	
籍	dʑɿ2	
米	mi3	
類	lei5	
粉	fəŋ3	
粒	li2	
粗	tsʰu1	
粘	tsãŋ1	
粟	su1	
粤	yɛ2	
粥	tsu1	
粱	luãŋ2	
粹	suei5	纯~
糉	tsoŋ5	
精	tɕiŋ1	
糍	dzɿ2	~巴
糕	kau1	
糖	dãŋ2	
糙	tsʰau5	~米
糟	tsau1	
糠	kʰãŋ1	
糯	luo5	~米
糰	duãŋ2	
素	su5	
索	suo1	绳~
緊	tɕiŋ3	
紫	tsɿ3	
累	lei5	
累	lei5	~积
累	lei5	连~
絮	ɕy5	
繁	fãŋ1	
纂	tsʰuãŋ5	编~
糾	tɕiəu1	~缠
糾	tɕiəu1	~正
紅	oŋ2	
紂	tɕiəu3	~王
約	io1	
級	tɕɿ1	
紀	tɕɿ3	~律
紉	iŋ5	缝~
緯	uei3	
純	dʑyeŋ2	
紗	sa1	
綱	kãŋ1	
納	la2	
縱	tsoŋ5	放~
紛	fəŋ1	
紙	tsɿ3	
紋	uəŋ2	
紐	liəu3	
線	ɕiɛŋ5	
練	liɛŋ5	
組	tsu3	
織	tɕɿ1	
終	tsoŋ1	
縐	tsəu5	
絆	pãŋ5	
紹	ɕiau5	
經	tɕiŋ1	
經	tɕiŋ1	~纬
綁	pãŋ3	
絨	ioŋ2	
結	tɕiɛ1	
繞	iau3	~线
繞	iau3	围~
繪	uei5	
給	kei3	~你
絡	lo2	
絶	dʑyɛ2	
絞	tɕiau3	
統	tʰoŋ3	
絹	tɕyɛŋ1	
繡	ɕiəu5	
綏	suei1	
績	tɕɿ5	
緒	ɕy5	
續	zu2	
續	ɕy5	
綽	tsʰuo1	宽~
繩	ʑyeŋ2	
繩	miɛŋ3	~池
維	uei2	
綿	miɛŋ2	
綢	dʑiəu2	
綜	tsoŋ1	
綜	tsoŋ1	织布机上的综
綠	lu2	
緬	miɛŋ3	
纜	lãŋ3	
緝	tɕʰɿ2	
緞	duãŋ5	
緩	fãŋ3	
編	piɛŋ1	
緣	yɛŋ2	
縫	oŋ2	~衣服
縫	oŋ5	一条~
纏	dzai2	
纏	dzãŋ2	
縹	piau1	
纓	iŋ1	
縮	su1	
繳	tɕiau3	上~
缸	kãŋ1	
缺	tɕʰyɛ1	
罐	kuãŋ5	
罕	xãŋ5	
羅	luo1	
羅	lo2	
罰	ua5	
罷	ba2	
罩	tsau5	
罪	dzuei5	
置	tɕɿ5	
署	ɕy3	
羊	uãŋ2	
羌	tɕʰuãŋ1	
美	mei3	
羔	kau1	
羞	ɕiəu1	
羡	ɕiɛŋ5	
群	dʑyeŋ2	
羶	sãŋ1	
羹	kəŋ1	
羽	y3	
翁	oŋ1	
翅	dzɿ5	
翠	tsʰuei5	
翡	fei1	~翠
翰	xãŋ5	
翻	fãŋ1	
翼	i5	
耀	iau5	
老	lau3	
考	kʰau3	
者	tɕiɛ3	
而	ə2	
耍	sua3	
耐	lai5	
耕	kəŋ1	
耗	xau5	
耙	ba2	犁~
耳	ə3	
耶	iɛ1	
耻	tsɿ3	
耽	tãŋ1	
耿	kəŋ3	
聶	liɛ2	
聊	liau2	
聾	loŋ2	
職	tɕɿ1	
聯	liɛŋ2	
聘	pʰiŋ5	
聚	dʑy5	
聰	tsʰoŋ1	
肅	su1	
肄	i5	~业
肆	sɿ5	
肉	zu2	
肋	lei5	
肌	tɕɿ1	
肘	tɕiəu3	
肚	du3	腹~
肚	tu3	鱼~
肝	kãŋ1	
腸	dʑuãŋ2	
股	ku3	
肢	tsɿ1	
膚	fu1	
肥	uei2	
肩	tɕiɛŋ1	
肪	uãŋ2	脂~
肫	tɕyeŋ5	~肝
肯	kʰəŋ3	
育	iəu2	
肴	iau2	
肺	fei5	
腎	ʑiŋ5	
腫	tsoŋ3	
脹	tɕuãŋ5	
胃	uei5	
膽	tãŋ3	
背	bei5	
背	bei5	~诵
胎	tʰai1	
胖	pʰãŋ5	
胚	pʰei1	
胛	tɕia1	肩~
勝	ɕiŋ5	
勝	ɕiŋ5	~败
胞	pau1	
胡	u2	
膠	tɕiau1	
胸	ɕioŋ1	
能	ləŋ2	
脂	tsɿ3	
脆	tsʰuei5	
脉	mə2	
脊	tɕɿ1	
脏	tsãŋ1	
脏	dzãŋ2	
臍	dʑɿ2	
腦	lau3	
膿	loŋ2	
脚	tɕio1	
脯	pʰu3	杏~
脯	pʰu3	胸~
脱	tʰuo1	
臉	liɛŋ3	
脾	bi2	
腆	tiɛŋ3	~肚子
臘	la2	
腌	iɛŋ1	
腐	fu3	
腑	fu3	
腔	tɕʰuãŋ1	
腕	uãŋ3	
腡	luo2	手指纹
腥	ɕiŋ1	
腮	sai1	
腰	iau1	
腱	tɕiɛŋ5	
腹	fu1	
膩	li5	
腿	tʰei3	
膏	kau1	
膏	kau1	~油
膘	piau1	
膜	mo2	
膝	tɕʰɿ1	
膨	boŋ2	~胀
臂	pi5	
臊	sau1	~气
自	zɿ5	
臭	tɕʰiəu5	香~
至	tsɿ5	
致	tɕɿ5	
臻	tsəŋ1	
舀	iau3	~水
舌	ɕiɛ2	
舍	ɕiɛ1	
舒	ɕy1	
舔	tʰiɛŋ1	
舜	ɕyeŋ5	
舞	u3	
舟	tɕiəu1	
航	ãŋ2	
般	pãŋ1	
艦	tɕiɛŋ5	
船	dʑyɛŋ2	
艇	tʰiŋ3	
良	luãŋ2	
艱	tɕiɛŋ1	
色	sə1	
豔	iɛŋ5	
藝	i5	
艾	ai1	
節	tɕiɛ1	
芊	tɕʰiɛŋ1	
芋	y5	
芍	ɕio1	~药花
芒	mãŋ2	
芒	uãŋ2	麦~
芙	u2	~蓉
芝	tsɿ1	
蘆	lu2	~苇
芬	fəŋ1	
芭	pa1	
花	xua1	
芳	fãŋ1	
芹	dʑiŋ2	
芽	ia2	
葦	uei3	芦~
莧	ãŋ5	~菜
蒼	tsʰãŋ1	
苏	su1	
苔	dai2	青~
苗	miau2	
苟	ʑyeŋ2	
苟	kəu3	
若	io1	
苦	kʰu3	
英	iŋ1	
茂	mau5	
范	uãŋ5	
茄	dʑiɛ2	~子
茅	mau2	
莖	tɕiŋ1	
繭	tɕiɛŋ3	
茫	mãŋ2	
茴	uei2	~香
茶	dza2	
茸	ioŋ2	参~
荆	tɕiŋ1	
草	tsʰau3	
薦	tɕiɛŋ5	
荒	fãŋ1	
荔	li5	~枝
蕎	dʑiau2	
薺	dʑɿ2	
蕩	dãŋ5	放~
榮	ioŋ2	
葷	fəŋ1	
蔭	iŋ1	
藥	io2	
荷	o2	~花
荷	o2	薄~
莫	mo2	
蓮	liɛŋ2	
获	uo2	
鶯	iŋ1	
蓴	dʑyeŋ2	~菜
莽	mãŋ3	
菊	tɕy1	
菌	dʑyeŋ5	
菖	tɕʰuãŋ1	
菜	tsʰai5	
菠	po1	~菜
菢	bau5	~子鸡
菩	bu2	~萨
菱	liŋ2	
萄	dau2	
萌	moŋ2	
萍	biŋ2	
螢	ioŋ2	
營	ioŋ2	
蕭	ɕiau1	
薩	sa1	
落	lo2	
著	tɕy5	显~
葛	ko1	
董	toŋ3	
葬	tsãŋ5	
葱	tsʰoŋ1	
葵	ɡuei2	
蔣	tɕuãŋ3	
蒙	moŋ2	
蒜	suãŋ5	
蒯	kʰuai3	
蒲	pʰu3	
蒸	tɕiŋ1	
蓄	tsʰu1	~牧
蓉	ioŋ2	
蓑	suo1	
蓖	piŋ1	~麻
藍	lãŋ2	
蓬	boŋ2	
蔑	miɛ2	竹~
蔓	mãŋ5	瓜~子
蔗	tɕiɛ5	
蔡	tsʰai5	
蔬	su1	
藹	ai5	和~
蔽	bi5	
蕊	luei3	
薄	bo2	
薄	bo5	~荷
薅	xau1	~草
薪	ɕiŋ1	
薯	dʑy2	白~
薰	ɕyeŋ1	
藉	dʑɿ2	狼~
藏	dzãŋ2	西~
藏	dzãŋ2	隐~
藐	miau3	
藕	əu3	
藤	dəŋ2	
藩	fãŋ1	
藿	uo2	
虎	fu3	
虜	lu3	
虐	lyɛ1	
慮	ly5	
虔	dʑiɛŋ2	
虚	ɕy1	
虞	y2	
蟲	dzoŋ2	
虹	oŋ2	
雖	suei1	
蝦	ɕia1	鱼~霞
蝕	ɕɿ1	
蟻	i5	
蚊	uəŋ2	
蚌	bãŋ5	
蠶	dzãŋ2	
蚣	koŋ1	
蚤	tsau3	
蛆	tɕʰy1	
蛇	ɕiɛ2	
蛋	dãŋ5	
蛙	ua1	
蛛	tɕy1	
蛤	ko1	~蜊
蠻	mãŋ2	
蟄	tɕɿ1	
蛾	o2	
蜂	foŋ1	
蜇	tsə1	~人
蜈	u2	
蜓	diŋ2	
蜘	tɕɿ1	~蛛
蜜	mi5	
蠟	la2	
蜻	tɕʰiŋ1	
蠅	ʑyeŋ2	
蟬	dzãŋ2	
蝗	uãŋ2	
蝙	piɛŋ3	
蝟	uei5	
蝠	fu1	
蝶	diɛ2	
螃	bãŋ2	~蟹
融	ioŋ2	
螳	dãŋ2	~螂
螺	luo2	
蟆	ma1	蛤~
蟒	mãŋ3	
蟹	xai3	
蠍	ɕiɛ1	
蠢	tɕʰyeŋ3	
血	ɕyɛ1	
行	ʑiŋ2	~为
行	ãŋ2	~列
行	ʑiŋ2	品~
銜	ãŋ2	
街	kai1	
衙	ia2	
衡	əŋ2	
衣	i1	
補	pu3	
表	piau3	
襯	tsʰəŋ5	
衰	suai1	
袁	yɛŋ2	
襖	au3	
袋	dai5	
袍	bau2	
袖	ɕiəu5	
袖	iəu5	
袜	ua5	
被	bi5	~子
被	bi5	~打
襲	ɕɿ1	
裁	dzai2	
裂	liɛ2	
裝	tsuãŋ1	
裌	tɕia1	~衣
裕	y5	
裙	dʑyeŋ2	
褲	kʰu5	
裳	sãŋ3	衣~
裸	luo3	~体
裹	kuo3	
褒	pau3	~奖
褥	zu2	
褪	dzuei2	
襄	ɕuãŋ1	
襟	tɕiŋ5	
西	ɕɿ1	
要	iau1	~求
要	iau5	想~
見	tɕiɛŋ5	
觀	kuãŋ1	参~
觀	kuãŋ1	寺~
規	kuei1	
視	sɿ5	
覽	lãŋ3	
覺	tɕiau5	睡~
覺	tɕio1	知~
角	tɕio1	
解	kai5	~闷
解	kai3	晓也
觸	tsʰu1	
言	iɛŋ2	
託	tʰuo1	
誇	kʰua3	
譽	y2	
謄	dəŋ2	
諸	tɕy1	
警	tɕiŋ3	
譬	pi3	~喻
計	tɕɿ5	
訂	tiŋ5	~约
訃	pʰu1	
認	ʑiŋ5	
