#漢字	音標	解釋
㪕	tsʰɑɔ5	㪕起棍子
攻	koŋ1	攻擊
放	fɑŋ5	
政	tsəŋ2	
故	ku5	
效	ɕiɔ5	
敏	miŋ2	
救	tɕiou2	
敗	pᴀ5	
敘	ɕʮ1	
教	kɔ2	教書
教	tɕiɔ2	教育,教他去
敢	kœ3	
散	sæ1	鞵帶散了
散	sæ2	分散
敦	təŋ1	敦厚
㪗	tʰe2	《集韻》敨衣服,敨氣
敬	tɕiŋ5	
敲	tɕʰiɔ1	
整	tsəŋ2	
敵	tiʔ7	
敷	fu1	
數	sʮ1	動詞
數	sʮ5	名詞
斂	li3	
斂	li2	
斃	pɿ5	
文	vəŋ2	
斑	pæ1	
斗	te3	容器
料	liɔ5	
斜	ɕiᴀ2	
斟	tsəŋ1	
斤	tɕiŋ1	
斥	tsʰəʔ7	
斧	fu2	
斬	tsæ3	
斯	sɿ1	
新	ɕiŋ1	
斷	tœ1	斷絕
斷	tœ2	決斷
方	fɑŋ1	
於	ʮ1	於此
於	ʮ1	
施	sɿ1	
旁	pʰɑŋ2	
旅	lʮ2	
旋	ɕiou2	
族	tsʰɔʔ7	
旗	tɕʰɿ2	
既	tɕɿ	
日	iʔ7	
旦	tæ5	
旨	tsɿ1	
早	tsɔ3	
旬	ɕyəŋ2	
旱	xʊ1	
旺	uɑŋ5	火旺,興旺
昂	ŋɑŋ2	
昆	kʰuəŋ1	
昌	tsʰɑŋ1	
明	miŋ2	
昏	xuəŋ1	
易	ɿ5	
易	ɿ	交易
昔	ɕiʔ7	
星	ɕiŋ1	
映	iŋ5	
春	tɕʰəŋ1	
昧	mæ5	
昭	tsɔ1	
是	sɿ2	
時	sɿ2	
晃	xuɑŋ2	晃眼
晉	tɕiŋ5	
晏	æ5	晚也
晝	tse5	
晦	xue5	
普	pʰu2	
景	tɕiŋ3	
晴	tɕʰiŋ2	
晶	tɕiŋ1	
智	tsɿ5	
暈	yəŋ5	
暑	sʮ3	
暖	nœ2	
暗	œ2	
暢	tsʰɑŋ5	
暫	tsæ2	
暮	mou2	
暴	pɔ5	
曆	liʔ7	曆法,日曆
曉	ɕiɔ1	
曝	pɑɔ	
曠	kʰuɑŋ2	
曬	sᴀ2	
曲	tsʰɔʔ7	曲折,歌曲
更	kəŋ1	更換,五更
更	kəŋ2	更加
書	sʮ1	
曹	tsʰɔ2	
曾	tsəŋ1	姓
曾	tsʰəŋ2	曾經
替	tʰɿ5	
最	tɕye2	
會	kʰuᴀ5	會計
會	xue5	開會
會	væ5	會不會
月	yəʔ7	
有	iou3	
朋	poŋ2	
服	fɔʔ7	
朗	lɑŋ1	
望	vɑŋ5	
朝	tɕiɔ1	今朝
朝	tsʰɔ2	朝代
期	tɕʰɿ1	
木	mɔʔ7	
未	ue	
末	mɔʔ7	
本	pəŋ3	
朮	tɕyəʔ7	白朮,蒼朮
朱	tsʮ1	
朶	tʰuo3	躲
朽	ɕiou1	
杆	kœ3	
杈	tsʰʊ1	枝杈
杉	sæ1	
李	nɿ2	
杏	ɕiŋ1	
材	tsʰæ2	
村	tsʰəŋ1	
杜	tu1	
杞	tɕɿ1	
束	sɔʔ7	
杠	kɑŋ5	
杭	xɑŋ2	
杯	pe1	
東	toŋ1	
杳	miɔ1	
杷	pʊ3	枇杷
杷	pʊ2	杷子
松	soŋ1	松樹
板	pæ3	
枇	piɛʔ7	
枉	vɑŋ1	
析	ɕiʔ7	
枕	tsəŋ3	
枕	tsəŋ2	動詞
林	liŋ2	
枚	me2	
果	kou3	
枝	tsɿ1	
枯	kʰu1	
架	kʊ2	
柄	piŋ2	
柏	pɔʔ7	
某	mou1	
柑	kœ1	
染	ȵi2	
柔	nou2	
柚	iou5	
查	tsʊ2	調查
柩	tɕiou5	
柬	tɕiæ2	
柱	tɕʮ1	
柳	le2	
柴	sᴀ2	
栅	sæ5	柵欄
柿	sɿ1	
栗	liʔ7	
校	tɕiɔ2	校對
校	ɕiɔ5	學校
校	ɕiɔ5	上校
株	tsʮ1	
核	xəʔ7	
核	xəʔ7	審核
核	vəʔ7	果子核
根	kəŋ1	
格	kəʔ7	
栽	tsæ1	
桂	kue5	
桃	tɔ2	
桄	kʰuɑŋ5	一桄線,桄子
桅	ue2	
案	œ5	
桌	tsɔʔ7	
桐	toŋ2	
桑	sɑŋ1	
桓	œ2	
桶	tʰoŋ1	
梁	liæ1	
梅	me2	
梔	tsəʔ7	
梗	kəŋ3	埂子,莖
條	tʰiɔ2	
梢	sɔ1	
梧	u2	梧桐
梨	lɿ2	
梭	sou1	織布梭
梯	tʰɿ2	
械	tɕiɛ2	
梳	sou1	梳頭
棄	tɕʰɿ5	
棉	mi2	
棋	tɕɿ2	
棍	kuəŋ2	
棒	pɑŋ1	
棕	tsoŋ5	
棗	tsɔ3	
棚	poŋ2	
棟	toŋ2	
棠	tʰɑŋ2	
棧	tsæ5	
森	səɡ1	
棲	ɕɿ1	
棵	kʰou1	科
棺	kœ1	
椅	ɿ2	
植	tsəʔ7	
椏	ʊ3	椏杈
椒	tɕiɔ1	
椴	tœ5	
椽	tɕiou2	
楊	iæ2	
楓	foŋ1	
楚	tsʰʮ2	
楝	li5	楝樹
楞	ləŋ1	
楣	me2	
楥	ɕiou5	鞵~xuan4
業	ȵiɛʔ7	
極	tɕiʔ7	
楷	kʰæ2	
概	kæ5	
榆	ʮ1	
榜	pɑŋ3	
榨	tsʊ2	榨油
榫	ɕyəŋ3	榫頭
榮	yŋ2	
榴	le2	
榻	tʰᴀʔ7	
構	ke5	
槌	tɕye2	
槍	tɕʰiæ1	
槐	vᴀ2	
槳	tɕiæ3	
槽	sɔ2	
樁	tɕyɑŋ1	
樂	luɔʔ7	
樂	iᴀʔ7	音樂
樓	le2	
標	piɔ1	
樝	tsʊ1	
樞	sʮ1	
樟	tsɑŋ1	
模	mou2	模子
模	mou2	模範
樣	iæ5	
樵	tɕʰiɔ2	
樸	pʰɔʔ7	樸素
樸	piaɔ5	
樹	sʮ5	
樺	uᴀ2	樺樹
橄	kœ3	橄欖
橋	tɕiɔ2	
橘	tɕyəʔ7	
橙	tsʰəŋ2	
橙	tsʰəŋ2	柳丁
機	tɕɿ5	
橡	ɕiæ1	橡樹
橢	tou2	橢圓
橫	vəŋ2	橫直
橫	vəŋ2	蠻橫
檀	tʰæ2	
檜	kue5	
檢	tɕi3	
檳	piŋ1	檳榔
櫃	kue5	
櫻	iŋ1	櫻桃
欄	læ2	
權	tɕʰiou2	
欖	læ3	橄欖
欠	tɕʰi2	
次	tsʰɿ5	
欣	ɕiŋ1	
欲	yɔʔ7	欲望
欲	yɔʔ7	
欺	tɕʰɿ1	
欽	tɕʰiŋ1	
款	kʰœ2	
歇	ɕiʔ7	
歉	tɕʰi5	
歌	kou1	
歎	tʰæ2	
歐	e1	
歡	xœ1	
止	tsɿ3	
正	tsəŋ1	正月
正	tsəŋ5	
此	tsʰɿ2	
步	pu5	
武	u3	
歪	vᴀ1	
歲	ɕye2	
歷	liʔ7	經歷,歷史
歸	kue5	
死	sɿ3	
殃	iæ1	
殉	ɕyəŋ2	
殊	sʮ1	
殖	tsəʔ7	
殘	tsʰæ2	
殮	li2	
殯	piŋ5	
殲	tɕʰi1	殲滅
段	tœ5	
殷	iŋ1	
殺	sᴀʔ7	
殼	kʰuʔ7	
殿	ti5	
毁	xue3	
毅	ɿ	
毆	e3	
母	mou2	
每	me2	
毒	tuɔʔ7	
比	pɿ3	
毛	mɔ2	
毫	xɔ2	
毯	tʰæ2	
氈	tɕiou1	氈子
氏	sɿ1	
民	miŋ2	
氣	tɕʰɿ	
水	ɕye3	
永	yəŋ2	
汁	tsəʔ7	
求	tɕiou2	
汗	xœ5	
汙	u1	
汞	koŋ1	
江	kɑŋ1	
池	tsʰɿ2	
汪	vɑŋ1	一汪水
汴	pi5	
決	tɕyəʔ7	
汽	tɕʰɿ	
沂	ɿ	沂河
沃	uʔ7	
沈	tsəŋ2	
沈	səŋ1	
沌	təŋ1	
没	məʔ7	沈沒,沒有
沓	tᴀʔ7	一沓紙
沖	tsʰoŋ1	
沙	sʊ1	
沛	pʰe5	
沫	mɔʔ7	
河	xou2	
油	iou2	
治	tsɿ5	
沼	tsɔ1	池沼,沼氣
沾	tɕiou1	
沿	i2	
况	kʰuɑŋ2	
泄	ɕiʔ7	洩漏
泉	tɕʰiou2	
泊	pʰɔʔ7	
泌	pɿ5	
泔	kœ1	泔水
法	fᴀʔ7	方法,法子
泛	fæ5	
泡	pʰɔ1	
泡	pʰɔ5	泡在水裏
波	pou1	
泣	tɕʰiʔ7	
泥	ȵɿ1	
注	tsʮ5	
泰	tʰæ5	
泳	yəŋ2	
洋	iæ2	
洗	ɕɿ3	
洛	luɔʔ7	
洞	toŋ5	
津	tɕiŋ1	
洪	xoŋ2	
洲	tse1	
活	uʔ7	
洽	tɕʰiᴀʔ7	
派	pʰæ2	
流	le1	
浙	tsəʔ7	
浜	pɑŋ1	一條浜
浦	pʰu2	
浩	xɔ1	
浪	lɑŋ5	
浮	fu2	
浴	yɔʔ7	
海	xæ3	
浸	tɕiŋ5	
消	ɕiɔ1	
涉	səʔ7	
涕	tʰɿ5	
涮	suᴀʔ7	涮洗
涯	iᴀ1	天涯
液	iʔ7	
涼	liæ1	
淆	ɕiɔ1	
淋	liŋ2	淋漓,淋溼
淑	sɔʔ7	
淘	tɔ2	
淡	tæ2	
淤	ʮ2	
淨	tɕiŋ5	
淩	liŋ2	
淪	ləŋ1	
淫	iŋ1	
淮	xuæ2	
深	səŋ1	
淵	iou1	
混	xuəŋ2	相混,混沌
淹	æ1	
淺	tɕʰi2	
添	tʰi1	
清	tɕʰiŋ1	
減	tɕiæ3	
渠	tɕʮ1	
渡	tu5	
渣	tsʊ1	
測	tsʰəʔ7	
港	kɑŋ1	港口
渺	miɔ1	
渾	vəŋ2	渾濁
湊	tsʰe5	
湖	fu2	
湘	ɕiæ1	
湧	yŋ3	
湮	iŋ1	墨水著紙向周圍散開
湯	tʰɑŋ1	
溉	kæ5	
源	iou2	
準	tɕyəŋ3	批準
準	tɕyəŋ3	標準
溜	le5	
溝	ke1	
溪	ɕɿ1	
溫	vəŋ1	
溺	ȵiʔ7	
溼	səʔ7	
滂	pʰɑŋ2	滂沱
滅	miʔ7	
滋	tsɿ1	
滑	vᴀʔ7	
滓	tsəʔ7	
滔	tʰɔ1	
滬	fu2	
滯	tsɿ5	
滲	səŋ5	水滲透
滴	tiʔ7	
滸	fu3	水滸
滚	kuəŋ3	
滿	mœ1	
漁	ȵʮ1	
漂	pʰiɔ1	
漂	pʰiɔ2	漂亮
漆	tɕʰiʔ7	
漏	le5	
演	i2	
漢	xœ5	
漫	mœ5	
漱	sʮ5	
漲	tsɑŋ3	長
漸	tɕi1	
漿	tɕiæ1	
潑	pʰuʔ7	
潔	tɕiʔ7	
潘	pʰœ1	
潛	tɕʰi2	
潤	yəŋ5	
潭	tʰæ2	
潮	tsɔ2	
潰	kʰue5	
澀	səʔ7	
澄	tsəŋ1	
澄	tsʰəŋ1	
澆	tɕiɔ1	
澇	lɔ5	旱澇
澡	tsɔ3	
澤	tsəʔ7	
激	tɕiʔ7	
濁	tsɔʔ7	
濃	ȵyŋ2	
濟	tɕɿ3	
濤	tʰɔ2	
濫	læ5	
濼	pɔʔ7	梁山濼
濾	lʮ5	
瀉	ɕiᴀ5	
瀑	pɑɔ	瀑布
灌	kœ5	
灑	ɕyᴀ3	
灑	sᴀ3	
灒	tsæ2	濺:~了一身水
灘	tʰæ1	
灣	væ1	
火	xou3	
灰	xue1	
灶	tsɔ5	
灸	tɕiou1	
灹	tsʊ2	灹彈
災	tsæ1	
炊	tɕʰye1	
炎	i2	
炒	tsʰɔ2	
炙	tsɿ	
炭	tʰæ5	
爲	ue1	作為
爲	ve5	為什麼
烈	liʔ7	
烊	iæ2	融化。~銅,~金
烏	u1	
烘	xoŋ1	烘乾
烙	luɔʔ7	
烤	kʰɔ2	
烹	pʰoŋ1	
焉	i2	心不在焉
焊	xœ5	焊鐵壺
焚	fəŋ2	
無	u2	
焦	tɕiɔ1	
焰	i	
然	iæ2	
煉	li5	
煎	tɕi1	
煙	i1	
煠	tsu5	用油煠
煤	me1	
煥	xuæ5	
照	tsɔ5	
煨	ve1	
煩	fæ2	
煮	tsʮ3	
熄	ɕiʔ7	
熊	soŋ	
熏	ɕyəŋ1	
熔	yŋ2	
熙	ɕɿ1	
熟	sɔʔ7	煮熟,熟悉
熨	yəŋ5	
熬	ŋɔ1	
熬	ŋɔ1	熬白菜
熱	ȵiʔ7	
燃	iæ2	
燈	təŋ1	
燎	liɔ2	燎荒,燎原
燎	liɔ2	火燎眉毛
燒	sɔ1	
燕	i2	燕京,姓
燕	i2	燕子
燙	tʰɑŋ2	湯
營	iŋ2	
燦	tsʰæ2	
燭	tsɔʔ7	
爆	pɔ5	
爐	lu2	
爛	læ5	
爪	tɕyᴀ1	爪牙,爪子
爬	pʊ2	
爭	tsəŋ1	
爵	tɕiʔ7	
父	fu1	
爸	pᴀ5	
爹	tiᴀ1	
爺	iᴀ1	
爽	ɕyɑŋ3	
爾	ɯ2	
牆	ɕiæ2	
片	pʰi2	
版	pæ3	
牌	pᴀ2	
牐	tsᴀʔ7	
牒	tiɛʔ7	通牒,度牒,影牒
牙	ŋʊ2	
牛	ȵiou2	
牡	mou2	
牢	lɔ1	
牧	mɔʔ7	
物	vəʔ7	
牯	ku3	
牲	səŋ1	
特	tʰəʔ7	
牽	tɕʰi1	
犀	ɕɿ1	
犁	lɿ1	
犍	tɕi2	犍子
犒	kʰɔ5	
犢	tɔʔ7	牛犢子
犧	ɕɿ1	
犬	tɕʰiou2	
犯	fæ1	
狀	tɕyɑŋ5	
狂	kʰuɑŋ2	
狄	tiʔ7	
狐	u2	
狗	ke3	
狡	tɕiɔ1	
狸	lɿ2	野貓
狹	xᴀʔ7	
狼	lɑŋ1	
猛	moŋ2	
猜	tsʰæ1	
猝	tsʰuɔʔ7	倉猝
猴	xe2	
猶	iou1	
猾	vᴀʔ7	狡猾
獄	yɔʔ7	
獅	sɿ1	
獎	tɕiæ3	
獨	tɔʔ7	
獲	xuəʔ7	
獵	liɛʔ7	
獸	se2	
獺	tʰᴀʔ7	水獺
獻	ɕi5	
玄	ɕiou2	
率	liʔ7	速率
玉	ʮ	
王	vɑŋ2	
玻	pou1	玻璃
珊	sæ1	
珍	tsəŋ1	
珠	tsʮ1	
班	pæ1	
現	ɕi5	
球	tɕiou2	
理	nɿ2	
琉	le2	
琢	tsɔʔ7	
琴	tɕiŋ2	
琵	pɿ2	
琶	pʊ3	琵琶
瑞	lue5	
瑣	sou1	瑣碎
璃	lɿ1	
璧	piʔ7	
環	kʰuæ2	
璽	ɕɿ1	
瓊	tsʰoŋ2	
瓜	kʊ1	
瓠	u5	瓠子,瓠瓜
瓢	piɔ2	
瓣	pæ2	
瓦	ŋʊ2	
瓦	ŋʊ5	動詞
瓶	piŋ2	
瓷	tsʰɿ2	
甌	e1	
甕	oŋ1	
甘	kœ1	
甚	səŋ1	
甜	ti2	
生	səŋ1	
産	tsʰæ2	
甥	səŋ1	
用	yŋ5	
甫	pʰu2	
甬	yŋ2	甬道
田	ti2	
由	iou2	
甲	tɕiᴀʔ7	
申	səŋ1	
男	nœ2	
界	kᴀ5	
留	le1	
畜	tsʰɔʔ7	畜牲
畜	tsʰuɔʔ7	畜牧
畝	mou2	
畢	piʔ7	
略	ȵiᴀʔ7	
番	fæ1	幾番
畫	ʊ5	
異	ɿ2	
當	tɑŋ1	當時,應當
當	tɑŋ3	擋)阻擋
當	tɑŋ5	當作,典當
疆	tɕiæ1	
疊	tiɛʔ7	
疏	sou1	疏遠
疑	nɿ2	
疔	tiŋ1	疔瘡
疤	pʊ1	
疥	kᴀ2	疥瘡,疥癬,頭疥,疥虱,疥癩
疫	yəʔ7	
疲	pʰɿ2	
疵	sɿ1	
疹	tsəŋ1	溼~,麻~
疾	tɕiʔ7	
病	piŋ5	
症	tsəŋ5	證
痔	tsɿ1	
痕	xəŋ2	
痛	tʰoŋ2	
痢	lɿ5	
痣	tsɿ5	
痰	tæ2	
痱	pæ	
痲	mʊ1	
痹	pʰɿ5	
瘋	foŋ1	
瘌	lᴀʔ5	疤瘌,瘌痢
瘍	iæ2	潰瘍
瘟	vəŋ1	
瘡	tɕʰyɑŋ1	
瘦	se2	
瘧	ȵiᴀʔ7	瘧疾
瘴	tsɑŋ5	瘴氣
療	liɔ2	
癡	tsʰɿ1	
癢	iæ3	
癩	lᴀ5	癩子,癩皮
癸	kue1	
發	fᴀʔ7	發現
白	pɔʔ7	
百	pɔʔ7	
皂	tsɔ3	
的	tiʔ7	目的
皇	vɑŋ2	
皖	uæ2	安徽
皮	pɿ2	
皺	tse5	
皿	miŋ2	
盂	ʮ2	
盆	pəŋ2	
盈	iŋ1	
益	iʔ7	
盒	xuʔ7	煙盒
盔	kʰue1	
盛	səŋ2	盛滿了
盛	səŋ2	興盛
盜	tɔ5	
盞	tsæ1	
盟	moŋ2	
盡	tɕiŋ2	盡前
盡	tɕiŋ2	
監	tɕiæ1	監視,監牢
盤	pœ2	
盧	lu2	
目	mɔʔ7	
盯	tiŋ5	盯住
盲	mɑŋ2	
直	tsəʔ7	
相	ɕiæ1	互相
相	ɕiæ2	相貌
盼	pʰæ5	
盾	təŋ1	矛盾,趙盾
盾	təŋ1	矛盾
省	ɕyəŋ3	省長
省	ɕyəŋ3	節省
省	ɕiŋ3	反省
眉	me2	
看	kʰœ1	看守
看	kʰœ5	看見
真	tsəŋ1	
眠	mi2	
眨	tsᴀʔ7	眨眼
眵	tsʰɿ2	
眶	kʰuɑŋ1	眼眶
眷	tɕiou5	
眼	ŋæ2	
眾	tsoŋ	
睛	tɕiŋ1	眼睛
睜	tsəŋ1	
督	tuɔʔ7	
睬	tsʰæ2	
瞎	ɕiᴀʔ7	
瞞	mœ1	謾
瞧	tɕʰiɔ2	
瞪	təŋ5	瞪眼
瞳	toŋ2	
瞻	tsæ1	
瞿	tɕʮ1	
矛	mou2	
知	tsɿ1	
矩	tɕʮ1	規矩
短	tœ3	
矮	ᴀ3	
矯	tɕiɔ2	矯詐,矯正
石	səʔ7	
砌	tɕʰɿ5	
砍	kʰæ2	
砑	mʊ2	砑平
研	ȵi2	
破	pʰou5	
硝	ɕiɔ1	
硫	le2	
硬	ŋəŋ5	
硯	ȵi5	
碎	ɕye2	
碑	pe1	
碗	œ3	
碟	tiɛʔ7	
碧	piʔ7	
確	tɕʰiᴀʔ7	
碼	mʊ2	馬)碼子
碾	ȵi2	
磁	tsʰɿ2	
磕	kʰuʔ7	
磚	tɕiou1	
磨	mou1	磨刀
磨	mou5	磨麪,石磨
磷	liŋ2	白磷,紅磷,磷肥
礎	tsʰʮ2	柱下石
礙	ŋæ5	
礦	kʰuɑŋ2	
礬	fæ2	
礮	pʰɔ5	槍礮
示	sɿ5	
社	sᴀ1	
祀	sɿ1	
祁	tɕʰɿ2	
祈	tɕʰɿ	
祖	tsʮ3	
祝	tsuʔ7	
神	səŋ2	
祠	sɿ	
祥	tɕʰiæ2	
票	pʰiɔ2	車票
祭	tɕɿ5	
祿	lɔʔ7	
禁	tɕiŋ1	禁不住
禁	tɕiŋ5	禁止
禍	xou1	
福	fɔʔ7	
禦	ʮ5	防禦
禮	lɿ2	
禱	tɔ1	
禹	ʮ2	
禽	tɕʰiŋ2	
秃	tʰɔʔ7	
秀	ɕiou5	
私	sɿ1	
秉	piŋ2	
秋	tɕʰiou1	
科	kʰə1	
秒	miɔ2	
秕	piɛʔ7	
租	tsʮ1	
秤	tsʰəŋ5	一桿秤
秦	tɕʰiŋ2	
秧	iæ1	
秩	tsʰɿ5	
移	ɿ2	
稀	ɕɿ5	
税	ɕye2	
稈	kᴀ3	稻稈
程	tsʰəŋ2	
稍	sɔ5	
稗	pæ5	
稚	tsɿ5	
稠	tse2	
稭	tɕiɛʔ7	麥~
種	tsoŋ3	種類
種	tsoŋ3	種樹
稱	tsʰəŋ1	稱呼
稱	tsʰəŋ5	相稱
稻	tɔ2	
稼	kʊ5	
稽	tɕɿ1	
稿	kɔ3	
穀	kɔʔ7	穀子
穆	mɔʔ7	
積	tɕiʔ7	
穗	ɕɿ5	
穩	vəŋ3	
穴	ɕiʔ7	
究	tɕiou5	
空	kʰoŋ1	空虛
空	kʰoŋ5	空缺
穿	tɕʰiou1	
突	tʰəʔ7	
窄	xᴀʔ7	
窖	iɔ2	
窗	tɕʰyɑŋ2	
窘	tɕyəŋ1	
窟	kʰɔʔ7	窟窿
窠	kʰou1	
窩	uʔ3	
窪	uᴀ1	
窮	tsʰoŋ	
窯	iɔ2	
窺	kʰue2	
竄	tɕʰiou5	
竅	tɕʰiɔ5	
立	liʔ7	
站	tsæ2	立
站	tsæ5	車站
竟	tɕiŋ5	
章	tsɑŋ1	
童	tʰoŋ2	
端	tœ1	
競	tɕiŋ5	
竹	tsɔʔ7	
竿	kæ1	竹竿
笊	tsɔ5	笊籬
笑	ɕiɔ2	
笙	səŋ1	
笛	tiʔ7	
笠	liʔ7	
笡	tɕʰiᴀ2	斜
符	fu2	
笨	pəŋ1	
第	tɿ5	
筆	piʔ7	
等	təŋ3	
筋	tɕiŋ1	
筍	ɕyəŋ3	
筏	fᴀʔ7	
筐	kʰuɑŋ1	
筒	tʰoŋ2	
答	tᴀʔ7	
策	tsʰəʔ7	
筵	i2	
筷	kʰuᴀ5	
箇	kou3	箇人,一箇
箍	ku1	箍桶,鐵箍
箏	tsəŋ1	
算	ɕiou2	
管	kœ3	
箭	tɕi5	
箱	ɕiæ1	
箸	tsʮ5	筷子
節	tɕiʔ7	
範	fæ2	範圍
範	fæ2	榜樣
篆	tɕiou1	
篇	pʰi1	
築	tsɔʔ7	
篙	kɔ1	
篡	tɕʰiou5	
篤	tuɔʔ7	
篦	pɿ5	
篩	sᴀ1	篩子
篩	sᴀ1	
篷	poŋ2	帳篷,斗篷
簍	le2	
簡	tɕiæ2	
簧	vɑŋ2	鎖簧,彈簧
簪	tsæ	
簫	ɕiɔ1	
簷	i2	
簸	pou3	簸一簸
簽	tɕʰi1	簽名
簾	li2	門簾
簿	pu1	
籃	læ2	
籌	tsʰe2	
籍	tɕiʔ7	
籠	loŋ2	
籤	tɕʰi1	標籤
籬	lɿ2	
籮	lou1	
籲	fu1	
米	mɿ2	
粉	fəŋ3	
粒	liʔ7	
粗	tsʰʮ1	
粟	sɔʔ7	
粥	tsɔʔ7	
粱	liæ1	
粳	kəŋ3	粳米,粳稻
粹	ɕye5	
糉	tsoŋ5	
精	tɕiŋ1	
糍	tsʰɿ2	
糕	kɔ1	
糖	tɑŋ2	
糙	tsʰɔ5	粗糙
糜	mɿ2	
糜	mɿ2	粥
糞	fəŋ5	
糟	tsɔ1	
糠	kʰɑŋ1	
糧	liæ1	
糯	nou2	糯米
系	ɕɿ5	系統
糾	tɕiou1	
糾	tɕiou1	糾正
紀	tɕɿ1	
紂	tse5	
約	iᴀʔ7	
紅	oŋ2	
紉	ᴇn2	縫紉
紋	vəŋ2	
納	nᴀʔ7	
紐	ȵiou2	
純	ɕyəŋ2	
紗	sʊ1	
紙	tsɿ3	
級	tɕiʔ7	
紛	fəŋ1	
素	sʮ5	
紡	fɑŋ2	
索	suɔʔ7	繩索
紫	tsɿ3	
紮	tsᴀʔ7	紮營,紮辮子
累	lue2	積累
累	lue5	連累
細	ɕɿ5	
紹	sɔ1	
終	tsoŋ5	
組	tsʮ3	
絆	pʰœ2	
結	tɕiʔ7	
絶	tɕyəʔ7	
絞	kɔ3	絞車
絡	luɔʔ7	
絨	ȵyŋ2	
絮	tsʮ2	
統	tʰoŋ1	
絲	sɿ1	
絹	tɕiou5	
綁	pɑŋ3	
綏	ɕye2	
經	tɕiŋ1	
經	tɕiŋ5	經緯,經線
綠	lɔʔ7	
綢	tse2	
維	ue2	
綱	kɑŋ1	
網	mɑŋ2	
綽	tsʰuɔʔ7	綽號,寬綽
綿	mi2	
緊	tɕiŋ3	
緖	ɕʮ1	
線	ɕi5	
緞	tœ5	段
緣	iou2	
編	pi1	
緩	uæ2	
緬	mi1	
緯	ue	
練	li5	
縐	tse2	
縛	fɔʔ7	
縣	ɕi5	
縫	foŋ5	縫衣服
縫	foŋ5	一條縫
縮	sɔʔ7	
縱	tsʰoŋ2	縱橫
縱	tsʰoŋ2	放縱
縷	lue2	絲縷
總	tsoŋ3	
績	tɕiʔ7	
繁	fæ2	
織	tsəʔ7	
繞	ȵiɔ5	繞線
繡	ɕiou5	
繩	səŋ2	
繪	xue5	
繫	tɕɿ5	~鞵帶
繫	ɕɿ5	聯繫
繭	tɕi3	
繰	tɕʰiɔ1	
繳	tɕiɔ1	
繼	tɕɿ5	
續	sɔʔ7	
纏	tɕʰi2	
纓	iŋ1	
纜	læ5	
缸	kɑŋ1	
缺	tɕʰyəʔ7	
缽	pəʔ7	
罐	kœ5	
罕	xæ3	
罩	tsɔ5	
罪	tɕye1	
置	tsɿ5	
罰	fᴀʔ7	
署	sʮ2	專署
罵	mʊ5	
罷	pᴀ1	
羅	lou2	
羅	lou1	羅嗦
羊	iæ2	
羌	tɕʰiæ1	
美	me2	
羔	kɔ1	
羞	ɕiou1	
群	tɕʰyəŋ2	
羨	ɕi5	
義	ɿ5	
羹	kəŋ1	
羽	ʮ2	
翁	oŋ1	
翅	tsʰɿ5	
翎	liŋ2	雁翎,翎毛
習	ɕiʔ7	
翠	tɕʰye5	
翡	fe	
翰	xœ5	
翻	fæ1	
翼	iʔ7	
耀	iɔ5	
老	lɔ2	
考	kʰɔ2	
而	ɯ1	
耍	tɕyᴀ3	
耐	næ5	
耕	kəŋ1	
耗	xɔ5	
耙	pʊ5	犁耙,耙地
耩	kɑŋ1	耩地
耳	ɯ2	
耽	tæ3	
耿	kəŋ2	
聊	liɔ2	
聖	səŋ2	
聘	pʰiŋ2	
聚	tɕʮ1	
聞	uəŋ2	
聯	li2	
聰	tsʰoŋ2	
聲	səŋ1	
聶	ȵiɛʔ7	姓
職	tsəʔ7	
聽	tʰiŋ2	聽見,聽話
聽	tʰiŋ3	聽其自然
聾	loŋ1	
肅	sɔʔ7	
肆	sɿ5	
肉	ȵiɔʔ7	
肋	ləʔ7	
肌	tɕɿ1	
肘	tse1	
肚	tu1	魚肚,豬肚
肚	tu1	腹肚
肝	kœ1	
股	ku3	
肢	tsɿ1	
肥	fe	
肩	tɕi1	
肪	fɑŋ2	脂肪
肫	tɕyəŋ1	肫肝,雞肫
肮	ɑŋ1	骯髒
肯	kʰəŋ2	
育	yɔʔ7	
肺	fe2	
胃	ue	
背	pæ5	
背	pæ5	背誦
胎	tʰæ1	
胖	pʰɑŋ1	
胚	pʰe1	
胛	tɕiᴀʔ7	肩胛
胞	pɔ1	
胡	fu2	
胡	u2	鬍子
胳	kəʔ7	胳膊
胷	soŋ1	
能	nəŋ2	
脂	tsɿ1	
脅	ɕiɛʔ7	
脆	tɕʰye2	
脉	mɔʔ7	
脊	tɕiʔ7	
脱	tʰuʔ7	
脯	pʰu2	胷脯
脯	fu2	杏脯:蜜製曬乾的水果
脹	tsɑŋ2	
脾	pɿ2	
腎	səŋ2	
腐	fu2	
腑	fu1	
腔	tɕʰiæ1	
腕	œ2	
腡	lou1	手指文
腥	ɕiŋ1	
腦	nɔ2	
腫	tsoŋ3	
腮	sæ1	
腰	iɔ1	
脚	tɕiᴀʔ7	
腸	tsɑŋ2	
腹	fɔʔ7	
腿	tʰue2	
膏	kɔ1	
膏	kɔ5	膏車,膏油
膘	piɔ1	肥膘
膚	fu2	
膜	mɔʔ7	
膝	tɕʰiʔ7	
膠	tɕiɔ1	
膨	pʰoŋ2	膨脹
膩	nɿ5	
膽	tæ3	
膿	ȵyŋ1	
臀	təŋ2	
