#漢字	音標	解釋
□	tɕʰio5	~呸哒,相当“呸”
豫	y5	
負	fu5	
責	tsᴇ7	
貨	xo5	
質	tsɿ7	
貳	ᴇ5	~心
貼	tʰiᴇ7	
賀	xo5	
賈	tɕiᴀ3	姓
資	tsɿ1	
賒	sᴀ1-	
賒	sᴇ1=	
賦	fu5	
賜	tsʰɿ7	
赤	tsʰᴇ7-	
赤	tsʰɿ7	
赤	tsʰᴀ7	
赦	sᴇ3	
赫	xᴇ7	
赴	pʰu7	
起	tɕʰi3	
越	yᴇ7	
趨	tɕʰy1	
趣	tɕʰy5	
趾	tsɿ3	
躍	io7	
跌	tiᴇ7	
跗	fu1	~面
跛	po3	
距	tɕy5	
跨	kʰuᴀ5	
路	lu5	
踏	tʰᴀ7	
踒	o1	~了脚
踢	tʰi7	
踢	tʰiᴀ7-	~死,用绳使劲勒
躱	to3	
車	tɕy1	~马炮
車	tsʰᴀ1	马~
車	tsʰᴇ1=	马~
軋	ŋᴀ1	新,~棉花
軋	tsᴀ7	老,~棉花
軛	ŋᴀ1	牛~
軸	tɕʰio7	老
輔	fu3	
輯	tɕi7	
輸	ɕy1	运~
轄	xᴇ1	管~
轍	tsᴇ7	
辭	tsʰɿ2	
辣	lᴀ1	
辰	tsʰɿ5	
達	tʰᴀ7	
迂	y2	
迄	tɕʰi7	
過	ko5	
遲	tsʰɿ2	
迫	pʰᴇ7	
述	ɕy7	
迷	mi2	
迹	tɕi7	
適	sᴇ7-	
適	sɿ7=	
逆	ȵi7	新,~风
逆	ȵiᴇ7	老,~风
逐	tɕʰio7	老
逝	sɿ5	
速	so7	
逸	i7	
邏	lo2	
逼	pʰi7	
遇	ȵy5	
遐	ɕiᴀ2	
遺	i5	~留
遮	tsᴀ1	
避	pʰi7	
邂	ɕiᴇ7	~逅
那	nᴇ1-	
那	lᴀ3=	
邪	ɕiᴀ2	
邪	ɕiᴇ2=	
邾	tɕy1	
郝	kʰo7	姓
部	pʰu5	
郭	ko7	
鄂	ŋo7	
鄙	pʰi3	
酌	ȶio7	
酌	ɕio7	
酪	lo7	
酷	kʰu5	
酹	nᴇ7	
醉	tɕy5	老
醭	pʰu7	生白~
釋	sɿ7	
里	ti3	
野	iᴇ3=	
釜	fu3	
钁	ȶio7	~头
釵	tsʰᴀ1	
鑰	io7	~匙
鈀	pʰᴀ2	~子
鉢	po7	
鈸	pʰo7	
鐵	tʰiᴇ7	
鐸	tʰo7	
鍘	tsᴀ7	又,~刀
鍘	tsʰᴀ7	又,~刀
鏵	xuᴀ2	
銫	sᴇ7	
鑄	tɕy5	
鋪	pʰu1	~设
鋪	pʰu5	店~
鎖	so3	
鍋	ko1	
銼	tsʰo3	
錯	tsʰo7	~误
錯	tsʰo7	~杂
錫	ɕi7-	
錫	ɕiᴀ7-	
錮	ku5	~锅
鑼	lo2	
錘	tɕʰy2	老
鋸	tɕy5	~子
錙	tsɿ1	~重
鑷	ȵiᴇ7	~手蹑脚走
鐲	tso7	
鑞	ɕiᴀ7	锡~
閉	pʰi7	
閘	tsᴀ7	
閣	ko7	
闊	kʰo7	
闊	kʰuᴀ5	老
阿	ᴀ1	~哥
阿	o1	~胶
附	fu5	
際	tɕi5	
陌	mᴇ7	~生
陛	pi7	~下
除	tɕʰy2	
隨	ɕy2	
隔	kᴀ7	~壁
隔	kᴇ7	新
隧	ɕy5	~道
隶	tʰi7	
雀	tɕʰio7	麻~
雅	ŋᴀ3	
雅	iᴀ3=	
集	tɕʰi7	
雇	ku5	
雉	tsʰɿ1	
雌	tsʰɿ2	
雨	y3	
雪	ɕiᴇ7	
霧	u5	
需	ɕy1	
霍	kʰo7	
霞	ɕiᴀ2	
霸	pᴀ5	
靡	mi2	
靨	iᴇ7	酒~
革	kᴇ7	
靴	ɕyᴀ1	
頁	iᴇ1	
须	ɕy1	
顧	ku5	
預	y5	
頗	pʰo3	
顆	kʰo3	一~珠
額	ŋᴀ7-	
額	ŋᴇ7	
食	sɿ7	
饥	tɕi1	~饿
饥	tɕi1	~荒
飭	tsɿ7	
飾	pu5	
飾	sɿ7	
飴	i2	高梁~
餌	ᴇ3	
餃	tɕio7	~子
餑	pʰu7	面~
餓	ŋo5	
餜	ko3	
騇	sᴀ3	母的牛马
騇	sᴇ3	母的牛马
馬	mᴀ3	
馱	tʰo2	~起来
馱	tʰo5	~子
馳	tsʰɿ2	
驅	tɕʰy1	
駁	po7	
駛	sɿ3	
駒	tɕy1	
駐	tɕy5	
駝	tʰo2	
駕	kᴀ5-	
駕	tɕiᴀ5=	
駡	mᴀ5	
駱	lo7	
騎	tɕʰi2	
騾	lo2	
髓	ɕi2	新
髓	ɕy2	老
髻	tiᴇ7	
髽	tsʰo1	~髻
鬍	xu2	
鬚	ɕy1	
魄	pʰᴇ7	
魔	mo2	
魚	y2=	
鯉	ti3	
鰣	sɿ2	
鰭	tɕʰi2	
雞	tɕi1	
鴉	ŋᴀ1-	
鴉	iᴀ1=	
鴨	ŋᴀ7	
鴿	ko7	
鵝	ŋo1	
鵡	u3	鹦~
鵲	tɕʰio7	喜~
鶴	xo7	
鷺	lu5	~鸶
麋	mi2	
麝	ɕiᴇ5	~香
麥	mᴇ7	新
麥	mᴇ1	老
麩	fu1	麦~子
麻	pi1	
麻	mᴀ2	
黍	ɕy3	
黑	xᴇ7	
默	mᴇ7	
鼈	pi7	
鼓	ku3	
鼠	ɕy3	
鼻	pʰi5	
齊	tɕʰi2	
齒	tsʰɿ3	
