#漢字	音標	解釋
□	liᴀ3	舔
尿	niɔ5	
局	tɕiu2	
屁	pʰi5	
層	tsʰən2	
居	tɕyi1	
屈	tɕʰiu2	
屉	tʰi5	
屆	tɕieɪ5	
屋	u2	
屎	sɿ3	
屏	pʰɪn2	
展	tsæ̃3	
屬	su2	
屠	tʰu2	
履	lyi3	
屯	tʰuən2	
山	sæ̃1	
歲	suɐi5	
豈	tɕʰi3	
岔	tsʰᴀ5	
崗	kᴀŋ1	
島	tɔ3	
岳	iou2	
岸	ŋæ̃5	
峽	ɕiᴀ2	
峰	foŋ1	
崇	tsʰoŋ2	
崑	kʰuən1	
崔	tsʰuɐi1	
崖	iᴀ2	
崩	poŋ1	
嵌	kʰæ̃1	
嶺	lɪn3	
川	tsʰuɤɯ1	
州	tsɐu1	
巡	ɕyn2	
巢	tsʰɔ2	
工	koŋ1	
左	tsou3	
巧	tɕʰiɔ3	
巨	tɕyi5	
巫	u1	
差	tsʰᴀ1	
差	tsʰæ̃1	出~
己	tɕi3	
巴	pᴀ1	
巷	xiᴀŋ5	
巾	tɕien1	
市	sɿ5	
布	pu5	
帥	suɐi5	
師	sɿ1	
希	ɕi1	
帳	tsᴀŋ5	
帕	pʰᴀ5	
帛	pɤɯ2	
帝	ti5	
帶	tæ̃5	
席	ɕi2	
幫	pᴀŋ1	
常	tsʰᴀŋ2	
帽	mɔ5	
幕	mu5	
干	kæ̃1	
平	pʰɪn2	
年	nieɪ2	
并	pɪn5	
幸	ɕien5	
幺	iɔ1	
幻	xuɤɯ5	
幼	iɐu5	
幽	iɐu1	
廣	kuᴀŋ3	
莊	tsuᴀŋ1	
慶	tɕʰien5	
庇	pʰi5	
牀	tsʰuᴀŋ2	
序	ɕyi5	
廬	lu2	
庫	kʰu5	
應	ien1	
應	ien5	~该
底	ti3	
廟	miɔ5	
庚	kən1	
府	fu3	
龐	pʰᴀŋ2	
廢	fɐi5	
度	tu5	
座	tsʰou5	
庭	tʰɪn2	
康	kʰᴀŋ1	
庸	ioŋ1	
廉	lei2	
廊	lᴀŋ2	
廖	liɐu5	
延	ieɪ2	
建	tɕieɪ5	
開	kʰæ̃1	
异	i5	
弃	tɕi5	
弄	noŋ5	
弓	koŋ1	
引	ien3	
弘	xoŋ2	
張	tsᴀŋ1	
彎	uæ̃1	
弱	zɔ2	
彈	tæ̃5	
强	tɕʰiᴀŋ2	
强	tɕʰiᴀŋ3	勉~
歸	kuɐi1	
當	tᴀŋ1	
录	lu2	
形	ɕien2	
彪	piɔ1	
彬	pɪn1	
彭	pʰən2	
影	ien3	
役	i2	
徹	tsʰɤɯ2	
彼	pʰi3	
往	uᴀŋ3	
征	tsən1	
徑	tɕien5	
待	tæ̃5	
很	xən3	
律	li2	
徐	ɕyi2	
徒	tʰu2	
得	tɤɯ2	
循	ɕyn2	
德	tɤɯ2	
徽	xuɐi1	
心	ɕien1	
必	pi2	
憶	i5	
忌	tɕi5	
忍	zən3	
志	tsɿ5	
忘	uᴀŋ5	
忙	mᴀŋ2	
忠	tsoŋ1	
憂	iɐu1	
念	nieɪ5	
忽	fu2	
忿	fən5	
懷	xuæ̃2	
態	tʰæ̃5	
慪	ŋɐu5	
怕	pʰᴀ5	
怖	pu5	
憐	lɪn2	
思	si1	
怠	tæ̃5	
急	tɕi2	
性	ɕien5	
怨	ʏei5	
怪	kuæ̃5	
總	tsoŋ3	
戀	lei5	
恐	kʰoŋ3	
恆	xən2	
恢	xuɐi1	
恤	ɕyẽ2	
恨	xən5	
恩	ŋən1	
息	ɕi2	
恰	tɕʰiᴀ2	
懇	kʰən3	
恶	ŋɔ2	
恶	u5	可~
惱	nɔ3	
悉	ɕi2	
悔	u3	
悔	xuɐi3	
悟	u5	
患	xuɤɯ5	
悦	ʏei2	
懸	ɕyẽ2	
憫	mɪn3	
悲	pɐi1	
情	tɕʰien2	
驚	tɕien1	
惜	ɕi2	
惠	xuɐi5	
懼	tɕyi5	
慘	tsʰæ̃3	
慚	tsʰæ̃2	
慣	kuæ̃5	
惰	tʰou5	
想	ɕiᴀŋ3	
惹	zɤɯ3	
愁	tsʰɐu2	
愉	yi2	
意	i5	
愚	yi2	
感	xɔ2	
感	kæ̃3	
憤	fən5	
願	ʏei5	
慈	tsʰɿ2	
慌	xuᴀŋ1	
慎	tsʰən5	
慕	mu5	
慢	mɤɯ5	
慢	mæ̃5	
慧	xuɐi5	
慨	kʰæ̃5	
慫	soŋ3	
慰	uɐi5	
慷	kʰᴀŋ1	
憋	pei1	
憎	tsən1	
憨	xæ̃1	
憾	xæ̃5	
懂	toŋ3	
懶	læ̃3	
戈	kou2	
戎	zoŋ2	
戲	ɕi5	
成	tsʰən2	
我	ŋou3	
戒	tɕieɪ5	
或	xɔ2	
戰	tsæ̃5	
戚	tɕʰi2	
截	tɕieɪ2	
戴	tæ̃5	
戶	xu5	
房	fᴀŋ2	
所	sou3	
扁	pei3	
扇	sɤɯ5	
手	sɐu3	
才	tsʰæ̃2	
扎	tsᴀ2	
扑	pʰu2	
打	tᴀ3	
扔	zən1	
托	tʰɔ2	
扛	kʰᴀŋ2	
扣	kʰɐu5	
執	tsɿ2	
擴	kʰɔ2	
掃	sɔ3	
掃	sɔ5	~帚
揚	iᴀŋ2	
扭	ȵiɐu3	
扮	pæ̃5	
扯	tsʰɤɯ3	
擾	zɔ3	
扶	fu2	
批	pʰi1	
承	tsʰən2	
技	tɕi5	
抄	tsʰɔ1	
