#漢字	音標	解釋#('wuu_th_shj_csts', '常熟唐市話', '常熟唐市', '#8B0000', None, None, '來源：<u>鶩高赭紗匕</u>', '53 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,423 5 3a 陰去 ꜄,213 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇', None, None)
椁	kuɔʔ7	
椅	i3	
植	dzᴇʔ8	
椒	tsiɔ1	
橢	tʰɯ3	
椰	ɦiɑ2	
椶	tsoŋ1	
椽	dzᴇ2	
椿	tsʰᴇ̃1	
楊	ɦiã2	
楓	foŋ1	
楚	tsʰɯ3	
楝	lie6	
楠	nᴇ̃2	
楣	mᴇ2	
楦	ɕiɤ5	
楨	tsᴇ̃1	
楫	tsiɪʔ7	
業	ȵie8	
極	dʑiɪʔ8	
楷	kʰɑ3	
概	kæ3	
榆	ɦi2	
榔	lɒ̃2	
榕	ɦioŋ2	
榛	tsᴇ̃1	
榜	pɒ̃3	
榨	tsu5	
榫	sᴇ̃3	
榮	ɦioŋ2	
榴	liɯ2	
榻	tʰaʔ7	
構	kᴇ3	
槌	dzɿ2	【白读】棒～
槍	tsʰiã1	
槎	dzu2	
槐	ɦuɑ2	
槓	kɒ̃5	
槳	tsiã3	
槽	zɔ2	
樁	tsɒ̃1	
樂	lɔʔ8	快～
樂	ŋɔʔ8	【白读】～桥（江苏苏州地名）；～清（浙江地名）
樂	ɦiɔʔ8	【文读】音～
樂	ɦiɔ6	【文读】仁者～山，智者～水
樊	væ2	
樓	lᴇ2	
標	piɔ1	
樞	sɿ1	
樟	tsɒ̃1	
模	mu2	
樣	ɦiã6	
樸	pʰɔʔ7	纯～
樹	zɿ6	一棵～
樹	zɿ4	～立
樺	ɦu6	
橋	dʑiɔ2	
橘	tɕioʔ7	
橙	dzᴇ̃2	
機	tɕi1	
橡	ziã4	
橫	ɦuã2	
橫	ɦuɒ̃2	～山（江苏苏州地名，太湖岛屿）
橫	ɦuã6	蛮～
橫	uã1	～对，～理，～浜（不讲理）
檀	dæ2	
檔	tɒ̃5	
檢	tɕie3	
檣	dziã2	
檬	moŋ2	
檯	dæ2	～子；写字～；讲～
檳	piŋ1	
檸	ȵiŋ2	
櫂	dzɔ6	
櫃	dʑi4	【白读】～台
櫃	ɡuᴇ4	【文读】
櫓	lɯ4	
櫞	ɦiɤ2	
櫟	liɪʔ8	
櫥	dzɿ2	
櫻	ã1	【白读】～桃
櫻	iŋ1	【文读】～花
欄	læ2	
權	dʑiɤ2	
欖	læ4	
欠	tɕʰie5	
次	tsʰɿ5	
欲	ɦioʔ8	
欸	ᴇ	应答声
欺	tɕʰi1	
欽	tɕʰiŋ1	
款	kʰuɤ3	
歇	ɕiɪʔ7	
歉	tɕʰie5	
歌	kɯ1	
歐	ᴇ1	
歙	sᴇʔ7	～县（安徽地名）
歙	ɕiɪʔ7	
歡	huɤ1	
止	tsɿ3	
正	tsᴇ̃1	～月
正	tsiŋ1	～仪（江苏昆山地名）
正	tsᴇ̃5	公～
此	tsʰɿ1	
步	bu6	
武	vu4	
武	ŋ̍4	～山（江苏苏州地名）
歧	dʑi2	
歪	huɑ1	
歲	sᴇ5	
歷	liɪʔ8	
歸	tɕi1	【白读】姓
歸	kuᴇ1	【文读】～去；～纳；回～
死	sɿ3	【文读】～亡
死	si3	【白读】～人；～活；～尸
殂	zɯ2	
殃	iã1	
殉	dziŋ6	
殊	dzɿ2	
殖	dzᴇʔ8	
殘	dzæ2	
殤	sɒ̃1	
殯	piŋ5	
殲	tsie1	
段	dɤ6	
殷	æ1	～红
殷	iŋ1	～勤
殺	saʔ7	
殼	kʰɔʔ7	
殿	die6	
毀	huᴇ3	
毅	ȵi6	
毆	ᴇ1	
母	mu1	【文读】～亲
母	mu4	
母	m̩4	【白读】丈～；伯～
每	mᴇ1	【文读】
毒	doʔ8	
比	pi3	
毗	bi2	
毘	bi2	
毛	mɔ2	
毫	ɦɔ2	
毯	tʰæ3	
毽	tɕie5	
氈	tsᴇ1	
氏	zɿ4	
民	miŋ2	
氓	mɒ̃2	流～
氓	mᴇ̃2	【文读】
氙	sie1	
氟	foʔ7	
氣	tɕʰi5	
氧	ɦiã4	
氨	ɤ1	
氫	tɕʰiŋ1	
氮	dæ4	
氯	loʔ8	
水	sɿ3	【白读】
水	sᴇ3	【文读】
永	ioŋ3	
氽	tʰᴇ̃3	
氿	tɕiɯ3	宜兴湖泊名：西～，团～，东～
汀	tʰiŋ1	
汁	tsᴇʔ7	
求	dʑiɯ2	
汆	tsʰɤ1	
汊	tsʰu5	
汏	dɑ6	洗
汐	dziɪʔ8	
汕	sæ5	
汗	ɦɤ6	
汗	ɦɤ2	可～
汛	siŋ5	
汜	zɿ4	
汝	zɿ4	
汞	koŋ3	
江	kɒ̃1	【白读】
江	tɕiɒ̃1	【文读】
池	dzɿ2	
污	u1	
汧	tɕʰie1	
汪	uɒ̃1	
汰	tʰɑ5	【白读】
汰	tʰæ5	【文读】
汶	vᴇ̃6	
決	tɕioʔ7	
汽	tɕʰi5	
汾	fᴇ̃1	～湖（江苏吴江、浙江嘉善交界处的湖泊，本名“分湖”）
汾	vᴇ̃2	～河（山西省境内的河流，黄河支流）
沁	tsʰiŋ5	
沃	uɔʔ7	
沆	ɦɒ̃4	
沈	sᴇ̃3	
沉	dzᴇ̃2	
沌	dᴇ̃2	
沐	mɔʔ8	
沒	moʔ8	沉～；淹～
沒	mᴇʔ8	表示否定
沔	mie4	
沕	miɪʔ8	
沙	su1	
沚	tsɿ3	
沛	pʰᴇ5	
沭	dzᴇʔ8	～阳（江苏地名）
沱	dɯ2	
沸	fi5	
油	ɦiɯ2	
沺	die2	
治	dzɿ6	
沼	tsɔ3	
沽	ku1	
沾	tsᴇ1	
沿	ɦie2	
況	huɒ̃5	
泅	dziɯ2	
泉	dzie2	
泊	pʰɑʔ7	
泌	pi5	
泐	lᴇʔ8	沙洲上的河流：石皮～（上海浦东地名）；偷鸭～（上海奉贤地名）
泓	ɦoŋ2	
法	faʔ7	
泖	mɔ4	～口（浙江平湖地名）；～湾（上海金山地名）
泖	mu4	～港（上海松江地名）；横～头（上海金山地名）
泗	sɿ5	
泛	fæ5	
泠	liŋ2	
泡	pʰɔ1	
泡	pʰɔ5	
波	pu1	
波	poʔ7	宁～（浙江地名）
泣	tɕʰiɪʔ7	
泥	ȵi2	
注	tsɿ5	
泫	ɦiɤ4	
泯	miŋ4	
泰	tʰɑ5	
泳	ioŋ3	
泵	pɒ̃1	外语音译词，读音并不绝对固定，此为一种
洇	iŋ1	
洋	ɦiã2	
洑	voʔ8	
洗	si3	
洗	sie3	
洙	tsɿ1	
洛	lɔʔ8	
洞	doŋ6	
洞	doŋ2	洪～（山西地名）
津	tsiŋ1	
洩	siɪʔ7	
洪	ɦoŋ2	【文读】
洪	ŋ̍2	【白读】
洲	tsɯ1	
洵	siŋ1	
洶	ɕioŋ1	
活	ɦuoʔ8	
洽	ɦiaʔ8	【文读】
派	pʰɑ5	
流	liɯ2	
瀏	liɯ2	
浙	tsᴇʔ7	
浜	pã1	
浠	ɕi1	
浣	ɦuɤ4	
浥	iɪʔ7	
浦	pʰu3	
浩	ɦɔ4	
浪	lɒ̃6	掼～头；波～
浪	lɒ̃2	沧～亭（江苏苏州地名）
浮	vᴇ2	
浮	vu2	大～（江苏无锡地名）；～桥（江苏太仓地名）
浴	ɦioʔ8	
海	hæ3	
浸	tsiŋ5	
浹	tsiɪʔ7	
浹	kaʔ7	
涇	tɕiŋ1	
消	siɔ1	
涉	zᴇʔ8	
涎	zæ2	～唾（口水）
涎	zie2	垂～三尺
涎	ɦie2	湎～（水流貌）
涓	tɕiɤ1	
涔	dzᴇ̃2	
涕	tʰi5	
涪	vᴇ2	
涮	sᴇ5	
涯	ɦiɑ2	
液	ɦiɪʔ8	
涴	ɯ5	
涵	ɦᴇ̃2	
涸	ɦɔʔ8	
涼	liã2	
涿	tsɔʔ7	
淀	die6	在华北地区指浅水湖泊，如位于河北雄县、容城、安新、任丘的“白洋淀”。上海市杨浦区亦有一湖泊名“白洋淀”
淄	tsɿ1	
淅	siɪʔ7	
淆	ɦiɔ2	
淇	dʑi2	
淋	liŋ2	
淑	zoʔ8	
淒	tsʰi1	
淖	nɔ6	
淘	dɔ2	
淙	zoŋ2	
淚	li6	
淝	vi2	
淞	soŋ1	
淡	dæ4	
淦	kᴇ̃5	
淨	dziŋ6	
淪	lᴇ̃2	
淫	ɦiŋ2	
淮	ɦuɑ2	
淳	zᴇ̃2	
淶	læ2	
混	ɦuᴇ̃2	
淹	ie1	
淺	tsʰie3	
添	tʰie1	
淼	miɔ4	
清	tsʰiŋ1	
渌	loʔ8	
渙	huɤ5	
減	kæ3	
渝	ɦi2	
渠	ɦᴇ2	【白读】第三人称单数
渠	dʑi2	【文读】水～；～道
渡	dɯ6	
渣	tsu1	
渧	ti5	
測	tsʰᴇʔ7	
渭	ɦuᴇ6	
港	kɒ̃3	
渳	mi1	小口喝
渴	kʰᴇʔ7	
渺	miɔ4	
渾	ɦuᴇ̃2	
湄	ȵi2	～浦桥（上海宝山地名）；～浦（上海宝山境内的一条河流）
湄	mᴇ2	
湊	tsʰᴇ5	
湎	mie4	
湓	bᴇ̃2	
湖	ɦu2	
湘	siã1	
湛	dzæ4	
湟	ɦuɒ̃2	
湧	ioŋ3	
湫	tsʰiɯ1	
湮	ie1	
湯	tʰɒ̃1	
源	ȵiɤ2	
準	tsᴇ̃3	
溜	liɯ1	
溝	kᴇ1	
溥	pʰu3	
溧	liɪʔ8	
溪	tɕʰi1	
溫	uᴇ̃1	
溯	sɯ5	
溲	sᴇ1	
溴	ɕiɯ5	
溶	ɦioŋ2	
溺	ȵiɪʔ8	
滂	pʰɒ̃1	
滄	tsʰɒ̃1	
滅	miɪʔ8	
滇	die2	
滋	tsɿ1	
滎	ɦioŋ2	
滏	vu4	
滑	ɦuaʔ8	
滔	tʰɔ1	
滕	dᴇ̃2	
滗	piɪʔ7	
滧	ɦiɔ6	
滬	ɦu4	
滴	tiɪʔ7	
滸	ɕi3	～墅关（江苏苏州地名）；～浦（江苏常熟地名）；滩～（浙江嵊泗地名）
滸	hu3	～山（浙江慈溪地名）；水～
滹	hu1	
滾	kuᴇ̃3	
滿	mɤ4	
漁	ɦi2	
漂	pʰiɔ1	
漂	pʰiɔ5	
漆	tsʰiɪʔ7	
漉	loʔ8	
漊	lᴇ2	
漏	lᴇ6	
演	ɦie4	
漕	zɔ2	
漚	ᴇ5	
漠	mɔʔ8	
漢	hɤ5	
漣	lie2	
漩	dzie2	
漩	dzie6	
漪	i1	
漫	mɤ6	水～金山
漬	zɿ6	
漱	sɯ5	
漲	tsã3	
漳	tsɒ̃1	西～，南西～（江苏无锡地名）
漴	sɒ̃1	～缺（上海奉贤地名）
漵	zi4	
漸	dzie4	
漾	ɦiã6	
潁	ɦiŋ4	
瀟	siɔ1	
潑	pʰoʔ7	
潔	tɕiɪʔ7	
潘	pʰɤ1	
潛	dzie2	
潞	lɯ6	
潢	ɦuɒ̃2	
潤	ȵiŋ6	【白读】
潤	zᴇ̃6	【文读】
潨	dzoŋ2	
潭	dᴇ̃2	
潮	dzɔ2	
潰	ɡuᴇ6	
瀦	tsɿ1	
潺	dzæ2	
潽	pʰu1	因沸而溢
澀	sᴇʔ7	
澄	dzᴇ̃2	《广韵》直陵切：～清；～湖
澄	dzã2	《广韵》直庚切：阳～湖
澆	tɕiɔ1	
澇	lɔ6	
澗	kæ3	【白读】
澗	tɕie3	【文读】
澡	tsɔ3	
澤	zɑʔ8	【白读】地名用字，本字为“宅”：崧～，金～，张～，盛～；古代湖泊通名：震～
澤	dzᴇʔ8	【文读】沼～
澮	huᴇ5	
澱	die6	～粉；积～；沉～；昆山、青浦一带的湖泊通名：薛～（又名“～山湖”），西漾～，大～，太史～
澳	ɔ5	
澹	dæ4	
激	tɕiɪʔ7	
濁	dzɔʔ8	
濃	ȵioŋ2	
濕	sᴇʔ7	
濟	tsi5	
濤	dɔ2	
濫	læ6	
濮	boʔ8	
濯	dzɔʔ8	
濱	piŋ1	
濺	tsie5	
濾	li6	
瀆	doʔ8	
瀉	siɑ5	
瀕	piŋ1	
瀘	lɯ2	
瀚	ɦɤ6	
瀝	liɪʔ7	
瀣	ɦie6	【文读】
瀰	mi2	
瀲	lie6	
瀴	iŋ5	凉，冷
灌	kuɤ5	
灑	sɑ3	
灒	tsæ5	
灔	ɦie6	
灘	tʰæ1	
灞	pu5	
灣	uæ1	
灤	lɤ2	
火	hɯ3	
灰	huᴇ1	
灶	tsɔ5	
灸	tɕiɯ3	
灼	tsɑʔ7	【文读】
災	tsæ1	
炅	tɕioŋ3	
炊	tsʰɿ1	【白读】
炊	tsʰᴇ1	【文读】
炎	ɦie2	
炒	tsʰɔ3	
炔	tɕʰioʔ7	
炕	kʰɒ̃5	
炖	tᴇ̃5	
炙	tsɑʔ7	
炫	ɦiɤ6	
炬	dʑi4	
炭	tʰæ5	
炮	pʰɔ5	～弹
炮	bɔ2	～烙；～制
炯	tɕioŋ3	
炳	piŋ3	
炸	tsu5	爆～；～弹
炸	zaʔ8	
爲	ɦuᴇ2	作～
爲	ɦuᴇ6	因～
烈	liɪʔ8	
烊	ɦiã2	
烏	u1	
烔	doŋ2	
烘	hoŋ1	【文读】
烘	hŋ̍1	【白读】
烙	lɔʔ8	
烤	kʰɔ3	
烯	ɕi1	
烴	tʰiŋ1	
烷	ɦuɤ2	
烹	pʰã1	【白读】菜在用油略炒后加酒、酱油或水煮
烹	pʰᴇ̃1	【文读】～饪
焉	ie1	
焊	ɦɤ4	
焐	u5	
焗	dʑioʔ8	
焙	bᴇ6	
焚	vᴇ̃2	
無	vu2	～论；～锡（江苏地名）
無	m̩2	没有。俗写作“呒”
無	mu2	南～阿弥陀佛
焦	tsiɔ1	
焯	tsʰɑʔ7	
焰	ɦie6	
焱	ɦie6	
然	zᴇ2	
煅	tɤ5	
煉	lie6	
煌	ɦuɒ̃2	
煎	tsie1	
煒	ɦuᴇ4	
煙	ie1	
煞	saʔ7	
煤	mᴇ2	
煥	huɤ5	
照	tsɔ5	
煨	uᴇ1	
煩	væ2	
煮	tsɿ3	
煽	sᴇ1	
熄	siɪʔ7	
熊	ɦioŋ2	
熏	ɕioŋ1	
熒	ɦioŋ2	
熔	ɦioŋ2	
熗	tsʰiã5	
熘	liɯ1	
熙	ɕi1	
熝	ɔ1	
熟	zoʔ8	
熠	ɦiɪʔ8	
熨	ioʔ7	
熨	ioŋ5	
熬	ŋɔ2	
熯	hɤ5	
熱	ȵiɪʔ8	
熾	tsʰɿ5	
燁	ɦiɪʔ8	
燃	zᴇ2	
燈	tᴇ̃1	
燎	liɔ2	
燏	ɦioʔ8	
燐	liŋ2	
燕	ie1	～山；～国
燕	ie5	～子
燙	tʰɒ̃5	
營	ɦioŋ2	
燥	sɔ5	
燦	tsʰæ1	
燭	tsoʔ7	
燴	huᴇ5	
爆	pɔ5	油～虾
爆	bɔ6	～炸
爍	zɑʔ8	【文读】
爐	lɯ2	
爛	læ6	
爪	tsɔ3	
爬	bu2	
爭	tsã1	【白读】
爭	tsᴇ̃1	【文读】～夺；战～；竞～
父	vu4	
爸	pɑ1	
爹	tiɑ1	
爺	ɦiɑ2	
爽	sɒ̃3	
爾	əl4	
牆	dziã2	
片	pʰie5	
版	pæ3	
牌	bɑ2	
牙	ŋɑ2	
牚	tsʰã5	
牛	ȵiɯ2	
牝	biŋ4	
牟	mᴇ2	
牢	lɔ2	
牧	mɔʔ8	
物	mᴇʔ8	【白读】～事
物	voʔ8	【文读】～理
牮	tsie5	
牯	ku3	
牲	sã1	【白读】众～；畜～
牲	sᴇ̃1	【文读】牺～
特	dᴇʔ8	
牽	tɕʰie1	
犁	li2	
犄	tɕi1	
犍	dʑie2	
犒	kʰɔ5	
犟	dʑiã4	
犧	ɕi1	
犬	tɕʰiɤ3	
犯	væ4	
狀	dzɒ̃6	
狂	ɡuɒ̃6	
狄	diɪʔ8	
狐	ɦu2	
狒	vi6	
狗	kᴇ3	
狡	tɕiɔ3	【文读】～猾
狩	sɯ5	
狸	li2	
狹	ɦaʔ8	
狼	lɒ̃2	
狽	pᴇ5	
猖	tsʰɒ̃1	
猗	i1	
猗	dʑi2	古～园（嘉定南翔的一座园林）
猙	tsᴇ̃1	
猛	mã4	
猜	tsʰᴇ1	
猝	tsʰᴇʔ7	
玀	lɯ2	猪～
猩	siŋ1	
猬	ɦuᴇ6	
猴	ɦᴇ2	
猶	ɦiɯ2	
猾	ɦuaʔ8	
猿	ɦiɤ2	
獄	ȵioʔ8	
獅	sɿ1	
獎	tsiã3	
獒	ŋɔ2	
獨	doʔ8	
獰	ȵiŋ2	
獲	ɦuoʔ8	
獵	laʔ8	
獸	sɯ5	
獺	tʰaʔ7	
獻	ɕie5	
獾	huɤ1	
玄	ɦiɤ2	
率	liɪʔ8	效～
率	sæ5	表～
率	sᴇʔ7	～领
玉	ȵioʔ8	
王	ɦiɒ̃2	【白读】姓
王	ɦuɒ̃2	【文读】大～
王	ɦuɒ̃6	统治
玖	tɕiɯ3	
玥	ȵioʔ8	
玩	ɦuɤ2	
玩	mæ2	【白读】
玫	mᴇ2	
玲	liŋ2	
玳	dæ6	
珀	pʰɑʔ7	
珂	kʰɯ1	
珈	kɑ1	
珉	miŋ2	
珊	sæ1	
珍	tsᴇ̃1	
珏	tɕiɔʔ7	【文读】
瓏	loŋ2	
珙	koŋ3	
珞	lɔʔ8	
珠	tsɿ1	
班	pæ1	
現	ɦie6	
球	dʑiɯ2	
琅	lɒ̃2	
理	li4	
琉	liɯ2	
琚	tɕi1	
琢	tsɔʔ7	
琥	hu3	
琦	dʑi2	
琨	kʰuᴇ̃1	
琪	dʑi2	
琰	ɦie4	
琳	liŋ2	
琴	dʑiŋ2	
琵	bi2	
琶	bu2	
琿	ɦuᴇ̃2	～春（吉林地名）
琿	huᴇ1	瑷～（黑龙江地名）
瑁	mᴇ6	玳～
瑁	mɔ6	
瑇	dæ6	
瑕	io1	
瑙	nɔ4	
瑜	ɦi2	
瑞	dzᴇ6	
瑟	sᴇʔ7	
瑣	sɯ3	
瑩	ɦioŋ2	
瑪	mu4	【白读】～瑙
瑪	mɑ4	【文读】多用于外语音译的人名、地名
瑯	lɒ̃2	
瑰	kuᴇ1	
瑤	ɦiɔ2	
璃	li2	
璇	dzie2	
璋	tsɒ̃1	
璐	lɯ6	
璜	ɦuɒ̃2	
璞	pʰɔʔ7	
璦	æ5	
璧	piɪʔ7	
環	ɡuæ2	
璽	si3	
瓊	dʑioŋ2	
瓜	ku1	
瓢	biɔ2	
瓣	bæ6	
瓤	ȵiã2	
瓤	nɒ̃2	
瓦	ŋu4	
瓶	biŋ2	
瓷	dzɿ2	
甄	tsᴇ̃1	
甌	ᴇ1	
甏	bã6	
甑	tsᴇ̃5	
甓	biɪʔ8	
甕	oŋ5	
甘	kᴇ̃1	
甚	zᴇ̃6	
甜	die2	
生	sã1	【白读】～熟
生	sᴇ̃1	【文读】～产
產	su3	【白读】～母
產	tsʰæ3	【文读】
甥	sã1	
用	ɦioŋ6	
甩	huaʔ7	
甪	loʔ8	
甫	fu3	
甬	ɦioŋ4	
田	die2	
由	ɦiɯ2	
甲	kaʔ7	【白读】盔～；～板
甲	tɕiaʔ7	【文读】天干名：～乙丙丁；～基睾丸酮
申	sᴇ̃1	
男	nᴇ̃2	
甸	die6	
町	tʰiŋ3	
甾	tsɿ1	
畋	die2	
界	tɕiɑ5	【文读】～线
界	kɑ5	【白读】
畏	uᴇ5	
留	lᴇ2	
畚	pᴇ̃1	～箕；～垃圾
畚	fᴇ̃5	～箕
畜	tsʰoʔ7	～牲
畜	ɕioʔ7	～牧业
畝	mᴇ4	【文读】～产
畝	m̩4	【白读】面积单位
畢	piɪʔ7	
略	liɑʔ8	
番	fæ1	
番	pʰɤ1	～禺（广东地名）
畫	ɦu6	
異	ɦi6	
當	tɒ̃1	
疁	lᴇ2	嘉定的别称
疃	tʰɤ3	
疆	tɕiã1	
疊	diɪʔ8	
疏	sɯ1	～忽
疏	sɯ5	注～
疑	ȵi2	
疘	koŋ1	
疚	tɕiɯ5	
疝	sæ1	
疤	pu1	
疫	ɦioʔ8	
疲	bi2	
疵	dzɿ2	
疹	tsᴇ̃5	
疼	dᴇ̃2	
疾	dziɪʔ8	
疿	bᴇ6	
痂	kɑ1	
病	biŋ6	
症	tsᴇ̃5	
痊	tsʰie1	
痔	dzɿ4	
痕	ɦᴇ̃2	
痘	dᴇ6	
痙	dʑiŋ4	
痛	tʰoŋ5	
痞	pʰi3	
痢	li6	
痣	tsɿ5	
痧	su1	
痰	dæ2	
痱	bᴇ6	～子
痹	bi6	
痺	bi6	同“痹”
瘁	dzᴇ6	
瘋	foŋ1	
瘌	laʔ8	
瘍	ɦiã2	
瘙	sɔ5	
瘟	uᴇ̃1	
瘡	tsʰɒ̃1	
瘢	pæ1	
瘤	lᴇ2	
瘦	sᴇ5	
瘧	ŋɔʔ8	【白读】～子（疟疾）
瘧	ȵiɑʔ8	【文读】
癟	piɪʔ7	
瘴	tsɒ̃5	
瘸	dʑio2	
療	liɔ2	
癇	ɦæ2	
癉	tæ1	
癌	ŋæ2	
癔	iɪʔ7	
癩	lɑ6	
癤	tsiɪʔ7	
癬	sie3	
癰	ioŋ1	
癱	tʰæ1	【文读】
癱	tʰɤ1	【白读】～子
癲	tie1	
癸	kuᴇ3	
登	tᴇ̃1	
白	bɑʔ8	
百	pɑʔ7	
皂	zɔ4	
的	tiɪʔ7	
皆	tɕiɑ1	【文读】
皇	ɦuɒ̃2	
皋	kɔ1	
皎	tɕiɔ3	
皓	ɦɔ4	
皖	ɦuɤ4	
皙	siɪʔ7	
皮	bi2	
皴	tsʰᴇ̃1	
皵	tsʰiɑʔ7	
皺	tsᴇ5	
皿	miŋ4	
盂	ɦi2	
盅	tsoŋ1	
盆	bᴇ̃2	
盈	ɦiŋ2	
益	iɪʔ7	
盒	ɦᴇʔ8	
盛	zã6	【白读】姓
盛	zᴇ̃6	【文读】强～；茂～；～大
盛	zᴇ̃2	～饭
盜	dɔ6	
盝	loʔ8	～儿（杭州话中的詈语）
盞	tsæ3	
盟	mᴇ̃2	
盡	dziŋ4	
監	kæ1	
盤	bɤ2	
盧	lɯ2	
目	mɔʔ8	
盯	tiŋ1	
盱	ɕi1	
盲	mã2	
直	dzᴇʔ8	
相	siã1	～互
相	siã5	～貌
盹	tᴇ̃3	
盼	pʰæ5	
盾	dᴇ̃4	
盾	dᴇ̃6	
省	sã3	～份；节～
省	siŋ3	反～
眉	mi2	
看	kʰɤ5	
看	kʰɤ1	
眙	ɦi2	
真	tsᴇ̃1	
眠	mie2	
眨	saʔ7	
眩	ɦiɤ6	
眯	mi1	
眵	tsʰɿ1	
眶	tɕʰiɒ̃1	【白读】眼～
眶	kʰuɒ̃1	【文读】
眷	tɕiɤ5	
眼	ŋæ4	
眾	tsoŋ5	
睏	kʰuᴇ̃5	睡：～觉
睛	tsiŋ1	
睜	tsã1	眼睛～开
睞	læ6	
睡	dzᴇ6	
督	toʔ7	
睫	tsiɪʔ7	
睬	tsʰæ3	
睽	ɡuᴇ2	
睿	dzᴇ6	
瞅	tsʰɯ3	
瞌	kʰᴇʔ7	
瞎	haʔ7	
瞑	miŋ2	
瞖	i5	
瞘	kʰᴇ1	
瞞	mɤ2	
瞠	tsã1	【白读】
瞠	tsʰᴇ̃1	【文读】
瞪	tᴇ̃5	
瞬	sᴇ̃5	
瞭	liɔ4	～解
瞭	liɔ6	～望
瞳	doŋ2	
瞻	tsᴇ1	
瞾	tsɔ5	
瞿	dʑi2	
矗	tsʰoʔ7	
矛	mᴇ2	
矢	sɿ3	
知	tsɿ1	
矩	tɕi3	
矬	zɯ2	
短	tɤ3	
矮	ɑ3	
矯	tɕiɔ3	
石	zɑʔ8	
石	tæ5	容积单位
矽	dziɪʔ8	
砂	su1	
砌	tsʰi5	
砍	kʰᴇ̃3	
砑	ŋɑ6	
砒	pʰi1	
研	ȵie1	【文读】～究
研	ȵie2	【白读】～墨；～粉
砝	faʔ7	
砣	dɯ2	秤～
砧	tsᴇ̃1	
砰	pʰã1	【白读】
砰	pʰᴇ̃1	【文读】
砲	pʰɔ5	
破	pʰu5	
破	pʰɑ5	
砹	ŋæ6	
硅	kuᴇ1	
硒	si1	
硝	siɔ1	
硤	ɦaʔ8	
硬	ŋã6	
硯	ȵie6	
硼	bã2	
碉	tiɔ1	
碌	loʔ8	
碎	sæ5	
碑	pᴇ1	
碓	tᴇ5	
碗	uɤ3	
碘	tie3	
碟	diɪʔ8	
碣	dʑiɪʔ8	
碧	piɪʔ7	
碩	zɑʔ8	
碩	zᴇʔ8	～望桥（江苏无锡地名，本名“十房桥”）
碭	dɒ̃6	
碳	tʰæ5	
碶	tɕʰi5	
確	tɕʰiɔʔ7	【文读】
碼	mu4	
碾	ȵie4	【白读】
碾	ȵie1	【文读】
磁	dzɿ2	
磉	sɒ̃3	
磊	lᴇ4	
磕	kʰᴇʔ7	
磚	tsᴇ1	
磧	tsɑʔ7	【白读】～砂（江苏苏州地名）；～礇（江苏昆山地名）
磧	tsiɪʔ7	【文读】
磨	mu2	动词：～刀
磨	mu6	名词：石～
磷	liŋ2	
磺	ɦuɒ̃2	
礁	tsiɔ1	
礇	u1	碛～（江苏昆山地名）
礇	ioʔ7	
礎	tsʰɯ3	
礙	ŋæ6	
礦	kʰuɒ̃5	
礫	liɪʔ8	
礬	væ2	
示	zɿ6	
社	zu6	
祈	dʑi2	
禕	i1	
祖	tsɯ3	
祚	zɯ6	
祛	tɕʰi1	
祝	tsoʔ7	
神	zᴇ̃2	
祟	sᴇ5	
祠	dzɿ2	
祥	dziã2	
票	pʰiɔ5	
祭	tsi5	
祺	dʑi2	
祿	loʔ8	
禁	tɕiŋ5	～止
禁	tɕiŋ1	～不住
禍	ɦɯ4	
禎	tsᴇ̃1	
福	foʔ7	
禦	ȵi6	
禧	ɕi1	
禪	zᴇ2	
禪	zᴇ6	
禮	li4	
禱	tɔ3	
禹	ɦi4	
禺	ȵi2	
禽	dʑiŋ2	
禿	tʰoʔ7	
秀	siɯ5	
私	sɿ1	
秈	sie1	
秉	piŋ3	
秋	tsʰiɯ1	
科	kʰɯ1	
秒	miɔ4	
秕	pi3	
秕	piɪʔ7	
秘	pi5	
租	tsɯ1	
秤	tsʰᴇ̃5	
秦	dziŋ2	
秧	iã1	
秩	dzᴇʔ8	
移	ɦi2	
稀	ɕi1	
稅	sᴇ5	【文读】
稅	sɿ5	【白读】～宝汇（上海金山地名）
程	dzᴇ̃2	
稍	sɔ1	
稗	bɑ6	
稚	dzɿ6	
稝	mã4	稠密：密密～～
稞	kʰɯ1	
稟	piŋ3	
稠	dzɯ2	
種	tsoŋ3	～子
種	tsoŋ5	～田
稱	tsʰᴇ̃1	～呼
稱	tsʰᴇ̃5	相～
稷	tsiɪʔ7	
稻	dɔ4	
稼	kɑ5	【白读】庄～；召～楼（上海闵行地名）
稼	tɕiɑ5	【文读】庄～
稽	tɕi1	
稿	kɔ3	
穀	koʔ7	稻～
穌	sɯ1	
積	tsiɪʔ7	
穎	ɦiŋ4	
穗	zɿ6	【白读】稻～头
穗	dzᴇ6	【文读】
穢	huᴇ5	
穩	uᴇ̃3	
穴	ɦioʔ8	
究	tɕiɯ5	
穹	tɕʰioŋ1	
穹	tsʰoŋ1	～窿山
空	kʰoŋ1	
空	kʰoŋ5	
穿	tsʰᴇ1	
突	dᴇʔ8	
窄	tsɑʔ7	
窊	u1	
窖	kɔ5	
窗	tsʰɒ̃1	
窘	tɕioŋ3	
竄	tsʰɤ1	
