#漢字	音標	解釋
完	vã2	
宏	xoŋ2	
宕	taŋ5	延宕
宗	tsoŋ1	
官	kuã1	
宙	tʂou5	
定	tiŋ5	
宛	yã5	
宜	i5	
寶	pao3	
實	ʂəʔ7	
寵	tʂʰoŋ3	
審	ʂen3	
客	kʰɤ5	
宣	ɕyã1	
室	ʂəʔ7	
宦	xuã5	
宪	ɕiã5	
宮	koŋ1	
宰	tsai3	
害	xai5	
宴	iã5	
宵	ɕiao1	
家	tɕiɔ1	
容	ʐoŋ2	
寬	kʰuã1	
賓	piən1	
宿	su5	
宿	ɕiəu5	星宿
寂	tɕi5	
寄	tɕi5	
寅	iən3	
密	mi5	
寇	kʰou5	
富	fu5	
寐	mei5	
寒	xã2	
寓	y5	
寢	tɕʰiən3	
寞	mɤ5	
察	tʂʰɔ2	
寡	kuɔ3	
寥	liao1	
寨	tʂai5	
寸	tsʰuən5	
對	tuəi5	
寺	sɿ5	
尋	ɕuən2	
導	tao3	
壽	ʂou5	
封	feŋ1	
射	ʂɤ5	
將	tɕiaŋ1	大將
將	tɕiaŋ1	將來
尊	tsuən1	
小	siao3	
少	ʂao3	多少
少	ʂao5	少年
尔	ɚ3	
尖	tsiã1	
塵	tʂʰen2	
尚	ʂaŋ5	
嘗	tʂʰaŋ2	
尤	iəu1	
尥	liao5	馬尥蹶子
堯	iao2	
尬	kɔ5	尷尬
就	tɕiəu5	
尷	kã1	尷尬
屍	ʂʅ1	
尹	iən3	
尺	tʂʰəʔ7	
尼	ni1	
尽	tɕiən5	
尽	tɕiən5	儘前
尾	vei3	
尿	niao5	
局	tɕy2	
屁	pʰi5	
層	tsʰeŋ2	
居	tɕy1	
屈	tɕʰy1	
屉	tʰi1	抽屜,籠屜
屆	tɕiɤ5	
屋	vəʔ7	
屎	ʂʅ3	
屏	pʰiŋ2	圍屛
屐	tɕi1	木屐
屑	ɕiɤ5	不屑
屑	ɕiɤ5	木屑
展	tʂã3	
屬	ʂu3	
屠	tʰu2	
屢	ly3	
履	ly3	
屯	tʰuən2	
山	ʂã1	
歲	suəi5	
豈	tɕʰi3	
岐	tɕʰi3	
岑	tsʰen2	
岔	tʂʰɔ5	三岔路
崗	kaŋ3	
島	tao3	
巖	iã2	
嶺	liŋ3	
岳	yəʔ7	
岸	ã5	
峽	ɕiɔ2	
峰	feŋ1	
崇	tʂʰoŋ2	
崔	tsʰuəi1	姓
崖	iɔ2	山崖
崩	peŋ1	
嵌	tɕʰiã5	
嵩	soŋ1	
川	tʂʰuã1	
州	tʂou1	
巡	ɕuən2	
巢	tʂʰao2	
工	koŋ1	
左	tsuɤ3	
巧	tɕʰiao3	
巨	tɕy5	
鞏	koŋ3	鞏固
巫	u1	
差	tʂʰai1	出差
差	tsʰɿ1	參差
差	tʂʰɔ1	差別,差不多
己	i1	
已	i3	
巳	sɿ5	辰巳
巴	pɔ5	
巷	ɕiaŋ5	
巾	tɕiən1	
幣	pi5	
市	ʂʅ5	
布	pu5	
帥	ʂuai5	
帆	fã1	
師	ʂʅ1	
希	ɕi1	
帳	tʂaŋ5	
帕	pʰɔ5	
帖	tʰiəʔ7	碑帖,請帖
