#漢字	音標	解釋
□	hɛ̃2	一~:一条
薦	tsan5	
荒	huaŋ1	
葷	hun1	
藥	ɡio6	
菊	kiok7	
菜	tsʰai5	
營	ɡin2	文读
營	ŋiã2	白读
落	lok8	
葉	ɡia6	
葛	kua2	
董	toŋ3	
葱	tsʰaŋ1	
葵	kʰui2	
蔣	tsiõ3	
蒙	boŋ2	
蒸	tsin1	
蓆	tsʰio6	白读，草席
蓉	ɡioŋ2	
蓬	pʰoŋ2	
蔗	tsia5	
蔡	tsʰua5	
蔬	sɔ1	
蕉	tsiau1	
薄	pʰɔ6	
薄	po6	
薑	kiõ1	白读
薛	sit7	
薪	sin1	
薰	hun1	
藤	tin2	
藿	hok7	
虎	hɔ3	
虛	hi1	
蟲	tʰaŋ2	
蝦	he2	
蟻	hia6	
蠶	tsʰam2	
蚣	kaŋ1	
蛀	tsu5	文读
蛀	tsiu5	白读
蛆	tsʰi1	
蛇	tsua2	
蛛	tu1	蜘~
蠻	ban2	
蜂	pʰaŋ1	
蜘	ti1	
蠅	sin2	
蝶	tiap8	
蠓	baŋ3	
血	hue2	
行	haŋ2	银~
術	sut8	算~
街	kie1	
衣	i1	
補	pɔ3	
表	pio3	
衫	sã1	
襖	o3	
袋	tie1	
袍	pʰau2	
袜	bue6	
被	pʰue6	~子
裁	tsʰai2	
裂	let8	
裝	tsŋ̍1	
裕	ɡi6	
裙	kun2	
褲	kʰɔ5	
褪	tʰuĩ5	~杉
西	sie1	
要	hiau1	~求
要	hiau5	重~
見	kĩ5	
觀	kuan1	参~
規	kui1	
視	si6	
覽	lam3	
覺	kak7	
角	kak7	
解	kai3	
解	ie6	会
觸	tsʰiok7	
誌	tsi5	
警	kin3	
計	kie5	
認	lin1	
討	tʰo3	
訓	hun5	
議	ɡi6	
訊	sin5	
記	ki5	
講	kaŋ2	文读，演~
講	koŋ3	白读
許	hi3	文读，允~
許	kʰɔ3	白读，姓
論	lun6	
設	set7	
訪	huaŋ5	
訣	kuat7	
证	tsin5	
評	pʰin2	
識	sit7	
訴	sɔ5	
譯	it8	
試	tsʰi5	
詩	si1	
誠	sin2	
話	ɡuɛ1	
該	kai1	
詳	siaŋ2	
語	ɡi3	
誤	ɡɔ6	
說	suat7	
誦	sioŋ6	
請	tsʰiã3	
讀	tʰak8	
課	kʰo5	
調	tiau6	
談	tʰam2	
諜	tiap8	
謝	sia6	文读，多~
謝	tsia1	白读，姓
謙	kʰiam1	
謹	kin3	
譚	tʰam2	
谷	kok7	
豆	tau1	
豪	hau2	
豹	pa3	
貂	tiau1	
貌	bau6	
貝	pue5	
貞	tin1	
負	hu6	
財	tsʰai2	
責	tsit7	
賢	hen2	
敗	pai6	
貨	hue5	
質	tsit7	
販	huan5	
貪	tʰam1	
貧	pʰin2	
購	kau3	
貫	kuan5	
貼	tʰiap7	
貴	kui5	
貸	tai6	
貿	bau6	
賀	ho1	
賊	tsʰat8	
資	tsu1	
賭	tɔ3	
贖	siok8	
賞	siõ3	
賜	su5	
賠	pue2	
賽	sai5	
贏	ŋiã2	
赤	tsʰia2	
赦	sia5	
走	tsau3	
趕	kuã3	
起	kʰi3	
趁	tʰin5	
超	tʰiau1	
越	ɡet8	
趣	tsʰi5	
足	tsiok7	
跟	kin1	
跪	kui6	
路	lɔ1	
跳	tio2	
跳	tʰiau5	
踢	tʰat7	
蹄	tie2	
身	sin1	
躬	kioŋ1	
車	ki1	~马炮
車	tsʰia1	
軌	kui3	
軒	hen1	
轉	tuĩ3	回去
輪	lun2	
軟	nuĩ3	
軸	tiok8	
輕	kʰin1	
載	tsai5	
轎	kio1	
輛	liaŋ6	
輩	pue5	
輝	hui1	
輸	su1	~赢
辛	sin1	
辨	pen6	
辯	pen6	
辰	sin2	
辱	ɡiok8	
邊	pĩ1	
遼	liau2	
達	tat8	
遷	tsʰen1	
過	ko5	~程
迎	ɡin2	文读
迎	ŋiã2	白读
運	ɡun6	
近	kin6	
還	han2	
進	tsin5	
遠	huĩ6	
連	len2	
遲	ti2	
迫	pit7	
述	sut8	
迹	tsia2	
追	tui1	
退	tʰie5	
送	saŋ5	
送	soŋ5	
選	suan3	
透	tʰau5	
途	tɔ2	
通	tʰoŋ1	
速	sok7	
造	tso6	
逢	hoŋ2	
逵	kʰui2	
逸	it8	
遁	tun6	
遍	pen5	
道	to6	
遣	kʰen3	
遵	tsun1	
邦	paŋ1	
郵	ɡiu2	
鄰	lin2	
郊	kiau1	
郞	laŋ2	
鄭	tɛ̃1	
部	pɔ6	
郭	kue2	1
郭	kue5	2
配	pʰue5	
酒	tsiu3	
酥	sɔ1	
醬	tsiõ5	
酸	suĩ1	
醉	tsui5	
醋	tsʰɔ5	
醒	tsʰɛ̃3	
采	tsʰai3	
釋	sit7	
重	tioŋ2	~复
重	taŋ6	轻~
野	ia3	
量	niõ2	~长短
金	kim1	
鑑	kam5	~定
針	tsim1	
釘	tin5	动词
釘	tin1	铁~
釣	tio5	
钟	tsioŋ1	
鋼	kŋ̍5	
欽	kʰim1	
鈞	kin1	
錢	tsĩ2	
鉢	pua2	
鐵	tʰi5	
鈴	lin2	
鉛	ɡen2	
鐸	tok8	
銅	taŋ2	
鉸	ka1	
銃	tsʰioŋ5	
銀	ɡin2	
鋪	pʰɔ1	
銷	siau1	
鎖	so3	
鋤	ti2	~头
鏽	siu5	
鋒	hoŋ1	
鑼	lo2	
錘	tʰui2	
錦	kim3	
鋸	ki5	
鍾	tsioŋ1	
鍍	tɔ6	
鎭	tin5	
鏡	kiã5	
鐮	liam2	
鑲	siaŋ1	
長	tŋ̍2	~短
門	muĩ2	
閃	sim3	
問	bun5	
閏	ɡin6	~月
闲	an2	
間	kan1	时~
鬧	lau1	
聞	bun2	
閩	ban2	
閹	iam1	
闊	kʰua2	
隊	tui6	
防	huaŋ2	
陽	hiaŋ2	
陰	ɡim1	
陣	tin6	
階	kai1	
際	tsie5	
陸	liok7	
陳	tan2	
降	kaŋ5	下~
降	haŋ2	投~
限	an6	
院	ĩ1	
除	ti2	
險	hiam3	
陪	pue2	
陶	tʰau2	
隆	lioŋ2	
隔	kɛ2	
障	tsiaŋ5	
隶	lie6	
隻	tsia2	
難	lan2	
雀	tsʰiak7	
雁	ɡan6	
雄	hioŋ2	
集	tsip8	
雕	tiau1	
雨	hɔ6	
雪	sie2	1
雪	sie5	2
零	lin2	
雷	lui2	
雹	pʰau6	
霧	bɔ6	
震	tsin3	
霍	hok7	
霜	sŋ̍1	
霞	he2	
霸	pa3	恶~
靑	tsʰɛ̃1	白读
靖	tsin6	
靜	tsin6	
非	hui1	
靠	kʰo5	
革	kit7	
靴	hia1	
鞋	ie2	
鞍	an1	
鞦	tsʰiu1	千~
鞭	pen1	
韓	han2	
音	ɡim1	
韻	ɡun6	
頂	tin3	
項	haŋ6	
順	sun6	
须	si1	
顧	kɔ5	
頓	tun5	
頌	sioŋ6	
領	lin3	
領	niã3	白读
頸	kin3	
頻	pʰin2	
題	tie2	
顏	ɡan2	
額	hia6	
顚	ten1	
風	hoŋ1	
飛	hui1	文读
飛	pue1	白读
食	sit8	文读，~物
食	tsia6	白读
餐	tsʰan1	
飯	puĩ1	
飮	am3	
飽	pa3	
餠	piã3	
餓	ɡo1	
館	kuan3	
首	siu3	
香	iaŋ1	文读
香	hiõ1	白读
馬	be3	
駁	pok7	
駛	su3	
駡	mɛ̃6	
驗	ɡiam6	
騙	pʰen5	
驟	tsʰiu6	
骨	kut7	
髓	tsʰue3	
髙	kau1	
鬃	tsaŋ1	
鬆	saŋ1	
鬚	si1	
鬚	tsʰiu1	
鬥	tau5	
鬼	kui3	
魁	kʰue1	
魂	hun2	
魔	bo2	
魚	hi2	
魯	lɔ3	
鱗	lan1	
雞	kie1	
鳴	bin2	
鴨	a2	
鴿	kap7	
鸞	luan2	
鵝	ɡo2	
鵲	tsʰiak7	
鹹	kiam2	
鹿	lok8	
麥	bɛ6	
麵	mĩ1	
黃	huaŋ2	
黎	lie2	
鼎	tiã3	
鼓	kɔ3	
鼠	tsʰi3	
鼻	pʰi1	1，闻、嗅
鼻	pʰi5	2，鼻涕
齊	tsʰie2	
齒	kʰi3	
龍	lioŋ2	
龕	kʰam1	
𣍐	bue6	
