#漢字	音標	解釋
㞎	pɒ3	～～：屎，或泛指骯髒之物
擒	tɕin2	
擔	tã1	
擔	tã5	～子
擖	kɒ7	
據	tɕy5	
擠	tsi3	
擡	tai2	(文)
擡	tei2	(白)
擤	ɕin3	
擦	tsʰɒ7	
擬	ȵi3	
擱	kʰo5	把箱子～起來
擱	ko7	
擴	kʰo7	
擺	pai3	
攀	pʰã1	
攆	ȵiɪ̃3	
攏	ləŋ3	
攔	lã2	
攘	ioŋ3	
攝	tʂəu7	下～司：湘潭地名
攢	tsø̃3	
攤	tʰã1	
攪	tɕiɑu3	
攬	lã3	
支	tʂʅ1	
收	ʂəu1	
改	kai3	
攻	kəŋ1	
放	xoŋ5	
政	tʂen5	
故	ku5	
效	ɕiɑu5	
敏	min3	
救	tɕiəu5	
敗	pʰai6	
敘	ɕi5	
教	tɕiɑu1	(文)～書
教	kɑu5	(白)
教	tɕiɑu5	(文)～育
敝	pi5	
敢	kã3	
散	sã3	
敦	ten1	
敲	kʰɑu1	
整	tʂen3	(文)
整	ken3	(訓讀)整的、沒有拆開的：～票子
整	tʂɑŋ3	(白)～病
敵	ti7	
敷	ɸu1	
數	səu3	動詞
數	səu5	名詞
斂	liɪ̃3	
斃	pi5	(文)
斃	pei5	(白)
文	uen2	
斑	pã1	
斗	tɛ3	一～米
料	liɑu5	(文)材～
料	liɑu6	(白)布～
斜	ɕia2	
斟	tʂen1	
斢	tʰiɑu3	調換
斤	tɕin1	
斥	tʂʰʅ5	
斧	ɸu3	
斬	tsã3	
斯	sɿ1	
新	sin1	
斷	tø̃5	
方	xoŋ1	
於	y2	
施	ʂʅ1	
旁	poŋ2	
旅	li3	
族	tsʰəu7	
旗	tɕi2	
既	tɕi5	
日	i7	(白)(白)
旦	tã5	
旨	tʂʅ3	
早	tsɑu3	
旬	sen1	
旱	xã5	
旺	oŋ5	
昂	ŋɑu2	
昆	kʰuen1	
昌	tʂʰoŋ1	
明	min2	
昏	ɸen1	
易	i6	容～
易	i7	
昔	si7	
星	sin1	(文)
星	siɑŋ1	(白)
映	in5	
春	tɕʰyen1	
昧	mei6	
昨	tso7	
昭	tʂɑu1	
是	ʂʅ5	(文)
是	ʂʅ6	(白)
時	ʂʅ2	
晃	xoŋ3	～眼
晌	ʂoŋ3	
晏	ŋã5	
晚	mã3	(白)排行最後的
晚	uã3	(文)
晝	tʂəu5	
晦	ɸei5	
晨	ʂen2	
普	pʰu3	
景	tɕin3	
晴	tsin2	
晶	tsin1	
智	tʂʅ5	
暈	yen1	
暖	lø̃3	
暗	ŋã5	(文)
暗	ŋø̃5	(白)
暢	tʂoŋ5	
暫	tsã6	
暮	mo5	
暴	pɑu5	
曆	li7	
曉	ɕiɑu3	
曝	pʰu7	
曠	kʰoŋ5	
曬	sai5	
曰	ya7	
曲	tɕʰiəu7	
更	ken1	
書	ɕy1	
曹	tsɑu2	
曾	tsen1	姓
曾	tsen2	～經
替	tʰi5	
最	tsei5	
會	kʰai5	～計
會	ɸei5	(文)
會	iɪ̃5	
會	ɸei6	(白)
月	ya7	
有	iəu3	
朋	pen2	
服	ɸu5	量詞：一～藥
服	ɸu7	
朔	so7	
朗	loŋ3	
望	oŋ5	
朝	tʂɑu1	～夕
朝	tʂɑu2	～代
期	tɕi2	
木	mo7	
未	ue6	
末	mo7	
本	pen3	
札	tsɒ7	
朮	ɕy5	
朱	tɕy1	
朵	to3	
朽	ɕiəu3	
杈	tsʰɒ1	
杉	sɒ1	
李	li3	
杏	ɕin5	
材	tsʰai2	
村	tsʰen1	
杖	tʂoŋ5	
杞	tɕʰi3	
杭	xoŋ2	
杯	pei1	
東	təŋ1	
東	tɕiəu7	
杷	pɒ2	
松	səŋ1	(文)
松	tsəŋ2	(白)
板	pã3	
枇	pʰi2	
枉	oŋ1	
析	si7	
枕	tʂen3	
林	lin2	
枚	mei2	
果	ko3	
枝	tʂʅ1	
枯	kʰu1	
架	kɒ5	(白)
架	tɕiɒ5	(文)
柄	pin3	
柏	pa7	
某	məu3	
柑	kã1	
染	iɪ̃3	
柔	ɕiəu2	
柚	iəu5	
柞	tsʰo5	
查	tsɒ2	
查	ȵiɑu3	
柩	tɕiəu5	
柬	kã3	
柱	tɕy5	(文)
柱	ɕy5	～塘鋪：地名
柱	tɕy6	(白)
柳	liəu3	
柴	tsai2	
柵	sã1	
柿	ʂʅ5	(文)
柿	ʂʅ6	(白)
栓	sø̃1	
校	ɕiɑu5	
株	tɕy1	
核	xa7	
根	kiɪ̃1	
格	kəu2	丟～：丟臉
格	ka7	
栽	tsai1	
桂	kue5	
桃	tɑu2	
桅	ue2	
案	ŋã5	
桌	tso7	
桐	təŋ2	
桑	soŋ1	
桓	xø̃2	
桔	tɕy7	
桶	tʰəŋ3	
桿	kã3	
梁	lioŋ2	
梅	mei2	
梓	tsɿ3	
梔	tʂʅ1	
梗	ken3	(文)
梗	kɑŋ3	(白)
條	tiɑu2	
梧	u2	
梨	li2	
梭	so1	
梯	tʰi1	
械	kai5	
梳	səu1	
棄	tɕʰi5	
棉	miɪ̃2	
棋	tɕi2	
棍	kuen5	
棒	poŋ5	
棕	tsəŋ1	
棗	tsɑu3	
棚	pen2	
棟	təŋ5	
棠	toŋ2	
棧	tsã5	
棲	tsʰi1	
棵	kʰo1	
棵	kʰo3	
棺	kø̃1	
椅	i3	
植	tʂʰʅ7	
椏	ŋɒ1	
椒	tɕiɑu1	
椴	tø̃5	
椿	tɕʰyen1	
楊	ioŋ2	
楓	ɸəŋ1	
楚	tsʰəu3	
楝	liɪ̃5	
楞	liɪ̃2	
業	ȵiɛ7	
極	tɕi7	
極	tɕʰi7	
楷	kʰai3	
概	kʰai5	
榆	y2	
榛	tʂen1	
榜	poŋ3	
榨	tsɒ5	
榫	sen3	
榮	yen2	
榴	liəu3	
榻	tʰɒ7	
構	kəu5	
槌	tʂue2	
槍	tsʰioŋ1	
槐	ɸai2	
槳	tsioŋ3	
槽	tsɑu2	
樁	tsoŋ1	
樂	lo7	
樂	io7	音～
樓	lɛ2	
標	piɑu1	
樞	tɕʰy1	
樟	tʂoŋ1	
模	mo2	
樣	ioŋ6	
樵	tɕiɑu2	
樹	ɕy6	
樺	ɸɒ2	
橄	kã3	
橈	iɑu2	
橋	tɕiɑu2	
橙	ten1	
機	tɕi1	
橡	tsioŋ5	
橢	tʰo3	
橫	xuen2	
檀	tã2	
檁	lin3	
檢	tɕiɪ̃3	
檳	pin1	
櫃	kue6	
櫓	ləu3	
櫻	in1	
欄	lã2	
權	tʂø̃2	
欖	lã3	
欛	pɒ5	
欠	tɕʰiɪ̃5	
次	tsʰɿ5	
欣	ɕin1	
欲	io7	
欲	iəu7	
欺	tɕʰi1	
欽	tɕʰin1	
款	kʰø̃3	
歇	xɛ7	(白)
歇	ɕiɛ7	(文)
歉	tɕʰiɪ̃3	
歌	ko1	
歐	ŋəu1	
歡	xø̃1	
止	tʂʅ3	
正	tʂen1	～月
正	tʂen5	
此	tsʰɿ3	
步	pu5	(文)
步	pu6	(白)
武	u3	
歧	tɕi2	
歪	ai1	
歲	sei5	
歷	li7	
歸	kue1	
歹	tai3	
死	sɿ3	
殃	ioŋ1	
殆	tai5	
殉	sen1	
殊	tɕy1	
殊	ɕy2	
殖	tʂʰʅ7	
殘	tsã2	
殮	liɪ̃3	
殯	pin1	
殲	tsiɪ̃1	
殷	in1	
殺	sɒ7	
殼	kʰo7	
殿	tiɪ̃5	(文)
殿	tiɪ̃6	(白)
毀	ɸei3	
毅	ȵi5	
毆	ŋɛ2	
母	mo3	
每	mei3	
毒	təu7	
比	pi3	
毛	mɑu2	
毫	xɑu2	
毯	tʰã3	
氏	ʂʅ5	
民	min2	
氣	tɕʰi5	
水	ɕy3	
永	yen3	
汀	tʰin1	
汁	tʂʅ7	
求	tɕiəu2	
汗	xø̃6	
汛	sin5	
汞	kəŋ3	
江	tɕioŋ1	
池	tʂʅ2	
污	u1	
汪	oŋ1	
決	tɕya7	
汽	tɕʰi5	
沃	ŋo7	
沈	ʂen3	
沉	tʂen2	
沌	ten5	
沒	ma7	
沓	tɒ7	
沖	tʂʰəŋ1	
沙	sɒ1	
沛	pʰei5	
沫	mo7	
河	xo2	
油	iəu2	
治	tʂʅ5	
沼	tʂɑu3	
沾	tʂø̃1	
況	kʰoŋ5	
泅	tɕiəu2	
泉	tsiɪ̃2	
泊	pa7	
泔	kã1	
法	ɸɒ7	
泛	ɸã5	
泡	pʰɑu5	
波	po1	
泣	ɕi7	
泥	ȵi2	
注	tɕy5	
泯	min2	
泰	tʰai5	
泳	yen5	
洋	ioŋ2	
洗	si3	
洛	lo7	
洞	təŋ5	(文)
洞	təŋ6	(白)
津	tsin1	
洩	sɛ7	
洪	xəŋ2	
洲	tʂəu1	
活	xo5	
派	pʰai5	
流	liəu2	
浙	tʂa7	
浦	pʰu3	
浩	xɑu5	
浪	loŋ6	
浮	pɑu2	(白)
浮	ɸəu2	(文)
浴	iəu7	
海	xai3	
浸	tɕin5	
消	siɑu1	
涉	ʂa7	
涎	siɪ̃2	
涕	tʰi5	
涮	sɒ7	
涯	iɒ2	(文)
涯	ŋai2	
液	i7	
涼	lioŋ2	
涿	tso7	
淆	ɕiɑu2	
淋	lin2	
淌	tʰəŋ3	(訓讀)汗是個～
淑	ʂəu7	
淒	tsʰi1	
淘	tɑu2	
淚	lei5	
淡	tã5	(文)
淡	tã6	(白)
淨	tsin5	
淪	len2	
淫	in2	
淮	ɸai2	
深	ʂen1	
淵	ø̃1	
混	ɸen3	相～
淹	iɪ̃1	
淺	tsʰiɪ̃3	
添	tʰiɪ̃1	
清	tsʰiɑŋ1	
減	kã3	
渠	tɕy2	
渡	təu5	
渣	tsɒ1	
渦	o1	
測	tsʰa7	
港	koŋ3	
渴	kʰo7	
游	iəu2	
渺	miɑu3	
渾	ɸen2	
湊	tsʰəu5	
湖	ɸu2	
湘	sioŋ1	
湧	iəŋ3	
湮	in1	
溉	kʰai5	
準	tɕyen3	
溜	liəu1	～滑的
溜	liəu5	量詞：栽一～樹；一～煙：形容動作迅速
溝	kɛ1	
溪	ɕi2	
溫	uen1	
溺	ȵi7	
滂	poŋ2	
滅	mɛ7	
滋	tsɿ1	
滑	uɒ7	
滓	tsɿ3	
滔	tʰɑu1	
滕	ten2	
滴	ti7	(文)
滷	ləu3	
滸	ɸu3	
滾	kuen3	
滿	mø̃3	
漁	y2	
漂	pʰiɑu3	～白
漂	pʰiɑu5	～亮
漆	tsʰi7	
漏	lɛ6	
演	iɪ̃3	
漢	xã6	
漫	mã5	
漲	tʂoŋ3	
漸	tsiɪ̃5	
潑	pʰo7	
潔	kɛ7	
潘	pʰø̃1	
潛	tsiɪ̃2	
潤	yen5	(文)
潤	yen6	(白)
潭	tã2	
潮	tʂɑu2	
潲	sɑu5	～水
澀	liɒ7	(訓讀)
澄	ten1	
澄	tiɪ̃6	
澆	tɕiɑu1	
澇	lɑu2	
澠	miɪ̃3	
澡	tsɑu3	
澤	tsʰa7	
激	tɕi7	
濁	tsʰo7	
濃	ləŋ2	
濟	tsi5	
濤	tɑu2	
濫	lã5	
濺	tsiɪ̃5	
瀉	sɛ7	
瀑	pʰu7	
灌	kø̃5	
灑	sai3	
灒	tsã5	濺
灘	tʰã1	
灣	uã1	
火	xo3	
灰	ɸei1	
灶	tsɑu5	
灸	tɕiəu5	
災	tsai1	
炊	tʂʰue1	(文)
炊	tɕʰyɛ1	(白)
炎	iɪ̃2	
炒	tsʰɑu3	
炕	kʰoŋ5	
炭	tʰã5	
炮	pʰɑu5	
炸	tsɒ5	
烈	lɛ7	
烊	ioŋ2	
烏	u1	
烘	xəŋ1	
烙	lo7	
烤	kʰɑu3	
烹	pʰen1	
焊	xã6	
焙	pei5	(文)
焙	pei6	(白)
焚	ɸen2	
無	u2	
焦	tɕiɑu1	
焮	ɕin5	用小火將米飯燜熟
焰	iɪ̃5	
然	iɪ̃2	
煉	liɪ̃5	
煎	tsiɪ̃1	
煙	iɪ̃1	
煤	mei2	
照	tʂɑu5	
煩	ɸã2	
煮	tɕy3	
煽	ʂø̃1	
熄	si7	
熊	ɕiəŋ2	
熏	ɕyen1	
熙	ɕi1	
熟	ʂəu7	
熨	yen5	
熨	y7	～貼：整齊
熬	ŋɑu2	
燃	iɪ̃2	
燈	tiɪ̃1	(白)
燈	ten1	(文)
燎	liɑu2	
燐	lin2	
燒	ʂɑu1	
燕	iɪ̃5	
燙	tʰoŋ5	
營	yen2	
燥	tsʰɑu5	
燦	tsʰã5	
燭	tʂəu7	
爆	pɑu5	
爊	ŋɑu1	～菜
爐	ləu2	
爛	lã6	
爪	tsɑu3	
爬	pɒ2	
爭	tsen1	(文)
爭	tsɑŋ1	(白)
爲	ue2	作～
爵	tsʰio7	
父	ɸu5	
爸	pɒ1	
爺	iɒ2	爸爸
爽	soŋ3	
爾	ɛ2	
牆	tsioŋ2	
片	pʰiɑŋ3	(訓讀)一～：一大片
片	pʰiɪ̃5	
版	pã3	
牌	pai2	
牒	tʰɛ7	
牘	təu7	
牙	ŋɒ2	
牚	tsɑŋ1	
牛	ȵiəu2	
牡	miɑu3	(白)
牡	məu3	(文)
牢	lɑu2	
牧	mo7	
物	u7	
牯	ku3	
牲	sen1	
牽	tɕʰiɪ̃1	
犀	si1	
犁	li2	
犢	təu7	
犧	ɕi1	
犬	tʂʰø̃3	
犯	ɸã6	
狀	tʂoŋ6	
狂	koŋ2	
狄	ti7	
狐	ɸu2	
狗	kɛ3	
狡	tɕiɑu3	
狸	li2	
狼	loŋ2	
猛	məŋ3	
猜	tsʰai1	
猝	tsʰɛ7	
猬	ue5	
猴	xɛ2	
猶	iəu2	
猾	uɒ7	
獄	iəu7	
獅	ʂʅ1	
獎	tsioŋ3	
獨	təu7	
獲	ɸɒ6	
獲	xo7	
獵	lɛ7	
獸	ʂəu5	
獺	tʰɒ7	
獻	ɕiɪ̃5	
玄	ʂø̃2	
率	sa5	
率	li7	
玉	y5	
王	oŋ2	
玩	uã2	
玫	mei2	
玲	lin2	
玻	po1	
珀	pʰa7	
珊	sã1	
珍	tʂen1	
珠	tɕy1	
班	pã1	
現	ɕiɪ̃5	(文)
現	ɕiɪ̃6	(白)
球	tɕiəu2	
理	li3	
琉	liəu2	
琢	tso7	
琴	tɕin2	
琵	pʰi2	
琶	pɒ2	
瑞	tʂue5	(文)
瑟	sa7	
瑣	so3	
璃	li2	
璧	pia7	(白)
環	ɸã2	
璺	uen6	
璽	si3	
瓊	tɕiəŋ2	
瓜	kuɒ1	
瓠	ɸu2	
瓢	pʰiɑu2	
瓢	pʰiɑu5	～雨
瓣	pã5	(文)
瓣	pã6	(白)
瓤	ioŋ2	
瓦	uɒ3	
瓶	pin2	
瓷	tsɿ2	
甌	ŋəu1	
甕	uəŋ5	
甘	kã1	
甚	ʂen5	
甜	tiɪ̃2	
生	siɪ̃1	(白)
生	sɑŋ1	(白)
產	tsʰã3	
甥	sen1	
用	iəŋ6	
甫	ɸu3	
甬	iəŋ3	
甯	ȵi7	～可
田	tiɪ̃2	
由	iəu2	
申	ʂen1	
男	lã2	
甸	tiɑŋ5	(訓讀)～重的：很重
界	kai5	
畏	ue5	
留	liəu2	
畜	tʂʰəu7	(白)
畜	ɕiəu7	(文)
畝	mo3	(文)
畝	miɑu3	(白)
畝	məu3	(文)
畢	pi7	
略	lio7	
番	ɸã1	
畫	ɸɒ5	(文)
畫	ɸɒ6	(白)
畬	ʂɒ1	姜～：湘潭縣地名
異	i5	
當	toŋ1	～時
當	toŋ5	典～
畸	tɕi2	
疆	tɕʰioŋ1	
疊	tʰɛ7	
疏	səu1	
疑	ȵi2	
疔	tin1	
疝	sã5	
疤	pɒ1	
疥	kai5	
疫	y7	
疲	pi2	
疹	tʂen3	
疾	tsi7	
疿	ɸei5	
痂	kɒ1	
病	pin6	(文)
病	piɑŋ6	(白)
症	tʂen5	
痔	tʂʅ6	
痕	xen2	
痗	mei1	心情沮喪，臉色不好
痛	tʰəŋ5	
痞	pʰi3	
痢	li6	
痣	tʂʅ5	
痧	sɒ1	
痰	tã2	
痴	tʂʰʅ1	
痺	pi5	
瘋	ɸəŋ1	
瘌	lɒ7	
瘍	ioŋ2	
瘟	uen1	
瘦	sɛ5	
瘧	ȵio7	
瘴	tʂoŋ5	
瘸	tɕya2	～子：手不靈活
療	liɑu2	
癆	lɑu6	毒：～藥
癟	pɛ3	
癢	ioŋ3	
癩	lai5	(文)
癩	lai6	(白)
癬	siɪ̃3	
癸	kue2	
登	tiɪ̃1	(白)
發	ɸɒ7	
白	pʰɒ5	(白)～～色；～眼字
白	pa7	(文)
百	pa7	
皂	tsɑu5	
的	ti7	
皆	kai1	
皇	xoŋ2	
皖	ø̃3	
皮	pi2	
皺	tsɛ5	
皿	min3	
盂	y2	
盅	tʂəŋ1	
盆	pen2	
盈	kiɑŋ2	
益	i7	
盒	xo5	(白)
盒	xo7	(文)
盛	ʂen2	～滿
盛	ʂen5	興～
盜	tɑu5	
盞	tsã3	
盟	min2	
盡	tsin5	(文)
盡	tsin6	(白)
監	kã5	
盤	pø̃2	
盧	ləu2	
盪	tʰoŋ5	
目	mo7	
盲	moŋ2	
直	tʂʰʅ5	
相	sioŋ1	互～
相	sioŋ5	～貌
盼	pʰã5	
盾	ten5	
省	sen3	
眉	mei2	(文)
眉	miɪ̃2	(白)
看	kʰã5	
真	tʂen1	
眠	miɪ̃2	
眨	tsɒ7	
眩	ɕiɪ̃6	
眶	kʰoŋ1	
眷	tʂø̃5	
眼	ŋã3	
眾	tʂəŋ5	
着	tʂo7	
睛	tsin1	
睡	ʂue5	(文)
睡	ɕyɛ5	(白)
督	təu7	
睬	tsʰai3	
瞎	xɒ7	(白)
瞞	mø̃2	
瞧	tɕiɑu2	
瞪	ten5	
瞳	təŋ2	
瞻	tʂø̃1	
瞽	ku3	睜大眼睛
瞿	tɕy2	
矛	mɑu2	
矢	ʂʅ3	
知	tʂʅ1	
矩	tɕy1	
短	tø̃3	
矮	ŋai3	
矯	tɕiɑu3	
石	ʂɒ5	(白)
石	ʂʅ7	(文)
砌	tsʰi5	
砍	kʰã3	
砑	ŋɒ7	
研	ȵiɪ̃1	
砧	tin1	～板
破	pʰo5	
硝	siɑu1	
硫	liəu2	
硬	in5	(文)
硬	ŋɑŋ6	(白)
硯	ȵiɪ̃5	(文)
硯	ȵiɪ̃6	(白)
硽	iɪ̃1	
碎	sei5	
碑	pei1	
碓	tei5	
碗	ø̃3	
碟	tʰɛ7	
碧	pi7	
確	kʰo7	(白)
確	tɕʰio7	(文)
碼	mɒ3	
磁	tsɿ2	
磕	kʰo7	
磚	tʂø̃1	
磨	mo2	～刀
磨	mo5	(文)～坊
礓	tɕʰioŋ1	
礙	ŋai6	
礦	kʰoŋ5	
示	ʂʅ5	
祀	sɿ3	
祁	tɕi2	
祈	tɕi2	
祖	tsəu3	
祝	tʂəu7	
神	ʂen2	
祠	tsɿ2	
祥	tsioŋ2	
票	pʰiɑu5	
祭	tsi5	
祿	ləu7	
禀	pin3	
禁	tɕin1	
禁	tɕin5	～止
禍	xo5	(文)
禍	xo6	(白)
福	ɸu7	
禦	y5	
禧	ɕi3	
禪	ʂø̃2	～宗
禪	ʂø̃5	～讓
禮	li3	
禱	tɑu3	
禹	y3	
禽	tɕin2	
禾	o2	
禿	tʰəu7	
秀	siəu5	
私	sɿ1	
秉	pin3	
秋	tsʰiəu1	
科	kʰo1	
秒	miɑu3	
秕	pʰi1	
秕	pɛ3	
租	tsəu1	
秤	tʂʰen5	
秦	tsin2	
秦	tɕʰin2	
秧	ioŋ1	
秩	tʂʰʅ7	
移	i2	
稀	ɕi1	
稅	ʂue5	(文)
稅	ɕyɛ5	(白)
稈	kã3	
程	tʂen2	
稍	sɑu3	
稗	pai5	
稚	tʂʅ5	
稠	tʂəu2	
種	tʂəŋ3	～類
種	tʂəŋ5	～樹
稱	tʂʰen1	～呼
稱	tʂʰen5	～職
稻	tɑu5	
稽	tɕi2	
稿	kɑu3	
穀	ku7	
穄	tsi5	
穆	mo7	
積	tsi7	
穎	in3	
穗	ɸei5	
穗	sei5	(白)
穢	ɸei5	
穩	uen3	
穴	tɕʰya7	
究	tɕiəu5	
空	kʰen1	～心
空	kʰəŋ1	～虛
空	kʰen5	沒～
空	kʰəŋ5	～缺
穿	tʂʰø̃1	
突	tʰəu7	
窄	tsa7	
窖	kɑu5	
窗	tsʰoŋ1	
窘	tɕyen3	
窟	kʰu7	
窠	kʰo1	搖～：搖籃
窪	uɒ1	
窮	tɕiəŋ2	
窯	iɑu2	
窺	kue1	
竄	tsʰø̃5	
竅	tɕʰiɑu5	
立	li7	
站	tsã5	～立
站	tsã6	車～
章	tʂoŋ1	
童	təŋ2	
端	tø̃1	
競	tɕin5	
竹	tʂəu7	
竿	kã1	
笑	siɑu5	
笙	sen3	
笛	ti7	
笠	li7	
笡	ɕia2	
笤	tiɑu2	～帚
符	ɸu2	
笨	pen5	
第	ti5	(文)
第	ti6	(白)
筆	pi7	
等	tiɪ̃3	(白)
等	ten3	(文)
筋	tɕin1	
筍	sen3	
筏	ɸɒ7	
筐	kʰoŋ1	
筒	təŋ2	
答	tɒ7	
策	tsʰa7	
筵	iɪ̃2	～席
箇	ko7	指示代詞：～本書
箋	tɕʰiɪ̃1	
箍	ku1	
箕	tɕi1	簸～
算	sø̃5	
管	kø̃3	
箭	tsiɪ̃5	
箱	sioŋ1	
箸	tʂəu7	
節	tsɛ7	
範	ɸã6	
篆	tʂø̃5	
篇	pʰiɪ̃1	
築	tʂəu7	
篙	kɑu1	
篡	tsʰø̃5	
篤	təu7	
篦	pʰi1	
篩	sai1	
篷	pəŋ2	
篾	mɛ7	
簍	lɛ3	
簡	kã3	
簧	xoŋ2	
簪	tsã1	
簫	ɕiɑu1	
簷	iɪ̃2	
簸	po3	～一～
簸	po5	～箕
簽	tsʰiɪ̃1	
簾	liɪ̃2	
簿	pu5	(文)
簿	pu6	(白)
籃	lã2	
籌	tʂəu2	
籍	tsi7	
籍	tɕi7	
籠	ləŋ1	
籮	lo2	
籲	y2	
粉	ɸen3	
粑	pɒ2	
粒	li7	
粗	tsʰəu1	
粘	tiɑŋ1	(訓讀)貼；緊跟
粟	səu7	(文)
粟	ɕiəu7	(白)
粥	tʂəu7	
粱	lioŋ2	
粵	ya7	
粹	sei5	
粼	lin2	
糉	tsəŋ5	
精	tsin1	(文)
精	tsiɑŋ1	(白)
糍	tsɿ2	
糕	kɑu1	
糖	toŋ2	
糙	tsʰɑu5	
糜	mi2	
糞	ɸen5	
糟	tsɑu1	
糠	kʰoŋ1	
糧	lioŋ2	
糯	lo6	
糰	tø̃2	
糶	tʰiɑu5	
系	ɕi5	
糾	tɕiəu1	
紀	tɕi3	
紂	tʂəu5	
約	io7	
紅	xəŋ2	
紋	uen2	
紐	ȵiəu3	
純	ɕyen2	
紗	sɒ1	
紙	tʂʅ3	
級	tɕʰi7	
紛	ɸen1	
紝	in5	
素	səu5	
紡	xoŋ3	
索	so7	
紫	tsɿ3	
累	lei5	(文)
累	lei6	(白)
累	lia7	(訓讀)
細	si5	
紹	ʂɑu5	
終	tʂəŋ1	
組	tsəu3	
絆	pø̃5	
結	kɛ7	
絕	tsɛ7	
絞	tɕiɑu3	
絡	lo7	
給	tɕiɛ7	
絮	ɕi5	
統	tʰəŋ3	
絲	sɿ1	
絹	tʂø̃5	
綁	poŋ3	
綑	kʰuen3	
經	tɕin1	
綜	tsəŋ1	
綠	ləu7	
綢	tʂəu2	
維	ue2	
綱	koŋ1	
網	oŋ3	
綴	tsei5	
綹	liəu5	量詞：一～頭髮
綽	tʂʰo7	
綿	miɪ̃2	
緊	tɕin3	
緖	ɕi5	
線	siɪ̃5	
緝	tsi7	
緞	tø̃5	
締	tʰia7	(訓讀)繫：把鞋帶子～緊
緩	xø̃3	
緬	miɪ̃3	
緯	ue3	
練	liɪ̃5	
縊	i7	
縐	tsɛ5	
縣	ɕiɪ̃5	(文)
縣	ɕiɪ̃6	(白)
縫	ɸəŋ2	～衣
縫	ɸəŋ6	一條～
縮	səu7	
縱	tsəŋ5	
縷	ləu3	
總	tsəŋ3	
績	tɕi7	
繁	ɸã2	
織	tʂʅ7	
繞	iɑu5	
繡	siəu5	
繩	ʂen2	
繪	ɸei6	
繫	tɕi5	～鞋帶
繭	tɕiɪ̃3	
繳	tɕiɑu1	
繼	tɕi5	
纂	tsø̃3	
續	səu7	
纍	lei1	表程度深：～肥的
纍	lei3	～積
纏	tʂø̃2	
纓	in1	
纜	lã3	
缸	koŋ1	
缺	tɕʰya7	
缺	tɕyɛ7	
缽	po7	
罈	tã2	
罐	kø̃5	
罕	xã3	
罩	tsɑu5	
罪	tsei5	(文)
罪	tsei6	(白)
置	tʂʅ5	
置	tʂʰʅ7	
罰	ɸɒ7	
署	ɕy5	
罵	mɒ5	(文)
罵	mɒ6	(白)
罷	pɒ5	(文)
罷	pɒ6	(白)
羅	lo2	
羈	tɕi1	
羊	ioŋ2	
羌	tɕʰioŋ1	
美	mei3	
羔	kɑu1	
羞	siəu1	
羣	tɕyen2	
羨	si5	
義	ȵi5	
羹	ken1	
羽	y3	
翁	uəŋ1	
翅	tʂʰʅ5	
翎	lin2	
習	si7	
翟	ti7	
翠	tsʰei5	
翡	ɸei5	
翰	xã6	
翳	i5	
翻	ɸã1	
耀	iɑu5	
老	lɑu3	
考	kʰɑu3	
而	ɛ2	
耍	suɒ3	
耐	lai5	(文)
耐	lai6	(白)
耕	ken1	
耗	xɑu5	
耳	a3	
耽	tã1	
耿	ken3	
聊	liɑu2	
聒	kuɒ7	
聖	ʂen5	
聘	pʰin5	
聚	tɕʰi5	
聞	uen2	
聯	liɪ̃2	
聰	tsʰəŋ1	
聲	ʂen1	(文)
聲	sɑŋ1	
聳	səŋ3	
聶	ȵiɛ7	
職	tʂʅ7	
聽	tʰiɑŋ5	
聾	ləŋ1	
肄	i5	
肅	səu7	
肆	sɿ3	
肉	iəu7	
肋	la7	
肌	tɕi1	
肏	ȵia5	(訓讀)性交
肘	tʂəu3	
肚	təu3	～子
肚	təu6	～臍眼
肝	kã1	
股	ku2	
股	ku3	
肢	tʂʅ1	
肥	ɸei2	
肩	tɕiɪ̃1	
肫	tɕyen1	
肯	kʰiɪ̃3	(白)
肯	kʰen3	(文)
育	iəu7	
肺	ɸei5	
背	pei5	(文)
背	pei6	(白)～時
胎	tʰai1	
胖	pʰoŋ5	
胚	pʰei1	
胛	kɒ5	
胞	pɑu1	(文)
胞	pɑu2	(白)
胡	ɸu2	
胮	pʰoŋ1	
胳	ko7	
胸	ɕiəŋ1	
能	len2	
脂	tʂʅ1	
脂	tʂʅ3	
脆	tsʰei5	
脈	ma7	
脊	tsi7	
脫	tʰo7	
脯	pu2	
脯	ɸu3	
脹	tʂoŋ5	
脾	pi2	
腆	tʰiɑŋ3	
腋	i7	
腎	ʂen5	
腐	ɸu3	
腑	ɸu3	
腔	tɕʰioŋ1	
腕	ø̃3	
腡	lo2	摸～拐
腥	siɑŋ5	
腦	lɑu3	
腫	tʂəŋ3	
腮	sai1	
腰	iɑu1	
腱	tɕiɪ̃5	
腳	tɕio7	
腸	tʂoŋ2	
腹	ɸu7	
腿	tʰei3	
膏	kɑu1	
膘	piɑu1	
膚	ɸu1	
膜	mo2	
膝	tsʰi7	
膞	tʂø̃1	
膠	tɕiɑu1	
膨	pen2	
膩	ȵi7	
膳	ʂø̃5	
膽	tã3	
膿	ləŋ2	
臀	ten2	
臉	liɪ̃3	
臊	sɑu1	～氣
臍	tsi2	
臘	lɒ7	
臣	ʂen2	
臥	ŋo6	
自	tsɿ5	(文)
自	tsɿ6	(白)
臭	tʂʰəu5	
至	tʂʅ5	
致	tʂʅ5	
臺	tai2	
臻	tʂen1	
