#漢字	音標	解釋
□	uɑʔ5	⿰咢勿 嘔吐
爛	læ̃4	
爪	tsɔ3	
爬	pʰa2	
爭	tsən1	
爲	uei2	
父	fu4	
爹	ti1	~~奶奶
爺	i2	
爽	suɑŋ3	
爿	pæ̃1	一~店，又上声
爿	pæ̃3	一~店，又陰平
牀	tsʰuɑŋ2	
牆	tɕʰiɑŋ2	
片	pʰiɪ̃4	
版	pæ̃3	
牌	pʰɛ2	
牙	ia2	
牛	liɤɯ2	
牢	lɔ2	
物	uəʔ5	
牲	sən1	
特	təʔ5	
犬	tɕʰyɪ̃3	
犯	fæ̃4	
狀	tsuɑŋ4	
狂	kʰuɑŋ2	
狐	xu2	
狗	kɤɯ3	
狠	xən3	
狡	tɕiɔ3	
狸	lei2	
狹	ɕiɑʔ5	
狼	lɑŋ2	
猛	muŋ3	
猜	tɕʰiɛ1	
猝	tsʰuʔ5	
豬	tsu1	
猴	xɤɯ2	
獃	tiɛ1	癡~
獄	iuʔ5	
獅	sɿ1	
獨	tsʰuʔ5	
獨	tuʔ5	
獲	xuʔ5	
獵	liɪʔ5	
獸	sɤɯ4	
玄	ɕyɪ̃2	
玉	y4	
王	uɑŋ2	
玖	tɕiɤɯ3	
玩	ʊ̃4	
玻	pʊ1	
珀	pʰɑʔ5	
珍	tsən1	
珠	tsu1	
班	pæ̃1	
現	ɕiɪ̃4	
球	tɕʰiɤɯ2	
理	lei3	
琴	tɕʰin2	
琵	pʰi2	
瑣	sʊ3	
璃	lei2	
環	kʰuæ̃2	耳~ 鐵~
瓜	kua1	
瓢	pʰiɔ2	
瓣	pæ̃4	
瓤	ɻɑŋ(ɑŋ)2	
瓦	ua3	
瓶	pʰin2	
瓷	tsʰɿ2	
甕	uŋ4	
甚	sən4	
甜	tʰiɪ̃2	
生	sən1	
產	tsʰæ̃3	
甥	sən1	
用	iuŋ4	
田	tʰiɪ̃2	
甲	tɕiɑʔ5	
申	sən1	
男	læ̃2	
界	tɕiɛ4	
留	liɤɯ2	
畜	tsʰuʔ5	
畝	mʊ3	
略	liɑʔ5	
番	fæ̃1	
畫	xua4	
當	tɑŋ1	
當	tɑŋ4	
疋	pʰiʔ5	
疏	su1	
疑	i2	
疔	tin1	
疝	suæ̃4	~氣
疤	pa1	
疫	iʔ5	
疹	tsən3	
疼	tʰən2	
疿	fei4	痱
病	pin4	
症	tsən4	
痔	tsɿ4	
痘	tɤɯ4	
痛	tʰuŋ4	
痞	pʰi3	
痠	sʊ̃1	身上~疼
痢	lei4	
痣	tsɿ4	
痧	sa1	
痰	tʰæ̃2	
痴	tsʰɿ1	
瘀	y1	
瘋	fuŋ1	
瘡	tsʰuɑŋ1	
瘢	pæ̃1	
癟	piɪʔ5	
癡	tsʰɿ1	
癢	iɑŋ3	
癩	liɛ4	
癬	ɕyɪ̃3	
癮	in3	
癱	tʰæ̃1	
癲	tiɪ̃1	
登	tən1	
發	fæʔ5	
百	pʊʔ5	
皂	tsɔ4	
的	ti4	
皆	tɕiɛ1	
皇	xuɑŋ2	
皮	pʰi2	
皺	tsɤɯ4	
盂	y2	
盆	pʰən2	
益	iʔ5	
盒	xʊʔ5	
盛	tsʰən2	
盛	sən4	
盜	tɔ4	
盞	tsæ̃3	
盡	tɕin4	
盤	pʰʊ̃2	
直	tsəʔ5	
相	ɕiɑŋ1	
相	ɕiɑŋ4	
省	sən3	
眉	mei2	
看	kʰæ̃4	
真	tsən1	
眵	tsʰɿ1	
眷	tɕyɪ̃4	
眼	æ̃3	
睜	tsən1	
睡	suei4	
睦	muʔ5	
睹	tu3	
瞎	xæʔ5	
瞖	i4	
瞞	mʊ̃2	
瞧	tɕʰiɔ2	
瞪	tən4	
知	tsɿ1	
矩	tɕy3	
短	tʊ̃3	
矮	ɛ3	
石	səʔ5	
砌	tɕʰi4	
砍	kʰæ̃3	
砲	pʰɔ4	
破	pʰʊ4	
硃	tsu1	
硝	ɕiɔ1	
硬	ɻən(ən)4	
硯	iɪ̃4	
礙	ɛ4	
碎	sei4	
碑	pei1	
碓	tei4	
碗	ʊ̃3	
碟	tiɪʔ5	
碧	piʔ5	
碰	pʰuŋ4	
鹼	kæ̃3	
確	tɕʰiɑʔ5	
碼	ma3	
碾	liɪ̃3	
磊	lei3	
磚	tsʊ̃1	
磨	mʊ2	
磨	mʊ4	
磬	tɕʰin4	
礙	ɛ4	
礦	kʰuɑŋ4	
礬	fæ̃2	
礱	luŋ2	去稻殼的小磨子 又去聲
礱	luŋ4	去稻殼的小磨子 又平聲
祀	sɿ4	
祖	tsu3	
祝	tsuʔ5	
神	sən2	
祟	sei4	
祠	tsʰɿ2	
祥	tɕʰiɑŋ2	
票	pʰiɔ4	
禁	tɕin4	
禍	xʊ4	
福	fuʔ5	
禮	lei3	
禱	tɔ3	
禿	tʰuʔ5	
秀	ɕiɤɯ4	
私	sɿ1	
秈	ɕiɪ̃1	
秋	tɕʰiɤɯ1	
科	kʰʊ1	
秒	miɔ3	
租	tsu1	
秤	tsʰən4	
秧	iɑŋ1	
移	i2	
稀	ɕi1	
稅	suei4	
程	tsʰən2	
稍	sɔ1	
稠	tsʰɤɯ2	
稭	kɛ1	
種	tsuŋ3	
種	tsuŋ4	
稱	tsʰən1	
稻	tɔ4	
稼	tɕia4	
稿	kɔ3	
穀	kuʔ5	
穗	sei4	
穩	uən3	
究	tɕiɤɯ4	
空	kʰuŋ1	
穿	tsʰʊ̃1	
突	tʰəʔ5	
窄	tsəʔ5	
窖	kɔ4	
窗	tsʰuɑŋ1	
窘	tɕiuŋ3	
窟	kʰuəʔ5	
窠	ʊ1	
窨	in4	
窩	ʊ1	
窪	ua4	
窮	tɕʰiuŋ2	
窯	iɔ2	
竅	tɕʰiɔ4	
竈	tsɔ4	
竊	tɕʰiɪʔ5	
立	liʔ5	
站	tsæ̃4	
章	tsɑŋ1	
童	tʰuŋ2	
端	tʊ̃1	
竹	tsuʔ5	
竿	kæ̃1	
笆	pa1	
笊	tsɔ4	
笋	sən3	
笑	ɕiɔ4	
笙	sən1	
笛	tiʔ5	
符	fu2	
笨	pən4	
第	ti4	
筆	piʔ5	
等	tən3	
筍	sən3	
答	tæʔ5	
箍	ku1	
箔	pɑʔ5	
箕	tɕi1	
算	sʊ̃4	
管	kʊ̃3	
箱	ɕiɑŋ1	
箸	tsu4	
節	tɕiɪʔ5	
篆	tsʊ̃4	
篇	pʰiɪ̃1	
篙	kɔ1	
篦	pi4	
篩	ɕiɛ1	
簍	lɤɯ3	
簪	tsæ̃1	
簫	ɕiɔ1	
簷	iɪ̃2	
簸	pʊ3	
簾	liɪ̃2	
簿	pu4	
籃	læ̃2	
籌	tsʰɤɯ2	
籠	luŋ2	
籤	tɕʰiɪ̃1	
米	mi3	
粉	fən3	
粗	tsʰu1	
粥	tsuʔ5	
粧	tsuɑŋ1	
糉	tsuŋ4	
精	tɕin1	
糕	kɔ1	
糖	tʰɑŋ2	
糙	tsʰɔ4	
糝	tsʰæ̃3	米裏~子
糞	fən4	
糟	tsɔ1	
糠	kʰɑŋ1	
糯	lʊ4	
約	iɑʔ5	
紅	xuŋ2	
紋	uən2	
純	suən2	
紗	sa1	
紙	tsɿ3	
紛	fən1	
素	su4	
紡	fɑŋ3	
索	sɑʔ5	
紫	tsɿ3	
紬	tsʰɤɯ2	
紮	tsæʔ5	
累	lei4	
細	ɕi4	
終	tsuŋ1	
絆	pʰæ̃4	~住了 ~倒了
結	tɕiɪʔ5	
絕	tɕyɪʔ5	
絝	kʰu4	
絞	tɕiɔ3	
絨	ɻuŋ2	
統	tʰuŋ3	
絲	sɿ1	
絹	tɕyɪ̃4	
綁	pɑŋ3	
綑	kʰuən3	
綠	luʔ5	
綢	tsʰɤɯ2	
網	uɑŋ3	
綵	tɕʰiɛ3	
綻	tsæ̃4	
綽	tsʰɑʔ5	
綿	miɪ̃2	
緊	tɕin3	
線	ɕiɪ̃4	
緞	tʊ̃4	
緣	yɪ̃2	
編	piɪ̃1	
緩	xʊ̃3	
縐	tsɤɯ4	
縛	fɑʔ5	
縣	ɕiɪ̃4	
縫	fuŋ2	
縮	suʔ5	
縴	tɕʰiɪ̃4	
總	tsuŋ3	
繃	puŋ1	硬~~的 ~子(紮小孩子的布)
織	tsəʔ5	
繞	ɻɔ3	
繡	ɕiɤɯ4	
繩	sən2	
纓	in1	
纔	tɕʰiɛ2	
纜	læ̃4	扣船的大繩
缸	kɑŋ1	
缺	tɕʰyɪʔ5	
罈	tʰæ̃2	
罐	kʊ̃4	
罩	tsɔ4	
罪	tsei4	
置	tsɿ4	
罰	fæʔ5	
罵	ma4	
罷	pa4	
羅	lʊ2	
羊	iɑŋ2	
美	mei3	
羞	ɕiɤɯ1	
羨	ɕyɪ̃4	
義	i4	
羹	kən1	
翁	uŋ1	
翅	tsʰɿ4	
習	ɕiʔ5	
翠	tsʰei4	
翦	tɕiɪ̃3	
翻	fæ̃1	
老	lɔ3	
考	kʰɔ3	
耍	sua3	
耐	liɛ4	
耕	kən1	
耗	xɔ4	
耙	pʰa2	
耦	(ɻ)ɤɯ3	
耳	ɚ3	
聊	liɔ2	
聖	sən4	
聘	pʰin4	
聚	tɕy4	
聞	uən2	
聰	tsʰuŋ1	
聲	sən1	
聳	suŋ3	
聽	tʰin1	
聽	tʰin4	
聾	luŋ2	
肆	sɿ4	
肉	ɻɤɯ4	
肉	ɻuʔ5	
肋	ləʔ5	
肘	tsɤɯ3	
肚	tu3	
肚	tu4	
肝	kæ̃1	
股	ku3	
肥	fei2	
肩	tɕiɪ̃1	
肯	kʰən3	
肺	fei4	
背	pei4	
胎	tʰiɛ1	
胖	pʰɑŋ4	
胡	xu2	
胰	i2	
胸	ɕiuŋ1	
能	lən2	
脂	tsɿ1	
脆	tsʰei4	
脈	mʊʔ5	
脊	tɕiʔ5	
腳	tɕiɑʔ5	
脣	tɕʰyn2	嘴~子
脫	tʰʊʔ5	
脹	tsɑŋ4	
脾	pʰi2	
腐	fu3	
腔	tɕʰiɑŋ1	
腥	ɕin1	
腦	lɔ3	
腫	tsuŋ3	
腮	ɕiɛ1	
腰	iɔ1	
腳	tɕiɑʔ5	
腸	tsʰɑŋ2	
腿	tʰei3	
膀	pɑŋ3	
膈	kəʔ5	
膏	kɔ1	
膛	tʰɑŋ2	
膜	mɑʔ5	
膝	ɕiʔ5	
膠	tɕiɔ1	
膩	li4	
膽	tæ̃3	
膿	luŋ2	
臉	liɪ̃3	
臊	sɔ1	
臍	tɕʰi2	
臘	læʔ5	
臟	tsɑŋ4	
臣	tsʰən2	
臥	ʊ4	
自	tsɿ4	
臭	tsʰɤɯ4	
至	tsɿ4	
臺	tʰiɛ2	
臼	tɕiɤɯ4	碓~子
舀	iɔ3	
舂	tsʰuŋ1	
舅	tɕiɤɯ4	
與	y3	
舉	tɕy3	
舊	tɕiɤɯ4	
舌	ɕiɪʔ5	
舒	su1	
舔	tʰiɪ̃3	
舛	tsʰʊ̃3	
舞	u3	
航	xɑŋ2	
舵	tʊ4	
船	tsʰʊ̃2	
艙	tsʰɑŋ1	
艱	tɕiɑŋ1	
色	səʔ5	
艾	ɛ4	
芋	y4	
芍	sɑʔ5	
芝	tsɿ1	
芭	pa1	
花	xua1	
芹	tɕʰin2	
芽	ia2	
苔	tʰiɛ1	靑綠~子 舌~
苗	miɔ2	
苣	tɕy4	
若	ɻɑʔ5	
苦	kʰu3	
苧	tsu4	
英	in1	
茂	mʊ4	
茄	tɕʰi2	
茶	tsʰa2	
草	tsʰɔ3	
荒	xuɑŋ1	
荷	xʊ2	
莊	tsuɑŋ1	
莽	mɑŋ3	
菊	tɕiuʔ4	
菌	tɕyɪ̃4	
菖	tsʰɑŋ1	
菜	tɕʰiɛ4	
菠	pʊ1	
菩	pʰu2	
華	xua2	
菱	lin2	
萄	tʰɔ2	
萍	pʰin2	
萬	uæ̃4	
萵	ʊ1	
落	lɑʔ5	
葉	iɪʔ5	
葡	pʰu2	
董	tuŋ3	
葬	tsɑŋ4	
葱	tsʰuŋ1	
葵	kʰuei2	
葷	xuən1	
蒂	ti4	
蒙	muŋ2	
蒜	sʊ̃4	
蒯	kʰuɛ3	
蒲	pʰu2	
蒸	tsən1	
蒿	xɔ1	茼~ 青~
蓄	ɕiuʔ5	
蓆	ɕiʔ5	
蓋	kɛ4	
蓑	sʊ1	
蓬	pʰuŋ2	
蓮	liɪ̃2	
蔑	miɪʔ5	
蕉	tɕiɔ1	
蕊	yei3	
蕎	tɕʰiɔ2	
薄	pɑʔ5	
薑	tɕiɑŋ1	
薦	tɕiɪ̃4	
薩	sæʔ5	
薰	ɕyn1	
藍	læ̃2	
藏	tsʰɑŋ2	
藕	(ɻ)ɤɯ3	
藤	tʰən2	
藥	iɑʔ5	
蘆	lu2	
蘇	su1	
蘸	tsæ̃4	
蘿	lʊ2	
虎	xu3	
處	tsʰu3	
處	tsʰu4	
虛	ɕy1	
號	xɔ2	
號	xɔ4	
虧	kʰuei1	
虫	tsʰuŋ2	
虱	səʔ5	
蚊	uən2	
蚌	puŋ4	
蛀	tsu4	
蛆	tɕʰy1	
蛇	ɕi2	
蛋	tæ̃4	
蛙	ua1	
蛛	tsu1	
蛟	tɕiɔ1	
蛤	kʊʔ5	蛤蜊
蛾	ʊ2	
蜂	fuŋ1	
蜃	tsʰən3	大蛤蜊 又念甚
蜜	miʔ5	
蝗	xuɑŋ2	
蝦	ɕia1	
蝨	səʔ5	
蝴	xu2	
蝶	tiɪʔ5	
螃	pʰɑŋ2	
螢	in2	
螺	lʊ1	
蟒	mɑŋ3	
蟲	tsʰuŋ2	
蟻	i4	
蠅	in1	
蠍	ɕiɪʔ5	
蠢	tsʰuən3	
蠶	tsʰæ̃2	
蠻	mæ̃2	
血	ɕyɪʔ5	
衆	tsuŋ4	
行	xɑŋ2	
行	ɕin2	
術	suəʔ5	
街	kɛ1	
衙	ia2	
衛	uei4	
衝	tsʰuŋ1	
衣	i1	
表	piɔ3	
衫	sæ̃1	
衰	ɕyei1	
袋	tiɛ4	
袍	pʰɔ2	
袖	ɕiɤɯ4	
被	pei4	
袱	fuʔ5	
裁	tɕʰiɛ2	
裂	liɪʔ5	
裏	lei3	
裙	tɕʰyn2	
補	pu3	
裝	tsuɑŋ1	
裱	piɔ3	
裳	sɑŋ1	
裹	kʊ3	
褂	kua3	
褥	ɻuʔ5	
褪	tʰən4	
褲	kʰu4	
襖	ɔ3	
襪	uæʔ5	
襯	tsʰən4	
西	ɕi1	
要	iɔ4	
見	tɕiɪ̃4	
規	kuei1	
視	sɿ4	
親	tɕʰin1	
覵	tɕʰiɑŋ4	看 暗暗的看
覺	tɕiɑʔ5	
角	kɑʔ5	
解	tɕiɛ3	
言	iɪ̃2	
訂	tin4	
計	tɕi4	
討	tʰɔ3	
訓	ɕyn4	
託	tʰɑʔ5	
記	tɕi4	
訛	ʊ2	
訟	suŋ4	
訣	tɕyɪʔ5	
許	ɕy3	
訴	su4	
註	tsu4	
詐	tsa4	
試	sɿ4	
詩	sɿ1	
詭	kuei3	
話	xua4	
該	kɛ1	
誇	kʰua1	
認	ɻən(ən)4	
誓	sɿ4	
誘	iɤɯ4	
語	y3	
誠	tsʰən2	
誤	u4	
誦	suŋ4	
說	sʊʔ5	
誰	suei2	
課	kʰʊ4	
諄	tsuən1	
談	tʰæ̃2	
請	tɕʰin3	
諫	tɕiɑŋ4	
諭	y4	
諷	fuŋ3	
諸	tsu1	
謀	mʊ2	
謄	tʰən2	
謊	xuɑŋ3	
謎	mei4	
謙	tɕʰiɪ̃1	
講	tɕiɑŋ3	
謝	ɕi4	
謠	iɔ2	
證	tsən4	
識	səʔ5	
譜	pu3	曲~ 家~
警	tɕin3	
譬	pʰei4	比~
議	i4	
護	xu4	
譽	y4	
讀	tuʔ5	
變	piɪ̃4	
讎	tsʰɤɯ2	
讓	ɻɑŋ(ɑŋ)4	
豆	tɤɯ4	
豉	tsʰɿ2	
豌	ʊ̃1	
豎	su4	
豐	fuŋ1	
象	ɕiɑŋ4	
豫	y4	
貓	mɔ2	
貝	pei4	
財	tɕʰiɛ2	
貧	pʰin2	
貨	xʊ4	
販	fæ̃4	
貪	tʰæ̃1	
責	tsəʔ5	
貳	ɚ4	
貴	kuei4	
買	miɛ3	
費	fei4	
貼	tʰiɪ̃5	
資	tsɿ1	
賊	tsəʔ5	
賑	tsən4	
賒	ɕi1	
賜	tsʰɿ4	
賞	sɑŋ3	
賠	pʰei2	
賢	ɕiɪ̃2	
賣	miɛ4	
質	tsəʔ5	
賬	tsɑŋ4	
賴	liɛ4	
賺	tsuæ̃3	
賽	ɕiɛ4	
贊	tsæ̃4	
贏	in2	
贓	tsɑŋ1	
贖	suʔ5	
赤	tsʰəʔ5	
走	tsɤɯ3	
起	tɕʰi3	
趁	tsʰən4	
越	yɪʔ5	
趕	kæ̃3	
趙	tsɔ4	
趟	tʰɑŋ4	
趣	tɕʰy4	
足	tsuʔ5	
跁	pʰa1	~下來
跌	tiɪʔ5	
跑	pʰɔ3	
跛	tɕʰyɪ2	本字瘸
跡	tɕiʔ5	
跨	kʰua4	
跪	kuei4	
路	lu4	
跳	tʰiɔ4	
跴	tɕʰiɛ3	腳~
跺	təʔ5	
踢	tʰiʔ5	
踱	tɑʔ5	
蹄	tʰi2	
蹲	tən1	
蹺	tɕʰiɔ1	
躊	tsʰɤɯ2	
身	sən1	
躭	tæ̃1	
躲	tʊ3	
躺	tʰɑŋ3	
車	tɕʰi1	
車	tsʰei1	又音期
軍	tɕyn1	
軟	ɻʊ̃3	
軸	tsuʔ5	
較	tɕiɔ4	
輕	tɕʰin1	
輛	liɑŋ4	
輩	pei4	
輪	lən2	
輸	su1	
轉	tsʊ̃3	
轎	tɕiɔ4	
辛	ɕin1	
辣	læʔ5	
辦	pæ̃4	
辨	piɪ̃4	
辮	piɪ̃4	
辰	tsʰən2	
辱	ɻuʔ5	
農	luŋ2	
迂	y1	
迎	in2	
近	tɕin4	
迫	pʰʊʔ5	逼~
迷	mei2	
迸	puŋ4	
追	tsuei2	
退	tʰei4	
送	suŋ4	
逃	tʰɔ2	
逆	iʔ5	
透	tʰɤɯ4	~氣 煮~了
逐	tsuʔ5	
這	tsɿ4	~個 ~裏
通	tʰuŋ1	
逛	kuɑŋ4	
速	suʔ5	
造	tsɔ4	
連	liɪ̃2	
週	tsɤɯ1	
進	tɕin4	
逼	piʔ5	
遂	sei4	
遇	y4	
運	yn4	
遍	piɪ̃4	
過	kʊ4	
道	tɔ4	
遞	ti4	拿東西~把人
遠	yɪ̃3	
遭	tsɔ1	
遲	tsʰɿ2	
遵	tsən1	
遷	tɕʰiɪ̃1	
選	ɕyɪ̃3	
還	xuæ̃2	
邊	piɪ̃1	
那	la3	哪個
那	la4	那個
邪	ɕi2	
邵	sɔ4	
郎	lɑŋ2	
郝	xɑʔ5	
部	pu4	
郭	kuɑʔ5	
都	tu1	
鄉	ɕiɑŋ1	
鄭	tsən4	
鄰	lin2	
酉	iɤɯ3	
酌	tsɑʔ5	
配	pʰei4	
酒	tɕiɤɯ3	
酣	xæ̃1	
酥	su1	
酬	tsʰɤɯ2	
酵	kɔ4	發麵的~
酸	sʊ̃1	
醃	iɪ̃1	
醉	tsei4	
醋	tsʰu4	
醒	ɕin3	
醜	tsʰɤɯ3	
醫	i1	
醬	tɕiɑŋ4	
里	lei3	
重	tsʰuŋ2	
重	tsuŋ4	
重	sən4	
野	i3	
金	tɕin1	
釘	tin1	
針	tsən1	
釣	tiɔ4	
釧	tsʰʊ̃4	鐲
釬	xæ̃4	銲
鈍	tən4	
鈔	tsʰɔ4	錢票子
鈕	liɤɯ3	
鈴	lin2	
鉋	pɔ4	~子
鉛	kʰæ̃1	
鉢	pʊʔ5	
鉤	kɤɯ1	
銀	in2	
銃	tsʰuŋ4	
銅	tʰuŋ2	
銲	xæ̃4	
銳	yei4	
銷	ɕiɔ1	
銼	tsʰʊ4	
鋤	tsʰu2	
鋪	pʰu1	
鋪	pʰu4	
鋸	tɕy4	
鋼	kɑŋ1	
錁	kʰʊ4	
錐	tsuei2	
錠	tin4	
錢	tɕʰiɪ̃2	
錨	mɔ2	
錫	ɕiʔ5	
錯	tsʰʊ4	
錶	piɔ3	
鍋	kʊ1	
鍍	tu4	
鍘	tsæʔ5	
鍾	tsuŋ1	
鎖	sʊ3	
鎗	tɕʰiɑŋ1	
鎧	kʰɛ3	
鎮	tsən4	
鏖	ɔ1	
鏟	tsʰæ̃3	
鏡	tɕin4	
鏽	ɕiɤɯ4	
鐐	liɔ2	
鐘	tsuŋ1	
鐲	tsuɑʔ5	
鐵	tʰiɪ̃5	
鑛	kʰuɑŋ4	
鑰	iɑʔ5	
鑲	ɕiɑŋ1	
鑼	lʊ2	
鑽	tsʊ̃1	鑽出
鑽	tsʊ̃4	鑽頭
鑿	tsɑʔ5	
長	tsʰɑŋ2	
長	tsɑŋ3	
門	mən2	
閂	suæ̃1	
閃	ɕiɪ̃3	
閉	pi4	
開	kʰɛ1	
閏	ɻən(ən)4	
閒	ɕiɑŋ2	
間	tɕiɑŋ1	
閘	tsæʔ5	
閣	kɑʔ5	
閻	iɪ̃2	
闊	kʰʊʔ5	
闖	tsʰuɑŋ3	
關	kuæ̃1	
阪	fæ̃3	
阮	ɻʊ̃3	
防	fɑŋ2	
阻	tsu3	
限	ɕiɑŋ4	
陡	tɤɯ3	
院	yɪ̃4	
陣	tsən4	
除	tsʰu2	
陪	pʰei2	
陰	in1	
陳	tsʰən2	
陸	luʔ5	
陽	iɑŋ2	
隊	tei4	
隍	xuɑŋ2	
隔	kəʔ5	
隨	sei2	
險	ɕiɪ̃3	
隱	in3	
隻	tsəʔ5	
雀	tɕʰiɑʔ5	
雁	æ̃4	
雄	ɕiuŋ2	
雅	ia3	
集	tɕiʔ5	
雌	tsʰɿ1	
雍	iuŋ1	
雕	tiɔ1	
雖	sei1	
雙	suɑŋ1	
雜	tsæʔ5	
雞	tɕi1	
離	lei2	
難	læ̃2	
難	læ̃4	
雨	y3	
雪	ɕyɪʔ5	
雲	yn1	
零	lin2	
雷	lei2	
雹	pɑʔ5	
電	tiɪ̃4	
需	ɕy1	
霉	mei2	
霍	xuɑʔ5	
霜	suɑŋ1	
霞	ɕia2	
霧	u4	
露	lu4	
霸	pa4	
靈	lin2	
靑	tɕʰin1	
靜	tɕin4	
靠	kʰɔ4	
面	miɪ̃4	
靴	ɕy1	
靶	pa3	
鞋	xɛ2	
鞍	æ̃1	
鞭	piɪ̃1	
韭	tɕiɤɯ3	
音	in1	
韶	sɔ2	
響	ɕiɑŋ3	
頁	iɪʔ5	
頂	tin3	
頃	tɕʰin3	
順	suən4	
須	ɕy1	
頌	suŋ4	
預	y4	
頑	uæ̃2	
頓	tən4	
頗	pʰʊ3	
領	lin3	
頭	tʰɤɯ2	
頸	tɕin3	
頹	tʰei2	
題	tʰi2	
額	əʔ5	
顎	xɑʔ5	上~子
顏	æ̃2	
願	yɪ̃4	
顧	ku4	
顫	tɕiɪ̃4	
顯	ɕiɪ̃3	
顴	tɕʰyɪ̃2	
風	fuŋ1	
飄	pʰiɔ1	
飛	fei1	
食	səʔ5	
飢	tɕi1	
飩	tʰən2	餛~(小餃子)
飯	fæ̃4	
飲	in3	
飽	pɔ3	
餃	tɕiɔ3	
餅	pin3	
餉	ɕiɑŋ3	
養	iɑŋ3	
餐	tsʰæ̃1	
餓	ʊ4	
餘	y2	
餡	xæ̃4	
館	kʊ̃3	
餿	sɤɯ1	
饅	mʊ̃2	
饊	sæ̃3	
饋	kʰuei4	
饒	ɻɔ2	
饞	tsʰæ̃2	
飾	səʔ5	
首	sɤɯ3	
香	ɕiɑŋ1	
馬	ma3	
馱	tʰʊ2	
駕	tɕia4	
駝	tʰʊ2	
駢	pʰiɪ̃2	
駭	xɛ4	
騎	tɕʰi2	
騙	pʰiɪ̃4	
騰	tʰən2	
騾	lʊ2	
驗	iɪ̃4	
驚	tɕin1	
驟	tsɤɯ4	
驢	ly2	
骨	kuəʔ5	
骯	ɑŋ1	
髒	tsɑŋ1	
髓	sei3	俗名稱骨笋
體	tʰi3	
高	kɔ1	
髮	fæʔ5	
鬆	suŋ1	
鬉	tsuŋ1	鬃
鬍	xu2	
鬧	lɔ4	
鬭	tɤɯ4	
鬼	kuei3	
魂	xuən2	
魘	iɪ̃3	
魚	y2	
鮑	pɔ4	
鮮	ɕiɪ̃1	
鯉	lei3	
鯶	xuən4	
鰓	ɕiɛ1	
鰾	piɔ4	
鱔	ɕiɪ̃4	
鳥	liɔ3	
鳴	min2	
鴉	ia1	
鴨	æʔ5	
鴿	kʊʔ5	
鵝	ʊ2	
鵲	tɕʰiɑʔ5	
鶴	xɑʔ5	
鷹	in1	
鸞	lʊ̃2	
鹹	xæ̃2	
鹽	iɪ̃2	
鹿	luʔ5	
麒	tɕʰi2	
麥	muʔ5	
麩	fu1	
麪	miɪ̃4	
麯	tɕʰiuʔ5	
麵	miɪ̃4	
麻	ma2	
麼	mʊ2	甚~
黃	xuɑŋ2	
黏	liɪ̃2	
黑	xəʔ5	
點	tiɪ̃3	
黨	tɑŋ3	
鼇	ɔ2	
鱉	piɪʔ5	
鼓	ku3	
鼠	tsʰu3	
鼻	piʔ5	
鼾	xu1	
齊	tɕʰi2	
齋	tɕiɛ1	
齒	tsʰɿ3	
龍	luŋ2	
龕	kʰæ̃1	
龜	kuei1	
