#漢字	音標	解釋
#簡稱	/	湖州
#全稱	/	湖州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,12 2 1b 陽平 ꜁,42 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇
#版本	/	2022-01-05
#錄入人	/	Vô Danh
#參考資料	/	
#說明	/	
傑	dʑiəʔ8	
傘	sᴇ5	
備	bei6	
傢	ka1	白
催	tsʰei1	
傲	ŋɦɔ2	
傳	dzᴇ2	
債	tsa5	
傷	sɔ̃1	
傻	sa1	
傾	tɕʰin3	
僅	dʑin6	
像	ʑiã4	
僑	dʑiɔ2	
僕	pʰoʔ7	
僥	tɕiɔ3	
僧	sən1	
僻	pʰiəʔ7	
儀	ȵiᶽ5	
儂	noŋ2	
儂	ȵɦioŋ2	
億	ʔiᶽ5	
儉	dʑi4	
儒	zɿ2	
儕	zei2	～是介：都是這樣的（俗字）
儘	tɕin3	
儞	n̩5	
償	dzɔ̃2	
儡	lei3	
優	ʔiʏ1	
儲	dzɿ2	
儼	ȵɦi2	～然
允	ʔin1	
元	ɦi2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	dzɔ6	重～，湖州地名
兆	zɔ6	
兇	ɕioŋ1	
先	ɕi1	
光	kɔ̃1	
克	kʰəʔ7	
免	mi3	
兒	ȵɦiᶽ2	白
兒	əl2	文
兔	tʰəu5	
兜	tøʏ1	
兢	dʑin6	
入	zəʔ8	
內	nei5	
全	ʑi2	
全	zei2	～是介：都是這樣的
兩	liã3	～个，几～几钱
八	poʔ7	
公	koŋ1	
六	lɦoʔ8	
兮	ɦiᶽ2	
兵	pin1	
其	dʑiᶽ2	
具	dʑiᶽ6	
典	ti3	
兼	tɕi1	
冀	tɕiᶽ5	
冉	zᴇ4	
冊	tsʰaʔ7	
再	tsei5	
冒	mɔ5	
冠	kuᴇ1	衣～，～軍
冢	tsoŋ5	
冤	ʔi1	
冬	toŋ1	
冰	pin1	
冷	lã3	
凄	tɕʰiᶽ1	
准	tsən3	
凌	lɦin2	
凍	toŋ5	
凝	ȵɦin2	
几	tɕiᶽ3	茶～
凡	vᴇ2	
凱	kʰᴇ3	～歌
凱	kʰei3	袁世～
凳	tən5	
凶	ɕioŋ1	
出	tsʰəʔ7	
函	ɦᴇ2	
刀	tɔ1	
刁	tiɔ1	
刃	zən4	
分	fən1	
刊	kʰᴇ3	
刎	vən4	
刑	ɦin2	
列	lɦiəʔ8	
初	tsʰəu1	
判	pʰᴇ5	
別	biəʔ8	
刨	bɔ6	～地
利	liᶽ5	
刪	sᴇ1	
刮	kuaʔ7	
到	tɔ5	
制	tsɿ5	
刷	səʔ7	
券	tɕʰi1	
刺	tsʰɿ5	
刻	kʰəʔ7	时～，用力～
剁	təu3	
剃	tʰiᶽ5	
剄	dʑin6	蛮～：很有意思
則	tsəʔ7	
削	ɕiaʔ7	
前	ʑi2	
剔	tʰiəʔ7	
剖	pʰu5	
剛	kɔ̃1	
剜	ʔuaʔ7	
剝	poʔ7	
剩	dzən6	
剩	dzã6	白
剪	tɕi3	
剮	ko3	
副	fu5	
割	kəʔ7	
創	tsʰã5	
剿	dʑiɔ2	
劃	ɦua2	文
劃	ɦo2	白
劃	ɦuaʔ8	
劇	dʑiəʔ8	
劈	pʰiəʔ7	
劉	lɦøʏ2	
劊	kuei3	
劍	tɕi5	
劑	dʑiᶽ6	
力	lɦiəʔ8	
功	koŋ1	
加	ka1	白
加	tɕia1	文
劣	lɦəʔ8	
助	zəu6	
努	nəu3	
劫	tɕiəʔ7	
勃	bəʔ8	
勇	ʔioŋ3	
勉	mi3	
勒	lɦəʔ8	
動	doŋ4	
務	vu6	
勝	sən5	～任，～敗
勞	lɦɔ2	
募	mɦo2	
勢	sɿ5	
勤	dʑin2	
勳	ɕin1	
勵	liᶽ5	
勸	tɕʰi5	
勺	zoʔ8	汤～
勻	ɦin2	
勾	køʏ1	
勿	vəʔ8	
包	pɔ1	
匆	tsʰoŋ1	
化	ho5	
北	poʔ7	
匙	zɿ2	
匠	ʑiã6	
匡	kʰɔ̃1	
匣	ɦaʔ8	
匪	fiᶽ3	
匯	ʔuei5	
匹	pʰiəʔ7	
匾	pi3	
匿	ȵɦiəʔ8	文
匿	ȵɦiaʔ8	白
區	tɕʰiᶽ1	
十	zəʔ8	
千	tɕʰi1	
卅	sa1	來～：行，勿來～：不行
升	sən1	
午	ʔu3	文
午	ŋ̩4	白
半	pᴇ5	
卑	pei1	
卒	tsəʔ7	
卓	tsoʔ7	
協	ɦiaʔ8	
南	nɦᴇ2	
博	poʔ7	
卜	poʔ7	
占	tsᴇ5	～卜，～地
卦	ko5	
卯	mɔ3	
印	ʔin5	
危	ɦuei2	文
即	tɕiəʔ7	
卵	lᴇ3	卵
卵	ləu3	～巢
卷	tɕi3	
卸	ɕia5	
卻	tɕʰiaʔ7	
卿	tɕʰin1	
厚	ʔiʏ3	
原	ȵɦi2	
厥	tɕiəʔ7	
廚	dzɿ2	
厭	ʔi5	
厲	liᶽ5	
去	tɕʰiᶽ5	
厾	toʔ7	投擲
參	tsʰᴇ1	
參	tsʰən1	～差
參	sən1	人～
又	ʔiʏ5	
叉	tsʰo1	
及	dʑiəʔ8	
友	ʔiʏ3	
反	fᴇ3	
叔	soʔ7	
取	tɕʰiᶽ3	
受	ʑiʏ4	
叛	bᴇ2	
叟	ɕiʏ5	
叢	dzoŋ2	
口	kʰøʏ3	
古	kəu3	
句	tɕiᶽ5	
另	lɦin2	
叨	tʰɔ1	
叩	kʰøʏ5	
叫	tɕiɔ5	
召	dzɔ6	
可	kʰo4	
台	tʰei1	～州
史	sɿ3	
右	ʔiʏ5	
司	sɿ1	
各	koʔ7	
吆	ʔiɔ1	
合	kəʔ7	十～一升
合	ɦəʔ8	
吉	tɕiəʔ7	
吊	tiɔ5	
同	doŋ2	
名	mɦin2	
吏	liᶽ5	
吐	tʰəu5	
向	ɕiã5	
君	tɕin1	
吝	lin5	
吞	tʰən1	
吟	ȵɦin2	
吠	viᶽ4	
否	føʏ1	
含	ɦᴇ2	
吮	zən2	～卵！，～要好：不要你多管閒事
吳	ɦu2	文
吳	ŋ̩2	吴江：地名。白
吵	tsʰɔ3	
吸	ɕiəʔ7	
吹	tsʰei1	
吻	vən4	
吼	høʏ3	
吾	ŋɦəu2	
呂	liᶽ3	
呆	ŋɦei2	
呈	dzən2	
告	kɔ5	
周	tɕiʏ1	
味	miᶽ5	白讀
味	viᶽ6	
呵	həu1	
呸	pʰei3	
呼	həu1	
命	min5	
和	ɦu2	～氣，～麺
咎	dʑiʏ6	
咒	tɕiʏ5	
咨	tsɿ1	
咪	miᶽ1	
咬	ŋɔ3	
咳	kʰəʔ7	
咸	ɦᴇ2	
咸	ɦi2	文
哀	ʔei1	
品	pʰin3	
哄	hoŋ3	
