#漢字	音標	解釋
#簡稱	/	湖州
#全稱	/	湖州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,12 2 1b 陽平 ꜁,42 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇
#版本	/	2022-01-05
#錄入人	/	Vô Danh
#參考資料	/	
#說明	/	
陳	dzən2	
陵	lɦin2	
陶	dɔ2	
陷	ʔi1	
陸	lɦoʔ8	
陽	ɦiã2	
隆	lɦoŋ2	
隊	dei6	
階	ka1	～沿石。白
階	tɕia1	文
隨	dzei2	
隔	kaʔ7	
隘	ʔiəʔ7	
際	tɕiᶽ5	
障	tsɔ̃5	
隧	dzei6	
險	ɕi3	
隱	ʔin3	
隴	loŋ3	
隸	tiᶽ5	
隸	liᶽ5	
隻	tsəʔ7	
隻	tsaʔ7	
雀	tɕʰiaʔ7	
雁	ŋᴇ5	
雄	ɦioŋ2	
集	ʑiəʔ8	
雇	kəu5	
雉	dzɿ4	
雌	tsʰɿ1	
雍	ʔioŋ1	
雕	tiɔ1	
雖	sei1	
雙	sɔ̃1	
雛	dzəu2	
離	lɦiᶽ2	～別
難	nᴇ5	患～
難	nɦᴇ2	～易
雨	ʔiᶽ3	
雪	ɕiəʔ7	
雲	ɦin2	
零	lɦin2	
雷	lɦei2	
雹	bɔ6	
電	di6	
需	ɕiᶽ1	
霄	ɕiɔ1	
霍	hoʔ7	
霜	sɔ̃1	
霞	ɦia2	
霧	vu6	
露	ləu5	
霸	po5	
靈	lɦin2	
青	tɕʰin1	
靖	ʑin2	
靜	ʑin4	
非	fiᶽ1	
靠	kʰɔ5	
面	mi5	
靨	ʔiəʔ7	
革	kəʔ7	
靪	tin1	
靴	ɕiʏ1	
鞋	ɦa2	
鞍	ʔᴇ1	
鞏	koŋ3	
鞘	ɕiɔ1	
鞦	tɕʰiʏ1	
鞭	pi1	
韓	ɦᴇ2	
韭	tɕiʏ3	
音	ʔin1	
韶	zɔ2	
韻	ʔin5	
響	ɕiã3	
頁	ɦiəʔ8	
頂	tin3	
頃	tɕʰin3	
項	ʔuɔ̃3	
順	zən6	
須	ɕiᶽ1	
頌	dzoŋ6	
預	ʔiᶽ5	
頑	ɦuᴇ2	
頒	pᴇ5	
頓	tən5	
頗	pʰu3	
領	lin3	
頭	døʏ2	
頸	tɕin1	
頻	bin2	
顆	kʰəu1	
顋	sei1	
題	diᶽ2	
額	ŋɦəʔ8	
額	ŋɦaʔ8	白
顏	ŋɦᴇ2	
願	ȵi5	
顛	ti1	
類	lei5	
顧	kəu5	
顯	ɕi3	
顴	dʑi2	
風	foŋ1	
飄	pʰiɔ1	
飛	fiᶽ1	
食	zəʔ8	
飢	tɕiᶽ1	
飩	dən2	
飯	vᴇ6	
飲	ʔin3	
飴	ɦiᶽ2	
飼	zɿ6	
飽	pɔ3	
飾	səʔ7	
餃	tɕiɔ3	
餅	pin3	
餈	tsʰɿ1	
餈	zɿ2	
餉	ɕiã5	
養	ʔiã3	
餌	əl3	
餐	tsʰᴇ1	
餑	bəʔ8	
餓	ŋəu5	
餘	ɦiᶽ2	
餞	dzᴇ6	～行
餡	ŋᴇ3	
餧	ʔuei3	
館	kuᴇ3	
餳	ʑin2	～糖：麦芽糖
餾	løʏ1	
餿	ɕiʏ1	
饂	ɦuən2	
饃	mɦo2	
首	ɕiʏ3	
香	ɕiã1	
馨	ɕin1	
馬	mo3	
馮	voŋ2	
馱	dəu2	拿
馳	zɿ2	
駁	poʔ7	
駐	tsɿ5	
駒	tɕiᶽ1	
駕	tɕia5	
駛	sɿ3	
駝	dəu2	
駱	lɦoʔ8	
騎	dʑiᶽ2	
騙	pʰi5	
騰	dən2	
騷	sɔ1	
騾	lɦəu2	
驅	tɕʰiᶽ1	
驕	tɕiɔ1	
驗	ȵi5	
驚	tɕin1	
驟	dʑiʏ6	
驢	lɦəu2	
骨	kuəʔ7	
骯	ʔɔ̃1	
骱	ɡa6	
髒	tsɔ̃1	
髓	dzei2	
體	tʰiᶽ3	
高	kɔ1	
髮	faʔ7	
鬃	tsoŋ1	
鬆	soŋ1	
鬍	ɦu2	
鬚	ɕiᶽ1	
鬢	pin1	
鬥	tøʏ5	
鬧	nɔ5	
鬨	hoŋ3	
鬱	ɦioʔ8	
鬼	kuei3	文
魁	kʰuei1	
魂	ɦuən2	
魄	pʰaʔ7	
魏	ʔuei5	
魔	mɦo2	
魘	ʔi3	
魚	ɦiᶽ2	文
魚	ŋ̩2	白
魯	ləu3	
鮑	bɔ4	
鮮	ɕi1	新～，～少
鯉	liᶽ3	
鯗	ɕiã3	
鯨	dʑin2	
鯽	tɕiəʔ7	
鰍	tɕʰiʏ1	
鰓	sei1	～板
鰣	zɿ2	
鰭	dʑiᶽ2	
鰾	biɔ4	
鱉	piəʔ7	
鱖	tɕiᶽ5	花～魚：鱖魚
鱟	høʏ5	虹
鮎	ȵɦia2	～魚
鮎	ȵɦi2	文
鳥	tiɔ3	
鳥	ȵiɔ3	用得少
鳩	tɕiʏ1	
鳳	voŋ6	
鳴	mɦin2	
鴉	ʔia1	文
鴉	ʔo1	白
鴨	ɦaʔ8	
鴻	ɦoŋ2	
鴿	kəʔ7	
鵝	ŋɦəu2	
鵲	tɕʰiaʔ7	
鶴	ŋɦoʔ8	
鷂	ʔiɔ5	
鷄	tɕiᶽ1	
鷹	ʔin1	
鷺	ləu5	
鸚	ʔin1	文
鸚	ʔã1	～哥。白
鸞	lɦᴇ2	
鹹	ɦi2	
鹽	ɦi2	
鹿	lɦoʔ8	
麗	liᶽ5	
麝	zo6	
麟	lɦin2	
麥	mɦaʔ8	
麩	fu1	
麴	tɕʰioʔ7	
麵	mi5	
麻	mɦo2	
麾	huei1	
黃	ɦuɔ̃2	
黍	sɿ3	
黎	lɦiᶽ2	
黏	ȵi1	
黑	həʔ7	
默	mɦəʔ8	
點	ti3	
黨	tɔ̃3	
黴	ɦmei2	
鼎	tin3	
鼎	tɕin1	
鼓	kəu3	
鼠	tsʰɿ3	
鼻	biəʔ8	
鼾	hᴇ1	
齈	lɦoŋ2	
齊	ʑiᶽ2	
齋	tsa1	
齒	tsʰɿ3	
齦	kʰən3	
齾	ŋɦaʔ8	～口，碗等的缺口
龍	lɦoŋ2	
龐	bɔ̃2	
龕	hᴇ1	
龜	kuei1	文
𠍲	dʑiᶽ2	他。也作“渠”“佢”
𠏕	ɕioʔ7	～：不要
𢫦	mɦaʔ8	～打
𣝗	ɦuəʔ8	果子～
𨉣	ha1	～腰
