#漢字	音標	解釋
#簡稱	/	建德壽昌
#全稱	/	建德壽昌話
#聲母	/	
#韻母	/	
#聲調	/	112 1 1a 陰平 ꜀,52 2 1b 陽平 ꜁,324 3 2a 陰上 ꜂,53 4 2b 陽上 ꜃,334 5 3 去 ꜄,,55 7a 4a 上陰入 ꜆,12 8a 4c 陽入 ꜇,3 7b 4b 下陰入 ꜀,,334 1b 1c 陰平 ꜀,112 2b 1d 陽平 ꜁,55 3b 2b 上 ꜂,,,324 6 3b 去 ꜄,5 7c 4d 陰入 ꜆,13 8b 4e 陽入 ꜇
#版本	/	2021-10-14
#錄入人	/	淸竮塵
#參考資料	/	《徽語嚴州方言研究》
#說明	/	說明：文白讀調值不同
寵	tɕʰiɔm3	
審	sᴇɲ13=	
客	kəʔ9	
宣	ɕiɛ̃11=	
室	səʔ17=	
宦	xuæ̃16=	
宪	ɕiɛ̃13=	
宮	kɔm1	
宰	tɕiɛ5	
害	xiᴇ5	
宴	iɛ̃13=	
宵	ɕɤ̞1	
家	kɑ1	自～：自己
家	kuə1	大～
容	iɔm12=	
寬	kʰuə1	
賓	pieɲ11=	
宿	ɕiəɯ5	星～
宿	sɔʔ9	～舍
寂	ɕiəʔ17=	
寄	tɕi5	
寅	ieɲ12=	
密	miəʔ8	
寇	kʰəɯ13=	
富	fʊ5	
寒	xiᴇ2	
寓	y13=	
寢	tɕʰieɲ13=	
寞	mɔʔ8	
察	tsʰəʔ17=	
寡	kuə5	
寨	tsɛ13=	
寸	tsʰᴇɲ5	
對	tiɛ5	
寺	sɿ16=	
尋	ɕieɲ2	
導	tɑ16=	
壽	səɯ5	
封	fɔm1	
射	tsʰəʔ8	～箭
將	tɕiɑ̃1	～来
將	tɕiɑ̃5	大～
尊	tsᴇɲ11=	
小	ɕɤ̞5	
少	sɤ̞3	多～
少	sɤ̞5	老～
尔	n̩4	
尖	tɕi1	
尘	tsʰᴇɲ2	
尚	sɑ̃5	
嘗	sɑ̃2	
尤	iəɯ12=	
堯	ȵiɑ12=	
尬	kɑ13=	
就	tɕʰiəɯ3	
尷	kæ̃11=	
屍	sɿ11=	
尺	tsəʔ9	
尼	ȵi12=	
尾	mi4	～巴
尾	uei4	有头有～
尿	sɿ1	
尿	ȵiɑ16=	～素
局	tɕʰiɔʔ8	邮政～
局	tɕiɔʔ18=	～长
屁	pʰi5	
層	sᴇɲ7	一～
屄	pi7	
居	tɕy1	
屈	kʰuəʔ9	弯
屈	tɕʰyəʔ17=	
屉	tʰi13=	
屆	tɕiɛ13=	
屋	ɔʔ9	
屌	tɤ̞2	pəʔ³～：阴茎
屌	tɤ̞3	
屏	pʰieɲ12=	
屑	ɕiᴇ7	头皮～
展	tsæ̃13=	
屬	ɕiɔʔ8	～牛
屬	ɕiɔʔ18=	军～
屠	tʰʊ12=	
屢	luei13=	
履	luei13=	
屯	tʰᴇɲ12=	
山	ɕyə1	
歲	ɕi5	
歲	suei13=	万～
豈	tɕʰi13=	
岐	tɕʰi12=	
崗	kɑ̃11=	
島	tɑ13=	
岩	ŋuə2	
岭	lieɲ4	
岳	ŋɔʔ18=	
岸	ŋiᴇ5	
峽	ɕiəʔ18=	
峯	fɔm1	
崇	tsʰɔm12=	
崔	tsʰuei11=	
崖	ŋɛ12=	
崩	pᴇɲ1	
嵌	sæ̃5	
嵩	sɔm11=	
川	tɕʰyei1	
州	tsəɯ1	
巡	tɕʰieɲ12=	
巢	tɕʰiɑ12=	
工	kɔm1	
左	tsʊ13=	
巧	tɕʰɤ̞3	
巨	tɕy16=	
鞏	kɔm13=	
巫	fʊ12=	
差	tɕʰyə1	～别
差	tsʰɑ11=	出～
己	tɕi13=	
巳	sɿ16=	
巴	pɤ̞1	尾～
巴	pəɯ1	～勿得：巴不得
巷	xɑ̃5	
巾	tɕieɲ1	
幣	pi16=	
市	sɿ4	
布	pʊ5	～鞋
布	pʊ13=	～告
帥	ɕyɛ13=	
帆	fæ̃12=	
師	sɿ1	
師	sɿ11=	老～
希	ɕi11=	
帳	tsɑ̃5	
帕	pʰəʔ17=	
帖	tʰiᴇ7	
帘	li2	
帚	tsəɯ3	
帝	ti5	
帶	tɑ5	
席	ɕiəʔ8	草～
席	tɕiəʔ18=	主～
幫	pɑ̃1	
常	tsʰɑ̃2	
常	tieɲ5	
帽	məɯ5	
幅	fɔʔ8	
幕	məɯ16=	
干	kæ̃11=	天～
平	pʰieɲ2	
年	ȵi2	
幸	ɕieɲ16=	
幹	kiᴇ5	事～：事情
幻	uæ̃16=	
幼	iəɯ5	
幽	iəɯ11=	
幾	tɕi3	～个
幾	tɕi13=	～乎
廣	kuɑ̃13=	
莊	tɕyɑ̃1	
慶	tɕʰieɲ13=	
庇	pi16=	
牀	ɕyɑ̃2	
序	tɕy16=	
廬	lʊ12=	
庫	kʰʊ5	
應	ieɲ5	～当；答～
底	ti3	
店	ti5	
廟	mɤ̞5	
庚	tsʰæ̃1	
府	fʊ3	
府	fʊ13=	
龐	pʰɑ̃12=	
廢	fi13=	
度	tʊ16=	
座	sʊ4	
庭	tʰieɲ12=	
庵	iᴇ1	
庶	ɕy13=	
康	kʰɑ̃11=	
庸	iɔm13=	
廉	liɛ̃12=	
廊	lɑ̃2	
廓	kʰɔʔ9	
廖	lɤ̞5	
延	iɛ̃12=	
廷	tʰieɲ12=	
建	tɕi5	
開	kʰiᴇ1	
异	i13=	
弃	tɕʰi13=	
弄	lɔm1	捉弄
弄	lɔm5	～堂
弊	pi16=	
式	səʔ17=	
弓	kɔm1	
引	ieɲ3	药～
引	ieɲ13=	～进
弘	ɕyɛ̃12=	
弟	tʰi4	
張	tsɑ̃1	
弥	mi7	阿～陀佛
弥	mi12=	～补
弦	i2	
彎	ŋuə1	
彎	uæ̃11=	
弱	ȵiɔʔ8	
彈	tʰuə2	～琴
彈	tæ̃16=	子～
强	tɕʰiɑ̃12=	～盗
强	tɕʰiɑ̃13=	勉～
弼	piəʔ18=	
歸	kuei1	
當	tɑ̃1	～时
當	tɑ̃5	上～
录	lɔʔ8	
彙	uei16=	词～
形	ieɲ12=	
彩	tɕʰiɛ3	
彪	pɤ̞1	
彬	pieɲ11=	
彭	pʰæ̃12=	
影	ieɲ3	
役	yəʔ18=	
徹	tsʰəʔ17=	
彼	pi13=	
往	uɑ̃4	～年
往	uɑ̃13=	来～
征	tsᴇɲ11=	
徑	tɕieɲ13=	
待	tʰiɛ4	
待	tɛ16=	
很	xᴇɲ13=	
律	liəʔ18=	
後	xəɯ4	
徐	tɕʰy2	
徒	tʰʊ2	
得	təʔ9	
徛	kʰiᴇ4	站立
御	y16=	
復	fɔʔ8	～兴
復	fɔʔ18=	～原
循	ɕyɛ̃12=	
德	təʔ9	
徽	xuei1	
心	ɕieɲ1	
必	piəʔ9	
忌	tɕi16=	
忍	niɛ4	
忒	tʰəʔ9	太
忖	tsʰᴇɲ3	
志	tsɿ5	
忘	mɑ̃5	
忙	mɑ̃2	
忠	tɕiɔm1	
憂	iəɯ11=	
快	kʰuɑ5	
念	ȵi5	
忽	xɔʔ18=	
忿	fᴇɲ16=	
懷	uɑ2	
態	tʰɛ13=	
慫	tsɔm13=	
怒	nʊ16=	
怕	pʰɑ13=	
怖	pʊ13=	
憐	liɛ̃12=	
思	sɿ11=	
怠	tɛ16=	
急	tɕiəʔ9	
性	ɕieɲ5	
怨	uei5	
怪	kuɑ5	
總	tsɔm3	
戀	liɛ̃12=	
恐	kʰɔm13=	
恆	xᴇɲ12=	
恕	ɕy13=	
恢	xuei11=	
恤	ɕiəʔ17=	
恨	xᴇɲ5	
恩	ᴇɲ1	
恭	kɔm11=	
息	ɕiəʔ17=	
懇	kʰᴇɲ13=	
恶	ɔʔ9	可～
恶	ɔʔ9	善～
惱	nɤ̞4	
悄	tɕʰiɑ11=	
悉	ɕiəʔ17=	
悔	xuɛ5	
悟	ŋʊ16=	
患	xuæ̃16=	
悅	yəʔ18=	
懸	ɕyɛ̃12=	
憫	mieɲ13=	
悲	pei11=	
情	ɕieɲ2	
驚	kuæ̃1	怕
驚	tɕieɲ1	～险
惑	xuəʔ18=	
惜	ɕiəʔ9	
惟	fi112=	
惠	uei13=	
懼	tɕy16=	
慘	tsʰæ̃11=	
懲	tsʰᴇɲ12=	
慚	tsʰæ̃12=	
慣	kuə5	
惰	tʊ16=	
想	ɕiɑ̃3	
惹	ȵiɑ4	
愁	səɯ2	
愁	tsʰəɯ12=	
愈	y16=	
愉	y12=	
意	ȵi5	只只～：故意
意	i5	
意	i13=	
愚	ȵy12=	
感	kæ̃13=	
憤	fᴇɲ16=	
愧	kʰuei13=	
願	ȵyei5	
慈	sɿ2	
慌	xuɑ̃1	
慎	sᴇɲ16=	
慕	məɯ16=	
慢	mɤ̞5	
慧	uei13=	
慨	kʰæ̃13=	
慰	uei13=	
慷	kʰɑ̃13=	
憎	tsᴇɲ11=	
憨	xæ̃11=	
憾	xæ̃16=	
懂	tɔm3	
懈	ɕiɛ13=	
懊	ɑ13=	
懶	luə4	
懵	mɔm4	
戈	kʊ11=	
戊	ʊ16=	
戌	ɕiəʔ17=	
戍	ɕy13=	
戲	ɕi5	
成	sᴇɲ2	
成	tsʰᴇɲ12=	
我	ɑ4	
戒	kɑ13=	
或	xuəʔ18=	
戰	tsæ̃13=	
戚	tɕʰiəʔ9	
截	tɕiəʔ18=	
戳	tɕʰiɔʔ9	
戴	tɑ5	动词；姓
戶	ʊ16=	
戽	xʊ5	
房	fɑ̃2	
所	sʊ13=	
扁	pi3	
扇	ɕi5	
手	səɯ3	
才	tsʰɛ12=	人～
扎	tɕyə7	捆
扎	tsəʔ17=	挣～
扑	pʰɔʔ9	
打	fæ̃3	
打	tɑ13=	
扔	lᴇɲ11=	
托	tʰɔʔ9	
扛	kɑ̃1	
扣	kʰəɯ5	
執	tsəʔ17=	
擴	kʰuəʔ17=	
掃	sɤ̞5	～地；～帚
揚	iɑ̃12=	
扭	ȵiəɯ1	
扮	pɤ̞5	
擾	lɑ12=	
扳	pɤ̞1	
扶	fʊ12=	
批	pʰi1	
扼	əʔ17=	
找	tsɤ̞3	
承	tsʰᴇɲ12=	
技	tɕi16=	
抄	tsʰɤ̞1	
把	pɤ̞1	抓
把	pɑ3	介词
把	pɤ̞3	～车
把	pəɯ3	量词
抓	tɕyɑ1	～牌
抓	tsɤ̞1	～痒
投	tʰəɯ12=	
抖	təɯ3	
抗	kʰɑ̃13=	
折	ɕi3	～本
折	tɕi7	九～
折	ləʔ9	～扣
折	ɕiəʔ18=	
撫	ʊ11=	
抛	pʰəɯ11=	
摳	kʰəɯ1	
搶	tɕʰiɑ̃3	
護	ʊ16=	
報	pəɯ5	
披	pʰi1	
抬	tʰiɛ2	
抵	ti3	
抹	miɛ3	
押	uə7	
押	iəʔ17=	～金
抽	tsʰəɯ1	
抿	mieɲ4	
擔	tuə5	名词
擔	tæ̃11=	～心
拆	tsəʔ9	
拇	məʔ9	
拈	ȵiɛ̃11=	
拉	nɑ1	尔～：你们
拉	lɑ1	动词
拉	lɑ1	人称代词复数词尾
拌	pʰiɛ4	
拍	pʰɔʔ9	
拎	lieɲ1	
拐	kuɑ3	
拒	tɕy16=	
拓	tʰuə7	～本
拔	pɔʔ18=	
拖	tʰɑ1	
拖	tʰʊ11=	～拉机
拗	ŋɤ̞3	折使断
拘	tɕy1	
拙	tɕʰiɔʔ17=	
拚	fᴇɲ5	～斗：簸其
招	tsɤ̞1	
拜	pɑ5	
擬	ȵi13=	
攏	lɔm4	
揀	tɕiɛ̃13=	
擁	iɔm13=	
攔	luə2	
撥	piɛ7	
擇	tsəʔ8	
擇	tsəʔ18=	
括	kuəʔ17=	
拯	tsʰᴇɲ12=	
拱	kɔm13=	
拳	tɕʰyei2	
拼	pʰieɲ1	
拾	tsʰəʔ8	
拿	nuə1	
持	tsʰɿ12=	
挂	kuə5	
指	tɕy5	动词
指	tsɿ13=	
按	æ̃11=	
挑	tʰɤ̞1	～刺
挖	uə7	
挖	uɑ11=	
挾	tɕi7	～菜
擋	tɑ̃3	
擠	tɕi3	
揮	xuei11=	
挨	ɛ11=	～近
振	tsᴇɲ13=	
挺	tʰieɲ13=	
挽	uæ̃13=	
捅	tʰɔm3	
捆	kʰuᴇɲ3	
捉	tsɔʔ17=	
捋	nəʔ8	
捎	ɕiɑ11=	
捏	ȵiəʔ17=	
捐	tɕyɛ̃11=	
損	sᴇɲ13=	
換	ŋuə5	
捧	pʰɔm3	
捨	ɕyə3	
据	tɕy13=	
捱	ŋɑ2	
捲	tɕyei3	
捷	tɕiəʔ18=	
捺	nəʔ18=	
掀	ɕieɲ11=	
掀	ɕieɲ13=	
掂	tiɛ̃13=	
授	səɯ5	
掉	tʰɤ̞5	
掌	tsɑ̃3	
排	pʰɑ2	
掘	tɕʰiɔʔ17=	
掠	liɑ12=	
探	tʰæ̃13=	
接	tɕi7	
接	tɕiəʔ17=	
控	kʰɔm13=	
推	tʰiɛ1	
掩	iɛ̃13=	
措	tsʰʊ13=	
掭	tʰi5	
描	mɤ̞2	
提	tʰi2	
插	tɕʰyə7	
揖	iəʔ9	
握	ɔʔ9	
揢	kʰuə5	捉
揩	kʰɑ1	
揪	tɕʰiəɯ1	
揭	tɕiəʔ17=	
援	yɛ̃12=	
攬	læ̃13=	
撳	tɕʰieɲ5	按
攙	tɕʰyə1	
擱	kɔʔ9	
攪	tɕɤ̞3	
搏	pɔʔ17=	
搒	pʰæ̃2	拍打
搓	tsʰʊ1	
搜	səɯ1	
搞	kɤ̞3	
搣	mi3	捻
搬	pʰiɛ2	
搭	tuə7	
携	ɕi11=	
搽	tɕʰyə2	
攝	səʔ17=	
摆	pɑ3	
摇	ɤ̞2	
攤	tʰuə1	
摒	pæ̃5	拔
摔	suɛ13=	
摘	ləʔ9	
摩	məɯ11=	
摸	mɔʔ9	
摹	məɯ12=	
摺	tsəʔ17=	
撇	pʰi7	
撑	læ̃1	
撒	suə7	
撕	tsʰɿ1	
撞	tɕʰyɑ̃5	
撤	tsʰəʔ17=	
撩	lɤ̞2	捞
撮	tsəʔ9	
攆	ȵiɛ̃16=	
擀	kæ̃13=	
操	tsʰɤ̞1	
擎	tɕieɲ13=	
擒	tɕʰieɲ12=	
擦	tɕʰyə7	
攀	pæ̃11=	
支	tsɿ1	
收	səɯ1	
改	kiᴇ3	
改	kɛ13=	劳～
攻	kɔm1	
放	fɑ̃5	
政	tsᴇɲ5	
故	kʊ5	
效	ɕiɑ16=	
敵	tʰiəʔ18=	
敏	mieɲ13=	
救	tɕiəɯ5	
教	kɤ̞5	～书；～育
敝	pi13=	
敢	kiᴇ3	
散	suə3	鞋带～
散	suə5	～会
敦	tᴇɲ11=	
敬	tɕieɲ13=	
數	ɕy3	动词
數	sʊ5	名词
整	tsᴇɲ3	
敷	fʊ2	
文	uᴇɲ2	
斋	tsɑ1	
斑	pɤ̞1	
斗	təɯ3	名词
料	lɤ̞5	
斜	tɕʰiᴇ12=	
斤	tɕieɲ1	
斥	tsəʔ9	
斧	fʊ3	
斬	tsæ̃13=	
斷	tʰᴇɲ4	剪～
斷	tuæ̃16=	决～
斯	sɿ11=	
新	ɕieɲ1	
方	fɑ̃1	
施	sɿ1	
旁	pʰɑ̃12=	
旅	luei13=	
旋	ɕi5	为上的
旋	tɕʰiɛ̃12=	
族	tsɔʔ18=	
旗	tɕʰi2	
无	m̩2	
无	ʊ12=	
既	tɕi13=	
日	ȵiəʔ8	前～
日	ləʔ18=	～本
旦	tuə5	
旦	tæ̃13=	元～
舊	tɕʰiəɯ5	
旨	tsɿ3	
早	tsɤ̞3	
旬	ɕieɲ12=	
旱	xæ̃16=	
時	sɿ2	
曠	kʰuɑ̃13=	
旺	uɑ̃5	火～
旺	uɑ̃16=	兴～
昂	ŋɑ̃2	
昆	kʰuᴇɲ11=	～明，～仑
昌	tsʰɑ̃1	
明	mᴇɲ2	～朝：明天
明	mieɲ2	清～
昏	xuᴇɲ1	
易	i13=	容～
易	iəʔ18=	贸～
昔	ɕiəʔ17=	
星	ɕieɲ1	
映	ieɲ13=	
春	tɕʰyɛ̃1	
春	ɕyɑ̃1	
昧	məʔ18=	
昨	tsɔʔ18=	
昭	tsɑ11=	
是	tsɿ4	
是	sɿ16=	
晝	tsəɯ13=	
顯	ɕiɛ̃13=	
晃	xuɑ̃11=	
晉	tɕieɲ13=	
晌	ɕiɑ̃13=	
晏	iɛ̃13=	
曬	ɕyə5	
曉	ɕɤ̞3	
暈	yɛ̃5	
晚	mɤ̞4	～娘
晚	uæ̃13=	
晦	xuɛ5	
晨	sᴇɲ12=	
普	pʰʊ13=	
景	tɕieɲ2	光～
景	tɕieɲ3	时～：时间
景	tɕieɲ13=	
晴	ɕieɲ2	
晶	tɕieɲ1	
智	tsɿ5	
晾	lɑ̃5	
暫	tsæ̃16=	
暇	ɕiɑ16=	
暑	ɕy13=	
暖	niɛ4	
暗	iᴇ5	
暮	məɯ16=	
暴	pəɯ5	
曆	li7	官～：历书
曆	liəʔ8	阴～
曆	liəʔ18=	农～
曰	yəʔ18=	
曲	tɕʰiɔʔ17=	
更	tsʰæ̃1	五～
更	kᴇɲ5	～加
曹	tsʰɤ̞2	
曾	tsᴇɲ1	姓
曾	sᴇɲ2	勿～：未
曾	tsᴇɲ11=	～经
替	tʰi5	
月	ȵyei3	一个～
月	ȵyəʔ8	～亮
有	iəɯ4	
朋	pʰᴇɲ12=	
服	fɔʔ8	
朔	sɔʔ17=	
朗	lɑ̃16=	
望	mɑ̃5	指～
望	uɑ̃16=	希～
朝	tsɤ̞1	今～
朝	tsʰɤ̞2	～南
期	tɕʰi2	
木	mɔʔ8	
未	uei16=	
末	məʔ18=	
本	pᴇɲ3	
朱	tɕy1	
朴	pʰɔʔ17=	
朵	tʊ3	
機	tɕi1	
朽	ɕiəɯ13=	
殺	ɕyə7	
雜	tsəʔ18=	
權	tɕʰyei2	
權	tɕʰyɛ̃12=	
杆	kæ̃13=	
杈	tɕʰyə1	
杉	ɕyə1	
李	li4	
杏	kʰæ̃4	
材	ɕiɛ2	
村	tsʰᴇɲ1	
杖	tsʰɑ̃4	
杜	tʊ16=	
杞	tɕi16=	
束	sɔʔ17=	
杠	kɑ̃5	
條	tʰɤ̞2	
來	liɛ2	
楊	iɑ̃2	
杭	xɑ̃12=	
杯	piɛ1	
杰	tɕiəʔ18=	
杷	pʰɤ̞2	
松	sɔm2	～树
板	pɤ̞3	
極	tɕiəʔ18=	
構	kəɯ5	
枇	pʰi12=	
枉	uɑ̃13=	
析	ɕiəʔ9	
枕	tsᴇɲ3	～头
林	lieɲ2	
枚	miɛ7	量词
果	kʊ3	
枝	tsɿ1	
樞	tɕʰy11=	
棗	tsɤ̞3	
槍	tɕʰiɑ̃1	
楓	fɔm1	
枯	kʊ11=	
架	kuə5	
柄	pæ̃5	
柄	pieɲ5	
柏	pəʔ9	
某	məɯ13=	
柑	kiᴇ1	
染	ȵi4	
柔	tsʰəɯ12=	
櫃	kʰuei5	
查	tɕʰyə2	
查	tsʰɑ12=	
柩	tɕʰiəɯ5	
柬	tɕiɛ̃13=	
柱	tɕʰy4	
柱	tɕy16=	
柳	liəɯ4	
柴	sɑ5	
柴	tsʰɛ12=	
柿	sɿ4	
柵	tsʰəʔ9	
標	pɤ̞1	目～
標	pɤ̞3	梢
棧	tsæ̃16=	
棟	tɔm5	
欄	luə2	
樹	ɕy5	
栖	ɕi11=	
栗	liəʔ8	
校	kɤ̞5	～表
校	tɕiɑ13=	上～
校	ɕiɑ16=	学～
株	tɕyɑ1	茬儿
株	tɕy11=	
樣	iɑ̃5	
核	uəʔ8	桃～
核	xəʔ18=	～对
根	kᴇɲ1	
格	səʔ9	
栽	tsɛ11=	
桁	kʰæ̃2	
桂	kuei5	
桂	kuei13=	
桃	tʰɤ̞2	
桅	uei2	
案	iᴇ5	
桌	tɕiɔʔ9	
桐	tʰɔm12=	
桑	sɑ̃1	
桑	tieɲ5	
桓	xuæ̃12=	
椏	ʊ1	
檔	tɑ̃5	
橋	tɕʰɤ̞2	
樺	xuɑ12=	
檜	kuei13=	
槳	tɕiɑ̃3	
樁	tɕyɑ̃1	
桶	tʰɔm4	
梁	liɑ̃2	
梅	miɛ2	
梓	tsɿ11=	
梗	kuæ̃3	
梢	ɕiɑ11=	
夢	mɔm5	
梧	ʊ2	
梨	li2	
梭	sʊ1	
梯	tʰiɛ1	
械	ɕiɛ16=	
梳	sɿ1	
檢	tɕiɛ̃13=	
棉	mi2	
棋	tɕʰi2	
棍	kuᴇɲ3	
棒	pʰɑ̃4	
棒	pɑ̃16=	
棕	tsɔm1	
棚	pʰɔm2	
棠	tʰɑ̃12=	
森	sᴇɲ11=	
棵	kʰʊ11=	
棺	kuə1	
椅	i3	
植	tsəʔ18=	
椒	tɕɤ̞1	
橢	tʰʊ5	
椽	tɕʰyei2	
椿	tɕʰyɛ̃12=	
楂	tɕyə1	
楚	tsʰʊ3	
楝	li5	
楦	ɕyei5	
楷	tɕʰiɛ11=	
楸	tɕʰiəɯ1	
樓	ləɯ2	
概	kɛ13=	
欖	læ̃13=	
榆	y12=	
榔	lɑ̃2	
榜	pɑ̃3	
榧	fi3	
榨	tɕyə5	
榫	ɕieɲ3	
榴	liəɯ2	
槌	tɕʰyei2	
槐	xuɛ12=	
檳	pieɲ11=	
槽	sɤ̞2	
樟	tsɑ̃1	
模	məɯ12=	～范
橫	uæ̃2	～直
橫	uæ̃2	蛮～
櫻	ieɲ1	
樵	tɕiɑ11=	
橄	kæ̃13=	
橘	tɕyəʔ9	
橙	tsʰᴇɲ12=	
橝	tʰæ̃12=	
橡	ɕiɑ̃16=	
檐	i2	
櫼	tsᴇɲ1	揳
欠	tɕʰi5	
次	tsʰɿ13=	
歡	xuə1	
欣	ɕieɲ11=	
歐	əɯ11=	
欲	y16=	
欺	tɕʰi1	
款	kʰuə3	
歇	ɕi7	
歉	tɕʰiɛ̃13=	
歌	kʊ1	
止	tsɿ3	
正	tsᴇɲ1	～月
正	tsᴇɲ5	～副
此	tsʰɿ13=	
步	pʰʊ5	
步	pʊ16=	
武	ʊ3	
歪	xuɛ11=	
歷	liəʔ18=	～来
死	sɿ3	
殲	tɕʰiɛ̃11=	
殃	iɑ̃11=	
殉	ɕyɛ̃13=	
殊	tɕy1	
殊	tɕy16=	
殘	tsʰæ̃12=	
殖	tsəʔ18=	
殯	pieɲ5	
毆	əɯ11=	
段	tuæ̃16=	
殷	ieɲ1	
殿	tʰi5	
毁	xuei3	
毅	ȵi16=	
母	m̩7	
母	məɯ13=	
每	miɛ4	
毒	tʰɔʔ8	
比	pi3	
畢	piəʔ9	
斃	pi3	
毛	məɯ2	
毡	tsæ̃13=	
毫	xɤ̞7	一～
毯	tʰuə3	
氏	sɿ16=	
民	mieɲ2	
气	tɕʰi5	
水	ɕyei3	
永	yɛ̃13=	
氽	tʰiɛ1	漂流
汁	ləʔ9	
求	tɕʰiəɯ2	
漢	ɕiᴇ5	好～
漢	xæ̃13=	～族
汗	ɕiᴇ5	
汝	y13=	
汞	kɔm13=	
江	kɑ̃1	
江	kɑ̃11=	
江	tɕiɑ̃11=	
池	tsʰɿ2	
污	ʊ11=	
湯	tʰɑ̃1	
汪	uɑ̃11=	
汴	piɛ̃16=	
汽	tɕʰi5	
沂	i12=	
沃	ɑ13=	
沈	sᴇɲ13=	
沉	tsʰᴇɲ2	
沙	ɕyə1	
沛	pʰei13=	
溝	kəɯ1	
沒	mɑ5	无～：没有
沒	məʔ18=	
淪	lᴇɲ12=	
滬	ʊ16=	
沫	məʔ18=	
河	xʊ2	
油	iəɯ2	
治	tsʰɿ5	
沼	tsɑ11=	
沾	tsæ̃11=	
沿	iɛ̃12=	
泄	ɕi7	
泉	tɕʰiɛ̃12=	
泊	pʰəʔ9	
泌	mi13=	
泔	kiᴇ1	
法	fɤ̞7	
法	fəʔ17=	
泛	fæ̃13=	
泡	pʰəɯ1	形容词
泡	pʰəɯ5	动词
波	pəɯ1	
泣	tɕʰiəʔ17=	
泥	ȵi2	
注	tɕy5	
淚	li5	
泰	tʰɛ13=	
泳	yɛ̃13=	
瀉	ɕiᴇ13=	
潑	pʰiɛ7	
澤	tsəʔ18=	
潔	tɕiəʔ17=	
洋	iɑ̃2	
洒	sɑ3	
洗	ɕi3	
洛	lɔʔ18=	
洞	tʰɔm5	
津	tɕieɲ11=	
洪	ɔm2	
洲	tsəɯ1	
活	uə3	
活	uəʔ18=	
洼	uɑ11=	
洽	ɕiəʔ18=	
派	pʰɑ5	
流	liəɯ2	
淺	tɕʰi3	
漿	tɕiɑ̃1	
澆	tɕɤ̞1	
濁	tɕiɔʔ18=	
測	tsəʔ9	
濟	tɕi13=	
渾	uᴇɲ2	
滸	xʊ13=	
濃	iɔm2	
浙	ləʔ9	
浜	pɑ̃11=	
浦	pʰʊ13=	
浩	xɑ16=	
浪	lɑ̃5	
浮	fʊ2	
浴	iɔʔ8	
海	xiᴇ3	
浸	tɕieɲ5	
涂	tʰʊ2	
消	ɕɤ̞1	
消	ɕiɑ11=	
涉	tsəʔ18=	
涌	iɔm4	
涕	tʰi5	
濤	tʰɑ11=	
澇	lɑ12=	
潤	lᴇɲ16=	
澗	tɕiɛ̃11=	
漲	tsɑ̃3	
澀	tsʰəʔ9	
涯	iɑ12=	
液	iəʔ18=	
涴	ʊ5	屎
淆	iɑ13=	
淋	lieɲ2	
淑	ɕiɔʔ17=	
淘	tʰɤ̞2	
淡	tʰuə4	
淤	y11=	
淫	ieɲ12=	
淮	xuɛ12=	
深	sᴇɲ1	
深	sᴇɲ11=	
混	uᴇɲ4	
淹	iɛ̃13=	
添	tʰi1	
清	tɕʰieɲ1	
淵	yɛ̃11=	
漸	tɕiɛ̃16=	
漁	ȵy2	
滲	sᴇɲ5	
渠	kəɯ2	他
渠	tɕʰy12=	～道
渡	tʰʊ5	
渡	tʊ16=	
渣	tɕyə1	
溫	uᴇɲ1	
港	kɑ̃3	
渴	kʰəʔ17=	
游	iəɯ2	
渺	miɑ13=	
湘	ɕiɑ̃1	
灣	ŋuə1	
溼	səʔ17=	
潰	kuei16=	
溉	kɛ13=	
源	ȵyei2	
準	tɕyɛ̃3	
準	tɕyɛ̃13=	～备
溜	liəɯ5	
溪	tɕʰi1	
滂	pʰɑ̃12=	
滋	tsʰɿ12=	
滑	xuəʔ18=	
滔	tʰɑ11=	
滗	piəʔ9	
滾	kuᴇɲ3	
滯	tsɿ13=	
滿	miɛ4	
濾	li5	
濫	luə5	
灘	tʰuə1	
滴	tiəʔ9	
漂	pʰɤ̞3	～白
漂	pʰɤ̞5	～亮
漆	tɕʰiəʔ9	
漏	ləɯ5	
演	iɛ̃13=	
漫	mæ̃16=	
漱	sʊ5	
潘	pʰæ̃11=	
潛	tɕʰiɛ̃12=	
潭	tʰiɛ2	
潮	tsʰɤ̞2	
潼	tʰɔm2	
潽	pʰʊ1	沸
澄	tsʰᴇɲ12=	
澡	tsɑ13=	
澳	ɑ13=	
激	tɕiəʔ17=	
瀑	pɑ16=	
灌	kuæ̃13=	
火	xʊ3	
滅	mi3	
燈	tᴇɲ1	
灰	xuɛ1	
灰	xuei11=	
靈	lieɲ2	
竈	tsɤ̞5	
灸	tɕiəɯ5	
災	tɕiɛ1	
燦	tsʰɛ13=	
爐	lʊ2	
炊	tɕʰyei1	
炎	iɛ̃12=	
炒	tsʰɤ̞3	
炕	kʰɑ̃11=	
炭	tʰuə5	
炮	pʰəɯ5	
炸	tsɑ13=	～弹
點	ti3	
爛	luə5	
烈	liəʔ18=	
烊	iɑ̃2	
烘	xɔm1	
烙	lɔʔ18=	
燭	tɕiɔʔ9	
烟	i1	
烤	kʰɤ̞3	
煩	fɤ̞2	
燒	sɤ̞1	
燙	tʰɑ̃5	
熱	ȵi3	
