#漢字	音標	解釋
尿	ȵiaɔ1	
局	tɕyɔʔ8	
屁	pʰɿ5	
居	tsʮ1	
屆	tɕiᴀ5	
屈	tɕʰyɔʔ7	
屋	ɔʔ7	
屍	sɿ1	
屍	sɿ1	屍體
屎	sɿ3	
屛	piɪŋ2	圍屏
屑	ɕiɛʔ7	不屑
屑	ɕiɛʔ7	木屑
展	tɕi3	白讀
展	tsᴀ1	文讀
屜	tsɿ1	
屠	tɘu2	
屢	lʮ6	
層	sɘŋ2	
履	lʮ5	
屬	sɔʔ8	
屯	tɘŋ6	
山	sᴀ1	
岐	tɕɿ2	
岑	tsɘŋ2	
岔	tsʰʊ5	三岔路
岡	kɑŋ1	
巖	ȵi6	
岸	ʏ5	
峯	foŋ1	
島	taɔ3	
峽	ɕiᴀʔ7	
崇	tsoŋ2	
崑	kʰuɘŋ1	~崙
崔	tɕʰyɘi1	
崖	iᴀ2	山崖
崗	kɑŋ1	
崩	pɘŋ1	
嵌	kʰᴀ5	
嵩	soŋ1	
嶺	liɪŋ2	
嶽	ŋɔʔ8	五嶽
嶽	yɔʔ8	岳父
川	tɕʰʏ1	
州	tsɘi1	
巡	ɕyɲ2	
巢	saɔ2	
工	koŋ1	
左	tsɘu1	
左	tɕɿ1	
巧	tɕʰiaɔ3	
巨	tsʮ3	
巫	u1	
差	tsʰʊ1	差不多，差別
差	tsʰᴀ1	出差
差	tsʰɿ1	參差
已	ɿ5	
巳	sɿ6	
巴	pʊ1	
巷	xɑŋ2	
巾	tɕiɪŋ1	
市	sɿ2	
布	pu5	
帆	fᴀ1	
希	ɕɿ3	
帕	pʰᴀ5	
帖	tʰiɛʔ7	碑帖,請帖
帚	tsɘi3	
帝	tɿ3	
帥	ɕyai5	
師	sɿ1	
席	ɕiɛʔ8	席子
席	ɕiɛʔ8	
帳	tsɑŋ5	
帶	tᴀ5	
常	tsɑŋ2	
帽	maɔ5	
幅	fɔʔ7	
幔	mʏ1	
