#漢字	音標	解釋
#簡稱	/	沁源
#全稱	/	沁源話
#聲母	/	
#韻母	/	
#聲調	/	324 1 1a 陰平 ꜀,33 2 1b 陽平 ꜁,,,53 5 3 去 ꜄,,31 7 4 入 ꜆
#版本	/	2022-03-07
#錄入人	/	鶩高赭紗匕
#參考資料	/	《山西沁源方言語音研究》
#說明	/	
揀	tɕiã1	
擁	ˀyə̃1	
攔	lã2	
撥	pʌʔ7	
擇	tsʌʔ7	
括	khuʌʔ7	包～
拯	tʂə̃1	～救
拱	kuə̃1	
拳	tɕhyã2	
拽	tʂuɛe5	
拾	ʂəʔ7	
拿	nɑ2	
持	tshɿ2	
指	tsɿ1	
按	ŋã5	
挑	thiɔo1	
挖	vɑ1	
挾	tɕiʌʔ7	
撓	nɔo2	
擋	tʌ̃1	阻～
擠	tɕi1	
揮	xuei1	
挨	ŋɛe1	
挪	nɨᴇ2	
振	tʂə̃5	
挽	vã1	
捅	thuə̃1	～破了
捆	khuə̃1	
捉	tʂuəʔ7	
捋	ly1	
捎	sɔo1	～带
捏	niəʔ7	
捐	tɕyã1	
捕	pi1	
撈	lɔo1	
損	suə̃1	
撿	tɕiã1	～菜
換	xuã5	
捧	phə̃1	
捨	ʂɨᴇ5	
据	tɕy5	
捱	nɛe2	～打，长辈打晚辈
捱	ŋɛe2	～打，被别人打
捷	tɕiəʔ7	
捺	nʌʔ7	撇～
捻	ȵiã1	
掀	ɕyã1	
掂	tiã1	～掇
掇	tuʌʔ7	掂～
授	ʂei5	
掉	tiɔo5	
掌	tʂʌ̃1	
掏	thɔo1	～出来
掐	tɕhiʌʔ7	
排	phɛe2	
掘	tɕyəʔ7	
掠	liəʔ7	
採	tshɛe1	
探	thã5	试～
接	tɕiəʔ7	
控	khuə̃5	
推	thuei1	
掩	ˀiã1	
措	tshuə5	～置
掫	tsei1	
掬	tɕyəʔ7	
撣	tɔo1	鸡毛～子
揉	ʐei2	
描	miɔo2	
提	thi2	
插	tshʌʔ7	
揖	ˀiəʔ7	作～
揞	ŋã1	～大口
揞	ŋã5	～小口
握	vʌʔ7	
揢	tɕhiɑ1	
揣	tʂhuɛe1	～度
揪	tɕiəu1	～住
揭	tɕiəʔ7	
援	ˀyã2	
攬	lã1	
攙	tshã1	
摟	lei1	
攪	tɕiɔo1	
搊	tsei1	
搓	tshɨᴇ1	
搜	sei1	
搡	sʌ̃1	
搬	pã1	
搭	tʌʔ7	
携	ɕie2	
搽	tshɑ2	
攝	ʂəʔ7	
摆	pɛe1	
摇	ˀiɔo2	
攤	thã1	
摘	tsʌʔ7	
摞	luə5	～起来
摩	mɨᴇ2	
摸	məʔ7	
撇	phie1	～开，～捺
撑	tʂhə̃1	
撒	sɑ1	
撕	sɿ1	
撞	tsuə5	
撤	tʂhʌʔ7	
撩	liɔo2	～起来
撮	tshuəʔ7	一～米
撰	tʂuã5	
攆	ȵiã1	
撼	xã5	
擀	kã1	～面
操	tshɔo1	～作
擎	tɕhiə̃2	
擒	tɕhiə̃2	
擩	ʐi1	～进去
攀	phã1	
攢	tsã1	
支	tsɿ1	
收	ʂei1	
改	kɛe1	
攻	kuə̃1	～击
放	fuə5	
政	tʂə̃5	
故	ki5	
效	ɕiɔo5	
敵	tiəʔ7	
救	tɕiəu5	
教	tɕiɔo1	～书
教	tɕiɔo5	～育
敝	pi5	
敞	tʂhʌ̃1	
敢	kã1	
散	sã1	鞋带～了
散	sã5	分～
敦	tuə̃1	～厚
敬	tɕiə̃5	
數	sei1	动词
數	sei5	名词
敲	tɕhiɔo1	
整	tʂə̃1	
敷	fi1	
文	və̃2	
斋	tsɛe1	
斑	pã1	
斗	tei5	
料	liɔo5	
斛	xi2	
斜	ɕie2	
斟	tʂə̃1	
斤	tɕiə̃1	
斧	fi1	
斬	tsã1	
斷	tuã5	～绝
斯	sɿ1	
新	ɕiə̃1	
方	fuə1	
於	ˀy2	～此
施	sɿ1	
旁	phuə2	
旅	luei1	
旋	ɕyã2	
旋	ɕyã5	～吃～做
族	tsuəʔ7	
旗	tɕhi2	
无	ˀi2	
既	tɕi5	
日	ʐʌʔ7	
旦	tã5	
舊	tɕiəu5	
旨	tsɿ1	
早	tsɔo1	
旬	ɕyə̃2	
旮	kəʔ7	～旯,比胡同窄且短的巷子
旱	xã5	
時	sɿ2	
曠	khuə5	
旺	ˀuə5	
昂	ŋʌ̃2	
昆	khuə̃1	
昌	tʂhʌ̃1	
明	tʂɔo5	
昏	xuə̃1	
易	ˀi5	
昔	ɕiəʔ7	
星	ɕi1-	～宿
星	ɕiə̃1=	～座
映	ˀiə̃5	
春	tʂhuə̃1	
昧	mei5	
昨	tsuʌʔ7	
昭	tʂɔo1	
是	sɿ5	
晝	tʂei5	
顯	ɕiã1	
晃	xuə5	
晉	tɕiə̃5	
晌	ʂʌ̃1	～午
晏	ˀiã5	
曬	sɛe5	
曉	ɕiɔo1	
晚	vã1	
晨	tʂhə̃2	
普	phi1	
景	tɕiə̃1	
晴	tɕhiə̃2	
晶	tɕiə̃1	
智	tʂʅ5	
暫	tsã5	
暇	ɕiɑ2	
暑	ʂi1	
暖	nuã1	
暗	ŋã5	
暮	mi5	
暴	pɔo5	
曰	ˀyəʔ7	
曲	tɕhyəʔ7	酒～、歌～
更	kə̃1	～换
更	kə̃5	～加
曹	tshɔo2	
曾	tsə̃1	姓
曾	tshə̃2	～经
替	thi5	
最	tsuei5	
月	ˀyəʔ7	
有	ˀiəu1	
朋	phə̃2	
服	fəʔ7	
朔	ʂuəʔ7	
朗	lʌ̃1	
望	ˀuə5	
朝	tʂɔo1	今～
朝	tʂhɔo2	～代
期	tɕhi1	
木	mʌʔ7	～头
未	vei5	
末	mʌʔ7	
本	pə̃1	
术	ʂuəʔ7	
术	tʂuəʔ7~	
朱	tʂi1	
朴	phʌʔ7	
朵	tuə1	
機	tɕi1	
朽	ɕiəu1	
殺	sʌʔ7	
雜	tsʌʔ7	
權	tɕhyã2	
杆	kã1	稻～
杈	tshɑ5	枝～
杉	sã1	
李	li1	
杏	ɕiə̃5	
材	kuã1	
材	tshɛe2	
村	tshuə̃1	
杜	ti5	
杞	tɕhi1	
束	ʂuʌʔ7	
杠	kʌ̃5	
條	thiɔo2	
來	lɛe2	
楊	ˀiʌ̃2	
杭	xʌ̃2	
杯	pei1	
杰	tɕiəʔ7	
杳	ˀiɔo1	～无音信
杵	tʂhi1	
松	suə̃1	
板	pã1	
極	tɕiəʔ7	
構	kiəu5	
枇	pi2	～杷
枉	ˀuə1	
析	ɕiəʔ7	
枕	tʂə̃1	
林	liə̃2	
枚	mei2	
果	kuə1	
枝	tsɿ1	
樞	ʂi1	
棗	tsɔo1	
槍	tɕhiʌ̃1	
楓	fə̃1	
枯	khi1	
架	tɕiɑ5	
柄	piə̃1	
柄	pɑ5	
柏	piəʔ7	
某	mi1	
柑	kã1	
染	ʐã1	
柚	ˀiəu5	
櫃	kuei5	
查	tshɑ2	
柩	tɕiəu5	
柬	tɕiã5	
柱	tʂi5	
柳	li1-	～树
柳	liəu1=	～树
柴	sɛe2	
柿	sɿ5	
梔	tsɿ1	
柵	tsɑ5	～栏
標	piɔo1	
棧	tsã5	
棟	tuə̃5	
欄	lã2	
樹	ʂi5	
栓	ʂuã1	
栖	tɕhi1	
栗	li5	
校	ɕiɔo5	～对
校	ɕiɔo5	学～
株	tʂi1	
樣	ˀiʌ̃5	
核	xɛe2	审～
核	xuʌʔ7	果～
根	kə̃1	
格	kʌʔ7	
栽	tsɛe1	
桂	kuei5	
桃	thɔo2	
桅	vei1	～杆
案	ŋã5	
桌	tʂuəʔ7	
桐	thuə̃2	
桑	sʌ̃1	
桓	xuã2	
椏	ˀiɑ1	枝～
橋	tɕhiɔo2	
樺	xuɑ5	
檜	xuei5	
槳	tɕiʌ̃1	
梁	liʌ̃2	
梅	mei2	
梓	tsɿ1	
梢	sɔo1	
夢	mə̃5	
梧	ˀi2	～桐
梨	li2	
梭	suə1	织布～
梯	thi1	
械	tɕie5	机～
梳	sei1	
檢	tɕiã1	
棉	miã2	
棋	tɕhi2	
棍	kuə̃5	
棒	puə5	
棚	phə̃2	
森	sə̃1	
棵	khuə1	
棺	kuã1	
植	tʂəʔ7	
椒	tɕiɔo1	
橢	thuə1	
椴	tuã5	
椿	tʂhuə̃1	～树
楂	tsɑ1	山～
楚	tshei1	
楞	lə̃1	
楣	mi2	
楦	ɕyã1	鞋～
楷	khɛe1	
樓	lei2	
概	kɛe5	
欖	lã1	
榆	ʐi2	～树
榆	ˀy2	
榛	tʂə̃1	
榜	puə1	
榴	liəu2	石～
檳	piə̃1	～榔
槽	tshɔo2	马～
樟	tʂʌ̃1	
模	mi2	～子，～范
橫	xə̃5	蛮～
櫻	ˀiə̃1	～桃
樵	tɕhiɔo2	
橄	lã1	～缆
橄	kã1	～榄
橘	tɕyəʔ7	
橙	tʂhə̃2	～子
橛	tɕyəʔ7	～子
橡	ɕiʌ̃5	
櫓	lei1	
檀	thã2	
檐	ˀiã2	
檁	liə̃1	
櫂	tsɔo5	
欠	tɕhiã5	
次	tshɿ5	
歡	xuã1	
欣	ɕiə̃1	
歐	ŋiəu1	
欲	ˀy5	
欺	tɕhi1	
款	khuã1	
歇	ɕiəʔ7	
歉	tɕhiã5	
歌	kɨᴇ1	
止	tsɿ1	
正	tʂʅ1-	～月
正	tʂʅ5-	～反
正	tʂə̃5=	～直
此	tshɿ1	
步	pi5	
武	ˀi1	
歪	vɛe1	
死	sɿ1	
殲	tɕiã1	～灭
殃	ˀiʌ̃1	
殆	tɛe5	
殉	ɕyə̃5	
殘	tshã2	
殖	tʂəʔ7	
殯	piə̃5	
毆	ŋiəu1	
段	tuã5	
殷	ˀiə̃1	
殿	tiã5	
毁	xuei1	
毅	ˀi5	
母	mi1	
毒	tuəʔ7	
比	pi1	
畢	piəʔ7	
斃	pi5	
毛	mɔo2	
毡	tʂã1	毛～
毫	xɔo2	
毯	thã1	
毽	tɕiã5	～子
氏	sɿ5	
气	tɕhi5	
水	ʂi1	
永	ˀyə̃1	
汁	tʂəʔ7	
汇	xuei5	
漢	xã5	
汗	xã5	
汝	ʐi1	
汞	kuə̃1	
江	tɕiʌ̃1	
池	tʂhʅ2	
污	ˀi1	
湯	thʌ̃1	
汪	ˀuə1	
汴	piã5	
汽	tɕhi5	
沂	ˀi2	～河
沃	ŋʌʔ7	
沈	ʂə̃1	
沉	tʂhə̃2	
沌	tuə̃5	
沓	thʌʔ7	一～纸
沙	sɑ1	
沛	phei5	
溝	kiəu1	
沒	məʔ7	
漚	ŋiəu5	～在水中
滬	xi5	
沫	mʌʔ7	
河	xɨᴇ2	
油	ˀiəu2	
治	tʂʅ5	
沾	tʂã1	
沿	ˀiã2	
泄	ɕie5	
泉	tɕhyã2	
泊	phiəʔ7	梁山～
泌	mi5	
泔	kã1	～水
法	fʌʔ7	
泛	fã5	
泡	phɔo5	
波	pɨᴇ1	
泣	tɕhiəʔ7	
泥	ȵi2	
注	sei1	
注	tʂi5	
淚	luei5	
泰	thɛe5	
泳	ˀyə̃1	
瀉	ɕie5	
潑	phʌʔ7	
澤	tsʌʔ7	
洇	ˀiə̃5	
洋	ˀiʌ̃2	
洒	sɑ1	
洗	ɕi1	
洛	tʌʔ7	
洞	tuə̃5	
津	tɕiə̃1	
洪	xuə̃2	
洲	tʂei1	
活	xuʌʔ7	
洼	ˀuɑ1	
洽	tɕhiɑ5	
派	phɛe5	
流	liəu2	
淺	tɕhiã1	
漿	tɕiʌ̃1	
澆	tɕiɔo1	
濁	tʂuəʔ7	
測	tshʌʔ7	
濟	tɕi5	
渾	xuə̃2	～浊
滸	xi1	水～
濃	nə̃2	
浙	tʂʌʔ7	
浦	phi1	
浩	xɔo5	
浪	lʌ̃5	
浮	fi2	
浴	ˀy5	
海	xɛe1	
浸	tɕiə̃5	
消	ɕiɔo1	
涉	ʂəʔ7	
涌	ˀyə̃1	
涎	ɕiã2	
涕	thi5	鼻～
濤	thɔo1	～声
澇	lɔo5	旱～
澗	tɕiã5	
澀	sʌʔ7	
涮	ʂuã5	洗～
涯	ˀiɑ2	
液	ˀie5	
淆	ȵiɔo2	
淋	liə̃2	
淑	ʂi1	
淘	thɔo2	
淡	tã5	
淤	ˀy1	
淫	ˀiə̃2	
深	ʂə̃1	
混	xuə̃5	相～
淹	ˀiã1	
添	thiã1	
淵	ˀyã1	
漸	tɕiã5	
澠	miã1	～池
漁	ˀy2	
滲	ʂə̃5	
渠	tɕhy2	
渡	ti5	
溫	və̃1	
港	kʌ̃1	～口
渴	khʌʔ7	
游	ˀiəu2	
湖	xi2	
湘	ɕiʌ̃1	
灣	vã1	
溼	ʂəʔ7	
潰	khuei5	
濺	tɕiã5	～水
溉	kɛe5	
源	ˀyã2	
溜	liəu5	
溪	ɕi1	
溺	niəʔ7	～死
滂	phuə2	
滋	tsɿ1	
滓	tsɿ1	
滔	thɔo1	
滾	kuə̃1	
滯	tʂʅ5	
滿	mã1	
濾	luei5	
濫	lã5	
灘	thã1	
滴	tiəʔ7	
漂	phiɔo5	～亮
漆	tɕhiəʔ7	
漏	lei5	
演	ˀiã1	
漤	lã5	～柿子
潛	tɕhiã1	
潭	thã2	
潮	tʂhɔo2	
潲	sɔo5	～食
潲	sɔo5	～雨
澄	tʂhə̃2	
澄	tə̃5	水浑，～一～：使液体里的杂质沉淀，
澡	tsɔo1	
激	tɕiəʔ7	
瀑	phʌʔ7	～布
灌	kuã5	
火	xuə1	
滅	miəʔ7	
燈	tə̃1	
灰	xuei1	
靈	liə̃2	
竈	tsɔo5	
灸	tɕiəu1	针～
災	tsɛe1	
燦	tshã5	
炎	ˀiã5	
炒	tshɔo1	
炕	khʌ̃5	
炙	tʂəʔ7	
炭	thã5	
炮	phɔo5	
炸	tsɑ5	
炸	tsʌʔ7	
點	tiã1	
爛	lã5	
烈	liəʔ7	
烘	xuə̃1	～干
烙	lɔo5	
燭	tʂuəʔ7	
烟	ˀiã1	
烤	khɔo1	
煩	fã2	
燒	ʂɔo1	
燙	thʌ̃5	
熱	ʐʌʔ7	
烹	phə̃1	
焉	ˀiã1	
焊	xã5	
煥	xuã5	
焙	pei5	烘～
焚	fə̃2	
焦	tɕiɔo1	
焯	tsɔo5	水～一下
焰	ˀiã5	
然	ʐã2	
煎	tɕiã1	
煕	ɕi1	
煤	mei2	
照	tʂɔo5	
煨	ˀuei5	
煮	tʂi1	
熄	ɕiəʔ7	
熊	ɕyə̃2	
熏	ɕyə̃1	
熟	ʂuəʔ7	
熥	thə̃1	～包子
熨	ˀyə̃5	
熬	ŋɔo1	～白菜
熬	ŋɔo2	
燃	ʐã2	
燎	liɔo1	火～眉毛
燐	liə̃2	
燕	ˀiã1	姓，燕～
燕	ˀiã5	
爆	pɔo5	
爪	tsuɑ1	～子
爬	phɑ2	
愛	ŋɛe5	
爵	tɕyʌʔ7	
父	fi5	
爺	ˀie2	
爸	pɑ5	
爹	tie1	
爽	ʂuə1	
片	phiã5	
版	pã1	
牌	phɛe2	
牌	phɛe2	～～：小孩儿吃饭时穿的衣服
牙	ȵiɑ2	
牛	ȵiəu2	
牡	mi1	
牢	lɔo2	
牤	muə2	牛～
牧	mi5	
物	vʌʔ7	
牲	ʂə̃1	
牽	tɕhiã1	
牸	tsɿ5	～牛
特	thəʔ7	
犀	ɕi1	
犁	li2	
犢	tuəʔ7	～子
犍	tɕiã5	
犒	khɔo5	
犬	tɕhyã1	
犯	fã5	
狀	tʂuə2	
猶	ˀiəu2	
狂	khuə2	
狄	tiəʔ7	
狐	xi2	
狗	kiəu1	
狠	xə̃1	
狡	tɕiɔo1	
獨	tuəʔ7	
狹	ɕiʌʔ7	
獄	ˀyəʔ7	
狸	li2	～猫
獵	liəʔ7	打～
猛	mə̃1	
猜	tshɛe1	
豬	tʂi1	
貓	mɔo1	
獻	ɕiã5	
猴	xiəu2	
猾	xuʌʔ7	
獺	thʌʔ7	水～
玄	ɕyã2	
率	ʂuɛe5	～领
率	luəʔ7	
王	ˀuə2	
玩	vã2	
環	xuã2	
現	ɕiã5	
璽	ɕi1	
珊	sã1	
珍	tʂə̃1	
珠	tʂi1	
班	pã1	
理	li1	
琉	liəu2	～璃
瑣	suə1	～碎
琢	tʂuəʔ7	
琴	tɕhiə̃2	
琵	pi2	～琶
琶	phɑ2	琵～
瓊	tɕhyə̃2	
瑕	ɕiɑ2	
瑞	ʐuei5	
瑟	sʌʔ7	
璺	və̃5	裂～
瓜	kuɑ1	
瓠	xi5	～瓜
瓢	phiɔo2	
瓣	pã5	
瓤	ʐʌ̃2	瓜～
瓦	vɑ1	
瓦	vɑ5	动词
瓶	phiə̃2	
瓷	tshɿ2	～器
甘	kã1	
甚	ʂə̃5	
甜	thiã2	
甥	ʂə̃1	
用	ˀyə̃5	
甫	fi1	
甬	ˀyə̃1	
田	thiã2	
由	ˀiəu2	
甲	tɕiʌʔ7	
申	ʂə̃1	
電	tiã5	
男	nã2	
畫	xuɑ5	
暢	tʂhʌ̃5	
界	tɕie5	
畏	vei5	
留	liəu2	
畜	tʂhuəʔ7	
畜	ɕyəʔ7	～牧
略	liəʔ7	
畦	tɕhi2	菜～
番	fã1	几～
疆	tɕiʌ̃1	
疏	sei1	
疑	ȵi2	
療	liɔo2	
疝	ʂã5	～气
瘧	niəʔ7	～疾
瘍	ˀiʌ̃1	溃～
疤	pɑ1	
疥	tɕie5	
疫	ˀiəʔ7	
瘡	tʂhuə1	
瘋	fə̃1	
疲	pi2	
疵	tshɿ1	吹毛求～
疹	tʂə̃1	
疼	thə̃2	
疾	tɕiəʔ7	
痂	tɕiɑ1	
病	piə̃5	
症	tʂə̃5	
痒	ˀiʌ̃1	
痔	tʂʅ5	
痕	xə̃2	
痛	thuə̃5	
痢	li5	
痣	tsɿ5	
痰	thã2	
痱	fei5	～子
痲	mɑ2	
痳	mɑ2	
癡	tshɿ1	
痹	pi5	麻～
痿	vei1	
瘊	xiəu2	～子
瘟	və̃1	
瘦	sei5	
瘰	luə5	～疬
瘴	tʂʌ̃5	～气
瘸	tɕhye2	～腿
癩	lɛe5	
癸	kuei1	
登	tə̃1	
白	piəʔ7-	～的
白	pɛe2=	～跑
百	piəʔ7	
皂	tsɔo5	
的	tiəʔ7	
皆	tɕie1	
皇	xuə2	
皖	vã1	
皮	pi2	
皺	tsei5	
皴	tshuə̃1	脸～了
盂	ˀy2	
盆	phə̃2	
益	ˀiəʔ7	
盞	tsã1	
鹽	ˀiã2	
監	tɕiã1	～禁，国子～
盔	khuei1	
盖	kɛe5	
盜	tɔo5	
盛	tʂhə̃2	～满
盟	mə̃2	
目	məʔ7	
盲	muə2	
直	tʂəʔ7	
相	ɕiʌ̃1	～互
相	ɕiʌ̃5	～貌
盼	phã5	
盾	tuə̃5	
盾	tuə̃5	矛～
省	ʂə̃1	～长
省	ɕiə̃1	反～
眉	mi2	
看	khã1	～守
看	khã5	～见
真	tʂə̃1	
眠	miã2	
眨	tsɑ1	～眼
眩	ɕyã5	
眶	khuə1	眼～
眷	tɕyã5	
眼	ȵiã1	
眼	tɕiə̃5	
着	tʂʌʔ7	～衣
睜	tʂə̃1	
睛	tɕiə̃1	
睡	ʂi5	
督	tuəʔ7	
睬	tshɛe1	
瞧	tɕhiɔo2	
瞪	tə̃5	～眼
瞭	liɔo2	
瞳	thuə̃2	
瞻	tʂã1	
瞿	tɕhy2	
矛	mɔo2	
矣	ˀi1	
知	tʂʅ1	
矩	tɕy1	规～
矯	tɕiɔo1	
矬	tshuə2	
短	tuã1	
矮	ŋɛe1	
石	ʂʅ2	碑～
石	ʂəʔ7	
礦	khuə5	
碼	mɑ1	
砌	tɕhiəʔ7	
砍	khã1	
砑	ȵiɑ5	～平
研	ˀiã2	
硯	ȵiã5	
破	phɨᴇ5	
硃	tʂi1	
硝	ɕiɔo1	
硫	liəu2	～磺
確	tɕhyəʔ7	
礙	ŋɛe1	
碎	suei5	
碑	pei1	
碗	vã1	
碟	tiəʔ7	
碧	piəʔ7	
鹼	tɕiã1	
碾	ȵiã1	
磁	tshɿ2	～石
磐	phã2	
磨	mɨᴇ2	～刀
磨	mɨᴇ5	～面，石～
磬	tɕhiə̃5	钟～
礎	tshei1	柱下石
礓	tɕiʌ̃1	～石
示	sɿ5	
示	ʂʅ5	
禮	li1	
社	ʂɨᴇ5	
祀	sɿ5	祭～
祁	tɕhi2	
祈	tɕhi1	
祖	tsei1	
祝	tʂuʌʔ7	
神	ʂə̃2	
祠	tshɿ2	
祥	ɕiʌ̃2	
票	phiɔo5	
祭	tɕi5	
禱	tɔo1	
禍	xuə5	
禀	piə̃1	
禁	tɕiə̃1	～不住
禁	tɕiə̃5	～止
禄	luəʔ7	
禪	tʂhã2	～宗
禪	ʂã5	～让
福	fəʔ7	
禹	ˀy1	
离	li2	
禽	tɕhiə̃2	
禾	xuə1	
秀	ɕiəu5	
私	sɿ1	
禿	thuəʔ7	
秉	piə̃1	
種	tʂuə̃1	
種	tʂuə̃5	
科	khuə1	
秒	miɔo1	
秕	pi1	～子，～谷
租	tsei1	
秤	tʂhʅ5	
秦	tɕhiə̃2	
秧	ˀiʌ̃1	
積	tɕiəʔ7	
稱	tʂhə̃1	～呼
稱	tʂhə̃5	相～
秸	tɕiã1	麦～
移	ˀi2	
穢	xuei5	
稀	ɕi1	
程	tʂhə̃2	
稍	sɔo1	
稅	suei5	
稚	tʂʅ5	
稠	tʂhei2	
穩	və̃1	
稻	tɔo5	
稽	tɕi1	
稿	kɔo1	
穆	məʔ7	
穗	suei5	
穰	ʐʌ̃2	
穴	ɕyəʔ7	
究	tɕiəu5	讲～
窮	tɕhyə̃2	
空	khuə̃1	
空	khuə̃5	
穿	tʂhuã1	
突	thuəʔ7	
窄	tsʌʔ7	
竅	tɕhiɔo5	
窑	ˀiɔo2	
窖	tɕiɔo5	
窗	tʂhuə1	
窘	tɕyə̃1	
竄	tshuã5	
窩	ˀuə1	
窟	kuəʔ7	～窿
窠	khuə1	
窺	khuei1	
窨	ˀiə̃5	地～子
立	liəʔ7	
豎	ʂi5	
站	tsã5	车～
竟	tɕiə̃5	
章	tʂʌ̃1	
童	thuə̃2	
端	tuã1	
竹	tʂuəʔ7	
竿	kã1	竹～
篤	tuəʔ7	
笊	tsɔo5	～篱
笑	ɕiɔo5	
笔	piəʔ7	
笙	ʂə̃1	
笛	tiəʔ7	
笠	liəʔ7	
符	fi2	
笨	pə̃5	
第	ti5	
籠	luə̃2	
等	tə̃1	
筋	tɕiə̃1	
筏	fʌʔ7	
筐	khuə1	
筑	tʂuəʔ7	
筒	thuə̃1	
答	tʌʔ7	
策	tshʌʔ7	
篩	sɛe1	～子
箏	tʂə̃1	
筵	ˀiã5	
筷	khuɛe5	
籌	tʂhei2	
签	tɕhiã1	
簡	tɕiã1	
箍	ki1	
算	suã5	
管	kuã1	
籮	lɨᴇ2	
簫	ɕiɔo1	
箭	tɕiã5	
箱	ɕiʌ̃1	
箸	tʂi5	
篆	tʂuã5	
篇	phiã1	
簍	lei1	
篙	kɔo1	
篡	tshuã5	
篦	pi5	～子
籃	lã2	
篱	li2	
篷	phə̃2	
篾	mi5	竹～
篾	miəʔ7	竹～
簧	xuə2	锁～
簪	tsã1	
簸	pɨᴇ1	～一～
簸	pɨᴇ5	～箕
簿	pi5	
籍	tɕiəʔ7	
米	mi1	
类	luei5	
粉	fə̃1	
粘	tʂã1	～贴
糶	thiɔo5	
粟	si5	
粥	tsei1	
糞	fə̃5	
糧	liʌ̃2	
粳	tɕiə̃1	
粹	tshuei5	
糉	tɕyə̃5	
精	tɕiə̃1	
糖	thʌ̃2	
糙	tsɔo5	粗～
糜	mi2	～粥
糟	tsɔo1	
糠	khʌ̃1	
糯	nuə5	～米
系	tɕi5	～鞋带
系	ɕi5	联～，～词
素	sei5	
索	suəʔ7	绳～
緊	tɕiə̃1	
紫	tsɿ1	
累	luei1	～积
累	luei5	连～，～了
絮	ɕy5	
繁	fã2	
纂	tsuã1	编～
糾	tɕiəu1	～正
紅	xuə̃2	
紂	tsei5	桀～
約	ˀiəʔ7	
級	tɕiəʔ7	
紀	tɕi5	
紉	ʐə̃5	缝～
緯	vei1	
純	tʂhuə̃2	
紕	pi1	
綱	kʌ̃1	
納	nʌʔ7	
縱	tsuə̃5	
紛	fə̃1	
紙	tsɿ1	
紋	və̃2	
紡	fuə1	
紐	ȵiəu1	
紐	phã5	～襻
線	ɕiã5	
組	tsei1	
細	ɕi5	
織	tʂəʔ7	
終	tʂuə̃1	
縐	tsei5	
絆	pã5	
紹	ʂɔo5	
經	tɕiə̃1	
綁	puə1	
結	tɕiəʔ7	
繞	ʐɔo5	～线
繪	xuei5	
給	tɕiəʔ7	供～
絡	ləʔ7	
絕	tɕyəʔ7	
絞	tɕiɔo1	
統	thuə̃1	
絹	tɕyã5	
繡	ɕiəu5	
績	tɕiəʔ7	
緒	ɕy5	
續	ɕyəʔ7	
綺	tɕhi1	
綽	tʂhuʌʔ7	
繩	ʂə̃2	
維	vei2	
綿	miã2	
綢	tʂhei2	
綜	tsuə̃1	
綻	tsã5	
綠	lyəʔ7	
綴	tʂi5	～扣子
綴	tʂuei5	
緬	miã1	
緩	xuã1	
縷	ly1	
編	piã1	
緣	ˀyã2	
縛	fi5	
縫	fə̃2	
縫	fə̃5	一条～
纏	tʂhã2	
縊	ˀi5	
纓	ˀiə̃1	
縮	ʂuʌʔ7	
繮	tɕiʌ̃1	～绳
繳	tɕiɔo1	上～
缸	kʌ̃1	
缺	tɕhyəʔ7	
罐	kuã5	寺～
羅	lɨᴇ2	
罰	fʌʔ7	
罷	pɑ5	
罩	tsɔo5	
罪	tsuei5	
置	tʂʅ5	
署	ʂi1	专～
羊	ˀiʌ̃2	
羌	tɕhiʌ̃1	
美	mei1	
羔	kɔo1	
羝	ti5	～羊：公羊
羞	ɕiəu1	
羡	ɕiã5	
羣	tɕhyə̃2	
羶	ʂã1	
羸	lei2	
羹	kə̃1	
羽	ˀy1	
翁	və̃1	
翅	tshɿ5	
翎	liə̃2	
翠	tshuei5	
翡	fei1	～翠
翰	xã5	
翻	fã1	
翼	ˀi5	
耀	ˀiɔo5	
老	lɔo1	
考	khɔo1	
者	tshɨᴇ1	
而	ˀɚ2	
耍	ʂuɑ1	
耐	nɛe5	
耕	kə̃1	
耗	xɔo5	
耙	pɑ5	～地
耬	lei2	
耳	ˀɚ1	
耶	ˀie1	
恥	tʂhʅ1	
耽	tã1	
耿	kə̃1	
聶	ȵiʌʔ7	
聊	liɔo2	
聾	luə̃2	
職	tʂəʔ7	
聒	kuʌʔ7	～耳朵
聘	phiə̃5	
聚	tɕy5	
聰	tshuə̃1	
肅	ɕyəʔ7	
肆	sɿ5	
肉	ʐei5	
肋	lei5	
肌	tɕi1	
肘	tsei1	
肚	ti1	鱼～
肚	ti5	腹～
肝	kã1	
腸	tʂhʌ̃2	
股	ki1	～份
肢	tsɿ1	
肤	fi1	
肥	fei2	
肩	tɕiã1	
肪	fuə2	脂～
骯	ŋʌ̃1	～脏
肯	khə̃1	
育	ˀy5	
肴	ˀiɔo2	
肺	fei5	
腎	ʂə̃5	
腫	tʂuə̃1	
脹	tʂʌ̃5	
脅	ɕye2	
胃	vei5	
膽	tã1	
背	pɛe1	
背	pei1	
背	pei5	～诵
胎	thɛe1	
胚	phei1	
胛	tɕiʌʔ7	肩～骨
勝	ʂə̃5	
胞	phɔo1	
胡	xi2	
膠	tɕiɔo1	
胸	ɕyə̃1	
能	nə̃2	
脂	tsɿ1	
脆	tshuei5	
脉	miəʔ7	
脊	tsəʔ7-	～背
脊	tɕiəʔ7=	～柱
脏	tsʌ̃1	
脏	tsʌ̃5	肝～
臍	tɕhi2	
腦	nɔo1	
膿	nə̃2	
腳	tɕiəʔ7	
脯	phi2	胸～
