#漢字	音標	解釋
□	ɕioŋ2	喜歡
能	nən2	
脅	ɕie2	
脆	tsʰuei5	
腦	nau3	
脚	tɕio2	
脱	tʰo2	
腐	fuᶹ3	
腔	tɕʰiaŋ1	
腮	sai1	
腿	tʰuei3	
臂	pei5	
臘	nᴀ2	
臣	tsʰən2	
臥	o5	
自	tsɿ5	
至	tsɿ5	
致	tsɿ5	
臻	tsən1	
舀	iau3	
舅	tɕiəu5	
輿	y3	
興	ɕin1	
舉	tɕy3	
舊	tɕiəu5	
舌	sæ̞2	
舌	sei2	
舟	tsəu1	
舵	to5	
船	tsʰuan2	
良	niaŋ2	
艾	ŋai5	
花	xuᴀ1	
芳	faŋ1	
苗	miau2	
若	zo2	
苦	kʰuᶹ3	
英	in1	
茂	məu5	
茂	moŋ5	
范	fan5	
茅	mau2	
茶	tsʰᴀ2	
茸	zoŋ2	
草	tsʰau3	
荆	tɕin1	
荒	xuaŋ1	
莊	tsuaŋ1	
莖	xən2	
莫	mo2	
蓮	niɛn2	
莽	maŋ3	
菊	tɕiu2	
菜	tsʰai5	
菠	po1	
華	xuᴀ2	
萌	moŋ2	
蕭	ɕiau1	
落	no2	
葉	ie2	
葬	tsaŋ5	
葱	tsʰoŋ1	
葵	kʰuei2	
蒙	moŋ2	
蓋	kai5	
蓬	pʰoŋ2	
蔡	tsʰai5	
薄	po2	
薛	ɕye2	
藍	nan2	
藕	ŋəu3	
藝	ni5	
藥	io2	
蘇	suᶹ1	
虎	fuᶹ3	
虐	nio2	
處	tsʰuᶹ5	
虚	ɕy1	
號	xau5	
虧	kʰuei1	
虫	tsʰoŋ2	
虱	sæ̞2	
蚊	uən2	
蛇	se2	
蛇	ɕie2	
蛇	sæ̞2	
蛙	uᴀ1	
蜍	y2	
蝕	sɿ2	
蝦	ɕiᴀ1	
融	ioŋ2	
螢	yn2	
蟬	san2	
蠶	tsʰan2	
血	ɕye2	
衆	tsoŋ5	
行	ɕin2	1
行	xaŋ2	2
術	suᶹ2	
街	kai1	
衛	uei5	
衣	i1	
表	piau3	
衫	san1	
衰	suai1	
袍	pʰau2	
袖	ɕiəu5	
補	puᶹ3	
裝	tsuaŋ1	
裸	no3	
裹	ni3	
褂	kuᴀ5	
褲	kʰuᶹ5	
襖	ŋau3	
襪	uᴀ2	
襯	tsʰən5	
西	ɕi1	
要	iau5	
見	tɕiɛn5	
規	kuei1	
視	sɿ5	
親	tɕʰin1	
覺	tɕio2	
觀	kuan1	
角	ko2	1
角	tɕio2	2
解	kai3	
觸	tsuᶹ2	
言	iɛn2	
計	tɕi5	
討	tʰau3	
託	tʰo2	
記	tɕi5	
許	ɕy3	
詐	tsᴀ5	
詞	tsʰɿ2	
試	sɿ5	
詩	sɿ1	
話	xuᴀ5	
該	kai1	
詳	tɕʰiaŋ2	
誇	kʰuᴀ1	
認	zən5	
誠	tsʰən2	
誦	soŋ5	
説	so2	
誰	suei2	
課	kʰo5	
調	tiau5	1
調	tʰiau2	2
談	tʰan2	
請	tɕʰin3	
論	nən5	
諸	tsuᶹ1	
諾	no5	
謀	məu2	
謊	xuaŋ3	
謙	tɕʰiɛn1	
講	tɕiaŋ3	
謝	ɕie5	
識	sɿ2	
譜	pʰuᶹ3	
譯	i2	
議	ni5	
讀	tuᶹ2	
變	piɛn5	
讎	tsʰəu2	
讓	zaŋ5	
豆	təu5	
象	ɕiaŋ5	
豪	xau2	
貌	mau5	
猫	mau1	
猫	miau2	
貝	pei5	
負	fuᶹ5	
貧	pʰin2	
貨	xo5	
貪	tʰan1	
貳	ɚ5	
貶	piɛn3	
買	mai3	
費	fei5	
資	tsɿ1	
賈	tɕiᴀ3	
賊	tsæ̞2	
賜	tsʰɿ5	
賢	ɕiɛn2	
賣	mai5	
質	tsɿ2	
賴	nai5	
賽	sai5	
贊	tsan5	
贖	suᶹ2	
販	fan5	
貫	kuan5	
貴	kuei5	
賭	tuᶹ3	
贖	ɕiu2	
赤	tsʰɿ2	
走	tsəu3	
起	tɕʰi3	
趁	tsʰən5	
超	tsʰau1	
越	ye2	
趙	tsau5	
趟	tʰaŋ5	
趣	tɕʰy5	
足	tɕiu2	
跌	tie2	
跑	pʰau3	
跟	kən1	
跪	kuei5	
路	nuᶹ5	
跳	tʰiau5	
踏	tʰᴀ2	
踢	tʰi2	
身	sən1	
車	tsʰe1	
軋	tsᴀ2	
軒	ɕyɛn1	
軟	zuan3	
