#漢字	音標	解釋
□	kʰu2	鼾睡时声
鄭	tseŋ5	
部	pʰu5	
郭	kuoʔ7	
酒	tɕiu2	
酥	su1	
醬	tɕiɔŋ5	
醉	tsei5	
醋	tsʰu5	
醒	ɕiaŋ3	
重	tsʰeŋ1	轻重
重	tsʰeŋ2	重复
野	jia3	
量	tiɔŋ2	量长短
金	tɕĩ1	
鑊	vɔʔ7	锅
釘	tiaŋ5	钉住
釘	tiaŋ1	铁钉
釣	tiau5	
釵	tsai5	
钟	tseŋ1	
钟	tseŋ1	钟鼓
鋼	kɔŋ5	
鑰	sɿ2	
鉤	keu1	
鈀	pʰa2	~子
錢	tɕʰĩ2	
鉗	tɕʰĩ2	
鈴	liaŋ2	
鉛	jĩ2	
銅	tʰeŋ2	
鍘	tseʔ7	铡刀
鏟	tsʰɐn3	
銀	ȵiŋ2	
鎖	hɔŋ2	
鎖	sɔ3	
銳	tsʰeŋ5	放~
錯	tsʰɔ5	
錯	tsʰuʔ7	错杂
錫	ɕieʔ7	
鑼	lɔ5	
錘	tsʰei2	敲
鋸	tɕi5	锯子
鍬	tɕʰiau1	
鍍	tʰu3	
鎮	tseŋ5	
鏡	tɕiŋ5	
镢	tɕəuʔ7	~头,大锄
鐮	lĩ2	
長	tsɔŋ3	生长
長	tsʰɔŋ2	长短
門	meŋ2	
閂	tsʰon1	
閃	sɐn3	
問	meŋ5	
閏	jiŋ5	
闲	hɐn2	
間	kɐn3	空间
間	kɐn3	间断
悶	meŋ5	
閘	tsaʔ7	
鬧	nau5	
聞	meŋ2	
閣	kaʔ7	
閻	jĩ2	
隊	tei5	
陰	jin2	
陣	tsʰeŋ5	
陳	tsʰeŋ2	
降	ɕiɔŋ2	降伏,投降
陝	sɐn3	陕西
陡	teu3	
院	jĩ5	
除	tsʰu2	
隆	leŋ2	
隔	kaʔ7	
障	tseŋ5	保障
難	nɐn2	难易
雁	ja1	
雄	ɕiŋ2	
集	tɕieʔ7	
雨	ji3	
雪	ɕieʔ7	
零	liaŋ2	
雷	lei2	
雹	pʰoʔ7	
霧	vu5	
震	tseŋ5	
霍	hɔʔ7	
霜	sɔŋ1	
露	lu5	
霸	pa5	
青	tɕʰiaŋ1	
靜	tɕiŋ5	
靠	kʰau5	
面	mĩ5	
鞋	hai2	
鞍	ʔen5	
鞭	pĩ1	
韭	tɕiu2	
音	jin2	
頁	jeʔ7	
頂	tiaŋ5	
項	huan5	
順	seŋ5	
預	jiɛ3	
領	liaŋ5	
頸	tɕi3惊iaŋ3	
題	tʰi2	
顔	jĩ2	
風	feŋ1	
飆	piau1	
飈	piau1	
飛	fei1	
食	seʔ7	
饥	tɕi2	
飯	fɐn5	
飲	jin2	~米汤
飽	pʰau3	
飼	sɿ2	
餅	piaŋ3	
餓	ŋɔ5	
餜	kɔ3	
饅	muan2	馒头
香	ɕiɔŋ1	
馬	ma1	
駝	tʰɔ2	
駡	ma5	
驕	tɕiau1	
駱	luʔ7	
驗	ȵĩ3	
騎	tɕʰi2	
騙	pʰĩ5	欺骗
骨	kuoʔ7	筋骨,骨头
高	kau1	
鬼	kue3	
魂	huan2	
魄	pʰɐʔ7	
魚	ʔen2	
鯉	lei2	
鰣	sɿ2	
鰓	ɕi1	
鰾	pʰiau3	
鱉	pʰeʔ7	
鱗	lin2	
鳥	tiau3	
雞	kei5	
鴉	ʔa1	
鴨	ʔaʔ7	
鵝	ŋɔ2	
鷂	jiau5	~鹰
鷺	lu5	鹭鸶
鹿	loʔ7	
麥	maʔ7	
麻	ma2	
黃	vɔŋ2	
黏	ȵi2	黏米,黏起来
鼎	tiaŋ5	
鼓	ku3	
鼠	su3	
鼻	pʰi5	
齒	tsɿ2	
龍	leŋ2	
