#漢字	音標	解釋
#簡稱	/	淸末溫州
#全稱	/	淸末溫州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,331 2 1b 陽平 ꜁,45 3 2a 陰上 ꜂,34 4 2b 陽上 ꜃,42 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,223 7 4a 陰入 ꜆,112 8 4b 陽入 ꜇
#版本	/	2021-10-21
#錄入人	/	阿纓
#參考資料	/	《淸末溫州方言音系研究》《溫州方言入門》
#說明	/	
塕	ʔjyʊŋ1	粉末飛揚
塗	dʉ2	海～
塘	dɔ2	
塚	tɕyɔ3	
塞	se7	
塞	se5	關～
塢	ʔu1	
塤	ɕyʊŋ1	
填	die2	
塳	bʊŋ2	
塵	dzaŋ2	
塾	ʑiu8	
墀	dzi2	
墁	mø6	
境	tɕiaŋ5	
墅	ʑiɿ4	
墈	kʰø5	～上，地名
墉	jyʊŋ2	
墊	die6	
墊	die4	牙齒嚼到硬物
墓	mu6	
墓	mo6	
牆	zie2	
墜	dʑiɿ6	
增	tsaŋ1	
墟	ɕy1	
墨	mai8	
墩	tø1	
墮	du4	
墳	vaŋ2	
墾	kʰaŋ3	
壁	pie7	
壁	pi7	
壅	ʔjyɔ5	～田
壇	da2	
壇	da6	稻～，曬穀物的平地
壋	tɔ5	
壑	ho7	
壓	ʔa7	
壕	ɦɜ2	
壘	lai4	
壙	kʰɔ5	
壙	tɕʰyɔ5	墓穴
壞	va6	
壟	lʊŋ4	
壟	liɛ4	田～
壤	zie6	
壩	po5	
士	zɿ4	
壬	ȵiaŋ2	
壯	tɕyɔ5	
壯	tsɔ5	
壯	tɕyɔ5	肥
聲	siŋ1	
殼	kʰo7	
壹	ʔjiai7	
壺	vu2	
壽	ziu6	
處	tɕʰiɿ5	益～
備	bi6	
复	fu7	回～
复	vu8	～转
复	vɜ6	～活
夏	ɦo6	
夔	dʑy2	
夕	zi8	
外	ɦʋa6	
外	va6	
夙	ɕiu7	
多	tu1	
夜	ji6	
够	kau5	
夠	kau5	
夢	mʊŋ6	
夤	jiaŋ2	
夥	fu3	
大	di6	～家娘：婆婆
大	du6	～舌: 口吃
大	da6	我～家
天	tʰie1	
太	tʰa5	
夫	fʉ1	
夫	fu1	
夫	vu2	助詞
夬	kʋa5	
夭	ʔiɛ3	
央	ʔie1	
夯	haŋ1	
失	sai7	
頭	diu2	
夷	ji2	
奪	dø8	抢～
奪	dai8	～去
夾	ka7	
奇	dʑiɿ2	
奇	tɕiɿ1	～偶
奈	na6	
奉	vʊŋ4	
奉	ɦʊŋ4	
奎	kʋʰai1	
奏	tsau5	
奐	hye5	
契	tɕʰiɿ5	
奓	tso1	～山，山名
奓	tso5	張開
奔	paŋ1	
奕	jiai8	
套	tʰɜ5	
奘	tsɔ5	
奚	ji2	
奠	die6	
奡	ŋɜ6	排～
奢	si1	
奧	ʔɜ5	
奩	lie2	
奪	dai8	白
奪	dø8	
奮	faŋ5	
女	ȵy4	
女	da2	～儿
女	na4	～兒
奴	du2	
奴	nʉ2	～才
奴	nu2	
奶	da2	～儿
奶	na4	吃～
奶	ʔna1	
奸	ka1	
她	tʰa1	
好	hɜ3	假～人
好	hɜ5	喜～
妁	tɕia7	
如	ʑiɿ2	
妃	fi1	
妄	vɔ4	
妄	ɦɔ6	
妄	ɦɔ4	
妝	tɕyɔ1	
婦	vʉ4	
妊	zaŋ2	
妊	zaŋ6	
妍	ȵie2	
妒	tʉ5	～忌
妓	dʑiɿ6	
妓	dʑiɿ4	
妖	ʔiɛ1	
妗	dʑiaŋ4	
妙	miɛ6	
妝	tsɔ1	
妝	tɕyɔ1	
妞	ʔȵiau1	
妣	pi3	
妤	ɦy2	
妥	tʰu3	
妨	hɔ1	
妲	ta7	
妲	ta5	
妳	ʔna1	母
妹	mai6	
妹	ʔmai1	小孩，「妹」的小稱
妺	mø8	～喜，古人名
妻	tsʰi1	
妾	tsʰie7	
姆	mo4	
姆	mu4	保～
姊	tsɿ3	
始	sɿ3	
姍	sa1	
姐	tsa1	姐
姐	tsi3	
姑	ku1	
姒	zɿ4	
姓	siŋ5	
委	ʔy3	
姘	pʰiŋ1	
姚	jiɛ2	
姜	tɕie1	
姣	kɔ1	
姥	lɜ4	～～，祖母
姥	mo4	
姥	ʔmo1	對年長婦女的愛稱
姥	mu4	
姨	ji2	
姬	tɕiɿ1	
姱	kʰo1	
姹	tso5	
姻	ʔjiaŋ1	
姽	tɕy3	
姿	tsɿ1	
威	ʔy1	
娃	ʔo1	
娉	pʰiŋ1	
娌	li4	
娑	so1	
娒	ʔmai1	小孩
娓	mi4	
娘	ȵie2	
娘	ʔȵie1	阿～：姑母、姨母的愛稱
娛	ŋ2	
娜	ʔna3	
娟	tɕye1	
娠	tsaŋ5	
娠	saŋ1	
娠	zaŋ2	
娣	di4	
娩	mie4	
娶	tɕʰiɿ3	
婀	ʔu1	
婁	lau2	
婆	bʉ2	
婉	ʔye3	
婊	piɛ3	
婚	hye1	
婢	bi6	
婢	bi4	
婦	vʉ4	
婪	lø2	
婭	ʔo5	
嬰	ʔjiaŋ1	
婷	diŋ2	
婺	vu6	
婿	si5	
媒	mai2	
媚	mi2	
媚	mi6	
媛	jye6	
媢	mɜ6	
媧	ʔo1	
媯	tɕy1	
媳	si7	
媵	jiaŋ6	
媸	tsʰɿ1	
媼	ʔɜ3	
媽	ʔma3	
媽	ʔma1	
媽	ʔma5	
媾	kau5	
嫁	ko5	
嫂	sɜ3	
嫉	zai8	
嫋	ȵia4	
嫌	ɦa2	～憎
嫌	zie2	
嫏	lɔ2	
嫖	biɛ2	
嫘	lai2	
嫠	li2	
嫡	ti7	
嫣	ʔie1	
嫩	nø6	
嫪	lɜ6	～毐
嫵	vu4	
嫻	ɦa2	
嬉	ɕiɿ1	
嬋	zie2	
嬌	tɕiɛ1	
嬖	pi5	
嬡	ʔe5	
嬪	piŋ1	
嬰	ʔjiaŋ1	
嬲	ȵiɛ4	歪纏不休
嬸	saŋ3	
孀	ɕyɔ1	
孌	lø2	
子	tsɿ3	
孑	tɕie7	
孓	tɕye7	
孔	kʰʊŋ3	
孕	jiaŋ2	
孕	jiaŋ6	
字	zɿ6	
存	zø2	
孫	sø1	
孚	fu1	
孜	tsɿ1	
孝	hɔ5	
孟	mɛ6	
孢	pɔ1	
季	tɕy5	
孤	ku1	
孥	nu2	
學	ɦo8	
孩	ɦe2	
孩	ɦe4	
孫	sø1	
孰	ʑiu8	
孱	za2	～弱
孳	tsɿ1	
孵	fu1	
學	ɦo8	
孺	ʑiɿ2	新～人：新娘
孽	ȵie8	
孿	lø2	
寧	ȵiaŋ2	
它	tʰa1	
宄	tɕy3	
宅	dza8	
宇	ɦy4	
守	siu3	
安	ʔye1	
宋	sʊŋ5	
完	jye2	
宏	ɦʊŋ2	
宕	dɔ4	
宕	dɔ6	
宗	tsʊŋ1	
官	kye1	
宙	dziu6	
定	diŋ6	
宛	ʔye3	
宜	ji2	便～
宜	ȵi2	
寶	pɜ3	
審	saŋ3	
客	kʰa7	
宣	ɕye1	
室	sai7	
宥	jiau6	
宦	va6	
宮	tɕyʊŋ1	
宮	tɕyʊŋ1	
宮	kʊŋ1	
宰	tse3	
害	ɦe6	
宴	ʔie5	
宵	ɕiɛ1	
家	ko1	
宸	zaŋ2	
容	jyʊŋ2	
寬	kʋʰa1	
宿	ɕyo7	
宿	ɕiu7	
宿	siu5	星～
寀	tsʰe3	
寂	zi8	
寄	tɕiɿ5	
寅	jiaŋ2	
密	mie8	
寇	kʰau5	
富	fʉ5	
寐	mi6	
寒	jye2	
寓	ȵy6	
寞	mo8	
察	tsʰa7	
寡	ko3	
寢	tsʰaŋ3	
寢	tsʰaŋ5	
寥	liɛ2	
實	zai8	
寧	ȵiaŋ2	
寧	ȵiaŋ6	～願
寨	dza6	
審	saŋ3	
寫	si3	
寬	kʋʰa1	
寮	liɛ2	
寰	va2	
寵	tɕʰyʊŋ3	
寶	pɜ3	
寸	tsʰø5	
對	tai5	
寺	zɿ6	
尋	zaŋ2	
導	dɜ6	
封	fʊŋ1	
封	hʊŋ1	
射	zi8	
射	zi6	
射	ji6	僕～
將	tsie1	～来
將	tsie5	～领
將	tsie1	～來
將	tsie5	～領
專	tɕye1	
尉	ʔy5	
尊	tsø1	
尋	zaŋ2	
對	tai5	
導	dɜ6	
小	ɕiɛ3	
少	ɕiɛ3	
少	ɕiɛ5	～年
尖	tsie1	
尘	dzaŋ2	
尚	zie6	
嘗	zie2	
尤	jiau2	
尥	liɛ6	
尬	ka1	尷～
就	ziu6	～是讲
就	ziu8	～把渠大家医好
就	ʑiu8	
尷	kɛ1	
屍	sɿ1	
尹	ʔjyʊŋ3	
尺	tsʰi7	
尻	kʰɜ1	
尼	ȵi2	
尽	zaŋ4	
尾	n4	～巴
尾	mi4	尾巴
尾	vi4	文
尿	ȵia2	
尿	ɕiɿ1	
局	dʑyo8	
屁	pʰi5	
層	zaŋ2	
屄	pi1	
居	tɕy1	
居	ke7	近指代詞
屆	ka5	
屈	tɕʰye7	
屋	ʔu7	
屍	sɿ1	
屎	sɿ3	
屏	piŋ5	～墙
屏	biŋ2	
屐	dʑiai8	
屑	ɕia7	
屑	sie7	
展	tsie3	
屙	kʰu1	
屠	dʉ2	
屢	dʉ4	
屢	lʉ4	
層	zaŋ2	
履	lʉ4	
屨	tɕy5	
屩	tɕia7	草鞋
屬	tɕyo7	～文；～意
屬	dʑyo8	
屯	dø2	
山	sa1	
歲	ɕiɿ5	
豈	tɕʰiɿ3	
岈	ŋo2	
岐	dʑiɿ2	
岑	dʑiaŋ2	
岑	zaŋ2	
岔	tsʰo5	
岙	ʔɜ5	
島	tɜ3	
岡	kɔ1	
岣	kau3	
岧	diɛ2	
岩	ŋa2	
岬	ka7	
岱	de6	
岷	miŋ2	
岸	jye6	
峋	ɕyʊŋ1	
峒	dʊŋ2	
峙	dzɿ4	
峨	ŋ2	
峪	jyo8	
峭	tɕʰiɛ5	
峯	hʊŋ1	
峱	nɜ2	
島	tɜ3	
峻	ɕyʊŋ5	
峽	ka7	
峽	ɡa8	
崁	kʰø5	赤～，地名
崆	kʰʊŋ1	
崇	zʊŋ2	
崍	le2	
崔	tsʰai1	
崖	ŋa2	
崗	kɔ1	
崛	dʑye8	
崢	tsɛ1	
崤	ɦɔ2	
崦	ʔie1	
崩	pʊŋ1	
崩	paŋ1	
崮	ku5	
崽	tse3	
嵊	ziŋ6	
嵋	mi2	
嵌	kʰa5	
嵐	la2	
嵩	sʊŋ1	
嵬	vai2	
嵬	ŋʋai2	
嵯	tsʰo1	
嶅	ŋɜ2	
嶇	tɕʰy1	
嶗	lɜ2	
嶙	liŋ2	
嶢	ȵia2	
嶨	ɦo8	
嶴	ʔɜ5	
嶺	liŋ4	
嶽	ŋo8	
巉	dza2	
巉	za2	
巋	kʋʰai1	
巋	kʋʰai5	
巍	vai2	
巍	ŋʋai2	
巒	lø2	
巔	tie1	
川	tɕʰye1	
州	tsiu1	
巡	jyʊŋ2	
巢	zɔ2	
工	kʊŋ1	
左	tsi7	
左	tsu3	～手
巧	kʰɔ3	
巨	dʑy6	
巫	vu2	
差	tsʰu1	～不多
差	tsʰa1	～使
差	tsʰo1	
差	tsʰɿ1	參～
巰	dʑiau2	
己	tɕiɿ3	
己	ji4	
已	ji4	
巳	zɿ4	
巴	po1	
巴	bo2	
巷	ɦɔ6	
巽	sø5	
巾	tɕiaŋ1	
市	zɿ4	
布	pʉ5	
帆	va2	
師	sɿ1	
希	ɕiɿ1	
帳	tsie5	
帑	tʰɔ3	
帖	tʰie7	
帘	lie2	
帙	dzai8	
帚	tsiu3	
帛	ba8	
帝	ti5	
帥	sa5	
帶	ta5	
師	sɿ1	
席	zi8	
幫	pɔ1	
帳	tsie5	
帶	ta5	
帷	ɦy2	
常	dzie2	
常	zie2	～識
帽	mɜ6	
幃	ɦy2	
幄	ʔo7	
幌	hɔ3	
幔	mø6	
幕	mo6	
幕	mu6	
幗	kʋai7	
幘	tsa7	
幟	tsɿ5	
幡	fa1	
幢	dʑyɔ2	經～
幣	bi6	
幧	tɕʰiɛ1	
幫	pɔ1	
幬	dɜ6	
平	biŋ2	
年	ȵie2	
并	biŋ4	～且
并	piŋ1	～州
幸	ɦɛ4	
幹	kø5	能～;才干
幹	kye1	
幹	kye5	
幻	ʔʋa3	
幼	ʔjiau1	
幼	ʔjiau5	
幽	ʔjiau1	
幾	tɕiɿ3	
幾	tɕiɿ1	
庇	pi5	
牀	ʑyɔ2	
庋	tɕy3	
序	ʑiɿ4	
庫	kʰu5	
應	ʔjiaŋ1	～该
應	ʔjiaŋ5	报～
底	ti3	人或事物随动作由外面到里面；里面
庖	bɔ2	
店	tie5	
廟	miɛ6	
庚	kɛ1	
府	fʉ3	
廢	fi5	
庥	ɕiau1	
度	dʉ6	
度	do8	猜～
座	zo6	
座	dzo6	一～屋宕
庫	kʰu5	
庭	diŋ2	
庳	pai1	
庵	ʔø1	
庶	ɕiɿ5	
康	kʰɔ1	
庸	jyʊŋ2	
庹	tʰo7	
庾	ɦy4	
廁	tsʰe7	
廂	sie1	
廈	ɦo6	
廉	lie2	
廊	lɔ2	
廋	sau1	
廐	tɕiau5	
廒	ŋɜ2	
廓	ko7	
廓	kʰo7	
廖	liɛ6	
廚	dʑiɿ2	
廛	dzie2	
廝	sɿ1	
廟	miɛ6	
廠	tsʰe3	
廠	tsʰie3	～兒：草棚
廡	vu4	
廢	fi5	
廣	kɔ3	
廩	liŋ4	
廬	lʉ2	
廱	ʔjyʊŋ1	
廳	tʰiŋ1	
延	jie2	
廷	diŋ2	
建	tɕie5	
廿	ȵie6	
開	kʰe1	
异	ji6	
弃	tɕʰiɿ5	
弄	lʊŋ6	
弊	bi6	
弋	jiai8	
弌	ʔjiai7	
式	si5	
式	si7	
弓	tɕyʊŋ1	
弓	kʊŋ1	
引	jiaŋ4	
弗	ʔmai7	
弘	ɦʊŋ2	
弟	di4	
張	tsie1	
弢	tʰɜ1	
弦	zie2	
弧	vu2	
弨	tɕʰiɛ1	
弩	nu2	
弭	mi4	
彎	ʔʋa1	
弱	ʑia8	
張	tsie1	
強	dʑie2	
強	dʑie4	勉～
弸	pʊŋ1	凸出
彈	da2	
强	dʑie2	
弼	bie8	
彀	kau5	
彈	da2	～琴
彈	da6	子～
彌	mi2	
彎	ʔʋa1	
歸	kʋai1	
當	tɔ1	
當	tɔ5	停～
彖	tʰø5	～辭
彗	ɦy6	
彗	ɕiɿ5	
彚	lʉ6	
彝	ji2	
形	jiaŋ2	
彤	dʊŋ2	
彥	ȵie6	
彩	tsʰe3	
彪	piɛ1	
彬	piŋ1	
彭	bɛ2	
彰	tsie1	
影	ʔjiaŋ3	
彷	bɔ2	～徨
彷	hɔ3	
役	jy8	
彼	pi3	
往	jyɔ4	
征	tsiŋ1	
徂	zu2	
待	de4	
徇	jyʊŋ2	
很	haŋ3	
徊	vai2	
律	lie8	
後	ɦau4	
徐	zi2	
徑	tɕiaŋ5	
徒	du2	
徒	dʉ2	～弟
得	ti7	
得	te7	免～
得	de*	弱化轻读，表可能:咸～起
徘	bai2	
徙	sɿ3	
徛	ɡe4	站
從	tsʰʊŋ1	～容
從	ʑyɔ2	
御	ȵy6	御史
徨	ɦɔ2	
復	vɜ6	～活
復	vu8	往～
循	jyʊŋ2	
徭	jiɛ2	
微	vi2	
徵	tsiŋ1	
德	te7	
徹	dzie8	
徼	tɕiɛ3	
徽	fai1	
心	saŋ1	
必	pie7	
忌	dʑiɿ6	妒～
忍	zaŋ4	
忍	ȵiaŋ4	
忏	tsʰa5	
忒	tʰe7	
忖	tsʰø3	
志	tsɿ5	
忘	vɔ2	
忘	maŋ2	～记:忘记
忘	ɦɔ2	
忘	ɦɔ6	
忙	mɔ2	
忝	tʰie3	
忠	tɕyʊŋ1	
忡	tɕʰyʊŋ1	
忤	ŋ4	
憂	ʔjiau1	
快	kʋʰa5	
忱	dzaŋ2	
念	ȵie6	
忸	ʔȵiau1	
忽	hye7	
忿	vaŋ4	
懷	ɡʋa2	～里
慫	ɕyɔ3	
怊	tɕʰiɛ1	
怍	dzo6	
怍	zo6	
怎	tso3	
怒	du6	
怒	nu6	
怕	pʰo5	
怖	pʉ5	
怙	vu4	
怛	ta7	
憐	lie2	
思	sɿ1	～慕
思	sɿ5	
怠	de4	
怡	ji2	
急	tɕiai7	
性	siŋ5	
怨	ʔye5	
怩	ȵi2	
怪	kʋa5	鬼～
怯	tɕia7	
怯	tɕʰie7	
怵	dʑye8	
總	tsʊŋ3	
恁	ʔnaŋ7	这么
恃	zɿ4	
恍	hɔ3	
恐	tɕʰyɔ3	
恐	kʰʊŋ3	～怕
恆	ɦaŋ2	
恕	ɕiɿ5	
恙	jie6	
恢	kʋʰai1	
恤	ɕye7	
恥	tsʰɿ3	
恨	ɦaŋ6	
恩	ʔø1	
恪	kʰo7	
恫	dʊŋ6	
恬	die2	
恭	kʊŋ1	
恭	tɕyɔ1	
息	si7	
恰	kʰa7	
懇	kʰaŋ3	
恶	ʔu5	厌～
恶	ʔo7	～毒
恿	jyɔ4	
悄	tɕʰiɛ3	～然
悄	tɕʰiɛ1	靜～～
悄	ɕiɛ1	靜～～
悅	jye8	
悉	si7	
悒	ʔjiai7	
悔	hʋai3	
悔	fai3	
悔	fai5	
悖	bai6	
悗	maŋ2	～记:忘记
悚	ɕyɔ3	
悛	tɕʰye1	
悝	kʋʰai1	
悟	ŋ6	
悠	ʔjiau1	
患	va6	
悱	fi3	
悲	pai1	
悴	zai6	
悵	tsʰie5	
悶	maŋ6	
悶	ʔmaŋ1	
悸	tɕy5	
悻	ɦɛ4	
悼	dɜ6	
情	ziŋ2	
惆	dziu2	
驚	tɕiaŋ1	
惑	ɦʋai6	迷～
惑	ɦʋai8	疑～;迷～
惑	vai8	
惑	va8	
惓	dʑye2	
惕	tʰi7	
惘	mɔ4	
惙	tɕye7	
惚	hye7	
惜	si7	
惝	tʰɔ3	
惟	ɦy2	
惠	ɦy6	
惡	ʔo7	凶～
惡	ʔu5	可～；糞
懼	dʑy6	
惰	du4	
惱	nɜ4	
想	sie3	
惶	ɦɔ2	
惹	zi4	
惺	siŋ1	
惻	tsʰe7	
愀	tɕʰiɛ3	
愁	zau2	
愆	tɕʰie1	
愈	ɦy4	
愉	ɦy2	
愎	pi7	
意	ʔi5	
愕	ŋo8	
愚	ȵy4	
愚	ȵy2	
愛	ʔe5	
愜	ɕia5	～意
愜	tɕʰie7	
感	kø3	
愧	kʋʰai5	
愧	tɕy3	
愨	kʰo7	
愴	tsʰɔ1	
愴	tsʰɔ5	
愷	kʰe3	
愾	kʰe5	
願	ȵye6	
慈	zɿ2	
慊	tɕʰie3	
態	tʰe5	
慌	hɔ1	
慎	zaŋ6	
慕	mu6	
慕	mo6	
慘	tsʰø3	
慚	dza2	
慚	za2	
慝	tʰe7	
慟	dʊŋ6	
慠	ŋɜ6	
慢	ba6	
慢	ma6	
慣	kʋa5	
慧	ɦy6	
慨	kʰe5	
慪	ʔau5	
慫	sʊŋ3	
慫	ɕyɔ3	
慮	lʉ6	
慰	ʔy5	
慲	maŋ2	～记:忘记
慳	kʰa1	～吝
慵	jyʊŋ2	
慶	tɕʰiaŋ5	
慷	kʰɔ1	
慷	kʰɔ5	
憂	ʔjiau1	
憊	ba6	力～爻
憋	pie7	
憎	tsaŋ1	
憎	tsiŋ1	嫌～
憐	lie2	
憑	biŋ2	
憔	tɕiɛ1	
憔	jiɛ2	
憚	da6	
憤	vaŋ4	
憨	hø1	
憫	miŋ4	
憲	ɕie5	
憶	ʔi5	
憾	ɦø6	
懂	tʊŋ3	
懃	dʑiaŋ2	
懇	kʰaŋ3	
懈	ɦa6	
應	ʔjiaŋ1	～該
應	ʔjiaŋ5	反～
懊	ʔɜ5	
懋	mɜ6	
懌	jiai8	
懣	mø6	
懦	du4	
懦	nu6	
懲	dziŋ2	
懵	mʊŋ4	
懶	la4	
懷	va2	
懷	ɡʋa2	～底，懷裡
懸	ɕye1	白
懸	jye2	
懺	tsʰa5	
懼	dʑy6	
懾	si7	
懿	ji2	
懿	ji6	
戀	lie6	
戇	kʊŋ3	失去理性的猛烈行為
戈	ku1	
戊	mɜ6	
戌	ɕye7	
戍	ɕiɿ5	
戎	zʊŋ2	
戲	ɕiɿ5	～弄
成	ziŋ2	
我	ŋ4	
戒	ka5	
戕	ji2	
或	va8	
戚	tsʰi7	
戛	ka7	
戟	tɕiai7	
戡	kʰø1	
戤	ɡɜ6	豎起
戤	ɡe6	冒牌得利
戩	tsie3	
截	zie8	
戮	lu8	
戰	tsie5	
戲	ɕiɿ5	
戳	tɕʰyo7	
戴	ta5	
戴	te5	
戶	vu4	
戽	fu5	
戾	lai6	
房	vɔ2	
房	ɦɔ2	
所	so3	
扁	pie3	
扇	sie5	
扈	vu4	
扉	fi1	
手	siu3	
才	dze2	～新死爻
才	ze2	口～
扒	bo2	
打	tɛ3	
扔	ʔliŋ1	
托	tʰo7	
扛	kɔ1	
扡	tɕʰie1	
扣	kʰau5	
執	tsai7	
掃	sɜ5	
揚	jie2	
扭	ȵiau2	扭轉
扭	ȵiau4	纏住
扭	ʔȵiau1	～秧歌；擰
扮	pa5	
扯	tsʰi3	
擾	jiɛ4	
扳	pa1	
扶	vʉ2	
扶	vu2	
批	pʰi1	
扼	ʔa7	
找	tsɔ3	
承	ziŋ2	
技	dʑiɿ4	
抄	tsʰɔ1	
抉	tɕye7	
把	po3	
把	po5	～柄
抑	ʔjiai7	
抓	tsɔ1	
抔	bɜ2	
投	dau2	
抖	tau3	
抗	kʰɔ5	
折	tsie7	～叠
折	tɕi7	
折	zie8	折本
抛	pʰɔ1	
搶	tsʰie3	
護	ɦʋu6	
報	pɜ5	
披	pʰi1	
抬	de2	
抯	tso3	取、拿
抯	to3	拿取
抱	bɜ4	
抵	ti3	
抹	mø8	～药
押	ʔa7	
抽	tsʰiu1	
拃	tsa7	兩～闊
拄	tɕiɿ5	
擔	ta1	动词
擔	ta5	名词
拆	tsʰa7	
拇	mu4	
拈	ȵie2	
拉	la4	骡～
拉	ʔla1	
拊	fu3	
拋	pʰɔ1	
拌	pʰa5	丟；摔
拍	pʰa7	
拐	ka5	～騙
拒	dʑy4	
拓	tʰa7	～片
拓	tʰo7	
拔	bo8	
拖	tʰa1	
拖	tʰu1	
拗	ʔɔ3	～断
拗	ʔɔ5	不順從
拘	tɕy1	
拙	tɕye7	
拙	dʑye8	
拚	pʰø1	
招	tɕiɛ1	
拜	pa5	
擬	ŋ4	
攏	lʊŋ4	
揀	ka3	
攔	la2	
括	ko7	
拭	si7	
拮	tɕie7	
拯	tsiŋ3	
拱	kʊŋ3	
拱	tɕyɔ3	
拳	dʑye2	
拴	sø1	
拶	tsø7	
拷	kʰɜ3	
拼	pʰiŋ5	～命
拾	zai8	
拿	ȵia8	
拿	na8	
持	dzɿ2	
挂	ko5	
指	tsɿ3	
挈	tɕʰie7	
按	ʔye5	
挐	na8	
挑	tʰiɛ1	～唆
挑	tʰiɛ3	～选
挓	tso1	
挖	ʔʋa7	
挖	ʔo7	
擋	tɔ5	
挨	ʔa1	～磨: 转磨、拉磨
挪	du2	
挪	no2	
挫	tsʰo5	
振	tsaŋ5	
挱	so1	
挹	ʔjiai7	
挺	tʰiŋ3	
挼	nai2	
挽	ma4	
挽	va4	
挾	ɡa8	
挾	jie8	
捅	tʰʊŋ3	
捆	kʋʰaŋ3	
捉	tɕyo7	
捋	lai8	
捌	po7	
捎	so1	～马袋:褡裢
捎	sɔ1	
捏	ȵia8	
捐	tɕye1	
捕	bu6	
損	sø3	
換	ɦʋa6	
捧	pʰʊŋ3	
捩	lai6	～轉
捫	maŋ2	
捭	pa3	
据	tɕy5	
据	tɕy1	拮～
捱	ŋa6	～時間
捶	dʑiɿ2	
捷	zie8	
捺	na8	逼～
捼	ne2	挼，揉按
掀	ɕiaŋ1	
掂	tie1	
掃	sɜ5	
掄	laŋ2	
掇	tø7	
授	ziu6	
掉	diɛ6	～換
掉	diɛ4	～頭
掊	bɜ2	
掌	tsie3	
掏	dɜ2	
掏	dɜ6	
掐	kʰa7	
排	ba2	
掖	jiai8	
掗	ʔo5	強與
掘	dʑiai8	
掘	dʑye8	
掙	tsɛ1	～紮
掙	tsɛ5	～轉，掙扎著回轉
掛	ko5	
掠	liɛ8	
採	tsʰe3	
探	tʰø5	
接	tsie7	
控	kʰʊŋ5	
推	tʰai1	
掩	ʔie3	
措	tsʰo7	
掫	tsʰau3	暗中窥伺
掬	tɕiu7	
擄	lu4	
撣	ta3	
摜	ɡʋa6	扔
掽	bɛ6	轻触
揀	ka3	
揄	ɦy2	
揆	dʑy2	
揆	dʑy4	
揉	ziu2	
揍	tsau5	
揎	ɕye1	
描	biɛ2	
提	di2	
插	tsʰa7	
揖	ʔjiai7	
揚	jie2	
換	va6	
揜	ʔø3	
揞	ʔaŋ3	掩住
揠	ʔa7	
握	ʔo7	
揣	tsʰai3	～摩
揣	tɕʰye3	
揩	kʰa1	
揪	tɕiu1	
揫	tsiu1	
揭	tɕie7	
揮	fai1	
揮	ɕy1	
揰	tɕʰyɔ5	水流冲击、用水冲洗
援	jye2	
揹	pai1	
揾	ʔʋaŋ3	色彩不鮮
擱	ko7	
攪	kɔ3	
搉	kʰo7	
損	sø3	
搏	po7	
搑	zʊŋ4	推
搓	tsʰu1	
搓	tsʰo1	
搓	su1	
搔	sɜ1	
搕	kʰai7	
搖	jiɛ2	
搗	tɜ3	
搙	no8	扭傷
搜	sau1	
搝	tɕʰiau3	讨
搞	kɜ3	
搠	ɕyo7	
搡	sɔ3	
搣	mie8	～螺絲
搨	tʰa7	
搩	dʑie8	抱
搪	dɔ2	
搬	bø2	
搬	pø1	
搭	ta7	
搴	tɕʰie1	
搶	tsʰie3	
搽	dzo2	
摁	ʔø5	
摆	pa3	
摇	jiɛ2	
攤	tʰa1	
摔	sai7	
摘	tsa7	
摘	ti7	
摛	tsʰɿ1	
摜	ɡʋa6	扔
摞	lu6	盤繩子
摟	lau4	
摧	tsʰai1	
摧	dzai2	
摩	mʉ2	
摩	mo2	
摩	mu2	
摭	tsi7	
摯	tsɿ5	
摳	kʰau1	
摳	ɡau2	重刮
摳	ɡau6	輕刮
摶	dø2	
摸	mo8	
摺	tsie7	
摽	biɛ4	
撅	tɕye7	
撇	pʰie7	
撈	lɜ2	
撐	tsʰɛ1	
撑	tsʰɛ1	
撒	tsa7	～种
撒	sa5	
撒	sa7	～種
撓	nɔ2	
撓	nɔ4	
撔	vɛ4	竿於空中劃動
撕	sɿ1	
撙	tsø3	
撚	ȵia8	拿，持
撞	dʑyɔ2	
撞	dʑyɔ6	
撢	ta3	
撤	dzie8	
撥	pø7	
撩	liɛ2	
撫	fu3	
撬	dʑiɛ4	
播	pʉ5	
播	pu1	
播	pu5	
撮	tsʰai7	
撰	zø4	
撲	pʰø7	～去
撲	pʰo7	
撲	pʰu7	
撳	tɕʰiaŋ5	
撻	tʰa7	
撼	ha3	
撼	ɦø4	
撾	tsɔ1	～鼓
撾	ku1	
擀	kye3	
擁	ʔjyʊŋ3	
擂	lai2	～鼓
擂	lai6	～台
擅	zie6	
擇	dza8	
擊	tɕiai7	
擋	tɔ3	
擋	tɔ5	扶；拿
操	tsʰɜ5	
擎	dʑiaŋ2	
擐	va6	
擒	dʑiaŋ2	
擔	ta1	
擔	ta5	名詞
擘	pʰa5	用手分开或折断东西:把饼～开
擘	pa7	
擘	pʰa7	～開
據	tɕy5	
擠	tsi5	
擢	do8	撕，拔
擢	dʑyo8	
擦	tsʰa7	
擩	ʑiɿ4	
擬	ȵi4	
擯	piŋ5	
擱	ko7	
擱	ɡo8	船擱淺
擲	dzi8	擲骰子
擲	dʑie8	～鐵餅
