#漢字	音標	解釋
□	xɑ1	弯:~腰
捧	pʰoŋ3	
据	tɕy5	
捱	ŋai2	
捷	tɕʰie7	
捺	næ7	
掀	ɕyᴇ1	
掂	tiᴇ1	
授	səu5	
掉	tiau5	
掌	tsaŋ3	
掏	tʰau1	
掐	tɕʰiæ7	
排	pʰai2	
掘	tɕʰiʉ7	~地
掘	tɕiʉ7	挖~
掠	io7	
採	tsʰai3	
探	tʰan5	
接	tɕie7	
控	kʰoŋ5	
推	tʰuei1	
掩	iᴇ3	
措	tsʰu5	
掫	tsəu1	
掬	tɕiʉ7	
掮	tɕʰiᴇ2	
擲	tsɘ7	
撣	tan3	
摜	kuan5	
揉	zəu2	
描	miau2	
提	tʰi2	
插	tsʰæ7	
揖	ie7	
揞	ŋan5	
握	o7	
揣	tsʰuai1	~在怀里
揣	tsʰuai3	~摩
揩	kʰai1	
揪	tɕiəu1	
揭	tɕie7	
援	yᴇ2	
攬	nan3	
撳	tɕʰin5	
攙	tsʰan1	
擱	kə7	
摟	nəu3	~抱
摟	nəu3	~取
攪	tɕiau3	
搓	tsʰu1	
搛	tɕia1	
搜	səu1	
搞	kau3	
搡	saŋ3	
搧	san5	
搨	tʰæ7	
搬	pan1	
搭	tæ7	
攜	ɕi1	
搽	tsʰɑ2	
攝	sə7	
摆	pai3	
摇	iau2	
攤	tʰan1	
摔	suai1	
摘	tsæ7	
摞	nu5	
摧	tsʰuei1	
摩	mu2	
摸	mʉ7	
摹	mu2	
摺	tsə7	
撇	pʰie7	
撑	tsʰen1	
撒	sɑ3	
撕	sɿ1	
撙	tsen1	
撚	niᴇ3	
撞	tsuaŋ5	
撤	tsʰæ7	
撩	niau2	
撬	ŋau5	
播	pu5	
撮	tsʰʉ7	
撰	tsuan5	
撼	xan5	
擀	kan3	
擂	nei5	
操	tsʰau1	
擎	tɕʰin2	
擒	tɕʰin2	
擖	tɕʰiæ7	
擘	pæ7	
擦	tsʰæ7	
擩	zu2	
攀	pʰan1	
攢	tsan3	
攘	zaŋ3	
支	tsɿ1	
收	səu1	
改	kai3	
攻	koŋ1	
放	faŋ5	
政	tsen5	
故	ku5	
效	ɕiau5	
敵	tie7	
敏	min3	
救	tɕiəu5	
教	tɕiau5	
斂	niᴇ5	
敝	pi5	
敢	kan3	
散	san5	~会
散	san3	松~
敦	ten1	
敬	tɕin5	
數	su5	~目
數	su3	动词
敲	kʰau1	
整	tsen3	
敷	fu1	
文	uən2	
齋	tsai1	
斑	pan1	
斗	təu5	~争
斗	təu3	十升为~
料	niau5	
斛	fʉ7	
斜	ɕi2	
斟	tsen1	
斤	tɕin1	
斥	tsʰæ7	
斧	fu3	
斬	tsan3	
斷	tuan5	~绝
斷	tuan5	判~
斯	sɿ1	
新	ɕin1	
方	faŋ1	
施	sɿ1	~肥
施	sɿ1	布~
旁	pʰaŋ2	
旅	ny3	
旋	ɕyᴇ2	~转
旋	ɕyᴇ5	~吃~做
族	tsʰʉ7	
旗	tɕʰi2	
無	vu2	
既	tɕi5	
日	zɘ7	
旦	tan5	
舊	tɕiəu5	
旨	tsɿ3	
早	tsau3	
旬	ɕyn2	
旱	xan5	
時	sɿ2	
曠	kʰuaŋ5	
旺	uaŋ5	
昂	aŋ2	
昆	kʰuən1	
昌	tsʰaŋ1	
明	min2	
昏	xuən1	
易	i5	容~
易	i5	贸~
昔	ɕie7	
星	ɕin1	
映	in5	
春	tsʰuən1	
昧	mei5	
昨	tsʉ7	
昭	tsau1	
是	sɿ5	
晝	tsəu5	
顯	ɕiᴇ3	
晃	xuaŋ3	
晉	tɕin5	
晌	ɕiaŋ3	
晏	ŋan5	
曬	sai5	
曉	ɕiau3	
暈	yn5	
晚	uan3	
晦	xuei3	
晨	sen2	
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	
晶	tɕin1	
智	tsɿ5	
暫	tsan5	
暇	ɕia2	
暑	su3	
暖	nuan3	
暗	ŋan5	
暮	mu5	
暴	pau5	
曝	pau5	
曰	io7	
曲	tɕʰiʉ7	
更	ken5	~加
更	ken1	三~
曹	tsʰau2	
曾	tsʰen2	~经
曾	tsen1	姓
替	tʰi5	
最	tsuei5	
月	io7	
有	iəu3	
朋	pʰoŋ2	
服	fʉ7	
朔	su5	
朗	naŋ3	
望	uaŋ5	
朝	tsʰau2	~代
朝	tsau1	早上
期	tɕʰi1	
木	mʉ7	
未	uei5	
末	mʉ7	
本	pen3	
札	tsæ7	
朮	tsʰʉ7	
术	su5	
朱	tsu1	
朴	pʰʉ7	
朶	tu3	
機	tɕi1	
朽	ɕiəu3	
殺	sæ7	
雜	tsæ7	
權	tɕʰyᴇ2	
杆	kan1	
杈	tsʰɑ1	
杉	sɑ1	
杌	vʉ7	
李	ni3	
杏	ɕin5=	
杏	xen5	~儿
材	tsʰai2	
村	tsʰen1	
杖	tsaŋ5	
杜	tu5	
杞	tɕi3	
束	sʉ7	
杠	kaŋ5	同槓,粗棍
杠	kaŋ5	抬物用具
條	tʰiau2	
來	nai2	
楊	iaŋ2	
杭	xaŋ2	
杮	fei5	
杯	pei1	
杰	tɕie7	
杳	iau3	
杵	tsʰu3	
杷	pɑ1	
松	soŋ1	~树
松	soŋ1	轻~
板	pan3	
極	tɕie7	
構	kəu5	
枇	pʰi2	
枉	uaŋ3	
析	ɕie7	
枕	tsen3	~头
枕	tsen5	动词
林	nin2	
枚	mei2	
果	ku3	
枝	tsɿ1	
樞	su1	
棗	tsau3	
槍	tɕʰiaŋ1	
楓	foŋ1	
枯	kʰu1	
架	tɕia5	
柄	pin3	
柏	pæ7	
某	moŋ3	
柑	kan1	
染	zan3	
柔	zəu2	
柚	iəu5	
櫃	kuei5	
查	tsɑ1	姓
查	tsʰɑ2	检~
柩	tɕiəu5	
柬	tɕiᴇ3	
柱	tsu5	
柳	niəu3	
柴	tsʰai2	
柺	kuai3	
柿	sɿ5	
梔	tsɿ1	
栅	tsæ7	
標	piau1	
棧	tsan5	
棟	toŋ5	
欄	nan2	
樹	su5	
栗	nie7	
校	tɕiau5	~对
校	ɕiau5	上~
校	ɕiau5	学~
株	tsu1	
樣	iaŋ5	
核	xə7	~桃
核	xə7	审~
核	xə7	果子
根	ken1	
格	kə7	
栽	tsai1	
桂	kuei5	
桃	tʰau2	
桅	uei2	
框	kʰuaŋ1=	
案	ŋan5	
桌	tsʉ7	
桐	tʰoŋ2	
桑	saŋ1	
桓	xuan2	
椏	ia1	
橈	zau2	
檔	taŋ3	
橋	tʰiᴇ1	
橋	tɕʰiau2	
樺	xɑ2	
檜	kʰuai5	
槳	tɕiaŋ3	
樁	tsuaŋ1	
桶	tʰoŋ3	
梁	niaŋ2	
梅	mei2	
梓	tsɿ3	
梗	ken3	
梢	ɕiau1	
梧	vu2	
梨	ni2	
梭	su1	
梯	tʰi1	
械	tɕie5	
梳	su1	
梵	fan5	
檢	tɕiᴇ3	
棉	miᴇ2	
棋	tɕʰi2	
棍	kuən5	
棒	paŋ5	
棕	tsoŋ1	
棘	tɕie7	
棚	pʰoŋ2	
棠	tʰaŋ2	
森	sen1	
棱	nen2	
棲	ɕi1	
棵	kʰu3	
棺	kuan1	
椅	i3	
植	tsɘ7	
椒	tɕiau1	
椰	i1	
椽	tsʰuan2	
椿	tsʰuən1	
楔	ɕie7	
楚	tsʰu3	
楝	niᴇ5	
楣	mei2	
楣	mi2	
楦	ɕyᴇ1	
楷	kʰai3	
樓	nəu2	
概	kʰai5	
欖	nan3	
榆	y2	
榛	tsen1	
榜	paŋ3	
榨	tsɑ5	
榫	sen3	
榴	niəu2	
榻	tʰæ7	
槌	tsʰuei2	
槐	xuai2	
檻	kʰan3	
檳	pin1	
槽	tsʰau2	
樟	tsaŋ1	
模	mu2	~型
模	mu2	~范
橫	xuən2	~直
橫	xuən2	蛮
櫻	in1=	~花
樵	tɕʰiau2	
橄	kan3	
橙	tsʰen2	~子
橙	tsʰen2	甜~
橛	tɕiʉ7	
橢	tʰu3	
櫥	tsʰu2	
櫓	nu3	
檀	tʰan2	
檐	iᴇ2	
檁	nin3	
欠	tɕʰiᴇ5	
次	tsʰɿ5	
歡	xuan1	
欣	ɕin1	
歐	ŋəu1	
欲	io7	~速则不达
欲	io7	~望
欺	tɕʰi1	
款	kʰuan3	
歇	ɕie7	
歉	tɕʰiᴇ5	
歌	ku1	
止	tsɿ3	
正	tsen5	~月
正	tsen5	~直
此	tsʰɿ3	
步	pu5	
武	vu3	
歪	uai1	
死	sɿ3	
殲	tɕiᴇ1	
殃	iaŋ1	
殆	tai5	
殉	ɕyn5	
殊	su1	
殘	tsʰan2	
殮	niᴇ5	
殕	fu3	
殖	tsɘ7	
殯	pin5	
毆	ŋəu3	
段	tuan5	
殷	in1	
殿	tiᴇ5	
毁	xuei3	
毅	i5	
母	mu3	
每	mei3	
毒	tʉ7	
比	pi3	
畢	pie7	
斃	pi5	
毛	mau2	
毡	tsan1	
毫	xau2	
毯	tʰan3	
毽	tɕiᴇ5	
氏	sɿ5	
民	min2	
氓	maŋ2	
气	tɕʰi5	
水	suei3	
永	ioŋ3	
汁	tsɘ7	
求	tɕʰiəu2	
汆	tsʰuan1	
汇	xuei5	~报
汇	xuei5	总
漢	xan5	
汗	xan5	
汝	zu3	
汞	koŋ3	
江	tɕiaŋ1	
池	tsʰɿ2	
污	vu1	
湯	tʰaŋ1	
汪	uaŋ1	
汽	tɕʰi5	
沃	o7	
沈	sen3	
沉	tsʰen2	
沌	ten5	
沐	mʉ7	
沓	tʰæ7	
沙	sɑ1	
沛	pʰei5	
溝	kəu1	
没	mʉ7	
漚	ŋəu5	
淪	nen2	
滬	fu5	
沫	mʉ7	
河	xu2	
沸	fei5	
油	iəu2	
治	tsɿ5	
沼	tsau3	
沾	tsan1	
沿	yᴇ2-	
泄	ɕie7	
泅	ɕiəu2	
泉	tɕʰyᴇ2	
泊	pʰæ7	停~
泊	pʰæ7	梁山~
泌	mie5	
泔	kan1	
法	fæ7	
泛	fan5	
泡	pʰau5	~茶
泡	pʰau5	水
波	pʰu1	
泣	tɕʰie7	
泥	ni2	
注	tsu5	
淚	nuei5	
泰	tʰai5	
泳	yn5	
瀉	ɕi5	
潑	pʰʉ7	
澤	tsʰæ7	
潔	tɕie7	
洇	in1	
洋	iaŋ2	
洒	sɑ3	
洗	ɕi3	
洛	nʉ7	
洞	toŋ5	
津	tɕin1	
洪	xoŋ2	
洲	tsəu1	
活	xʉ7	
洼	ɑ1	
洽	tɕʰiæ7	
派	pʰai5	
流	niəu2	
淺	tɕʰiᴇ3	
漿	tɕiaŋ1	
澆	tɕiau1	
濁	tsʉ7	
測	tsʰæ7	
濟	tɕi5	
渾	xuən1	
滸	fu3	
濃	noŋ2	
浙	tsæ7	
浚	tɕyn5	
浜	paŋ1	
浦	pʰu3	
浩	xau5	
浪	naŋ5	
浮	fu2	
浴	io7	
海	xai3	
浸	tɕʰin5	
涂	tʰu2	
消	ɕiau1	
涉	sə7	
涌	ioŋ3	
涎	ɕiᴇ2	
涕	tʰi5	
濤	tʰau1	
澇	nau2	
滌	tie7	
潤	zuən5	
澗	tɕiᴇ5	
漲	tsaŋ3	
澀	sə7	
涮	suan5	
涯	ia2	
液	i5	
涴	u5	
淀	tiᴇ5	
淄	tsɿ1	
淆	ɕiau2	
淋	nin2	
淑	sʉ7	
淘	tʰau2	
淡	tan5	
淫	in2	
淮	xuai2	
深	sen1	
混	xuən5	
淹	iᴇ1=	
添	tʰiᴇ1	
清	tɕʰin1	
淵	yᴇ1	
漸	tɕiᴇ5	
漁	y2	
滲	sen5	
渠	tɕʰy5	
渡	tu5	
渣	tsɑ1	
溫	uən1	
港	kaŋ3	
渴	kʰə7	
游	iəu2	
渺	miau3	
湖	fu2	
湘	ɕiaŋ1	
灣	uan1	
溼	sɘ7	
潰	kʰuei5	
濺	tɕiᴇ5	
溉	kʰai5	
源	yᴇ2	
溜	niəu1	
溪	tɕʰi1-	
溶	ioŋ2	
溺	nie7	
溻	tʰæ7	
滂	pʰaŋ2	
滋	tsɿ1	
滑	xua7	
滓	tsɿ3	
滔	tʰau1	
潷	pie7	
滚	kuən3	
滯	tsɿ5	
滿	pʰan3	
濾	ny5=	
濫	nan5	
濱	pin1	
灘	tʰan1	
滴	tie7	
漂	pʰiau1	
漂	pʰiau5	~白
漂	pʰiau5	~亮
漆	tɕʰie7	
漏	nəu5	
演	iᴇ3	
漫	pʰan5	
漱	su5	
潘	pʰan1	
潛	tɕʰiᴇ2	
潭	tʰan2	
潮	tsʰau2	
潲	sau5	~雨
潲	sau5	猪食
澄	tsʰen2	~清
澄	ten5	~清
澈	tsʰæ7	
澡	tsau3	
澳	ŋau5	
激	tɕie7	
瀑	pʰʉ7	
瀙	tɕʰin5	
灌	kuan5	
灒	tsan5	
火	xu3	
滅	mie7	
燈	ten1	
灰	xuei1	
靈	nin2	
竈	tsau5	
灸	tɕiəu1	
災	tsai1	
燦	tsʰan5	
爐	nu2	
炊	tsʰuei1	
炎	iᴇ1	
炒	tsʰau3	
炕	kʰaŋ5	
炙	tsɘ7	
炭	tʰan5	
炮	pʰau5	
炸	tsɑ5	把食物放入汤或煮沸的油里弄熟
炸	tsɑ5	轰
點	tiᴇ3	
煉	niᴇ5	
爛	nan5	
烈	nie7	
烘	xoŋ1	
烙	nʉ7	
燭	tsʉ7	
烟	iᴇ1	
烤	kʰau3	
煩	fan2	
燒	sau1	
燙	tʰaŋ5	
熱	zæ7	
烹	pʰoŋ1	
焊	xan5	
煥	xuan5	
焙	pei5	
焚	fen2	
焦	tɕiau1	
焰	iᴇ5	
然	zan2	
煎	tɕiᴇ1	
煤	mei2	
照	tsau5	
煨	uei1	
煮	tsu3	
熄	ɕie7	
熊	ɕioŋ2	
熏	ɕyn1	~陶
熏	ɕyn1	烟~
熔	ioŋ2	
熙	ɕi1	
熟	sʉ7	
熨	yn5	
熬	ŋau2	
熯	xan5	
燃	zan2	
燎	niau2	~原
燎	niau2	火~眉毛
燕	iᴇ5	~子
燕	iᴇ5	姓
燥	tsʰau5	
爆	pau5	
爊	ŋau1	
爪	tsau3	
爬	pɑ1-	
爬	pʰɑ2=	
愛	ŋai5	
父	fu5	
爺	i2	
爸	pɑ2	
爹	ti1	
爽	saŋ3	
片	pʰiᴇ5	
版	pan3	
牌	pʰai2	
牘	tʉ7	
牒	tie7	
牙	ia2	
牚	tsʰen5	
牛	niəu2	
牡	mu3	
牢	nau2	
物	o7	
牯	ku3	
牲	sen1	
牽	tɕʰiᴇ1	
牸	tsɿ5	
特	tʰæ7	
犧	ɕi1	
犀	ɕi1	
犂	ni2	
犢	tʉ7	
犍	tɕʰiᴇ2	~为县
犍	tɕʰiᴇ2	阉割过的牛
犒	kʰau5	
犬	tɕʰyᴇ3	
犯	fan5	
狀	tsuaŋ5	
猶	iəu2	
狂	kʰuaŋ2	
狄	tie7	
狽	pei5	
狐	fu2	
狗	kəu3	
狡	tɕiau3	
獨	tʉ7	
狹	ɕiæ7	
獅	sɿ1	
獄	io7	
狸	ni2	
狼	naŋ2	
獵	nie7	
猛	moŋ3	
猜	tsʰai1	
猝	tsʰʉ7	
猩	ɕin1	
豬	tsu1	
猫	mau1	一种动物
猫	mau1	花~
蝟	uei5	
獻	ɕiᴇ5	
猴	xəu2	
猾	xua7	
猿	yᴇ2	
獺	tʰæ7	
玄	ɕyᴇ2	
率	sʉ7	~领
率	sʉ7	效~
玉	y5	
王	uaŋ2	姓
玩	uan2	
玫	mei2	
環	xuan2	
現	ɕiᴇ5	
璽	ɕi3	
玻	pʰu1	
珊	san1	
珍	tsen1	
珠	tsu1	
班	pan1	
球	tɕʰiəu2	
理	ni3	
琉	niəu2	
瑣	su3	
琢	tsua7	
琴	tɕʰin2	
琵	pʰi2	
琶	pʰɑ2	
瓊	tɕʰyn2	
瑕	ɕia2	
瑞	suei5-	
瑞	zuei5=	
瑟	sə7	
瑰	kuei1	
璃	ni2	
瓔	in1	
璧	pie7	
瓜	kɑ1	
瓠	fu5	
瓢	pʰiau2	
瓣	pan5	
瓤	zaŋ2	
瓦	ɑ3	动词,~砖
瓦	ɑ3	名词,~片
瓮	oŋ5	
瓶	pʰin2	
瓷	tsʰɿ2	
甑	tsen5	
甘	kan1	
甚	sen5	
甜	tʰiᴇ2	
生	sen1	
甥	sen1	
用	ioŋ5	
甫	fu3	
田	tʰiᴇ2	
由	iəu2	
甲	tɕiæ7	
申	sen1	
電	tiᴇ5	
男	nan2	
畫	xɑ5	
暢	tsʰaŋ5	
界	tɕie5	
畏	uei5	
畔	pʰan5	
留	niəu2	
畜	tsʰʉ7	~牲
畜	ɕiʉ7	牧
略	io7	
畦	tɕʰi2	
番	fan1	
異	i5	
畲	sei1	
疆	tɕiaŋ1	
疏	su1	亲~
疏	su1	注~
疑	ni2	
疔	tin1	
癤	tɕie7	
療	niau2	
疝	suan5	
瘧	io7	
瘍	iaŋ2	
疤	pɑ1	
疥	tɕiɛi5	
疫	ie7	
瘡	tsʰaŋ1	
瘋	foŋ1	
疲	pʰi2	
疵	tsʰɿ2	
疸	tan3	
疹	tsen3	
疾	tɕie7	
痂	tɕia1	
病	pin5	
症	tsen5	
癰	ioŋ1	
痒	iaŋ3	
痔	tsɿ5	
痕	xen2	
痘	təu5	
痛	tʰoŋ5	
痞	pʰi3	
痢	ni5	
痣	tsɿ5	
痧	sɑ1	
癆	nau2	
痰	tʰan2	
痱	fei5	
痳	mɑ2	
癡	tsʰɿ1	
痹	pʰi5	
瘌	nai5	
瘟	uən1	
瘦	səu5	
癟	pie7	
癱	tʰan1	
瘰	nu3	
瘴	tsaŋ5	
瘸	tɕʰiʉ7	
癮	in3	
癖	pʰie7	
癩	nai5	
癬	ɕyᴇ3	
癲	tiᴇ1	
癸	kʰuei2	
登	ten1	
白	pæ7	
百	pæ7	
皂	tsau5	
的	tie7	
皆	tɕiɛi1	
皇	xuaŋ2	
皖	uan3	
皮	pʰi2	
皺	tsoŋ5-	
皿	min3	
盂	y2	
盅	tsoŋ1	
盆	pʰen2	
盈	in2	
益	ie7	
鹽	iᴇ5	动词,腌制
鹽	iᴇ2	调味品
監	tɕiᴇ1	~视
監	tɕiᴇ5	国子~
盒	xə7	
盔	kʰuei1	
盖	kai5	
盜	tau5	
盤	pʰan2	
盛	tsʰen2	~饭
盛	sen5	兴~
盟	moŋ2	
盪	taŋ5	
盲	maŋ2	
直	tsɘ7	
相	ɕiaŋ5	~貌
相	ɕiaŋ1	互~
盼	pʰan5	
盾	ten5	~牌
盾	ten5	矛~
省	sen3	
眉	mei2	
眉	mi2	
看	kʰan5	~守
看	kʰan5	~见
瞘	kʰəu1	
眚	sen3	
真	tsen1	
眠	miᴇ2	
眨	tsɑ2	
眩	ɕyᴇ5	
眵	sɿ3	
眶	kʰuaŋ1=	
眷	tɕyᴇ5	
眼	iᴇ3	
着	tsʉ7	~衣裳
着	tsʉ7	~地
睜	tsʰen1	
睏	kʰuən5	
睛	tɕin1	
睡	suei5	
督	tʉ7	
睬	tsʰai3	
瞅	tɕʰiʉ7	
瞎	ɕiæ7	
瞞	pʰan2	
瞖	i5	
瞧	tɕʰiau2	
瞳	tʰoŋ2	
瞻	tsan1	
瞿	tɕʰy2	
矛	mau2	
矢	sɿ3	
矣	i3	
知	tsɿ1	
矩	tɕy3	
矯	tɕiau3	
矬	tsʰu5	
短	tuan3	
矮	ŋai3	
石	sɘ7	
礬	fan2	
礦	kʰuaŋ5	
碼	mɑ3	
砂	sɑ1	
砌	tɕʰi5	
砍	kʰan3	
砑	ia5	
研	iᴇ1	
磚	tsuan1	
硯	niᴇ5	
砧	tsan1	
破	pʰu5	
礱	noŋ2	
礎	tsʰu3	
硃	tsu1	
碩	sʉ7	
硝	ɕiau1	
硫	niəu2	
硬	ŋen5	
確	tɕʰiʉ7	
礙	ŋai5	
碎	tsʰuei5	
碑	pei1	
碓	tuei5	
碗	uan3	
碟	tie7	
碧	pie7	
碰	pʰoŋ5	
鹼	tɕiᴇ3	
碾	niᴇ3	
磁	tsʰɿ2	
磉	saŋ3	
磑	ŋai2	
磕	kʰə7	
磨	mu2	
磨	mu5	
磷	nin2	
示	sɿ5	
禮	ni3	
社	sei5	
祀	sɿ5	
祁	tɕʰi2	
祈	tɕʰi3	
祖	tsu3	
祝	tsʉ7	
神	sen2	
祠	tsʰɿ2	
祥	ɕiaŋ2	
票	pʰiau5	
祭	tɕi5	
禱	tʰau3	
禍	xu5	
稟	pin3	
禁	tɕin5	~不住
禁	tɕin5	~止
祿	nʉ7	
禪	tsʰan2	~师
禪	san5	~让
福	fʉ7	
禧	ɕi3	
禹	y2	
离	ni2	~别
离	ni2	分~
禽	tɕʰin2	
禾	xo2	
秀	ɕiəu5	
私	sɿ1	
秃	tʰʉ7	
稈	kan3	
秉	pin3	
秋	tɕʰiəu1	~天
秋	tɕʰiəu1	~千
種	tsoŋ3	~类
種	tsoŋ3	~田
科	kʰu1	
秒	miau3	
秕	pi5	
秘	mie5	
租	tsu1	
秤	tsʰen5	
秦	tɕʰin2	
秧	iaŋ1	
秩	tsʰæ7	
積	tɕie7	
稱	tsʰen1	~呼
稱	tsʰen5	~心
移	i2	
穢	xuei5	
稀	ɕi1	
程	tsʰen2	
稍	sau1	
税	suei5	
稗	pai5	
稚	tsɿ5	
稠	tsʰəu2	
穩	uən3	
稻	tau5	
稼	tɕia1	
稽	tɕʰi1	
稿	kau3	
穄	tɕi5	
穗	xuei5	
穴	ɕie7	
究	tɕiəu5	
窮	tɕʰioŋ2	
空	kʰoŋ1	天~
空	kʰoŋ5	有~
穿	tsʰuan1	
突	tʰʉ7	
竊	tɕʰie7	
窄	tsæ7	
竅	tɕʰiau5	
窯	iau2	
窖	kau5	
窗	tsʰaŋ1	
竄	tsʰuan5	
窩	u1	
窟	kʰʉ7	
窠	kʰu1	
窺	kʰuei1	
窨	in1	
窿	noŋ2	
立	nie7	
豎	su5	
站	tsan5	~立
站	tsan5	车~
競	tɕin5	
竟	tɕin5	
章	tsaŋ1	
童	tʰoŋ2	
竭	tɕie7	
端	tuan1	
竹	tsʉ7	
竿	kan1	
篤	tʉ7	
笆	pɑ1	
笊	tsau3	
笋	sen3	
笑	ɕiau5	
筆	pie7	
筧	tɕiᴇ3	
笙	sen1	
笛	tie7	
笠	nie7	
笡	tsʰei1	
符	fu2	
笨	pen5	
第	ti5	
箋	tɕʰiᴇ1	
籠	noŋ2	
筅	ɕiᴇ3	
等	ten3	
筋	tɕin1	
筏	fæ7	
筐	tɕʰiaŋ1-	
筐	kʰuaŋ1=	
筑	tsʉ7	
筒	tʰoŋ2	
答	tæ7	
策	tsʰæ7	
篩	sai1	~选
篩	sai1	谷~
箏	tsen1	
筲	sau1	
筵	iᴇ5	
筷	kʰuai5	
籌	tsʰəu2	
签	tɕʰiᴇ1	~字
签	tɕʰiᴇ1	竹~
簡	tɕiᴇ3	
箅	pi5	
箍	kʰu1	
箕	tɕi1	
算	suan5	
管	kuan3	
籮	nu2	
簫	ɕiau1	
箬	zʉ7	
箭	tɕiᴇ5	
箱	ɕiaŋ1	
箸	tsu5	
篆	tsuan5	
篇	pʰiᴇ1	
簍	nəu3	
篙	kau1	
篡	tsʰuan5	
篦	pi5	
籃	nan2	
籬	ni2	
篷	pʰoŋ2	
篾	mie7	竹~
簟	tiᴇ5	
簧	xuaŋ2	
簪	tsan1	
簸	pu3	~一~
簸	pu3	~箕
簿	pu5	
籍	tɕie7	
米	mi3	
糴	tie7	
類	nuei5	
粉	fen3	
粒	nie7	
粗	tsʰu1	
粘	tsan1	
糶	tʰiau5	
粟	sʉ7	
粤	io7	
粥	tsʉ7	
糞	fen5	
糧	niaŋ2	
粱	niaŋ2	
粳	ken1	
粹	tsʰuei5	
糉	tsoŋ5	
精	tɕin1	
糊	fu2	
糍	tsʰɿ2	
糕	kau1	
糖	tʰaŋ2	
糙	tsʰau5	
糜	mi2	
糟	tsau1	
糠	kʰaŋ1	
糯	nu2	
系	ɕi5	~鞋带
系	ɕi5	中文~
系	ɕi5	连~
紅	xoŋ2	
素	su5	
索	sʉ7	
緊	tɕin3	
紫	tsɿ3	
累	nei5	
累	nuei3	积~
累	nuei5	连~
絮	suei5-	
絮	ɕy2	
繁	fan2	
纂	tsuan3	
糾	tɕiəu1	~缠
糾	tɕiəu1	~正
紂	tsəu5	
纤	tɕʰiᴇ1	~维
纤	tɕʰiᴇ1	拉~
約	io7	
級	tɕie7	
紈	uan2	
紀	tɕi5	
緯	uei3	
純	suən2	
紗	sɑ1	
綱	kaŋ1	
納	næ7	
紝	zen5	
縱	tsoŋ5	~横
縱	tsoŋ5	放~
紛	fen1	
紙	tsɿ3	
紋	uən2	
紡	faŋ3	~纱
紐	niəu3	
線	ɕiᴇ5	
練	niᴇ5	
組	tsu3	
細	ɕi5	
織	tsɘ7	
終	tsoŋ1	
縐	tsəu1	
絆	pan5	
紹	sau5	
經	tɕin1	~线
經	tɕin1	念
綁	paŋ3	
絨	zoŋ2	
結	tɕie7	
繞	zau3	~线
繞	zau3	围~
繪	xuei5	
給	tɕie7	
絡	nʉ7	
絶	tɕiʉ7	
絞	tɕiau3	
統	tʰoŋ3	
絹	tɕyᴇ1	
繡	ɕiəu5	
綏	ɕy1	
繼	tɕi5	
績	tɕie7	
緒	ɕy2	
續	sʉ7	继~
續	sʉ7	连~
綽	tsʰʉ7	
繩	suən2	
維	uei2	
綿	miᴇ2	
繃	pen1	捆缚
繃	poŋ1	衣服紧
綢	tsʰəu2	
綜	tsoŋ1	
綻	tsan5	
綠	nʉ7	
綴	tsuei5	
緬	miᴇ3	
纜	nan3	
緝	tɕie7	
緞	tuan5	
緩	xuan3	
縷	nəu2	
編	piᴇ1	
緣	yᴇ2	
縛	fʉ7	
縫	foŋ2	~衣服
縫	foŋ5	一条~
纏	tsʰan2	
縊	i5	
縮	sʉ7	
繮	tɕiaŋ1	
繰	sau1	
繳	tɕiau3	
缸	kaŋ1	
缺	tɕʰiʉ7	
罐	kuan5	
网	uaŋ3	
罕	xan3	
羅	nu2	
罰	fæ7	
罷	pɑ5	
罩	tsau5	
罪	tsuei5	
置	tsɿ5	
署	su3	
羈	tɕi1	
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mei3	
羔	kau1	
羞	ɕiəu1	
羡	ɕiᴇ5	
群	tɕʰyn2	
羹	ken1	
羽	y3	
翁	oŋ1	
翅	tsɿ5-	
翎	nin2	
翔	ɕiaŋ2	
翹	tɕʰiau5	
翠	tsʰuei5	
翡	fei3	
翰	xan5	
翻	fan1	
翼	i5	
耀	iau5	
老	nau3	
考	kʰau3	
者	tsei3	
而	ɚ2	
耍	sɑ3	
耐	nai5	
耕	ken1	
耗	xau5	
耘	yn2	
耙	pʰɑ2	
耳	ɚ3	
耶	ie1	
耻	tsʰɿ3	
耽	tan1	
耿	ken3	
聶	nie7	
聊	niau2	
聾	noŋ1	
職	tsɘ7	
聒	kue7-	
聯	niᴇ2	
聘	pʰin5	
聚	tɕy5	
聰	tsʰoŋ1	
肅	sʉ7	
肄	i5	
肆	sɿ5	
肉	zʉ7-	
肉	zəu5=	
肋	næ7	
肌	tɕi1	
肖	ɕiau1	
肘	tsəu3	
肚	tu5	~子
肚	tu3	猪~
肛	kaŋ1	
肝	kan1	
腸	tsʰaŋ2	
股	ku3	
肢	tsɿ1	
膚	fu1	
肥	fei2	
肩	tɕiᴇ1	
肪	faŋ2	
肫	tuən1	
骯	ŋaŋ1	
肯	kʰen3	
育	io7	
肴	iau2	
肺	fei5	
腎	sen5	
腫	tsoŋ3	
脹	tsaŋ5	
脅	ɕie7	
胃	uei5	
膽	tan3	
背	pei5	~书
背	pei5	后~
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰei1	
胛	tɕiæ7	
勝	sen5	~任
勝	sen5	~败
胞	pau1	
