#漢字	音標	解釋#('hak_whhb', '五華橫陂客家話', '五華橫陂', '#8B0000', None, None, '來源：魏宇文《五華方言同音字彙》，<u>阿纓</u>提供，<u>osfans</u>校對', '44 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,31 3 2 上 ꜂,,53 5 3 去 ꜄,,1 7 4a 陰入 ꜆,5 8 4b 陽入 ꜇', None, None)
光	koŋ1	
克	kʰet7	
兌	tʰui3	～换
免	men1	
兒	i2	
兔	tʰu5	
兜	teu1	
入	ŋip8	
內	nui5	
全	tsʰen2	
兩	lioŋ1	斤～
兩	lioŋ3	～只
八	pat7	
公	kuŋ1	
六	liuk7	
共	kʰiuŋ3	
兵	pun1	
其	kʰi2	
具	kʰi5	
典	ten3	
兼	kiam1	
冇	pʰaŋ5	～話，大話
冉	ŋiam3	
冊	tsʰak7	
再	tsai5	
冒	mau3	
冠	kon1	
冠	kon5	～軍
冤	ien1	
冬	tuŋ1	
冰	pen1	
冷	laŋ1	
准	tʂun3	
凍	tuŋ5	
凝	ŋin2	～固
凡	fam2	
凱	kʰai3	
凳	ten5	
凶	hiuŋ1	
函	ham2	
刀	tau1	
刁	tiau1	
刃	ŋiun3	
分	fun1	～開
切	tsʰet7	
刈	i5	
刊	kʰan1	
刎	fut8	
刑	ʂin2	
列	let8	
初	tsʰo1	
判	pʰan5	
別	pʰet8	
刨	pʰau2	
刨	pʰau5	
利	li3	
刪	san1	
刮	kat7	
到	tau5	
制	tʂi5	
刷	sot7	
券	kʰen5	
刻	kʰet7	
剃	tʰai5	
則	tset7	
削	siok7	
前	tsʰen2	
剔	tʰit7	
剖	pʰeu3	
剛	koŋ1	
剜	van1	
剝	pok7	
剩	ʂin5	
剪	tsen3	
剮	ka3	刀～
副	fu5	
割	kot7	
創	tsʰoŋ3	
剿	tsiau3	
劃	vak8	
劄	tsat7	
劇	kʰiak7	戲～
劈	pʰiak7	
劉	liu2	
劊	kʰai5	
劍	kiam5	
劑	tsi5	
力	lit8	
功	kuŋ1	
加	ka1	
劣	lot7	
助	tsʰɿ3	
努	nu3	
劫	kiap7	搶～
勁	kin5	
勃	pʰut8	
勇	iuŋ3	
勉	men1	
勒	let8	
動	tʰuŋ3	
勘	kʰam5	
務	vu5	
勛	hiun1	
