#漢字	音標	解釋
㔶	kaŋ3	盖子
長	tɔŋ2	生~
長	tɔŋ2	身无~物
門	muɔŋ2	
問	muɔŋ5	
問	uŋ5	
閏	yŋ6	
闲	eŋ2	
間	kaŋ1	房~
間	kɛŋ1	
悶	muŋ6	
鬮	kʰieu1	
閲	yɛʔ8	
闊	kʰuaʔ7	
隊	tue2	
陽	iɔŋ2	
陣	tieŋ6	
阻	tsu3	
阿	a1	~胶
際	tɕiɛ5	
陳	tieŋ2	
降	hɔŋ2	投~
限	hɛŋ6	
陝	ɕiɛŋ3	
院	yɛŋ6	
除	ty2	
隱	ieŋ3	
隔	ka5	
隶	tiɛ6	
難	naŋ2	形
雀	tɕʰiɛʔ7	麻~
雄	ɕiuŋ2	
雌	tsʰu1	
雕	tɛu1	
雨	huɔ6	
雨	huə6	
雪	ɕyɛʔ7	
雲	huŋ2	
雷	lɔi2	
雹	pɔʔ8	
霧	muɔ6	
需	ɕy1	
霜	sɔŋ1	
露	lu5	
青	tsʰaŋ1	
靜	tɕieŋ6	
靠	kʰɔ3	
面	mieŋ5	脸
革	kɛʔ7	
鞋	e2	
鞭	piɛŋ1	
音	ieŋ1	
頁	ɕiaʔ8	
頂	tieŋ3	
項	hɔŋ6	
順	ɕyŋ6	
须	ɕy1	
頓	tyŋ5	
領	liaŋ2	
題	te2	
顔	ŋaŋ2	
額	ȵia2	
風	huŋ1	
飛	pɔi1	
飛	hue1	
食	seʔ8	
食	ɕia6	吃
饥	ki1	饿
飩	tyŋ5	
飽	pau3	
飼	tsʰi5	喂养
餅	piaŋ3	
餓	ŋɔ6	
餿	tʰɛu1	
香	ɕiɔŋ1	
馬	ma3	
馱	tɔ2	拿
駁	pɔʔ7	
驕	kiɛu1	
驗	ȵiɛŋ6	
騎	kʰi2	
骨	kuʔ7	
骹	kʰa1	
高	kau1	
髮	puɔʔ7	头~
鬼	kue3	
魂	huɔŋ2	
魄	pʰɛʔ7	
魚	ȵy2	
鱉	piɛʔ7	
鱔	ɕiɛŋ6	
鳥	tɛu3	
雞	kiɛ1	
鴨	aʔ7	
鴿	kaʔ7	
鵝	ŋɔ2	
鷂	iɛu6	
鶴	ŋɔʔ8	
鸚	ieŋ1	
鷹	ieŋ1	
鹹	kɛŋ2	~淡
鹿	lɛʔ8	
麝	ɕia6	
麥	ma6	
麵	miɛŋ6	
麩	pʰɔi1	
麻	mua2	
黃	uɔŋ2	
黑	hɛʔ7	
鼠	tɕʰy3	
鼻	pʰi5	
齊	tse2	
齒	kʰi3	
龍	luŋ2	
龜	kue1	
𥭘	tʰai1	原文记作筛
