#漢字	音標	解釋
□	iai2	俗称发生性关系
樣	iaŋ6	
核	hə2	~对，审~
核	hai7	~桃
根	kai1	又读
根	kəŋ1	又读
格	ka7	
桂	kuei5	
桃	tau2	
案	ã5	
桌	tsuo7	
桐	təŋ2	
桑	saŋ1	
橋	tʃiau2	
樺	hua2	
槳	tʃiaŋ3	
樁	tsuaŋ1	
桶	tʰəŋ3	
梁	niaŋ2	
梅	mei2	
梓	tsɿ3	
梢	sau1	
夢	məŋ6	
梧	u2	
梨	ni2	
梭	suo1	
梯	tʰi1	
械	ka5	
梳	su1	
檢	tʃiẽ3	
棉	miẽ2	
棋	tʃi2	下~
棋	tʃʰi2	下~
棍	kuəŋ5	
棒	paŋ6	
棕	tsəŋ1	
棚	pəŋ2	
棠	taŋ2	
森	səŋ1	
棺	kuã1	
椅	i3	
植	tsɿ2	
椒	tʃiau1	
橢	tʰuo3	
椿	tʃʰyŋ1	
楚	tsʰu3	
楝	niẽ3	
楷	kʰai7	
樓	na2	
概	kai5	
欖	nã3	
榜	paŋ3	
榨	tsuo5	
榴	niou2	
槌	tsuei1	
槐	hua2	
檳	pin1	
槽	tsau2	
樟	tsaŋ1	
模	mu2	~子
模	muo2	~范
橫	fəŋ2	
橄	kã3	
橘	ky7	
橙	tsəŋ2	
橙	tsəŋ2	~子
橡	ʃiaŋ5	
櫓	nu3	
檀	tã2	
檐	iẽ2	
欠	tʃʰiẽ5	
次	tsʰɿ5	
歡	fã1	
欣	ʃin1	
歐	ou1	
欺	tʃʰi1	
款	kʰuã3	
歇	ʃie2	又读
歇	ʃie7	又读
歉	tʃʰiẽ5	
歌	kuo1	
止	tsɿ3	
正	tsai1	~月
正	tsai5	~反
此	tsʰɿ3	
步	pu6	
武	u3	~器
武	ŋ̍3	~汉
歪	ua1	
死	sɿ3	
殲	tʃiẽ1	
殃	iaŋ1	
殉	ʃyŋ5	
殊	su2	
殘	tsã2	
殖	tsɿ2	
殯	pin1	
毆	ou1	
段	tuã6	
殷	in1	
殿	tiẽ6	
毁	fei3	
毅	i5	
母	mu3	
每	mei3	
毒	tou2	单念
毒	tu2	病~
比	pi3	
畢	pi6	
斃	pi6	
毛	mau2	
毫	hau2	
毯	tʰã3	
氏	sɿ6	
民	mai2	
气	tʃʰi5	
水	suei3	
永	yŋ3	
汁	tsɿ2	
求	tʃiou2	
汇	fei6	
漢	hã6	
汗	fã6	
汞	koŋ7	
江	tʃiaŋ1	
池	tsʰɿ2	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	
汽	tʃʰi5	
沂	i2	
沃	u2	
沈	səŋ3	
沉	tʃin2	
沓	tɔ7	
沙	suo1	
沛	pʰei5	
溝	ka1	
漚	a5	
淪	nəŋ2	
沫	muo2	
河	huo2	
油	iou2	
治	tsɿ6	
沼	tsau7	
沾	tsã1	
沿	yẽ2	
泄	ʃie5	
泄	ʃia5	拉稀了
泉	tʃyẽ2	
法	huo7	
泛	fã5	~滥
泛	fã6	广~
泡	pʰau5	
泡	pʰau5	~在水里
波	puo1	
泥	ni2	
注	tsu6	~意
注	tʃy6	~册
淚	ni6	
泰	tʰa5	
瀉	ʃia5	
潑	pʰuo2	
澤	tsə2	
潔	tʃie2	
洋	iaŋ2	
洒	sɔ6	又读
洒	sɔ7	又读
洗	ʃi3	
洛	nuo2	
洞	təŋ6	
津	tʃin1	
洪	hoŋ2	
洲	tʃiou1	
活	huo2	
洼	uo1	
洽	tʃʰia2	
派	pʰa5	
流	niou2	
淺	tʃʰiẽ3	
漿	tʃiaŋ1	
澆	tʃiau1	
測	tsʰa7	
濟	tʃi5	
渾	fəŋ2	
滸	fu3	
濃	noŋ2	
浙	tsə2	
浩	hau5	
浪	naŋ6	
浮	fu2	
海	hua3	
浸	tʃin5	
涂	tʰu2	
消	ʃiau1	
涌	ioŋ3	
涕	tʰi5	
濤	tʰau1	
澇	nau2	
潤	yŋ6	
漲	tsaŋ3	
液	i2	又读
液	i7	又读
淆	ʃiau2	
淋	nin2	
淑	su2	
淘	tau2	
淡	tʰã3	
淤	y1	
淮	fai6	
深	ʃin1	
混	fəŋ6	
淹	iẽ1	
添	tʰiẽ1	
清	tsʰai1	
淵	yẽ1	
漸	tʃiẽ5	
漁	y2	
渠	tʃʰy2	
渡	tu6	
渣	tsuo1	
溫	uəŋ1	
港	kaŋ3	
游	iou2	
湖	fu2	
湘	ʃiaŋ1	
灣	uã1	
溼	ʃi7	
潰	kʰuei5	
溉	kai5	
源	yẽ2	
溪	ʃi1	
滋	tsɿ1	
滑	huo2	
滔	tʰau1	
滚	kuəŋ3	
滿	mã3	
濾	ny6	
濫	nã6	
濱	pin1	
灘	tʰã1	
滴	ti2	
漂	pʰiau5	
漂	pʰiau5	~亮
漆	tʃʰi7	
漏	na6	
演	iẽ3	
漫	mã6	
漱	su5	
潘	pʰã1	
潛	tʃʰiẽ3	
潭	tã2	
潮	tsau2	
潲	sau5	
澄	tʃin2	
澄	tsʰəŋ2	
澄	tʃin2	水浑，~一~
澡	tsau3	
激	tʃi2	
瀑	pʰu6	
灌	kuã5	
灒	tsã6	
火	huo3	
滅	mie2	
燈	tai1	
灰	fei1	
靈	nai2	
竈	tsau5	
灸	tʃiou1	
災	tsua1	
燦	tsʰã5	
爐	nu2	
炊	tsʰuei1	
炎	iẽ2	
炒	tsʰau3	
炕	kʰaŋ5	
炭	tʰã5	
炮	pʰau5	
炸	tsuo5	~弹
炸	tsuo2	用油~
點	tiẽ3	
煉	niẽ6	
爛	nã6	
烈	nie2	
烘	həŋ1	
燭	tʃiou2	
烟	iẽ1	
烤	kʰau3	
煩	fã2	
燒	sau1	
燙	tʰaŋ5	
熱	nie7	
焊	hã6	
煥	fã5	
焦	tʃiau1	
焰	iẽ5	
然	iẽ2	
煎	tʃiẽ1	
煤	mei2	
照	tsau5	
煨	uei1	
煮	tʃy3	
熄	ʃi2	
熊	ʃioŋ2	
熏	ʃyŋ1	
熙	ʃi1	
熟	ʃiou2	
熬	au2	
燃	niẽ2	
燎	niau2	
燕	iẽ5	
爆	pau5	
爪	tsau3	
爬	puo2	
愛	ua5	
父	fu6	
爸	pa7	
爹	tie1	
爽	suaŋ3	
片	pʰiẽ5	
版	pã3	
牌	pa2	
牒	tie2	
牙	ɔ2	
牚	tʃʰiaŋ5	
牛	niou2	
牡	mau2	又读
牡	mau7	又读
牢	nau2	
物	u2	
牯	ku3	
牲	səŋ1	
牽	tʃʰiẽ1	
特	tʰə7	
犧	ʃi1	
犀	ʃi1	
犁	ni2	
犯	fã6	
狀	tsuaŋ6	
猶	iou2	
狂	kʰuaŋ2	
狐	fu2	
狗	ka3	
狡	tʃiau3	
獨	tu2	
獅	sɿ1	
獄	y5	
狸	ni2	
狼	naŋ2	
獵	nie7	
猛	məŋ2	
猜	tsʰua1	
豬	tʃy1	
猫	mau2	
獻	ʃiẽ5	
猴	ha2	
猾	huo2	
獺	tʰa7	
玄	ʃyẽ2	
率	sua5	~领
率	ny2	速~
玉	y6	
王	uaŋ2	
玩	uã2	
環	fã2	
現	ʃiẽ6	
玻	puo1	
珊	suã1	
珍	tsəŋ1	
珠	tʃy1	
班	pã1	
球	tʃiou2	
理	ni3	
瑣	suo3	
琢	tsuo2	
琴	tʃʰin2	
琵	pi2	
琶	puo2	
瓊	tʃʰyŋ2	
瑞	suei5	
璃	ni2	
瓜	kuo1	
瓢	piau2	
瓣	pã5	
瓦	uo3	
瓦	uo3	动词
瓶	pai2	
瓷	tsʰɿ2	
甘	kã1	~草
甘	kuã1	~蔗
甚	səŋ5	
甜	tiẽ2	
生	sa1	
甥	sa1	
用	in6	
甫	pʰu3	
田	tiẽ2	
由	iou2	
甲	kɔ7	
申	səŋ1	
電	tiẽ6	
男	nã2	
畫	huo6	
暢	tsʰaŋ5	
界	ka5	
留	niou2	
畜	tsʰu2	~生
畜	tʃʰy7	~生
略	nuo2	
番	fã1	
疆	tʃiaŋ1	
疏	su1	
疑	ni2	
疔	tai1	
療	niau2	
疝	sã5	
瘍	iaŋ2	
疤	puo1	
疫	i5	
瘡	tsʰuaŋ1	
瘋	fəŋ1	
疲	pi2	
疹	tsəŋ3	
疾	tʃi7	
病	pai6	
症	tsəŋ1	
痒	iaŋ3	
痔	tsɿ6	多用
痔	tʃi6	少用
痕	həŋ2	
痛	tʰəŋ5	
痢	ni6	
痣	tʃi5	
痰	tã2	
痱	fei5	
痲	muo2	
瘌	na6	
瘟	uəŋ1	
瘦	sa5	
癩	na6	
癬	ʃyẽ3	
登	təŋ1	
白	pa2	
百	pa7	
皂	tsau6	肥~，又读
皂	tsau7	肥~，又读
的	ti2	
皆	kai1	
皇	faŋ2	
皮	pi2	
皺	tsou5	
皿	min3	
盂	y2	
盅	tsoŋ1	
盆	pəŋ2	
盈	in2	
益	i2	
盞	tsã3	
鹽	iẽ2	
監	tʃiẽ1	
盒	huo2	
盔	fei1	
盖	kua5	
盜	tau6	
盤	pã2	
盛	tsʰəŋ2	~饭
盛	sai5	茂~，少用
盛	səŋ5	茂~，多用
盟	məŋ2	
目	mu2	~的，又读
目	mu7	~的，又读
直	tsai2	
相	ʃiaŋ5	~貌
相	ʃiaŋ1	互~
盼	pʰã5	
盾	təŋ5	
省	ʃin3	
省	səŋ3	~市
省	səŋ3	~钱
眉	mi2	
看	kʰã5	
看	kʰã5	~守
真	tʃin1	
眠	miẽ2	
眨	tsuo7	
眶	kʰuaŋ1	
眼	ã3	
着	tsuo2	
睜	tsəŋ1	
睛	tsai1	
睡	suei6	
督	tu2	
瞅	tʃʰiou5	
瞎	hɔ7	
瞞	mã2	
瞖	i5	
瞪	təŋ5	
矛	mau2	
知	tsɿ1	
矩	tʃy5	
短	tuã3	
矮	a3	
石	sai2	
礬	fã2	
礦	kʰuaŋ5	
碼	muo3	
砌	tʃʰi5	
砍	kʰã3	
研	niẽ1	
磚	tsuã1	
硯	niẽ6	
破	pʰuo5	
礎	tsʰu3	
硝	ʃiau1	
硫	niou2	
硬	əŋ5	
確	tsʰuo7	~定，又读
確	kʰuo7	~定，又读
確	tsʰuo2	的~
礙	ai5	
碎	sei5	
碑	pei1	
碓	tei5	
碗	uã3	
碟	tie2	
碧	pi2	
鹼	tʃiẽ3	
碾	niẽ3	
磁	tsʰɿ2	
磕	kʰuo2	
磨	muo2	~刀
磨	muo6	~面，石~
磷	nin2	
示	sɿ5	
禮	ni3	
社	sɔ6	
祁	tʃʰi2	
祖	tsu3	
祝	tsu2	
神	səŋ2	
祠	tsʰɿ2	
祥	tʃiaŋ2	
票	pʰiau5	
祭	tʃi5	
禍	huo5	
禁	tʃin5	
福	fu2	
禹	y6	
离	ni2	~别
离	ni2	~开半寸
禽	tʃʰin2	
禾	huo2	
秀	ʃiou5	
私	sɿ1	
稈	kuã3	
秉	pin3	
秋	tʃʰiou1	~天
秋	tʃʰiou1	~千
種	tʃin3	~子
種	tsoŋ3	~类
種	tʃin5	~东西
科	kʰuo1	
秒	miau3	
秘	mi6	
租	tsu1	
秤	tsʰai5	
秦	tʃin2	姓，又读
秦	tʃʰin2	姓，又读
秧	iaŋ1	
秩	tsʰɿ5	
積	tʃi2	
稱	tsʰai1	~呼，~重量
稱	tsʰəŋ5	对~
移	i2	
稀	ʃi1	
程	tsʰəŋ2	
稍	sau1	
税	suei5	
稗	pa6	
稚	tsɿ5	
稠	tʃiou2	
穩	uəŋ3	
稻	tau6	
稿	kau3	
穗	fei5	
究	tʃiou5	
窮	tʃin2	好~
窮	tʃioŋ2	好~
空	kʰəŋ1	~的
空	kʰoŋ1	~军
空	kʰəŋ5	~位，填~
穿	tsʰuã1	
突	tʰu2	
窄	tsa7	
竅	tʃʰiau5	
窯	iau2	
窖	kau5	
窗	tsʰuaŋ1	
竄	tsʰuã5	
立	ni2	
豎	su5	
站	tsã5	立
站	tsã6	车~
競	tʃin5	
竟	tʃin5	
章	tsaŋ1	
童	təŋ2	~年
童	tʰoŋ2	儿~
端	tuã1	
竹	tʃiou7	
笊	tsau5	
笋	səŋ3	
笑	ʃiau5	
筆	pi7	
筧	tʃiẽ3	
笙	səŋ1	
笛	tai2	
笠	ni2	
笡	tʃʰia5	
符	fu2	
笨	pəŋ6	
第	ti5	
箋	tʃʰiẽ1	
籠	nəŋ2	
等	tai3	
筋	tʃin1	
筐	kʰuaŋ1	
筑	tsu2	
筒	təŋ2	
答	ta2	
策	tsʰə2	
篩	sua1	~子
箏	tsəŋ1	
筷	kʰua5	
签	tʃʰiẽ1	
簡	tʃiẽ3	
算	suã5	
管	kuã3	
籮	nuo2	
簫	ʃiau1	
箭	tʃiẽ5	
箱	ʃiaŋ1	
篆	tsuã5	
篇	pʰiẽ1	
簍	na3	
篙	kau1	
篡	tsʰuã5	
篦	pi6	
籃	nã2	
籬	ni2	
篷	pəŋ2	
篾	mie7	
簧	faŋ2	
簪	tsã1	
簰	pa2	
簸	puo5	~一~
簸	puo5	~箕
簿	pu6	
籍	tʃi2	
米	mi3	
類	nei6	
粉	fəŋ3	
粒	ni2	
粗	tsʰu1	
粘	tsã1	
粟	ʃiou7	
粤	ye2	
粥	tsu2	
糞	fəŋ5	
糧	niaŋ2	
粱	niaŋ2	
粹	sei5	
糉	tsəŋ5	
精	tʃin1	
糕	kau1	
糖	taŋ2	
糙	tsʰau5	
糟	tsau1	
糠	kʰaŋ1	
糯	nuo6	
系	ʃi5	
系	ʃi5	联~
素	su5	
索	suo7	
緊	tʃin3	
紫	tsɿ3	
累	nei3	~积
累	nei6	极困
累	nei6	连~
絮	ʃy5	
繁	fã2	
糾	tʃiou1	~缠
糾	tʃiou1	~正
紅	həŋ2	~薯
紅	hoŋ2	~军
約	iɔ7	~定
約	iɔ6	节~
級	tʃi2	
紀	tʃi3	
紉	in5	
緯	uei6	
純	suəŋ2	
紗	suo1	
綱	kaŋ1	
納	na2	
縱	tsoŋ5	~横
縱	tsoŋ5	放~
紙	tʃi3	
紋	uəŋ2	
紡	faŋ3	
紐	niou3	
線	ʃiẽ5	
練	niẽ6	
組	tsu3	
細	ʃi5	
織	tsɿ2	~布，又读
織	tsai2	~布，又读
織	tsai7	~布，又读
終	tsoŋ1	
絆	pã5	
紹	sau5	
經	kai1	~过，少用
經	tʃin1	~过，多用
經	kai1	念~
綁	paŋ3	
絨	ioŋ2	
結	tʃie2	
繞	iau3	~线
繞	iau3	围~
給	tia7	
絡	nuo2	
絶	tʃye2	
絞	tʃiau3	
統	tʰəŋ3	
繡	ʃiou5	
繼	tʃi5	
績	tʃi2	
緒	ʃy5	
續	su2	
繩	səŋ2	
維	uei2	
綿	miẽ2	
綢	tʃiou2	
綜	tsoŋ1	
綠	niou7	
緬	miẽ3	
纜	nã6	
緝	tʃi2	
緞	tuã6	
緩	fã3	
編	pʰiẽ1	
緣	yẽ2	
縫	fəŋ2	~衣服
縫	fəŋ6	一条~
纏	tsʰã2	
纓	in1	
縮	ʃiou7	
繰	tsʰau1	
缸	kaŋ1	
缺	kʰye7	
罐	kuã5	
网	uaŋ3	
罕	hã3	
羅	nuo2	
罰	huo2	
罷	puo6	
罩	tsau5	
罪	tsei6	
置	tsɿ6	
羊	iaŋ2	
美	mei3	
羔	kau1	
羞	ʃiou1	
羡	ʃiẽ5	
群	tʃʰyŋ2	
羹	kəŋ1	
羽	y3	
翁	oŋ1	
翅	tsʰɿ5	
翠	tsʰei5	
翡	fei5	
翰	hã2	
翻	fã1	
翼	i5	
耀	iau5	
老	nau3	
考	kʰau3	
而	ə2	
耍	suo3	
耐	na6	
耕	kəŋ1	
耗	hau5	
耙	puo2	
耳	y3	
耻	tsʰɿ3	
耽	tã1	
聶	nie2	
聊	niau2	
聾	nəŋ2	
職	tsɿ2	
聯	niẽ2	
聘	pʰin5	
聚	tʃy5	
聰	tsʰəŋ1	
肅	su2	
肄	i5	
肆	sɿ5	
肉	iu2	
肋	nə2	~骨
肋	nai7	~条
肌	tʃi1	
肚	tʰu3	腹~
肚	tu3	鱼~，猪~
肝	kuã1	
腸	tsaŋ2	
股	ku3	
肢	tsɿ1	
膚	fu1	
肥	fei2	
肩	tʃiẽ1	
肪	faŋ2	
肯	kʰai3	~不~
肯	kʰəŋ3	~定
育	iu2	
肺	fei5	
腎	səŋ3	
腫	tsoŋ3	
脹	tsaŋ5	
脅	ʃie2	
胃	uei6	
膽	tã3	
背	pei5	
背	pei6	~诵
胎	tʰua1	
胖	pʰaŋ5	
胚	pʰei1	
勝	sai5	
胞	pau1	
胡	fu2	
膠	tʃiau1	
胸	ʃioŋ1	
能	nai2	~干，又读
能	nəŋ2	~干，又读
脂	tsɿ7	
脆	tsʰei5	
脉	ma7	
脊	tʃi2	
脏	tsaŋ6	
臍	tʃi2	
腦	nau3	
膿	noŋ2	多用
膿	nəŋ2	少用
脚	tʃiau7	
脯	pu2	胸~，又读
脯	pu6	胸~，又读
脱	tʰuo2	
腡	nuo2	
臉	niẽ3	
脾	pi2	
臘	nɔ7	
腌	iẽ1	
腐	fu5	
腔	tʃʰiaŋ1	
腕	uã3	
腥	sai1	
腮	sua1	
腰	iau1	
腹	fu2	
膩	ni6	
騰	tʰəŋ2	
腿	tʰei3	
膏	kau1	
膏	kau1	~车，~油
膘	piau1	
膜	muo2	
膨	pəŋ2	
膳	sã5	
臂	pi6	
臣	tsʰəŋ2	
自	tsɿ6	
臭	tʃʰiou5	
至	tsɿ5	夏~，又读
至	tʃi5	夏~，又读
致	tsɿ5	
臼	tʃiou1	
舀	iau3	
舂	tsʰoŋ1	
舅	tʃiou6	
舌	ʃie2	
舍	sɔ3	
舍	sə5	借桂
舒	su1	
舔	tʰiẽ3	
舜	suəŋ5	
舞	u3	
舟	tsou1	
航	haŋ2	
般	pã1	
艦	kã5	
舵	tuo6	
船	suã2	
艇	tʰin3	
良	niaŋ2	
艱	tʃiẽ1	
色	sə2	
豔	iẽ5	
藝	i5	
艾	ua6	
節	tʃie2	又读
節	tʃie7	又读
芋	y6	
芒	maŋ2	
芒	maŋ2	~果
芙	fu2	
芝	tsɿ1	
芥	ka5	
蘆	nu2	
芬	fəŋ1	
芭	puo1	
花	huo1	
芳	faŋ1	
芹	tʃin2	
芽	ɔ2	
葦	uei3	
莧	hã6	
蒼	tsʰaŋ1	
苏	su1	
苔	tua2	
苗	miau2	
苦	kʰu3	
英	in1	
茂	mau6	
范	fã6	模~
范	fã6	示~
茄	tʃia2	
茅	mau2	
莖	tʃin1	
茫	maŋ2	
茴	fei2	
茶	tsuo2	
茸	ioŋ2	
草	tsʰau3	
薦	tʃiẽ5	
荒	faŋ1	
荔	ni6	
蕎	tʃiau2	
薺	tʃi3	
蕩	taŋ5	
榮	ioŋ2	
葷	fəŋ1	
蔭	in1	
藥	iɔ2	吃~，又读
藥	iau7	吃~，又读
荷	huo2	~花
荷	huo2	薄~
莫	muo2	~家村
莫	muo7	~家村
蓮	niẽ2	
获	huo2	
莽	maŋ3	
菊	tʃy7	~花，多用
菊	ky7	~花，少用
菌	kəŋ6	~子
菌	tʃyŋ5	细~
菖	tsʰaŋ1	
菜	tsʰa5	
菠	puo1	
菢	pau6	
菩	pu2	
菱	nin2	
萄	tau2	
萌	məŋ2	
萎	uei1	
營	in2	
蕭	ʃiau1	
薩	sɔ2	
落	nuo2	~雨，又读
落	nuo7	~雨，又读
葛	kuo7	
董	təŋ3	
葫	fu2	
葬	tsaŋ5	
葱	tsʰəŋ1	
葵	kʰuei2	
蔣	tʃiaŋ3	
蒙	məŋ2	
蒜	suã5	
蒸	tsai1	
蒿	hau2	
蓉	ioŋ2	
蓑	suo1	
蓖	pi1	
藍	nã2	
蓬	pəŋ2	
蔗	tsa5	
蔡	tsʰa5	
蔫	niẽ2	
蔬	su1	
藹	a3	
蔽	pi5	
蕉	tʃiau1	
蕨	tʃye2	
薄	puo2	
薄	puo6	~荷
薛	ʃye2	又读
薛	ʃye7	又读
薪	ʃin1	
薯	ʃy3	
藏	tsaŋ2	
藏	tsaŋ6	西~
藐	miau2	
藕	a3	
藤	tai2	
蘸	tsã1	
虎	fu3	
虜	nu3	
虐	nye7	
慮	ny6	
虚	ʃy1	
虞	y2	
蟲	tʃin2	
虱	sa7	
虹	hoŋ2	
虻	maŋ2	
雖	sei1	
蝦	hɔ1	
蝕	sɿ2	
蟻	i5	
蚊	məŋ2	
蠶	tsã2	
蚣	kəŋ1	
蚤	tsau3	
蛀	tsu5	
蛆	tʃʰy1	
蛇	sɔ2	
蛋	tã6	
蛛	tsu1	
蠻	mã2	
蛾	uo2	
蜂	fəŋ1	
蜈	u2	
蝸	uo1	
蜘	tsɿ1	
蜜	mi7	
蠟	nɔ7	
蟬	tsʰã2	
蠍	ʃie2	
蝗	faŋ2	
蝙	piẽ1	
蝟	uei5	
蝠	fu2	
蝶	tie2	
螃	paŋ2	
融	ioŋ2	
螺	nuo2	
蟒	maŋ3	
蠓	məŋ2	
蠢	tsʰuəŋ3	
血	ʃye7	
行	ha2	~走
行	ʃin2	~动
行	ʃin2	品~
行	haŋ2	银~
銜	hã2	
街	ka1	
衙	ɔ2	
衡	həŋ2	
衣	i1	
補	pu3	
表	piau3	
衫	sã1	
襯	tsʰəŋ5	
衰	sua1	
袁	yẽ2	
襖	au5	
袋	tua6	
袍	pau2	
袖	tʃiou6	
袜	muo7	
被	pi3	~打，~迫
被	pʰi3	~窝，~子
襲	ʃi2	
裁	tsua2	
裂	nie2	
裝	tsuaŋ1	
裕	y5	
裙	tʃyŋ2	~子，少用
裙	kyŋ2	~子,多用
褲	kʰu5	
裳	saŋ1	
裸	nuo3	
裹	kuo3	
褒	pau1	
褪	tʰei5	
襄	ʃiaŋ1	
西	ʃi1	
要	iau1	~求
要	iau5	想~，重~
覆	fu2	
見	tʃiẽ5	
觀	kuã1	
規	kuei1	
覓	mai7	
視	sɿ5	
覽	nã3	
覺	tsuo2	~得
覺	kau5	睡~
角	tsuo2	
解	ka3	了~
解	ka3	讲~，~开
觸	tsʰu2	
言	iẽ2	
譽	y6	
謄	təŋ2	
誓	sɿ5	
警	tʃin3	
計	tʃi5	
訂	tai6	
認	nin6	
譏	tʃi1	
討	tʰau3	
讓	niaŋ6	
訓	ʃyŋ6	
議	i5	
訊	ʃin5	
記	tʃi5	
講	kaŋ3	
諱	huei5	
許	ʃy3	
論	nəŋ5	理~，又读
論	nəŋ6	理~，又读
諷	fəŋ3	
設	sə2	
訪	faŋ3	
訣	tʃye2	
证	tsai5	又读
证	tsəŋ5	又读
評	pai2	
識	ʃi2	
詐	tsuo5	
訴	su5	
診	tsəŋ3	
詞	tsʰɿ2	
譯	i2	
試	ʃi5	~一下
試	sɿ6	考~，~卷
詩	sɿ1	
誠	tsʰəŋ2	
誅	tsu1	
話	huo6	
誕	tã5	~生
誕	tã6	~生
詭	kuei3	
該	kai1	
詳	tʃiaŋ2	
誣	u1	
語	y3	
誤	u6	
誘	iou5	
誦	soŋ5	
請	tsʰai3	
諸	tʃy1	
讀	tou2	
課	kʰuo5	
調	tiau2	~和
調	tiau6	~动
調	tiau6	音~
諒	niaŋ6	
談	tã2	
誼	i2	
謀	mou2	
諜	tie2	
謊	faŋ3	~话
謊	faŋ5	扯~
諧	ʃie2	
謂	uei6	
諺	iẽ5	
謎	mi6	
謝	ʃie5	
謡	iau2	
謗	paŋ6	
謙	tʃʰiẽ1	
謹	tʃin3	
譚	tã2	
譜	pʰu3	
谷	kou7	
豆	ta6	
豉	ʃi6	
象	tʃiaŋ6	
豪	hau2	
豫	y5	
豹	pau5	
豺	tsua2	
貂	tiau1	
貌	mau6	
貝	pei5	
貞	tsəŋ1	
負	fu5	
貢	koŋ5	
財	tsua2	
責	tsə2	
賢	ʃiẽ2	
敗	pa6	
賬	tsaŋ5	
貨	huo5	
質	tsɿ2	
販	fã5	
貪	tʰã1	
貧	pai2	
購	ka5	
貫	kuã5	
貳	i6	
賤	tʃiẽ6	
貼	tʰie7	
貴	kuei5	
貸	tua6	
貿	mau5	
費	fei5	
賀	huo6	
賊	tsai2	
賈	tʃia7	
賄	fei5	
贓	tsaŋ1	
資	tsɿ1	
賒	sɔ1	
賭	tu3	
贖	ʃiou2	
賞	saŋ3	
賜	tsʰɿ5	
賠	pei2	
賴	na6	
賺	tsuã6	
贊	tsã5	
贈	tsəŋ1	
贏	ai2	
赤	tsʰai7	
赫	hai7	
走	tsa3	
赴	pʰu5	
趙	tsau6	
起	tʃʰi3	
趁	tsʰəŋ5	
超	tsʰau1	
越	ye2	
趟	tʰaŋ5	
趣	tʃʰy5	
足	tsu2	
趾	tʃi3	
躍	iau7	
跌	tie7	
跛	puo7	
距	tʃy5	
跟	kəŋ1	
跪	kuei6	
路	nu6	
跳	tʰiau5	
踏	tʰa7	
踢	tʰai7	
蹤	tsoŋ1	
踱	tu6	
蹄	ti2	
躡	nie7	
蹲	təŋ1	
躁	tsau5	
身	səŋ1	
躱	tuo3	
車	tʃy1	~马炮
車	tsʰɔ1	马~
軋	tsuo7	
軌	kuei3	
軒	ʃyẽ1	
轉	tsuã3	~移
轉	tsuã5	~圈圈
輪	nəŋ2	
軟	yẽ3	
轟	hoŋ1	
軸	tsu2	
輕	kʰai1	
載	tsai7	年~，借桂
載	tsai5	满~，借桂
轎	tʃiau6	
較	tʃiau5	
輔	pʰu3	
輛	niaŋ3	
輩	pei5	
輝	huei1	
輯	tʃi2	
輸	ʃy1	~赢
輸	su1	运~
轄	ʃia2	
辛	ʃin1	
辭	tsʰɿ2	
辟	pʰi2	
辣	nuo5	
辨	piẽ5	
辯	piẽ5	
辮	pʰiẽ3	
辱	iu2	
邊	piẽ1	
遼	niau2	
達	ta2	
遷	tʃʰiẽ1	
迅	ʃin5	
過	ku5	
過	kuo5	
邁	ma6	
迎	in2	
運	yŋ6	
近	tʃin5	最~
近	tʃʰin3	远~
還	ã2	~有
還	uã2	~原
進	tʃin5	
遠	yẽ3	
違	uei2	
連	niẽ2	
遲	tʃʰie2	~到
遲	tʃi2	来~了
迫	pʰuo2	
迷	mi2	
迹	tʃi2	
追	tsuei1	
退	tʰei5	
送	səŋ5	
適	sɿ2	
逃	tau2	
逆	ni2	
選	ʃyẽ3	
透	tʰa5	
遞	ti5	
途	tu2	
逗	ta1	
通	tʰəŋ1	
逛	kʰuaŋ2	
逝	sɿ5	
逞	tsʰai3	
速	su2	
造	tsau6	
逢	fəŋ2	
逵	kʰuei2	
逸	i2	
逼	pi7	
遇	y6	
遍	pʰiẽ5	~地
遍	pʰiẽ5	一~
道	tau6	
遺	i2	
遣	tʃʰiẽ3	
遭	tsau1	
遮	tsə1	
遵	tsəŋ1	
避	pi6	
邀	iau1	
鄧	təŋ5	
那	nɔ6	
邦	paŋ1	
邪	tʃia2	又读
邪	ʃia2	又读
郵	iou2	
邵	sau5	
鄒	tsou1	又读
鄒	tʃiou1	又读
鄰	nin2	
郊	tʃiau1	
郎	naŋ2	
鄭	tsəŋ5	
部	pu6	
郭	kuo2	
都	tu1	~是，又读
都	tou1	~是，又读
鄙	pʰi3	
酌	tsuo2	
配	pʰei5	
酒	tʃiou3	
酥	su1	
酬	tʃiou2	
醬	tʃiaŋ5	
酵	ʃiau5	
酷	kʰu2	
酸	suã1	
釀	niaŋ6	
醃	iẽ1	
醇	ʃyŋ2	
醉	tsei5	
醋	tsʰu5	
醒	sai3	
采	tsʰua3	
釉	iou5	
釋	ʃi7	
里	ni3	
重	tsʰoŋ2	~复
重	tin5	轻~
野	iɔ3	
量	niaŋ2	~长短
量	niaŋ6	数~
金	tʃin1	
鈀	puo2	
鉋	pau6	
鑑	kã5	
鏨	tsã6	
針	tʃin1	
釘	tai5	~住
釘	tai1	铁~
釣	tiau5	
鈍	təŋ5	
鈔	tsʰau1	
钟	tsoŋ1	
鋼	kaŋ1	
欽	tʃʰin1	
鈞	tʃyŋ1	
鉤	ka1	
