#漢字	音標	解釋
㪕	tsʰɔu5	〜起棍子
撅	tɕyə3	
撇	pʰiə3	〜捺,~开
撑	tsʰəŋ1	
撒	sa5	〜手,〜种
撕	sɿ1	
撚	nian3	以指〜碎
撞	tsuɑŋ5	
撤	tʃʰiə5	
撩	liɔu2	〜起来
撮	tsʰuə3	一〜
攆	nian3	
撼	xan2	
擀	kan3	〜面
操	tsʰɔu1	〜作,〜演
擎	tɕʰiəŋ2	
擒	tɕʰiən2	
擖	kʰua3	用刀〜
擘	pə3	用手~开
擦	tsʰa3	
擩	y2	
攀	pʰan5	
攋	lai3	~开
攢	tsan3	
攘	iɑŋ1	
攮	nɑŋ3	用刀子〜
支	tsɿ1	
收	ʃəu1	
改	kai3	
攻	kuəŋ1	
放	fɑŋ5	
政	tʃəŋ5	
故	ku5	
效	ɕiɔu5	
敵	ti2	
敏	miən3	
救	tɕiəu5	
教	tɕiɔu1	〜书
教	tɕiɔu5	〜育,~他去
斂	lian3	
敝	pi5	
敢	kan3	
散	san5	分~
散	san3	鞋带〜了
敦	tən1	〜厚
敬	tɕiəŋ5	
數	su3	动词
數	su5	名词
敲	tɕʰiɔu1	
整	tʃəŋ3	
敷	fu2	
文	uən2	
齋	tsai1	
斑	pan1	
斗	təu5	〜争
斗	təu3	一〜
料	liɔu5	
斜	ʃiə2	
斟	tʃən3	
斡	kan1	
斤	tɕiən1	
斥	tʃʰɿ5	
斧	fu3	
斬	tsan3	
斷	tan2	
斯	sɿ1	
新	ʃiən1	
方	fɑŋ1	
施	sɿ1	
旁	pʰɑŋ2	
旅	ly3	
旋	ɕyan3	〜转
旋	ɕian5	〜吃~做
族	tsu3	
旗	tɕʰi2	
無	u5	
既	tɕi5	
日	i5	
旦	tan2	
舊	tɕiəu2	
旨	tsɿ2	
早	tsɔu3	
旬	ɕyən2	
旱	xan2	
時	sɿ2	
曠	kʰuɑŋ5	
旺	uɑŋ5	兴〜,火〜
昂	ɑŋ1	
昆	kʰuən1	
昌	tʃʰɑŋ1	
明	miəŋ2	
昏	xuən1	
易	i2	交〜
易	i5	难〜
昔	ʃɿ3	
星	ʃəŋ1	
星	ʃiəŋ5	
映	iəŋ3	
春	tsʰuən1	
昧	mei2	
昨	tsuə5	
昭	tʃɔu1	
是	sɿ5	
晝	tʃəu1	
顯	ɕian3	
晃	xuɑŋ3	〜眼
晉	tɕiən5	
晌	ʃɑŋ3	〜午
晏	ian5	
曬	sai5	
暈	yən5	
晚	uan3	
晦	xuei5	
晨	tʃʰən1	
普	pʰu3	
景	tɕiəŋ3	
晴	tʃʰiəŋ2	
晶	tʃiəŋ1	
智	tʃɿ1	
暫	tsan5	
暇	ɕia2	
暑	ʃy3	
暖	nan3	
暗	an5	
曆	li5	
暮	mu5	
暴	pɔu5	
曝	pʰu3	
曰	yə5	
曲	tɕʰy3	
更	kəŋ1	〜换,五〜
更	kəŋ5	〜加
曹	tsʰɔu2	
曾	tsʰəŋ2	~经
曾	tsəŋ1	姓
替	tʰi2	
最	tsei5	
月	yə5	
有	iəu3	
朋	pʰəŋ2	
服	fu2	
朔	ʃyə2	
朗	lɑŋ2	
望	uɑŋ1	
朝	tʃʰɔu2	〜代
朝	tʃɔu1	今〜
期	tɕʰi2	时〜
木	mu5	
未	uei5	
末	mə5	
本	pən3	
札	tsa3	
术	ʃy5	
朱	tʃy1	
朴	pʰu3	
朶	tuə3	
機	tɕi1	
朽	ɕiəu1	
殺	sa3	
雜	tsa2	
權	tɕʰyan2	
杆	kan5	
杈	tsʰa5	
杉	san3	
杌	u3	~子,〜凳
李	li3	
杏	ɕiəŋ2	
材	tsʰai2	
村	tsʰən1	
杖	tʃɑŋ5	
杞	tɕʰi2	
束	su5	
杠	kɑŋ1	
條	tʰiɔu2	〜和
來	lai1	
楊	iɑŋ1	
杭	xɑŋ2	
杯	pei1	
杰	tɕiə2	
杳	miɔu3	〜无音信
杳	iɔu3	〜无音信
杴	ɕian1	
杵	tɕʰu3	
杷	pa5	
松	suəŋ1	
板	pan3	
極	tɕi5	
構	kəu5	
枇	pʰi2	(〜杷)
枇	pi3	(~子,〜谷)
枉	uɑŋ5	
析	ʃɿ3	
枕	tʃən5	动词
枕	tʃən3	名词
林	liən2	
枚	mei2	
果	kuə3	
枝	tsɿ1	
樞	ʃy5	
棗	tsɔu3	
槍	tʃʰɑŋ1	
楓	fəŋ1	
枯	kʰu1	
枵	ɕiɔu1	缕〜
架	tɕia5	
柄	pəŋ5	
柏	pə3	
某	mu2	
柑	kan1	
染	ian3	
柔	iəu1	
柚	iəu2	
櫃	kuei2	
柞	tsuə5	
查	tsʰa1	
柩	tɕiəu2	
柬	tɕian3	
柱	tʃy2	
柳	liəu3	
柴	tsʰai2	
柿	sɿ5	
梔	tʃɿ5	(〜子花)
栅	tsa3	〜栏
標	piɔu5	
棧	tsan5	
棟	tuəŋ5	
欄	lan5	
樹	ʃy2	
栖	tʃʰɿ1	
栗	li5	
校	tɕiɔu3	〜对
校	ɕiɔu5	上〜
校	ɕiɔu5	学〜
株	tʃy1	
樣	iɑŋ2	
核	xə2	〜桃
核	xə5	〜武器,审〜
核	ku2	果子〜
核	ku3	桃〜
根	kən1	
格	kə3	
栽	tsai1	
栿	fu2	
桂	kuei5	
桃	tʰɔu2	
桄	kuɑŋ2	一~
桅	uei1	船〜杆
案	an5	
桌	tsuə3	
桐	tʰuəŋ2	
桑	sɑŋ1	
桓	xuan2	
椏	ia1	
橈	iɔu1	桨
橋	tɕʰiɔu2	
樺	xua5	
檜	xuei5	
槳	tʃɑŋ5	
桶	tʰuəŋ3	
梁	liɑŋ1	
梅	mei2	
梓	tsɿ2	
梗	kəŋ3	~子.茎
梢	sɔu1	树〜
夢	məŋ2	
梧	u2	
梨	li1	
梯	tʰi1	
械	ɕie2	
梳	su1	
檢	tɕian3	
棉	mian1	
棋	tɕʰi2	
棍	kuən5	
棒	pɑŋ2	
棕	tsuəŋ1	
棚	pʰəŋ2	
棠	tʰɑŋ2	
森	sən1	
棵	kʰuə1	
棺	kuan1	
植	tʃɿ5	
椒	tʃɔu1	
橢	tʰuə3	
椴	tan5	
椽	tsʰuan3	
椿	tsʰuən1	〜树
楂	tsa1	
楚	tɕʰu3	
楞	ləŋ5	
楣	mei1	
楷	kʰai3	
樓	ləu1	
概	kai5	
欖	lan3	
榆	y1	
榛	tʃən5	
榜	pɑŋ3	
榨	tsa2	
榴	liəu2	
榻	tʰa3	
槌	tsʰuei2	
槐	xuai2	
檳	piəŋ1	〜榔
槽	tsʰɔu2	马〜
樟	tʃɑŋ1	
模	mu1	(~子)
模	mə1	〜范
橫	xəŋ2	〜直
橫	xəŋ5	蛮〜
櫻	iəŋ1	〜桃
橄	kan5	
橘	tɕy3	
橙	tʃʰəŋ2	
橡	ʃɑŋ5	~树
櫓	lu3	
檀	tʰan2	
檐	ian1	
檁	liən3	
欠	tɕʰian5	
次	tsʰɿ5	
歡	xuan1	
欣	ɕiən1	
歐	əu1	
欲	y5	
欺	tɕʰi1	
款	kʰuan3	
歇	ɕiə3	
歉	tɕʰian5	
歌	kuə1	
止	tsɿ3	
正	tʃəŋ5	
正	tʃəŋ1	〜月
此	tsʰɿ2	
步	pu2	
武	u3	
歧	tɕʰi2	
歪	uai1	
死	sɿ3	
殲	tɕian3	〜灭
殃	iɑŋ1	
殆	tai5	
殉	ɕyən2	
殊	ʃy1	
殘	tsʰan2	
殮	lian3	
殖	tʃɿ5	
殯	piən1	
段	tan5	
殷	iən3	
殿	tian5	
毁	xuei3	
毅	i2	
母	mu3	
每	mei3	
毒	tu2	
比	pi3	(〜较)
畢	pi3	
斃	pi5	
毛	mɔu1	
毡	tʃɑŋ5	~子
毫	xɔu2	
毯	tʰan3	
氏	sɿ5	
民	miən3	
气	tɕʰi5	
气	tʃɑŋ5	
水	suei3	
永	yəŋ5	
汀	tʰiəŋ1	
汁	tʃɿ3	
求	tɕʰiəu2	
汆	tsʰan1	
汇	xuei5	
漢	xan5	
汗	xan2	
汝	y2	
汞	kuəŋ3	
江	tɕiɑŋ1	
池	tʃʰɿ2	
污	u1	
湯	tʰɑŋ1	
汪	uɑŋ1	一〜水
汴	pian2	
汽	tɕʰi5	
沂	i2	〜河
沃	uə5-	
沃	uə2=	
沈	ʃən3	
沉	tʃʰən1	
沉	tʃʰiən2	
沌	tən2	
沓	ta2	
沙	sa1	
沛	pʰei5	
溝	kəu1	
没	mə2	沉〜,〜有
漚	əu5	
淪	lən2	
滬	xu2	
沫	mə5	
河	xuə2	
油	iəu1	
治	tʃɿ5	
沼	tʃɔu1	池〜,~气
沿	ian1	
泄	ʃiə5	〜漏
泅	tʃʰəu2	
泉	tsʰuan2	
泊	pə2	
泊	pə3	梁山〜
泌	mi5	
泔	kan1	
法	fa3	方〜,~子
泛	fan2	
泡	pʰɔu5	水~
泡	pʰɔu5	浸〜
波	pə1	
泣	tɕʰi2	
泥	mi1	
注	tʃy5	
注	tʃy5	〜解
淚	lei2	
泰	tʰai5	
泳	yəŋ3	
瀉	ʃiə2	
潑	pʰə3	
澤	tsə2	
潔	tɕiə2	
洇	iən1	
洋	iɑŋ1	
洒	sa3	
洗	ʃɿ3	
洛	luə5	
洞	tuəŋ2	
津	tɕiəŋ1-	
津	tɕiən1=	
洪	xuəŋ2	
洲	tʃəu1	
活	xuə2	
洼	ua1	
洽	tɕʰia3	
派	pʰai2	
流	liəu2	
淺	tɕʰian3	
漿	tʃɑŋ3	
澆	tʃɔu1	
濁	tsuə3	
測	tsʰə3	
濟	tʃɿ2	
渾	xuən2	〜浊
滸	xu3	
濃	nuəŋ1	
浙	tʃiə2	
浜	pɑŋ1	一条~
浦	pʰu3	
浩	xɔu2	
浪	lɑŋ2	
浮	fu2	
浴	y5	
海	xai3	
浸	tʃən5	
浸	tʃiən5	
涂	tʰu3	
消	ʃɔu1	
涉	ʃiə3	
涌	yəŋ3	
涎	ian2	
涕	tʰi2	(鼻〜)
濤	tʰɔu1	
澇	lɔu2	旱〜
澗	tɕian5	
漲	tʃɑŋ5	
澀	sə3	
涮	suan5	
涯	ia1	
液	iə5	
涴	uə5	弄脏
涿	tsuə3	〜县,〜鹿
淆	ɕiɔu3	
淋	liən2	
淑	ʃy3	
淘	tʰɔu2	〜米
淡	tan2	
淤	y1	
淫	iən2	
淮	xuai2	
深	ʃən1	
混	xuən5	相〜,〜沌
淹	ian1	
添	tʰian1	
清	tʃʰiəŋ1	
漸	tɕian5	
澠	mian3	〜池
滲	sən5	水渗透
渠	tɕʰy2	
渡	tu2	
渣	tsa1	
溫	uən1	
港	kɑŋ3	〜口
渴	kʰa3	
游	iəu2	
渺	miɔu3	
湖	xu2	
湘	ʃɑŋ1	
灣	uan1	
溼	ʃɿ3	
潰	xuei5	〜脓
濺	tɕian5	〜一身水
溉	kai5	
源	yan2	
溜	liəu3	
溪	ɕi1	
溺	ni5	
溻	tʰa3	
滂	pʰɑŋ2	〜沱
滋	tsɿ1	
滑	xua2	
滓	tsɿ3	
滔	tʰɔu1	
滚	kuən3	
滯	tʃɿ5	(停〜,积〜)
滿	man3	
濾	ly5	
濫	lan5	
灘	tʰan1	
滴	ti3	
漂	pʰiɔu1	〜浮
漂	pʰiɔu5	〜亮
漆	tʃʰɿ3	
漏	ləu1	
演	ian3	
漤	lan3	
漫	man5	
漱	su5	〜口
潘	pʰan1	
潛	tɕʰian5	
潭	tʰan2	
潮	tʃʰɔu2	
潲	sɔu5	〜食,〜雨
澄	tʃʰəŋ2	
澄	tsəŋ2	水浑,~一〜
澡	tsɔu3	
激	tɕi3	
瀑	pʰu3	〜土
灌	kuan5	
灒	tsan5	溅
火	xuə3	
滅	miə5	
燈	təŋ1	
灰	xuei1	
靈	liəŋ1	
竈	tsɔu5	
灸	tɕiəu1	针〜
災	tsai1	
燦	tsʰan5	
爐	lu1	
炊	tsʰei1	
炎	ian1	
炒	tsʰɔu3	
炕	kʰɑŋ5	
炙	tʃɿ5	
炭	tʰan5	
炸	tsa2	〜弹
炸	tsa2	用油〜
點	tian3	
煉	lian5	
爛	lan2	
烈	liə5	
烘	xuəŋ1	
烙	luə5	
燭	tsu3	
烟	ian1	
烤	kʰɔu3	
煩	fan2	
燒	ʃɔu1	
燙	tʰɑŋ5	
熱	iə5	
烹	pʰəŋ1	
焉	ian1	心不在〜
焊	xan2	~铁壶
煥	xuan2	
焦	tʃɔu1	
焯	tsʰɔu5=	
焰	ian5	
然	ian2	
煎	tɕian1	
煤	mei2	
照	tʃɔu5	
煨	uei3	
煮	tʃy3	
熄	ʃɿ3	
熊	ɕyəŋ2	
熏	ɕyən1	
熙	ɕi1	
熟	ʃy2	
熥	tʰəŋ1	
熨	yən5	
熬	ɔu1	
燃	ian2	
燎	liɔu3	火〜眉毛
燐	liən1	
燕	ian5	〜京,姓,~子
爆	pɔu5	
爊	ɔu1	〜白菜
爪	tsua3	~子
爪	tsɔu3	〜牙
爬	pʰa2	
愛	ai5	
爵	tʃyə2	
父	fu5	
爺	iə1	
爸	pa5	
爹	tiə1	
爽	suɑŋ3	
片	pʰian5	
版	pan3	
牌	pʰai2	
牘	tu2	
牒	tiə2	
牙	ia1	
牚	tʃʰəŋ5	椅子〜儿
牛	niəu1	
牡	mu3	
牢	lɔu1	
牧	mu5	
物	u5	
牲	səŋ1	
牽	tɕʰian1	
牸	tsɿ3	(〜牛)
特	tʰə2	
犧	ɕi1	
犀	ʃɿ1	
犁	li1	
犢	tu2	
犍	tɕian1	~子
犒	kʰɔu5	
犬	tɕʰyan3	
犯	fan2	
狀	tsuɑŋ5	
狂	kʰuɑŋ2	
狄	ti2	
狍	pʰɔu3	
狐	xu2	
狗	kəu3	
狡	tɕiɔu3	
獨	tu2	
狹	ɕia3	
獅	sɿ1	
獄	y5	
狸	li1	
狼	lɑŋ2	
獵	lie5	
猛	məŋ3	
猜	tsʰai1	
猝	tɕʰu3	仓〜
豬	tʃy1	
猫	mɔu1	
獻	ɕian3	
猴	xəu2	
猾	xua2	
獺	tʰa3	水〜
玄	ɕyan2	
率	suai5	〜领
率	ly5	速〜
玉	y5	
王	uɑŋ2	
玩	uan2	
環	xuan2	
現	ɕian5	
璽	ʃɿ3	
玻	pə1	
珊	san3	
珍	tʃən3	
珠	tʃy1	
班	pan1	
球	tɕʰiəu2	
理	li3	
琉	liəu2	
琢	tsuə3	
琴	tɕʰiən2	
琵	pʰi2	
琶	pʰa2	
瓊	tɕʰyəŋ2	
瑕	ɕia2	
瑞	suei5	
瑟	sə3	
璀	tsʰei3	
璃	li5	玻〜
璧	pi3	
璺	uən2	裂〜
瓜	kua1	
瓢	pʰiɔu2	
瓣	pan2	
瓤	iɑŋ1	瓜〜
瓦	ua5	动词
瓦	ua3	名词
瓮	uəŋ3	
甌	əu1	
瓶	pʰiəŋ2	
瓷	tsʰɿ2	瓷器
甘	kan1	
甚	ʃən5	
甜	tʰian2	
生	səŋ1	
甥	səŋ1	
用	yəŋ5	
甫	fu3	
甬	yəŋ3	
田	tʰian2	
由	iəu2	
申	ʃən1	
電	tian5	
男	nan1	
町	tiəŋ1	
畫	xua5	
暢	tʃʰɑŋ5	
界	tɕie5	
畏	uei3	
留	liəu1	
畜	ɕy3	
畜	tɕʰu5	
略	lyə5	
畦	ʃɿ2	
番	fan1	几〜
疆	tɕiɑŋ1	
疏	su1	~远
疑	i2	
療	liɔu5	
疝	san5	
瘍	iɑŋ2	溃〜
疤	pa1	
疥	tɕie5	
疫	i2	
瘡	tsʰɑŋ1	
瘋	fəŋ1	
疲	pʰi2	
疵	tsʰɿ2	吹毛求〜
疹	tʃən3	
疼	tʰəŋ1	
疾	tʃɿ5	
痂	tɕia1	
病	piəŋ2	
症	tʃəŋ5	
癰	yəŋ1	
痒	iɑŋ3	
痔	tʃɿ2	
痕	xən2	
痢	li5	
痣	tɕi5	
痰	tʰan2	
痱	fei3	~子
癡	tʃʰɿ1	
痹	pi5	(麻〜)
瘊	xəu2	~子
瘌	lai2	
瘟	uən1	
瘦	səu5	
瘧	yə5	〜疾,发~子
瘴	tʃɑŋ5	
癩	lai2	
癬	ɕyan3	
癸	kuei3	
登	təŋ1	
白	pə2	
百	pə3	
皂	tsɔu5	
的	ti5	(目〜)
皆	tɕie1	
皇	xuɑŋ2	
皖	uan5	
皮	pʰi2	
皺	tsəu1	
皴	tsʰuən1	脸〜
皿	miən3	
盂	y1	
盅	tsuəŋ1	
盆	pʰən2	
盈	iəŋ1	
益	i2	
盞	tsan3	
鹽	ian1	
監	tɕian1	〜察
盒	xuə3	
盔	kʰuei1	
盖	kai5	
盜	tɔu5	
盤	pʰan2	
盛	tʃʰəŋ2	〜满了
盛	ʃəŋ5	兴〜
盟	məŋ3	
目	mu5	
盲	mɑŋ3	
直	tʃɿ2	
相	ʃɑŋ5	〜貌
相	ʃɑŋ1	互〜
盼	pʰan5	
盾	tən2	矛〜,赵〜
省	ʃiəŋ3	反〜
省	səŋ3	节〜
眉	mei1	
看	kʰan1	〜守
看	kʰan5	〜见
瞘	kəu1	眼〜
真	tʃən1	
眠	mian1	
眨	tsa3	〜眼
眩	ɕyan2	
眵	tsʰɿ1	眼〜
眶	kʰuɑŋ1	眼〜
眷	tɕyan5	
眼	ian3	
着	tsuə5	〜衣
着	tsuə2	睡〜,附〜
睜	tsəŋ1	
睛	tʃiəŋ1	
睡	suei2	
督	tu1	
睬	tsʰai3	
瞅	tsʰəu3	
瞎	ɕia3	
瞞	man1	
瞧	tʃʰɔu2	
瞪	təŋ2	瞪眼
瞭	liɔu5	
瞳	tʰuəŋ2	
瞳	tʰan3	
瞻	tɕian5	
瞿	tɕʰy3	
矛	mɔu2	
矢	sɿ5	
矣	i3	
知	tʃɿ1	(〜道)
知	tʃɿ1	(〜了)
矩	tɕy5	规〜
矯	tɕiɔu3	〜诈
短	tan3	
矮	ie3	
石	ʃɿ2	
礬	fan2	
碼	ma3	
砌	tʃʰɿ5	
砍	kʰan3	
研	ian2	
磚	tsuan1	
硯	ian2	
破	pʰə5	
礎	tɕʰu3	
硝	ʃɔu1	
硫	liəu2	
硬	iəŋ2	
確	tɕʰyə5	
礙	ai5	
碎	sei5	
碑	pei1	
碓	tei5	
碗	uan3	
碟	tiə2	
碧	pi5	
碨	uei5	
鹼	tɕian3	
碾	nian3	
磁	tsʰɿ2	
磕	kʰa3	
磨	mə1	〜刀,石〜
磬	tɕʰiəŋ5	
磺	xuɑŋ2	
礓	tɕiɑŋ1	〜石
示	sɿ5	
禮	li3	
社	ʃiə5	
祀	sɿ5	(祭〜)
祁	tɕʰi2	
祈	tɕʰi2	
祖	tsu1	
祝	tsu5	
神	ʃən2	
祠	tsʰɿ2	
祥	ʃɑŋ2	
票	pʰiɔu5	车〜
祭	tʃɿ5	
禱	tɔu3	
禍	xuə5	
稟	piəŋ3	
禁	tɕiən3	〜止
祿	lu5	
禪	ɕian5	~让
禪	tɕʰian3	〜宗
福	fu3	
禧	ɕi3	
禹	y3	
离	li5	〜别,距〜
禽	tɕʰiən2	
禾	xuə5	
秀	ʃəu5	
私	sɿ1	
秃	tʰu3	
稈	kan3	稻〜
秉	piəŋ3	
秋	tʃʰəu1	
種	tsuəŋ3	〜类
種	tsuəŋ5	〜树
科	kʰuə1	
秒	miɔu3	
租	tsu1	
秤	tʃʰəŋ5	一杆〜
秦	tɕʰiən2	
秧	iɑŋ1	
秩	tʃɿ3	
秫	ʃy5	
積	tʃɿ3	
稱	tʃʰəŋ1	〜呼,〜重量,相〜
秸	tɕie5	
移	i5	
穢	xuei5	
稀	ɕi1	
程	tʃʰəŋ2	
稍	sɔu1	
税	suei5	
稚	tʃɿ5	(幼〜)
稠	tʃʰəu2	
穩	uən3	
稻	tɔu2	
稼	tɕia2	
稽	tɕi5	
稿	kɔu3	
穄	tʃɿ5	
穆	mu5	
穈	mi5	(~子)
穗	sei2	
穰	iɑŋ1	禾茎
穴	ɕyə2	
窮	tɕʰyəŋ2	
空	kʰuəŋ1	
穿	tsʰuan1	
突	tʰu3	
窄	tsə3	
竅	tɕʰiɔu5	
窯	iɔu2	
窖	tʃɔu5	
窗	tsʰuɑŋ1	
窘	tɕyəŋ5	
竄	tsʰan5	
窩	uə1	
窟	kʰu3	〜窿
窺	kʰuei1	
窨	iən5	地~子
立	li5	
豎	ʃy2	
站	tsan5	〜立,车〜
竟	tɕiəŋ5	
章	tʃɑŋ1	
童	tʰuəŋ2	
端	tan1	
竹	tsu3	
竿	kan5	竹〜
篤	tu3	
笊	tsɔu5	〜篱
笋	suən3	
笑	ʃɔu5	
筆	pi3	
笙	səŋ1	
笛	ti2	
笠	li5	
笡	ʃiə2	
符	fu3	
笨	pən2	
第	ti5	
箋	tɕian1	
籠	luəŋ1	
等	təŋ3	
筋	tɕiən1	
筏	fa5	
筐	kʰuɑŋ1	
筑	tsu5	
筒	tʰuəŋ3	
答	ta2	
策	tsʰə3	
篩	sai1	~子
箏	tsəŋ1	
筵	ian1	
筷	kʰuai5	
籌	tʃʰəu2	
签	tɕʰian1	
簡	tɕian3	
箍	ku1	
算	san5	
管	kuan3	
簫	ʃɔu1	
箭	tɕian5	
箱	ʃɑŋ1	
箸	tʃy2	
篆	tsuan5	
篇	pʰian1	
簍	ləu3	
篙	kɔu1	
篡	tsʰuan5	
篦	pi2	
籃	lan2	
籬	li5	
篷	pʰəŋ2	
簧	xuɑŋ2	锁〜
簪	tsan1	
簸	pə3	~一〜
簸	pə5	〜箕
簿	pu2	
籍	tʃɿ3	
米	mi3	
類	lei5	
粉	fən3	
粒	li5	
粗	tɕʰu1	
粘	nian1	〜贴
粟	su3	
粤	yə5	
粥	tʃəu1	
糞	fən5	
糧	liɑŋ2	
粱	liɑŋ1	
粹	tsʰei5	纯〜
糉	tsəŋ5	
精	tʃiəŋ1	
糍	tsʰɿ2	〜杷
糕	kɔu1	
糖	tʰɑŋ2	
糗	tɕʰiəu3	面〜了
糙	tsʰɔu5	粗〜,〜米
糜	mi3	糜粥
糟	tsɔu1	
糠	kʰɑŋ1	
糯	nuə5	
系	tɕi5	〜鞋带
系	ɕi5	世〜,联〜
素	su3	
索	suə3	绳〜
緊	tɕiən3	
紫	tsɿ3	
累	lei3	〜积
累	lei2	极困,连〜
絮	ʃy5	
繁	fan2	
纂	tsan5	编〜
糾	tɕiəu1	
紅	xuəŋ2	
紂	tʃəu2	
約	yə5	
級	tɕi2	
紀	tɕi5	〜律
紉	iən3	缝
緯	uei3	
純	tsʰuən2	
紗	sa1	
綱	kɑŋ1	
納	na3	
縱	tsuəŋ3	〜横
縱	tsuəŋ5	放〜
紛	fən1	
紙	tsɿ3	
紋	uən1	
紡	fɑŋ3	
紐	niəu3	
線	ɕian5	
練	lian5	
細	ʃɿ5	
織	tʃɿ3	
終	tsuəŋ3	
縐	tsəu5	
絆	pan5	
紹	ʃɔu5	
經	tɕiəŋ1	
綁	pɑŋ3	
絨	yəŋ1	
結	tɕiə3	
繞	iɔu1	〜线
繞	iɔu1	围〜
繪	xuei5	
給	tɕi3	~你,供〜
絡	luə5	
絶	tʃyə2	
絞	tɕiɔu3	
統	tʰuəŋ3	
絹	tɕyan5	
繡	ʃəu5	
綏	sei1	
繼	tɕi5	
績	tʃɿ3	
緒	ʃy5	
續	ʃy5	
繩	ʃəŋ2	
維	uei3	
綿	mian1	
綢	tʃʰəu2	
綜	tsuəŋ3	
綻	tɕian5	破〜
綠	lu5-	
綴	tsei1	点〜
緬	mian3	
纜	lan3	
緞	tan5	
緩	xuan3	
縷	liəu3	
編	pian1	
緣	yan2	
縛	fu3	
縫	fəŋ2	〜衣服,一条〜
纏	tɕʰian2	
縊	i5	
纓	iəŋ1	
縮	suə5	
繮	tɕiɑŋ1	~绳
繰	tʃʰɔu1	〜边
繳	tɕiɔu1	上〜
缸	kɑŋ1	
缺	tɕʰyə3	
罐	kuan5	
网	uɑŋ3	
罕	xan3	
羅	luə1	
罰	fa5	
罷	pa5	
罩	tsɔu5	
罪	tsei5	
置	tʃɿ5	
署	ʃy3	
羊	iɑŋ1	
羌	tɕʰiɑŋ3	
美	mei3	
羔	kɔu1	
羞	ʃəu1	
羡	ɕyan3	
群	tɕʰyən2	
羽	y3	
翁	uəŋ1	
翎	liəŋ1	
翠	tsʰei5	
翡	fei3	〜翠
翰	xan5	
翻	fan1	
翼	i5	
耀	iɔu5	
老	lɔu3	
考	kʰɔu3	
者	tʃiə3	
而	ɚ3	
耍	sua3	
耐	nai5	
耕	kəŋ1	
耗	xɔu5	
耙	pʰa2	~子
耙	pa2	〜地
耬	ləu5	播种用的工具
耩	tɕiəŋ5	〜地
耳	ɚ3	
耶	iə3	
耻	tʃʰɿ2	
耽	tan1	
耿	kəŋ3	
聶	nie5	姓
聊	liɔu1	
聾	luəŋ1	
職	tʃɿ3	
聒	tuə3	〜耳朵
聯	lian2	
聘	pʰiən2	
聚	tʃy5	
聰	tsʰuəŋ1	
肅	su5	
肄	i5	〜业
肆	sɿ5	
肉	iəu5	
肋	lə3	
肌	tɕi1	
肘	tʃəu3	
肝	kan1	
腸	tʃʰɑŋ2	
股	ku3	
肢	tsɿ1	
膚	fu1	
肥	fei2	
肩	tɕian1	
肪	fɑŋ2	脂〜
骯	ɑŋ1	〜脏
肯	kʰən3	
育	y5	
肴	iɔu2	
肺	fei5	
腎	ʃən5	
腫	tsuəŋ3	
脹	tʃɑŋ5	
脅	ɕie3	
胃	uei5	
膽	tan3	
背	pei5	
胎	tʰai1	
胖	pʰɑŋ5	
胚	pʰei1	〜胎
勝	ʃəŋ5	〜任,〜败
胞	pɔu1	
胡	xu2	
胳	kə3	〜膊
膠	tɕiɔu1	
胸	ɕyəŋ1	
能	nəŋ2	
脂	tsɿ1	
脆	tsʰei5	
脉	mə5	
脊	tʃɿ3	
臍	tʃʰɿ2	
腦	nɔu3	
膿	nuəŋ1	
脚	tɕyə3	
脯	pʰu3	
脯	fu3	杏〜
脱	tʰə3-	
脱	tʰuə3=	
腡	luə2	
臉	lian3	
脾	pʰi3	
腆	tʰian3	〜肚子
臘	la5	
腋	iə5	
腌	ian1	
腐	fu3	
腑	fu3	
腔	tɕʰiɑŋ1	
腕	uan5	
腥	ʃəŋ1	
腥	ʃiəŋ5	
腮	sai1	
腰	iɔu1	
腱	tɕian5	
膩	ni2	
騰	tʰəŋ2	
腿	tʰei3	
膏	kɔu1	
膘	piɔu1	肥〜
膜	mə5	
膝	ʃɿ3	
膨	pʰəŋ2	〜胀
膳	ɕian5	
臀	tʰən2	
臂	pi3	
臊	sɔu1	~气
臣	tʃʰən1	
自	tsɿ3	
臭	tʃʰəu5	
至	tʃɿ5	
致	tʃɿ5	
臻	tʃən5	
臼	tɕiəu2	
舀	iɔu3	〜水
舅	tɕiəu5	
舌	ʃiə2	
舍	ʃiə3	〜得
舍	ʃiə5	宿〜
舒	ʃy1	
舔	tʰian3	以舌取物
舜	suən5	
舞	u3	
舟	tʃəu1	
航	xɑŋ2	
般	pan1	
艦	tɕian5	
舵	tuə2	
船	tsʰuan2	
艇	tʰiəŋ3	
良	liɑŋ2	
艱	tɕian1	
色	sə3	
豔	ian5	
藝	i5	
艾	ai2	
節	tʃiə3	
芋	y2	
芍	ʃyə2	〜药
芒	mɑŋ1	
芒	uɑŋ1	麦〜儿
芙	fu1	
芝	tsɿ1	
芥	tɕie5	
蘆	lu3	
芬	fən1	
芭	pa5	
芮	lei5	
花	xua1	
芳	fɑŋ1	
芹	tɕʰiən1	
芽	ia1	
葦	uei3	芦〜
蒼	tsʰɑŋ1	
苧	tʃy5	〜麻
苏	su1	
苔	tʰai1	舌〜
苔	tʰai2	青〜
苗	miɔu1	
苟	kəu3	
若	yə5	
苦	kʰu3	
英	iəŋ1	
茂	mɔu5	
范	fan2	
茄	tɕʰiə2	
茅	mɔu1	
