#漢字	音標	解釋
䉪	lui	一種捕魚工具、深䉪,地名
得	tɐk7b	得知隨
徘	pʰui4	
徙	sai	
徜	siuŋ4	
從	tsʰʊŋ4	
從	sʊŋ1	
從	tsʊŋ	
御	ji	
徨	wɐŋ4	
復	fʊk	復原
復	fʊk	回復
循	tsʰɐn4	
徬	pʰuŋ4	彷徨
微	mei4	
徵	tsi	古代五音之一
徵	tsɪŋ1	徵求
德	tɐk	
徹	tsʰit7b	
徽	fei1	
心	sɐm1	
心	sɐm5	變調
必	pit	
忌	kei	
忍	jɐn	
忐	han	
忑	hɪk	
忒	hɪk	
忖	tsʰɐn	
志	tsi1	
忘	muŋ4	
忙	muŋ4	
忠	tsʊŋ1	
忡	tsʰʊŋ1	
忪	sʊŋ1	惺忪
忪	tsʊŋ1	怔忪
快	fai1	
快	fai	變調
忱	sɐm4	
念	nim	
忽	fɐt	
忿	fɐn	
怎	tsɐm	
怒	nou	
怔	tsɪŋ1	
怕	pʰa1	
怖	pou1	
思	si1	
思	sui1	于思
怠	tui	
怡	ji4	
急	kɐp	
性	sɪŋ1	
怨	jan1	
怪	kuai1	
怯	hip7b	
怵	tsɐt	
恁	jɐm	
恁	nɪŋ4	
恃	si	
恆	hɐŋ4	
恍	fɐŋ	
恐	hʊŋ	
恕	si1	
恢	fui1	
恣	tsi1	恣意
恤	sɐt	
耻	tsʰi	
恨	hɐn	
恩	jɐn1	
恬	him4	
恭	kʊŋ1	
息	sɪk	
恰	hɐp	
恿	jʊŋ	
悄	tsʰiu	
悦	jat	
悉	sɪk	
悍	hun	
悔	fui1	
悖	pui1	
悖	pui	
悚	sʊŋ	
悟	m	
悠	jou4	
患	wan	
您	nei1	
悱	fei	
悲	pei1	
悴	sui	
悵	tsʰiuŋ1	
悶	mun	
悸	kuei1	
悼	tau	
悽	tsʰei1	
情	tsʰɛŋ4	情願,白讀
情	tsʰɪŋ4	
惆	tsʰu4	
惋	wun	
惑	wɐk	
惕	hɪk	
惘	muŋ	
惚	fɐt	
惜	tsʰɛk7b	疼愛,白讀
惜	sɛk7b	疼愛,白讀
惜	sɪk	
惟	wei4	
惠	wei	
惡	ŋuk	
惡	ŋuk7b	惡毒
惡	wu1	可惡
惦	tim1	
惰	tu	
惱	nau	
想	siuŋ	
惴	tsui1	
惶	wɐŋ4	
惹	ja	
惺	sɪŋ1	
惻	tsʰɐk7b	
愁	sou4	
愈	ji	
愉	ji4	
意	ji1	
愕	ŋuk	
愚	ji4	
愛	ŋui1	
愜	hip7b	
感	kɐm	
愣	lɪŋ	
愧	kʰuei1	
愴	tsʰuŋ1	
愾	kʰui1	
慄	lɐt	
慈	tsʰi4	
態	hai1	
慌	fɐŋ1	
慎	sɐn	
慕	mou	
慘	tsʰam	
慚	tsʰam4	
慢	man	
慣	kuan1	
慧	wei	
慨	kʰui1	
慫	sʊŋ	
慮	lui	
慰	wei1	
慶	hɪŋ1	
慷	huŋ	
慾	jʊk	
憂	jou1	
憊	pei	
憎	tsɐŋ1	
憐	lin4	
憑	pʰɐŋ4	
憔	tsʰiu4	
憚	tan	
憤	fɐn	
憧	tsʰʊŋ	
憨	hɐm1	
憩	hei1	
憫	mɐn1	
憫	mɐn	
憫	mɐn5	
憬	kɪŋ	
憲	hin1	
憶	jɪk	
憾	hɐm	
懂	tʊŋ	
懇	hɐn	
懈	hai	
應	jɪŋ1	
懊	ŋau1	
懍	lɐm5	
懦	nu	
懲	tsʰɪŋ4	
懵	mʊŋ	
懶	lan1	
懷	wai4	
懸	jan4	
懼	kui	
懾	sip7b	
懿	ji1	
戀	lyn	
戈	kua1	
戊	mou	
戌	sɐt	
成	sɛŋ4	白讀
成	sɪŋ4	
我	ŋai1	
我	ŋu1	
戒	kai1	
戕	tsʰiuŋ4	
或	wɐk	
戚	tsʰɪk	
截	tsit	
戰	tsin1	
戲	hei1	
戳	tsʰuk7b	
戴	tai1	
户	fu	又音
户	wu	
戾	lui	
房	fɐŋ4	
房	fɐŋ5	變調
所	su	
扁	pin	扁平
扁	pʰin1	一葉扁舟
扇	sin1	
扈	wu	
扉	fei1	
手	su	
才	tsʰui4	
扎	tsat7b	
扒	pʰa	扒飯
扒	pʰa4	豬扒
打	ta	
扔	wɪŋ	
托	huk7b	
扛	kuŋ1	遞送、拿
扣	kʰou1	
扭	nou	
扮	pan	
扯	tsʰi	
扯	tsʰia	
扶	fu4	
批	pʰei1	
扼	ŋɐk	
找	tsau	
承	sɪŋ4	
技	kei	
抄	tsʰau1	
抄	tsʰau	
抉	kʰyt7b	
把	pa	
抑	jɪk	
抒	si1	
抓	tsau	
投	hou4	
抖	tou	
抗	kʰuŋ1	
折	sit	折本
折	tsiat7b	白讀
折	tsit7b	
披	pʰei1	
抬	hui4	
抱	pʰau	擁抱
抱	pʰau	抱住
抵	tei	
抵	ti	白讀
抹	mat7b	抹檯
抹	mut7b	
押	ŋat7b	
抽	tsʰu1	
拂	fɐt	
拄	tsi	
拆	tsʰɐk7b	
拇	mou5	
拈	nim1	拈花惹草
拈	nim	拈線
拉	lai1	
抛	pʰiu1	
拌	pun	
拍	pʰɐk7b	
拎	lɪŋ1	
拐	kuai	
拑	kʰim4	
拒	kʰui1	
拒	kʰui5	距離
拓	tap	拓本
拓	huk7b	
拔	pɐt	
拖	hu1	
拘	kʰui1	
拙	tsyt7b	骨折
拚	pʰun1	
招	tsiu1	
拜	pai1	
括	kʰut7b	
拭	sɪk	
拮	kit7b	
拯	tsʰɪŋ	
拱	kʊŋ	
拳	kʰyn4	
拴	tsʰyn4	
拴	san1	
拷	hiu1	
拼	pʰɪŋ1	
拾	sɐp	
拿	na4	
持	tsʰi4	
指	tsi	
按	ŋun1	
挑	hau1	挑達
挑	hiu1	挑水
挖	wat7b	
挨	ŋai4	
挪	nu4	
挫	tsʰu1	
振	tsɐn1	
挺	hɪŋ1	
挽	wan1	
挽	wan5	
挾	hip7b	
捆	kʰuɐn	
捉	tsʊk	
捉	tsuk	
捌	pit7b	
捏	nip	
捐	kyn1	
捕	pou	
捧	pʰʊŋ	
捨	sia	
捩	lei	
捩	lit	捩手
据	kui1	
捱	ŋai4	
捲	kyn	
捷	tsit	
捺	nat	
掀	hin1	
掃	sau1	
掄	lɐn4	
授	su	
掉	tiu	
掌	tsiuŋ	
掏	hau4	
掐	hap7b	
排	pʰai4	
掘	kuɐt	
掙	tsɐŋ1	掙脫
掙	tsɐŋ	掙錢
掛	kua1	
掛	kʰua1	
掠	liuk	
採	tsʰui	
探	ham1	
掣	tsei1	
接	tsip7b	
控	hʊŋ1	
推	hui1	
掩	jam	
措	tsʰou1	
掬	kʊk	
揀	kan	
揆	kʰuei5	
揉	jou4	
揍	tsou1	
描	miu4	
提	hei4	
插	tsʰap7b	
揖	jɐp	
揚	jiuŋ4	
換	wun	
揠	ŋat7b	
握	ŋɐk	
揣	tsʰyn	
揪	tsɐu1	
揭	kʰit7b	
揮	fei1	
援	wun4	
搆	kou1	
損	sɐn	
搏	puk7b	
搓	tsʰu1	
搔	sau1	
摇	jau4	
搗	tau	
搜	sou	
搞	kiu	
搥	tsʰui4	
搧	sin1	
搬	pun1	
搭	tap7b	
搶	tsʰiuŋ1	
搶	tsʰiuŋ	
摀	wu	
摆	pai	
摒	pɪŋ	
摔	sɐt	
摘	tsɐk	
摟	lou	
摟	lou4	摟抱
摧	tsʰui1	
摩	mu1	
摯	tsi1	
摳	kʰou1	
摸	mu	
摹	mou4	
摺	tsip7b	
摻	tsʰam1	
撅	kʰyt7b	
撇	pʰit7b	
撈	lau1	撈麵
撈	lau4	打撈
撈	lau	撈頭
撑	tsʰɐŋ1	
撒	sat7b	
撓	nau4	
撕	si1	
撞	tsuŋ	
撞	tsʰuŋ	
撢	tan	雞毛撢子
撤	tsʰit7b	
撥	put	
撩	liu	撩開
撩	liu4	撩動
撫	fu	
播	pu1	
撮	tsʰut7b	
撰	tsan	
撲	pʰuk7b	
撼	hɐm	
撿	kim	
擁	jʊŋ	
擂	lui4	
擄	lou1	
擄	lou5	
擅	sin	
擇	tsɐk	
擊	kɪk	
擋	tuŋ1	摒擋
擋	tuŋ	阻擋
操	tsʰau1	
擎	kʰɪŋ4	
擒	kʰɐm4	
擔	tam1	
據	kui1	
擠	tsei1	
擢	tsuk	
擣	tau	
擤	sɐŋ1	
擦	tsʰat7b	
擬	ji5	
擱	kuk7b	
擲	tsɐk	
擴	kʰuɐŋ1	
擺	pai	
擻	sou1	擻火
擻	sou	抖擻
擾	jau	
攀	pʰan1	
攏	lʊŋ5	
攔	lan4	
攘	jiuŋ4	攘除
攘	jiuŋ5	擾攘
攙	tsʰam1	
攜	kʰuei4	
攝	sip7b	
攤	han1	
攪	kiu	
攬	lam	
攬	lam5	
支	tsi1	
收	su1	
攸	jou4	
改	kui	
攻	kʊŋ1	
放	fɐŋ1	
政	tsɪŋ1	
故	ku1	
效	hiu	
敏	mɐn1	
敏	mɐn5	
救	kɐu1	
敕	tsʰɪk	
敖	ŋau4	
敗	pai	
敘	tsui	
教	kiu1	教室
敝	pei	
敞	tsʰuŋ	
敢	kɐm	
散	san1	散文
散	san	散步
敦	tɐn1	
敬	kɛŋ1	敬惜,白讀
敬	kɪŋ1	尊敬
敲	hiu1	
敲	kʰiu1	白讀
整	tsɪŋ	
敵	tɪk	
敷	fu1	
數	sou1	數字
數	sou	數一下
數	suk7b	數見不鮮
斂	lim1	
斂	lim5	
斃	pei	
文	mɐn4	
斐	fei	
斑	pan1	
斕	lan4	
斗	tou	
料	liu	
斛	fʊk	
斜	tsʰia4	
斜	tsʰia5	斜斜轉
斟	tsɐm1	
斤	kɐn1	
斥	tsʰɪk	
斧	fu	
斬	tsam	
斯	si1	
新	sɐn1	
斷	tun	診斷
斷	tun	恩斷義絕
斷	hun1	斷了
方	fɐŋ1	
於	ji1	
施	si1	
旁	pʰuŋ4	
旅	lui5	
旋	syn4	
旋	syn	
族	tsʊk	
旗	kʰei4	
既	kei1	
日	jɐt	
旦	tan1	
旨	tsi	
早	tsau	
旬	tsʰɐn4	
旭	jʊk	
旱	hun1	
旺	wɐŋ	
昂	ŋuŋ4	
昆	kʰuɐn1	
昇	sɪŋ1	
昌	tsʰiuŋ1	
明	mɛŋ4	明解,白讀
明	mɪŋ4	
昏	fɐn1	
易	ji	容易
易	jɪk	交易
昔	sɪk	
星	sɪŋ1	
映	jɛŋ	放映,白讀
映	jɪŋ	
春	tsʰɐn1	
昧	mui	
昨	tsuk	
昭	tsʰiu1	
是	si	
昱	jʊk	
晁	tsʰiu4	
時	si	該時、恁時,變調
時	si4	
晃	fɐŋ	
晉	tsɐn1	
晌	hiuŋ	
晏	ŋan1	
曬	sai1	
晚	man5	
晝	tsu1	
晤	m	
晦	fui1	
晨	sɐn4	
普	pʰou	
景	kɪŋ	
晰	sɪk	
晴	tsʰɛŋ4	晴水,白讀,天放晴
晴	tsʰɪŋ4	
晶	tsɪŋ1	
晷	kuei	
智	tsi1	
晾	luŋ	
暄	hyn1	
暇	ha	
暈	wɐn4	頭暈
暈	wɐn	日暈
暉	fei1	
暑	si	
暖	nun1	
暗	ŋɐm1	
暢	tsʰiuŋ1	
暨	kʰei1	
暫	tsam	
暮	mou	
暱	nat7b	暱埋,躲藏
暱	nɪk	
暱	nɪk	暱名
暴	pau	凶暴
暴	pʊk	一暴十寒
曆	lɪk	
曉	hiu	
曙	si1	
曜	jau	
曝	pʊk	
曠	kʰuɐŋ1	
曦	hei1	
曰	jat	
曰	jiuk7b	
曲	kʰʊk	
曳	jai	
更	kɐŋ1	
書	si1	
曹	tsʰau4	
曼	man	
曾	tsʰɐŋ4	曾經
曾	tsɐŋ1	曾孫
替	hei1	
最	tsui1	
會	wui5	會游泳
會	wui	會計
月	jat	
月	jat9	
有	jiu1	
有	jou	十有一
朋	pʰɐŋ4	
服	fʊk	
朔	suk7b	
朕	tsɐm	
朗	luŋ5	
望	muŋ	
朝	tsʰiu4	朝廷
朝	tsiau4	朝早
朝	tsiu1	朝夕
期	kei1	期年
期	kʰei4	日期
朦	mʊŋ4	
朧	lʊŋ4	
木	mʊk	
木	mʊk9	變調
未	mei	
末	mut	
本	pun	
札	tsat7b	
朮	sɐt	
朱	tsi1	
朶	tu	
朽	nou	
杆	kun1	
杉	tsʰam1	
李	lei	姓氏
杏	hɐŋ	
材	tsʰui4	
村	tsʰɐn1	
村	tsʰɐn5	
杖	tsiuŋ	
杜	tou	
杞	kei	
束	tsʰʊk	
杭	huŋ4	
杯	pui1	
杰	kit	
東	tʊŋ1	
杳	miu1	
杳	miu5	
杵	tsʰi1	
杵	tsʰi5	
杷	pʰa4	
杼	tsʰi1	
杼	tsʰi5	
松	tsʰʊŋ4	
板	pan	
枇	pʰei4	
枉	wɐŋ	
析	sɪk	
枒	ŋa4	
枕	tsɐm1	枕戈待旦
枕	tsɐm	枕頭
林	lɐm4	
枚	mui4	
果	kua	
枝	tsi1	
枯	fu1	
枳	tsi	
枴	kuai	
架	ka1	
架	ka5	變調
枷	ka1	
枸	kou	
柄	pɛŋ1	
柄	pɪŋ	
柏	pʰɐk	柏樹
柏	pʰɐk7b	
某	mou1	
某	mou5	
柑	kɐm1	
柒	tsʰɐt	
染	jam1	
柔	jou4	
柚	jou	
柢	tei	
查	tsʰa4	檢查
查	tsa1	姓查
柯	fu1	
柯	kʰu1	
柯	ŋu1	
柱	tsʰi1	
柱	tsʰui5	白讀
柳	lou5	
柴	tsʰai4	
栅	tsʰɐk7b	木柵
栅	san1	柵極
柿	si5	
柿	si	柿餅
栓	san1	
栗	lɐt	
校	kiu1	校對
校	hiu	學校
栩	hui	
株	tsi1	
核	hɐt	
核	wɐt9	
核	wɐt	
根	kɐn1	
格	kɐk9	
格	kɐk7b	
栽	tsui1	
桁	hɐŋ1	三桁瓦,地名
桁	pʰɐŋ1	三桁瓦,地名,連讀
桂	kuei1	
桃	hau4	
桅	wei4	
框	huŋ1	
案	ŋun1	
桌	tsʰiuk	拜桌
桌	tsʰiuk7b	
桐	hʊŋ4	
桑	suŋ1	
桓	wun4	
桔	kɐt	桔梗
桔	kʰit7b	桔柣
桕	kʰɐu1	
桶	hʊŋ	
桶	hʊŋ5	垃圾桶、櫃桶
桿	kun1	
梁	liuŋ4	
梅	mui4	
梓	tsi	
梗	kɐŋ	
梗	kuɐŋ	
條	hiu4	
梢	sau1	
梧	m̩4	
梨	lei4	
梭	su1	
梯	hei1	
梯	hi1	白讀
械	hai	
梳	su1	
梵	fan4	
棄	hei1	
棉	min4	
棋	kʰei4	
棍	kuɐn1	
棍	kuɐn5	變調
棒	pʰɐŋ5	
棕	tsʊŋ1	
棗	tsau	
棘	kɪk	
棚	pʰɐŋ4	
棟	tʊŋ	
棠	huŋ4	
棧	tsan	
森	sɐm1	
棲	tsʰei1	
棵	fu	
棺	kun1	
椅	ji	
植	tsɪk	
椎	tsʰui4	鐵椎
椎	tsui1	脊椎
椏	ŋa1	
椒	tsiu1	
椰	ja4	
楊	jiuŋ4	
楓	fʊŋ1	
楔	sit7b	
楚	tsʰu	
楞	lɪŋ4	楞角
楞	lɪŋ	發楞
楠	nam4	
楣	mei4	
楨	tsɪŋ1	
業	jap	
極	kɪk	
楷	kai1	楷書
楷	kʰai	楷模
概	kʰui1	
榆	ji4	
榔	luŋ4	
榕	jʊŋ4	
榜	puŋ	
榨	tsa1	
榭	tsia	
榮	wɪŋ4	
榴	lou4	
榻	hap7b	
構	kʰou1	
槌	tsʰui4	
槍	tsʰiuŋ1	
槎	tsʰa4	
槐	wai4	
杠	kuŋ1	
杠	kuŋ5	變調
槳	tsiuŋ	
槽	tsʰau4	
槿	kɐn	
樁	tsuŋ1	
樂	luk	快樂
樂	ŋau	仁者樂山
樂	ŋuk	音樂
樅	tsʊŋ1	
樊	fan4	
樓	lou4	
標	piu1	
樞	si1	
樟	tsiuŋ1	
模	mou4	
樣	jiuŋ	
樵	tsʰiu4	
樸	pʰuk7b	
樹	si	
樺	wa4	
橄	kam	
橋	kʰiu4	
橘	kɐt	
橙	tsʰɐŋ4	
橛	kit	兩橛
橛	kʰit7b	木橛子
機	kei1	
橡	tsiuŋ	
橢	hu1	
橢	hu5	
橫	wɐŋ4	
檀	han4	
檔	tuŋ1	拍檔
檔	tuŋ	檔案
檜	kʰui	
檢	kim	
檬	mʊŋ1	
檯	hui4	
檳	pɐn1	
檸	nɪŋ5	
檻	kʰam5	
檻	lam	
櫃	kuei	
櫓	lou1	
櫓	lou5	
櫚	lui4	
櫛	tsit7b	
櫥	tsʰi5	
櫥	tsʰui4	
櫸	kui	
櫻	jɪŋ1	
欄	lan4	
權	kʰyn4	
欖	lam	
欖	lam5	
欠	him1	
次	si1	
欣	jɐn1	
欲	jʊk	
欸	ʔai	
欺	hei1	
欽	jɐm1	
款	fun	
歇	kʰit7b	
歉	him1	
歌	ku1	
歎	han1	
歐	ŋou1	
歡	fun1	
止	tsi	
正	tsɛŋ1	好正,白讀
正	tsɪŋ1	正月
此	tsʰi	
步	pou	
武	mou5	
歧	kʰei4	
歪	wai1	
歲	sui1	
歷	lɪk	
歸	kuei1	
歹	tai	
死	sei	
殃	jiuŋ1	
殆	tui	
殉	sɐn1	
殊	si4	
殖	tsɪk	
殘	tsʰan4	
殫	tan1	
殮	lim	
段	tun	
殷	jɐn1	
殺	sai1	殺哀
殺	sat7b	殺敵
殼	huk7b	
殿	tin	
毁	wei	
毅	ŋei	
毋	mou4	
母	mou	
母	mou5	
每	mui1	
每	mui	
每	mui5	
毒	tʊk	
比	pei	比較
毛	mau4	
毫	hau4	
毬	kʰɐu4	
毯	han	
毽	kin1	
氈	tsin1	
氏	si	姓氏
氏	tsi1	月氏
民	mɐn4	
氛	fɐn1	
氣	hei1	
氧	jiuŋ5	
氫	hɪŋ1	
氯	lʊk	
水	sui	
永	wɪŋ5	
氾	fan	
汀	hɪŋ1	
汁	tsɐp	
求	kʰɐu4	
汐	tsɪk	
汗	hun4	可汗
汗	hun	流汗
汙	wu1	
汝	ji1	
汝	ji5	
江	kuŋ1	
池	tsʰi4	
污	wu1	
汪	wɐŋ1	
汰	hai1	
汲	kɐp	
汲	kʰɐp	
汴	pin	
決	kʰyt7b	
汽	hei1	
沁	sɐm1	
沂	ji4	
沃	jʊk	
沈	sɐm	
沉	tsʰɐm4	
沌	tɐn	
沏	tsʰei1	
沐	mʊk	
没	mut	
沓	tap	
沖	tsʰʊŋ1	
沙	sa1	
沙	sa5	變調
沛	pʰui1	
沫	mut	
沮	tsui1	沮水,水名
沮	tsui1	沮洳
沮	tsui	沮喪
沱	hu4	
河	hu4	
沸	fei1	
油	jou4	
治	tsi	
沼	tsiu	
沽	ku1	
沾	tsim1	
沿	jan4	
况	fɐŋ1	
泄	sit7b	
泉	tsʰyn4	
泊	puk	
泌	pei1	
法	fat	
法	fat7b	
泛	fan	
泡	pʰau1	好多泡
泡	pʰiu1	燈泡
泡	pʰiu1	浸泡
波	pu1	
泣	jɐp	
泥	nei4	泥土
泥	nei	拘泥
泥	ni5	泥土,白讀
注	tsi1	
泰	hai1	
泳	wɪŋ	
洄	wui4	
洋	jiuŋ4	
洗	sai	
洛	luk7b	
洞	tʊŋ	
津	tsɐn1	
洩	jai	洩洩
洩	sit7b	排洩
洪	hʊŋ4	
洱	nei	
洲	tsu1	
洶	hʊŋ1	
活	wut	
洽	hɐp	
派	pʰai1	
派	pʰai	老派新派
流	lou4	
浙	tsit7b	
浞	tsuk	
浣	wun	
浦	pʰou	
浩	hau	
浪	luŋ4	滄浪
浪	luŋ	波浪
浪	nuŋ	波浪(又音)
浮	fou4	
浴	jʊk	
海	hui	
浸	tsɐm1	
浹	tsip7b	
涂	hou4	
涇	kɪŋ1	
消	siu1	
涉	sip7b	
涓	kyn1	
涔	sɐm4	
涕	hei1	
涯	ŋai4	
液	jɪk	無射
涴	jan1	
涵	ham4	
涸	kʰuk7b	
涼	liuŋ4	
淅	sɪk	
淆	ŋiu4	
淇	kʰei4	
淋	lɐm4	
淌	huŋ	
淑	sʊk	
淒	tsʰei1	
淘	hau4	
淙	tsʊŋ1	
淚	lui	
淡	tam	冷淡
淡	ham1	好淡
淨	tsɛŋ	乾淨,白讀
淨	tsɪŋ	
淪	lɐn4	
淫	jɐm4	
淬	sui	
淮	wai4	
深	sɐm1	
淳	sɐn4	
淵	jan1	
混	wɐn	
淹	jam1	
淺	tsʰin	
添	him1	
清	tsʰɛŋ1	水清,白讀
清	tsʰɪŋ1	
渙	wun	
減	kim	
渝	ji4	
渠	kʰui4	
渡	tou	
渣	tsa1	
渣	tsa5	變調
渤	put	
渥	ŋɐk	
渦	kua1	渦河
渦	wa1	漩渦
測	tsʰɐk7b	
渭	wei	
港	kʰuŋ	
渲	syn1	
渴	hut7b	
游	jou4	
渺	miu5	
渾	wɐn4	渾人,雄渾
渾	wɐn	
湃	pai1	
湊	tsʰou1	
湍	tsʰun	
湖	wu4	
湘	siuŋ1	
湛	tsam1	
湧	jʊŋ	
湯	huŋ1	
湲	wun4	
溉	kʰui1	
源	jan4	
準	tsɐn	
溜	lou	
溝	kʰou1	
溢	jɐt	
溪	kʰei1	
溫	wɐn1	
溯	sou1	
溶	jʊŋ4	
溺	nɪk	溺死
溺	niu	便溺
溼	sɐp	
滂	pʰuŋ4	
滄	tsʰuŋ1	
滅	mit	
滋	tsi1	
滌	tɪk	
滑	kuɐt	滑稽
滑	wat	光滑
滔	hau1	
滘	kiu1	
滘	kou1	滘頭,地名
滬	wu	
滯	tsei	
滲	sɐm1	
滴	tɛk7b	滴水,白讀
滴	tɪk	
滷	lou1	
滷	lou	
滸	wu	
滚	kuɐn	
滿	mun	
漁	ji4	
漂	pʰiu1	
漆	tsʰɐt	
漉	lʊk	
漏	lou	
漓	lei4	
演	jan	
漠	muk	
漢	hun1	
漣	lin4	
漩	sin4	
漪	ji1	
漫	man	
漬	tsi1	
漱	sou1	
漲	tsiuŋ1	
漳	tsiuŋ1	
漸	tsim1	漸車帷裳
漸	tsim	逐漸
漾	jiuŋ	
漿	tsiuŋ1	
潁	wɪŋ	
潑	pʰut7b	
潔	kit7b	
潔	kit	
潘	pʰun1	
潛	tsʰim4	
潢	wɐŋ4	
潤	jɐn	
潦	liu5	
潭	ham4	
潮	tsʰiau4	潮江,地名
潮	tsʰiu4	
潰	kʰui	
潺	san4	
澀	sap7b	
澄	tsʰɪŋ4	
澆	kiu1	
澈	tsʰit7b	
澎	pʰɐŋ4	
澗	kan1	
澗	kan	地名,石澗
澡	tsʰau1	
澤	tsɐk	
澱	tin	
澳	ŋau1	
澹	tam	
激	kɪk	
濁	tsʊk	
濃	nʊŋ4	
濕	sɐp	
濘	nɪŋ	
濛	mʊŋ4	
濟	tsei1	救濟
濤	hau4	
濫	lam	
濯	tsuk	
濱	pɐn1	
濺	tsin1	濺濺
濺	tsin	飛濺
濾	lui	
瀆	tʊk	
瀉	sia1	
瀏	lou4	
瀑	pʊk	
瀕	pʰɐn4	
瀚	hun	
瀝	lɛk	大瀝,地名
瀝	lɛk7b	瀝乾
瀝	lɪk	瀝乾
瀟	siu1	
瀰	mei4	
瀰	nei4	
瀾	lan4	
灌	kun1	
灑	sa	
灘	han1	
灣	wan1	
灣	wan4	南灣,地名
灣	wɐn4	石灣村,地名
火	fu	
灰	fui1	
灶	tsau1	
灶	tsau5	變調
灸	kɐu1	
灼	tsiuk7b	
災	tsui1	
炊	tsʰui1	
炎	jam4	
炒	tsʰau	
炕	huŋ1	
炕	kʰuŋ1	
炙	tsɛk7b	
炫	jan5	
炬	kui	
炭	han1	
炮	pʰau1	
炯	kuɪŋ	
炳	pɪŋ	
炸	tsa1	
烈	lit	
烊	jiuŋ4	
烏	wu1	
烘	hʊŋ1	
烙	luk7b	
烤	hiu1	
烯	hei1	
烷	jan4	
烹	pʰɐŋ1	
烽	fʊŋ1	
焉	jan1	焉知非福
焉	jan4	心不在焉
焙	pui	
焚	fɐn4	
無	mou4	
焦	tsiu1	
焰	jam	
然	jan4	
煉	lin	
煌	wɐŋ4	
煎	tsin1	
煒	wei	
煒	wei5	
煙	jan1	
煞	sat7b	
煤	mui4	
煥	wun	
煦	hui	
照	tsiu1	
煩	fan4	
煮	tsi	
煲	pau1	
煲	pau5	煲仔,變調
煽	sin1	
熄	sɪk	
熊	hʊŋ4	
熊	jʊŋ4	人熊,白讀,傳說中的怪物
熔	jʊŋ4	
熙	hei1	
熟	sʊk	
熨	huŋ1	
熨	wɐt	熨貼
熬	ŋau4	
熱	jat	
熹	hei1	
熾	tsʰi1	
燃	jan4	
燄	jam	
燈	tɐŋ1	
燉	tɐn	
燎	liu4	
燒	siu1	
燕	jan1	燕子
燙	huŋ1	
燜	mun	
營	jɪŋ4	
燠	jʊk	
燥	tsʰau1	
燦	tsʰan1	
燭	tsʊk	
燹	sin	
燻	fɐn1	
爆	piu1	
爍	siuk7b	
爐	lou4	
爛	lan	
爪	tsau	
爬	pʰa4	
爭	tsɐŋ1	
爲	wei4	人爲
爲	wei	爲何
爵	tsiuk	
父	fu	
爸	pa5	
爹	tia1	
爺	ja4	
爽	suŋ	
爾	ji5	
牆	tsʰiuŋ4	
片	pʰin1	
版	pan	
牌	pʰai4	
牙	ŋa4	
牙	ŋa5	變調
牚	tsʰɐŋ1	
牛	ŋou4	
牟	mou4	
牠	ha1	
牡	mau5	
牢	lau4	
牧	mʊk	
物	mɐt	
牲	sɐŋ1	
牴	tei	
特	tɐk	
牽	hin1	
犀	sei1	
犁	lei4	
犄	kei1	
犢	tʊk	
犧	hei1	
犬	hyn	
犯	fan	
狀	tsuŋ	
狂	kʰuɐŋ4	
狄	tɪk	
狐	wu4	
狗	kou	
狠	hɐn	
狡	kiu	
狩	su1	
狸	lei4	
狹	hap	
狼	luŋ4	
狽	pui1	
猖	tsʰiuŋ1	
猙	tsɐŋ1	
猛	mɐŋ	發猛(發脾氣)
猛	mɐŋ5	
猜	tsʰai	
猝	tsʰɐt	
猝	tsɐt	
猩	sɪŋ1	
猴	hou4	
猶	jou4	
猾	wat	
猿	jan4	
獄	jʊk	
獅	si1	
獎	tsiuŋ	
獗	kʰit7b	
獨	tʊk	
獰	nɪŋ4	
獲	wɐk	
獵	lip	
獷	kuɐŋ	
獷	kʰuɐŋ1	
獸	sou1	
獺	tsʰat7b	
獻	hin1	
獼	mei4	
獼	nei4	
玄	jan4	
率	lɐt	
率	sɐt	率領
玉	jʊk	
王	wɐŋ4	國王
王	wɐŋ	王天下
玖	kɐu	
玩	wan	去玩
玩	wun	玩弄
玫	mui4	
玲	lɪŋ4	
玷	tim1	
玻	pu1	
珀	pʰɐk7b	
珊	san1	
珍	tsɐn1	
珠	tsi1	
班	pan1	
珮	pʰui1	
現	jan	
球	kʰɐu4	
琅	luŋ4	
理	lei5	
琇	sɐu1	
琉	lou4	
琢	tiuk7b	
琥	fu	
琦	kʰei4	
琪	kʰei4	
琳	lɐm4	
琴	kʰɐm4	
琵	pʰei4	
琶	pʰa4	
瑋	wei	
瑋	wei5	
瑕	ha4	
瑙	nau	
瑚	wu4	
瑛	jɪŋ1	
瑜	ji4	
瑞	sui	
瑟	sɐt	
瑣	su	
瑶	jau4	
瑩	jɪŋ4	
瑪	ma1	
瑪	ma5	
瑯	luŋ4	
瑰	kuei1	
瑾	kɐn	
璀	tsʰui1	
璃	lei1	玻璃
璃	lei4	琉璃
璋	tsiuŋ1	
璞	pʰuk7b	
璧	pɪk7b	
璨	tsʰan1	
環	wan4	
璽	sai	
瓊	kʰuɪŋ4	
瓏	lʊŋ4	
瓜	kua1	
瓠	wu	
瓢	pʰiu4	
瓣	fan	花瓣
瓦	ŋa5	
瓶	pʰɛŋ4	油瓶,白讀
瓶	pʰɪŋ4	
瓷	tsʰi4	
甄	jɐn1	
甕	ŋʊŋ1	
甘	kɐm1	
