#漢字	音標	解釋
□	æ2	小~:男孩
當	taŋ5	一~
當	taŋ1	应~
录	ləʔ7	
形	ɕin2	
彤	tʰoŋ1	
彦	iɪ5	
彩	tsʰɛ3	
彪	piɔ1	
彬	pin1	
彭	pʰoŋ2	
彰	tsæ1-	
彰	tsaŋ1=	
影	in3	
役	iɪʔ7	
徹	tsʰəʔ7	
彼	pi3	
往	uaŋ5-	
往	uaŋ3=	
征	tsən1	
待	tɛ5	
很	hən3	
律	liɪʔ7	
徐	tɕʰy2	
徒	tʰu2	
得	təʔ7	
御	y5	
循	ɕyn2	
微	uəi1	
德	təʔ7	
徽	huəi1	
心	ɕin1	
必	piɪʔ7	
憶	i5	
忌	tɕi5	
忍	zən3	
忏	tsʰæ5	
志	tsɿ5	
忘	uaŋ2	
忘	uaŋ5	
忙	maŋ2	
忠	tsoŋ1	
忤	u3	
憂	iø1	
快	kʰuɛ5	
念	liɪ5	
忽	huəʔ7	
忾	kʰɛ5	
忿	fən5	
懷	huɛ2	
態	tʰɛ5	
慫	soŋ3	
慪	əi5	
怎	tsən3	
怒	lu5	
怕	pʰa5	
怖	pu5	
憐	liɪ2	
思	sɿ1	
怠	tɛ5	
怡	i2	
急	tɕiɪʔ7	
性	ɕin5	
怨	yɪ5	
怪	kuɛ5	
怯	tɕʰiɪʔ7	
怵	tsʰuəʔ7	
總	tsoŋ3	
恃	sɿ5	
戀	liɪ5	
恍	huaŋ3	
恐	kʰoŋ3	
恆	hən2	
恕	su5	
恙	iaŋ5	
恢	huəi1	
恣	tsɿ5	
恤	ɕy5	
恨	hən5	
恩	ən1	
恬	tʰiɪ2	
恭	koŋ1	
息	ɕiɪʔ7	
恰	tɕʰiaʔ7	
懇	kʰən3	
恶	əʔ7	
惱	lɔ3	
悄	tɕʰiɔ1	
悉	ɕiɪʔ7	
悔	huəi3	
悚	soŋ3	
悟	u5	
悠	iø1	
患	huæ5	
悦	yəʔ7	
懸	ɕyɪ2	
憫	min3	
悲	pəi1	
悼	tɔ5	
情	tɕʰin2	
驚	tɕin1	
惋	uæ3	
惑	huəʔ7	
惕	tʰiɪʔ7	
惜	ɕiɪʔ7	
惠	huəi5	
惦	tiɪ5	
懼	tɕy5	
慘	tsʰæ3	
懲	tsʰən3	
慚	tsʰæ2	
惰	təu5	
想	ɕiaŋ3	
惶	huaŋ2	
惹	zəi3	
惺	ɕin1	
愁	tsʰəi2	
愈	y5	
愉	y2	
意	i5	
愚	y2	
感	kæ3	
愣	lən5	
憤	fən5	
愧	kʰuəi5	
願	yɪ5	
慈	tsʰɿ2	
慌	huaŋ1	
慎	sən5	
慕	məu5	
慢	mæ5	
慧	huəi5	
慨	kʰɛ5	
慰	uəi5	
慷	kʰaŋ1	
憋	piɪʔ7	
憎	tsən1	
憾	hæ5	
懂	toŋ3	
懈	ɕiɛ5	
懊	ɔ5	
懶	læ3	
懦	ləu5	
懵	moŋ3	
戈	kø1	
戊	u5	
戌	ɕy1	
戍	suəʔ7	
戎	ioŋ2	
戲	ɕi5	
成	tsʰən2	
我	əu3	
我	ø3	
戒	kɛ5-	
戒	tɕiɛ5=	
或	huəʔ7	
戰	tsæ5	
戚	tɕʰiɪʔ7	
戥	tən3	
截	tɕiɪʔ7	
戳	tsʰuəʔ7	
戴	tɛ5	
戶	hu5	
房	faŋ2	
所	səu3	
扁	piɪ3	
扇	ɕiɪ5-	
扇	sæ5=	
手	səi3	
才	tsʰɛ2	
扎	tsaʔ7	
扑	pʰəʔ7	
扒	pʰa1	
扒	pa1	~土
打	ta3	
扔	zən1	
托	tʰəʔ7	
扛	kʰaŋ2	
扣	kʰəi5	
扦	tɕʰiɪ1	
執	tsəʔ7	
擴	kʰuəʔ7	
掃	sɔ3	~地
掃	sɔ5	~把
揚	iaŋ2	
扭	liø3	
扮	pæ5	
