#漢字	音標	解釋#('nan_lz_lz', '雷州話', '雷州', '#FF6600', None, None, '版本：V2.5 (2021-11-20)<br>來源：<u>Kiattan</u>', '24 1 1a 陰平 ꜀,22 2 1b 陽平 ꜁,41 3 2a 陰上 ꜂,33 4 2b 陽上 ꜃,21 5 3a 陰去 ꜄,453 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇')
歇	hia6	
歇	hiɛk7	
歡	huaŋ1	
止	tsi3	
正	tsia1	～月
正	tsia5	～正
此	su3	
此	jiɛ5	
步	pɛu1	
步	pu6=	
歲	huɛ5	
歲	sui5=	
歸	kui1	
死	si3	
死	su3=	
殘	tsʰaŋ2	
殺	sua6	
殼	kʰak7	
毀	hui3	
母	vo3	
毒	tok8	
比	pi3	
毛	mo2	
毛	mau2=	
民	miɛŋ2	
氣	kʰi5	
水	tsui3	
永	jioŋ3	
汁	tsiap7	
汗	haŋ4	
汝	lu3	
江	kiaŋ1	
池	to2	
決	kʰiɛk7	
沈	sim3	
沖	tsʰioŋ1	
沙	sua1	
河	ho2	
油	iu2	
治	tsi4	
泉	siap8	
法	vak7	
泛	vaŋ5	
波	po1	
泥	ni2	
注	tsu5	
洗	soi3	
洞	toŋ6	
活	ua4	
派	pʰai3	
流	lau2	
浪	laŋ6	
浮	pʰu2	
浮	vɛu2	
海	hai3	
浸	tsim5	
消	siau1	
涼	lio2	
淚	lui6	
淡	tam4	
淡	tsia3	訓
深	tsim1	
混	huŋ5	
淺	tsʰiɛŋ5	
添	tʰiam1	
清	tsʰiŋ1	
減	kiam3	
湯	tʰo1	
溝	kau1	
溫	uŋ1	
滅	miɛk8	
滯	niŋ4	
滴	tik7	
滾	kuŋ3	
滿	mua3	
滿	ti2	訓
漏	lau1	
演	jiɛŋ2	
漚	au6	
漢	haŋ5	
漿	tsio1	
潑	pʰua6	
潑	tsua6	
潘	pʰua1	
潭	tʰam2	
潮	tsʰiau2	
濃	noŋ2	
濕	tam2	
瀉	sia5	
灌	kuaŋ5	
火	huɛ3	
火	ho3=	
灰	huɛ1	
灰	hu1-	
灶	tsau5	
災	tsai1	
炒	tsʰa3	
炭	tʰua5	
炮	pʰau5	
烏	ɛu1	
無	vo2	
然	iɛŋ2	
煉	liɛŋ4	
煎	tsi1	
煙	huŋ1	
