#漢字	音標	解釋
钁	kiɔk7	~锄:锄头
旬	sɐn2	
旱	fun3	
時	si2	
曠	kʰɔŋ5	
旺	vɔŋ6	
昂	ŋɔŋ5	
昆	kʰuɐn1	
昊	hau6	
昌	tsʰɔŋ1	
明	mɐŋ2	
昏	fɐn2	
易	iɐk8	交~
易	i6	容~
昔	sɐk7	
星	sɐŋ1	
映	iaŋ3	
春	tsʰɐn1	
昧	mi6	
昨	tsɔk7	
昭	tsʰiu1	
是	si6	
晝	tsɐu5	
顯	hin3	
晃	fɔŋ3	
晉	tsɐn5	
晌	hiɔŋ3	
晏	an1	
曬	sai5	
曉	hiu3	
暈	vɐn2	
晚	man5	
晨	sɐn2	
普	pʰu3	
景	kɐŋ3	
晴	tsʰiaŋ2	
晶	tsɐŋ1	
智	tsi5	
暫	tsʰim6	
暇	ha2	
暑	si3	
暖	nin5	
暗	am5	
暮	mu6	
暴	pʰau6	
曝	pʰau6	
曰	it8	
曲	kʰuk7	
更	kaŋ1	
更	kɐŋ5	
曹	tsʰau2	
曾	tsɐŋ1	
曾	tsʰɐŋ2	~经
替	tʰɐi5	
最	tsui3	
月	it8	
有	iɐu5	
朋	pʰɐŋ2	
服	fuk8	
朗	lɔŋ5	
望	mɔŋ6	
朝	tsiu1	~暮
朝	tsʰiu2	~代
期	kʰi2	
木	muk8	
未	mi6	
末	mut8	
本	pun3	
札	tsat7	
朮	sɐt7	
术	sɐt8	
朱	tsi1	
朴	pʰɔk7	
朶	tɔ3	
機	ki1	
朽	lɐu5	
殺	sat7	
雜	tsʰap8	
權	kʰin2	
杆	kun1	
杈	tsʰa1	
杉	tsʰam5	
李	li3	
杏	hɐŋ6	
材	tsʰui2	
村	tsʰin1	
杖	tsʰɔŋ6	
杜	tʰu6	
杞	ki3	
束	tsʰuk7	
杠	kɔŋ1	
來	lui2	
楊	iɔŋ2	
杭	hɔŋ2	
杯	pui1	
杰	kʰit8	
杳	miu3	
杷	pʰa2	
松	tsʰuŋ2	~树
松	suŋ1	轻~
板	pan3	
極	kɐk7	
構	kɐu5	
枇	pʰi2	
枉	vɔŋ3	
析	sɐk7	
枕	tsɐm3	
林	lɐm2	
枚	mui2	
果	kɔ3	
枝	tsi1	
樞	kʰi1	
棗	tsau3	
槍	tsʰiɔŋ1	
楓	fuŋ1	
枯	ku6	
架	ka5	
枷	ka1	
柄	piaŋ5	
柏	pʰak7	
某	mɐu5	
柑	kam1	
染	nim5	
柔	iɐu2	
柚	iɐu6	
櫃	kʰɐi6	
柞	tsa5	
查	tsʰa2	
柩	kʰɐu5	
柬	kan3	
柱	tsʰi5	
柳	lɐu5	
柴	tsʰai2	
柺	kai3	
柿	sɐi5	
梔	tsi1	
栅	san1	
標	piu1	
棧	tsʰan6	
棟	tuŋ5	
欄	lan2	
樹	si6	
栖	tsʰɐi1	
栗	lɐt8	
校	kau5	~对
校	hau6	学~
株	tsi1	
樣	iɔŋ6	
核	hɐt7	审~
核	fɐt8	果~
根	kɐn1	
格	kak7	
栽	tsui1	
桂	kɐi5	
桃	tʰau2	
桅	ŋɐi2	
框	kʰiɔŋ1	
案	un5	
桌	tsɔk7	
桑	sɔŋ1	
椏	a1	
橈	iu2	
檔	tɔŋ5	
橋	kʰiu2	
樺	va2	
檜	kʰui3	
槳	tsiɔŋ3	
樁	tsɔŋ1	
桶	tʰuŋ6	
梁	liɔŋ2	
梅	mui2	
梓	tsi3	
梗	kʰaŋ3	
梢	siu1	
夢	muŋ6	
梧	m̩2	
梨	li2	
梭	sɔ1	
梯	tʰɐi1	
械	hai6	
梳	sɔ1	
梵	fan2	
檢	kim3	
棉	min2	
棋	kʰi2	
棍	kɐn5	
棒	pʰaŋ5	
棕	tsuŋ1	
棚	pʰaŋ2	
森	sɐm1	
棵	kʰɔ1	
棺	kun1	
椅	i3	
植	tsʰɐk8	
椒	tsiu1	
橢	tʰɔ6	
椰	iai2	
椿	tsʰɐn1	
楂	tsa1	
楔	sip7	
楚	tsʰɔ3	
楞	lɐŋ6	
楣	mi2	
楷	kʰai3	
樓	lɐu2	
概	kʰui3	
欖	lam3	
榆	i2	
榛	tsɐn1	
榜	pɔŋ3	
榨	tsa5	
榫	sɐn3	
榴	lɐu2	
榻	tʰap7	
槌	tsʰui2	
槐	vai2	
檳	pɐn1	
槽	tsʰau2	
樟	tsɔŋ1	
模	mu2	
橫	vaŋ2	
櫻	iɐŋ1	
樵	tsʰiu2	
橄	kam3	
橙	tsʰaŋ2	
橛	kʰit7	
橡	tsʰiɔŋ6	
櫓	lu2	
檀	tʰan2	
檐	im2	
欠	him5	
次	tsʰi5	
歡	fun1	
欣	iɐn1	
歐	ɐu1	
欲	iuk8	
欺	hi1	
款	fun3	
歇	hut7	
歉	him5	
歌	kɔ1	
止	tsi3	
正	tsɐŋ1	~月
正	tsɐŋ5	~是
正	tsaŋ5	才,口语音
此	tsʰi3	
步	pʰu6	
武	mu5	
歧	kʰi2	
歪	vai1	
死	si3	
殲	tsʰim1	
殃	iɔŋ1	
殄	tʰin2	
殆	tʰui1	
殉	sɐn2	
殊	si2	
殘	tsʰan2	
殮	lim5	
殖	tsʰɐk8	
殯	pɐn5	
毆	ɐu5	
段	tʰin6	
殷	iɐn1	
殿	tʰin6	
毁	kʰɐi3	
毅	ŋɐi6	
母	mu5	
每	mui5	
毒	tʰuk8	
比	pi3	
畢	pɐt7	
毗	pʰi1	
斃	pʰɐi6	
毛	mau2	
毡	tsin1	
毫	hau2	
氏	si6	
民	mɐn2	
气	hi5	
水	sui3	
永	vɐŋ5	
汀	tɐŋ1	
汁	tsɐp7	
求	kʰɐu2	
汇	vui6	~款
汇	vɐi6	词~
漢	fun5	
汗	fun6	
汛	sɐn5	
汝	li5	
汞	kiɔŋ5	
江	kɔŋ1	
池	tsʰi2	
污	vu1	
湯	tʰɔŋ1	
汪	vɔŋ1	
汴	pʰin6	
洶	huŋ1	
汽	hi5	
沂	kʰi6	
沃	vɔk7	
沈	sɐm3	
沉	tsʰɐm2	
沌	tʰɐn5	
沓	tʰap8	
沙	sa1	
沛	pʰui5	
溝	kɐu1	
没	mut8	
漚	ɐu5	
淪	lɐn2	
滬	fu6	
沫	mat8	
河	hɔ2	
沸	fɐi6	
油	iɐu2	
治	tsʰi6	
沼	tsiu1	
沾	tsim1	
沿	in2	
泄	sit7	
泉	tsʰin2	
泊	pʰak7	
泌	pi5	
法	fat7	
泛	fan6	
泡	pʰau5	
波	pɔ1	
泣	lɐp7	
泥	nɐi2	
注	tsi5	
淚	lui6	
泰	tʰai5	
泳	vɐŋ6	
瀉	sia5	
潑	pʰut7	
澤	tsʰak8	
潔	kit7	
洇	iɐn1	
洋	iɔŋ2	
洌	lit8	
洒	sa3	
洗	sɐi3	
洛	lɔk8	
洞	tʰuŋ6	
津	tsɐn1	
洪	huŋ2	
洲	tsɐu1	
活	vut8	
洼	va1	
洽	kʰap7	
派	pʰai5	
流	lɐu2	
淺	tsʰin3	
漿	tsiɔŋ1	
澆	iu2	
濁	tsʰuk8	
測	tsʰak7	
濟	tsɐi5	
渾	vɐn2	
滸	fu3	
濃	nuŋ2	
濃	iuŋ2	又
浙	tsit7	
浜	pɐŋ1	
浦	pʰu3	
浩	hau6	
浪	lɔŋ6	
浮	fɐu2	
浴	iuk8	
海	fui3	
浸	tsɐm5	
涂	tʰu2	
消	siu1	
涉	hip8	
涌	tsʰuŋ1	地名用字
涌	iuŋ5	文
涎	in2	
涕	tʰɐi5	
濤	tʰau1	
澇	lau2	
潤	iɐn6	
澗	kan1	
漲	tsɔŋ5	
澀	kit7	
涮	tsʰat7	
涯	ŋai2	
液	iɐk8	
涵	ham2	
淆	ŋau2	
淋	lɐm2	
淑	suk7	
淘	tʰau2	
淡	tʰam5	
淤	i6	
淫	iɐm2	
淮	vai2	
深	tsʰɐm1	
混	kʰuɐn3	
淹	im3	
添	tʰim1	
清	tsʰɐŋ1	
淵	in1	
漸	tsʰim6	
漁	i2	
滲	sɐm1	
渠	kʰi2	
渡	tʰu6	
渣	tsa1	
溫	vɐn1	
港	kɔŋ3	
渴	hut7	
游	iɐu2	
渺	miu3	
湎	min5	
湖	fu2	
湘	siɔŋ1	
灣	van1	
溼	sɐp7	
潰	kʰɐi3	
濺	tsʰin6	
溉	kʰui3	
源	in2	
溜	lɐu2	
溢	iɐt7	
溪	kʰɐi1	
溶	iuŋ2	
滂	pʰɔŋ2	
滋	tsi1	
滑	vat8	
滓	tsai3	
滔	tʰau1	
滕	tʰɐŋ2	
滚	kʰɐn5	
滯	tsʰɐi6	
滿	mun5	
濾	li6	
濫	lam5	
濱	pɐn1	
灘	tʰan1	
滴	tɐk7	
漂	pʰiu1	
漆	tsʰɐt7	
漏	lɐu6	
演	in3	
漫	man6	
漱	su5	
漾	iɔŋ6	
潘	pʰun1	
潛	sim2	
潭	tʰam2	
潮	tsʰiu2	
潲	tsʰau5	
澄	tsʰaŋ2	
澎	pʰaŋ2	
澡	tsʰau5	
激	kɐk7	
瀑	pʰau6	
灌	kun5	
火	fɔ3	
滅	mit8	
燈	tɐŋ1	
灰	fui1	
靈	lɐŋ2	
竈	tsau5	
灸	kɐu5	
灼	tsiɔk7	
災	tsui1	
燦	tsʰan5	
爐	lu2	
炊	tsʰui1	
炎	im2	
炒	tsʰau3	
炕	haŋ1	
炙	tsak7	
炭	tʰan5	
炮	pʰau5	
炳	piaŋ3	
炷	tsi3	
炸	tsa5	
點	tim5	
煉	lin6	
爛	lan6	
烈	lit8	
烊	iɔŋ2	
烘	huŋ2	
烙	lɔk7	
燭	tsuk7	
烟	in1	
烤	kʰau3	
煩	fan2	
燒	siu1	
燙	tʰɔŋ5	
熱	ŋit8	
烹	pʰaŋ1	
焉	in2	
焊	fun6	
煥	vun6	
焙	pʰui2	
焚	fɐn2	
焦	tsiu1	
焯	tsʰiɔk7	
焰	im6	
然	in2	
煎	tsin1	
煤	mui2	
照	tsiu5	
煨	vɐi1	
煮	tsi3	
熄	sɐk7	
熊	huŋ2	
熊	iuŋ2	又
熏	fɐn1	
熙	hi1	
熟	suk8	
熨	tʰɔŋ5	以烫训~
熬	ŋau2	
燃	in2	
燎	liu2	
燐	lɐn2	
燕	in5	
燥	tsʰau5	
燧	sui6	
爆	pʰau6	
爪	tsau3	
爬	pʰa2	
愛	ui5	
爵	tsiɔk7	
父	fu6	
爺	ia2	
爸	pa1	
爹	tia1	
爽	sɔŋ3	
片	pʰin5	
版	pan3	
牌	pʰai2	
牘	tʰuk8	
牒	tʰip8	
牙	ŋa2	
牛	ŋɐu2	
牟	mɐu2	
牡	mɐu6	
牢	lau2	
牧	muk8	
物	mɐt7	
牯	ku3	
牲	sɐŋ1	
牲	saŋ1	又
牽	hin1	
特	tʰɐk8	
犧	hi1	
犀	sɐi1	
犂	lɐi2	
犢	tʰuk8	
犒	kʰau5	
犬	hin3	
犯	fan6	
狀	tsʰɔŋ6	
猶	iɐu2	
狂	kʰɔŋ2	
狄	tʰɐk8	
狍	pau5	
狎	kap7	
狐	fu2	
狗	kɐu3	
狡	kau3	
獨	tʰuk8	
狹	kʰip8	
獅	si1	
獄	iuk8	
狸	li5	
狼	lɔŋ2	
獵	lip8	
猛	maŋ5	
猜	tsʰai1	
猝	tsɐt7	
猥	vɐi3	
猩	sɐŋ1	
豬	tsi1	
猫	miu3	
獻	hin5	
猴	hɐu2	
猾	vat8	
猿	in2	
獺	lai6	
玄	hin2	
率	sit7	~领
率	lɐt8	效~
玉	iuk8	
王	vɔŋ2	
玩	van3	
玫	mui2	
環	van2	
現	hin6	
璽	sai5	
玻	pɔ1	
珊	san1	
珍	tsɐn1	
珠	tsi1	
班	pan1	
球	kʰɐu2	
理	li5	
琉	lɐu2	
瑣	sɔ3	
琢	tiɔk7	
琴	kʰɐm2	
琵	pʰi2	
琶	pʰa2	
瓊	kʰɐŋ2	
瑕	ha2	
瑞	sui6	
璃	li1	
璇	sim2	
璧	piak7	
瓜	ka1	
瓠	pʰu2	
瓢	pʰiu1	
瓣	pʰan6	
瓤	pʰiu2	
瓦	ŋa5	
瓮	iuŋ1	
甌	ɐu1	
瓶	pʰiaŋ2	
瓷	tsʰi2	
甘	kam1	
甚	sɐm6	
甜	tʰim2	
生	saŋ1	
甥	saŋ1	
用	iuŋ6	
甫	pʰu3	
甬	iuŋ3	
田	tʰin2	
由	iɐu2	
甲	kap7	
申	sɐn1	
電	tʰin6	
男	nam2	
甸	tʰin6	
畫	va6	
畀	pi1	
暢	tsʰɔŋ5	
界	kai5	
畏	vɐi5	
畔	pʰun6	
留	lɐu2	
畜	tsʰuk7	
略	liɔk8	
番	fan1	
畬	sa2	
疆	kʰiɔŋ1	
疏	sɔ1	
疑	i2	
疔	tɐŋ1	
療	liu2	
疝	san5	
瘧	liɔk8	
瘍	iɔŋ2	
疤	pa1	
疥	kai5	
疫	iɐk8	
瘡	tsʰɔŋ1	
瘋	fuŋ1	
疲	pʰi2	
疵	tsʰi3	
疹	tsɐn3	
疼	tʰuŋ5	以痛训~
疾	tsʰɐk8	
病	pʰiaŋ6	
症	tsɐŋ5	
痒	iɔŋ5	
痔	tsʰi6	
痕	hɐn2	
痛	tʰuŋ5	
痢	li6	
痣	tsi5	
痰	tʰam2	
痱	fi1	
痲	ma2	
癡	tsʰi1	
痹	pi5	
痿	vɐi3	
瘟	vɐn1	
瘦	sɐu5	
瘴	tsɔŋ1	
瘸	pɐi1	
癮	iɐn5	
癖	pʰit7	
癩	lai6	
癩	lat7	
癬	sin3	
癸	kɐi5	
登	tɐŋ1	
白	pʰak8	
百	pak7	
皂	tsʰau5	
的	tɐk7	
皆	kai1	
皇	vɔŋ2	
皓	hau6	
皖	vun3	
皮	pʰi2	
皺	tsɐu5	
皿	mɐŋ5	
盂	i5	
盅	tsuŋ1	
盆	pʰun2	
盈	iɐŋ2	
益	iɐk7	
盞	tsan3	
鹽	im2	
監	kam1	~视
監	kam5	国子~
盒	hɐp8	
盔	fui1	
盖	kui5	
盜	tʰau6	
盤	pʰun2	
盛	sɐŋ6	
盟	mɐŋ2	
目	muk8	
盲	maŋ2	
直	tsʰɐk8	
相	siɔŋ5	~貌
相	siɔŋ1	互~
盼	pʰan5	
盾	tʰɐn5	
省	saŋ3	
眉	mi2	
看	kʰun5	
真	tsɐn1	
眠	min2	
眨	tsap7	
眩	hin2	
眶	kʰiɔŋ1	
眷	kin5	
眸	mɐu2	
眼	ŋan5	
着	tsʰɔk8	~火
着	tsɔk7	穿~
睜	tsaŋ1	
睇	tʰɐi3	
睛	tsiaŋ1	
睡	sui6	
督	tuk7	
睬	tsʰui3	
瞅	tsʰiu1	
瞎	hat7	
瞞	mun2	
瞧	tsʰiu1	
瞪	tɐŋ1	
瞬	sɐn5	
瞭	liu2	
瞳	tʰuŋ2	
瞻	tsim1	
瞿	kʰi2	
矛	mau2	
矣	i5	
知	ti1	
矩	ki5	
矯	kʰiu2	
短	tin3	
矮	ai3	
石	sak8	
礬	fan2	
礦	kʰɔŋ5	
碼	ma5	
砂	sa1	
砌	tsʰit7	
砍	kʰam3	
研	in2	
磚	tsin1	
硯	kan3	
破	pʰɔ5	
礎	tsʰɔ3	
硃	tsi1	
硤	kʰip8	
硝	siu1	
硫	lɐu2	
硬	ŋaŋ6	
確	kʰɔk7	
礙	ŋui6	
碎	sui5	
碑	pi1	
碓	tui5	
碗	vun3	
碟	tʰip8	
碧	pʰɐk7	
鹼	kan3	
碾	tsin3	
磁	tsʰi2	
磅	pʰɔŋ2	
磨	mɔ2	动词
磨	mɔ6	名词
示	si6	
禮	lɐi5	
社	sa5	
祀	ki3	
祁	kʰi2	
祈	kʰi6	
祐	iɐu6	
祖	tsu3	
祝	tsuk7	
神	sɐn2	
祠	tsʰi2	
祥	tsʰiɔŋ2	
票	pʰiu5	
祭	tsɐi5	
禱	tʰau3	
禍	vɔ6	
稟	pɐn3	
禁	kɐm5	
祿	luk8	
禪	sim2	
福	fuk8	
禹	i5	
离	li2	
禽	kʰɐm2	
禾	vɔ2	
秀	sɐu5	
私	si1	
秃	tʰuk7	
稈	kun3	
秉	pɐŋ3	
秋	tsʰɐu1	
種	tsuŋ5	动词
種	tsuŋ3	名词
科	kʰɔ1	
秒	miu3	
秘	pi5	
租	tsu1	
秤	tsʰɐŋ5	
秦	tsʰɐn2	
秧	iɔŋ1	
秩	tit7	
積	tsɐk7	
稱	tsʰɐŋ1	~呼
稱	tsʰɐŋ5	~重
移	i2	
穢	sui5	
稀	hi1	
程	tsʰɐŋ2	
税	sui5	
稗	pʰɐi6	
稚	tsʰi1	
稠	tsʰɐu2	
穩	vɐn5	
稻	tʰau1	
稼	ka1	
稽	kʰɐi1	
稿	kau3	
穆	muk8	
穗	sui5	
穴	hit8	
究	kɐu5	
窮	kʰuŋ2	
空	huŋ1	
穿	tsʰin1	
突	tʰɐt7	
窄	tsak7	
竅	kʰiu6	
窯	iu2	
窖	kau5	
窗	tsʰuŋ1	
窘	kʰɐn5	
竄	tsʰin5	
窩	vɔ1	
窟	kʰɐt7	
窠	kɔ3	
窺	kʰɐi1	
窿	luŋ1	
立	lɐp8	
豎	si6	
站	tsʰam6	
競	kʰɐŋ5	
竟	kɐŋ3	
章	tsɔŋ1	
童	tʰuŋ2	
端	tʰin1	
竹	tsuk7	
竿	kun1	
篤	tʰuk7	
笋	sɐn3	
笑	siu5	
筆	pɐt7	
笙	saŋ1	
笛	tʰiak8	
笠	lɐp7	
笡	tsʰia5	斜
符	fu2	
笨	pʰɐn6	文
笨	pʰɐn1	白,厚
第	tʰɐi6	
箋	tsin1	
籠	luŋ2	
等	tɐŋ3	
筋	kɐn1	
筏	fat8	
筐	kʰiɔŋ1	
筑	tsuk7	
筒	tʰuŋ2	
答	tap7	
策	tsʰak7	
篩	sɐi1	
箏	tsaŋ1	
筵	in2	
筷	fai5	
籌	tsʰɐu2	
签	tsʰim1	
簡	kan3	
箍	kʰu1	
算	sin5	
管	kun3	
籮	lɔ2	
簫	siu1	
箭	tsin5	
箱	siɔŋ1	
箸	tsʰi6	
篆	tsin5	
篇	pʰin1	
簍	lɐu3	
篙	kau1	
篡	tsʰin5	
籃	lam2	
籬	li2	
篷	fuŋ2	
篾	mit8	
簇	tsʰuk8	
簧	vɔŋ2	
簪	tsam1	
簸	pɔ1	
簿	pʰu6	
籍	tsʰɐk7	
米	mɐi5	
糴	tʰiak8	
類	lui6	
粉	fɐn3	
粒	lɐp7	
粗	tsʰu1	
粘	tsim1	
糶	tʰiu5	
粟	suk7	
粤	it8	
粥	tsuk7	
糞	fɐn3	
糧	liɔŋ2	
粱	liɔŋ2	
粳	kɐŋ1	
粹	sui5	
糉	tsuŋ5	
精	tsɐŋ1	
糍	tsʰi2	
糕	kau1	
糖	tʰɔŋ2	
糙	tsʰau5	
糜	mui2	
糟	tsau1	干燥
糠	hɔŋ1	
糯	nɔ6	
系	hɐi6	
素	su5	
索	sɔk7	
緊	kɐn3	
紫	tsi3	
累	lui5	~积
累	lui6	劳~
絮	si6	
繁	fan2	
糾	tɐu3	~正
糾	kɐu3	~缠
紅	huŋ2	
紂	tsʰɐu6	
約	iɔk7	
級	kʰɐp7	
紀	ki3	
紉	iɐm6	
緯	vɐi5	
純	sɐn2	
紗	sa1	
綱	kɔŋ1	
納	nap8	
縱	tsuŋ1	~横
縱	tsuŋ3	放~
紛	fɐn1	
紙	tsi3	
紋	mɐn2	
紡	fɔŋ3	
紐	nɐu3	
線	sin5	
練	lin6	
組	tsu3	
細	sɐi5	
織	tsɐk7	
終	tsuŋ1	
縐	tsɐu5	
絆	pʰun6	
紹	siu2	
經	kɐŋ1	
綁	pɔŋ3	
絨	iuŋ2	
結	kit7	
繞	iu2	
繪	vui6	
給	kʰɐp7	
絡	lɔk7	
絶	tsʰit8	
絞	kau3	
統	tʰuŋ6	
絹	kin1	
繡	sɐu5	
綏	sui2	
繼	kɐi5	
績	tsɐk7	
緒	sui5	
續	tsʰuk8	
綺	kʰi2	
綽	tsʰiɔk7	
繩	sɐŋ2	
維	vɐi2	
綿	min2	
綢	tsʰɐu2	
綜	tsuŋ1	
綻	tsʰan6	
綠	luk8	
綴	tsui3	
緬	min5	
纜	lam5	
緝	tsʰɐp8	
緞	tʰin6	
緩	vun2	
縷	lɐu3	
編	pʰin1	
緣	in2	
縛	pɔk7	
縫	fuŋ2	
纏	tsʰin2	
繽	pɐn1	
纓	iɐŋ1	
縮	suk7	
繆	mɐu6	姓
繆	mɐu2	绸~
繮	kiɔŋ1	
繾	hin3	
繳	kiu3	
缸	kɔŋ1	
缺	kʰit7	
罅	lia5	
罐	kun5	
网	mɔŋ3	
罔	mɔŋ3	
罕	fun3	
羅	lɔ2	
罰	fat8	
罷	pʰa6	
罩	tsau5	
罪	tsʰui6	
置	tsi5	
署	si2	
羈	ki5	
羊	iɔŋ2	
羌	kiɔŋ1	
美	mi5	
羔	kau1	
羞	sɐu1	
羡	sin6	
群	kʰɐn2	
羹	kaŋ1	
羽	i5	
翁	iuŋ1	
翅	tsʰi5	
翎	i5	
翠	tsʰui6	
翡	pi3	
翩	pʰin1	
翰	fun6	
翻	fan1	
翼	iɐk8	
耀	iu6	
老	lau3	
考	kʰau3	
者	tsia3	
而	i2	
耍	sa3	
耐	nai6	
耕	kaŋ1	
耗	hau6	
耙	pʰa2	
耳	ŋi5	
耶	iai2	
耻	tsʰi3	
耽	tam1	
耿	kɐŋ3	
聶	nip7	
聊	liu2	
聾	luŋ1	
職	tsɐk7	
聯	lin2	
聘	pʰɐŋ5	
聚	tsʰi6	
聰	tsʰuŋ1	
肅	suk7	
肄	i6	
肆	si5	
肇	siu2	
肉	iuk7	
肋	lak8	
肌	ki1	
肚	tu5	~子
肚	tu3	猪~
肛	kɔŋ1	
肝	kun1	
腸	tsʰɔŋ2	
股	ku3	
肢	tsi1	
膚	fu1	
肥	fi2	
肩	kan1	
肪	fɔŋ1	
骯	ɔŋ5	
肯	hɐŋ3	
育	iuk7	
肴	ŋau2	
肺	fɐi5	
腎	sɐn5	
腫	tsuŋ3	
脹	tsɔŋ5	
脅	hip8	
胃	vɐi6	
膽	tam3	
背	pui5	~部
背	pʰui6	~诵
胎	tʰui1	
胖	pʰun6	
胚	pʰui1	
胛	kap7	
勝	sɐŋ5	
胞	pau1	
胡	fu2	
胳	kɔk7	
膠	kau1	
胸	huŋ1	
能	nɐŋ2	
脂	tsi3	
脆	tsʰui5	
脉	mak8	
脊	tsiak7	
脏	tsʰɔŋ6	内~
脏	tsɔŋ1	肮~
臍	tsʰi2	
腦	nau3	
膿	nuŋ2	
脖	pʰut8	
脚	kiɔk7	
脯	pʰu3	
脱	tʰit7	
腡	lɔ5	
臉	lim5	
脾	pʰi2	
腆	tin3	
臘	lap8	
腋	iɐk8	
腌	ip7	
腐	fu6	
腑	fu3	
腔	kʰiɔŋ1	
腕	vun3	
腥	siaŋ1	
腩	nam5	
腮	sui1	
腰	iu1	
腱	kʰin6	
腹	fuk8	
膩	ni6	
騰	tʰɐŋ2	
腿	tʰui5	
膀	pʰɔŋ2	
膏	kau1	
膜	mɔk7	
膨	pʰaŋ2	
膳	sin6	
臀	tʰin2	
臂	pi3	
臊	tsʰau2	
臣	sɐn2	
自	tsʰi6	
臭	tsʰɐu5	
至	tsi5	
致	tsi5	
臻	tsɐn1	
臼	kʰɐu5	
舀	iu5	
舂	tsuŋ1	
舅	kʰɐu5	
舌	sit8	
舍	sa3	
舐	sit8	
舒	si1	
舔	tʰim1	
舜	sɐn6	
舞	mu3	
舟	tsɐu1	
航	hɔŋ2	
般	pun1	
艦	lam6	
舵	tʰɔ2	
船	sin2	
艇	tʰiaŋ5	
良	liɔŋ2	
艱	kan1	
色	sɐk7	
豔	im6	
藝	ŋɐi6	
艾	ŋai6	
節	tsit7	
芋	fu6	
芍	tsʰiɔk7	
芒	mɔŋ1	~果
芒	mɔŋ2	~草
芙	fu2	
芝	tsi1	
芥	kai6	
蘆	lu2	
芬	fɐn1	
芭	pa1	
花	fa1	
芳	fɔŋ1	
芹	kʰɐn2	
芽	ŋa2	
葦	vɐi5	
莧	hin6	
蒼	tsʰɔŋ1	
苧	tsʰi5	
苏	su1	
苑	in5	
苔	tʰui2	
苗	miu2	
苟	kɐu3	
若	iɔk7	
苦	kʰu3	
英	iɐŋ1	
茂	mɐu6	
范	fan6	
茄	kʰiɔ2	
茅	mau2	
莖	kʰaŋ3	
繭	kan3	
茬	tsʰa2	
茴	fui2	
茵	iɐn1	
茶	tsʰa2	
茸	iuŋ2	
荀	sɐn2	
荆	kɐŋ1	
草	tsʰau3	
薦	tsin5	
荒	fɔŋ1	
荔	lɐi6	
蕎	kʰiu2	
蕩	tʰɔŋ5	
榮	iɐŋ2	
葷	vɐn2	
蔭	iɐm5	
藥	iɔk8	
荷	hɔ2	
莎	sa1	
莠	sɐu5	
莫	mɔk7	
萊	lui2	
蓮	lin2	
获	vɔk7	
鶯	ɐŋ1	
莽	mɔŋ3	
菊	kʰuk7	
菌	kʰuɐn5	
菖	tsʰɔŋ1	
菜	tsʰui5	
菠	pɔ1	
菩	pʰu2	
菱	lɐŋ2	
萃	sui6	
萄	tʰau2	
萌	mɐŋ2	
萍	pʰɐŋ2	
萎	vɐi3	
蘿	lɔ2	
螢	iɐŋ2	
營	iɐŋ2	
蕭	siu1	
薩	sat7	
落	lɔk8	
著	tsi5	
葛	kut7	
董	tuŋ3	
葫	fu2	
葬	tsɔŋ5	
葱	tsʰuŋ1	
葵	kʰɐi2	
蔣	tsiɔŋ3	
蒙	muŋ2	
蒜	sin5	
蒲	pʰu2	
蒸	tsɐŋ1	
蒿	kau1	
蓄	tsʰuk7	
蓉	iuŋ2	
蓑	sɔ3	
蓖	pʰi1	
藍	lam2	
驀	mɐk8	
蓬	pʰuŋ2	
蔑	mit8	
蔓	man6	
蔗	tsa5	
蔡	tsʰai5	
蔫	nim1	
藹	hut7	
蔽	pɐi5	
蕉	tsiu1	
蕊	iui5	
薄	pʰɔk8	
薛	sit7	
薪	sɐn1	
薯	si2	
薰	fɐn1	
藉	tsʰɐk8	~故
藉	tsʰɐk7	狼~
藏	tsʰɔŋ6	西~
藏	tsʰɔŋ2	隐~
藐	mau6	
藕	ŋɐu5	
藤	tʰɐŋ2	
藩	fan1	~国
藩	fan2	~篱
藿	kʰɔk7	
蘸	tsim3	
虎	fu3	
虜	lu2	
虐	liɔk8	
慮	li6	
虔	kʰin2	
虚	hi1	
虞	i2	
蟲	tsʰuŋ2	
虹	huŋ2	
虻	mɔŋ1	
雖	sui1	
蝦	ha1	
蝕	sit8	
蟻	ŋɐi5	
蚊	mɐn1	
蚌	pʰɔŋ6	
蠶	tsʰam2	
蚣	kuŋ1	
蚤	sau1	
蛀	tsi5	
蛇	sa2	
蛋	tʰan6	
蛙	va1	
蛛	tsi1	
蛤	kɐp7	
蠻	man2	
蟄	tsʰɐk8	
蛾	ŋɔ2	
蜀	tsuk7	
蜂	fuŋ1	
蜇	tsit7	
蜈	m̩2	
蜓	tʰɐŋ2	
蜕	tʰui6	
蝸	vɔ1	
蜘	ti1	
蜜	mɐt8	
蠟	lap8	
蜻	tsʰiaŋ1	
蜿	vun3	
蠅	iɐŋ2	
蟬	sim2	
蠍	hut7	
蝗	vɔŋ2	
蝙	pʰin1	
蝠	fuk8	
蝶	tʰip8	
螂	lɔŋ2	
螃	pʰɔŋ2	
融	iuŋ2	
螳	tʰɔŋ2	
螺	liɔ2	
蟀	sit7	
蟆	mɔk7	
蟋	sɐk7	
蟒	mɔŋ3	
蟹	hai5	
蟾	im2	
蠢	tsʰɐn3	
血	hit7	
衅	iɐn5	
行	haŋ2	~为
行	hɔŋ2	~列
行	haŋ6	品~
銜	ham2	
街	kai1	
衙	ŋam2	
衡	fɐŋ2	
衣	i1	
補	pu3	
