#漢字	音標	解釋
䝼	ȶʰiŋ5	〜受
拿	na2	
持	tʃʰɿ2	
挂	kua5	
指	tʂʅ3	
按	ŋã5	
挑	ȶʰiɔ1	
挖	ua1	
撓	nɔ2	
擋	tɑŋ3	
擠	ȶi5	
揮	xuei1	
挨	iɛ1	〜近,〜住
挨	iɛ2	〜打,〜骂
挪	nuə2	
振	tʃẽ5	
挺	ȶʰiŋ3	
挽	uã3	
捅	tʰəŋ3	
捆	kʰuẽ3	
捉	tʂuə3	
捋	ly3	〜袖子
捎	ʂɔ1	〜带
捏	ȵiə3	
捐	tʃuã1	
捕	pʰu3	
撈	lɔ2	
損	θyẽ3	
換	xuã5	
捧	pʰəŋ3	
据	y5	
捷	ȶiə2	
捺	na5	撇〜
掀	ʃã1	
掂	ȶiã1	
授	ʃou5	
掉	ȶiɔ5	
掌	tʃɑŋ3	
掏	tʰɔ1	〜出来
掐	tʃʰa1	
排	pʰɛ2	
掘	tʃuə3	
掠	lyə3	
探	tʰã5	试~,侦~
接	ȶiə3	
控	kʰəŋ5	
推	tʰuei1	
掩	iã3	
措	tθʰuə5	
掫	tʂou1	
掬	tʃʮ3	一〜,一捧
掮	tʃʰã1	
撣	tã3	鸡毛〜子
揉	iou2	
描	miɔ2	
提	ȶʰi2	
插	tʂʰa3	
揖	i1	作〜
握	uə1	
揭	tʃə3	
援	yã2	〜救
攬	lã3	
攙	tʂʰã3	
擱	kə3	
摟	lou2	〜钱,〜取
摟	lou3	〜抱
攪	tʃɔ3	
搓	tθʰuə1	
搜	θou1	
搞	kɔ3	
搡	θɑŋ3	推〜
搬	pã1	
搭	ta3	
攜	ʃə2	
搽	tʂʰa2	
攝	ʃə5	
摆	pɛ3	
摇	iɔ2	
攤	tʰã1	
摔	ʂuɛ1	
摘	tʃei3	
摞	luə2	〜起来
摩	mə2	
摸	mə5	
摹	mə2	临〜
撇	pʰiə3	〜捺,〜开
撑	tʂʰəŋ1	
撒	θa3	〜手,〜种子
撕	θɿ1	
撙	tθuẽ3	
撞	tʂuɑŋ5	
撤	tʃʰə5	
撩	liɔ2	〜起来
攆	ȵiã3	
擀	kã3	
操	tθʰɔ1	〜作,~练
擒	tʃʰẽ2	
擖	kʰa3	
擘	pei3	用手〜开
擦	tθʰa3	
攀	pʰã1	
攢	tθã3	积〜
攘	nɑŋ3	用刀子〜
支	tʂʅ1	
收	ʃou1	
改	kɛ3	
攻	kəŋ1	
放	fɑŋ5	
政	tʃəŋ5	
故	ku5	
效	ʃɔ5	
敵	ȶi2	
敏	miẽ3	
救	tʃou5	
教	tʃɔ1	〜书
教	tʃɔ5	〜育,~他去
斂	liã5	
敝	pi5	
敢	kã3	
散	θã5	分〜
散	θã3	鞋带〜了
敦	tuẽ1	〜厚
敬	tʃəŋ5	
數	ʂu3	动词
數	ʂu5	名词
敲	tʃʰɔ1	
整	tʃəŋ3	
敷	fu3	
文	uẽ2	
齋	tʂɛ1	
斑	pã1	
斗	tou5	〜争
斗	tou3	一~米
料	liɔ5	
斜	θiə2	
斟	tʃẽ5	
斤	tʃẽ1	
斥	tʃʰɿ5	
斧	fu3	
斬	tʂã3	
斷	tuã5	〜绝
斷	tuã5	决〜
斯	θɿ1	
新	θiẽ1	
方	fɑŋ1	
施	ʂʅ3	
旁	pʰɑŋ2	
旅	ly3	
旋	θyã3	
族	tθu5	
旗	tʃʰɿ2	
無	u2	
既	tʃɿ5	
日	i5	
旦	tã5	
舊	tʃou5	
旨	tʂʅ3	
早	tθɔ3	
旬	θyẽ2	
旱	xã5	
時	ʂʅ2	
曠	kʰuɑŋ5	
旺	uɑŋ5	兴〜,火〜
昆	kʰuẽ1	~虫
昌	tʃʰɑŋ1	
明	miŋ2	
昏	xuẽ1	
易	i5	交〜
易	i5	难〜
昔	θi3	
星	θiŋ1	
映	iŋ5	
春	tʃʰuẽ1	
昧	mei5	
昨	tθuə5	
昭	tʃɔ1	
是	ʂʅ5	
顯	ʃã3	
晃	xuɑŋ3	〜眼睛
晉	ȶiẽ5	
晌	ʃɑŋ3	
曬	ʂɛ5	
曉	θiɔ3	
暈	yẽ1	
晚	uã3	
晦	xuei5	
晨	tʃʰẽ2	
普	pʰu3	
景	tʃəŋ3	
晴	ȶʰiŋ2	
晶	ȶiŋ1	
智	tʃɿ5	
暫	tθã5	
暑	ʂu3	
暖	nuã3	
暗	ŋã5	
暮	mu5	
暴	pɔ5	
曰	yə5	
曲	tʃʰʮ3	〜折,歌〜
曲	tʃʰʮ3	酒〜
更	kəŋ1	〜换,五〜
更	kəŋ5	〜加
曹	tθʰɔ2	
曾	tθʰəŋ2	〜经
曾	tθəŋ1	姓
替	ȶʰi5	
最	tθuei5	
月	yə5	
有	iou3	
朋	pʰəŋ2	
服	fu5	
朔	ʂuə5	
朗	lɑŋ2	
望	uɑŋ5	
朝	tʃʰɔ2	〜代
朝	tʃɔ1	今〜
期	tʃʰɿ1	时~
木	mu5	
未	uei5	
末	mə5	
本	pẽ3	
术	ʂu5	技〜
朱	tʃʮ1	〜砂
朱	tʃʮ1	姓,大红色
朴	pʰu3	〜素
朴	pʰiɔ2	姓
朶	tuə3	
機	tʃɿ1	
朽	ʃou1	
殺	ʂa3	
雜	tθa2	
權	tʃʰuã2	
杆	kã3	
杈	tʂʰa5	树〜
杉	ʂã1	
李	li3	
杏	ʃəŋ5	
材	tθʰɛ2	
村	tθʰuẽ1	
杖	tʃɑŋ5	
杜	tu5	
杞	tʃʰɿ3	
束	ʂu5	
杠	kɑŋ5	
條	ȶʰiɔ2	
來	lɛ2	
楊	iɑŋ2	
杭	xɑŋ2	
杯	pei1	
杰	tʃə2	
杵	tʂʰu3	
杷	pa3	枇〜
松	θəŋ1	〜紧
松	θiŋ1	松树
板	pã3	
極	tʃɿ2	
構	kou5	
枇	pʰi2	〜杷
枉	uɑŋ5	
析	θi3	
枕	tʃʰẽ5	动词
枕	tʃẽ3	名词,〜头
林	liẽ2	
枚	mei2	
果	kuə3	
枝	tʂʅ1	
樞	ʃʮ1	
棗	tθɔ3	
槍	ȶʰiɑŋ1	
楓	fəŋ1	
枯	kʰu1	
架	tʃa5	
柄	piŋ3	
柏	pei3	
某	mu3	
染	iã3	
柔	iou2	
柚	iou5	
櫃	kuei5	
柞	tθuə3	〜蚕,即吃櫟树的蠶
查	tʂa1	山〜
查	tʂʰa2	调〜
柩	tʃou5	
柬	tʃã3	
柱	tʃʮ5	
柳	liou3	
柴	tʂʰɛ2	
柿	ʂʅ5	
栅	tʂa5	〜栏
標	piɔ1	
棧	tʂã5	
棟	təŋ5	
欄	lã2	
樹	ʃʮ5	
栗	li5	
校	tʃɔ5	~对
校	ʃɔ5	上〜
校	ʃɔ5	学〜
株	tʃʮ1	
樣	iɑŋ5	
核	xu2	蘋果〜
根	kẽ1	
格	kə3	
栽	tθɛ1	
桂	kuei5	
桃	tʰɔ2	
桄	kuɑŋ5	一〜线
桅	uei2	
桅	tʂʅ1	〜子花
案	ŋã5	
桌	tʂuə3	
桐	tʰəŋ2	
桑	θɑŋ1	
桓	xuã2	
橋	tʃʰɔ2	
樺	xua5	
檜	xuei5	
槳	ȶiɑŋ3	
樁	tʂuɑŋ1	
桶	tʰəŋ3	
梁	liɑŋ2	
梅	mei2	
梗	kəŋ3	花〜儿
梢	ʂɔ1	树〜
夢	məŋ5	
梧	u3	〜桐
梨	li2	
梭	θuə1	
梯	ȶʰi1	
械	ʃɛ5	
梳	ʂu1	〜头
檢	tʃã3	
棉	miã2	文
棉	ȵiã2	白
棋	tʃʰɿ2	
棍	kuẽ5	
棒	pɑŋ5	
棕	tθəŋ1	
棚	pʰəŋ2	
棠	tʰɑŋ2	
森	ʂẽ1	
棵	kʰuə1	
棺	kuã1	
椅	i3	
植	tʃɿ2	
椏	ia1	〜杈
椒	ȶiɔ1	
橢	tʰuə3	〜圆
椿	tʃʰuẽ1	〜树
楔	θiə3	〜子
楚	tʂʰu3	
楝	liẽ3	
楞	ləŋ5	
楦	ʃuã5	鞋~
楷	kʰɛ3	
樓	lou2	
概	kɛ5	
欖	lã3	
榆	y2	
榛	tʂẽ1	
榜	pɑŋ3	
榨	tʂa2	
榫	θyẽ3	〜头
榴	liou2	石〜
榻	tʰa3	
槌	tʂʰuei2	
槐	xuɛ2	
檳	piẽ1	〜榔
槽	tθʰɔ2	马〜
樑	liɑŋ2	
樟	tʃɑŋ1	〜树
模	mu2	〜子
模	mə2	〜范
橫	xuẽ2	〜直
橫	xəŋ5	蛮〜
櫻	iŋ1	〜桃
橄	lã3	〜缆
橄	kã3	〜榄
橈	iɔ2	
橘	tʃʮ3	
橙	tʃʰəŋ2	
橛	tʃuə2	〜子
橡	θiɑŋ5	〜树
櫓	lu3	
檀	tʰã2	
檐	iã2	
欠	tʃʰã5	
次	tθʰɿ2	
歡	xuã1	
欣	ʃẽ1	
歐	ŋou1	
欲	y5	〜望
欲	y5	摇摇〜坠
欺	tʃʰɿ1	
款	kʰuã3	
歇	ʃə3	
歉	tʃʰã5	
歌	kuə1	
止	tʂʅ3	
正	tʃəŋ1	~月
正	tʃəŋ5	〜面
此	tθʰɿ2	
步	pu5	
武	u3	
歪	uɛ1	
死	θɿ3	
殲	ȶʰiã1	
殃	iɑŋ1	
殉	θyẽ5	
殊	ʂu1	
殘	tθʰã2	
殮	liã5	
殖	tʃɿ2	
殯	piẽ5	
毆	ŋou1	
段	tuã5	
殷	iẽ1	
殿	ȶiã5	
毁	xuei3	
毅	i5	
母	mu3	
每	mei3	
毒	tu2	
比	pi3	〜较
畢	pi3	
斃	pi5	
毛	mɔ2	
毡	tʃã1	
毫	xɔ2	
毯	tʰã3	
氄	iŋ2	〜毛
氏	ʂʅ5	
民	miẽ2	
气	tʃʰɿ5	
水	ʂuei3	
永	iŋ5	
汁	tʃɿ3	
求	tʃʰou2	
汆	tθʰuã1	~丸子
汇	xuei5	〜成河流,〜款
漢	xã5	
汗	xã5	
汞	kəŋ3	
江	tʃɑŋ1	
池	tʃʰɿ2	
污	u1	
湯	tʰɑŋ1	
汪	uɑŋ1	
汴	piã5	
汽	tʃʰɿ5	
沂	i2	〜河
沃	uə5	
沈	ʃẽ3	
沉	tʃʰẽ2	
沌	tuẽ5	
沓	ta5	一〜纸
沙	ʂa1	
沛	pʰei5	
溝	kou1	
没	mu2	~有
没	mə5	沉〜
漚	ŋou1	
淪	luẽ2	
滬	xu5	
沫	mə5	
河	xuə2	
油	iou2	
治	tʃɿ5	
沼	tʃɔ1	〜气
沾	tʃã1	
沿	iã1	
泄	θiə5	
泅	iẽ1	
泉	ȶʰyã2	
泊	pə2	〜船,淡〜
泊	pʰə3	梁山〜
泌	mi5	
泔	kã1	〜水
法	fa3	方〜,〜子
泛	fã5	
泡	pʰɔ5	〜在水里
泡	pʰɛ1	一~尿
波	pə1	
泣	ȶʰi5	
泥	mi2	
注	tʃʮ5	〜解,〜册
注	tʃʮ5	〜意,〜水
淚	lei5	
泰	tʰɛ5	
泳	iŋ3	
瀉	θiə5	
潑	pʰə3	
澤	tʃei2	
潔	tʃə2	
洋	iɑŋ2	
洒	θa3	
洗	θi3	
洛	luə5	
洞	təŋ5	
津	ȶiẽ5	
洪	xəŋ2	
洲	tʃou1	
活	xuə2	
洼	ua2	
洽	tʃʰa5	
派	pʰɛ5	
流	liou2	
淺	ȶʰiã3	
漿	ȶiɑŋ1	
澆	tʃɔ1	
濁	tʂuə2	
測	tθʰə5	
濟	ȶi5	
渾	xuẽ2	〜浊
滸	xu3	水〜
濃	nəŋ2	
浙	tʃə3	
浦	pʰu3	
浩	xɔ5	
浪	lɑŋ5	
浮	fu2	
浴	y5	
海	xɛ3	
浸	ȶiẽ5	
涂	tʰu2	
消	θiɔ1	
涉	ʃə5	
涌	iŋ3	
涕	ȶʰi5	鼻〜
濤	tʰɔ1	
澇	lɔ5	
潤	yẽ5	
澗	tʃã3	
漲	tʃɑŋ3	
澀	ʃɿ3	
涮	ʂuã5	
涯	iɛ2	天〜
液	iə5	
淋	liẽ2	~漓,~湿
淑	ʂu3	
淘	tʰɔ2	〜米
淡	tã5	
淤	y1	
淫	iẽ1	
淮	xuɛ2	
深	ʃẽ1	
混	xuẽ5	相〜,~沌
淹	iã1	
添	ȶʰiã1	
清	ȶʰiŋ1	
淵	yã1	
漸	ȶiã5	
漁	y2	
滲	θiŋ3	
渠	tʃʰʮ3	
渡	tu5	
渣	tʂa1	
溫	uẽ1	
港	kɑŋ3	
渴	kʰa3	
游	iou2	
渺	miɔ3	
湖	xu2	
湘	θiɑŋ1	
灣	uã1	
溼	ʃɿ3	
潰	kʰuei5	
濺	ȶiã5	
溉	kɛ5	
源	yã2	
準	tʃuẽ3	〜则,标〜
溜	liou1	
溪	ʃɿ1	
溺	ȵi5	
溻	tʰa3	汗〜湿了
滋	tθɿ1	
滑	xua2	
滓	tθɿ1	
滔	tʰɔ2	
滚	kuẽ3	
滿	mã3	
濾	ly5	
濫	lã5	
灘	tʰã1	
滴	ȶi5	
漂	pʰiɔ1	〜浮
漂	pʰiɔ5	〜亮
漆	ȶʰi3	
漏	lou5	
演	iã3	
漤	lã3	~柿子,~菜
漫	mã5	
漱	ʂu5	〜口
潘	pʰã1	
潛	ȶʰiã1	
潭	tʰã2	
潮	tʃʰɔ2	
潲	ʂɔ5	〜雨
澄	tʃʰəŋ2	
澡	tθɔ3	
激	tʃɿ3	
瀑	pʰu5	〜布
灌	kuã5	
火	xuə3	
滅	miə5	
燈	təŋ1	
灰	xuei1	
靈	liŋ2	
竈	tθɔ5	
灸	tʃou3	针〜
災	tθɛ1	
爐	lu2	
炊	tʂʰuei1	
炎	iã2	
炒	tʂʰɔ3	
炕	kʰɑŋ5	
炭	tʰã5	
炮	pʰɔ5	枪〜
炸	tʂa5	〜弹
炸	tʂa2	用油〜
點	ȶiã3	
煉	liã5	
爛	lã5	
烈	liə5	
烘	xəŋ1	
烙	luə5	
燭	tʂu3	
烟	iã1	
烤	kʰɔ3	
煩	fã2	
燒	ʃɔ1	
燙	tʰɑŋ5	
熱	iə5	
烹	pʰəŋ1	
焊	xã5	
煥	xuã5	
焙	pei5	〜干
焚	fẽ3	
焦	ȶiɔ1	
焰	iã5	
然	iã2	
煎	ȶiã1	
煤	mei2	
照	tʃɔ5	
煮	tʃʮ3	
熄	θi3	
熊	ʃəŋ2	
熏	ʃuẽ1	
熙	ʃɿ1	
熟	ʃʮ2	煮〜,〜悉
熥	tʰəŋ1	〜〜包子
熨	yẽ5	
熬	ŋɔ2	
燃	iã2	
燎	liɔ2	〜原
燎	liɔ3	火〜眉毛
燕	iã5	〜京,姓
燕	iã5	〜子
爆	pɔ5	
爊	ŋɔ1	〜白菜
爪	tʂua3	〜子,〜牙
爬	pʰa2	
愛	ŋɛ3	
爵	ȶyə2	
父	fu5	
爺	iə2	
爸	pa2	
爹	ȶiə1	
爽	ʂuɑŋ3	
片	pʰiã5	
版	pã3	
牌	pʰɛ2	
牒	ȶiə2	
牙	ia2	
牚	tʂʰəŋ2	椅子〜儿
牛	iou2	
牡	mu3	
牢	lɔ2	
牧	mu5	
物	u5	
牲	ʂəŋ1	
牽	tʃʰã1	
特	tʰə5	
犧	ʃɿ3	
犀	θi1	
犁	li2	
犢	tu2	牛〜子
犒	kʰɔ5	
犯	fã5	
狀	tʂuɑŋ5	
猶	iou1	
狂	kʰuɑŋ2	
狄	ȶi2	
狍	pʰɔ2	~子
狐	xu3	〜狸
狗	kou3	
狡	tʃɔ3	
獨	tu2	
狹	ʃa2	
獅	ʂʅ1	
獄	y5	
狸	li2	〜猫
狼	lɑŋ2	
獵	liə5	
猛	məŋ3	
猜	tθʰɛ1	
猝	tθʰu5	仓〜
豬	tʃʮ1	
猫	mɔ2	
蝟	uei5	
獻	ʃã5	
猴	xou2	
猾	xua2	狡〜
玄	θyã2	
率	ʂuɛ5	〜领
率	ly5	速〜
玉	y5	
王	uɑŋ2	
玩	uã2	古~,游~
環	xuã2	
現	ʃã5	
璽	θi3	
玻	pə1	〜璃
珊	ʃã1	
珍	tʃẽ3	
珠	tʃʮ1	
班	pã1	
球	tʃʰou2	
理	li3	
琉	liou2	〜璃
瑣	θuə3	〜碎
琢	tʂuə2	
琴	tʃʰẽ2	
琵	pʰi2	〜琶
琶	pa3	琵〜
瓊	tʃʰəŋ2	
瑕	ʃa2	
瑞	ʂuei5	
瑟	θə5	
璃	li5	玻〜
璧	pi5	
璺	uẽ5	
瓜	kua1	
瓠	xu5	〜瓜
瓢	pʰiɔ2	
瓣	pã5	
瓤	iɑŋ2	瓜〜
瓦	ua5	动词
瓦	ua3	名词
瓮	uəŋ5	
瓶	pʰiŋ2	
瓷	tθʰɿ2	〜器
甘	kã1	
甚	ʃẽ5	
甜	ȶʰiã2	
生	ʂəŋ1	
甥	ʂəŋ1	
用	iŋ5	
甫	fu3	
田	ȶʰiã2	
由	iou2	
甲	tʃa3	
申	ʃẽ1	
電	ȶiã5	
男	nã2	
畫	xua5	
暢	tʃʰɑŋ5	
界	tʃɛ5	
畏	uei5	
留	liou2	
畜	tʂʰu2	〜牲
畜	θy5	〜牧
略	lyə5	
畦	ʃɿ2	菜〜
番	fã1	几〜
疆	tʃɑŋ1	
疏	ʂu1	〜远
疑	i2	
疔	ȶiŋ1	
療	liɔ5	
疝	ʂã5	〜气
瘧	yə5	〜疾,发〜子
瘍	iɑŋ3	溃〜
疤	pa1	
疥	tʃɛ5	
疫	i5	
瘡	tʂʰuɑŋ1	
瘋	fəŋ1	
疲	pʰi2	
疵	tθʰɿ1	吹毛求〜
疹	tʃẽ3	
疼	tʰəŋ2	
疾	ȶi2	
痂	tʃa1	
病	piŋ5	
症	tʃəŋ5	
癰	iŋ3	
痒	iɑŋ3	
痔	tʂʅ5	
痕	xẽ2	
痛	tʰəŋ2	
痢	li5	
痰	tʰã2	
痱	fei1	〜子
癡	tʂʰʅ3	
痹	pi5	麻〜
瘊	xou2	〜子
瘟	uẽ1	
瘦	ʂou5	
瘴	tʃɑŋ5	〜气
瘸	tʃʰuə2	
癩	lɛ5	
癩	li5	〜利
癬	θyã3	
登	təŋ1	
發	fa3	〜财
白	pei2	
百	pei3	
皂	tθɔ5	
的	ȶi5	目〜
皆	tʃɛ1	
皇	xuɑŋ2	
皮	pʰi2	
皺	tʂou5	
皴	ȶʰyẽ1	〜裂
皿	miẽ3	
盂	y2	
盅	tʂəŋ1	
盆	pʰẽ2	
盈	iŋ2	
益	i5	
盞	tʂã3	
鹽	iã2	
監	tʃã1	〜察,〜视,〜狱
監	tʃã5	国子〜
盒	xuə2	
盔	kʰuei1	
盖	kɛ5	
盜	tɔ5	
盤	pʰã2	
盛	tʃʰəŋ2	〜满了
盛	ʃəŋ5	兴~
盟	məŋ2	
目	mu5	
盲	mɑŋ3	
直	tʃɿ2	
相	θiɑŋ5	〜貌
相	θiɑŋ1	互〜
盼	pʰã5	
盾	tuẽ5	
盾	tuẽ5	矛〜
省	ʂəŋ3	〜长
省	θiŋ3	反〜
省	ʂəŋ3	节~
眉	mei2	
看	kʰã5	〜见
看	kʰã5	〜守
瞘	kʰou1	眼〜
真	tʃẽ1	
眠	miã2	
眨	tʂa3	〜眼
眩	θyã2	
眵	tʂʰʅ1	眼〜
眶	kʰuɑŋ5	眼~
眷	tʃuã5	
眼	iã3	
着	tʂuə2	附〜,睡〜
睜	tʂəŋ1	
睛	ȶiŋ1	眼〜
睡	ʂuei5	
督	tu1	
瞅	tʂʰou3	
瞎	ʃa3	
瞞	mã2	
瞧	ȶʰiɔ2	
瞪	təŋ5	〜眼
瞬	ʃuẽ5	
瞭	liɔ5	
瞳	tʰuã2	
瞳	tʰəŋ2	
瞿	tʃʰʮ3	
矛	mɔ2	
矢	ʂʅ3	
知	tʃɿ1	
矩	tʃʮ5	规〜
矬	tʰuə2	
短	tuã3	
矮	iɛ3	
石	ʃɿ2	
礬	fã2	
礦	kʰuɑŋ5	
碼	ma3	〜子
砌	ȶʰi3	
砍	kʰã3	
研	iã2	
磚	tʃuã1	
硯	iã5	
破	pʰə5	
礎	tʂʰu3	
硝	θiɔ1	
硫	liou2	〜磺
硬	iŋ5	
確	tʃʰuə3	
礆	tʃã3	
礙	ŋɛ3	
碎	θuei5	
碑	pei1	
碓	tuei5	
碗	uã3	
碟	ȶiə2	
碧	pi5	
碾	ȵiã5	
磁	tθʰɿ2	〜石
磕	kʰa3	
磨	mə2	〜刀
磨	mə2	〜面,石〜
磷	liẽ2	
礓	tʃɑŋ1	砂〜石
示	ʂʅ5	
禮	li3	
社	ʃə5	
祀	θɿ5	祭〜
祁	tʃʰɿ2	
祈	tʃʰɿ2	
祐	iou5	
祖	tθu2	
祝	tʂu5	
神	ʃẽ2	
祠	tθʰɿ2	
祥	θiɑŋ2	
票	pʰiɔ5	
祭	ȶi5	
禱	tɔ3	
禍	xuə5	
稟	piŋ3	
禁	tʃẽ1	〜不住
禁	tʃẽ3	〜止
祿	lu5	
禪	tʂʰã2	〜宗
福	fu3	
禹	y3	
离	li5	〜开半寸
离	li5	别〜
禽	tʃʰẽ2	
禾	xuə5	
秀	θiou5	
私	θɿ1	
秃	tʰu3	
稈	kã3	
秉	piŋ3	
秋	ȶʰiou1	〜天
種	tʂəŋ3	〜类
種	tʂəŋ5	〜树
科	kʰuə1	
秒	miɔ3	
秕	pi3	〜谷
租	tθu1	
秤	tʃʰəŋ5	一杆〜
秦	ȶʰiẽ2	
秧	iɑŋ1	
秩	tʃɿ5	
積	ȶi5	
稱	tʃʰəŋ1	〜呼
稱	tʃʰəŋ1	〜重量
稱	tʃʰẽ5	相〜
秸	tʃɛ1	麦〜
移	i2	
稀	ʃɿ3	
程	tʃʰəŋ2	
税	ʂuei5	
稚	tʃɿ5	幼〜
稠	tʃʰou2	
穩	uẽ3	
稻	tɔ5	
稼	tʃa5	
稽	tʃɿ1	
稿	kɔ3	
穀	ku3	稻〜
穄	ȶi5	〜子
穆	mu5	
穗	θuei5	
穴	ʃuə1	
究	tʃou3	
窮	tʃʰəŋ2	
空	kʰəŋ1	~虚
空	kʰəŋ5	〜缺
穿	tʃʰuã1	
突	tʰu3	
窄	tʃei3	
竅	tʃʰɔ5	
窯	iɔ2	
窖	tʃɔ5	
窗	tʂʰuɑŋ1	
竄	tθʰuã1	
窩	uə1	
窟	kʰu1	〜窿
窺	kʰuei2	
立	li5	
豎	ʃʮ5	
站	tʂã5	〜住
站	tʂã5	车〜
競	tʃəŋ5	
竟	tʃəŋ5	
章	tʃɑŋ1	
童	tʰəŋ2	
端	tuã1	
竹	tʂu3	
竿	kã1	
笊	tʂɔ5	〜篱
笋	θyẽ3	
笑	θiɔ5	
筆	pi3	
笙	ʂəŋ1	
笛	ȶi2	
笠	li5	
符	fu3	
笨	pẽ5	
第	ȶi5	
箋	ȶʰiã1	
籠	ləŋ2	
等	təŋ3	
筋	tʃẽ1	
筏	fa2	
筐	kʰuɑŋ1	
筑	tʂu5	
筒	tʰəŋ3	
答	ta3	
策	tʃʰei3	
篩	ʂɛ1	〜子
箏	tʂəŋ1	
筵	iã3	
筷	kʰuɛ5	
籌	tʃʰou2	
签	ȶʰiã1	〜名
签	ȶʰiã1	竹〜,〜上花边
簡	tʃã3	
箅	pi5	〜子
箍	ku1	
算	θuã5	
管	kuã3	
簫	θiɔ1	
箭	ȶiã5	
箱	θiɑŋ1	
箸	tʃʮ5	
篆	tʃuã5	
篇	pʰiã1	
簍	lou3	
篙	kɔ1	
籃	lã2	
籬	li2	
篷	pʰəŋ2	
簟	ȶiã5	
簧	xuɑŋ2	
簪	tθã1	
簸	pə3	〜一~
簸	pə3	〜箕
簿	pu5	
籍	ȶi5	
米	mi3	
類	lei5	
粉	fẽ3	
粒	li5	
粗	tθʰu1	
粘	tʃã1	
粟	θu5	
粤	yə5	
粥	tʃou1	
糞	fẽ5	
糧	liɑŋ2	
粱	liɑŋ2	
粹	tθʰuei5	纯〜
糉	tθəŋ5	
精	ȶiŋ1	
糕	kɔ1	
糖	tʰɑŋ2	
糙	tθʰɔ1	〜米,粗〜
糜	mi2	粥
糟	tθɔ1	
糠	kʰɑŋ1	
糯	nuə5	〜米
糰	tʰuã2	饭~
糶	ȶi2	
糶	ȶʰiɔ5	
系	tʃɿ3	〜鞋带
系	ʃɿ5	〜统
系	ʃɿ5	确〜实情
系	ʃɿ5	联〜
素	θu5	
索	θuə3	绳〜
緊	tʃẽ3	
紫	tθɿ3	
累	lei3	〜积
累	lei5	劳〜
累	lei5	连〜
絮	θy5	
繁	fã2	
繰	ȶʰiɔ1	〜边
纂	tθuã3	〜儿,梳在头发后面的发髻
糾	tʃou1	~缠
糾	tʃou1	~正
紅	xəŋ2	
紂	tʃou5	助〜为虐
約	yə3	
級	tʃɿ1	
紀	tʃɿ5	〜律,世〜,年〜
緯	uei3	
純	tʃʰuẽ2	
紗	ʂa1	
綱	kɑŋ1	
納	na5	
縱	tθəŋ5	~横
縱	tθəŋ5	放~
紛	fẽ1	
紙	tʂʅ3	
紋	uẽ2	
紐	ȵiou3	
線	θiã5	
練	liã5	
組	tθu1	
細	θi5	
織	tʃɿ3	
終	tʂəŋ1	
絆	pã5	
紹	ʃɔ5	
經	tʃəŋ1	~纬,〜线
經	tʃəŋ1	〜过
綁	pɑŋ3	
絨	iŋ2	
結	tʃə3	
繞	iɔ2	〜线
繞	iɔ2	围〜
繪	xuei5	
給	tʃɿ2	〜你,供〜
絡	luə5	
絶	ȶyə2	
絞	tʃɔ3	
統	tʰəŋ3	
絹	tʃuã5	手〜
繡	θiou5	
綏	θuei2	
繼	tʃɿ5	
績	ȶi5	
緒	θy5	
續	θy5	
繩	ʃəŋ2	
維	uei2	
綿	miã2	
綢	tʃʰou2	
綜	tθəŋ1	织布机上的〜
綻	tʂã5	
綠	ly5	
綴	tʂuei5	点〜
緬	miã3	
緝	ȶʰi3	〜鞋口
緞	tuã5	
緩	xuã2	
縷	ly3	
編	piã1	
緣	yã2	
縛	fu5	
縫	fəŋ2	〜衣服
縫	fəŋ5	〜隙
纏	tʃʰã2	
纓	iŋ1	
縮	ʂuə3	
繮	tʃɑŋ1	〜绳
繳	tʃɔ3	上〜
缸	kɑŋ1	
缺	tʃʰuə3	
罐	kuã5	
网	uɑŋ3	
罕	xã3	
羅	luə2	
罰	fa2	
罷	pa5	
罩	tʂɔ5	
罪	tθuei5	
置	tʃɿ5	
罵	ma5	
羊	iɑŋ2	
美	mei3	
羔	kɔ1	
羞	θiou1	
羡	θiã5	
群	tʃʰuẽ2	
羹	kəŋ1	
羽	y3	
翁	uəŋ1	
翅	tʂʰʅ5	
翎	liŋ2	
翠	tθʰuei5	
翡	fei1	〜翠
翰	xã5	
翻	fã1	
翼	i5	
耀	iɔ2	
老	lɔ3	
考	kʰɔ3	
者	tʃə3	
而	ɭə5	
耍	ʂua3	
耐	nɛ5	
耕	tʃəŋ1	
耗	xɔ5	
耙	pa5	犁〜,〜地
耩	tʃɑŋ3	〜地
耳	ɭə3	
耻	tʂʰʅ3	
耽	tã1	
耿	kəŋ3	
聶	ȵiə3	姓
聊	liɔ2	
聾	ləŋ2	
職	tʃɿ3	
聯	liã2	
聘	pʰiẽ5	
聚	ȶy5	
聰	tθʰəŋ1	
肅	θu5	
肆	θɿ5	
肉	iou5	
肋	lei5	
肌	tʃɿ1	
肘	tʃou3	
肚	tu5	腹〜
肚	tu3	鱼〜,猪〜
肝	kã1	
腸	tʃʰɑŋ2	
股	ku3	
肢	tʂʅ1	
膚	fu3	
肥	fei2	
肩	tʃã1	
肪	fɑŋ2	脂〜
骯	ŋɑŋ1	〜脏
肯	kʰẽ3	
育	y5	
肴	iɔ2	
肺	fei5	
腎	ʃẽ5	
腫	tʂəŋ3	
脹	tʃɑŋ5	
脅	ʃə2	
胃	uei5	
膽	tã3	
