#漢字	音標	解釋
匹	pʰiəʔ7	
區	tɕʰyᶨ1	
醫	iᶨ1	
匽	ĩ3	隐藏
匾	pĩ3	
匿	niəʔ8	
十	səʔ8	
千	tɕʰĩ1	
卅	sɛʔ7	
升	səŋ1	
午	ʋ̩3	
卉	xuɤɪ6	
半	pʊ̃5	~天
華	xuɑ2	
華	xuɑ1	地名，~丰
協	tɕʰiʔ8	
卑	pɤɪ1	
卒	tsuəʔ7	
卒	tsɔʔ7	
卓	tsuaʔ7	
單	tẽ1	
單	ɕĩ6	姓
賣	mᴇ6	
南	nɑ1	
南	nʊ̃2	
博	paʔ7	
卜	pɔʔ7	姓
卞	pʰĩ6	
占	tɕĩ1	
占	tɕĩ5	
卡	kʰɑ3	
盧	lʋ̩2	
卤	lʋ̩3	
卦	kuɑ5	
臥	ɘʊ6	文
臥	ŋɘʊ6	白
衛	ʋɤɪ6	
卯	mǫ3	
印	iŋ5	
危	ʋɤɪ2	
即	tɕiəʔ7	
卻	tɕʰiaʔ7	
卵	lʊ̃3	
卷	tɕiʊ̃3	
卸	ɕiɑ5	
卿	tɕʰiŋ1	
廠	tsʰã3	
厄	ŋəʔ8	
厄	ŋəʔ7	文
廳	tʰiŋ1	
历	liəʔ8	
厲	liᶨ6	
壓	ŋɛʔ7	
厭	ĩ5	
廁	tsʰəʔ7	
厘	liᶨ2	
厚	xɤɪ6	
原	iʊ̃2	
廂	ɕiã1	
厴	ĩ3	~脐:蟹脐
厥	tɕiʊʔ7	
厦	sɑ5	
厦	ɕiɑ6	文
廚	tsʰʋ̩2	
厮	sɿ1	
去	tɕʰyᶨ5	文
去	tɕʰiᶨ5	白
厾	tɔʔ7	
縣	ɕĩ6	
叄	sẽ1	
参	tsʰẽ1	
参	tsʰəŋ1	
参	səŋ1	
又	iɘʊ2	
又	iɘʊ6	
叉	tsʰɑ1	
及	tɕʰiəʔ8	
友	iɘʊ3	
雙	suã1	
反	fẽ3	
叔	sɔʔ7	
取	tɕʰyᶨ3	
受	sɤɪ6	
變	pĩ5	
敍	ɕyᶨ5	
叛	pʰʊ̃5	
叟	sɤɪ5	
疊	tiʔ7	
疊	tʰiʔ8	
口	kʰɤɪ3	
古	kʋ̩3	
句	tɕyᶨ5	文
句	tɕʰyᶨ6	白
另	liŋ6	
叨	tǫ1	
叨	tʰǫ1	
叩	kʰɤɪ5	
只	tsəʔ7	
叫	tɕiǫ5	文
叫	kǫ5	白，~花子;~天子
召	tsʰǫ6	大声叫喊
叭	pɑ1	
叮	tiŋ1	
可	kʰɘʊ3	
可	kʰəʔ7	
台	tʰᴇ2	
史	sɿ3	
右	iɘʊ6	
叵	pʰɘʊ3	
葉	iʔ8	
號	xǫ2	
號	xǫ6	
司	sɿ1	
嘆	tʰẽ5	
叼	tiǫ1	
嘰	tɕiᶨ1	
各	kaʔ7	
合	xʊʔ8	
合	kʊʔ7	~算
吉	tɕiəʔ7	
吊	tiǫ5	
同	tʰɔŋ2	
名	miŋ2	
后	xɤɪ6	
