#漢字	音標	解釋
□	kɛi3	~里
班	pan1	~车
琴	tɕʰin2a	口~
瑞	li6	~昌
瓜	kua1	西~
瓠	fu6	~子
瓢	pʰiɛu6	水~
瓤	lɔŋ2b	瓜~
瓦	ŋa3	砖~
瓮	ŋ5a	坛~
瓶	pʰin2a	开水~
瓷	tsʰɿ2a	~器
甘	kɔn1	姓~
甜	tʰiɛn2a	嘴~
生	saŋ1	~购
用	iəŋ6	~途
田	tʰiɛn2a	~地
甲	ka7	~子
電	tʰiɛn6	~灯
畫	fa6	年~
畏	vɛi5a	~寒
畜	tsʰu2b	~生
略	liɔ7	省~
番	fan1	一~
疏	su2b	亲~
療	liɛu6	养
疤	pa1	~脸
疫	vi7	~苗
瘡	tsʰɔŋ1	恶
病	pʰiaŋ6	~人
痔	tsʰɿ6	疮
痕	hən2b	牙~
痛	tʰəŋ5b	肚~
痰	tʰan2a	吐~
痱	fi5a	~子
痹	pi5a	麻~
瘦	sɛu5a	胖~
癬	ɕiɛn3	脚~
登	təŋ1	~山
白	pʰa8	~
百	pɛ7	…~
皂	tsʰau6	肥~
的	ti7	目~
皮	pʰi2a	~肉
皺	tsɛu5a	~眉毛
皴	tsʰən1	脸~了
益	i7	利~
盞	tsan3	一~
鹽	iɛn2b	油~
監	kan1	~视
盒	hɔ7	~子
盔	fi1	头~
盖	kai5a	~子
盜	tau6	强~
盤	pʰɔn2a	算~
盛	tsʰən2a	~饭
盛	sən6	兴~
盲	məŋ2b	~目
直	tsʰɛ7	
相	ɕiɔŋ1	~信
相	ɕiɔŋ5a	~貌
省	saŋ3	~长
眉	mi2b	~毛
看	kʰɔn5a	~到
眨	tsa7	~眼
眶	kʰuɔŋ1	眼~
眼	ŋan3	~光
着	tsʰɔ7	睏~
督	tu7	监~
瞎	ha7	~子
瞞	mɔn2b	隐~
瞿	tɕʰi2a	姓~
矛	mau2b	~盾
知	tsɿ1	~识
短	tɔn3	长~
矮	ŋai3	~小
石	sa8	~头
礦	kʰuɔŋ3	煤~
研	ȵiɛn2b	~究
磚	tsɔn1	~瓦
硯	ȵiɛn6	~池
破	pʰo5b	~衣裳
硬	ŋaŋ6	软~
確	tɕʰiɔ7	~实
礙	ŋai6	~事
碎	sɛi5a	打~
碑	pi1	石~
碓	ti5a	~白
碗	vɔn3	饭~
碟	tiɛ7	~子
碾	ȵiɛn3	~碎
磕	kʰɔ7	~头
磨	mo6	~粉
磨	mo2b	~刀
磬	tɕʰin3	打~
示	sɿ6	显~
禮	tʰi3	送~
社	sa6	~会
祁	tɕʰi2a	~门
祖	tsu3	~宗
祠	tsʰɿ2a	~堂
祥	ɕiɔŋ2b	吉~
祭	tɕi5a	~祖
禍	fo6	~害
禁	tɕin5a	~止
福	fu7	~气
离	li2b	~开点
禾	vo2b	~田
私	sɿ1	~人
秃	tʰu7	~顶
秋	tɕʰiɛu1	~天
種	tsəŋ5a	~田
種	tsəŋ3	容~
秒	miɛu3	分~
租	tsu1	房~
秤	tsʰən5b	~砣
秧	iɔŋ1	~苗
稱	tsʰən1	~重量
移	i2b	~动
稀	ɕi1	~少
程	tsʰən1	姓~
稍	sau5a	~微
税	fi5a	交~
稗	pʰa6	~草
穩	vən3	~定
稿	kau3	草~
穆	mu7	姓~
穴	ɕiɛ8	~门
窮	tɕʰiuŋ2a	~人
空	kʰəŋ1	~气
空	kʰəŋ5b	~的
穿	tsʰɔn1	~衣
竅	tɕʰiɛu5b	~门
窯	iɛu2b	砖瓦~
窗	tsʰɔŋ1	~子
窩	vo1	酒~
窠	kʰo1	鸟~
立	li7	~春
豎	su6	~起
站	tsan5a	车~
競	tɕin5a	~赛
章	tsɔŋ1	姓~
端	tɔn1	~碗
竹	tsu7	~床
竿	kɔn3	竹~
笋	ɕin3	竹~
笑	ɕiɛu5a	~话
筆	pi7	水~
笛	ti7	~子
第	tʰi6	~一
籠	ləŋ2b	鸟~
等	təŋ3	~人
策	tsʰɛ7	政~
篩	sai1	~选
签	tɕʰiɛn1	~名
簡	kan3	~单
箍	kʰu1	~桶
算	sɔn5a	~学
管	kuɔn3	~理
籮	lo2b	竹~
箭	tɕiɛn5a	射~
篇	pʰiɛn1	~
簍	lɛu3	竹~
籬	li2b	~笆
篷	pən2a	草~
篾	miɛ8	~匠
簪	tsən1	~子
簸	po5a	~米
簿	pʰu6	账~
米	mi3	~饭
類	li6	四~
粉	fən3	丝
粒	li7	~
粗	tsʰu1	大老~
粘	ȵiɛn2b	~起来
粟	ɕiu7	~米
粥	tsu7	~饭
糞	fən5a	大
糉	tsəŋ5a	~子
精	tɕiaŋ1	~神
糙	tsʰau5b	~米
糟	tsau1	酒~
糠	kʰɔŋ1	容~
糯	lo6	~米
系	tɕi5a	~鞋带
系	ɕi6	关~
素	su5a	吃~
索	sɔ2b	绳~
緊	tɕin3	~张
紫	tsɿ3	~色
累	li3	好~
累	li3	连~
絮	ɕi5a	棉~
纂	tsʰɔn3	编~
紅	fəŋ2b	~旗
約	iɔ7	大~
納	na7	出~
縱	tsəŋ5a	放~
紙	tsɿ3	红~
紡	fɔŋ3	~线
紐	ȵiɛu3	丝~
線	ɕiɛn5a	针~
練	liɛn6	~习
細	ɕi5a	~小
織	tsɿ7	~布
終	tsəŋ1	始~
紹	sau6	介~
經	tɕin1	~过
綁	pɔŋ3	~起来
絨	iəŋ2b	~毛
結	tɕiɛ7	团~
繞	lau3	~图
絶	tɕʰiɛ8	~对
統	tʰəŋ3	~一
績	tɕi7	成~
緒	ɕi5a	头~
繩	sən2b	~子
維	vi2b	~护
綢	tsʰɛu2a	~缎
綠	liu7	色
緝	tɕʰia7	通~
緩	vɔn6	~一步
緣	vən2b	~分
縛	fɔ7	束~
縫	fəŋ2b	~衣裳
縫	fəŋ6	门~
纏	tsʰən2a	纠~
縮	sɔ7	~小
繳	tɕiɛu3	~枪
缸	kɔŋ1	水~
缺	kʰuiɛ7	~点
罐	kuɔn5a	~子
网	vɔŋ3	血~
罕	hɔn6	稀~
罰	fa7	~款
罷	pa6	~课
罩	tsau5a	灯~
罪	tsʰɛi3	犯~
置	tsɿ5a	添~
美	mi3	~味
翁	ŋ̍1	姓~
翅	tsɿ5a	~筋
耀	iɛu5a	~眼
老	lau3	~师
考	kau3	~试
耐	lai6	~烦
耕	kəŋ1	~田
耙	pʰa6	耕~
耳	ɛ3	~朵
耻	tsʰɿ3	可
耽	tan1	~搁
耿	kəŋ3	姓~
聶	ȵiɛ7	姓~
聚	tɕʰi6	团~
聰	tsʰəŋ1	明
肉	ȵiu7	皮~
肋	lɛ7	~骨
肚	tu3	~子
肥	fi2b	~猪
肩	tɕiɛn1	~膀
肯	kʰən3	~定
育	iu2b	体~
肺	fi2b	~部
脅	ɕia7	威~
胃	vɛi5b	~癌
膽	tan3	~量
背	pʰi6	~书
背	pi5a	~后
胎	tʰai1	头~
胖	pʰɔŋ5b	~子
勝	sən5a	~败
胡	fu2b	~须
能	ləŋ2b	~干
脂	tsɿ3	~肪
脆	tɕʰi5b	干~
脉	mɛ7	血~
脏	tsʰɔŋ6	心~
腦	lau3	大~
脚	tɕiɔ7	~步
脱	tʰɔ7	~衣
腡	lo2a	~纹
臉	liɛn3	~面
臘	la7	~肉
腌	iɛn1	~肉
腐	fu3	豆~
腔	tɕʰiɔŋ1	胸~
腕	vɔn3	手~
腮	sai1	~边
膩	ȵi5a	油~
腿	ti3	大~
膜	mɔ7	薄~
膻	sən1	~气
臂	pi6	~膀
臊	sau1	尿~
臣	tsʰən2a	大~
自	tsɿ6	~己
臭	tsɛu5b	香~
臼	tɕʰiɛu6	雍~
舀	iɛu3	~水
舂	tsʰəŋ1	~米
舅	tɕʰiɛu6	~~
舌	sɛ8	~头
舍	sa3	~不得
舍	sa6	宿~
舐	sɛ6	~费
舔	tʰiɛn3	~~舌头
舜	sun6	尧~
舞	vu3	跳~
般	pɔn1	一~
舵	tʰo6	掌~
船	tsʰɔn2b	木~
艇	tʰin6	快~
色	sɛ7	颜~
豔	iɛn6	鲜~
藝	ȵi6	卖~
艾	ŋai6	~蒿
節	tɕiɛ7	~约
芋	vi6	~头
芒	mɔŋ2b	麦~
芝	tsɿ1	~麻
花	fa1	~生
莧	han6	~菜
苏	su1	~州
苗	miɛu2b	秧~
苦	kʰu3	吃~
英	in1	~雄
茄	tɕʰia2a	~子
茅	mau2b	~草
繭	tɕiɛn3	蚕~
茶	tsʰa2a	~叶
茸	iəŋ2b	鹿~
草	tsʰau3	黄~
薦	tɕiɛn5a	推~
荒	fɔŋ1	~度
蕩	tʰɔŋ6	游~
榮	iəŋ2b	光~
葷	fən1	胆~
蔭	in5a	里~
藥	iɔ7	中~
莫	mɔ7	~走
获	fo7	收~
菊	tɕiu7	~花
菌	tɕin6	细~
菜	tsʰai5b	白~
菠	po1	~菜
菢	pʰau6	~鸡
菩	pʰu2a	~萨
菱	lin2b	
營	in2b	~长
落	lo7	~下来
董	təŋ3	姓~
葫	fu2b	~芦
葬	tsɔŋ5a	理~
葵	kʰui2a	~花
蔣	tɕiɔŋ3	姓~
蒙	məŋ2b	~住
蒸	tsən1	~饭
蒿	hau1	茼~
蓄	ɕiu7	~养
蓑	so1	~衣
蓖	pi1	~麻
藍	lan2b	~布
蔗	tsa5a	甘~
蔡	tsʰai5b	姓~
蔽	pʰi6	隐~
薛	ɕiɛ7	姓~
薯	su3	红心~
藏	tsʰɔŋ2a	~起来
藕	ŋɛu3	田~
藤	tʰəŋ2a	~椅
虎	fu3	老~
虐	ȵiɔ7	~待
慮	li3	考~
虚	fi1	~汗
蟲	tsʰəŋ2a	毛~
雖	sɛi1	~然
蝦	ha1	~子
蟻	i3	蚂~
蚊	vən2b	~子
蚌	pʰɔŋ6	壳
蠶	tsʰən2a	~丝
蛆	tɕʰi1	白~
蛇	sa2b	蟒~
蛛	tsu1	蜘~
蠻	man2b	好~
蜂	fəŋ1	黄~
蜈	vu2b	~蚣
蠅	in2b	~子
蝗	fɔŋ2b	蚂~
融	iəŋ2b	~合
蟒	mɔŋ3	~蛇
蟹	hai6	毛~
蠢	tsʰən3	好~
血	ɕiɛ7	~红
行	ɕiŋ2b	~动
行	hɔŋ2b	银~
銜	han2b	军~
街	kai1	上~
衡	həŋ2b	平~
衣	i1	~裳
補	pu3	~衣裳
表	piɛu3	老~
衫	san1	汗~
襖	ŋau3	绒~
袋	tʰai6	~子
袍	pʰau6	旗~
袖	ɕiɛu5a	~子
袜	va7	~子
被	pʰi6	棉~
裝	tsɔŋ1	假~
裕	vi5b	富~
裙	kʰuin2a	红~
褲	kʰu5b	短~
西	ɕi1	东~
要	iɛu1	~求
要	iɛu5a	重~
覆	pʰu7	~过来
見	tɕiɛn5a	~面
規	kui1	~矩
視	sɿ5a	电~
覽	lan3	展~
覺	kuɛ2b	~得
解	kai3	~开
解	kai3	~缙
觸	tsʰu5b	~电
言	ȵiɛn2b	~语
誓	sɿ5a	发~
警	tɕin3	~觉
認	ȵin6	~真
討	tʰau3	~饭
讓	ȵiɔŋ6	~步
訓	fin5a	~练
記	tɕi5a	~事
講	tɕiɔŋ3	~故事
諱	fɛi5a	息~
許	fi3	姓~
論	lən6	不~
諷	fəŋ1	刺
設	sə7	~计
訪	fɔŋ5b	上~
訣	kuiɛ7	口~
证	tsən5a	~名
試	sɿ5a	~~
詩	tsʰɿ3	~歌
話	va6	一句~
該	kai1	应~
語	ȵi3	~文
誤	vu6	~事
說	sɔ7	小~
誦	səŋ5a	~经
請	tɕʰiaŋ3	~客
諸	tsu2b	~葛
讀	tʰu8	~书
課	kʰo5b	上~
調	tʰiɛu2a	
談	tʰan2a	~心
誼	ȵi6	友~
謀	mɛu2b	参~
謊	fɔŋ3	说~
謂	vɛi5b	无所~
諺	ȵiɛn6	~语
謎	mi6	~语
謝	ɕia6	姓~
謙	tɕʰiɛn1	~虚
謹	tɕin3	~慎
譚	tʰɔn2a	姓~
譜	pʰu3	家~
谷	ku7	稻~
豆	tʰɛu6	黄~
豉	sɿ6	豆~
豌	vɔn1	~豆
豺	tsʰai2a	~狼
貂	tiɛu1	~皮
貌	mau6	相~
貝	pi5a	宝~
負	fu6	~责
貢	kəŋ5a	~献
財	tsʰai2a	~产
責	tsɛ7	~任
賢	ɕiɛn2b	~孙
敗	pʰai6	~家
賬	tsɔŋ5a	~
貨	fo5a	提~
販	fan5a	~子
貪	tʰɔn1	~心
貧	pʰin2a	~农
賤	tɕiɛn6	下~
貴	kui5a	价钱~
貸	tʰai6	~款
貿	mau6	外~
費	fi5a	~用
賀	ho6	姓~
賊	tsɛ7	
賄	fi3	受~
贓	tsɔŋ1	分~
資	tsɿ1	格
賒	sa1	~账
贖	su7	~身
賞	sɔŋ3	~赐
賜	tsʰɿ5b	赏~
賠	pʰi2a	~钱
賴	lai6	无~
賺	tsan6	~钱
賽	sai5a	比~
贏	iaŋ2b	输~
走	tsɛu3	~路
趙	tsʰau6	姓~
趕	kɔn3	走
起	tɕi3	~来
超	tsʰau1	~过
越	viɛ7	~过
趣	tɕ5b	兴~
足	tsu7	满~
趼	tɕiɛn3	手~
趾	tsɿ3	脚~
跌	tiɛ7	~倒
跑	pʰau3	~了
距	kui5a	~离
跪	kui6	~下
路	lu6	大~
跳	tʰiɛu5b	
踐	tɕiɛn6	实~
踏	tʰɔ7	用脚~
踢	ti7	~腿
蹤	tsəŋ1	失~
蹭	tsʰəŋ5b	磨~
蹲	tən3	~着
身	sən1	~体
躱	to3	~起来
躺	tʰɔŋ3	~下
車	tsʰa1	板~
軋	ŋa7	~棉花
軌	kui3	越~
轉	tsɔn3	~交
轉	tsɔn5a	~圈
軛	ŋɛ7	~头
輪	lən2b	~子
軟	ȵiɛn3	~硬
轟	fəŋ1	~走
軸	tsʰu7	~承
輕	tɕʰiaŋ1	~重
轎	tɕʰiɛu6	花~
輸	su1	~赢
辟	pʰi8	开~
辣	la7	~椒
辮	pʰiɛn6	~子
辰	tsʰən2a	时~
辱	iu7	侮~
邊	piɛn1	旁~
達	tʰa7	~到
遷	tɕʰiɛn1	~移
迅	ɕin5a	~速
過	kuo5a	~来
迎	in2b	~接
運	vin2b	~动
近	tɕʰin6	远~
還	hai2b	~是
還	van2b	~原
進	tɕin5a	~来
遠	viɛn3	~近
違	vɛi2b	反
連	liɛn2b	~接
遲	tsʰɿ2a	~到
迷	mi2b	~路
迸	pəŋ5a	~出来
迹	tɕia7	足~
追	tɕi1	~赶
退	ti5b	~后
送	səŋ5a	~礼
適	sɿ7	~合
選	ɕiɛn3	~举
透	tʰɛu5b	湿~
通	tʰəŋ1	~过
逞	tsʰən3	~强
速	su7	~度
造	tsʰau6	~桥
逼	pi7	
遇	vi5b	~到
遍	pʰiɛn6	一~
道	tʰau6	~理
遮	tsa5a	~住
遵	tsən1	~守
避	pʰi6	~开
鄧	tʰəŋ6	姓~
邪	ɕia2b	~气
郵	iɛu2b	~票
邵	sau6	姓~
鄒	tsɛu1	姓~
郎	lɔŋ2b	~中
鄭	tsʰən6	姓~
郭	kɔ7	姓~
都	tu1	~是
都	tu1	首~
酉	iɛu3	~时
配	pi6	~合
酒	tɕiɛu3	来~
酸	sɔn1	~菜
釅	ȵiɛn6	~茶
醇	tsʰən3	~
醉	tɕi5a	~酒
醋	tsʰu5b	酱~
醒	ɕiaŋ3	~过来
釉	iɛu6	上~
重	tsʰəŋ6	~量
重	tsʰəŋ2a	~新
野	ia3	~菜
量	liɔŋ2b	~长短
量	liɔŋ6	数~
金	tɕin1	~子
鉋	pʰau6	~子
鏨	tsʰɔn6	~字
鐾	pʰi6	~刀
鑊	vo1	铁~锅
針	tsən1	~线
釘	tiaŋ1	~子
釘	tiaŋ5a	~钉子
釣	tiɛu5a	~鱼
钟	tsəŋ1	撞~
錢	tɕʰiɛn2a	~包
鉗	tɕʰiɛn2a	~子
鉢	po7	碗~
鑽	tsɔn1	~桌子
鑽	tsɔn5a	~子
鐵	tʰiɛ7	~锈
鈴	liaŋ2b	打~
鉛	tɕʰiɛn1	~笔
鉸	kau5a	~链
鏟	tsʰan3	~刀
銃	təŋ5b	打~
銀	ȵin2b	~行
鋪	pʰu1	~路
鋪	pʰu5b	店~
鎖	so3	~门
鋤	tsʰu2a	~头
鏽	ɕiɛu5a	生~
銼	tsʰo5b	~刀
銳	li6	尖~
錯	tsʰo2b	做~了
錫	ɕia7	~壶
錘	tsʰɛi2a	~子
鍵	tɕiɛn6	关~
鋸	kɛ5a	~子
鍬	tɕʰiɛu1	铁~
鏡	tɕiaŋ5a	~子
鐲	tsʰɔ7	~头
鐮	liɛn2b	~刀
長	tsɔŋ3	~大
長	tsʰɔŋ2a	~短
閂	sɔn1	~门
閃	sən3	~电
閉	pi5a	关~
問	vən6	~一~
闖	tsʰɔŋ3	~进来
閏	lən6	~年
闲	han2b	~人
間	kan5a	~断
間	kan1	中~
閘	tsa7	~刀
鬧	nau6	~事
閨	kui1	~房
閻	iɛn2b	~王
闊	kʰuɛ7	~人
隊	ti5a	~长
阮	viɛn3	姓~
階	kai1	~级
阻	tsu3	~路
附	fu6	~近
降	ɕiɔŋ2a	~服
降	tɕiɔŋ5a	下~
限	han6	~定
院	vən6	医~
除	tsʰu2a	~法
險	ɕiɛn3	危~
陷	ɕiɛn5a	~在那
隆	ləŋ2b	~重
隨	ɕi2b	~便
隱	in3	~脑
隔	kɛ7	~开
障	tsɔŋ5a	~碍
隧	fi5a	~洞
難	lan2b	~事
難	lan6	受~
雀	tɕʰi7	孔~
雁	ŋan6	大~
集	tɕʰi7	~中
雍	iəŋ1	~正
雨	vi3	~水
雪	ɕiɛ7	大~
零	liaŋ2b	~钱
雷	li2b	打~
雹	pʰau5a	冰~
霧	vu6	下~
霍	fɔ7	姓~
霜	sɔŋ1	打~
霞	ɕia2b	~光
霸	pa5a	恶~
青	tɕʰiaŋ1	~色
靜	tɕʰin6	平~
靠	kʰau5b	~山
面	miɛn6	~条
靴	sua1	皮~
鞋	hai2b	布~
鞭	piɛn1	车~
音	in1	声~
頂	tin3	头~
項	ɕiɔŋ6	~目
順	sun6	~利
须	ɕi1	胡~
頑	van2b	~皮
預	vi6	~先
領	liaŋ3	表~
頸	tɕiaŋ3	~上
穎	in3	麦~
顔	ŋan2b	~色
額	ŋɛ2b	~头
顛	tiɛn1	~倒
顫	tsən5a	冷~
風	fəŋ1	起~
飄	pʰiɛu1	~扬
飛	fɛi1	~机
食	sɿ7	粮~
餐	tsʰan1	~厅
飯	fan6	米~
飲	in3	~汤
飽	pau3	吃~
飼	tsʰɿ6	~料
饒	lɛu2b	姓~
餅	piaŋ3	煎~
餓	ŋo5b	~了
饞	tsʰan2a	嘴~
饅	mɔn2b	~头
香	ɕiɔŋ1	~臭
馬	ma3	牛~
馱	tʰo2a	~过来
驢	li2b	~子
駐	tsʰu6	~军
駡	ma6	~人
驗	ȵiɛn6	实~
騙	pʰiɛn5b	~人
骨	kuɛ7	~头
高	kau1	~低
鬼	kui3	~话
魂	fan2b	~魄
魄	pʰɛ1	魂~
魏	vi6	姓~
魚	ȵiɛ2b	鲤~
魯	lu3	姓~
鮮	ɕiɛn1	~味
鯽	tɕi7	~鱼
鯰	ȵiɛn2b	~鱼
鱖	kui5a	~鱼
鳥	niɛu3	~儿
鳩	tɕiɛu1	斑~
雞	tɕi1	~巴
鴉	ŋa1	~片
鴨	ŋa2b	鸡~
鴿	ko7	~子
鵝	ŋo2b	天~
鵲	tɕʰiɔ7	喜~
鶴	ho7	仙~
鷹	in1	老~
鹿	lu7	梅花~
麥	mɛ7	种~
麻	ma2b	芝~
黃	fɔŋ2b	蛋~
黑	hɛ7	~白
鼓	ku3	锣~
鼠	su3	老~
鼻	pʰi6	~子
齊	tɕʰi2a	~整
齒	tsɿ5a	牙~
龍	ləŋ2b	~蛇
龕	kʰɔn5b	神~
龜	kui1	~
